ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0000897069-22-000555	YES	101	0001588800	Frontaura Global Frontier Fund Offshore Ltd	C/O FRONTAURA CAPITAL LLC	180 NORTH STETSON AVENUE, SUITE 1935	CHICAGO	IL	ILLINOIS	60601	(312) 777-1500	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	overFiveYears	
0001949191-22-000002	YES	101	0001949191	CA95 Fund I, a series of Roll Up Vehicles, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001948998-22-000002	YES	101	0001948998	MA Fund I, a series of Matthew Slater Funds II, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0000897069-22-000554	YES	101	0001423188	FRONTAURA GLOBAL FRONTIER FUND LLC	180 N. STETSON AVENUE	SUITE 1935	CHICAGO	IL	ILLINOIS	60601	(312) 265-6882	DELAWARE							Limited Liability Company		overFiveYears	
0001948612-22-000001	YES	101	0001948612	Turnpool Inc.	30 W 24TH ST.	FLOOR 10	NEW YORK	NY	NEW YORK	10010	320-333-8531	DELAWARE							Corporation		withinFiveYears	2022
0000919574-22-005746	YES	101	0001884805	KLCP Co-Investment Opportunities III LP	C/O MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	212-782-3482	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2021
0001493152-22-027307	YES	101	0001825942	Star Mountain Partners Fund III, LLC	2 GRAND CENTRAL TOWER	140 EAST 45TH STREET, 37TH FLOOR	NEW YORK	NY	NEW YORK	10017	646-787-0258	DELAWARE							Limited Liability Company		withinFiveYears	2020
0001949037-22-000002	YES	101	0001949037	Friend2Meet Inc	108 FRANKLIN STREET A		TENAFLY	NJ	NEW JERSEY	07670	4085089159	DELAWARE							Corporation		withinFiveYears	2022
0001948952-22-000001	YES	101	0001948952	PeakMetrics, Inc.	777 S. ALAMEDA	FLOOR 2	LOS ANGELES	CA	CALIFORNIA	90021	323-553-5888	DELAWARE							Corporation		overFiveYears	
0001931058-22-000001	YES	101	0001931058	SUZUKI GLOBAL VENTURES, L.P.	102 UNIVERSITY AVENUE, 1A		PALO ALTO	CA	CALIFORNIA	94301	408-250-2685	DELAWARE							Limited Partnership		withinFiveYears	2022
