ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0000897069-22-000555	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06c, 3C, 3C.1	true	0000897069-21-000523	2010-01-01		true	true				true					false		250000		Indefinite	72231961	Indefinite		false		33	0		0			0			false
0001949191-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-29		false					true					false		2000		100000	100000	0		false		10	0		0			0			false
0001948998-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-26		false					true					false		1000		213278	213278	0		false		23	0		0			13712		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0000897069-22-000554	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06c, 3C, 3C.1	true	0000897069-21-000522	2007-11-01		true	true				true					false		250000		Indefinite	193554119	Indefinite		false		125	52405		0			0			false
0001948612-22-000001	Other Technology			No Revenues		06b	false			true	false		true								false		250000		1000000	0	1000000		false		0	0		0			0			false
0000919574-22-005746	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0000919574-21-006033	2021-10-01		true	true				true					false		100000		Indefinite	151900000	Indefinite		true		21	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0001493152-22-027307	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000905718-21-001251	2020-09-04		true					true					false		0		Indefinite	37140000	Indefinite		false		57	0		0			0	true	The Manager will receive a fee based on each member's total capital commitments and the Managing Member may receive carried interest as more fully set forth in the offering materials.	false
0001949037-22-000002	Other Technology			No Revenues		06c	false		2022-09-05		false	true									false		36000		888000	888000	0		false		8	0		0			0			false
0001948952-22-000001	Other Technology			Decline to Disclose		06b	false		2022-09-15		false	true									false		0		Indefinite	1889811	Indefinite		false		20	0		0			0			false
0001931058-22-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06c, 3C, 3C.1, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true	The Issuer's General Partner, or an Affiliate of the Issuer's General Partner, may be entitled to receive a Management Fee in accordance with the Issuer's governing documentation, as amended from time to time.	false
0000945621-22-000331	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000945621-21-000392	2018-10-01		true					true					false		250000		Indefinite	355483280	Indefinite	This is a continuous offering.	false		160	0		0			0		Inv. Mgr. receives quarterly fee of one quarter of 0.20% per annum of aggregate Capital Account (C.A) balances of Investors. A proportionate share of this fee will be accrued monthly and allocated to and paid from the C.A. of each investor quarterly.	false
0001104659-22-104671	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c	true	0000945621-22-000041	2022-01-14		true	true				true					false		0		Indefinite	228037500	Indefinite		false		15	0		0			0			false
0001949182-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-28		false					true					false		1000		145628	145628	0		false		23	0		0			5785		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001946549-22-000002	Other			Decline to Disclose		06b	false		2022-09-22		false	true									false		1000		104255	104255	0		false		16	0		0			0	true		false
0000919574-22-005744	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0000919574-21-006031	2021-10-01		true	true				true					false		100000		3500000000	517106000	2982894000		true		51	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0001873986-22-000005	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0001874053-21-000001	2021-10-01		true	true				true					false		0		750000000	410175000	339825000	The GP reserves the right to offer a greater/lesser amount of LP interests.  Amounts listed are aggregated between Issuer an its related parallel funds, including commitments from the GP.	false		0	0	true	0	true		0	true	The general partner is entitled to carried interest. The investment manager is entitled to a management fee. The carried interest and management fee are fully discussed in the Issuer's confidential offering materials.	false
0001873986-22-000004	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	true	0001873999-21-000001	2021-10-01		true	true				true					false		0		750000000	410175000	339825000	The GP reserves the right to offer a greater/lesser amount of LP interests.  Amounts listed are aggregated between Issuer an its related parallel funds, including commitments from the GP.	false		16	0	true	0	true		0	true	The general partner is entitled to carried interest. The investment manager is entitled to a management fee. The carried interest and management fee are fully discussed in the Issuer's confidential offering materials.	false
0001873986-22-000003	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	true	0001873986-21-000001	2021-10-01		true	true				true					false		0		750000000	410175000	339825000	The GP reserves the right to offer a greater/lesser amount of LP interests.  Amounts listed are aggregated between Issuer an its related parallel funds, including commitments from the GP.	false		45	0	true	0	true		0	true	The general partner is entitled to carried interest. The investment manager is entitled to a management fee. The carried interest and management fee are fully discussed in the Issuer's confidential offering materials.	false
0001949065-22-000002	Other Technology			Decline to Disclose		06c	false		2022-09-19		false	true									false		0		15999994	15999994	0		false		6	0		0			0			false
0000919574-22-005742	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0000919574-21-006025	2021-10-01		true	true				true					false		0		3500000000	933460000	2566540000		true		62	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0001896403-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	true	0001896403-21-000001		true	false					true					false		0		300000000	300000000	0		false		56	0		0			0		The Issuer's General Partner (or its designee) is entitled to a management fee payable by the Issuer	false
0001949139-22-000001	Biotechnology			Decline to Disclose		06b	false		2022-09-19		false	true									false		0		4752220	1396321	3355899	2,921,887 Series Seed Preferred Stock at $1.5401 per share & 218,355 Series Seed-1 Preferred Stock at $1.1551	false		4	0		0			0			false
