dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-01-26,1993-12-31,1994-Q1,1879846000.000000,3926233283.000000,2025-05-02,-26509000.000000,5042440000.000000,,4208007000.000000,834433000.000000,,0.157000,-23564000.000000,972388000.000000,972388000.000000,1876830000.000000,40018000.000000,1.807000,1.456000,752257000.000000,752257000.000000,0.000000,752257000.000000,0.000000,42606000.000000,0.000000,0.013000,0.001000,64544000.000000,107150000.000000,0.043000,107150000.000000,64544000.000000,64544000.000000,0.003000,0.003000,0.003000,2053259000.000000,,2053259000.000000,3706102283.000000,,,343867000.000000,0.026000,1.000000,592024000.000000,0.240000,0.000000,0.000000,2494148000.000000,,1338637000.000000,150387000.000000,150387000.000000,0.000000,2989181000.000000,2328161000.000000,661020000.000000,295975000.000000,0.000000,5428000.000000,-70925000.000000,-13958000.000000,-79455000.000000,7999000.000000,65503000.000000,367431000.000000,0.000000,40018000.000000,40018000.000000,40018000.000000,0.000000,0.000000,0.016000,527317000.000000,64707000.000000,739599000.000000,0.333000,1.912000,,,642336000.000000,0.000000,0.299000,,,1247954000.000000,1868660000.000000,2468854000.000000,2468854000.000000,152612000.000000,,,,,0.000000,374705000.000000,1.000000,13131214992.000000,13099072000.000000,13099072000.000000,0.188000,5042440000.000000,279198000.000000,24526000.000000,663906000.000000,0.385000
ARQ,1994-06-30,1994-08-12,1994-07-01,1994-Q3,2342502000.000000,4133102945.000000,2025-05-02,-15474000.000000,5123412000.000000,,4259989000.000000,863423000.000000,,0.169000,,1141695000.000000,1141695000.000000,1576036000.000000,138101000.000000,2.222000,1.282000,820423000.000000,515608000.000000,304815000.000000,820423000.000000,0.000000,,0.000000,0.013000,0.001000,222743000.000000,,,,222743000.000000,222743000.000000,0.010000,0.010000,0.010000,2245115000.000000,,2245115000.000000,3811830945.000000,,,,,1.000000,573872000.000000,0.267000,0.000000,0.000000,2884653000.000000,,1197060000.000000,86599000.000000,86599000.000000,0.000000,2878297000.000000,1917487000.000000,960810000.000000,,,,,,,,,,,138101000.000000,138101000.000000,138101000.000000,0.000000,0.000000,0.064000,341451000.000000,232421000.000000,696032000.000000,0.100000,1.841000,,,664982000.000000,0.000000,0.310000,,,1277083000.000000,1995836000.000000,2149908000.000000,2149908000.000000,135439000.000000,,,,,,332867000.000000,1.000000,13321846720.000000,13321846720.000000,,0.161000,5123412000.000000,256945000.000000,84642000.000000,655995000.000000,0.385000
ARQ,1994-09-30,1994-12-13,1994-09-30,1994-Q4,2532147000.000000,4360690655.000000,2025-05-02,-10834000.000000,5302746000.000000,,4476452000.000000,826294000.000000,,0.179000,-36212000.000000,1203488000.000000,1203488000.000000,1814413000.000000,114655000.000000,2.302000,1.225000,596672000.000000,292200000.000000,304472000.000000,596672000.000000,0.000000,45620000.000000,0.000000,0.012000,0.001000,184927000.000000,230547000.000000,0.092000,230547000.000000,184927000.000000,184927000.000000,0.009000,0.009000,0.009000,2383301000.000000,,2383301000.000000,3753874655.000000,8.000000,5.618000,205826000.000000,0.015000,1.000000,678873000.000000,0.272000,0.000000,0.000000,2751625000.000000,,1088434000.000000,54368000.000000,54368000.000000,0.000000,2919445000.000000,1944305000.000000,975140000.000000,61793000.000000,0.000000,30073000.000000,-223752000.000000,-14285000.000000,-207964000.000000,27719000.000000,32231000.000000,242038000.000000,0.000000,114655000.000000,114655000.000000,114655000.000000,0.000000,0.000000,0.046000,488462000.000000,190411000.000000,881717000.000000,0.111000,1.830000,14.059000,14.120000,667100000.000000,0.000000,0.325000,0.475000,0.470000,1581347000.000000,2096206000.000000,2493286000.000000,2493286000.000000,142110000.000000,,,,,0.000000,346352000.000000,1.000000,13427838816.000000,13298320000.000000,,0.187000,5302746000.000000,293048000.000000,70272000.000000,670668000.000000,0.399000
ARQ,1994-12-31,1995-02-09,1994-12-30,1995-Q1,2783000000.000000,5268122491.000000,2025-05-02,-17000000.000000,5533000000.000000,,4718000000.000000,815000000.000000,,0.188000,-22000000.000000,1148000000.000000,1148000000.000000,2018000000.000000,188000000.000000,2.438000,1.160000,513000000.000000,209000000.000000,304000000.000000,513000000.000000,0.000000,38000000.000000,0.000000,0.008000,0.001000,299000000.000000,337000000.000000,0.119000,337000000.000000,299000000.000000,299000000.000000,0.014000,0.014000,0.014000,2562000000.000000,,2562000000.000000,4633122491.000000,,,431000000.000000,0.032000,1.000000,814000000.000000,0.287000,0.000000,0.000000,2963000000.000000,,1084000000.000000,439000000.000000,439000000.000000,0.000000,2971000000.000000,1935000000.000000,1036000000.000000,-55000000.000000,0.000000,9000000.000000,-84000000.000000,-14000000.000000,-89000000.000000,-419000000.000000,-385000000.000000,453000000.000000,0.000000,188000000.000000,188000000.000000,188000000.000000,0.000000,0.000000,0.066000,530000000.000000,284000000.000000,956000000.000000,0.071000,2.056000,,,661000000.000000,0.000000,0.390000,,,1599000000.000000,2270000000.000000,2832000000.000000,2832000000.000000,132000000.000000,,,,,0.000000,415000000.000000,1.000000,13525346576.000000,13619221056.000000,13619221056.000000,0.208000,5533000000.000000,269000000.000000,111000000.000000,732000000.000000,0.406000
ARQ,1995-03-31,1995-05-15,1995-03-31,1995-Q2,2918000000.000000,5285418317.000000,2025-05-02,44000000.000000,6050000000.000000,,5161000000.000000,889000000.000000,,0.198000,-30000000.000000,1375000000.000000,1375000000.000000,1957000000.000000,73000000.000000,2.301000,1.229000,931000000.000000,627000000.000000,304000000.000000,931000000.000000,0.000000,29000000.000000,0.000000,0.010000,0.001000,116000000.000000,145000000.000000,0.055000,145000000.000000,116000000.000000,116000000.000000,0.005000,0.005000,0.005000,2714000000.000000,,2714000000.000000,4841418317.000000,6.000000,,-23000000.000000,-0.002000,1.000000,695000000.000000,0.262000,0.000000,0.000000,3363000000.000000,,984000000.000000,611000000.000000,611000000.000000,0.000000,3336000000.000000,2243000000.000000,1093000000.000000,227000000.000000,0.000000,29000000.000000,418000000.000000,-15000000.000000,432000000.000000,-212000000.000000,-171000000.000000,7000000.000000,0.000000,73000000.000000,73000000.000000,73000000.000000,0.000000,0.000000,0.028000,529000000.000000,166000000.000000,854000000.000000,0.200000,1.947000,10.288000,10.250000,663000000.000000,0.000000,0.390000,0.522000,0.528000,1633000000.000000,2331000000.000000,2652000000.000000,2652000000.000000,143000000.000000,,,,,0.000000,386000000.000000,1.000000,13569751776.000000,13736128000.000000,13736128000.000000,0.193000,6050000000.000000,350000000.000000,43000000.000000,789000000.000000,0.440000
ARQ,1995-06-30,1995-08-11,1995-06-30,1995-Q3,3013000000.000000,5283576679.000000,2025-05-02,53000000.000000,6112000000.000000,,5191000000.000000,921000000.000000,,0.205000,-58000000.000000,1168000000.000000,1168000000.000000,1847000000.000000,103000000.000000,2.383000,1.161000,709000000.000000,406000000.000000,303000000.000000,709000000.000000,0.000000,37000000.000000,0.000000,0.010000,0.001000,164000000.000000,201000000.000000,0.078000,201000000.000000,164000000.000000,164000000.000000,0.007000,0.007000,0.007000,2828000000.000000,,2828000000.000000,4824576679.000000,6.000000,5.281000,-85000000.000000,-0.006000,1.000000,728000000.000000,0.283000,0.000000,0.000000,3475000000.000000,,1367000000.000000,508000000.000000,508000000.000000,0.000000,3284000000.000000,2178000000.000000,1106000000.000000,-207000000.000000,0.000000,13000000.000000,-224000000.000000,-14000000.000000,-225000000.000000,45000000.000000,103000000.000000,-27000000.000000,0.000000,103000000.000000,103000000.000000,103000000.000000,0.000000,0.000000,0.040000,566000000.000000,162000000.000000,1048000000.000000,0.143000,1.868000,11.038000,10.986000,691000000.000000,0.000000,0.385000,0.501000,0.503000,1553000000.000000,2419000000.000000,2575000000.000000,2575000000.000000,168000000.000000,,,,,0.000000,404000000.000000,1.000000,13741421792.000000,13798736000.000000,13798736000.000000,0.187000,6112000000.000000,286000000.000000,61000000.000000,803000000.000000,0.443000
ARQ,1995-09-30,1995-12-19,1995-09-29,1995-Q4,2899000000.000000,4030221162.000000,2025-05-02,0.000000,6231000000.000000,,5224000000.000000,1007000000.000000,,0.208000,-49000000.000000,756000000.000000,756000000.000000,2382000000.000000,60000000.000000,2.247000,1.148000,764000000.000000,461000000.000000,303000000.000000,764000000.000000,0.000000,23000000.000000,0.000000,0.014000,0.001000,95000000.000000,118000000.000000,0.039000,118000000.000000,95000000.000000,95000000.000000,0.004000,0.004000,0.004000,2901000000.000000,,2901000000.000000,4038221162.000000,6.000000,5.041000,-722000000.000000,-0.052000,1.000000,621000000.000000,0.207000,0.000000,0.000000,3914000000.000000,,1775000000.000000,196000000.000000,196000000.000000,0.000000,3330000000.000000,2325000000.000000,1005000000.000000,-412000000.000000,0.000000,35000000.000000,57000000.000000,-15000000.000000,77000000.000000,184000000.000000,312000000.000000,-673000000.000000,0.000000,60000000.000000,60000000.000000,60000000.000000,0.000000,0.000000,0.020000,549000000.000000,72000000.000000,1165000000.000000,0.250000,1.389000,9.505000,9.435000,711000000.000000,0.000000,0.292000,0.364000,0.364000,1931000000.000000,2464000000.000000,3003000000.000000,3003000000.000000,171000000.000000,,,,,0.000000,378000000.000000,1.000000,13778533888.000000,13971104000.000000,13971104000.000000,0.215000,6231000000.000000,251000000.000000,35000000.000000,702000000.000000,0.446000
ARQ,1995-12-31,1996-02-12,1995-12-29,1996-Q1,2846000000.000000,3507383833.000000,2025-05-02,10000000.000000,6553000000.000000,,5551000000.000000,1002000000.000000,,0.203000,-31000000.000000,824000000.000000,824000000.000000,2673000000.000000,-69000000.000000,2.052000,1.345000,802000000.000000,498000000.000000,304000000.000000,802000000.000000,0.000000,42000000.000000,0.000000,0.016000,0.001000,-109000000.000000,-67000000.000000,-0.021000,-67000000.000000,-109000000.000000,-109000000.000000,-0.005000,-0.005000,-0.005000,2794000000.000000,,2794000000.000000,3485383833.000000,13.000000,8.779000,156000000.000000,0.011000,1.000000,475000000.000000,0.151000,0.000000,0.000000,3826000000.000000,,1947000000.000000,276000000.000000,276000000.000000,0.000000,3759000000.000000,2705000000.000000,1054000000.000000,68000000.000000,0.000000,9000000.000000,38000000.000000,-15000000.000000,28000000.000000,-147000000.000000,-80000000.000000,187000000.000000,0.000000,-69000000.000000,-69000000.000000,-69000000.000000,0.000000,0.000000,-0.022000,594000000.000000,-119000000.000000,1431000000.000000,-0.200000,1.255000,21.002000,21.104000,712000000.000000,0.000000,0.253000,0.308000,0.307000,1944000000.000000,2380000000.000000,3148000000.000000,3148000000.000000,153000000.000000,,,,,0.000000,441000000.000000,1.000000,13849491936.000000,13775328000.000000,13775328000.000000,0.229000,6553000000.000000,302000000.000000,-40000000.000000,750000000.000000,0.476000
ARQ,1996-03-31,1996-05-13,1996-03-29,1996-Q2,2004000000.000000,3346292277.000000,2025-05-02,-5000000.000000,5234000000.000000,,4277000000.000000,957000000.000000,,0.148000,-9000000.000000,500000000.000000,500000000.000000,2606000000.000000,-740000000.000000,1.882000,1.546000,655000000.000000,352000000.000000,303000000.000000,655000000.000000,0.000000,46000000.000000,0.000000,0.012000,0.000000,-1175000000.000000,-1129000000.000000,-0.517000,-1129000000.000000,-1175000000.000000,-1175000000.000000,-0.053000,-0.053000,-0.053000,2056000000.000000,,2056000000.000000,3501292277.000000,-3.000000,-3.992000,-373000000.000000,-0.027000,1.000000,-421000000.000000,-0.193000,0.000000,0.000000,3116000000.000000,,1466000000.000000,92000000.000000,92000000.000000,0.000000,3178000000.000000,2273000000.000000,905000000.000000,-324000000.000000,0.000000,13000000.000000,-147000000.000000,1000000.000000,-129000000.000000,169000000.000000,184000000.000000,-364000000.000000,0.000000,-740000000.000000,-740000000.000000,-740000000.000000,0.000000,0.000000,-0.339000,761000000.000000,-1182000000.000000,817000000.000000,0.000000,1.628000,-5.180000,-5.138000,692000000.000000,0.000000,0.241000,0.307000,0.307000,1366000000.000000,1641000000.000000,2185000000.000000,2185000000.000000,150000000.000000,,,,,0.000000,404000000.000000,1.000000,13856282720.000000,13849808000.000000,13849808000.000000,0.158000,5234000000.000000,479000000.000000,-435000000.000000,602000000.000000,0.378000
ARQ,1996-06-30,1996-08-12,1996-06-28,1996-Q3,2528000000.000000,2861506149.000000,2025-05-02,-12000000.000000,5345000000.000000,,4454000000.000000,891000000.000000,,0.146000,-15000000.000000,1359000000.000000,1359000000.000000,1776000000.000000,-32000000.000000,2.313000,1.646000,1136000000.000000,187000000.000000,949000000.000000,1136000000.000000,0.000000,22000000.000000,0.000000,0.010000,0.000000,-51000000.000000,-29000000.000000,-0.013000,-29000000.000000,-51000000.000000,-51000000.000000,-0.002000,-0.002000,-0.002000,2020000000.000000,,2020000000.000000,2638506149.000000,-2.000000,-2.383000,274000000.000000,0.020000,1.000000,403000000.000000,0.185000,0.000000,0.000000,3196000000.000000,,1061000000.000000,0.000000,0.000000,0.000000,3325000000.000000,1926000000.000000,1399000000.000000,859000000.000000,0.000000,3000000.000000,481000000.000000,0.000000,484000000.000000,86000000.000000,92000000.000000,289000000.000000,0.000000,-32000000.000000,-32000000.000000,-32000000.000000,0.000000,0.000000,-0.015000,519000000.000000,-116000000.000000,762000000.000000,0.000000,1.417000,-3.664000,-3.601000,615000000.000000,0.000000,0.205000,0.272000,0.271000,1292000000.000000,1609000000.000000,2179000000.000000,2179000000.000000,155000000.000000,,,,,0.000000,364000000.000000,1.000000,13941564672.000000,13858320000.000000,13858320000.000000,0.157000,5345000000.000000,401000000.000000,-19000000.000000,450000000.000000,0.386000
