dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-12-31,2012-06-04,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-08-07,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-09-04,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-09-26,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-10-23,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-11-16,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-11-30,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2011-12-31,2012-12-19,2011-12-31,2011-Q4,1457477000.000000,,2025-05-09,-25166000.000000,19657166000.000000,,7354155000.000000,12303011000.000000,,7.737000,,27482000.000000,27482000.000000,,,1.247000,0.608000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,12223713000.000000,,12223713000.000000,,,,,,1.000000,,,9009819000.000000,,4723187000.000000,,871582000.000000,855441000.000000,626099000.000000,229342000.000000,7433453000.000000,5896678000.000000,1536775000.000000,,,,,,,,,,,,,,,,,,,417030000.000000,,,,,2144200000.000000,,,,,3817486000.000000,,,,,,,,,,,1.000000,1580000000.000000,1580000000.000000,,,10647347000.000000,2388444000.000000,,0.000000,6.739000
ARQ,2012-12-31,2013-03-15,2012-12-31,2012-Q4,8578000000.000000,60727362465.000000,2025-05-09,-350000000.000000,27008000000.000000,,15354000000.000000,11654000000.000000,,2.132000,,5901000000.000000,5901000000.000000,,,2.266000,7.031000,15672000000.000000,1042000000.000000,14630000000.000000,15672000000.000000,0.000000,,0.000000,0.010000,0.400000,,,,,,,,,,3363000000.000000,,3363000000.000000,70498362465.000000,12.000000,10.131000,,,1.000000,,,8453000000.000000,,21550000000.000000,,1091000000.000000,2194000000.000000,2075000000.000000,119000000.000000,23645000000.000000,6776000000.000000,16869000000.000000,,,,,,,,,,,,,,,,,,,5734000000.000000,,18.057000,11.512000,11.493000,2247000000.000000,,38.500000,3.304000,3.304000,4298000000.000000,,,,,,,,,,,1.000000,1577334090.000000,1577334090.000000,,,18555000000.000000,1446000000.000000,,0.000000,11.764000
ARQ,2012-12-31,2013-04-05,2012-12-31,2012-Q4,8578000000.000000,65159671258.000000,2025-05-09,-350000000.000000,27008000000.000000,,15354000000.000000,11654000000.000000,,2.132000,,5901000000.000000,5901000000.000000,,,2.266000,7.031000,15672000000.000000,1042000000.000000,14630000000.000000,15672000000.000000,0.000000,,0.000000,0.010000,0.400000,,,,,,,,,,3363000000.000000,,3363000000.000000,74930671258.000000,13.000000,10.767000,,,1.000000,,,8453000000.000000,,21550000000.000000,,1091000000.000000,2194000000.000000,2075000000.000000,119000000.000000,23645000000.000000,6776000000.000000,16869000000.000000,,,,,,,,,,,,,,,,,,,5734000000.000000,,19.375000,12.353000,12.331000,2247000000.000000,,41.310000,3.545000,3.545000,4298000000.000000,,,,,,,,,,,1.000000,1577334090.000000,1577334090.000000,,,18555000000.000000,1446000000.000000,,0.000000,11.764000
