dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-12-07,2019-12-31,2019-Q4,4745476.000000,,2025-05-09,0.000000,23488072.000000,,12640337.000000,10847735.000000,,0.068000,,7552917.000000,7552917.000000,,,1.601000,1.291000,6084592.000000,2079730.000000,4004862.000000,6084592.000000,4572225.000000,,0.000000,,0.000000,,,,,,,,,,10252150.000000,,10252150.000000,,,,,,1.000000,,,0.000000,,14124886.000000,,0.000000,1783019.000000,0.000000,1783019.000000,13235922.000000,7894861.000000,5341061.000000,,,,,,,,,,,,,,,,,,,2579105.000000,,,,,8479940.000000,,,,,3276526.000000,-4715632.000000,,,,,,,,,,1.000000,265952096.000000,151327560.000000,,,23488072.000000,0.000000,,0.000000,0.155000
ARQ,2020-09-30,2020-12-10,2020-09-30,2020-Q3,93895306.000000,,2025-05-09,0.000000,142385338.000000,,113999508.000000,28385830.000000,,0.336000,,91081765.000000,91081765.000000,,,5.670000,0.596000,5324915.000000,319550.000000,5005365.000000,5324915.000000,30635090.000000,,0.000000,,0.000000,,,,,,,,,,89238049.000000,,89238049.000000,,,,,,1.000000,,,13898314.000000,,22625972.000000,,0.000000,209875.000000,0.000000,209875.000000,53147289.000000,20104202.000000,33043087.000000,,,,,,,,,,,,,,,,,,,12867571.000000,,,,,14277641.000000,,,,,20108536.000000,-2797174.000000,,,,,,,,,,1.000000,265952096.000000,265952096.000000,,,128487024.000000,0.000000,,0.000000,0.483000
ARQ,2020-12-31,2021-03-30,2020-12-31,2020-Q4,709835000.000000,7190200450.000000,2025-05-09,0.000000,1005536000.000000,,813325000.000000,192211000.000000,,4.626000,3497874.000000,594116000.000000,594116000.000000,0.000000,116999542.000000,7.859000,0.211000,6103000.000000,190000.000000,5913000.000000,6103000.000000,32483000.000000,2607668.000000,0.000000,0.000000,0.000000,157529399.000000,160137067.000000,0.770000,160137067.000000,157529399.000000,155914542.000000,0.520000,0.440000,0.520000,830508000.000000,,830508000.000000,6602187450.000000,40.000000,38.925000,4774265.000000,0.027000,1.000000,207908272.000000,1.000000,146653000.000000,1614857.000000,167380000.000000,,0.000000,19247000.000000,0.000000,19247000.000000,175028000.000000,103490000.000000,71538000.000000,503034152.000000,-87433144.000000,522947149.000000,86993474.000000,0.000000,609940031.000000,-108182270.000000,-19247000.000000,1276391.000000,0.000000,116999542.000000,116999542.000000,116999542.000000,0.000000,0.000000,0.563000,47133975.000000,160774297.000000,56296000.000000,0.000000,8.658000,60.464000,50.340000,17923000.000000,0.000000,26.680000,30.839000,18.217000,213239000.000000,114202000.000000,207908272.000000,207908272.000000,8636350.000000,,,,,4621574.000000,8026281.000000,1.000000,269497768.000000,179540192.000000,263129765.000000,1.158000,858883000.000000,0.000000,38915000.000000,62313000.000000,4.784000
ARQ,2021-03-31,2021-05-14,2021-03-31,2021-Q1,819587000.000000,8601896944.000000,2025-05-09,0.000000,1128523000.000000,,907982000.000000,220541000.000000,,3.549000,-3644000.000000,685795000.000000,685795000.000000,0.000000,117221000.000000,10.272000,0.179000,16973000.000000,0.000000,16973000.000000,16973000.000000,40036000.000000,3966000.000000,0.000000,0.000000,0.000000,161487000.000000,165453000.000000,0.816000,165453000.000000,161487000.000000,161487000.000000,0.430000,0.370000,0.430000,957124000.000000,,957124000.000000,7933074944.000000,,,105901000.000000,0.393000,1.000000,202741000.000000,1.000000,144188000.000000,0.000000,227118000.000000,,0.000000,32187000.000000,0.000000,32187000.000000,171399000.000000,88395000.000000,83004000.000000,91679000.000000,0.000000,173000.000000,-1716000.000000,0.000000,-1543000.000000,-15839000.000000,-12195000.000000,109545000.000000,-484000.000000,117221000.000000,117221000.000000,117221000.000000,0.000000,0.000000,0.578000,44667000.000000,158074000.000000,42675000.000000,0.000000,8.987000,,,34618000.000000,0.000000,31.750000,,,216442000.000000,231423000.000000,202741000.000000,202741000.000000,12352000.000000,,,,,5427000.000000,9000000.000000,1.000000,270925888.000000,269697212.000000,320282747.000000,0.752000,984335000.000000,0.000000,44266000.000000,57022000.000000,3.650000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,794244000.000000,4986012485.000000,2025-05-09,2152000.000000,1151856000.000000,,864002000.000000,287854000.000000,,3.555000,-36804000.000000,792571000.000000,792571000.000000,0.000000,-2323000.000000,12.386000,0.190000,31020000.000000,0.000000,31020000.000000,31020000.000000,57186000.000000,4215000.000000,0.000000,0.000000,0.000000,-2073000.000000,2142000.000000,0.077000,2142000.000000,-2073000.000000,-2073000.000000,-0.010000,-0.010000,-0.010000,967679000.000000,,967679000.000000,4224461485.000000,,,120879000.000000,0.444000,1.000000,27643000.000000,1.000000,141723000.000000,0.000000,178824000.000000,,0.000000,42705000.000000,0.000000,42705000.000000,184177000.000000,69758000.000000,114419000.000000,106776000.000000,0.000000,1710000.000000,765000.000000,0.000000,-5075000.000000,-45633000.000000,-13349000.000000,157683000.000000,-199000.000000,-2323000.000000,-2323000.000000,-2323000.000000,0.000000,0.000000,-0.084000,34676000.000000,-7033000.000000,51410000.000000,0.000000,5.153000,,,87479000.000000,0.000000,17.890000,,,64884000.000000,229100000.000000,27643000.000000,27643000.000000,15046000.000000,,,,,8473000.000000,12498000.000000,1.000000,278703884.000000,272196107.000000,272196107.000000,0.102000,1010133000.000000,0.000000,250000.000000,31332000.000000,3.711000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,754198000.000000,3981559228.000000,2025-05-09,644000.000000,1172732000.000000,,803747000.000000,368985000.000000,,3.418000,-8574000.000000,517694000.000000,517694000.000000,0.000000,-21380000.000000,16.221000,0.230000,27264000.000000,0.000000,27264000.000000,27264000.000000,65852000.000000,4206000.000000,0.000000,0.000000,0.000000,-24972000.000000,-20766000.000000,-3.770000,-20766000.000000,-24972000.000000,-24972000.000000,-0.080000,-0.080000,-0.080000,953397000.000000,,953397000.000000,3491129228.000000,12.000000,11.373000,-14506000.000000,-0.052000,1.000000,5508000.000000,1.000000,198278000.000000,0.000000,434475000.000000,,0.000000,283292000.000000,235785000.000000,47507000.000000,219335000.000000,49549000.000000,169786000.000000,-274877000.000000,-11457000.000000,898000.000000,0.000000,0.000000,898000.000000,-269626000.000000,-254882000.000000,-5932000.000000,-217000.000000,-21380000.000000,-21380000.000000,-21380000.000000,0.000000,0.000000,-3.882000,33604000.000000,-28096000.000000,69615000.000000,0.000000,4.176000,18.913000,16.442000,91584000.000000,0.000000,14.140000,8.972000,8.887000,43633000.000000,207720000.000000,5508000.000000,5508000.000000,17450000.000000,,,,,7708000.000000,12488000.000000,1.000000,281581275.000000,278933760.000000,278933760.000000,0.020000,974454000.000000,0.000000,-3592000.000000,42787000.000000,3.493000
ARQ,2021-12-31,2022-02-25,2021-12-31,2021-Q4,809124000.000000,2535439373.000000,2025-05-09,280000.000000,1318569000.000000,,929800000.000000,388769000.000000,,3.636000,-9430000.000000,501142000.000000,501142000.000000,0.000000,59948000.000000,7.705000,0.285000,36413000.000000,0.000000,36413000.000000,36413000.000000,68294000.000000,4863000.000000,0.000000,0.000000,0.000000,89935000.000000,94798000.000000,0.680000,94798000.000000,89935000.000000,84710000.000000,0.220000,0.190000,0.220000,1025733000.000000,,1025733000.000000,2070710373.000000,9.000000,8.570000,-26142000.000000,-0.093000,1.000000,139331000.000000,1.000000,196198000.000000,5225000.000000,536966000.000000,,0.000000,297148000.000000,246835000.000000,50313000.000000,292836000.000000,120676000.000000,172160000.000000,-16552000.000000,0.000000,1834000.000000,0.000000,0.000000,1834000.000000,-1149000.000000,-14533000.000000,-16712000.000000,-525000.000000,59948000.000000,59948000.000000,59948000.000000,0.000000,0.000000,0.430000,57778000.000000,81553000.000000,90409000.000000,0.000000,2.472000,16.521000,15.946000,111616000.000000,0.000000,8.930000,6.758000,6.563000,160576000.000000,267666000.000000,139331000.000000,139331000.000000,17209000.000000,,,,,9038000.000000,14717000.000000,1.000000,283923782.000000,282127354.000000,303207785.000000,0.494000,1122371000.000000,0.000000,24762000.000000,73053000.000000,3.978000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,960960000.000000,1889320448.000000,2025-05-09,787000.000000,1592289000.000000,,1174378000.000000,417911000.000000,,4.253000,-14495000.000000,570718000.000000,570718000.000000,0.000000,168573000.000000,5.503000,0.319000,36356000.000000,0.000000,36356000.000000,36356000.000000,73341000.000000,4973000.000000,0.000000,0.000000,0.000000,230809000.000000,235782000.000000,0.745000,235782000.000000,230809000.000000,230809000.000000,0.590000,0.540000,0.590000,1207507000.000000,,1207507000.000000,1354958448.000000,5.000000,4.343000,85724000.000000,0.302000,1.000000,316581000.000000,1.000000,193591000.000000,0.000000,650918000.000000,,0.000000,299217000.000000,240335000.000000,58882000.000000,384782000.000000,213418000.000000,171364000.000000,70513000.000000,0.000000,0.000000,1869000.000000,0.000000,-3131000.000000,-26371000.000000,-14472000.000000,100219000.000000,-204000.000000,168573000.000000,168573000.000000,168573000.000000,0.000000,0.000000,0.532000,91631000.000000,224950000.000000,101704000.000000,0.000000,1.565000,9.224000,9.222000,122049000.000000,0.000000,6.640000,3.863000,3.854000,334403000.000000,436239000.000000,316581000.000000,316581000.000000,26366000.000000,,,,,12291000.000000,16638000.000000,1.000000,284536212.000000,283895020.000000,311482017.000000,1.115000,1398698000.000000,0.000000,62236000.000000,142452000.000000,4.927000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,922815000.000000,3167890324.000000,2025-05-09,576000.000000,1593784000.000000,,1143955000.000000,449829000.000000,,4.260000,-31322000.000000,815615000.000000,815615000.000000,0.000000,-6785000.000000,5.173000,0.314000,32759000.000000,0.000000,32759000.000000,32759000.000000,69421000.000000,6041000.000000,0.000000,0.000000,0.000000,-6886000.000000,-845000.000000,-0.018000,-845000.000000,-6886000.000000,-6886000.000000,-0.020000,-0.020000,-0.020000,1212856000.000000,,1212856000.000000,2385034324.000000,8.000000,7.719000,241693000.000000,0.849000,1.000000,45917000.000000,1.000000,190985000.000000,0.000000,398803000.000000,,0.000000,297476000.000000,231652000.000000,65824000.000000,380928000.000000,221140000.000000,159788000.000000,245784000.000000,0.000000,0.000000,233000.000000,0.000000,1173000.000000,-27197000.000000,-1377000.000000,273015000.000000,-1207000.000000,-6785000.000000,-6785000.000000,-6785000.000000,0.000000,0.000000,-0.148000,54313000.000000,-8396000.000000,99574000.000000,0.000000,2.612000,15.811000,15.648000,149178000.000000,0.000000,11.110000,6.244000,6.234000,52797000.000000,429454000.000000,45917000.000000,45917000.000000,26685000.000000,,,,,12113000.000000,17532000.000000,1.000000,285138643.000000,284686542.000000,284686542.000000,0.161000,1402799000.000000,0.000000,-101000.000000,141938000.000000,4.928000
ARQ,2022-09-30,2022-11-08,2022-09-30,2022-Q3,939617000.000000,3501869226.000000,2025-05-09,-717000.000000,1552409000.000000,,1045669000.000000,506740000.000000,,4.382000,-12513000.000000,396973000.000000,396973000.000000,0.000000,26624000.000000,9.860000,0.242000,71591000.000000,0.000000,71591000.000000,71591000.000000,69017000.000000,6728000.000000,0.000000,0.000000,0.000000,46587000.000000,53315000.000000,0.526000,53315000.000000,46587000.000000,46587000.000000,0.090000,0.080000,0.090000,1250172000.000000,,1250172000.000000,3176487226.000000,9.000000,8.293000,-139299000.000000,-0.488000,1.000000,101383000.000000,1.000000,190354000.000000,0.000000,930621000.000000,,0.000000,562951000.000000,496233000.000000,66718000.000000,302237000.000000,106052000.000000,196185000.000000,-417351000.000000,0.000000,0.000000,-19000.000000,0.000000,-19000.000000,-281994000.000000,-273483000.000000,-126786000.000000,-8552000.000000,26624000.000000,26624000.000000,26624000.000000,0.000000,0.000000,0.263000,63648000.000000,37735000.000000,69080000.000000,0.000000,2.801000,14.100000,13.909000,200602000.000000,0.000000,12.240000,5.805000,5.790000,105964000.000000,456078000.000000,101383000.000000,101383000.000000,26582000.000000,,,,,11754000.000000,16881000.000000,1.000000,286100427.000000,285322719.000000,315818163.000000,0.355000,1362055000.000000,0.000000,19963000.000000,57161000.000000,4.774000
