dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-12-07,2020-09-30,2020-Q3,2828152000.000000,,2025-05-01,-2867000.000000,8728479000.000000,,7212208000.000000,1516271000.000000,,-2.304000,,2720018000.000000,2720018000.000000,,,1.645000,-4.994000,2254092000.000000,62711000.000000,2191381000.000000,2254092000.000000,459772000.000000,,0.000000,,0.000000,,,,,,,,,,-1376284000.000000,,-1376284000.000000,,,,,,1.000000,,,728333000.000000,,3150164000.000000,,0.000000,1830821000.000000,1830821000.000000,0.000000,6873261000.000000,4384056000.000000,2489205000.000000,,,,,,,,,,,,,,,,,,,2400422000.000000,,,,,615693000.000000,,,,,2354450000.000000,-2117856000.000000,,,,,,,,,,1.000000,597448251.000000,597448251.000000,,,8000146000.000000,0.000000,,0.000000,13.391000
ARQ,2020-12-31,2021-02-26,2020-12-31,2020-Q4,3776607000.000000,125550509837.000000,2025-05-01,2639000.000000,10491499000.000000,,8916386000.000000,1575113000.000000,,10.205000,-7882000.000000,5514403000.000000,5514403000.000000,209747000.000000,-3887851000.000000,1.735000,2.616000,2303053000.000000,56586000.000000,2246467000.000000,2303053000.000000,407895000.000000,32438000.000000,0.000000,0.000000,0.000000,-3928362000.000000,-3895924000.000000,-4.534000,-3895924000.000000,-3928362000.000000,-3992502000.000000,-13.480000,-13.480000,-13.480000,2901783000.000000,,2901783000.000000,122339159837.000000,-27.000000,-27.903000,-146992000.000000,-0.517000,1.000000,649517000.000000,0.756000,731687000.000000,64140000.000000,1408683000.000000,,0.000000,910700000.000000,910700000.000000,0.000000,7589716000.000000,5139779000.000000,2449937000.000000,2622118000.000000,0.000000,3660533000.000000,-2500000.000000,0.000000,1766607000.000000,895694000.000000,912676000.000000,-139110000.000000,98927000.000000,-3887851000.000000,-3887851000.000000,-3887851000.000000,0.000000,0.000000,-4.525000,3749697000.000000,-3100180000.000000,2261227000.000000,0.000000,43.267000,-27.385000,-12.801000,654262000.000000,0.000000,206.350000,37.165000,17.370000,2181329000.000000,-6005707000.000000,859264000.000000,859264000.000000,2062195000.000000,,,,,2893172000.000000,1343584000.000000,1.000000,608434746.000000,284363000.000000,284363000.000000,3.022000,9759812000.000000,0.000000,-104651000.000000,0.000000,34.322000
ARQ,2021-03-31,2021-05-14,2021-03-31,2021-Q1,4353449000.000000,87194184907.000000,2025-05-01,-2200000.000000,12339077000.000000,,10926641000.000000,1412436000.000000,,5.257000,-7706000.000000,4502555000.000000,4502555000.000000,254515000.000000,-1172211000.000000,1.662000,2.905000,2457024000.000000,54867000.000000,2402157000.000000,2457024000.000000,946204000.000000,38252000.000000,0.000000,0.000000,0.000000,-743991000.000000,-705739000.000000,-0.796000,-705739000.000000,-743991000.000000,-1165902000.000000,-1.950000,-1.950000,-1.950000,3159423000.000000,,3159423000.000000,85148653907.000000,,,486662000.000000,0.810000,1.000000,632421000.000000,0.713000,723342000.000000,421911000.000000,2997012000.000000,,0.000000,2086666000.000000,2086666000.000000,0.000000,9179654000.000000,6573192000.000000,2606462000.000000,817329000.000000,0.000000,47793000.000000,-328917000.000000,0.000000,1567534000.000000,-1172286000.000000,-1164580000.000000,494368000.000000,-72287000.000000,-1172211000.000000,-1172211000.000000,-1172211000.000000,0.000000,0.000000,-1.322000,1079366000.000000,-446945000.000000,4131564000.000000,0.000000,27.598000,,,511973000.000000,0.000000,141.200000,,,4014876000.000000,-7177918000.000000,886936000.000000,886936000.000000,363061000.000000,,,,,229474000.000000,418887000.000000,1.000000,617522556.000000,600960000.000000,600960000.000000,1.476000,11615735000.000000,0.000000,6309000.000000,0.000000,19.329000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,4599632000.000000,96031474586.000000,2025-05-01,7000.000000,15484810000.000000,,14095982000.000000,1388828000.000000,,5.547000,-7652000.000000,5687446000.000000,5687446000.000000,294427000.000000,-68217000.000000,1.484000,3.563000,2443749000.000000,51112000.000000,2392637000.000000,2443749000.000000,1483909000.000000,35536000.000000,0.000000,0.000000,0.000000,-50464000.000000,-14928000.000000,-0.011000,-14928000.000000,-50464000.000000,-56984000.000000,-0.110000,-0.110000,-0.110000,3393201000.000000,,3393201000.000000,92787777586.000000,,,783647000.000000,1.281000,1.000000,1040769000.000000,0.779000,718207000.000000,6520000.000000,2026556000.000000,,0.000000,1755257000.000000,1755257000.000000,0.000000,12091609000.000000,9496350000.000000,2595259000.000000,3466886000.000000,0.000000,61526000.000000,0.000000,0.000000,2333538000.000000,325516000.000000,333168000.000000,791299000.000000,16533000.000000,-68217000.000000,-68217000.000000,-68217000.000000,0.000000,0.000000,-0.051000,1092047000.000000,-51278000.000000,6399364000.000000,0.000000,28.301000,,,482322000.000000,0.000000,152.760000,,,6301695000.000000,-7246135000.000000,1335196000.000000,1335196000.000000,349734000.000000,,,,,232863000.000000,533626000.000000,1.000000,628642803.000000,611739000.000000,611739000.000000,2.183000,14766603000.000000,0.000000,11233000.000000,0.000000,24.139000
ARQ,2021-09-30,2021-11-05,2021-09-30,2021-Q3,5661603000.000000,128107115462.000000,2025-05-01,-3152000.000000,13582003000.000000,,12220917000.000000,1361086000.000000,,7.164000,-5506000.000000,6009462000.000000,6009462000.000000,311580000.000000,833893000.000000,1.863000,2.053000,2430998000.000000,65578000.000000,2365420000.000000,2430998000.000000,892415000.000000,33687000.000000,0.000000,0.000000,0.000000,857107000.000000,890794000.000000,0.398000,890794000.000000,857107000.000000,850458000.000000,1.340000,1.220000,1.340000,4448934000.000000,,4448934000.000000,124528651462.000000,-32.000000,-33.423000,517672000.000000,0.834000,1.000000,1925852000.000000,0.861000,711620000.000000,6649000.000000,2732605000.000000,,0.000000,1926005000.000000,1926005000.000000,0.000000,9133069000.000000,6559314000.000000,2573755000.000000,-2079249000.000000,0.000000,20733000.000000,0.000000,0.000000,-2323426000.000000,-175749000.000000,-170243000.000000,523178000.000000,-103252000.000000,833893000.000000,833893000.000000,833893000.000000,0.000000,0.000000,0.373000,1073879000.000000,851973000.000000,4037587000.000000,0.000000,28.795000,-29.831000,-14.199000,453934000.000000,0.000000,201.620000,24.086000,23.541000,3940494000.000000,-6412242000.000000,2237432000.000000,2237432000.000000,344410000.000000,,,,,210789000.000000,501604000.000000,1.000000,635388927.000000,621012000.000000,681916000.000000,3.603000,12870383000.000000,0.000000,16565000.000000,0.000000,20.725000
ARQ,2021-12-31,2022-02-25,2021-12-31,2021-Q4,6027098000.000000,99703164265.000000,2025-05-01,-6893000.000000,13708474000.000000,,12386380000.000000,1322094000.000000,,7.585000,-4458000.000000,6082202000.000000,6082202000.000000,295311000.000000,54501000.000000,1.948000,1.870000,2418499000.000000,63479000.000000,2355020000.000000,2418499000.000000,903728000.000000,30844000.000000,0.000000,0.000000,0.000000,74740000.000000,105584000.000000,0.069000,105584000.000000,74740000.000000,72221000.000000,0.100000,0.100000,0.100000,4775713000.000000,,4775713000.000000,96039461265.000000,699.000000,348.334000,376391000.000000,0.598000,1.000000,1236885000.000000,0.807000,704910000.000000,2519000.000000,2980579000.000000,,0.000000,2255038000.000000,2255038000.000000,0.000000,8932761000.000000,6359282000.000000,2573479000.000000,-145929000.000000,0.000000,58141000.000000,0.000000,0.000000,-146487000.000000,-329436000.000000,-325478000.000000,380849000.000000,-50855000.000000,54501000.000000,54501000.000000,54501000.000000,0.000000,0.000000,0.036000,1161318000.000000,75567000.000000,3833832000.000000,0.000000,20.877000,-283.220000,-272.088000,428621000.000000,0.000000,155.090000,16.640000,15.942000,3715471000.000000,-6357741000.000000,1532196000.000000,1532196000.000000,367843000.000000,,,,,225704000.000000,567539000.000000,1.000000,642872940.000000,629631000.000000,629631000.000000,2.433000,13003564000.000000,0.000000,17720000.000000,0.000000,20.653000
ARQ,2022-03-31,2022-05-09,2022-03-31,2022-Q1,5987665000.000000,77072814990.000000,2025-05-01,-12415000.000000,17068442000.000000,,15761447000.000000,1306995000.000000,,7.457000,-5959000.000000,6901395000.000000,6901395000.000000,362623000.000000,-18792000.000000,1.613000,2.603000,2406010000.000000,63524000.000000,2342486000.000000,2406010000.000000,1747746000.000000,29232000.000000,0.000000,0.000000,0.000000,-2322000.000000,26910000.000000,0.018000,26910000.000000,-2322000.000000,-8086000.000000,-0.030000,-0.030000,-0.030000,4737416000.000000,,4737416000.000000,72577429990.000000,83.000000,71.976000,1196033000.000000,1.883000,1.000000,1146314000.000000,0.760000,698537000.000000,5764000.000000,2100738000.000000,,0.000000,2435661000.000000,2435661000.000000,0.000000,12331026000.000000,9773782000.000000,2557244000.000000,3211939000.000000,0.000000,11652000.000000,0.000000,0.000000,2203519000.000000,-196970000.000000,-188164000.000000,1201992000.000000,3398000.000000,-18792000.000000,-18792000.000000,-18792000.000000,0.000000,0.000000,-0.012000,1151445000.000000,-5131000.000000,6232840000.000000,0.000000,16.269000,96.175000,91.823000,405839000.000000,0.000000,119.370000,11.653000,11.467000,6104653000.000000,-6376533000.000000,1508937000.000000,1508937000.000000,362927000.000000,,,,,194923000.000000,555189000.000000,1.000000,645663190.000000,635314000.000000,635314000.000000,2.375000,16369905000.000000,0.000000,10706000.000000,0.000000,25.767000
ARQ,2022-06-30,2022-08-03,2022-06-30,2022-Q2,6538484000.000000,74613312742.000000,2025-05-01,-24030000.000000,19059126000.000000,,17825649000.000000,1233477000.000000,,8.216000,-5048000.000000,7852760000.000000,7852760000.000000,390107000.000000,378841000.000000,1.579000,2.634000,2381309000.000000,61702000.000000,2319607000.000000,2381309000.000000,1980863000.000000,26005000.000000,0.000000,0.000000,0.000000,390594000.000000,416599000.000000,0.198000,416599000.000000,390594000.000000,383111000.000000,0.590000,0.560000,0.590000,5245025000.000000,,5245025000.000000,69141861742.000000,52.000000,48.019000,794699000.000000,1.245000,1.000000,1714000000.000000,0.815000,691844000.000000,7483000.000000,1608666000.000000,,0.000000,2057487000.000000,2057487000.000000,0.000000,13814101000.000000,11287165000.000000,2526936000.000000,2302432000.000000,0.000000,25151000.000000,0.000000,0.000000,1445967000.000000,368001000.000000,373049000.000000,799747000.000000,-311283000.000000,378841000.000000,378841000.000000,378841000.000000,0.000000,0.000000,0.180000,1345177000.000000,368823000.000000,7604758000.000000,0.000000,14.226000,59.765000,57.510000,282689000.000000,0.000000,115.020000,10.107000,9.946000,7465510000.000000,-5997692000.000000,2104107000.000000,2104107000.000000,375050000.000000,,,,,247105000.000000,623129000.000000,1.000000,648698598.000000,638407000.000000,683536000.000000,3.296000,18367282000.000000,0.000000,4270000.000000,0.000000,28.770000
ARQ,2022-09-30,2022-11-03,2022-09-30,2022-Q3,6851197000.000000,59111548380.000000,2025-05-01,-41871000.000000,16076590000.000000,,14866524000.000000,1210066000.000000,,8.674000,-5599000.000000,7525208000.000000,7525208000.000000,401149000.000000,1214288000.000000,1.855000,1.902000,2361184000.000000,52324000.000000,2308860000.000000,2361184000.000000,1220256000.000000,12815000.000000,0.000000,0.000000,0.000000,1275581000.000000,1288396000.000000,0.447000,1288396000.000000,1275581000.000000,1269899000.000000,1.900000,1.790000,1.900000,5540136000.000000,,5540136000.000000,53947524380.000000,31.000000,29.359000,959964000.000000,1.503000,1.000000,2483261000.000000,0.861000,684681000.000000,5682000.000000,2212558000.000000,,0.000000,2103898000.000000,2103898000.000000,0.000000,10536454000.000000,8015327000.000000,2521127000.000000,-2982278000.000000,0.000000,-997351000.000000,0.000000,0.000000,-3574056000.000000,-55760000.000000,-50781000.000000,965563000.000000,-318025000.000000,1214288000.000000,1214288000.000000,1214288000.000000,0.000000,0.000000,0.421000,1279780000.000000,1203481000.000000,4958043000.000000,0.000000,10.670000,36.291000,35.945000,272676000.000000,0.000000,92.020000,7.362000,7.319000,4805382000.000000,-5783403000.000000,2884410000.000000,2884410000.000000,366182000.000000,,,,,234364000.000000,623600000.000000,1.000000,642377183.000000,638696000.000000,680059000.000000,4.516000,15391909000.000000,0.000000,55611000.000000,0.000000,24.099000
ARQ,2022-12-31,2023-02-17,2022-12-31,2022-Q4,6883000000.000000,84293549810.000000,2025-05-01,-32000000.000000,16038000000.000000,,14861000000.000000,1177000000.000000,,8.748000,-8394000.000000,7378000000.000000,7378000000.000000,345121000.000000,318663000.000000,1.863000,1.885000,2341000000.000000,59000000.000000,2282000000.000000,2341000000.000000,1182000000.000000,12948000.000000,0.000000,0.000000,0.000000,349147000.000000,362095000.000000,0.190000,362095000.000000,349147000.000000,344076000.000000,0.500000,0.480000,0.500000,5560000000.000000,,5560000000.000000,79256549810.000000,39.000000,37.849000,454304000.000000,0.715000,1.000000,1556425000.000000,0.819000,684000000.000000,5071000.000000,2339000000.000000,,0.000000,2244000000.000000,2244000000.000000,0.000000,10478000000.000000,7978000000.000000,2500000000.000000,-156093000.000000,0.000000,-451452000.000000,0.000000,0.000000,-764430000.000000,-143271000.000000,-135104000.000000,462698000.000000,288910000.000000,318663000.000000,318663000.000000,318663000.000000,0.000000,0.000000,0.168000,1321598000.000000,234827000.000000,4920000000.000000,0.000000,15.161000,44.529000,44.310000,259000000.000000,0.000000,131.600000,10.036000,9.981000,4783000000.000000,-5965000000.000000,1901546000.000000,1901546000.000000,397841000.000000,,,,,253608000.000000,664082000.000000,1.000000,640528494.000000,635545000.000000,671627000.000000,2.992000,15354000000.000000,0.000000,25413000.000000,0.000000,24.159000
