dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2009-12-31,2010-11-04,2009-12-31,2009-Q4,19141484.000000,64039800.000000,2025-05-14,0.000000,43922518.000000,,25957748.000000,17964770.000000,,0.719000,,24397740.000000,24397740.000000,,,3.808000,0.184000,0.000000,0.000000,0.000000,0.000000,1162437.000000,,0.000000,0.000000,0.000000,,,,,,,,,,37106254.000000,,37106254.000000,39642060.000000,-4.000000,-5.108000,,,1.000000,,,15152430.000000,,-2443916.000000,,0.000000,0.000000,0.000000,0.000000,6816264.000000,6816264.000000,0.000000,,,,,,,,,,,,,,,,,,,5653827.000000,,1.726000,-6.558000,-32.632000,2812340.000000,,6.200000,4.438000,22.185000,1052895.000000,-221851552.000000,,,,,,,,,,1.000000,10329000.000000,51629038.000000,,,28770088.000000,280132.000000,,0.000000,0.557000
ARQ,2010-09-30,2010-11-16,2010-09-30,2010-Q3,9126128.000000,72199710.000000,2025-05-14,0.000000,36335294.000000,,19111690.000000,17223604.000000,,2.550000,-59376.000000,15899130.000000,15899130.000000,0.000000,-2683247.000000,1.914000,0.379000,0.000000,0.000000,0.000000,0.000000,5585234.000000,499468.000000,0.000000,0.000000,0.000000,-2683247.000000,-2183779.000000,-0.210000,-2183779.000000,-2683247.000000,-2683247.000000,-0.260000,-0.260000,-0.260000,26349732.000000,,26349732.000000,56300580.000000,,,-2307322.000000,-0.223000,1.000000,10380235.000000,1.000000,14194755.000000,0.000000,-3744153.000000,,0.000000,0.000000,0.000000,0.000000,9985562.000000,9985562.000000,0.000000,-2288113.000000,,11033.000000,,,11033.000000,-76636.000000,0.000000,-2247946.000000,0.000000,-2683247.000000,-2683247.000000,-2683247.000000,0.000000,0.000000,-0.258000,7204124.000000,3176111.000000,4400328.000000,0.000000,2.740000,,,3028849.000000,0.000000,6.990000,,,2535140.000000,-233163656.000000,10380235.000000,10380235.000000,5222622.000000,,,,,102837.000000,1482034.000000,1.000000,10329000.000000,10335057.000000,10335057.000000,1.004000,22140539.000000,254533.000000,0.000000,0.000000,2.142000
ARQ,2010-12-31,2011-03-31,2010-12-31,2010-Q4,9774640.000000,32536350.000000,2025-05-14,0.000000,21022243.000000,,17908827.000000,3113416.000000,,1.038000,-58120.000000,12346010.000000,12346010.000000,0.000000,-1103376.000000,2.202000,0.959000,0.000000,0.000000,0.000000,0.000000,4137742.000000,-525097.000000,0.000000,0.000000,0.000000,-1103376.000000,-1628473.000000,-0.263000,-1628473.000000,-1103376.000000,-1103376.000000,-0.110000,-0.110000,-0.110000,10732578.000000,,10732578.000000,20190340.000000,-2.000000,-1.775000,-3604341.000000,-0.349000,1.000000,6192406.000000,1.000000,0.000000,0.000000,542046.000000,,150731.000000,0.000000,0.000000,0.000000,10289665.000000,8134187.000000,2155478.000000,-3553120.000000,,2519.000000,,,2519.000000,-8444.000000,0.000000,-3546221.000000,0.000000,-1103376.000000,-1103376.000000,-1103376.000000,0.000000,0.000000,-0.178000,7323000.000000,-1130594.000000,6151923.000000,0.000000,3.032000,-2.621000,-2.625000,3113416.000000,0.000000,3.150000,1.524000,1.524000,4136193.000000,-248910761.000000,6192406.000000,6192406.000000,6625644.000000,,,,,127432.000000,1222453.000000,1.000000,10329000.000000,10337987.000000,10337987.000000,0.599000,21022243.000000,403580.000000,0.000000,0.000000,2.033000
ARQ,2011-03-31,2011-05-10,2011-03-31,2011-Q1,6908502.000000,30367260.000000,2025-05-14,0.000000,16919165.000000,,13989140.000000,2930025.000000,,0.747000,-55258.000000,9228665.000000,9228665.000000,0.000000,-3097709.000000,1.976000,1.190000,0.000000,0.000000,0.000000,0.000000,4502243.000000,238649.000000,0.000000,0.000000,0.000000,-3097709.000000,-2859060.000000,-0.658000,-2859060.000000,-3097709.000000,-3097709.000000,-0.300000,-0.300000,-0.300000,7724680.000000,,7724680.000000,21138595.000000,,,-3114135.000000,-0.301000,1.000000,4343485.000000,1.000000,0.000000,0.000000,609862.000000,,0.000000,0.000000,0.000000,0.000000,9194485.000000,7080638.000000,2113847.000000,-3117345.000000,,1436.000000,,,1436.000000,-55258.000000,,-3058877.000000,0.000000,-3097709.000000,-3097709.000000,-3097709.000000,0.000000,0.000000,-0.713000,7419823.000000,-3076338.000000,4692242.000000,0.000000,3.931000,,,2930025.000000,0.000000,2.940000,,,3523117.000000,-252008470.000000,4343485.000000,4343485.000000,5639575.000000,,,,,88375.000000,1541599.000000,1.000000,10329000.000000,10341259.000000,10341259.000000,0.420000,16919165.000000,403580.000000,0.000000,0.000000,1.636000
ARQ,2011-06-30,2011-08-11,2011-06-30,2011-Q2,7552744.000000,24192565.000000,2025-05-14,0.000000,18453579.000000,,15760650.000000,2692929.000000,,0.769000,-1190.000000,9711620.000000,9711620.000000,0.000000,-3532068.000000,1.920000,1.262000,0.000000,0.000000,0.000000,0.000000,5060826.000000,238286.000000,0.000000,0.000000,0.000000,-3532068.000000,-3293782.000000,-0.747000,-3293782.000000,-3532068.000000,-3532068.000000,-0.330000,-0.330000,-0.330000,8159580.000000,,8159580.000000,14480945.000000,-1.000000,-1.453000,-4036436.000000,-0.380000,1.000000,4407823.000000,1.000000,0.000000,0.000000,534053.000000,,211047.000000,0.000000,0.000000,0.000000,10293999.000000,8207906.000000,2086093.000000,482955.000000,,4545647.000000,,,4545647.000000,-1190.000000,,-4035246.000000,0.000000,-3532068.000000,-3532068.000000,-3532068.000000,0.000000,0.000000,-0.801000,8030862.000000,-3623039.000000,4642506.000000,0.000000,2.965000,-2.323000,-2.340000,2692929.000000,0.000000,2.340000,0.955000,0.981000,4531568.000000,-255540538.000000,4407823.000000,4407823.000000,6198149.000000,,,,,84130.000000,1594427.000000,1.000000,10338703.000000,10617303.000000,10617303.000000,0.415000,18453579.000000,321208.000000,0.000000,0.000000,1.738000
ARQ,2011-09-30,2011-11-08,2011-09-30,2011-Q3,6336374.000000,17575795.000000,2025-05-14,0.000000,15422806.000000,,12983675.000000,2439131.000000,,0.569000,0.000000,9215249.000000,9215249.000000,0.000000,-1469295.000000,1.953000,1.235000,0.000000,0.000000,0.000000,0.000000,4476982.000000,253798.000000,0.000000,0.000000,0.000000,-1469295.000000,-1215497.000000,-0.292000,-1215497.000000,-1469295.000000,-1469295.000000,-0.120000,-0.120000,-0.120000,6901704.000000,,6901704.000000,8360546.000000,-1.000000,-0.929000,-568970.000000,-0.047000,1.000000,4160409.000000,1.000000,0.000000,0.000000,-439744.000000,,0.000000,0.000000,0.000000,0.000000,8521102.000000,6647301.000000,1873801.000000,-496371.000000,,9153.000000,,,9153.000000,0.000000,,-568970.000000,0.000000,-1469295.000000,-1469295.000000,-1469295.000000,0.000000,0.000000,-0.353000,5842528.000000,-1682119.000000,3730888.000000,0.000000,2.547000,-1.910000,-1.977000,2439131.000000,0.000000,1.700000,0.920000,1.080000,2292835.000000,-257009833.000000,4160409.000000,4160409.000000,4380947.000000,,,,,202266.000000,1207783.000000,1.000000,10338703.000000,12139113.000000,12139113.000000,0.343000,15422806.000000,321208.000000,0.000000,0.000000,1.271000
ARQ,2011-12-31,2012-03-27,2011-12-31,2011-Q4,4808220.000000,31343481.000000,2025-05-14,0.000000,13991292.000000,,11793713.000000,2197579.000000,,0.437000,-3227.000000,9184134.000000,9184134.000000,0.000000,-1837854.000000,1.688000,1.632000,0.000000,0.000000,0.000000,0.000000,4498427.000000,244779.000000,0.000000,0.000000,0.000000,-1837854.000000,-1593075.000000,-0.427000,-1593075.000000,-1837854.000000,-1837854.000000,-0.150000,-0.150000,-0.150000,5315270.000000,,5315270.000000,22159347.000000,-2.000000,-2.473000,-18738.000000,-0.002000,1.000000,3735226.000000,1.000000,0.000000,0.000000,-2178335.000000,,0.000000,0.000000,0.000000,0.000000,8676022.000000,6985493.000000,1690529.000000,-31115.000000,,72.000000,,,72.000000,-3227.000000,,-15511.000000,0.000000,-1837854.000000,-1837854.000000,-1837854.000000,0.000000,0.000000,-0.492000,5893755.000000,-2158529.000000,3972551.000000,0.000000,5.897000,-3.154000,-2.932000,2197579.000000,0.000000,2.580000,1.883000,1.754000,1066049.000000,-258847687.000000,3735226.000000,3735226.000000,3680298.000000,,,,,251348.000000,1968678.000000,1.000000,12148636.000000,12157632.000000,12157632.000000,0.307000,13991292.000000,331032.000000,0.000000,0.000000,1.151000
ARQ,2012-03-31,2012-05-15,2012-03-31,2012-Q1,4941662.000000,23811327.000000,2025-05-14,0.000000,14661069.000000,,12703488.000000,1957581.000000,,0.420000,-839.000000,8745074.000000,8745074.000000,0.000000,-3159878.000000,1.637000,1.728000,0.000000,0.000000,0.000000,0.000000,4654567.000000,240837.000000,0.000000,0.000000,0.000000,-3159878.000000,-2919041.000000,-0.819000,-2919041.000000,-3159878.000000,-3159878.000000,-0.250000,-0.250000,-0.250000,5373397.000000,,5373397.000000,15066253.000000,-2.000000,-1.670000,-4252859.000000,-0.333000,1.000000,3563982.000000,1.000000,0.000000,0.000000,-1845831.000000,,0.000000,0.000000,0.000000,0.000000,9287672.000000,7761826.000000,1525846.000000,-439060.000000,,3842715.000000,,,3842715.000000,-839.000000,,-4252020.000000,0.000000,-3159878.000000,-3159878.000000,-3159878.000000,0.000000,0.000000,-0.887000,6198918.000000,-2634936.000000,3065337.000000,0.000000,4.431000,-2.381000,-2.306000,1957581.000000,0.000000,1.960000,1.501000,1.579000,2438678.000000,-262007565.000000,3563982.000000,3563982.000000,4136529.000000,,,,,178648.000000,1821552.000000,1.000000,12148636.000000,12779573.000000,12779573.000000,0.279000,14661069.000000,331032.000000,0.000000,0.000000,1.147000
ARQ,2012-06-30,2012-08-14,2012-06-30,2012-Q2,3147512.000000,44706980.000000,2025-05-14,0.000000,11831007.000000,,10087447.000000,1743560.000000,,0.257000,-11928.000000,6937728.000000,6937728.000000,0.000000,-1923355.000000,1.454000,2.286000,0.000000,0.000000,0.000000,0.000000,4341146.000000,225949.000000,0.000000,0.000000,0.000000,-1923355.000000,-1697406.000000,-0.469000,-1697406.000000,-1923355.000000,-1923355.000000,-0.140000,-0.140000,-0.140000,3600268.000000,,3600268.000000,37769252.000000,-5.000000,-5.087000,-1797277.000000,-0.128000,1.000000,3619947.000000,1.000000,0.000000,0.000000,-2046656.000000,,0.000000,0.000000,0.000000,0.000000,8230739.000000,6939935.000000,1290804.000000,-1807346.000000,,300.000000,,,300.000000,-11928.000000,,-1785349.000000,0.000000,-1923355.000000,-1923355.000000,-1923355.000000,0.000000,0.000000,-0.531000,6202318.000000,-2582371.000000,2956847.000000,0.000000,12.418000,-5.328000,-5.576000,1743560.000000,0.000000,3.680000,2.965000,3.416000,1958253.000000,-263930920.000000,3619947.000000,3619947.000000,3572507.000000,,,,,149926.000000,2403862.000000,1.000000,12148636.000000,13999626.000000,13999626.000000,0.259000,11831007.000000,217460.000000,0.000000,0.000000,0.845000
ARQ,2012-09-30,2012-11-13,2012-09-30,2012-Q3,-189408.000000,68032362.000000,2025-05-14,0.000000,10130146.000000,,8603775.000000,1526371.000000,,0.022000,2488.000000,5632892.000000,5632892.000000,0.000000,-3435441.000000,0.978000,31.771000,0.000000,0.000000,0.000000,0.000000,4110181.000000,214701.000000,0.000000,0.000000,0.000000,-3435441.000000,-3220740.000000,-1.057000,-3220740.000000,-3435441.000000,-3435441.000000,-0.250000,-0.250000,-0.250000,309123.000000,,309123.000000,62399470.000000,-6.000000,-6.617000,-1292115.000000,-0.092000,1.000000,3047934.000000,1.000000,0.000000,0.000000,-4295929.000000,,0.000000,0.000000,0.000000,0.000000,9821023.000000,8793183.000000,1027840.000000,-1304836.000000,,3640.000000,,,3640.000000,2488.000000,,-1294603.000000,0.000000,-3435441.000000,-3435441.000000,-3435441.000000,0.000000,0.000000,-1.127000,4821163.000000,-1773229.000000,3033362.000000,0.000000,220.082000,-6.569000,-7.089000,1526371.000000,0.000000,5.600000,4.871000,5.616000,2047440.000000,-267366361.000000,3047934.000000,3047934.000000,3101825.000000,,,,,140656.000000,1504637.000000,1.000000,12148636.000000,14006774.000000,14006774.000000,0.218000,10130146.000000,9825.000000,0.000000,0.000000,0.723000
