dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2004-03-31,2004-05-26,2004-03-31,2004-Q1,13248700.000000,,2025-05-09,379200.000000,27416200.000000,,23689800.000000,3726400.000000,,-39.072000,-41800.000000,4367900.000000,4367900.000000,0.000000,-6481200.000000,2.269000,-1.469000,4043900.000000,3167400.000000,876500.000000,4043900.000000,2320300.000000,334600.000000,0.000000,,0.000000,-6344900.000000,-6010300.000000,-6.505000,-6010300.000000,-6344900.000000,-6481200.000000,-0.580000,-0.580000,-0.580000,-58415400.000000,,-58415400.000000,,,,-3945000.000000,-2.639000,1.000000,923900.000000,1.000000,0.000000,136300.000000,16651100.000000,,0.000000,18126200.000000,18126200.000000,0.000000,85831600.000000,10441100.000000,75390500.000000,-1940200.000000,0.000000,86500.000000,-844600.000000,0.000000,-758100.000000,2750300.000000,2792100.000000,-3903200.000000,-29200.000000,-6481200.000000,-865300.000000,-865300.000000,0.000000,0.000000,-0.937000,7355900.000000,-6432000.000000,2530400.000000,0.000000,,,,2801300.000000,-5615900.000000,,,,0.000000,-74847100.000000,923900.000000,923900.000000,5749300.000000,,,,,695200.000000,911400.000000,1.000000,16836074.000000,1495056.000000,1495056.000000,0.618000,27416200.000000,0.000000,0.000000,0.000000,18.338000
ARQ,2004-06-30,2004-08-12,2004-06-30,2004-Q2,40692700.000000,92256566.000000,2025-05-09,320600.000000,53303500.000000,,50258100.000000,3045400.000000,,6.531000,-258600.000000,8156500.000000,8156500.000000,0.000000,-5886500.000000,5.254000,0.246000,3550400.000000,2604100.000000,946300.000000,3550400.000000,1986900.000000,308400.000000,0.000000,0.000000,0.000000,-5767900.000000,-5459500.000000,-5.375000,-5459500.000000,-5767900.000000,-5886500.000000,-0.420000,-0.420000,-0.420000,42791800.000000,,42791800.000000,87650466.000000,,,-5159200.000000,-0.787000,1.000000,1015700.000000,1.000000,0.000000,118600.000000,39132000.000000,,0.000000,40636200.000000,40636200.000000,0.000000,10511700.000000,9565400.000000,946300.000000,3788600.000000,0.000000,31023800.000000,489100.000000,0.000000,31512900.000000,-22826700.000000,-22568100.000000,-4900600.000000,3000.000000,-5886500.000000,-2776600.000000,-2776600.000000,0.000000,0.000000,-2.734000,6901000.000000,-5885300.000000,1984600.000000,0.000000,2.156000,,,2760700.000000,-3109900.000000,5.470000,,,0.000000,-80733600.000000,1015700.000000,1015700.000000,5406600.000000,,,,,614500.000000,879900.000000,1.000000,16865917.000000,6552366.000000,6552366.000000,0.155000,53303500.000000,0.000000,0.000000,0.000000,8.135000
ARQ,2004-09-30,2004-11-12,2004-09-30,2004-Q3,35541400.000000,119586881.000000,2025-05-09,298300.000000,47749500.000000,,44905400.000000,2844100.000000,,2.247000,-84800.000000,5692600.000000,5692600.000000,0.000000,-6214500.000000,4.796000,0.278000,3085700.000000,2059400.000000,1026300.000000,3085700.000000,1653600.000000,305300.000000,0.000000,0.000000,0.000000,-6118100.000000,-5812800.000000,-3.676000,-5812800.000000,-6118100.000000,-6214500.000000,-0.370000,-0.370000,-0.370000,37359200.000000,,37359200.000000,116979981.000000,,,-5270900.000000,-0.317000,1.000000,1581300.000000,1.000000,0.000000,96400.000000,35778600.000000,,0.000000,37465200.000000,37465200.000000,0.000000,10390300.000000,9364000.000000,1026300.000000,-2463900.000000,0.000000,134700.000000,-476800.000000,0.000000,-342100.000000,3089700.000000,3174500.000000,-5186100.000000,-25400.000000,-6214500.000000,-6214500.000000,-6214500.000000,0.000000,0.000000,-3.930000,7903800.000000,-6322500.000000,2450300.000000,0.000000,3.201000,,,2549000.000000,0.000000,7.090000,,,0.000000,-86948200.000000,1581300.000000,1581300.000000,5923200.000000,,,,,669600.000000,1311000.000000,1.000000,16866979.000000,16628914.000000,16628914.000000,0.095000,47749500.000000,0.000000,0.000000,0.000000,2.871000
ARQ,2004-12-31,2005-03-18,2004-12-31,2004-Q4,29177500.000000,131412714.000000,2025-05-09,314400.000000,40365000.000000,,37818100.000000,2546900.000000,,2.963000,-200100.000000,8301700.000000,8301700.000000,0.000000,-7334800.000000,4.377000,0.316000,2530400.000000,1486400.000000,1044000.000000,2530400.000000,1320300.000000,357300.000000,0.000000,0.000000,0.000000,-7257300.000000,-6900000.000000,-6.369000,-6900000.000000,-7257300.000000,-7334800.000000,-0.450000,-0.450000,-0.450000,30680400.000000,,30680400.000000,125641414.000000,-5.000000,-5.196000,-6903600.000000,-0.667000,1.000000,1083400.000000,1.000000,0.000000,77500.000000,25953100.000000,,0.000000,27625700.000000,27625700.000000,0.000000,9684600.000000,8640600.000000,1044000.000000,2609100.000000,0.000000,256000.000000,-562300.000000,0.000000,-306300.000000,9608000.000000,9808100.000000,-6703500.000000,10900.000000,-7334800.000000,-7334800.000000,-7334800.000000,0.000000,0.000000,-6.770000,8538800.000000,-7455400.000000,2152800.000000,0.000000,4.283000,-7.583000,-4.359000,2546900.000000,0.000000,7.280000,28.541000,16.370000,0.000000,-94283000.000000,1083400.000000,1083400.000000,6374900.000000,,,,,376500.000000,1787400.000000,1.000000,18051197.000000,10353351.000000,10353351.000000,0.105000,40365000.000000,0.000000,0.000000,0.000000,3.899000
ARQ,2004-12-31,2005-05-10,2004-12-31,2004-Q4,29177500.000000,131232202.000000,2025-05-09,314400.000000,40365000.000000,,37818100.000000,2546900.000000,,2.963000,-200100.000000,8301700.000000,8301700.000000,0.000000,-7334800.000000,4.377000,0.316000,2530400.000000,1486400.000000,1044000.000000,2530400.000000,1320300.000000,357300.000000,0.000000,0.000000,0.000000,-7257300.000000,-6900000.000000,-6.369000,-6900000.000000,-7257300.000000,-7334800.000000,-0.450000,-0.450000,-0.450000,30680400.000000,,30680400.000000,125460902.000000,-5.000000,-5.188000,-6903600.000000,-0.667000,1.000000,1083400.000000,1.000000,0.000000,77500.000000,25953100.000000,,0.000000,27625700.000000,27625700.000000,0.000000,9684600.000000,8640600.000000,1044000.000000,2609100.000000,0.000000,256000.000000,-562300.000000,0.000000,-306300.000000,9608000.000000,9808100.000000,-6703500.000000,10900.000000,-7334800.000000,-7334800.000000,-7334800.000000,0.000000,0.000000,-6.770000,8538800.000000,-7455400.000000,2152800.000000,0.000000,4.277000,-7.572000,-4.353000,2546900.000000,0.000000,7.270000,28.502000,16.348000,0.000000,-94283000.000000,1083400.000000,1083400.000000,6374900.000000,,,,,376500.000000,1787400.000000,1.000000,18051197.000000,10353351.000000,10353351.000000,0.105000,40365000.000000,0.000000,0.000000,0.000000,3.899000
ARQ,2005-03-31,2005-05-13,2005-03-31,2005-Q1,31960100.000000,167892381.000000,2025-05-09,266700.000000,45924300.000000,,43652600.000000,2271700.000000,,1.808000,-91000.000000,11235900.000000,11235900.000000,0.000000,-5589200.000000,3.733000,0.419000,1698800.000000,844800.000000,854000.000000,1698800.000000,6841800.000000,306000.000000,0.000000,0.000000,0.000000,-5538900.000000,-5232900.000000,-2.251000,-5232900.000000,-5538900.000000,-5589200.000000,-0.310000,-0.310000,-0.310000,32370600.000000,,32370600.000000,158355281.000000,-6.000000,-6.766000,-358800.000000,-0.020000,1.000000,2325200.000000,1.000000,0.000000,50300.000000,24694700.000000,,0.000000,30410200.000000,30410200.000000,0.000000,13553700.000000,11692500.000000,1861200.000000,2934200.000000,0.000000,6956000.000000,-833500.000000,0.000000,6122500.000000,-2907800.000000,-2816800.000000,-267800.000000,-12700.000000,-5589200.000000,-5589200.000000,-5589200.000000,0.000000,0.000000,-2.404000,8125400.000000,-5800200.000000,1356500.000000,0.000000,5.187000,-7.661000,-4.639000,2271700.000000,0.000000,7.190000,27.956000,21.434000,0.000000,-99872200.000000,2325200.000000,2325200.000000,6115600.000000,,,,,371200.000000,1638600.000000,1.000000,23350818.000000,17903209.000000,17903209.000000,0.130000,45924300.000000,0.000000,0.000000,0.000000,2.565000
ARQ,2005-06-30,2005-08-15,2005-06-30,2005-Q2,60320400.000000,211645199.000000,2025-05-09,198600.000000,73630500.000000,,71398200.000000,2232300.000000,,2.627000,-389000.000000,15812400.000000,15812400.000000,0.000000,-6036900.000000,6.445000,0.204000,1673500.000000,854600.000000,818900.000000,1673500.000000,5085600.000000,292600.000000,0.000000,0.000000,0.000000,-5999300.000000,-5706700.000000,-2.269000,-5706700.000000,-5999300.000000,-6036900.000000,-0.260000,-0.260000,-0.260000,61149500.000000,,61149500.000000,197506299.000000,-8.000000,-8.350000,-7085800.000000,-0.304000,1.000000,2514600.000000,1.000000,0.000000,37600.000000,48413800.000000,,0.000000,53148400.000000,53148400.000000,0.000000,12481000.000000,11077800.000000,1403200.000000,4576500.000000,0.000000,34489000.000000,-25200.000000,0.000000,34463800.000000,-23125800.000000,-22736800.000000,-6696800.000000,-64700.000000,-6036900.000000,-6036900.000000,-6036900.000000,0.000000,0.000000,-2.401000,9008300.000000,-6493700.000000,2317200.000000,0.000000,3.461000,-8.407000,-6.489000,2232300.000000,0.000000,9.020000,28.202000,27.974000,0.000000,-105909100.000000,2514600.000000,2514600.000000,6563100.000000,,,,,394800.000000,2050300.000000,1.000000,23463991.000000,23274186.000000,23274186.000000,0.108000,73630500.000000,0.000000,0.000000,0.000000,3.164000
ARQ,2005-09-30,2005-11-14,2005-09-30,2005-Q3,48310400.000000,243573847.000000,2025-05-09,159800.000000,70270600.000000,,67999500.000000,2271100.000000,,2.108000,-311300.000000,23352700.000000,23352700.000000,0.000000,-12306100.000000,3.454000,0.428000,1853100.000000,926400.000000,926700.000000,1853100.000000,4167900.000000,220800.000000,0.000000,0.000000,0.000000,-12265800.000000,-12045000.000000,-3.279000,-12045000.000000,-12265800.000000,-12306100.000000,-0.530000,-0.530000,-0.530000,49196800.000000,,49196800.000000,222074247.000000,-7.000000,-7.431000,-6576000.000000,-0.282000,1.000000,3673500.000000,1.000000,0.000000,40300.000000,29081900.000000,,0.000000,39378400.000000,39378400.000000,0.000000,21073800.000000,19689100.000000,1384700.000000,7540300.000000,0.000000,70400.000000,179600.000000,0.000000,250000.000000,13432300.000000,13743600.000000,-6264700.000000,122700.000000,-12306100.000000,-12306100.000000,-12306100.000000,0.000000,0.000000,-3.350000,16486000.000000,-12812500.000000,1729500.000000,0.000000,4.951000,-7.790000,-6.690000,2249300.000000,0.000000,10.370000,25.381000,25.224000,0.000000,-118215200.000000,3673500.000000,3673500.000000,8064900.000000,,,,,321900.000000,2098300.000000,1.000000,23488317.000000,23343309.000000,23343309.000000,0.157000,70270600.000000,0.000000,0.000000,0.000000,3.010000
ARQ,2005-12-31,2006-03-15,2005-12-31,2005-Q4,38423300.000000,410538892.000000,2025-05-09,133500.000000,62505800.000000,,60124700.000000,2381100.000000,,1.673000,-230500.000000,22316100.000000,22316100.000000,0.000000,-10202900.000000,2.771000,0.588000,1782000.000000,890400.000000,891600.000000,1782000.000000,3445500.000000,206200.000000,0.000000,0.000000,0.000000,-10150900.000000,-9944700.000000,-4.071000,-9944700.000000,-10150900.000000,-10202900.000000,-0.440000,-0.440000,-0.440000,39371100.000000,,39371100.000000,390004792.000000,-11.000000,-11.844000,-7263800.000000,-0.309000,1.000000,2443000.000000,1.000000,0.000000,52000.000000,20270300.000000,,0.000000,33204900.000000,33204900.000000,0.000000,23134700.000000,21701400.000000,1433300.000000,-13556600.000000,0.000000,154500.000000,-100600.000000,0.000000,-12466100.000000,5949900.000000,6180400.000000,-7033300.000000,-7100.000000,-10202900.000000,-10202900.000000,-10202900.000000,0.000000,0.000000,-4.176000,13142900.000000,-10699900.000000,2073300.000000,0.000000,10.427000,-12.027000,-10.877000,2283100.000000,0.000000,16.860000,37.471000,33.877000,0.000000,-128418100.000000,2443000.000000,2443000.000000,10104300.000000,,,,,219800.000000,2598800.000000,1.000000,24349875.000000,23536460.000000,23536460.000000,0.104000,62505800.000000,0.000000,0.000000,0.000000,2.656000
ARQ,2006-03-31,2006-05-10,2006-03-31,2006-Q1,39378000.000000,340120986.000000,2025-05-09,142000.000000,63518000.000000,,61121000.000000,2397000.000000,,1.640000,-199000.000000,23784000.000000,23784000.000000,0.000000,-9467000.000000,2.811000,0.594000,1538000.000000,805000.000000,733000.000000,1538000.000000,4041000.000000,189000.000000,0.000000,0.000000,0.000000,-9424000.000000,-9235000.000000,-3.640000,-9235000.000000,-9424000.000000,-9467000.000000,-0.390000,-0.390000,-0.390000,39859000.000000,,39859000.000000,317874986.000000,-8.000000,-8.607000,-8164000.000000,-0.336000,1.000000,2537000.000000,1.000000,0.000000,43000.000000,19529000.000000,,0.000000,32420000.000000,32420000.000000,0.000000,23659000.000000,21743000.000000,1916000.000000,1468000.000000,0.000000,9098000.000000,-244000.000000,0.000000,8854000.000000,604000.000000,803000.000000,-7965000.000000,-25000.000000,-9467000.000000,-9467000.000000,-9467000.000000,0.000000,0.000000,-3.732000,12637000.000000,-10100000.000000,733000.000000,0.000000,8.533000,-8.948000,-7.154000,2299000.000000,0.000000,11.590000,30.455000,25.226000,0.000000,-137885000.000000,2537000.000000,2537000.000000,10126000.000000,,,,,900000.000000,2284000.000000,1.000000,29346073.000000,24308000.000000,24308000.000000,0.104000,63518000.000000,0.000000,0.000000,0.000000,2.613000
ARQ,2006-06-30,2006-08-08,2006-06-30,2006-Q2,87355000.000000,179303075.000000,2025-05-09,259000.000000,115568000.000000,,112661000.000000,2907000.000000,,3.186000,-727000.000000,50940000.000000,50940000.000000,0.000000,-11867000.000000,4.452000,0.305000,1659000.000000,826000.000000,833000.000000,1659000.000000,3916000.000000,195000.000000,0.000000,0.000000,0.000000,-11823000.000000,-11628000.000000,-6.182000,-11628000.000000,-11823000.000000,-11867000.000000,-0.430000,-0.430000,-0.430000,88546000.000000,,88546000.000000,130022075.000000,-3.000000,-3.034000,-9532000.000000,-0.343000,1.000000,1881000.000000,1.000000,0.000000,44000.000000,40981000.000000,,0.000000,55715000.000000,55715000.000000,0.000000,27022000.000000,25306000.000000,1716000.000000,27156000.000000,0.000000,59751000.000000,121000.000000,0.000000,59872000.000000,-23979000.000000,-23252000.000000,-8805000.000000,68000.000000,-11867000.000000,-11867000.000000,-11867000.000000,0.000000,0.000000,-6.309000,14745000.000000,-12864000.000000,3419000.000000,0.000000,2.025000,-4.090000,-3.369000,2811000.000000,0.000000,6.030000,17.021000,15.908000,0.000000,-149753000.000000,1881000.000000,1881000.000000,12255000.000000,,,,,686000.000000,2296000.000000,1.000000,29735170.000000,27792000.000000,27792000.000000,0.068000,115568000.000000,0.000000,0.000000,0.000000,4.158000
