dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2022-01-14,2020-12-31,2020-Q4,44086000.000000,,2025-05-09,0.000000,57694000.000000,,49357000.000000,8337000.000000,,-40.463000,,46795000.000000,46795000.000000,,,9.364000,-0.112000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-63720000.000000,,-63720000.000000,,,,,,1.000000,,,0.000000,,5628000.000000,,0.000000,0.000000,0.000000,0.000000,7153000.000000,5271000.000000,1882000.000000,,,,,,,,,,,,,,,,,,,504000.000000,,,,,4900000.000000,,,,,0.000000,-65142000.000000,,,,,,,,,,1.000000,33543534.000000,1574764.000000,,,57694000.000000,0.000000,,0.000000,36.637000
ARQ,2021-09-30,2022-01-31,2021-09-30,2021-Q3,120878000.000000,,2025-05-09,-5000.000000,144963000.000000,,134139000.000000,10824000.000000,,-3.094000,,70226000.000000,70226000.000000,,,10.115000,-0.148000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-103795000.000000,,-103795000.000000,,,,,,1.000000,,,0.000000,,61476000.000000,,0.000000,61155000.000000,61155000.000000,0.000000,15379000.000000,13261000.000000,2118000.000000,,,,,,,,,,,,,,,,,,,1583000.000000,,,,,6781000.000000,,,,,0.000000,-109441000.000000,,,,,,,,,,1.000000,33543534.000000,33543534.000000,,,144963000.000000,0.000000,,0.000000,4.322000
ARQ,2021-12-31,2022-03-24,2021-12-31,2021-Q4,97964000.000000,564280661.000000,2025-05-09,-20000.000000,128782000.000000,,112809000.000000,15973000.000000,,-235.020000,-4753000.000000,31032000.000000,31032000.000000,0.000000,-20670000.000000,7.599000,-0.139000,0.000000,0.000000,0.000000,0.000000,0.000000,331000.000000,0.000000,0.000000,0.000000,-20670000.000000,-20339000.000000,,-20339000.000000,-20670000.000000,-20670000.000000,-40.780000,-40.780000,-40.780000,-121515000.000000,,-121515000.000000,533248661.000000,-8.000000,-8.341000,-26299000.000000,-50.864000,1.000000,0.000000,,0.000000,0.000000,82905000.000000,,0.000000,73784000.000000,73784000.000000,0.000000,16918000.000000,14845000.000000,2073000.000000,-39194000.000000,0.000000,63000.000000,-28000.000000,0.000000,15000.000000,-17663000.000000,-12910000.000000,-21546000.000000,0.000000,-20670000.000000,-20670000.000000,-20670000.000000,0.000000,0.000000,,20698000.000000,-20698000.000000,1333000.000000,0.000000,-4.644000,-8.685000,-0.108000,10318000.000000,0.000000,15.790000,,,0.000000,-130111000.000000,0.000000,0.000000,13394000.000000,,,,,2902000.000000,7304000.000000,1.000000,35736584.000000,517041.000000,517041.000000,0.000000,128782000.000000,0.000000,0.000000,0.000000,249.075000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,204095000.000000,314481939.000000,2025-05-09,-44000.000000,243390000.000000,,220903000.000000,22487000.000000,,10.674000,-467000.000000,127359000.000000,127359000.000000,0.000000,-32385000.000000,13.143000,0.098000,5214000.000000,370000.000000,4844000.000000,5214000.000000,0.000000,476000.000000,0.000000,0.000000,0.000000,-32385000.000000,-31909000.000000,,-31909000.000000,-32385000.000000,-32385000.000000,-1.560000,-1.560000,-1.560000,221591000.000000,,221591000.000000,192336939.000000,,,-33053000.000000,-1.592000,1.000000,0.000000,,0.000000,0.000000,104437000.000000,,0.000000,83769000.000000,83769000.000000,0.000000,21799000.000000,16808000.000000,4991000.000000,96327000.000000,0.000000,139585000.000000,-29000.000000,0.000000,139556000.000000,-10643000.000000,-10176000.000000,-32586000.000000,0.000000,-32385000.000000,-32385000.000000,-32385000.000000,0.000000,0.000000,,32435000.000000,-32435000.000000,1874000.000000,0.000000,1.419000,,,13375000.000000,0.000000,8.800000,,,0.000000,-162496000.000000,0.000000,0.000000,24401000.000000,,,,,4481000.000000,8034000.000000,1.000000,35736584.000000,20760722.000000,20760722.000000,0.000000,243390000.000000,0.000000,0.000000,0.000000,11.724000
ARQ,2022-03-31,2022-06-15,2022-03-31,2022-Q1,204095000.000000,711668122.000000,2025-05-09,-44000.000000,243390000.000000,,220903000.000000,22487000.000000,,10.674000,-467000.000000,127359000.000000,127359000.000000,0.000000,-32385000.000000,13.143000,0.098000,5214000.000000,370000.000000,4844000.000000,5214000.000000,0.000000,476000.000000,0.000000,0.000000,0.000000,-32385000.000000,-31909000.000000,,-31909000.000000,-32385000.000000,-32385000.000000,-1.560000,-1.560000,-1.560000,221591000.000000,,221591000.000000,589523122.000000,,,-33053000.000000,-1.592000,1.000000,0.000000,,0.000000,0.000000,104437000.000000,,0.000000,83769000.000000,83769000.000000,0.000000,21799000.000000,16808000.000000,4991000.000000,96327000.000000,0.000000,139585000.000000,-29000.000000,0.000000,139556000.000000,-10643000.000000,-10176000.000000,-32586000.000000,0.000000,-32385000.000000,-32385000.000000,-32385000.000000,0.000000,0.000000,,32435000.000000,-32435000.000000,1874000.000000,0.000000,3.212000,,,13375000.000000,0.000000,17.470000,,,0.000000,-162496000.000000,0.000000,0.000000,24401000.000000,,,,,4481000.000000,8034000.000000,1.000000,40736584.000000,20760722.000000,20760722.000000,0.000000,243390000.000000,0.000000,0.000000,0.000000,11.724000
ARQ,2022-06-30,2022-08-15,2022-06-30,2022-Q2,293694000.000000,843082293.000000,2025-05-09,-262000.000000,375326000.000000,,325747000.000000,49579000.000000,,8.630000,-149000.000000,167041000.000000,167041000.000000,0.000000,-32091000.000000,10.163000,0.188000,29513000.000000,2313000.000000,27200000.000000,29513000.000000,0.000000,361000.000000,0.000000,0.000000,0.000000,-32091000.000000,-31730000.000000,,-31730000.000000,-32091000.000000,-32091000.000000,-0.880000,-0.880000,-0.880000,315956000.000000,,315956000.000000,705554293.000000,,,-22697000.000000,-0.620000,1.000000,0.000000,,0.000000,0.000000,205745000.000000,,0.000000,142446000.000000,142446000.000000,0.000000,59370000.000000,32053000.000000,27317000.000000,39682000.000000,0.000000,121493000.000000,-30000.000000,0.000000,121463000.000000,-59233000.000000,-59084000.000000,-22548000.000000,0.000000,-32091000.000000,-32091000.000000,-32091000.000000,0.000000,0.000000,,32609000.000000,-32609000.000000,7556000.000000,0.000000,2.668000,,,37109000.000000,0.000000,19.240000,,,0.000000,-194587000.000000,0.000000,0.000000,23402000.000000,,,,,5944000.000000,9207000.000000,1.000000,43819246.000000,36609772.000000,36609772.000000,0.000000,375326000.000000,0.000000,0.000000,0.000000,10.252000
ARQ,2022-09-30,2022-11-14,2022-09-30,2022-Q3,245528000.000000,946805550.000000,2025-05-09,-399000.000000,337327000.000000,,290305000.000000,47022000.000000,,5.392000,-385000.000000,59264000.000000,59264000.000000,0.000000,-92874000.000000,6.483000,0.428000,86869000.000000,30603000.000000,56266000.000000,86869000.000000,0.000000,63808000.000000,0.000000,0.000000,0.000000,-92874000.000000,-29066000.000000,,-29066000.000000,-92874000.000000,-92874000.000000,-2.120000,-2.120000,-2.120000,236284000.000000,,236284000.000000,974410550.000000,-6.000000,-9.247000,-17034000.000000,-0.389000,1.000000,0.000000,,0.000000,0.000000,320155000.000000,,0.000000,224018000.000000,224018000.000000,0.000000,101043000.000000,44777000.000000,56266000.000000,-107777000.000000,0.000000,-472000.000000,-9236000.000000,0.000000,-9708000.000000,-81420000.000000,-81035000.000000,-16649000.000000,0.000000,-92874000.000000,-92874000.000000,-92874000.000000,0.000000,0.000000,,93875000.000000,-93875000.000000,2962000.000000,0.000000,4.007000,-5.558000,-0.480000,39003000.000000,0.000000,21.590000,,,0.000000,-279798000.000000,0.000000,0.000000,83473000.000000,,,,,5329000.000000,10402000.000000,1.000000,43853893.000000,43819365.000000,43819365.000000,0.000000,337327000.000000,0.000000,0.000000,0.000000,7.698000
ARQ,2022-12-31,2023-03-29,2022-12-31,2022-Q4,210170000.000000,1487357663.000000,2025-05-09,-221000.000000,313817000.000000,,266863000.000000,46954000.000000,,5.637000,-1276000.000000,66680000.000000,66680000.000000,0.000000,-38992000.000000,4.707000,0.531000,88131000.000000,35961000.000000,52170000.000000,88131000.000000,0.000000,857000.000000,0.000000,0.000000,0.000000,-37272000.000000,-36415000.000000,,-36415000.000000,-37272000.000000,-38992000.000000,-0.760000,-0.760000,-0.760000,204954000.000000,,204954000.000000,1508808663.000000,-8.000000,-12.423000,-28796000.000000,-0.792000,1.000000,0.000000,,0.000000,1720000.000000,278575000.000000,,0.000000,190656000.000000,190656000.000000,0.000000,108863000.000000,56693000.000000,52170000.000000,7416000.000000,0.000000,1694000.000000,-380000.000000,0.000000,1314000.000000,33622000.000000,34898000.000000,-27520000.000000,0.000000,-38992000.000000,-38992000.000000,-38992000.000000,0.000000,0.000000,,40004000.000000,-40004000.000000,9053000.000000,0.000000,7.257000,-7.883000,-5.990000,39890000.000000,0.000000,31.090000,,,0.000000,-318790000.000000,0.000000,0.000000,25943000.000000,,,,,5790000.000000,14061000.000000,1.000000,47840388.000000,36355758.000000,36355758.000000,0.000000,313817000.000000,0.000000,0.000000,0.000000,8.632000
ARQ,2023-03-31,2023-05-08,2023-03-31,2023-Q1,405310000.000000,2074759870.000000,2025-05-09,86000.000000,622943000.000000,,571367000.000000,51576000.000000,,6.494000,-980000.000000,277393000.000000,277393000.000000,0.000000,-27344000.000000,3.441000,1.051000,87648000.000000,40241000.000000,47407000.000000,87648000.000000,0.000000,2447000.000000,0.000000,0.000000,0.000000,-25989000.000000,-23542000.000000,-1.314000,-23542000.000000,-25989000.000000,-27015000.000000,-0.580000,-0.580000,-0.580000,303717000.000000,,303717000.000000,1885014870.000000,-10.000000,-15.803000,181062000.000000,3.871000,1.000000,17912000.000000,1.000000,0.000000,1026000.000000,267141000.000000,,0.000000,258701000.000000,258701000.000000,0.000000,319226000.000000,166057000.000000,153169000.000000,210713000.000000,0.000000,100374000.000000,-4929000.000000,0.000000,95445000.000000,-66774000.000000,-65794000.000000,182042000.000000,0.000000,-27344000.000000,-27344000.000000,-27344000.000000,0.000000,0.000000,-1.527000,48369000.000000,-30457000.000000,4532000.000000,0.000000,6.831000,-10.921000,-10.053000,44066000.000000,0.000000,43.230000,115.831000,112.876000,21230000.000000,-346134000.000000,17912000.000000,17912000.000000,32932000.000000,,,,,10156000.000000,15437000.000000,1.000000,47993520.000000,46769380.000000,46769380.000000,0.383000,622943000.000000,0.000000,329000.000000,0.000000,13.319000
ARQ,2023-03-31,2023-05-09,2023-03-31,2023-Q1,405310000.000000,2151069566.000000,2025-05-09,86000.000000,622943000.000000,,571367000.000000,51576000.000000,,6.494000,-980000.000000,277393000.000000,277393000.000000,0.000000,-27344000.000000,3.441000,1.051000,87648000.000000,40241000.000000,47407000.000000,87648000.000000,0.000000,2447000.000000,0.000000,0.000000,0.000000,-25989000.000000,-23542000.000000,-1.314000,-23542000.000000,-25989000.000000,-27015000.000000,-0.580000,-0.580000,-0.580000,303717000.000000,,303717000.000000,1961324566.000000,-10.000000,-16.443000,181062000.000000,3.871000,1.000000,17912000.000000,1.000000,0.000000,1026000.000000,267141000.000000,,0.000000,258701000.000000,258701000.000000,0.000000,319226000.000000,166057000.000000,153169000.000000,210713000.000000,0.000000,100374000.000000,-4929000.000000,0.000000,95445000.000000,-66774000.000000,-65794000.000000,182042000.000000,0.000000,-27344000.000000,-27344000.000000,-27344000.000000,0.000000,0.000000,-1.527000,48369000.000000,-30457000.000000,4532000.000000,0.000000,7.082000,-11.322000,-10.423000,44066000.000000,0.000000,44.820000,120.091000,117.028000,21230000.000000,-346134000.000000,17912000.000000,17912000.000000,32932000.000000,,,,,10156000.000000,15437000.000000,1.000000,47993520.000000,46769380.000000,46769380.000000,0.383000,622943000.000000,0.000000,329000.000000,0.000000,13.319000
