dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-06-30,2017-10-25,2017-06-30,2017-Q2,23433000.000000,,2025-05-12,-247000.000000,47437000.000000,,44040000.000000,3397000.000000,,-0.222000,,13206000.000000,13206000.000000,,,2.137000,-8.478000,4595000.000000,4595000.000000,0.000000,4595000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-3289000.000000,,-3289000.000000,,,,,,1.000000,,,41000.000000,,18178000.000000,,14106000.000000,0.000000,0.000000,0.000000,27883000.000000,20607000.000000,7276000.000000,,,,,,,,,,,,,,,,,,,8225000.000000,,,,,2233000.000000,,,,,14530000.000000,-12390000.000000,,,,,,,,,,1.000000,45336852.000000,14783919.000000,,,47396000.000000,1123000.000000,,44000.000000,3.206000
ARQ,2017-09-30,2017-12-08,2017-09-30,2017-Q3,35456000.000000,92838968.000000,2025-05-12,-109000.000000,61056000.000000,,56022000.000000,5034000.000000,,0.346000,-123000.000000,17507000.000000,17507000.000000,2692000.000000,-1282000.000000,2.724000,4.704000,3483000.000000,3483000.000000,0.000000,3483000.000000,0.000000,65000.000000,75000.000000,0.000000,0.000000,-1200000.000000,-1135000.000000,-0.232000,-1135000.000000,-1200000.000000,-1233000.000000,-0.057000,-0.057000,-0.057000,5793000.000000,,5793000.000000,78814968.000000,,,-7767000.000000,-0.464000,1.000000,2199000.000000,0.450000,35000.000000,33000.000000,26431000.000000,,18077000.000000,2166000.000000,946000.000000,1220000.000000,27248000.000000,20566000.000000,6682000.000000,3868000.000000,-1200000.000000,15318000.000000,-1213000.000000,0.000000,19905000.000000,-8424000.000000,-7100000.000000,-7644000.000000,31000.000000,-955000.000000,-955000.000000,-955000.000000,0.000000,-327000.000000,-0.195000,3509000.000000,-1310000.000000,13931000.000000,0.000000,16.026000,,,2346000.000000,0.000000,2.017000,,,17801000.000000,-13344000.000000,4891000.000000,4891000.000000,1209000.000000,,,,,344000.000000,2300000.000000,1.000000,46035852.000000,16744911.000000,16744911.000000,0.292000,61021000.000000,1433000.000000,-278000.000000,44000.000000,3.644000
ARQ,2017-12-31,2018-03-23,2017-12-31,2017-Q4,41097000.000000,198846352.000000,2025-05-12,122000.000000,67891000.000000,,62914000.000000,4977000.000000,,1.935000,-502000.000000,17681000.000000,17681000.000000,8019000.000000,3365000.000000,2.884000,0.703000,5106000.000000,5106000.000000,0.000000,5106000.000000,0.000000,88000.000000,143000.000000,0.000000,0.000000,3540000.000000,3628000.000000,0.211000,3628000.000000,3540000.000000,3460000.000000,0.223000,0.223000,0.223000,39857000.000000,,39857000.000000,186271352.000000,368.000000,239.731000,-3942000.000000,-0.191000,1.000000,9173000.000000,0.534000,106000.000000,80000.000000,33393000.000000,,15388000.000000,1237000.000000,0.000000,1237000.000000,28034000.000000,21817000.000000,6217000.000000,607000.000000,1200000.000000,1880000.000000,1534000.000000,0.000000,18714000.000000,-15234000.000000,-15854000.000000,-3440000.000000,567000.000000,3384000.000000,3384000.000000,3384000.000000,0.000000,-19000.000000,0.197000,5408000.000000,3765000.000000,13445000.000000,0.000000,4.989000,-625.303000,-253.137000,2340000.000000,0.000000,4.303000,5.447000,2.428000,29253000.000000,-9961000.000000,17192000.000000,17192000.000000,2062000.000000,,,,,-70000.000000,3346000.000000,1.000000,46207518.000000,20596170.000000,20596170.000000,0.835000,67785000.000000,1294000.000000,76000.000000,44000.000000,3.291000
ARQ,2018-03-31,2018-05-14,2018-03-31,2018-Q1,43743000.000000,188339348.000000,2025-05-12,827000.000000,71934000.000000,,66494000.000000,5440000.000000,,0.932000,-395000.000000,15186000.000000,15186000.000000,4621000.000000,-2780000.000000,2.923000,0.673000,10376000.000000,10376000.000000,0.000000,10376000.000000,0.000000,80000.000000,264000.000000,0.000000,0.000000,-2655000.000000,-2575000.000000,-0.264000,-2575000.000000,-2655000.000000,-2758000.000000,-0.060000,-0.060000,-0.060000,43002000.000000,,43002000.000000,183529348.000000,,,-7788000.000000,-0.169000,1.000000,5122000.000000,0.526000,126000.000000,103000.000000,44247000.000000,,19865000.000000,1238000.000000,0.000000,1238000.000000,28932000.000000,22751000.000000,6181000.000000,-2495000.000000,0.000000,62000.000000,5081000.000000,0.000000,5143000.000000,-395000.000000,0.000000,-7393000.000000,150000.000000,-2780000.000000,-2780000.000000,-2780000.000000,0.000000,0.000000,-0.285000,7026000.000000,-1904000.000000,12067000.000000,0.000000,4.380000,,,2731000.000000,0.000000,3.963000,,,29015000.000000,-12741000.000000,9743000.000000,9743000.000000,1541000.000000,,,,,2175000.000000,5485000.000000,1.000000,47520441.000000,46149258.000000,46149258.000000,0.211000,71808000.000000,1345000.000000,22000.000000,44000.000000,1.556000
ARQ,2018-06-30,2018-08-09,2018-06-30,2018-Q2,45512000.000000,232348978.000000,2025-05-12,-209000.000000,87833000.000000,,81879000.000000,5954000.000000,,0.960000,-487000.000000,17435000.000000,17435000.000000,12149000.000000,3215000.000000,2.251000,0.926000,9932000.000000,9932000.000000,0.000000,9932000.000000,0.000000,93000.000000,1931000.000000,0.000000,0.000000,3528000.000000,3621000.000000,0.173000,3621000.000000,3528000.000000,3379000.000000,0.067000,0.060000,0.067000,45597000.000000,,45597000.000000,224845978.000000,70.000000,63.534000,2788000.000000,0.059000,1.000000,8724000.000000,0.418000,231000.000000,149000.000000,43732000.000000,,27531000.000000,1355000.000000,0.000000,1355000.000000,42236000.000000,36367000.000000,5869000.000000,2249000.000000,0.000000,233000.000000,-180000.000000,0.000000,53000.000000,-644000.000000,0.000000,3275000.000000,-435000.000000,3215000.000000,3215000.000000,3215000.000000,0.000000,0.000000,0.154000,6393000.000000,2331000.000000,24273000.000000,0.000000,5.096000,81.127000,28.189000,3050000.000000,0.000000,4.877000,4.409000,4.397000,34597000.000000,-9526000.000000,20873000.000000,20873000.000000,2419000.000000,,,,,185000.000000,3974000.000000,1.000000,47645040.000000,47515620.000000,54359199.000000,0.439000,87602000.000000,1278000.000000,164000.000000,231000.000000,1.844000
ARQ,2018-09-30,2018-11-14,2018-09-30,2018-Q3,47926000.000000,181642426.000000,2025-05-12,-955000.000000,89413000.000000,,82777000.000000,6636000.000000,,1.033000,-716000.000000,18238000.000000,18238000.000000,12892000.000000,3853000.000000,2.375000,0.812000,10163000.000000,10163000.000000,0.000000,10163000.000000,0.000000,207000.000000,3918000.000000,0.000000,0.000000,4426000.000000,4633000.000000,0.200000,4633000.000000,4426000.000000,4314000.000000,0.080000,0.070000,0.080000,49332000.000000,,49332000.000000,173567426.000000,20.000000,18.649000,669000.000000,0.014000,1.000000,10287000.000000,0.444000,300000.000000,112000.000000,46187000.000000,,29809000.000000,1472000.000000,0.000000,1472000.000000,40081000.000000,34851000.000000,5230000.000000,803000.000000,0.000000,216000.000000,202000.000000,0.000000,418000.000000,-909000.000000,0.000000,1385000.000000,-91000.000000,3853000.000000,3853000.000000,3853000.000000,0.000000,0.000000,0.166000,6883000.000000,3404000.000000,20081000.000000,0.000000,3.682000,23.676000,12.204000,3593000.000000,0.000000,3.783000,2.559000,2.545000,32556000.000000,-5673000.000000,23179000.000000,23179000.000000,2264000.000000,,,,,411000.000000,4619000.000000,1.000000,48011214.000000,47747592.000000,54509421.000000,0.485000,89113000.000000,1230000.000000,461000.000000,689000.000000,1.866000
ARQ,2018-12-31,2019-03-14,2018-12-31,2018-Q4,49888000.000000,221836559.000000,2025-05-12,-857000.000000,103047000.000000,,96028000.000000,7019000.000000,,1.089000,-232000.000000,27124000.000000,27124000.000000,10532000.000000,2286000.000000,2.081000,0.969000,9447000.000000,9447000.000000,0.000000,9447000.000000,0.000000,37000.000000,8417000.000000,0.000000,0.000000,2579000.000000,2616000.000000,0.125000,2616000.000000,2579000.000000,2445000.000000,0.050000,0.043000,0.050000,52324000.000000,,52324000.000000,204159559.000000,26.000000,24.612000,9410000.000000,0.196000,1.000000,10316000.000000,0.495000,274000.000000,134000.000000,38956000.000000,,38764000.000000,1360000.000000,0.000000,1360000.000000,50723000.000000,46140000.000000,4583000.000000,8886000.000000,0.000000,17000.000000,-508000.000000,0.000000,-491000.000000,-123000.000000,0.000000,9642000.000000,-142000.000000,2286000.000000,2286000.000000,2286000.000000,0.000000,0.000000,0.110000,7676000.000000,2640000.000000,27083000.000000,0.000000,4.240000,33.745000,32.857000,3708000.000000,0.000000,4.600000,2.972000,2.919000,28155000.000000,-3387000.000000,20848000.000000,20848000.000000,4156000.000000,,,,,592000.000000,3520000.000000,1.000000,48225339.000000,48032730.000000,54600351.000000,0.434000,102773000.000000,1637000.000000,159000.000000,1193000.000000,2.140000
ARQ,2019-03-31,2019-05-14,2019-03-31,2019-Q1,50486000.000000,319266391.000000,2025-05-12,-200000.000000,111419000.000000,,99505000.000000,11914000.000000,,1.156000,-115000.000000,27367000.000000,27367000.000000,11653000.000000,1857000.000000,2.030000,1.002000,17617000.000000,14155000.000000,3462000.000000,17617000.000000,0.000000,191000.000000,8469000.000000,0.000000,0.000000,2115000.000000,2306000.000000,0.113000,2306000.000000,2115000.000000,1976000.000000,0.040000,0.033000,0.040000,55642000.000000,,55642000.000000,309516391.000000,24.000000,23.491000,-3297000.000000,-0.068000,1.000000,8826000.000000,0.431000,263000.000000,139000.000000,52387000.000000,,42253000.000000,1476000.000000,0.000000,1476000.000000,55777000.000000,49019000.000000,6758000.000000,243000.000000,0.000000,60000.000000,3201000.000000,0.000000,3261000.000000,-116000.000000,0.000000,-3182000.000000,280000.000000,1857000.000000,1857000.000000,1857000.000000,0.000000,0.000000,0.091000,6575000.000000,2251000.000000,25167000.000000,0.000000,5.738000,28.478000,27.904000,8506000.000000,0.000000,6.613000,3.739000,3.728000,28052000.000000,-1530000.000000,20479000.000000,20479000.000000,2765000.000000,,,,,744000.000000,3810000.000000,1.000000,48276168.000000,48133965.000000,54675951.000000,0.425000,111156000.000000,1669000.000000,119000.000000,1228000.000000,2.309000
ARQ,2019-06-30,2019-08-12,2019-06-30,2019-Q2,54999000.000000,287343656.000000,2025-05-12,-1168000.000000,120269000.000000,,108400000.000000,11869000.000000,,1.237000,-210000.000000,27578000.000000,27578000.000000,15879000.000000,4311000.000000,2.030000,1.014000,19660000.000000,16470000.000000,3190000.000000,19660000.000000,0.000000,197000.000000,5684000.000000,0.000000,0.000000,5381000.000000,5578000.000000,0.192000,5578000.000000,5381000.000000,5187000.000000,0.090000,0.077000,0.090000,59715000.000000,,59715000.000000,279425656.000000,19.000000,18.465000,-1635000.000000,-0.034000,1.000000,13131000.000000,0.453000,307000.000000,194000.000000,58643000.000000,,45494000.000000,1738000.000000,0.000000,1738000.000000,60554000.000000,53401000.000000,7153000.000000,211000.000000,-109000.000000,112000.000000,2476000.000000,0.000000,2588000.000000,-389000.000000,0.000000,-1425000.000000,-563000.000000,4311000.000000,4311000.000000,4311000.000000,0.000000,0.000000,0.149000,8470000.000000,4661000.000000,30231000.000000,0.000000,4.812000,23.348000,22.821000,7926000.000000,0.000000,5.933000,3.073000,3.063000,33781000.000000,2781000.000000,29010000.000000,29010000.000000,3341000.000000,,,,,618000.000000,5129000.000000,1.000000,48428706.000000,48272811.000000,55813041.000000,0.601000,119962000.000000,1635000.000000,876000.000000,1016000.000000,2.485000
ARQ,2019-09-30,2019-11-13,2019-09-30,2019-Q3,107506000.000000,264212991.000000,2025-05-12,-3077000.000000,180216000.000000,,163654000.000000,16562000.000000,,1.791000,-507000.000000,73846000.000000,73846000.000000,17173000.000000,9089000.000000,2.915000,0.679000,19870000.000000,17015000.000000,2855000.000000,19870000.000000,0.000000,198000.000000,8397000.000000,0.000000,0.000000,8659000.000000,8857000.000000,0.265000,8857000.000000,8659000.000000,8454000.000000,0.173000,0.150000,0.173000,91345000.000000,,91345000.000000,210236991.000000,11.000000,10.861000,-652000.000000,-0.013000,1.000000,16254000.000000,0.486000,285000.000000,205000.000000,69807000.000000,,43506000.000000,5968000.000000,0.000000,5968000.000000,61983000.000000,56148000.000000,5835000.000000,46268000.000000,-4239000.000000,52506000.000000,820000.000000,0.000000,53326000.000000,-4789000.000000,0.000000,-145000.000000,-2124000.000000,8782000.000000,8782000.000000,8782000.000000,0.000000,307000.000000,0.263000,9224000.000000,7030000.000000,29410000.000000,0.000000,2.892000,15.329000,13.711000,7778000.000000,0.000000,4.840000,2.546000,2.379000,45296000.000000,11563000.000000,33427000.000000,33427000.000000,3492000.000000,,,,,1557000.000000,5732000.000000,1.000000,54589461.000000,50999238.000000,58062642.000000,0.655000,179931000.000000,2309000.000000,-328000.000000,1326000.000000,3.528000
