dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2000-09-30,2001-07-12,2000-08-31,2000-Q4,1015306000.000000,,2025-03-20,617065000.000000,5451297000.000000,,3999285000.000000,1452012000.000000,,2.579000,,1270516000.000000,1270516000.000000,,,1.340000,1.302000,293551000.000000,194686000.000000,98865000.000000,293551000.000000,948390000.000000,,0.000000,,0.000000,,,,,,,,,,2368453000.000000,,2368453000.000000,,,,,,1.000000,,,0.000000,,1490353000.000000,,0.000000,905285000.000000,395620000.000000,509665000.000000,3082844000.000000,2983979000.000000,98865000.000000,,,,,,,,,,,,,,,,,,,509525000.000000,,,,,705508000.000000,,,,,2242832000.000000,1347905000.000000,,,,,,,,,,1.000000,918418711.000000,918418711.000000,,,5451297000.000000,0.000000,,332821000.000000,5.936000
ARQ,2001-06-30,2001-07-18,2001-05-31,2001-Q3,-1394505000.000000,,2025-03-20,-77405000.000000,4929277000.000000,,3475566000.000000,1453711000.000000,,-1.367000,,723708000.000000,723708000.000000,,,0.714000,-4.925000,562425000.000000,531205000.000000,31220000.000000,562425000.000000,927738000.000000,,0.000000,,0.000000,,,,,,,,,,-1255783000.000000,,-1255783000.000000,,,,,,1.000000,,,0.000000,,-102077000.000000,,0.000000,382151000.000000,0.000000,382151000.000000,6185060000.000000,4870071000.000000,1314989000.000000,,,,,,,,,,,,,,,,,,,1521680000.000000,,,,,793215000.000000,,,,,2430171000.000000,-1178396000.000000,,,,,,,,,,1.000000,918418711.000000,918418711.000000,,,4929277000.000000,271372000.000000,,641798000.000000,5.367000
ARQ,2001-09-30,2001-11-29,2001-08-31,2001-Q4,400817000.000000,20025690300.000000,2025-03-20,-108634000.000000,6061356000.000000,,4579637000.000000,1481719000.000000,,0.302000,-73110000.000000,1880083000.000000,1880083000.000000,2118674000.000000,-369782000.000000,1.096000,20.480000,191759000.000000,190669000.000000,1090000.000000,191759000.000000,810043000.000000,99393000.000000,0.000000,0.000000,0.000000,-269631000.000000,-170238000.000000,-0.053000,-170238000.000000,-269631000.000000,-287494000.000000,,,,282188000.000000,,282188000.000000,18337366300.000000,11.000000,9.090000,213168000.000000,0.228000,1.000000,1087583000.000000,0.339000,0.000000,17863000.000000,194212000.000000,,0.000000,324139000.000000,0.000000,324139000.000000,5779168000.000000,4178820000.000000,1600348000.000000,1156375000.000000,0.000000,1791426000.000000,-325174000.000000,0.000000,1134412000.000000,-178035000.000000,-104925000.000000,286278000.000000,-86280000.000000,-369782000.000000,-369782000.000000,-369782000.000000,0.000000,0.000000,-0.115000,1869500000.000000,-781917000.000000,1190682000.000000,,70.966000,18.939000,,822318000.000000,0.000000,21.430000,1.500000,1.500000,2323914000.000000,-1435310000.000000,3206257000.000000,3206257000.000000,0.000000,,,,,878305000.000000,831009000.000000,1.000000,934469916.000000,934469916.000000,,3.431000,6061356000.000000,379989000.000000,82288000.000000,595646000.000000,6.486000
ARQ,2001-12-31,2002-01-14,2001-11-30,2002-Q1,712746000.000000,23337085949.000000,2025-03-20,-94668000.000000,5422671000.000000,,4073543000.000000,1349128000.000000,,0.859000,-41800000.000000,1129517000.000000,1129517000.000000,2226061000.000000,81676000.000000,1.212000,14.372000,222804000.000000,218442000.000000,4362000.000000,222804000.000000,719063000.000000,69069000.000000,0.000000,0.000000,0.000000,214111000.000000,283180000.000000,0.083000,283180000.000000,214111000.000000,204341000.000000,0.200000,0.200000,0.200000,352752000.000000,,352752000.000000,22430372949.000000,,,-239190000.000000,-0.583000,1.000000,1182449000.000000,0.347000,0.000000,9770000.000000,1155161000.000000,,0.000000,259906000.000000,0.000000,259906000.000000,5069919000.000000,3360797000.000000,1709122000.000000,-750566000.000000,0.000000,-20978000.000000,13965000.000000,0.000000,-496404000.000000,-64200000.000000,-22400000.000000,-197390000.000000,7428000.000000,81676000.000000,81676000.000000,81676000.000000,0.000000,0.000000,0.024000,768192000.000000,414257000.000000,740404000.000000,0.000000,66.157000,,,787121000.000000,0.000000,24.940000,,,2551127000.000000,-1353634000.000000,3408510000.000000,3408510000.000000,0.000000,,,,,0.000000,768192000.000000,1.000000,935729188.000000,410488771.000000,1014448500.000000,8.304000,5422671000.000000,382387000.000000,122665000.000000,278481000.000000,13.210000
ARQ,2002-03-31,2002-04-15,2002-02-28,2002-Q4,851669000.000000,21001744755.000000,2025-03-20,-118322000.000000,5199070000.000000,,3859055000.000000,1340015000.000000,,0.639000,16703000.000000,1131431000.000000,1131431000.000000,2204921000.000000,10611000.000000,1.283000,18.865000,164922000.000000,160659000.000000,4263000.000000,164922000.000000,508962000.000000,72522000.000000,0.000000,0.000000,0.000000,169442000.000000,241964000.000000,0.071000,241964000.000000,169442000.000000,155668000.000000,0.030000,0.020000,0.030000,261717000.000000,,261717000.000000,20035235755.000000,,,469969000.000000,1.147000,1.000000,1205181000.000000,0.353000,153422000.000000,13774000.000000,1071753000.000000,,0.000000,109170000.000000,0.000000,109170000.000000,4937353000.000000,3007386000.000000,1929967000.000000,1914000.000000,-47800000.000000,-110267000.000000,-44333000.000000,0.000000,-428828000.000000,3262000.000000,34359000.000000,453266000.000000,-25786000.000000,10611000.000000,10611000.000000,10611000.000000,0.000000,0.000000,0.003000,816902000.000000,388279000.000000,428921000.000000,0.000000,80.246000,,,747197000.000000,0.000000,22.440000,,,2351821000.000000,-1343023000.000000,3410102000.000000,3410102000.000000,0.000000,,,,,0.000000,816902000.000000,1.000000,935906629.000000,409576609.000000,1035794758.000000,8.326000,5045648000.000000,346782000.000000,145057000.000000,245581000.000000,12.319000
ARQ,2002-03-31,2002-05-15,2002-02-28,2002-Q4,851669000.000000,20795845296.000000,2025-03-20,-118322000.000000,5199070000.000000,,3859055000.000000,1340015000.000000,,0.639000,,1131431000.000000,1131431000.000000,2204921000.000000,10611000.000000,1.283000,18.865000,164922000.000000,160659000.000000,4263000.000000,164922000.000000,508962000.000000,,0.000000,0.000000,0.000000,169442000.000000,,,,169442000.000000,155668000.000000,0.030000,0.020000,0.030000,261717000.000000,,261717000.000000,19829336296.000000,,,,,1.000000,1205181000.000000,0.353000,153422000.000000,13774000.000000,1071753000.000000,,0.000000,109170000.000000,0.000000,109170000.000000,4937353000.000000,3007386000.000000,1929967000.000000,,,,,,,,,,,10611000.000000,10611000.000000,10611000.000000,0.000000,0.000000,0.003000,816902000.000000,388279000.000000,428921000.000000,0.000000,79.459000,,,747197000.000000,0.000000,22.220000,,,2351821000.000000,-1343023000.000000,3410102000.000000,3410102000.000000,0.000000,,,,,,816902000.000000,1.000000,935906629.000000,409565233.000000,1040667136.000000,8.326000,5045648000.000000,346782000.000000,145057000.000000,245581000.000000,12.320000
ARQ,2002-06-30,2002-07-15,2002-05-31,2003-Q1,1040619000.000000,13830391572.000000,2025-03-20,-110140000.000000,5434962000.000000,,4074592000.000000,1360370000.000000,,1.194000,-62684000.000000,1217720000.000000,1217720000.000000,2206051000.000000,114461000.000000,1.343000,9.982000,100100000.000000,96185000.000000,3915000.000000,100100000.000000,475865000.000000,74146000.000000,0.000000,0.000000,0.000000,294986000.000000,369132000.000000,0.107000,369132000.000000,294986000.000000,282274000.000000,0.280000,0.270000,0.280000,494878000.000000,,494878000.000000,12712771572.000000,31.000000,17.558000,227988000.000000,0.550000,1.000000,1227756000.000000,0.358000,153422000.000000,12712000.000000,1129947000.000000,,0.000000,94583000.000000,0.000000,94583000.000000,4940084000.000000,3033973000.000000,1906111000.000000,-17935000.000000,-9690000.000000,-63001000.000000,-75573000.000000,0.000000,-243812000.000000,-72194000.000000,180000.000000,290672000.000000,7399000.000000,114461000.000000,114461000.000000,114461000.000000,0.000000,0.000000,0.033000,792770000.000000,434986000.000000,370142000.000000,0.000000,27.947000,-84.831000,,732533000.000000,0.000000,14.450000,1.028000,0.445000,2363676000.000000,-1228562000.000000,3433807000.000000,3433807000.000000,0.000000,,,,,0.000000,792770000.000000,1.000000,957120524.000000,414463440.000000,1027990942.000000,8.285000,5281540000.000000,362186000.000000,167813000.000000,374669000.000000,12.743000
ARQ,2002-06-30,2002-10-31,2002-05-31,2003-Q1,1040619000.000000,16156194445.000000,2025-03-20,-110140000.000000,5434962000.000000,,4074592000.000000,1360370000.000000,,1.194000,-62684000.000000,1217720000.000000,1217720000.000000,2122904000.000000,114461000.000000,1.343000,9.982000,100100000.000000,96185000.000000,3915000.000000,100100000.000000,475865000.000000,74146000.000000,0.000000,0.000000,0.000000,294986000.000000,369132000.000000,0.110000,369132000.000000,294986000.000000,282274000.000000,0.280000,0.270000,0.280000,494878000.000000,,494878000.000000,15038574445.000000,37.000000,20.770000,227988000.000000,0.550000,1.000000,1227756000.000000,0.366000,153422000.000000,12712000.000000,1129947000.000000,,0.000000,94583000.000000,0.000000,94583000.000000,4940084000.000000,3033973000.000000,1906111000.000000,-17935000.000000,-9690000.000000,-63001000.000000,-75573000.000000,0.000000,-243812000.000000,-72194000.000000,180000.000000,290672000.000000,7399000.000000,114461000.000000,114461000.000000,114461000.000000,0.000000,0.000000,0.034000,792770000.000000,434986000.000000,370142000.000000,0.000000,32.647000,-99.097000,,732533000.000000,0.000000,16.880000,1.213000,0.525000,2363676000.000000,-1228562000.000000,3350660000.000000,3350660000.000000,0.000000,,,,,0.000000,792770000.000000,1.000000,957120524.000000,414463440.000000,1027990942.000000,8.084000,5281540000.000000,362186000.000000,167813000.000000,374669000.000000,12.743000
ARQ,2002-09-30,2002-11-08,2002-08-31,2002-Q4,734026000.000000,16378816634.000000,2025-03-20,-80432000.000000,5478948000.000000,,4061088000.000000,1417860000.000000,,0.935000,-106741000.000000,1396421000.000000,1396421000.000000,2022697000.000000,38147000.000000,1.221000,11.491000,66527000.000000,63099000.000000,3428000.000000,66527000.000000,543917000.000000,69624000.000000,0.000000,0.000000,0.000000,106291000.000000,175915000.000000,0.057000,175915000.000000,106291000.000000,93683000.000000,0.070000,0.070000,0.070000,438626000.000000,,438626000.000000,15048922634.000000,19.000000,14.062000,410093000.000000,0.874000,1.000000,1061908000.000000,0.344000,167603000.000000,12608000.000000,654389000.000000,,0.000000,76017000.000000,0.000000,76017000.000000,5040322000.000000,3327062000.000000,1713260000.000000,203480000.000000,-12253000.000000,-244608000.000000,-24884000.000000,0.000000,-245711000.000000,-114900000.000000,4094000.000000,516834000.000000,47257000.000000,38147000.000000,38147000.000000,38147000.000000,0.000000,0.000000,0.012000,913979000.000000,147929000.000000,450208000.000000,0.000000,37.341000,66.881000,30.719000,716504000.000000,0.000000,17.510000,1.250000,0.569000,2144344000.000000,-1190415000.000000,3084605000.000000,3084605000.000000,0.000000,,,,,54729000.000000,803455000.000000,1.000000,935397866.000000,469191024.000000,1014244203.000000,6.574000,5311345000.000000,473945000.000000,55536000.000000,495394000.000000,11.320000
ARQ,2002-12-31,2003-01-14,2002-11-30,2003-Q1,1076630000.000000,15770690441.000000,2025-03-20,-77852000.000000,5648016000.000000,,4275151000.000000,1372865000.000000,,1.244000,-17535000.000000,1488299000.000000,1488299000.000000,2171686000.000000,126871000.000000,1.337000,8.695000,61682000.000000,57467000.000000,4215000.000000,61682000.000000,538634000.000000,60853000.000000,0.000000,0.000000,0.000000,298044000.000000,358897000.000000,0.108000,358897000.000000,298044000.000000,291508000.000000,0.270000,0.270000,0.270000,582560000.000000,,582560000.000000,14344073441.000000,17.000000,12.518000,180772000.000000,0.386000,1.000000,1155761000.000000,0.347000,169328000.000000,6536000.000000,853550000.000000,,0.000000,46874000.000000,0.000000,46874000.000000,5065456000.000000,3198521000.000000,1866935000.000000,156667000.000000,-2612000.000000,26760000.000000,-10180000.000000,0.000000,-66200000.000000,24929000.000000,45076000.000000,198307000.000000,-369000.000000,126871000.000000,126871000.000000,126871000.000000,0.000000,0.000000,0.038000,726564000.000000,429197000.000000,378815000.000000,0.000000,27.071000,54.365000,26.154000,658122000.000000,0.000000,17.000000,1.197000,0.604000,2422254000.000000,-1061837000.000000,3327447000.000000,3327447000.000000,0.000000,,,,,13370000.000000,726564000.000000,1.000000,927687673.000000,468119491.000000,1000572365.000000,7.108000,5478688000.000000,484612000.000000,164637000.000000,712976000.000000,11.704000
