dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-10-17,2021-12-31,2021-Q4,97494000.000000,,2025-05-15,0.000000,106587000.000000,,100408000.000000,6179000.000000,,-5.538000,,99991000.000000,99991000.000000,,,34.457000,-0.331000,5628000.000000,664000.000000,4964000.000000,5628000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-23809000.000000,,-23809000.000000,,,,,,1.000000,,,0.000000,,9310000.000000,,0.000000,0.000000,0.000000,0.000000,7878000.000000,2914000.000000,4964000.000000,,,,,,,,,,,,,,,,,,,964000.000000,,,,,5791000.000000,,,,,0.000000,-24865000.000000,,,,,,,,,,1.000000,18809823.000000,4299187.000000,,,106587000.000000,0.000000,,0.000000,24.792000
ARQ,2022-06-30,2022-11-03,2022-06-30,2022-Q2,82710000.000000,,2025-05-15,0.000000,94996000.000000,,87162000.000000,7834000.000000,,-1.945000,,84249000.000000,84249000.000000,,,19.578000,-0.248000,5308000.000000,706000.000000,4602000.000000,5308000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-36576000.000000,,-36576000.000000,,,,,,1.000000,,,0.000000,,11603000.000000,,0.000000,0.000000,0.000000,0.000000,9054000.000000,4452000.000000,4602000.000000,,,,,,,,,,,,,,,,,,,1902000.000000,,,,,7222000.000000,,,,,0.000000,-37905000.000000,,,,,,,,,,1.000000,18809823.000000,18809823.000000,,,94996000.000000,0.000000,,0.000000,5.050000
ARQ,2022-09-30,2022-12-15,2022-09-30,2022-Q3,72281000.000000,240593610.000000,2025-05-15,-133000.000000,87713000.000000,,78672000.000000,9041000.000000,,-25.652000,-426000.000000,32468000.000000,32468000.000000,0.000000,-9198000.000000,12.310000,-0.237000,5137000.000000,717000.000000,4420000.000000,5137000.000000,0.000000,300000.000000,0.000000,0.000000,0.000000,-9198000.000000,-8898000.000000,,-8898000.000000,-9198000.000000,-9198000.000000,-5.170000,-5.170000,-5.170000,-45616000.000000,,-45616000.000000,213262610.000000,,,-6947000.000000,-3.907000,1.000000,0.000000,,0.000000,0.000000,53991000.000000,,0.000000,44743000.000000,44743000.000000,0.000000,10811000.000000,6391000.000000,4420000.000000,-51781000.000000,0.000000,24000.000000,0.000000,0.000000,-140000.000000,-45120000.000000,-44694000.000000,-6521000.000000,0.000000,-9198000.000000,-9198000.000000,-9198000.000000,0.000000,0.000000,,9575000.000000,-9575000.000000,1976000.000000,0.000000,-5.274000,,,7109000.000000,0.000000,11.520000,,,0.000000,-47103000.000000,0.000000,0.000000,7942000.000000,,,,,267000.000000,1633000.000000,1.000000,20884862.000000,1778255.000000,1778255.000000,0.000000,87713000.000000,0.000000,0.000000,0.000000,49.325000
ARQ,2022-12-31,2023-03-28,2022-12-31,2022-Q4,125579000.000000,293736496.000000,2025-05-15,-95000.000000,181226000.000000,,132095000.000000,49131000.000000,,41.358000,-251000.000000,29907000.000000,29907000.000000,0.000000,-8929000.000000,20.272000,0.063000,4961000.000000,726000.000000,4235000.000000,4961000.000000,0.000000,313000.000000,0.000000,0.000000,0.000000,-8929000.000000,-8616000.000000,,-8616000.000000,-8929000.000000,-8929000.000000,4.990000,4.990000,4.990000,170475000.000000,,170475000.000000,268790496.000000,-9.000000,-8.938000,-9605000.000000,-2.330000,1.000000,0.000000,,0.000000,0.000000,149764000.000000,,0.000000,140113000.000000,98232000.000000,41881000.000000,10751000.000000,6516000.000000,4235000.000000,-2561000.000000,0.000000,101685000.000000,0.000000,0.000000,101860000.000000,-95067000.000000,-94816000.000000,-9354000.000000,0.000000,-8929000.000000,-8929000.000000,-8929000.000000,0.000000,0.000000,,9945000.000000,-9945000.000000,904000.000000,0.000000,1.723000,-9.425000,-1.772000,6862000.000000,0.000000,13.400000,,,0.000000,-56032000.000000,0.000000,0.000000,5862000.000000,,,,,1645000.000000,4083000.000000,1.000000,21920634.000000,4121912.000000,4121912.000000,0.000000,181226000.000000,0.000000,0.000000,0.000000,43.966000
ARQ,2023-03-31,2023-05-09,2023-03-31,2023-Q1,118281000.000000,297535576.000000,2025-05-15,9000.000000,170197000.000000,,123963000.000000,46234000.000000,,7.320000,-25000.000000,27877000.000000,27877000.000000,0.000000,-12756000.000000,21.817000,0.061000,4786000.000000,740000.000000,4046000.000000,4786000.000000,0.000000,316000.000000,0.000000,0.000000,0.000000,-12756000.000000,-12440000.000000,,-12440000.000000,-12756000.000000,-12756000.000000,-0.580000,-0.580000,-0.580000,160469000.000000,,160469000.000000,274444576.000000,,,-11382000.000000,-0.519000,1.000000,0.000000,,0.000000,0.000000,141424000.000000,,0.000000,131998000.000000,92723000.000000,39275000.000000,9728000.000000,5682000.000000,4046000.000000,-2030000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9327000.000000,9352000.000000,-11357000.000000,0.000000,-12756000.000000,-12756000.000000,-12756000.000000,0.000000,0.000000,,14393000.000000,-14393000.000000,1374000.000000,0.000000,1.854000,,,6571000.000000,0.000000,13.570000,,,0.000000,-68788000.000000,0.000000,0.000000,9758000.000000,,,,,2646000.000000,4635000.000000,1.000000,21925982.000000,21920570.000000,21920570.000000,0.000000,170197000.000000,0.000000,0.000000,0.000000,7.764000
ARQ,2023-06-30,2023-08-11,2023-06-30,2023-Q2,146265000.000000,273483429.000000,2025-05-15,-427000.000000,160049000.000000,,153282000.000000,6767000.000000,,6.790000,-112000.000000,38482000.000000,38482000.000000,0.000000,-13914000.000000,21.844000,0.073000,4601000.000000,753000.000000,3848000.000000,4601000.000000,0.000000,324000.000000,0.000000,0.000000,0.000000,-13914000.000000,-13590000.000000,,-13590000.000000,-13914000.000000,-13914000.000000,-0.630000,-0.630000,-0.630000,149184000.000000,,149184000.000000,239602429.000000,-5.000000,-5.503000,-9224000.000000,-0.420000,1.000000,0.000000,,0.000000,0.000000,119151000.000000,,0.000000,112880000.000000,112880000.000000,0.000000,10865000.000000,7017000.000000,3848000.000000,10605000.000000,0.000000,379000.000000,0.000000,0.000000,379000.000000,19338000.000000,19450000.000000,-9112000.000000,0.000000,-13914000.000000,-13914000.000000,-13914000.000000,0.000000,0.000000,,15520000.000000,-15520000.000000,1267000.000000,0.000000,1.833000,-6.105000,-8.914000,6359000.000000,0.000000,12.390000,,,0.000000,-82702000.000000,0.000000,0.000000,10521000.000000,,,,,2686000.000000,4999000.000000,1.000000,22072916.000000,21971032.000000,21971032.000000,0.000000,160049000.000000,0.000000,0.000000,0.000000,7.285000
ARQ,2023-09-30,2023-11-09,2023-09-30,2023-Q3,135193000.000000,101871869.000000,2025-05-15,-302000.000000,151092000.000000,,144492000.000000,6600000.000000,,6.256000,0.000000,30270000.000000,30270000.000000,0.000000,-14466000.000000,15.538000,0.094000,4420000.000000,776000.000000,3644000.000000,4420000.000000,0.000000,331000.000000,0.000000,0.000000,0.000000,-14466000.000000,-14135000.000000,,-14135000.000000,-14466000.000000,-14466000.000000,-0.660000,-0.660000,-0.660000,138149000.000000,,138149000.000000,76021869.000000,-2.000000,-1.558000,-9806000.000000,-0.444000,1.000000,0.000000,,0.000000,0.000000,115943000.000000,,0.000000,112231000.000000,112231000.000000,0.000000,12943000.000000,9299000.000000,3644000.000000,-8212000.000000,0.000000,78000.000000,0.000000,0.000000,78000.000000,1516000.000000,1516000.000000,-9806000.000000,0.000000,-14466000.000000,-14466000.000000,-14466000.000000,0.000000,0.000000,,16137000.000000,-16137000.000000,1504000.000000,0.000000,0.737000,-2.035000,1.471000,6189000.000000,0.000000,4.590000,,,0.000000,-97168000.000000,0.000000,0.000000,10267000.000000,,,,,3228000.000000,5870000.000000,1.000000,22194307.000000,22081162.000000,22081162.000000,0.000000,151092000.000000,0.000000,0.000000,0.000000,6.843000
ARQ,2023-12-31,2024-03-28,2023-12-31,2023-Q4,116389000.000000,161854200.000000,2025-05-15,-83000.000000,138265000.000000,,129692000.000000,8573000.000000,,5.425000,-1151000.000000,36429000.000000,36429000.000000,0.000000,-19252000.000000,9.749000,0.141000,4644000.000000,877000.000000,3767000.000000,4644000.000000,0.000000,343000.000000,0.000000,0.000000,0.000000,-19252000.000000,-18909000.000000,,-18909000.000000,-19252000.000000,-19252000.000000,-0.870000,-0.870000,-0.870000,121195000.000000,,121195000.000000,130069200.000000,-2.000000,-2.202000,-13517000.000000,-0.605000,1.000000,0.000000,,0.000000,0.000000,93177000.000000,,0.000000,91443000.000000,91443000.000000,0.000000,17070000.000000,13303000.000000,3767000.000000,6159000.000000,0.000000,318000.000000,0.000000,0.000000,-2011000.000000,20536000.000000,21687000.000000,-12366000.000000,0.000000,-19252000.000000,-19252000.000000,-19252000.000000,0.000000,0.000000,,21053000.000000,-21053000.000000,5048000.000000,0.000000,1.335000,-2.680000,-2.609000,7908000.000000,0.000000,7.150000,,,0.000000,-116420000.000000,0.000000,0.000000,15478000.000000,,,,,3058000.000000,5575000.000000,1.000000,22636951.000000,22338233.000000,22338233.000000,0.000000,138265000.000000,0.000000,0.000000,0.000000,6.190000
ARQ,2024-03-31,2024-05-14,2024-03-31,2024-Q1,103102000.000000,258131152.000000,2025-05-15,-70000.000000,120521000.000000,,112143000.000000,8378000.000000,,4.780000,-815000.000000,25024000.000000,25024000.000000,0.000000,-16486000.000000,12.404000,0.116000,4445000.000000,944000.000000,3501000.000000,4445000.000000,0.000000,448000.000000,0.000000,0.000000,0.000000,-16486000.000000,-16038000.000000,,-16038000.000000,-16486000.000000,-16486000.000000,-0.730000,-0.730000,-0.730000,107979000.000000,,107979000.000000,237552152.000000,-4.000000,-3.790000,-17898000.000000,-0.792000,1.000000,0.000000,,0.000000,0.000000,90901000.000000,,0.000000,85368000.000000,85368000.000000,0.000000,12542000.000000,9041000.000000,3501000.000000,-11405000.000000,0.000000,79000.000000,0.000000,0.000000,-172000.000000,5850000.000000,6665000.000000,-17083000.000000,0.000000,-16486000.000000,-16486000.000000,-16486000.000000,0.000000,0.000000,,17668000.000000,-17668000.000000,2056000.000000,0.000000,2.391000,-4.026000,-2.893000,7613000.000000,0.000000,8.360000,,,0.000000,-132906000.000000,0.000000,0.000000,11473000.000000,,,,,3344000.000000,6195000.000000,1.000000,30876932.000000,22590804.000000,22590804.000000,0.000000,120521000.000000,0.000000,0.000000,0.000000,5.335000
ARQ,2024-06-30,2024-08-13,2024-06-30,2024-Q2,171074000.000000,224548182.000000,2025-05-15,-19000.000000,230585000.000000,,182358000.000000,48227000.000000,,5.980000,-137000.000000,46427000.000000,46427000.000000,0.000000,-18798000.000000,16.161000,0.067000,4221000.000000,978000.000000,3243000.000000,4221000.000000,0.000000,457000.000000,0.000000,0.000000,0.000000,-18798000.000000,-18341000.000000,,-18341000.000000,-18798000.000000,-18798000.000000,-0.520000,-0.520000,-0.520000,216058000.000000,,216058000.000000,182342182.000000,-3.000000,-2.704000,-14040000.000000,-0.389000,1.000000,0.000000,,0.000000,0.000000,177095000.000000,,0.000000,174426000.000000,134531000.000000,39895000.000000,14527000.000000,11284000.000000,3243000.000000,21403000.000000,0.000000,130011000.000000,0.000000,0.000000,123350000.000000,-88044000.000000,-87907000.000000,-13903000.000000,0.000000,-18798000.000000,-18798000.000000,-18798000.000000,0.000000,0.000000,,21437000.000000,-21437000.000000,1261000.000000,0.000000,1.039000,-3.254000,-2.608000,7443000.000000,0.000000,7.250000,,,0.000000,-151704000.000000,0.000000,0.000000,15025000.000000,,,,,3566000.000000,6412000.000000,1.000000,30972163.000000,36132616.000000,36132616.000000,0.000000,230585000.000000,0.000000,0.000000,0.000000,6.382000
