dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-21,1996-11-29,1996-Q4,506092000.000000,2643593879.000000,2025-03-26,28366000.000000,1012285000.000000,,736706000.000000,275579000.000000,,1.177000,,110745000.000000,110745000.000000,,,3.195000,0.433000,0.000000,0.000000,0.000000,0.000000,15537000.000000,,0.000000,0.005000,0.006000,,,,,,,,,,706514000.000000,,706514000.000000,2532848879.000000,10.000000,8.430000,,,1.000000,,,0.000000,,670926000.000000,,0.000000,453371000.000000,453371000.000000,0.000000,305771000.000000,230614000.000000,75157000.000000,,,,,,,,,,,,,,,,,,,43056000.000000,,3.742000,17.247000,18.078000,80231000.000000,,4.610000,3.361000,3.520000,126715000.000000,529546000.000000,,,,,,,,,,1.000000,573447696.000000,600512000.000000,,,1012285000.000000,0.000000,,71019000.000000,1.686000
ARQ,1997-03-31,1997-04-14,1997-02-28,1997-Q1,534180000.000000,3024056594.000000,2025-03-26,11338000.000000,1005111000.000000,,738196000.000000,266915000.000000,,1.249000,-6628000.000000,89687000.000000,89687000.000000,34289000.000000,46484000.000000,3.618000,0.360000,0.000000,0.000000,0.000000,0.000000,15624000.000000,11210000.000000,0.000000,0.005000,0.006000,73167000.000000,84377000.000000,0.373000,84377000.000000,73167000.000000,73167000.000000,0.079000,0.079000,0.079000,738984000.000000,,738984000.000000,2934369594.000000,,,28859000.000000,0.049000,1.000000,192170000.000000,0.849000,0.000000,0.000000,711408000.000000,,0.000000,478376000.000000,478376000.000000,0.000000,266127000.000000,204016000.000000,62111000.000000,-21058000.000000,0.000000,-4819000.000000,0.000000,-3589000.000000,-8408000.000000,-47666000.000000,-25005000.000000,35487000.000000,-471000.000000,46484000.000000,46484000.000000,46484000.000000,0.000000,0.000000,0.205000,125372000.000000,66798000.000000,36374000.000000,0.076000,4.092000,,,80298000.000000,0.000000,5.281000,,,122737000.000000,572424000.000000,226459000.000000,226459000.000000,38197000.000000,,,,,2202000.000000,89534000.000000,1.000000,572602432.000000,591512000.000000,591512000.000000,0.383000,1005111000.000000,8717000.000000,26683000.000000,51740000.000000,1.699000
ARQ,1997-06-30,1997-07-14,1997-05-30,1997-Q2,594431000.000000,2760750841.000000,2025-03-26,12934000.000000,1080379000.000000,,827677000.000000,252702000.000000,,1.423000,-9982000.000000,185587000.000000,185587000.000000,32658000.000000,40106000.000000,3.549000,0.275000,0.000000,0.000000,0.000000,0.000000,19964000.000000,10439000.000000,0.000000,0.005000,0.006000,63204000.000000,73643000.000000,0.323000,73643000.000000,63204000.000000,63204000.000000,0.068000,0.068000,0.068000,847133000.000000,,847133000.000000,2575163841.000000,,,41536000.000000,0.070000,1.000000,195606000.000000,0.857000,0.000000,0.000000,661546000.000000,,0.000000,461874000.000000,461874000.000000,0.000000,233246000.000000,233246000.000000,0.000000,95900000.000000,-2121000.000000,28047000.000000,0.000000,-3660000.000000,24387000.000000,19505000.000000,38062000.000000,51518000.000000,490000.000000,40106000.000000,40106000.000000,40106000.000000,0.000000,0.000000,0.176000,140695000.000000,54911000.000000,61601000.000000,0.088000,3.259000,,,82917000.000000,0.000000,4.735000,,,130984000.000000,587310000.000000,228264000.000000,228264000.000000,41253000.000000,,,,,1509000.000000,96285000.000000,1.000000,583051920.000000,595328000.000000,595328000.000000,0.383000,1080379000.000000,0.000000,23098000.000000,40454000.000000,1.815000
ARQ,1997-09-30,1997-10-10,1997-08-29,1997-Q3,619252000.000000,3677078611.000000,2025-03-26,2796000.000000,1105560000.000000,,852839000.000000,252721000.000000,,1.462000,-5139000.000000,176911000.000000,176911000.000000,32689000.000000,53428000.000000,3.651000,0.268000,0.000000,0.000000,0.000000,0.000000,16286000.000000,13083000.000000,0.000000,0.004000,0.006000,85528000.000000,98611000.000000,0.429000,98611000.000000,85528000.000000,85528000.000000,0.090000,0.090000,0.090000,871973000.000000,,871973000.000000,3500167611.000000,,,66480000.000000,0.112000,1.000000,197350000.000000,0.858000,0.000000,0.000000,695062000.000000,,0.000000,510248000.000000,510248000.000000,0.000000,233587000.000000,233587000.000000,0.000000,-8676000.000000,-4000000.000000,-18355000.000000,0.000000,-10089000.000000,-28444000.000000,-50534000.000000,-63882000.000000,71619000.000000,-1317000.000000,53428000.000000,53428000.000000,53428000.000000,0.000000,0.000000,0.232000,145766000.000000,51584000.000000,46989000.000000,0.067000,4.217000,,,84021000.000000,0.000000,6.298000,,,122596000.000000,621905000.000000,230039000.000000,230039000.000000,43876000.000000,,,,,18737000.000000,97309000.000000,1.000000,583894976.000000,596224000.000000,596224000.000000,0.386000,1105560000.000000,0.000000,32100000.000000,63713000.000000,1.854000
ARQ,1997-12-31,1998-02-17,1997-11-28,1997-Q4,454299000.000000,2972774103.000000,2025-03-26,-1030000.000000,940071000.000000,,678946000.000000,261125000.000000,,1.214000,-12133000.000000,267576000.000000,267576000.000000,26635000.000000,46819000.000000,3.022000,0.314000,0.000000,0.000000,0.000000,0.000000,15706000.000000,24652000.000000,0.000000,0.008000,0.006000,74191000.000000,98843000.000000,0.435000,98843000.000000,74191000.000000,74191000.000000,0.080000,0.080000,0.080000,715424000.000000,,715424000.000000,2705198103.000000,9.000000,7.610000,37890000.000000,0.064000,1.000000,200497000.000000,0.883000,0.000000,0.000000,447848000.000000,,0.000000,235380000.000000,235380000.000000,0.000000,224647000.000000,224647000.000000,0.000000,90665000.000000,0.000000,-203166000.000000,0.000000,-3573000.000000,-206739000.000000,245555000.000000,299810000.000000,50023000.000000,1826000.000000,46819000.000000,46819000.000000,46819000.000000,0.000000,0.000000,0.206000,143034000.000000,57463000.000000,57857000.000000,0.075000,4.155000,15.911000,17.187000,80978000.000000,0.000000,5.414000,3.260000,3.521000,130974000.000000,663861000.000000,227132000.000000,227132000.000000,47536000.000000,,,,,8488000.000000,95498000.000000,1.000000,549115512.000000,589168000.000000,589168000.000000,0.386000,940071000.000000,16999000.000000,27372000.000000,48343000.000000,1.596000
ARQ,1998-03-31,1998-04-09,1998-02-27,1998-Q1,346287000.000000,3018711827.000000,2025-03-26,-4031000.000000,829659000.000000,,541982000.000000,287677000.000000,,1.169000,-11926000.000000,106653000.000000,106653000.000000,29986000.000000,26744000.000000,2.770000,0.309000,0.000000,0.000000,0.000000,0.000000,13902000.000000,15458000.000000,0.000000,0.007000,0.006000,42635000.000000,58093000.000000,0.294000,58093000.000000,42635000.000000,42635000.000000,0.049000,0.048000,0.049000,633964000.000000,,633964000.000000,2912058827.000000,11.000000,8.846000,19419000.000000,0.036000,1.000000,167827000.000000,0.848000,0.000000,0.000000,527311000.000000,,0.000000,271545000.000000,271545000.000000,0.000000,195695000.000000,195695000.000000,0.000000,-160923000.000000,0.000000,-105473000.000000,0.000000,-6281000.000000,-111754000.000000,-80276000.000000,-37634000.000000,31345000.000000,-238000.000000,26744000.000000,26744000.000000,26744000.000000,0.000000,0.000000,0.135000,146155000.000000,21672000.000000,42929000.000000,0.122000,4.762000,18.066000,19.803000,84539000.000000,0.000000,5.664000,3.418000,3.476000,115019000.000000,687383000.000000,197813000.000000,197813000.000000,46427000.000000,,,,,3492000.000000,95910000.000000,1.000000,532988184.000000,542096000.000000,556680000.000000,0.365000,829659000.000000,16214000.000000,15891000.000000,44098000.000000,1.530000
ARQ,1998-03-31,1998-04-13,1998-02-27,1998-Q1,346287000.000000,3123310758.000000,2025-03-26,-4031000.000000,829659000.000000,,541982000.000000,287677000.000000,,1.169000,-11926000.000000,106653000.000000,106653000.000000,29986000.000000,26744000.000000,2.770000,0.309000,0.000000,0.000000,0.000000,0.000000,13902000.000000,15458000.000000,0.000000,0.007000,0.006000,42635000.000000,58093000.000000,0.294000,58093000.000000,42635000.000000,42635000.000000,0.049000,0.048000,0.049000,633964000.000000,,633964000.000000,3016657758.000000,11.000000,9.164000,19419000.000000,0.036000,1.000000,167827000.000000,0.848000,0.000000,0.000000,527311000.000000,,0.000000,271545000.000000,271545000.000000,0.000000,195695000.000000,195695000.000000,0.000000,-160923000.000000,0.000000,-105473000.000000,0.000000,-6281000.000000,-111754000.000000,-80276000.000000,-37634000.000000,31345000.000000,-238000.000000,26744000.000000,26744000.000000,26744000.000000,0.000000,0.000000,0.135000,146155000.000000,21672000.000000,42929000.000000,0.122000,4.927000,18.692000,20.490000,84539000.000000,0.000000,5.860000,3.536000,3.597000,115019000.000000,687383000.000000,197813000.000000,197813000.000000,46427000.000000,,,,,3492000.000000,95910000.000000,1.000000,532988184.000000,542096000.000000,556680000.000000,0.365000,829659000.000000,16214000.000000,15891000.000000,44098000.000000,1.530000
ARQ,1998-06-30,1998-07-09,1998-05-29,1998-Q2,375349000.000000,2742366704.000000,2025-03-26,-4792000.000000,898053000.000000,,589164000.000000,308889000.000000,,1.282000,-24601000.000000,115358000.000000,115358000.000000,27292000.000000,27980000.000000,2.755000,0.312000,0.000000,0.000000,0.000000,0.000000,14585000.000000,12511000.000000,0.000000,0.008000,0.006000,44645000.000000,57156000.000000,0.251000,57156000.000000,44645000.000000,44645000.000000,0.052000,0.051000,0.052000,684238000.000000,,684238000.000000,2627008704.000000,11.000000,8.401000,7714000.000000,0.014000,1.000000,200018000.000000,0.880000,0.000000,0.000000,568880000.000000,,0.000000,277246000.000000,277246000.000000,0.000000,213815000.000000,213815000.000000,0.000000,8705000.000000,0.000000,20253000.000000,0.000000,-3338000.000000,16915000.000000,-40110000.000000,-5700000.000000,32315000.000000,-415000.000000,27980000.000000,27980000.000000,27980000.000000,0.000000,0.000000,0.123000,162774000.000000,37244000.000000,44506000.000000,0.115000,4.008000,17.696000,18.824000,99914000.000000,0.000000,5.101000,3.108000,3.087000,151886000.000000,711983000.000000,227310000.000000,227310000.000000,53310000.000000,,,,,6182000.000000,107719000.000000,1.000000,537587200.000000,533880000.000000,551920000.000000,0.426000,898053000.000000,17231000.000000,16665000.000000,45965000.000000,1.682000
ARQ,1998-09-30,1998-10-13,1998-08-28,1998-Q3,371931000.000000,2209838600.000000,2025-03-26,-3878000.000000,902967000.000000,,595914000.000000,307053000.000000,,1.262000,-16186000.000000,183795000.000000,183795000.000000,26781000.000000,152000.000000,2.661000,0.330000,0.000000,0.000000,0.000000,0.000000,12957000.000000,13461000.000000,0.000000,0.010000,0.006000,242000.000000,13703000.000000,0.061000,13703000.000000,242000.000000,242000.000000,0.001000,0.001000,0.001000,678984000.000000,,678984000.000000,2026043600.000000,13.000000,8.894000,64853000.000000,0.120000,1.000000,196151000.000000,0.880000,0.000000,0.000000,495189000.000000,,0.000000,259471000.000000,259471000.000000,0.000000,223983000.000000,223983000.000000,0.000000,68437000.000000,0.000000,-4340000.000000,0.000000,-3379000.000000,-7719000.000000,-5403000.000000,17774000.000000,81039000.000000,520000.000000,152000.000000,152000.000000,152000.000000,0.000000,0.000000,0.001000,202251000.000000,-6100000.000000,46690000.000000,6.000000,3.255000,21.730000,23.098000,95244000.000000,0.000000,4.204000,2.525000,2.585000,113722000.000000,708780000.000000,222932000.000000,222932000.000000,53598000.000000,,,,,1375000.000000,108713000.000000,1.000000,525682688.000000,538224000.000000,547296000.000000,0.414000,902967000.000000,19742000.000000,90000.000000,43402000.000000,1.678000
ARQ,1998-12-31,1999-02-17,1998-11-27,1998-Q4,204979000.000000,2436572763.000000,2025-03-26,-1879000.000000,767331000.000000,,455945000.000000,311386000.000000,,1.010000,-7032000.000000,110871000.000000,110871000.000000,27378000.000000,50268000.000000,1.817000,0.486000,0.000000,0.000000,0.000000,0.000000,11333000.000000,14834000.000000,0.000000,0.005000,0.006000,80172000.000000,95006000.000000,0.385000,95006000.000000,80172000.000000,80172000.000000,0.095000,0.094000,0.095000,516365000.000000,,516365000.000000,2325701763.000000,14.000000,10.385000,51738000.000000,0.101000,1.000000,219358000.000000,0.889000,0.000000,0.000000,405494000.000000,,0.000000,161676000.000000,161676000.000000,0.000000,250966000.000000,250966000.000000,0.000000,-72924000.000000,-3544000.000000,-218708000.000000,0.000000,-3293000.000000,-219233000.000000,85488000.000000,106068000.000000,58770000.000000,2051000.000000,50268000.000000,50268000.000000,50268000.000000,0.000000,0.000000,0.204000,146827000.000000,72531000.000000,48681000.000000,0.063000,4.719000,23.174000,25.095000,93887000.000000,0.000000,4.969000,2.723000,2.951000,141180000.000000,732730000.000000,246736000.000000,246736000.000000,54004000.000000,,,,,4059000.000000,100081000.000000,1.000000,490379424.000000,511352000.000000,522768000.000000,0.483000,767331000.000000,48675000.000000,29904000.000000,64546000.000000,1.501000
