dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-07-10,2017-12-31,2017-Q4,-1004851.000000,,2025-05-15,0.000000,34546.000000,,27248.000000,7298.000000,,-7.640000,,18248.000000,18248.000000,,,0.026000,-1.035000,689265.000000,689265.000000,0.000000,689265.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-997553.000000,,-997553.000000,,,,,,1.000000,,,7298.000000,,-333834.000000,,0.000000,0.000000,0.000000,0.000000,1032099.000000,1032099.000000,0.000000,,,,,,,,,,,,,,,,,,,342082.000000,,,,,0.000000,,,,,0.000000,-403992.000000,,,,,,,,,,1.000000,262969.000000,130575.000000,,,27248.000000,0.000000,,0.000000,0.209000
ARQ,2018-06-30,2018-09-10,2018-06-30,2018-Q2,-1300534.000000,18357497.000000,2025-05-15,0.000000,187087.000000,,180070.000000,7017.000000,,-9.091000,,150026.000000,150026.000000,0.000000,-1792356.000000,0.122000,-1.145000,998017.000000,998017.000000,0.000000,998017.000000,0.000000,,0.000000,0.000000,0.000000,-1741467.000000,,,,-1741467.000000,-1792356.000000,-12.500000,-12.500000,-12.500000,-1293517.000000,,-1293517.000000,19205488.000000,,,,,1.000000,0.000000,,7017.000000,50889.000000,-452543.000000,,0.000000,0.000000,0.000000,0.000000,1480604.000000,1480604.000000,0.000000,,,,,,,,,,,-1792356.000000,-1792356.000000,-1792356.000000,0.000000,0.000000,,1741467.000000,-1741467.000000,481835.000000,0.000000,-14.192000,,,0.000000,0.000000,70.000000,,,0.000000,-2575298.000000,0.000000,0.000000,76895.000000,,,,,,1664572.000000,1.000000,262250.000000,142284.000000,142284.000000,0.000000,180070.000000,0.000000,0.000000,0.000000,1.266000
ARQ,2018-09-30,2018-11-14,2018-09-30,2018-Q3,4922493.000000,7933061.000000,2025-05-15,0.000000,5252174.000000,,5245299.000000,6875.000000,,22.217000,0.000000,4816705.000000,4816705.000000,0.000000,-8190924.000000,16.249000,0.065000,138603.000000,138603.000000,0.000000,138603.000000,0.000000,142.000000,0.000000,0.000000,0.000000,-7312842.000000,-7312700.000000,,-7312700.000000,-7312842.000000,-8190924.000000,-37.000000,-37.000000,-37.000000,4929368.000000,,4929368.000000,3254959.000000,,,-991253.000000,-4.468000,1.000000,0.000000,,6875.000000,878082.000000,244391.000000,,0.000000,0.000000,0.000000,0.000000,322806.000000,322806.000000,0.000000,4666679.000000,0.000000,6267932.000000,-610000.000000,0.000000,5657932.000000,0.000000,0.000000,-991253.000000,0.000000,-8190924.000000,-8190924.000000,-8190924.000000,0.000000,0.000000,,3816099.000000,-3816099.000000,184203.000000,0.000000,1.609000,,,0.000000,0.000000,30.250000,,,0.000000,-10766222.000000,0.000000,0.000000,188435.000000,,,,,3468172.000000,3627664.000000,1.000000,262250.000000,221870.000000,221870.000000,0.000000,5245299.000000,0.000000,0.000000,0.000000,23.641000
ARQ,2018-12-31,2019-02-19,2018-12-31,2018-Q4,4434576.000000,25952085.000000,2025-05-15,0.000000,4699285.000000,,4692550.000000,6735.000000,,23.329000,0.000000,3869043.000000,3869043.000000,0.000000,-1269148.000000,18.190000,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,140.000000,0.000000,0.000000,0.000000,-1082751.000000,-1082611.000000,,-1082611.000000,-1082751.000000,-1269148.000000,1.750000,1.750000,1.750000,4441311.000000,,4441311.000000,22083042.000000,-2.000000,-2.110000,-1103912.000000,-5.799000,1.000000,0.000000,,6735.000000,186397.000000,565533.000000,,0.000000,0.000000,0.000000,0.000000,257974.000000,257974.000000,0.000000,-947662.000000,0.000000,156250.000000,0.000000,0.000000,156250.000000,0.000000,0.000000,-1103912.000000,0.000000,-1269148.000000,-1269148.000000,-1269148.000000,0.000000,0.000000,,1090143.000000,-1090143.000000,257974.000000,0.000000,5.843000,-2.231000,-1.471000,0.000000,0.000000,89.750000,,,0.000000,-12035370.000000,0.000000,0.000000,47621.000000,,,,,299840.000000,1042522.000000,1.000000,289160.000000,190375.000000,190375.000000,0.000000,4692550.000000,0.000000,0.000000,0.000000,24.649000
ARQ,2018-12-31,2019-03-29,2018-12-31,2018-Q4,4434576.000000,24795446.000000,2025-05-15,0.000000,4699285.000000,,4692550.000000,6735.000000,,23.329000,0.000000,3869043.000000,3869043.000000,0.000000,-1269148.000000,18.190000,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,140.000000,0.000000,0.000000,0.000000,-1082751.000000,-1082611.000000,,-1082611.000000,-1082751.000000,-1269148.000000,1.750000,1.750000,1.750000,4441311.000000,,4441311.000000,20926403.000000,-2.000000,-2.000000,-1103912.000000,-5.799000,1.000000,0.000000,,6735.000000,186397.000000,565533.000000,,0.000000,0.000000,0.000000,0.000000,257974.000000,257974.000000,0.000000,-947662.000000,0.000000,156250.000000,0.000000,0.000000,156250.000000,0.000000,0.000000,-1103912.000000,0.000000,-1269148.000000,-1269148.000000,-1269148.000000,0.000000,0.000000,,1090143.000000,-1090143.000000,257974.000000,0.000000,5.583000,-2.132000,-1.406000,0.000000,0.000000,85.750000,,,0.000000,-12035370.000000,0.000000,0.000000,47621.000000,,,,,299840.000000,1042522.000000,1.000000,289160.000000,190375.000000,190375.000000,0.000000,4692550.000000,0.000000,0.000000,0.000000,24.649000
ARQ,2019-03-31,2019-05-13,2019-03-31,2019-Q1,11724144.000000,23096382.000000,2025-05-15,0.000000,12059929.000000,,12053336.000000,6593.000000,,35.545000,0.000000,11394244.000000,11394244.000000,0.000000,-2682651.000000,36.615000,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,142.000000,0.000000,0.000000,0.000000,-2682651.000000,-2682509.000000,,-2682509.000000,-2682651.000000,-2682651.000000,-8.250000,-8.250000,-8.250000,11730737.000000,,11730737.000000,11702138.000000,-1.000000,,-1721109.000000,-5.215000,1.000000,0.000000,,6593.000000,0.000000,329900.000000,,0.000000,0.000000,0.000000,0.000000,329192.000000,329192.000000,0.000000,7525201.000000,0.000000,8195673.000000,0.000000,0.000000,9246310.000000,0.000000,0.000000,-1721109.000000,0.000000,-2682651.000000,-2682651.000000,-2682651.000000,0.000000,0.000000,,2249266.000000,-2249266.000000,329192.000000,0.000000,1.969000,-1.657000,-1.009000,0.000000,0.000000,56.500000,,,0.000000,-14718021.000000,0.000000,0.000000,686914.000000,,,,,284004.000000,1562352.000000,1.000000,408786.000000,330028.000000,330028.000000,0.000000,12053336.000000,0.000000,0.000000,0.000000,36.522000
ARQ,2019-06-30,2019-08-13,2019-06-30,2019-Q2,10054364.000000,17612915.000000,2025-05-15,0.000000,10687369.000000,,10680917.000000,6452.000000,,24.602000,0.000000,10254023.000000,10254023.000000,0.000000,-2134407.000000,17.047000,0.062000,0.000000,0.000000,0.000000,0.000000,0.000000,141.000000,0.000000,0.000000,0.000000,-2134407.000000,-2134266.000000,,-2134266.000000,-2134407.000000,-2134407.000000,-5.250000,-5.250000,-5.250000,10060816.000000,,10060816.000000,7358892.000000,-1.000000,-0.557000,-1140247.000000,-2.788000,1.000000,0.000000,,6452.000000,0.000000,-199659.000000,,0.000000,0.000000,0.000000,0.000000,626553.000000,626553.000000,0.000000,-1140221.000000,0.000000,0.000000,0.000000,0.000000,26.000000,0.000000,0.000000,-1140247.000000,0.000000,-2134407.000000,-2134407.000000,-2134407.000000,0.000000,0.000000,,2159010.000000,-2159010.000000,626553.000000,0.000000,1.751000,-1.234000,-0.882000,0.000000,0.000000,42.990000,,,0.000000,-16852428.000000,0.000000,0.000000,1210436.000000,,,,,464460.000000,948574.000000,1.000000,409698.000000,408948.000000,408948.000000,0.000000,10680917.000000,0.000000,0.000000,0.000000,26.118000
ARQ,2019-09-30,2019-11-14,2019-09-30,2019-Q3,8723669.000000,16302996.000000,2025-05-15,0.000000,9506926.000000,,9500615.000000,6311.000000,,21.288000,0.000000,8529681.000000,8529681.000000,0.000000,-1715883.000000,12.228000,0.089000,0.000000,0.000000,0.000000,0.000000,0.000000,141.000000,0.000000,0.000000,0.000000,-1715883.000000,-1715742.000000,,-1715742.000000,-1715883.000000,-1715883.000000,-4.250000,-4.250000,-4.250000,8729980.000000,,8729980.000000,7773315.000000,-1.000000,-1.021000,-1724520.000000,-4.205000,1.000000,0.000000,,6311.000000,0.000000,193988.000000,,0.000000,0.000000,0.000000,0.000000,776946.000000,776946.000000,0.000000,-1724342.000000,0.000000,0.000000,0.000000,0.000000,178.000000,0.000000,0.000000,-1724520.000000,0.000000,-1715883.000000,-1715883.000000,-1715883.000000,0.000000,0.000000,,1745742.000000,-1745742.000000,776946.000000,0.000000,1.867000,-2.090000,-2.469000,0.000000,0.000000,39.500000,,,0.000000,-18568311.000000,0.000000,0.000000,864280.000000,,,,,384869.000000,881462.000000,1.000000,412734.000000,410098.000000,410098.000000,0.000000,9500615.000000,0.000000,0.000000,0.000000,23.167000
ARQ,2019-12-31,2020-03-20,2019-12-31,2019-Q4,7134416.000000,12533605.000000,2025-05-15,0.000000,7679637.000000,,7673467.000000,6170.000000,,16.821000,0.000000,6777052.000000,6777052.000000,0.000000,-2058488.000000,14.235000,0.075000,0.000000,0.000000,0.000000,0.000000,0.000000,141.000000,0.000000,0.000000,0.000000,-2058488.000000,-2058347.000000,,-2058347.000000,-2058488.000000,-2058488.000000,-4.750000,-4.750000,-4.750000,7140586.000000,,7140586.000000,5756553.000000,-1.000000,-0.670000,-1752738.000000,-4.129000,1.000000,0.000000,,6170.000000,0.000000,357364.000000,,0.000000,0.000000,0.000000,0.000000,539051.000000,539051.000000,0.000000,-1752629.000000,0.000000,0.000000,0.000000,0.000000,109.000000,0.000000,0.000000,-1752738.000000,0.000000,-2058488.000000,-2058488.000000,-2058488.000000,0.000000,0.000000,,2090882.000000,-2090882.000000,190204.000000,0.000000,1.755000,-1.459000,-1.375000,0.000000,0.000000,29.900000,,,0.000000,-20626799.000000,0.000000,0.000000,1203913.000000,,,,,468985.000000,886969.000000,1.000000,419184.000000,424492.000000,424492.000000,0.000000,7673467.000000,0.000000,0.000000,0.000000,18.077000
ARQ,2020-03-31,2020-05-14,2020-03-31,2020-Q1,5545378.000000,14456260.000000,2025-05-15,0.000000,5941236.000000,,5935207.000000,6029.000000,,13.221000,0.000000,4951631.000000,4951631.000000,0.000000,-2276813.000000,15.225000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,141.000000,0.000000,0.000000,0.000000,-2276813.000000,-2276672.000000,,-2276672.000000,-2276813.000000,-2276813.000000,-5.500000,-5.500000,-5.500000,5551407.000000,,5551407.000000,9504629.000000,-1.000000,-1.161000,-1825421.000000,-4.347000,1.000000,0.000000,,6029.000000,0.000000,593747.000000,,0.000000,0.000000,0.000000,0.000000,389829.000000,389829.000000,0.000000,-1825421.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1825421.000000,0.000000,-2276813.000000,-2276813.000000,-2276813.000000,0.000000,0.000000,,2300245.000000,-2300245.000000,196382.000000,0.000000,2.604000,-1.766000,-1.722000,0.000000,0.000000,34.000000,,,0.000000,-22903612.000000,0.000000,0.000000,1059578.000000,,,,,570633.000000,1240667.000000,1.000000,425184.000000,419893.000000,419893.000000,0.000000,5935207.000000,0.000000,0.000000,0.000000,14.135000
