dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-12-31,2013-03-06,2012-12-31,2012-Q4,12130819.000000,,2025-05-08,0.000000,15555419.000000,,13948138.000000,1607281.000000,,2.273000,,13000253.000000,13000253.000000,,,7.675000,0.651000,3968983.000000,11569.000000,3957414.000000,3968983.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,9423746.000000,,9423746.000000,,,,,,1.000000,,,0.000000,,4706830.000000,,1265593.000000,0.000000,0.000000,0.000000,6131673.000000,1817319.000000,4314354.000000,,,,,,,,,,,,,,,,,,,1058671.000000,,,,,779297.000000,,,,,39112.000000,-37109328.000000,,,,,,,,,,1.000000,4622831.000000,4146276.000000,,,15555419.000000,0.000000,,0.000000,3.752000
ARQ,2013-03-31,2013-05-14,2013-03-31,2013-Q1,10204752.000000,,2025-05-08,0.000000,13817307.000000,,12305553.000000,1511754.000000,,1.090000,-66074.000000,10785098.000000,10785098.000000,529046.000000,-3241647.000000,5.858000,1.159000,5013030.000000,11831.000000,5001199.000000,5013030.000000,0.000000,43613.000000,0.000000,,0.000000,-3112851.000000,-3069238.000000,-3.871000,-3069238.000000,-3112851.000000,-3241647.000000,-0.550000,-0.550000,-0.550000,6400643.000000,,6400643.000000,,,,-3140845.000000,-0.535000,1.000000,263889.000000,0.333000,0.000000,128796.000000,5944438.000000,,1007267.000000,0.000000,0.000000,0.000000,7416664.000000,2100801.000000,5315863.000000,-2215155.000000,0.000000,-71514.000000,997204.000000,0.000000,925690.000000,-66074.000000,0.000000,-3074771.000000,0.000000,-3241647.000000,-3241647.000000,-3241647.000000,0.000000,0.000000,-4.088000,3413978.000000,-3150089.000000,1379011.000000,0.000000,,,,801757.000000,0.000000,,,,326327.000000,-40350975.000000,792935.000000,792935.000000,1467584.000000,,,,,218544.000000,1431106.000000,1.000000,5871002.000000,5871002.000000,5871002.000000,0.135000,13817307.000000,0.000000,0.000000,0.000000,2.353000
ARQ,2013-06-30,2013-08-12,2013-06-30,2013-Q2,7143769.000000,,2025-05-08,0.000000,10690103.000000,,9172513.000000,1517590.000000,,0.294000,-108735.000000,8118060.000000,8118060.000000,485761.000000,-4895444.000000,4.521000,5.187000,5032954.000000,12099.000000,5020855.000000,5032954.000000,1693703.000000,60575.000000,0.000000,,0.000000,-4736600.000000,-4676025.000000,-6.291000,-4676025.000000,-4736600.000000,-4895444.000000,-0.830000,-0.830000,-0.830000,1727970.000000,,1727970.000000,,,,-2735693.000000,-0.466000,1.000000,257509.000000,0.346000,0.000000,158844.000000,5576253.000000,,915156.000000,0.000000,0.000000,0.000000,8962133.000000,2028744.000000,6933389.000000,-2667038.000000,0.000000,71514.000000,-2859.000000,0.000000,68655.000000,-108735.000000,0.000000,-2626958.000000,0.000000,-4895444.000000,-4895444.000000,-4895444.000000,0.000000,0.000000,-6.586000,5100636.000000,-4843127.000000,1158826.000000,0.000000,,,,849917.000000,0.000000,,,,236918.000000,-45246419.000000,743270.000000,743270.000000,3470350.000000,,,,,222771.000000,1090292.000000,1.000000,5871002.000000,5871002.000000,5871002.000000,0.127000,10690103.000000,0.000000,0.000000,0.000000,1.821000
ARQ,2013-09-30,2013-11-12,2013-09-30,2013-Q3,4626506.000000,73330347.000000,2025-05-08,0.000000,8701866.000000,,7143625.000000,1558241.000000,,-0.125000,-16367.000000,5844624.000000,5844624.000000,726245.000000,-2688947.000000,2.838000,-12.827000,5053888.000000,12373.000000,5041515.000000,5053888.000000,1674815.000000,54887.000000,0.000000,0.000000,0.000000,-2526013.000000,-2471126.000000,-2.232000,-2471126.000000,-2526013.000000,-2688947.000000,-0.460000,-0.460000,-0.460000,-735756.000000,,-735756.000000,72539611.000000,,,-2242029.000000,-0.382000,1.000000,381096.000000,0.344000,0.000000,162934.000000,5394011.000000,,1205073.000000,0.000000,0.000000,0.000000,9437622.000000,2517119.000000,6920503.000000,-2273436.000000,0.000000,-28483.000000,-2924.000000,0.000000,-31407.000000,-16367.000000,0.000000,-2225662.000000,0.000000,-2688947.000000,-2688947.000000,-2688947.000000,0.000000,0.000000,-2.428000,2912067.000000,-2530971.000000,1482643.000000,0.000000,-99.667000,,,811398.000000,0.000000,7.950000,,,335091.000000,-47935366.000000,1107341.000000,1107341.000000,1408990.000000,,,,,225221.000000,845301.000000,1.000000,9223943.000000,5871002.000000,5871002.000000,0.189000,8701866.000000,0.000000,0.000000,0.000000,1.482000
ARQ,2013-12-31,2014-03-28,2013-12-31,2013-Q4,27394603.000000,77586722.000000,2025-05-08,0.000000,31979943.000000,,31052449.000000,927494.000000,,3.303000,-5459.000000,26162054.000000,26162054.000000,282389.000000,-4701208.000000,8.489000,0.482000,5075618.000000,12654.000000,5062964.000000,5075618.000000,1655926.000000,51558.000000,0.000000,0.000000,0.000000,-4533557.000000,-4481999.000000,-10.570000,-4481999.000000,-4533557.000000,-4701208.000000,-0.540000,-0.540000,-0.540000,21573359.000000,,21573359.000000,56500286.000000,-4.000000,-3.844000,-2965222.000000,-0.454000,1.000000,141642.000000,0.334000,0.000000,167651.000000,7235661.000000,,1669058.000000,2935184.000000,2935184.000000,0.000000,10406584.000000,3657846.000000,6748738.000000,20769434.000000,0.000000,26672830.000000,-2990.000000,0.000000,26669840.000000,-2940643.000000,-2935184.000000,-2959763.000000,0.000000,-4701208.000000,-4701208.000000,-4701208.000000,0.000000,0.000000,-11.087000,4659886.000000,-4518244.000000,2709489.000000,0.000000,3.596000,-4.997000,-3.508000,765299.000000,0.000000,8.350000,25.293000,17.778000,0.000000,-52636574.000000,424031.000000,424031.000000,2956153.000000,,,,,221759.000000,998635.000000,1.000000,9291823.000000,6531029.000000,6531029.000000,0.065000,31979943.000000,0.000000,0.000000,0.000000,4.897000
ARQ,2014-03-31,2014-05-12,2014-03-31,2014-Q1,26484111.000000,67830308.000000,2025-05-08,0.000000,31951324.000000,,30787513.000000,1163811.000000,,1.712000,-111948.000000,26545122.000000,26545122.000000,977030.000000,-5903872.000000,7.154000,1.009000,9881470.000000,12941.000000,9868529.000000,9881470.000000,1637037.000000,48299.000000,0.000000,0.000000,0.000000,-5676987.000000,-5628688.000000,-3.607000,-5628688.000000,-5676987.000000,-5903872.000000,-0.640000,-0.640000,-0.640000,15903687.000000,,15903687.000000,51166656.000000,-3.000000,-2.965000,-5152278.000000,-0.554000,1.000000,583529.000000,0.374000,0.000000,226885.000000,10984270.000000,,984493.000000,2203040.000000,2203040.000000,0.000000,16047637.000000,4303402.000000,11744235.000000,368482.000000,0.000000,0.000000,4788617.000000,0.000000,4788617.000000,620195.000000,732143.000000,-5040330.000000,0.000000,-5903872.000000,-5903872.000000,-5903872.000000,0.000000,0.000000,-3.783000,6267515.000000,-5683986.000000,2763872.000000,0.000000,4.265000,-3.729000,-2.955000,828948.000000,0.000000,7.300000,17.686000,17.686000,484423.000000,-58540446.000000,1560559.000000,1560559.000000,4330457.000000,,,,,234200.000000,1134589.000000,1.000000,9291823.000000,9291823.000000,9291823.000000,0.168000,31951324.000000,0.000000,0.000000,0.000000,3.439000
ARQ,2014-06-30,2014-08-11,2014-06-30,2014-Q2,22696824.000000,91059865.000000,2025-05-08,0.000000,27882931.000000,,26493609.000000,1389322.000000,,1.324000,-258543.000000,17896194.000000,17896194.000000,940815.000000,-3961245.000000,6.978000,1.266000,9910735.000000,13234.000000,9897501.000000,9910735.000000,1618148.000000,48564.000000,0.000000,0.000000,0.000000,-3618495.000000,-3569931.000000,-2.379000,-3569931.000000,-3618495.000000,-3961245.000000,-0.430000,-0.430000,-0.430000,12302576.000000,,12302576.000000,83074406.000000,-5.000000,-5.143000,-4554822.000000,-0.490000,1.000000,559504.000000,0.373000,0.000000,342750.000000,16100687.000000,,1112601.000000,6313578.000000,6313578.000000,0.000000,15580355.000000,3796785.000000,11783570.000000,-8648928.000000,0.000000,0.000000,25058.000000,0.000000,16431.000000,-4369080.000000,-4110537.000000,-4296279.000000,0.000000,-3961245.000000,-3961245.000000,-3961245.000000,0.000000,0.000000,-2.640000,4146824.000000,-3587320.000000,2339722.000000,0.000000,7.402000,-5.277000,-4.734000,1038927.000000,0.000000,9.800000,19.829000,19.829000,803513.000000,-62501691.000000,1500319.000000,1500319.000000,1783909.000000,,,,,360134.000000,1542066.000000,1.000000,9291823.000000,9291823.000000,9291823.000000,0.161000,27882931.000000,0.000000,0.000000,0.000000,3.001000
ARQ,2014-09-30,2014-11-10,2014-09-30,2014-Q3,18452873.000000,111501876.000000,2025-05-08,0.000000,25287215.000000,,22571543.000000,2715672.000000,,0.995000,-1396472.000000,13978688.000000,13978688.000000,867681.000000,-3384689.000000,5.480000,1.735000,10060883.000000,13534.000000,10047349.000000,10060883.000000,1599260.000000,54199.000000,0.000000,0.000000,0.000000,-3049390.000000,-2995191.000000,-2.193000,-2995191.000000,-3049390.000000,-3384689.000000,-0.360000,-0.360000,-0.360000,9244947.000000,,9244947.000000,107584071.000000,-6.000000,-6.452000,-3862340.000000,-0.416000,1.000000,498249.000000,0.365000,0.000000,335299.000000,17250740.000000,,1452556.000000,6319629.000000,6319629.000000,0.000000,16042268.000000,4118670.000000,11923598.000000,-3917506.000000,0.000000,0.000000,-3198.000000,0.000000,-49114.000000,-1402524.000000,-6052.000000,-2465868.000000,0.000000,-3384689.000000,-3384689.000000,-3384689.000000,0.000000,0.000000,-2.478000,3536531.000000,-3038282.000000,2444904.000000,0.000000,12.061000,-6.211000,-6.091000,2381200.000000,0.000000,12.000000,22.986000,22.986000,562171.000000,-65886380.000000,1365930.000000,1365930.000000,1482929.000000,,,,,327060.000000,1035220.000000,1.000000,9291823.000000,9291823.000000,9291823.000000,0.147000,25287215.000000,0.000000,0.000000,0.000000,2.721000
ARQ,2014-12-31,2015-03-09,2014-12-31,2014-Q4,19890118.000000,85298935.000000,2025-05-08,0.000000,27227497.000000,,24088015.000000,3139482.000000,,0.647000,-556288.000000,17226193.000000,17226193.000000,956841.000000,-3563357.000000,5.738000,3.531000,14970002.000000,13841.000000,14956161.000000,14970002.000000,1580371.000000,96790.000000,0.000000,0.000000,0.000000,-3733800.000000,-3637010.000000,-2.443000,-3637010.000000,-3733800.000000,-4115081.000000,-0.380000,-0.380000,-0.380000,6008650.000000,,6008650.000000,83042744.000000,-5.000000,-5.246000,-3458721.000000,-0.372000,1.000000,531896.000000,0.357000,0.000000,381281.000000,20773409.000000,,1708763.000000,4652675.000000,4652675.000000,0.000000,21218847.000000,4197897.000000,17020950.000000,3247505.000000,0.000000,0.000000,4996729.000000,0.000000,5039272.000000,1110666.000000,1666954.000000,-2902433.000000,0.000000,-3563357.000000,-3563357.000000,-3563357.000000,0.000000,0.000000,-2.394000,4240841.000000,-3708945.000000,1779197.000000,0.000000,14.196000,-5.073000,-5.072000,2840698.000000,0.000000,9.180000,14.419000,14.419000,383961.000000,-69449737.000000,1488737.000000,1488737.000000,1919719.000000,,,,,327060.000000,1111994.000000,1.000000,9291823.000000,9291823.000000,9291823.000000,0.160000,27227497.000000,0.000000,-551724.000000,0.000000,2.930000
ARQ,2015-03-31,2015-05-12,2015-03-31,2015-Q1,27195327.000000,83075246.000000,2025-05-08,0.000000,33927680.000000,,30982138.000000,2945542.000000,,1.363000,-14186.000000,16591353.000000,16591353.000000,909629.000000,-3605535.000000,8.182000,1.526000,15087033.000000,14154.000000,15072879.000000,15087033.000000,1561481.000000,117122.000000,0.000000,0.000000,0.000000,-3129495.000000,-3012373.000000,-2.004000,-3012373.000000,-3129495.000000,-3605535.000000,-0.370000,-0.370000,-0.370000,13430468.000000,,13430468.000000,81570926.000000,-6.000000,-6.173000,-4234961.000000,-0.430000,1.000000,593477.000000,0.395000,0.000000,476040.000000,28636549.000000,,1940934.000000,11512214.000000,11512214.000000,0.000000,20497212.000000,3786811.000000,16710401.000000,-634840.000000,0.000000,10463005.000000,-3345.000000,0.000000,10459660.000000,-6873725.000000,-6859539.000000,-4220775.000000,0.000000,-3605535.000000,-3605535.000000,-3605535.000000,0.000000,0.000000,-2.399000,3795814.000000,-3202337.000000,1778953.000000,0.000000,6.186000,-5.723000,-5.039000,2737762.000000,0.000000,7.760000,14.181000,13.055000,351443.000000,-73055272.000000,1503106.000000,1503106.000000,1401723.000000,,,,,387069.000000,1345997.000000,1.000000,10705573.000000,9855323.000000,9855323.000000,0.153000,33927680.000000,0.000000,0.000000,0.000000,3.443000
