dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-03-31,1994-06-14,1994-04-30,1995-Q1,181219000.000000,1167543680.000000,2025-03-06,-16000.000000,406239000.000000,,274561000.000000,131678000.000000,,1.538000,-3278000.000000,109485000.000000,109485000.000000,15099000.000000,16446000.000000,2.941000,0.314000,0.000000,0.000000,0.000000,0.000000,0.000000,5673000.000000,0.000000,0.010000,0.015000,25899000.000000,31572000.000000,0.296000,31572000.000000,25899000.000000,25899000.000000,0.081000,0.081000,0.081000,309095000.000000,,309095000.000000,1058058680.000000,,,10093000.000000,0.050000,1.000000,91479000.000000,0.858000,26243000.000000,0.000000,177169000.000000,,5452000.000000,107286000.000000,58422000.000000,48864000.000000,97144000.000000,93342000.000000,3802000.000000,23881000.000000,0.000000,-9719000.000000,0.000000,-2856000.000000,-12575000.000000,23085000.000000,24121000.000000,13371000.000000,0.000000,16446000.000000,16446000.000000,16446000.000000,0.000000,0.000000,0.154000,67139000.000000,24340000.000000,15490000.000000,0.185000,3.777000,,,41970000.000000,0.000000,6.188000,,,76035000.000000,240890000.000000,106578000.000000,106578000.000000,15583000.000000,,,,,0.000000,51556000.000000,1.000000,188693928.000000,200960000.000000,200960000.000000,0.530000,379996000.000000,16238000.000000,9453000.000000,41796000.000000,1.891000
ARQ,1994-06-30,1994-09-14,1994-07-31,1995-Q2,185925000.000000,1417662020.000000,2025-03-06,3290000.000000,414096000.000000,,289620000.000000,124476000.000000,,1.565000,-8325000.000000,123983000.000000,123983000.000000,15136000.000000,16587000.000000,2.793000,0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,7104000.000000,0.000000,0.010000,0.030000,26121000.000000,33225000.000000,0.301000,33225000.000000,26121000.000000,26121000.000000,0.085000,0.085000,0.085000,306666000.000000,,306666000.000000,1293679020.000000,,,17790000.000000,0.091000,1.000000,95123000.000000,0.863000,26908000.000000,0.000000,159510000.000000,,3717000.000000,90757000.000000,54998000.000000,35759000.000000,107430000.000000,103695000.000000,3735000.000000,14498000.000000,0.000000,-15095000.000000,0.000000,-2808000.000000,-17903000.000000,6286000.000000,16529000.000000,26115000.000000,0.000000,16587000.000000,16587000.000000,16587000.000000,0.000000,0.000000,0.150000,70725000.000000,24398000.000000,16576000.000000,0.353000,4.623000,,,43640000.000000,0.000000,7.548000,,,78720000.000000,234058000.000000,110259000.000000,110259000.000000,16862000.000000,,,,,0.000000,53863000.000000,1.000000,187832000.000000,196000000.000000,196000000.000000,0.563000,387188000.000000,17011000.000000,9534000.000000,45299000.000000,1.975000
ARQ,1994-09-30,1994-11-25,1994-10-31,1995-Q3,218404000.000000,1614662910.000000,2025-03-06,10128000.000000,441362000.000000,,329934000.000000,111428000.000000,,1.642000,-6939000.000000,175396000.000000,175396000.000000,14185000.000000,15896000.000000,2.958000,0.355000,0.000000,0.000000,0.000000,0.000000,0.000000,6537000.000000,0.000000,0.007000,0.000000,25033000.000000,31570000.000000,0.292000,31570000.000000,25033000.000000,25033000.000000,0.080000,0.080000,0.080000,325746000.000000,,325746000.000000,1439266910.000000,,,22431000.000000,0.113000,1.000000,93994000.000000,0.869000,27672000.000000,0.000000,126764000.000000,,3661000.000000,57879000.000000,42419000.000000,15460000.000000,115616000.000000,111530000.000000,4086000.000000,51413000.000000,0.000000,-844000.000000,0.000000,-2809000.000000,-3653000.000000,25696000.000000,32878000.000000,29370000.000000,0.000000,15896000.000000,15896000.000000,15896000.000000,0.000000,0.000000,0.147000,70764000.000000,23230000.000000,18617000.000000,0.000000,4.957000,,,44403000.000000,0.000000,8.578000,,,79395000.000000,231602000.000000,108179000.000000,108179000.000000,16022000.000000,,,,,0.000000,54742000.000000,1.000000,188244000.000000,198360000.000000,198360000.000000,0.545000,413690000.000000,17768000.000000,9137000.000000,45636000.000000,2.086000
ARQ,1994-12-31,1995-05-01,1995-01-31,1995-Q4,218095000.000000,1654447500.000000,2025-03-06,7550000.000000,482076000.000000,,373085000.000000,108991000.000000,,1.600000,-6435000.000000,195038000.000000,195038000.000000,17305000.000000,7677000.000000,2.407000,0.490000,0.000000,0.000000,0.000000,0.000000,0.000000,5675000.000000,0.000000,0.007000,0.015000,12091000.000000,17766000.000000,0.137000,17766000.000000,12091000.000000,12091000.000000,0.037000,0.037000,0.037000,323484000.000000,,323484000.000000,1459409500.000000,16.000000,12.787000,29121000.000000,0.144000,1.000000,112291000.000000,0.866000,26406000.000000,0.000000,105642000.000000,,5769000.000000,60335000.000000,45316000.000000,15019000.000000,158592000.000000,154990000.000000,3602000.000000,19642000.000000,-4469000.000000,-4281000.000000,0.000000,-2834000.000000,-7115000.000000,-8799000.000000,-2456000.000000,35556000.000000,0.000000,7677000.000000,7677000.000000,7677000.000000,0.000000,0.000000,0.059000,102348000.000000,9943000.000000,21535000.000000,0.405000,5.114000,29.227000,30.482000,46515000.000000,0.000000,8.688000,3.639000,3.810000,86340000.000000,215064000.000000,129596000.000000,129596000.000000,16709000.000000,,,,,0.000000,60139000.000000,1.000000,190440000.000000,202120000.000000,202120000.000000,0.641000,455670000.000000,29915000.000000,4414000.000000,55827000.000000,2.254000
ARQ,1995-03-31,1995-06-12,1995-04-30,1996-Q1,213878000.000000,1951330000.000000,2025-03-06,20868000.000000,512702000.000000,,362316000.000000,150386000.000000,,1.784000,-6293000.000000,167504000.000000,167504000.000000,17285000.000000,25977000.000000,2.441000,0.419000,0.000000,0.000000,0.000000,0.000000,0.000000,6656000.000000,0.000000,0.006000,0.015000,40908000.000000,47564000.000000,0.343000,47564000.000000,40908000.000000,40908000.000000,0.128000,0.128000,0.128000,361246000.000000,,361246000.000000,1783826000.000000,17.000000,13.709000,9374000.000000,0.046000,1.000000,121373000.000000,0.875000,23384000.000000,0.000000,173376000.000000,,7559000.000000,108093000.000000,52398000.000000,55695000.000000,151456000.000000,148438000.000000,3018000.000000,-27534000.000000,0.000000,1175000.000000,0.000000,-2856000.000000,-1681000.000000,-41520000.000000,-47758000.000000,15667000.000000,0.000000,25977000.000000,25977000.000000,25977000.000000,0.000000,0.000000,0.187000,82965000.000000,38408000.000000,19567000.000000,0.117000,5.402000,29.504000,31.439000,50329000.000000,0.000000,10.375000,4.009000,4.315000,95579000.000000,217448000.000000,138658000.000000,138658000.000000,19166000.000000,,,,,0.000000,63799000.000000,1.000000,188080000.000000,202440000.000000,202440000.000000,0.685000,489318000.000000,28052000.000000,14931000.000000,42690000.000000,2.417000
ARQ,1995-06-30,1995-09-14,1995-07-31,1996-Q2,244350000.000000,2302265000.000000,2025-03-06,19869000.000000,529319000.000000,,374281000.000000,155038000.000000,,1.830000,-3382000.000000,177164000.000000,177164000.000000,17362000.000000,26299000.000000,2.881000,0.433000,0.000000,0.000000,0.000000,0.000000,0.000000,6933000.000000,0.000000,0.004000,0.015000,41448000.000000,48381000.000000,0.344000,48381000.000000,41448000.000000,41448000.000000,0.130000,0.130000,0.130000,369366000.000000,,369366000.000000,2125101000.000000,18.000000,14.628000,27859000.000000,0.138000,1.000000,123324000.000000,0.877000,20287000.000000,0.000000,201937000.000000,,8416000.000000,109580000.000000,45104000.000000,64476000.000000,159953000.000000,129931000.000000,30022000.000000,9660000.000000,0.000000,-14921000.000000,0.000000,-2822000.000000,-17743000.000000,-3838000.000000,-1487000.000000,31241000.000000,0.000000,26299000.000000,26299000.000000,26299000.000000,0.000000,0.000000,0.187000,84427000.000000,38897000.000000,24407000.000000,0.115000,6.233000,30.353000,32.667000,49627000.000000,0.000000,12.250000,4.452000,4.781000,104887000.000000,215855000.000000,140686000.000000,140686000.000000,19496000.000000,,,,,0.000000,64931000.000000,1.000000,187940000.000000,201840000.000000,201840000.000000,0.697000,509032000.000000,26063000.000000,15149000.000000,43741000.000000,2.522000
ARQ,1995-09-30,1995-12-15,1995-10-31,1996-Q3,219716000.000000,1537682500.000000,2025-03-06,20060000.000000,529569000.000000,,355362000.000000,174207000.000000,,1.807000,-4312000.000000,172308000.000000,172308000.000000,16118000.000000,19207000.000000,2.620000,0.460000,0.000000,0.000000,0.000000,0.000000,0.000000,6606000.000000,0.000000,0.007000,0.015000,30247000.000000,36853000.000000,0.287000,36853000.000000,30247000.000000,30247000.000000,0.095000,0.095000,0.095000,362715000.000000,,362715000.000000,1365374500.000000,11.000000,9.068000,30829000.000000,0.154000,1.000000,112419000.000000,0.875000,23415000.000000,0.000000,198200000.000000,,9108000.000000,115476000.000000,34533000.000000,80943000.000000,166854000.000000,135646000.000000,31208000.000000,-4856000.000000,0.000000,-23149000.000000,0.000000,-2820000.000000,-25969000.000000,-14028000.000000,-5896000.000000,35141000.000000,0.000000,19207000.000000,19207000.000000,19207000.000000,0.000000,0.000000,0.149000,84373000.000000,28046000.000000,28573000.000000,0.158000,4.239000,19.425000,22.756000,49924000.000000,0.000000,8.875000,2.861000,3.314000,98723000.000000,201654000.000000,128537000.000000,128537000.000000,19584000.000000,,,,,0.000000,64789000.000000,1.000000,173260000.000000,200720000.000000,200720000.000000,0.640000,506154000.000000,26837000.000000,11040000.000000,48216000.000000,2.522000
ARQ,1995-12-31,1996-04-30,1996-01-31,1996-Q4,203539000.000000,1877841500.000000,2025-03-06,10454000.000000,517929000.000000,,347834000.000000,170095000.000000,,1.796000,-3728000.000000,129305000.000000,129305000.000000,16047000.000000,16305000.000000,2.411000,0.513000,0.000000,0.000000,0.000000,0.000000,0.000000,5052000.000000,0.000000,0.006000,0.015000,25677000.000000,30729000.000000,0.243000,30729000.000000,25677000.000000,25677000.000000,0.088000,0.088000,0.088000,342328000.000000,,342328000.000000,1748536500.000000,13.000000,10.693000,20855000.000000,0.109000,1.000000,110239000.000000,0.873000,22141000.000000,0.000000,222188000.000000,,9685000.000000,143097000.000000,64001000.000000,79096000.000000,175601000.000000,144295000.000000,31306000.000000,-43003000.000000,-7194000.000000,-24657000.000000,0.000000,-2686000.000000,-27343000.000000,-40243000.000000,-27621000.000000,24583000.000000,0.000000,16305000.000000,16305000.000000,16305000.000000,0.000000,0.000000,0.129000,86563000.000000,23676000.000000,24547000.000000,0.170000,5.486000,21.391000,23.153000,48965000.000000,0.000000,10.188000,3.515000,3.799000,93919000.000000,191109000.000000,126286000.000000,126286000.000000,20432000.000000,,,,,0.000000,66131000.000000,1.000000,184328000.000000,190560000.000000,190560000.000000,0.663000,495788000.000000,33769000.000000,9372000.000000,67429000.000000,2.602000
ARQ,1996-03-31,1996-06-14,1996-04-30,1997-Q1,198817000.000000,1902858000.000000,2025-03-06,7224000.000000,520199000.000000,,342070000.000000,178129000.000000,,1.765000,-3809000.000000,102945000.000000,102945000.000000,17292000.000000,19060000.000000,2.388000,0.515000,0.000000,0.000000,0.000000,0.000000,0.000000,7501000.000000,0.000000,0.006000,0.015000,29551000.000000,37052000.000000,0.272000,37052000.000000,29551000.000000,29551000.000000,0.098000,0.098000,0.098000,343409000.000000,,343409000.000000,1799913000.000000,14.000000,11.763000,9830000.000000,0.051000,1.000000,118989000.000000,0.873000,20103000.000000,0.000000,253898000.000000,,9900000.000000,159077000.000000,71050000.000000,88027000.000000,176790000.000000,143253000.000000,33537000.000000,-26360000.000000,0.000000,-11754000.000000,0.000000,-2862000.000000,-14616000.000000,-25383000.000000,-15980000.000000,13639000.000000,0.000000,19060000.000000,19060000.000000,19060000.000000,0.000000,0.000000,0.140000,90864000.000000,28125000.000000,23953000.000000,0.153000,5.541000,23.530000,25.305000,48398000.000000,0.000000,10.375000,3.578000,3.796000,107038000.000000,186992000.000000,136281000.000000,136281000.000000,22862000.000000,,,,,0.000000,68002000.000000,1.000000,183408000.000000,194560000.000000,194560000.000000,0.700000,500096000.000000,34616000.000000,10491000.000000,71932000.000000,2.570000
ARQ,1996-06-30,1996-09-16,1996-07-31,1997-Q2,190335000.000000,975726000.000000,2025-03-06,1378000.000000,510765000.000000,,340601000.000000,170164000.000000,,1.726000,-5016000.000000,116803000.000000,116803000.000000,16622000.000000,10645000.000000,2.267000,0.555000,0.000000,0.000000,0.000000,0.000000,0.000000,8456000.000000,0.000000,0.011000,0.015000,18564000.000000,27020000.000000,0.210000,27020000.000000,18564000.000000,18564000.000000,0.055000,0.055000,0.055000,328407000.000000,,328407000.000000,858923000.000000,8.000000,6.524000,41957000.000000,0.221000,1.000000,112123000.000000,0.871000,19516000.000000,0.000000,224180000.000000,,10979000.000000,156834000.000000,76428000.000000,80406000.000000,182358000.000000,150266000.000000,32092000.000000,13858000.000000,-6689000.000000,-16684000.000000,0.000000,-2733000.000000,-19417000.000000,-13698000.000000,2243000.000000,46973000.000000,0.000000,10645000.000000,10645000.000000,10645000.000000,0.000000,0.000000,0.083000,95000000.000000,17123000.000000,25037000.000000,0.273000,2.971000,14.961000,15.951000,48737000.000000,0.000000,5.344000,1.877000,1.956000,87873000.000000,176815000.000000,128745000.000000,128745000.000000,22947000.000000,,,,,0.000000,68824000.000000,1.000000,182592000.000000,190280000.000000,190280000.000000,0.677000,491249000.000000,30048000.000000,7919000.000000,70577000.000000,2.582000
