dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-09-30,2020-12-07,2020-10-31,2021-Q2,222779000.000000,,2025-03-07,62000.000000,355600000.000000,,335144000.000000,20456000.000000,,-4.893000,,114603000.000000,114603000.000000,,,2.983000,-0.658000,0.000000,0.000000,0.000000,0.000000,81956000.000000,,0.000000,,0.000000,,,,,,,,,,-184327000.000000,,-184327000.000000,,,,,,1.000000,,,625000.000000,,128007000.000000,,0.000000,176566000.000000,175841000.000000,725000.000000,121374000.000000,112365000.000000,9009000.000000,,,,,,,,,,,,,,,,,,,10059000.000000,,,,,7413000.000000,,,,,33190000.000000,-308431000.000000,,,,,,,,,,1.000000,96330627.000000,37673000.000000,,,354975000.000000,0.000000,,0.000000,9.423000
ARQ,2020-12-31,2021-03-02,2021-01-31,2021-Q3,1062638000.000000,9941769200.000000,2025-03-07,13000.000000,1184574000.000000,,1166736000.000000,17838000.000000,,14.888000,-247000.000000,960122000.000000,960122000.000000,12226000.000000,-16852000.000000,11.208000,0.103000,0.000000,0.000000,0.000000,0.000000,62310000.000000,1915000.000000,0.000000,0.000000,0.000000,-16649000.000000,-14734000.000000,-0.300000,-14734000.000000,-16649000.000000,-16649000.000000,-0.230000,-0.230000,-0.230000,1074112000.000000,,1074112000.000000,8981647200.000000,,,-24911000.000000,-0.345000,1.000000,36883000.000000,0.751000,625000.000000,0.000000,119729000.000000,,0.000000,162880000.000000,162880000.000000,0.000000,110462000.000000,104098000.000000,6364000.000000,845519000.000000,0.000000,861148000.000000,0.000000,0.000000,856763000.000000,13420000.000000,13667000.000000,-24664000.000000,0.000000,-16852000.000000,-16852000.000000,-16852000.000000,0.000000,0.000000,-0.343000,55382000.000000,-18499000.000000,12608000.000000,0.000000,9.256000,,,6844000.000000,0.000000,98.500000,,,30231000.000000,-325283000.000000,49109000.000000,49109000.000000,18748000.000000,,,,,6589000.000000,36634000.000000,1.000000,100931667.000000,72148221.000000,72148221.000000,0.681000,1183949000.000000,0.000000,203000.000000,0.000000,16.410000
ARQ,2021-03-31,2021-06-25,2021-04-30,2021-Q4,1048652000.000000,6634452916.000000,2025-03-07,81000.000000,1196477000.000000,,1173137000.000000,23340000.000000,,17.634000,-462000.000000,115355000.000000,115355000.000000,11712000.000000,-24050000.000000,9.424000,0.128000,0.000000,0.000000,0.000000,0.000000,75227000.000000,1949000.000000,0.000000,0.000000,0.000000,-23802000.000000,-21853000.000000,-0.418000,-21853000.000000,-23802000.000000,-23802000.000000,-0.260000,-0.260000,-0.260000,1061175000.000000,,1061175000.000000,6519097916.000000,-119.000000,-137.592000,-32187000.000000,-0.535000,1.000000,40572000.000000,0.776000,625000.000000,0.000000,956012000.000000,,0.000000,978020000.000000,978020000.000000,0.000000,135302000.000000,124485000.000000,10817000.000000,-844767000.000000,0.000000,2848000.000000,0.000000,0.000000,2379000.000000,-815421000.000000,-814959000.000000,-31725000.000000,0.000000,-24050000.000000,-24050000.000000,-24050000.000000,0.000000,0.000000,-0.460000,64480000.000000,-23908000.000000,12075000.000000,0.000000,6.252000,-119.119000,-71.278000,6133000.000000,0.000000,64.150000,36.211000,21.070000,65460000.000000,-349333000.000000,52284000.000000,52284000.000000,20711000.000000,,,,,7470000.000000,43769000.000000,1.000000,103420934.000000,60177939.000000,60177939.000000,0.869000,1195852000.000000,0.000000,248000.000000,0.000000,19.872000
ARQ,2021-06-30,2021-09-02,2021-07-31,2022-Q1,1027252000.000000,4962852529.000000,2025-03-07,187000.000000,1191540000.000000,,1167385000.000000,24155000.000000,,10.218000,-1011000.000000,273779000.000000,273779000.000000,13025000.000000,-37459000.000000,8.331000,0.142000,0.000000,0.000000,0.000000,0.000000,99897000.000000,1998000.000000,0.000000,0.000000,0.000000,-37071000.000000,-35073000.000000,-0.669000,-35073000.000000,-37071000.000000,-37071000.000000,-0.370000,-0.370000,-0.370000,1043795000.000000,,1043795000.000000,4689073529.000000,,,11000.000000,0.000000,1.000000,39381000.000000,0.751000,625000.000000,0.000000,777003000.000000,,0.000000,825211000.000000,825211000.000000,0.000000,147745000.000000,140133000.000000,7612000.000000,158024000.000000,0.000000,5046000.000000,0.000000,0.000000,4975000.000000,152027000.000000,153038000.000000,1022000.000000,0.000000,-37459000.000000,-37459000.000000,-37459000.000000,0.000000,0.000000,-0.715000,75898000.000000,-36517000.000000,10051000.000000,0.000000,4.755000,,,5687000.000000,0.000000,47.670000,,,55831000.000000,-386792000.000000,52406000.000000,52406000.000000,26712000.000000,,,,,13912000.000000,49186000.000000,1.000000,104108507.000000,102155000.000000,102155000.000000,0.513000,1190915000.000000,0.000000,388000.000000,0.000000,11.658000
ARQ,2021-09-30,2021-12-02,2021-10-31,2022-Q2,883943000.000000,3155321453.000000,2025-03-07,-240000.000000,1164870000.000000,,1016126000.000000,148744000.000000,,9.894000,-918000.000000,167436000.000000,167436000.000000,15971000.000000,-56739000.000000,7.687000,0.135000,0.000000,0.000000,0.000000,0.000000,72881000.000000,1466000.000000,0.000000,0.000000,0.000000,-56726000.000000,-55260000.000000,-0.948000,-55260000.000000,-56726000.000000,-56726000.000000,-0.550000,-0.550000,-0.550000,1026510000.000000,,1026510000.000000,2987885453.000000,-22.000000,-23.541000,-19816000.000000,-0.191000,1.000000,42292000.000000,0.726000,625000.000000,0.000000,864626000.000000,,0.000000,904705000.000000,802986000.000000,101719000.000000,138360000.000000,132183000.000000,6177000.000000,-93851000.000000,0.000000,6259000.000000,0.000000,0.000000,6225000.000000,-81178000.000000,-80260000.000000,-18898000.000000,0.000000,-56739000.000000,-56739000.000000,-56739000.000000,0.000000,0.000000,-0.974000,97968000.000000,-55676000.000000,10129000.000000,0.000000,3.074000,-23.355000,-21.305000,5239000.000000,0.000000,30.040000,14.879000,14.696000,27168000.000000,-443531000.000000,58263000.000000,58263000.000000,36523000.000000,,,,,32540000.000000,61445000.000000,1.000000,105037332.000000,103746000.000000,103746000.000000,0.562000,1164245000.000000,0.000000,13000.000000,0.000000,11.222000
ARQ,2021-12-31,2022-03-03,2022-01-31,2022-Q3,933379000.000000,2493355062.000000,2025-03-07,-796000.000000,1187507000.000000,,1062567000.000000,124940000.000000,,9.769000,-754000.000000,204531000.000000,204531000.000000,17354000.000000,-39447000.000000,8.225000,0.157000,0.000000,0.000000,0.000000,0.000000,59448000.000000,2666000.000000,0.000000,0.000000,0.000000,-39254000.000000,-36588000.000000,-0.524000,-36588000.000000,-39254000.000000,-39254000.000000,-0.380000,-0.380000,-0.380000,1026675000.000000,,1026675000.000000,2288824062.000000,-15.000000,-15.385000,-56178000.000000,-0.535000,1.000000,52419000.000000,0.751000,625000.000000,0.000000,853163000.000000,,0.000000,818116000.000000,764104000.000000,54012000.000000,160832000.000000,129188000.000000,31644000.000000,37095000.000000,0.000000,8029000.000000,0.000000,0.000000,8029000.000000,84490000.000000,85244000.000000,-55424000.000000,0.000000,-39447000.000000,-39447000.000000,-39447000.000000,0.000000,0.000000,-0.565000,99825000.000000,-47406000.000000,14478000.000000,0.000000,2.429000,-15.811000,-15.026000,5297000.000000,0.000000,23.440000,10.714000,10.585000,68178000.000000,-482978000.000000,69773000.000000,69773000.000000,40931000.000000,,,,,31361000.000000,58894000.000000,1.000000,106371803.000000,105093000.000000,105093000.000000,0.664000,1186882000.000000,0.000000,193000.000000,0.000000,11.294000
ARQ,2022-03-31,2022-06-23,2022-04-30,2022-Q4,910267000.000000,2025137306.000000,2025-03-07,-2148000.000000,1170882000.000000,,1060436000.000000,110446000.000000,,9.327000,-1608000.000000,339528000.000000,339528000.000000,17363000.000000,-58420000.000000,7.062000,0.183000,0.000000,0.000000,0.000000,0.000000,49142000.000000,3245000.000000,0.000000,0.000000,0.000000,-58225000.000000,-54980000.000000,-0.760000,-54980000.000000,-58225000.000000,-58225000.000000,-0.550000,-0.550000,-0.550000,989477000.000000,,989477000.000000,1685609306.000000,-9.000000,-9.267000,-14770000.000000,-0.139000,1.000000,54954000.000000,0.760000,625000.000000,0.000000,680560000.000000,,0.000000,652719000.000000,620633000.000000,32086000.000000,181405000.000000,150169000.000000,31236000.000000,134996000.000000,0.000000,-13518000.000000,0.000000,0.000000,-13518000.000000,161676000.000000,163284000.000000,-13162000.000000,0.000000,-58420000.000000,-58420000.000000,-58420000.000000,0.000000,0.000000,-0.808000,111477000.000000,-56523000.000000,54218000.000000,0.000000,2.047000,-10.544000,-10.272000,14517000.000000,0.000000,18.900000,8.012000,7.807000,80271000.000000,-541398000.000000,72317000.000000,72317000.000000,46378000.000000,,,,,35628000.000000,65099000.000000,1.000000,107150122.000000,106093000.000000,106093000.000000,0.682000,1170257000.000000,0.000000,195000.000000,0.000000,11.030000
ARQ,2022-06-30,2022-09-01,2022-07-31,2023-Q1,875383000.000000,1575151801.000000,2025-03-07,-2348000.000000,1137169000.000000,,1006634000.000000,130535000.000000,,9.163000,-16536000.000000,221883000.000000,221883000.000000,18406000.000000,-71871000.000000,7.670000,0.162000,0.000000,0.000000,0.000000,0.000000,43665000.000000,3323000.000000,0.000000,0.000000,0.000000,-71692000.000000,-68369000.000000,-1.047000,-68369000.000000,-71692000.000000,-71692000.000000,-0.670000,-0.670000,-0.670000,978978000.000000,,978978000.000000,1353268801.000000,-6.000000,-6.289000,-54794000.000000,-0.513000,1.000000,46902000.000000,0.718000,625000.000000,0.000000,783410000.000000,,0.000000,716282000.000000,685397000.000000,30885000.000000,158191000.000000,131251000.000000,26940000.000000,-117645000.000000,0.000000,1087000.000000,0.000000,0.000000,1087000.000000,-80474000.000000,-63938000.000000,-38258000.000000,0.000000,-71871000.000000,-71871000.000000,-71871000.000000,0.000000,0.000000,-1.100000,120111000.000000,-73209000.000000,40748000.000000,0.000000,1.609000,-6.955000,-6.753000,38928000.000000,0.000000,14.520000,5.929000,5.840000,81298000.000000,-613269000.000000,65308000.000000,65308000.000000,55877000.000000,,,,,56630000.000000,64234000.000000,1.000000,108481529.000000,106842000.000000,106842000.000000,0.611000,1136544000.000000,0.000000,179000.000000,0.000000,10.638000
ARQ,2022-09-30,2022-12-08,2022-10-31,2023-Q2,841413000.000000,1422238700.000000,2025-03-07,-2805000.000000,1100605000.000000,,960068000.000000,140537000.000000,,8.755000,-24442000.000000,277622000.000000,277622000.000000,20752000.000000,-68850000.000000,8.091000,0.155000,0.000000,0.000000,0.000000,0.000000,30608000.000000,191000.000000,0.000000,0.000000,0.000000,-68687000.000000,-68496000.000000,-1.098000,-68496000.000000,-68687000.000000,-68687000.000000,-0.630000,-0.630000,-0.630000,953166000.000000,,953166000.000000,1144616700.000000,-5.000000,-5.011000,-77029000.000000,-0.707000,1.000000,41656000.000000,0.667000,625000.000000,0.000000,703703000.000000,,0.000000,581134000.000000,562448000.000000,18686000.000000,147439000.000000,118655000.000000,28784000.000000,55739000.000000,0.000000,695000.000000,0.000000,0.000000,-2680000.000000,111006000.000000,135448000.000000,-52587000.000000,0.000000,-68850000.000000,-68850000.000000,-68850000.000000,0.000000,0.000000,-1.103000,113622000.000000,-71966000.000000,30662000.000000,0.000000,1.492000,-5.961000,-5.785000,61724000.000000,0.000000,12.900000,5.271000,5.206000,94759000.000000,-682119000.000000,62408000.000000,62408000.000000,50051000.000000,,,,,56013000.000000,63571000.000000,1.000000,110251062.000000,108876000.000000,108876000.000000,0.573000,1099980000.000000,0.000000,163000.000000,0.000000,10.103000
ARQ,2022-12-31,2023-03-03,2023-01-31,2023-Q3,822902000.000000,3195732940.000000,2025-03-07,-1035000.000000,1095213000.000000,,946510000.000000,148703000.000000,,8.555000,-19789000.000000,311142000.000000,311142000.000000,22271000.000000,-63162000.000000,7.657000,0.156000,0.000000,0.000000,0.000000,0.000000,38944000.000000,5563000.000000,0.000000,0.000000,0.000000,-63019000.000000,-57456000.000000,-0.862000,-57456000.000000,-63019000.000000,-63019000.000000,-0.570000,-0.570000,-0.570000,947370000.000000,,947370000.000000,2884590940.000000,-11.000000,-11.571000,-71689000.000000,-0.647000,1.000000,44398000.000000,0.666000,625000.000000,0.000000,659838000.000000,,0.000000,478667000.000000,461298000.000000,17369000.000000,147843000.000000,123608000.000000,24235000.000000,33095000.000000,0.000000,582000.000000,0.000000,0.000000,-858000.000000,85853000.000000,105642000.000000,-51900000.000000,0.000000,-63162000.000000,-63162000.000000,-63162000.000000,0.000000,0.000000,-0.947000,116436000.000000,-72038000.000000,19990000.000000,0.000000,3.373000,-12.183000,-11.769000,75197000.000000,0.000000,28.480000,11.982000,11.825000,143678000.000000,-745281000.000000,66669000.000000,66669000.000000,55051000.000000,,,,,55831000.000000,61385000.000000,1.000000,112209724.000000,110735000.000000,110735000.000000,0.602000,1094588000.000000,0.000000,143000.000000,0.000000,9.885000
