dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1999-09-30,1999-10-28,1999-09-30,1999-Q3,83846162.000000,,2025-05-09,0.000000,109947423.000000,,93581274.000000,16366149.000000,,-0.202000,,91758732.000000,91758732.000000,,,9.613000,-1.203000,12734912.000000,480309.000000,12254603.000000,12734912.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-18274868.000000,,-18274868.000000,,,,,,1.000000,,,446391.000000,,20742100.000000,,0.000000,224880.000000,224880.000000,0.000000,21989715.000000,9735112.000000,12254603.000000,,,,,,,,,,,,,,,,,,,6158376.000000,,,,,12793579.000000,,,,,553804.000000,-29346633.000000,,,,,,,,,,1.000000,90441851.000000,90441851.000000,,,109501032.000000,0.000000,,0.000000,1.211000
ARQ,1999-12-31,2000-03-03,1999-12-31,1999-Q4,255026000.000000,24975917349.000000,2025-05-09,0.000000,300815000.000000,,273663000.000000,27152000.000000,,9.326000,-12902316.000000,269554000.000000,269554000.000000,4468847.000000,-29234617.000000,14.684000,0.069000,3988000.000000,3255000.000000,733000.000000,3988000.000000,698000.000000,1854889.000000,0.000000,0.000000,0.000000,-28436642.000000,-26581753.000000,-9.849000,-26581753.000000,-28436642.000000,-29234617.000000,-0.510000,-0.510000,-0.510000,281445000.000000,,281445000.000000,24710351349.000000,-446.000000,-475.382000,-30356530.000000,-1.006000,1.000000,-1769992.000000,-0.656000,434000.000000,797975.000000,16178000.000000,,0.000000,0.000000,0.000000,0.000000,19370000.000000,18637000.000000,733000.000000,177570177.000000,0.000000,215433920.000000,-12366221.000000,0.000000,208151707.000000,-13127316.000000,0.000000,-17454214.000000,0.000000,-29234617.000000,-29830791.000000,-29830791.000000,0.000000,0.000000,-11.053000,26354249.000000,-28124241.000000,8987000.000000,0.000000,88.742000,-417.657000,-135.543000,23875000.000000,596174.000000,268.375000,6265.910000,2031.825000,1588000.000000,-58581000.000000,2698855.000000,2698855.000000,6375263.000000,,,,,2386243.000000,17592743.000000,1.000000,93063502.000000,30177376.000000,30177376.000000,0.089000,300381000.000000,0.000000,0.000000,0.000000,9.954000
ARQ,2000-03-31,2000-05-15,2000-03-31,2000-Q1,204914000.000000,7795523964.000000,2025-05-09,6715000.000000,471813000.000000,,237080000.000000,234733000.000000,,5.851000,-22087000.000000,26612000.000000,26612000.000000,6636000.000000,-35397000.000000,7.371000,0.075000,1334000.000000,652000.000000,682000.000000,1334000.000000,3586000.000000,12062000.000000,0.000000,0.000000,0.000000,-35397000.000000,-23335000.000000,-3.231000,-23335000.000000,-35397000.000000,-35397000.000000,-0.470000,-0.470000,-0.470000,438965000.000000,,438965000.000000,7770245964.000000,,,-36757000.000000,-0.490000,1.000000,586000.000000,0.081000,186874000.000000,0.000000,227495000.000000,,0.000000,198554000.000000,198554000.000000,0.000000,32848000.000000,32166000.000000,682000.000000,-242942000.000000,-11716000.000000,184000.000000,-2813000.000000,0.000000,-2629000.000000,-225637000.000000,-191834000.000000,-14670000.000000,-6000.000000,-35397000.000000,-35397000.000000,-35397000.000000,0.000000,0.000000,-4.901000,39608000.000000,-39022000.000000,17071000.000000,0.000000,17.759000,,,43475000.000000,0.000000,74.750000,,,3136000.000000,-93978000.000000,7222000.000000,7222000.000000,6915000.000000,,,,,2190000.000000,21504000.000000,1.000000,104287946.000000,75029000.000000,75029000.000000,0.096000,284939000.000000,0.000000,0.000000,0.000000,3.798000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,488119000.000000,7593725146.000000,2025-05-09,728000.000000,3335813000.000000,,537795000.000000,2798018000.000000,,34.160000,-33537000.000000,354540000.000000,354540000.000000,12647000.000000,-243236000.000000,10.826000,0.118000,301924000.000000,1023000.000000,300901000.000000,301924000.000000,4437000.000000,196385000.000000,0.000000,0.000000,0.000000,-243166000.000000,-46781000.000000,-2.578000,-46781000.000000,-243166000.000000,-243166000.000000,-2.780000,-2.780000,-2.780000,2984713000.000000,,2984713000.000000,7541109146.000000,,,-68359000.000000,-0.782000,1.000000,5497000.000000,0.303000,2656074000.000000,0.000000,577447000.000000,,0.000000,178691000.000000,161133000.000000,17558000.000000,351100000.000000,49676000.000000,301424000.000000,327928000.000000,29182000.000000,14793000.000000,290289000.000000,0.000000,305092000.000000,57668000.000000,62023000.000000,-34822000.000000,-10000.000000,-243236000.000000,-243236000.000000,-243236000.000000,0.000000,0.000000,-13.406000,252466000.000000,-246969000.000000,29212000.000000,0.000000,2.544000,,,92563000.000000,0.000000,71.375000,,,11650000.000000,-337214000.000000,18144000.000000,18144000.000000,12931000.000000,,,,,9421000.000000,39662000.000000,1.000000,106391946.000000,87374000.000000,87374000.000000,0.208000,679739000.000000,0.000000,70000.000000,0.000000,7.780000
ARQ,2000-09-30,2000-11-14,2000-09-30,2000-Q3,419338000.000000,5269899512.000000,2025-05-09,143000.000000,3058326000.000000,,473900000.000000,2584426000.000000,,29.026000,-40388000.000000,371195000.000000,371195000.000000,18182000.000000,-304075000.000000,8.686000,0.132000,301756000.000000,1067000.000000,300689000.000000,301756000.000000,5073000.000000,249912000.000000,0.000000,0.000000,0.000000,-304055000.000000,-54143000.000000,-1.994000,-54143000.000000,-304055000.000000,-304055000.000000,-3.270000,-3.270000,-3.270000,2702295000.000000,,2702295000.000000,5200460512.000000,-9.000000,-34.476000,-89999000.000000,-0.967000,1.000000,8974000.000000,0.330000,2425207000.000000,0.000000,509118000.000000,,0.000000,80185000.000000,67548000.000000,12637000.000000,356031000.000000,54562000.000000,301469000.000000,16655000.000000,-259000.000000,9223000.000000,-225000.000000,0.000000,8998000.000000,57558000.000000,98205000.000000,-49611000.000000,-290000.000000,-304075000.000000,-304075000.000000,-304075000.000000,0.000000,0.000000,-11.197000,316653000.000000,-307679000.000000,28883000.000000,0.000000,1.950000,-8.603000,-6.944000,121812000.000000,0.000000,48.813000,95.433000,82.296000,15592000.000000,-641289000.000000,27156000.000000,27156000.000000,18352000.000000,,,,,9652000.000000,49948000.000000,1.000000,107960984.000000,93099000.000000,93099000.000000,0.292000,633119000.000000,0.000000,20000.000000,0.000000,6.800000
ARQ,2000-09-30,2000-11-22,2000-09-30,2000-Q3,419338000.000000,3468246611.000000,2025-05-09,143000.000000,3058326000.000000,,473900000.000000,2584426000.000000,,28.985000,-40388000.000000,371195000.000000,371195000.000000,18182000.000000,-304075000.000000,8.686000,0.132000,301756000.000000,1067000.000000,300689000.000000,301756000.000000,5073000.000000,249912000.000000,0.000000,0.000000,0.000000,-299099000.000000,-49187000.000000,-1.811000,-49187000.000000,-299099000.000000,-304055000.000000,-3.410000,-3.410000,-3.410000,2702295000.000000,,2702295000.000000,3398807611.000000,-6.000000,-23.515000,-89999000.000000,-0.965000,1.000000,8974000.000000,0.330000,2425207000.000000,4956000.000000,509118000.000000,,0.000000,80185000.000000,67548000.000000,12637000.000000,356031000.000000,54562000.000000,301469000.000000,16655000.000000,-259000.000000,8668000.000000,-225000.000000,0.000000,8998000.000000,57558000.000000,98205000.000000,-49611000.000000,-290000.000000,-304075000.000000,-304075000.000000,-304075000.000000,0.000000,0.000000,-11.197000,316653000.000000,-307679000.000000,28883000.000000,0.000000,1.283000,-5.662000,-4.480000,121812000.000000,0.000000,32.125000,62.807000,54.237000,15592000.000000,-641289000.000000,27156000.000000,27156000.000000,18352000.000000,,,,,9652000.000000,49948000.000000,1.000000,107960984.000000,93230000.000000,93230000.000000,0.291000,633119000.000000,0.000000,20000.000000,0.000000,6.791000
ARQ,2000-12-31,2001-02-12,2000-12-31,2000-Q4,270396000.000000,2716124789.000000,2025-05-09,-6882000.000000,2790777000.000000,,355344000.000000,2435433000.000000,,25.019000,-35847000.000000,150130000.000000,150130000.000000,24037000.000000,-303077000.000000,4.183000,0.161000,301501000.000000,1080000.000000,300421000.000000,301501000.000000,4335000.000000,253335000.000000,0.000000,0.000000,0.000000,-299050000.000000,-45715000.000000,-1.227000,-45715000.000000,-299050000.000000,-303022000.000000,-3.230000,-3.230000,-3.230000,2404399000.000000,,2404399000.000000,2867495789.000000,-3.000000,-17.381000,-59618000.000000,-0.620000,1.000000,13207000.000000,0.355000,2186157000.000000,3972000.000000,671043000.000000,,0.000000,236804000.000000,159522000.000000,77282000.000000,386378000.000000,84948000.000000,301430000.000000,-221065000.000000,0.000000,8926000.000000,-555000.000000,0.000000,8581000.000000,-205653000.000000,-169806000.000000,-23771000.000000,-222000.000000,-303077000.000000,-303077000.000000,-303077000.000000,0.000000,0.000000,-8.138000,319161000.000000,-305954000.000000,52212000.000000,0.000000,1.130000,-3.066000,-2.476000,143041000.000000,0.000000,24.938000,30.258000,24.436000,22670000.000000,-944366000.000000,37244000.000000,37244000.000000,17408000.000000,,,,,4884000.000000,57540000.000000,1.000000,108915101.000000,96104000.000000,96104000.000000,0.388000,604620000.000000,0.000000,55000.000000,0.000000,6.291000
ARQ,2001-03-31,2001-05-15,2001-03-31,2001-Q1,280434000.000000,999122319.000000,2025-05-09,-881000.000000,576653000.000000,,360030000.000000,216623000.000000,,1.980000,-24330000.000000,134146000.000000,134146000.000000,16160000.000000,-2222780000.000000,4.523000,1.949000,301340000.000000,1111000.000000,300229000.000000,301340000.000000,6001000.000000,255390000.000000,0.000000,0.000000,0.000000,-2222616000.000000,-1967226000.000000,-48.925000,-1967226000.000000,-2222616000.000000,-2222616000.000000,-22.500000,-22.500000,-22.500000,195560000.000000,,195560000.000000,1166316319.000000,0.000000,-0.553000,-68113000.000000,-0.690000,1.000000,24049000.000000,0.598000,35903000.000000,0.000000,628348000.000000,,0.000000,178968000.000000,178968000.000000,0.000000,381093000.000000,79596000.000000,301497000.000000,-15984000.000000,0.000000,2757000.000000,-328000.000000,0.000000,2429000.000000,25369000.000000,49699000.000000,-43783000.000000,1000.000000,-2222780000.000000,-2222780000.000000,-2222780000.000000,0.000000,0.000000,-55.281000,2233652000.000000,-2209603000.000000,49037000.000000,0.000000,5.109000,-0.325000,-0.287000,151089000.000000,0.000000,9.160000,8.139000,7.371000,23865000.000000,-3167146000.000000,40209000.000000,40209000.000000,18632000.000000,,,,,4514000.000000,42276000.000000,1.000000,109074489.000000,98780000.000000,98780000.000000,0.407000,540750000.000000,0.000000,164000.000000,0.000000,5.474000
ARQ,2001-06-30,2001-07-24,2001-06-30,2001-Q2,224814000.000000,924500115.000000,2025-05-09,227000.000000,519595000.000000,,310824000.000000,208771000.000000,,1.152000,-18218000.000000,120254000.000000,120254000.000000,13622000.000000,-92608000.000000,3.614000,3.439000,301086000.000000,915000.000000,300171000.000000,301086000.000000,5334000.000000,23732000.000000,0.000000,0.000000,0.000000,-92264000.000000,-68532000.000000,-1.589000,-68532000.000000,-92264000.000000,-92264000.000000,-0.910000,-0.910000,-0.910000,117041000.000000,,117041000.000000,1105332115.000000,0.000000,-0.519000,-48849000.000000,-0.481000,1.000000,29519000.000000,0.684000,30811000.000000,0.000000,583606000.000000,,0.000000,146849000.000000,146849000.000000,0.000000,402554000.000000,86010000.000000,316544000.000000,-13892000.000000,0.000000,2174000.000000,-281000.000000,0.000000,1893000.000000,14803000.000000,33021000.000000,-30631000.000000,43000.000000,-92608000.000000,-92608000.000000,-92608000.000000,0.000000,0.000000,-2.147000,118993000.000000,-89474000.000000,38112000.000000,0.000000,7.899000,-0.316000,-0.267000,150824000.000000,0.000000,8.030000,6.257000,5.523000,25226000.000000,-3259754000.000000,43141000.000000,43141000.000000,16737000.000000,,,,,11038000.000000,41292000.000000,1.000000,115130774.000000,101629000.000000,101629000.000000,0.424000,488784000.000000,0.000000,344000.000000,0.000000,4.809000
ARQ,2001-09-30,2001-10-22,2001-09-30,2001-Q3,185024000.000000,394354885.000000,2025-05-09,-894000.000000,468708000.000000,,273199000.000000,195509000.000000,,0.671000,-14743000.000000,100654000.000000,100654000.000000,13402000.000000,-55359000.000000,3.098000,5.711000,300800000.000000,680000.000000,300120000.000000,300800000.000000,5294000.000000,26556000.000000,0.000000,0.000000,0.000000,-55082000.000000,-28526000.000000,-0.667000,-28526000.000000,-55082000.000000,-55082000.000000,-0.530000,-0.530000,-0.530000,69846000.000000,,69846000.000000,594500885.000000,0.000000,-0.282000,-25986000.000000,-0.249000,1.000000,29352000.000000,0.687000,23371000.000000,0.000000,557308000.000000,,0.000000,138952000.000000,138952000.000000,0.000000,398862000.000000,88175000.000000,310687000.000000,-19600000.000000,0.000000,113000.000000,-286000.000000,0.000000,-173000.000000,-8259000.000000,6484000.000000,-11243000.000000,75000.000000,-55359000.000000,-55359000.000000,-55359000.000000,0.000000,0.000000,-1.295000,83013000.000000,-53661000.000000,40110000.000000,0.000000,5.646000,-0.147000,-0.126000,146383000.000000,0.000000,3.420000,2.414000,2.181000,19614000.000000,-3315113000.000000,42754000.000000,42754000.000000,13828000.000000,,,,,8717000.000000,33912000.000000,1.000000,115308446.000000,104166000.000000,104166000.000000,0.410000,445337000.000000,0.000000,277000.000000,0.000000,4.275000
