dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-05-24,2018-12-31,2018-Q4,74789000.000000,,2025-05-12,0.000000,77151000.000000,,77131000.000000,20000.000000,,-157.030000,,75995000.000000,75995000.000000,,,32.934000,-2.546000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-49919000.000000,,-49919000.000000,,,,,,1.000000,,,0.000000,,-1186000.000000,,0.000000,0.000000,0.000000,0.000000,127070000.000000,2342000.000000,124728000.000000,,,,,,,,,,,,,,,,,,,1373000.000000,,,,,0.000000,,,,,0.000000,-86565000.000000,,,,,,,,,,1.000000,26295122.000000,317894.000000,,,77151000.000000,0.000000,,0.000000,242.694000
ARQ,2019-03-31,2019-06-10,2019-03-31,2019-Q1,68295000.000000,,2025-05-12,0.000000,72066000.000000,,70699000.000000,1367000.000000,,-327.635000,0.000000,69836000.000000,69836000.000000,0.000000,-5362000.000000,29.409000,-2.309000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-5362000.000000,-5362000.000000,,-5362000.000000,-5362000.000000,-5362000.000000,-31.900000,-31.900000,-31.900000,-55066000.000000,,-55066000.000000,,,,-5444000.000000,-32.391000,1.000000,0.000000,,0.000000,0.000000,-174000.000000,,0.000000,0.000000,0.000000,0.000000,127132000.000000,2404000.000000,124728000.000000,-6164000.000000,0.000000,-720000.000000,0.000000,0.000000,-720000.000000,0.000000,0.000000,-5444000.000000,0.000000,-5362000.000000,-5362000.000000,-5362000.000000,0.000000,0.000000,,5512000.000000,-5512000.000000,952000.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-91927000.000000,0.000000,0.000000,4063000.000000,,,,,215000.000000,1449000.000000,1.000000,26295122.000000,168071.000000,168071.000000,0.000000,72066000.000000,0.000000,0.000000,0.000000,428.783000
ARQ,2019-06-30,2019-08-12,2019-06-30,2019-Q2,158368000.000000,742439854.000000,2025-05-12,0.000000,163168000.000000,,163108000.000000,60000.000000,,48.461000,0.000000,162714000.000000,162714000.000000,0.000000,-7228000.000000,34.411000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7228000.000000,-7228000.000000,,-7228000.000000,-7228000.000000,-7228000.000000,-2.210000,-2.210000,-2.210000,158389000.000000,,158389000.000000,579725854.000000,,,-5322000.000000,-1.628000,1.000000,0.000000,,0.000000,0.000000,-4286000.000000,,0.000000,0.000000,0.000000,0.000000,4779000.000000,4740000.000000,39000.000000,92878000.000000,0.000000,98200000.000000,0.000000,0.000000,98200000.000000,0.000000,0.000000,-5322000.000000,0.000000,-7228000.000000,-7228000.000000,-7228000.000000,0.000000,0.000000,,7609000.000000,-7609000.000000,3248000.000000,0.000000,4.687000,,,0.000000,0.000000,26.000000,,,0.000000,-99155000.000000,0.000000,0.000000,5960000.000000,,,,,402000.000000,1649000.000000,1.000000,28555379.000000,3268390.000000,3268390.000000,0.000000,163168000.000000,0.000000,0.000000,0.000000,49.923000
ARQ,2019-09-30,2019-11-12,2019-09-30,2019-Q3,143348000.000000,536045917.000000,2025-05-12,0.000000,150143000.000000,,150073000.000000,70000.000000,,5.116000,0.000000,147895000.000000,147895000.000000,0.000000,-15554000.000000,22.316000,0.047000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15554000.000000,-15554000.000000,,-15554000.000000,-15554000.000000,-15554000.000000,-0.560000,-0.560000,-0.560000,143384000.000000,,143384000.000000,388150917.000000,,,-13212000.000000,-0.471000,1.000000,0.000000,,0.000000,0.000000,-4477000.000000,,0.000000,0.000000,0.000000,0.000000,6759000.000000,6725000.000000,34000.000000,-14819000.000000,0.000000,-1607000.000000,0.000000,0.000000,-1607000.000000,0.000000,0.000000,-13212000.000000,0.000000,-15554000.000000,-15554000.000000,-15554000.000000,0.000000,0.000000,,16309000.000000,-16309000.000000,93000.000000,0.000000,3.739000,,,0.000000,0.000000,18.770000,,,0.000000,-114709000.000000,0.000000,0.000000,13885000.000000,,,,,483000.000000,2424000.000000,1.000000,28558653.000000,28024779.000000,28024779.000000,0.000000,150143000.000000,0.000000,0.000000,0.000000,5.358000
ARQ,2019-12-31,2020-03-16,2019-12-31,2019-Q4,128680000.000000,373047186.000000,2025-05-12,-6000.000000,138118000.000000,,138049000.000000,69000.000000,,8.541000,0.000000,64788000.000000,64788000.000000,0.000000,-15611000.000000,14.735000,0.073000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-15611000.000000,-15611000.000000,,-15611000.000000,-15611000.000000,-15611000.000000,-0.240000,-0.240000,-0.240000,128726000.000000,,128726000.000000,308259186.000000,-7.000000,-7.045000,-11649000.000000,-0.773000,1.000000,0.000000,,0.000000,0.000000,63961000.000000,,0.000000,71612000.000000,71612000.000000,0.000000,9392000.000000,9369000.000000,23000.000000,-83047000.000000,0.000000,115000.000000,0.000000,0.000000,115000.000000,-71513000.000000,-71513000.000000,-11649000.000000,0.000000,-15611000.000000,-15611000.000000,-15611000.000000,0.000000,0.000000,,16221000.000000,-16221000.000000,947000.000000,0.000000,2.898000,-8.526000,-4.497000,0.000000,0.000000,13.040000,,,0.000000,-130320000.000000,0.000000,0.000000,13138000.000000,,,,,670000.000000,3083000.000000,1.000000,28607913.000000,15070728.000000,15070728.000000,0.000000,138118000.000000,0.000000,0.000000,0.000000,9.165000
ARQ,2020-03-31,2020-05-13,2020-03-31,2020-Q1,117932000.000000,588669911.000000,2025-05-12,45000.000000,126621000.000000,,126218000.000000,403000.000000,,4.152000,0.000000,47245000.000000,47245000.000000,0.000000,-11886000.000000,15.233000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,54000.000000,0.000000,0.000000,0.000000,-11886000.000000,-11832000.000000,,-11832000.000000,-11886000.000000,-11886000.000000,-0.420000,-0.420000,-0.420000,118323000.000000,,118323000.000000,541424911.000000,-11.000000,-10.780000,-11317000.000000,-0.397000,1.000000,0.000000,,0.000000,0.000000,71090000.000000,,0.000000,78040000.000000,78040000.000000,0.000000,8298000.000000,8286000.000000,12000.000000,-17434000.000000,0.000000,112000.000000,0.000000,0.000000,164000.000000,-6281000.000000,-6281000.000000,-11317000.000000,0.000000,-11886000.000000,-11886000.000000,-11886000.000000,0.000000,0.000000,,12379000.000000,-12379000.000000,1535000.000000,0.000000,4.975000,-11.708000,-5.985000,226000.000000,0.000000,20.530000,,,0.000000,-142206000.000000,0.000000,0.000000,8791000.000000,,,,,1237000.000000,3588000.000000,1.000000,28673644.000000,28499475.000000,28499475.000000,0.000000,126621000.000000,0.000000,0.000000,0.000000,4.443000
ARQ,2020-06-30,2020-08-12,2020-06-30,2020-Q2,102800000.000000,1195788500.000000,2025-05-12,90000.000000,114058000.000000,,113193000.000000,865000.000000,,3.624000,0.000000,63247000.000000,63247000.000000,0.000000,-16207000.000000,10.891000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,53000.000000,0.000000,0.000000,0.000000,-16207000.000000,-16154000.000000,,-16154000.000000,-16207000.000000,-16207000.000000,-0.570000,-0.570000,-0.570000,103663000.000000,,103663000.000000,1132541500.000000,-19.000000,-19.147000,-22584000.000000,-0.790000,1.000000,0.000000,,0.000000,0.000000,40418000.000000,,0.000000,39586000.000000,39586000.000000,0.000000,10395000.000000,10393000.000000,2000.000000,15981000.000000,0.000000,167000.000000,0.000000,0.000000,100000.000000,38465000.000000,38465000.000000,-22584000.000000,0.000000,-16207000.000000,-16207000.000000,-16207000.000000,0.000000,0.000000,,16454000.000000,-16454000.000000,2536000.000000,0.000000,11.535000,-20.179000,-19.251000,0.000000,0.000000,34.460000,,,0.000000,-158413000.000000,0.000000,0.000000,13037000.000000,,,,,1323000.000000,3417000.000000,1.000000,34700769.000000,28602976.000000,28602976.000000,0.000000,114058000.000000,0.000000,0.000000,0.000000,3.988000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,286019000.000000,1006933505.000000,2025-05-12,16000.000000,300036000.000000,,298033000.000000,2003000.000000,,8.425000,-143000.000000,192679000.000000,192679000.000000,0.000000,-21403000.000000,24.807000,0.047000,1564000.000000,0.000000,1564000.000000,1564000.000000,0.000000,46000.000000,0.000000,0.000000,0.000000,-21403000.000000,-21357000.000000,,-21357000.000000,-21403000.000000,-21403000.000000,-0.630000,-0.630000,-0.630000,286458000.000000,,286458000.000000,815818505.000000,-13.000000,-12.560000,-13651000.000000,-0.401000,1.000000,0.000000,,0.000000,0.000000,96907000.000000,,0.000000,99191000.000000,99191000.000000,0.000000,13578000.000000,12014000.000000,1564000.000000,129432000.000000,0.000000,202717000.000000,0.000000,0.000000,202784000.000000,-59844000.000000,-59701000.000000,-13508000.000000,0.000000,-21403000.000000,-21403000.000000,-21403000.000000,0.000000,0.000000,,21538000.000000,-21538000.000000,4636000.000000,0.000000,3.515000,-15.466000,-15.591000,1847000.000000,0.000000,29.000000,,,0.000000,-179816000.000000,0.000000,0.000000,17379000.000000,,,,,1546000.000000,4159000.000000,1.000000,34721845.000000,34002769.000000,34002769.000000,0.000000,300036000.000000,0.000000,0.000000,0.000000,8.824000
ARQ,2020-12-31,2021-03-16,2020-12-31,2020-Q4,258234000.000000,1102219112.000000,2025-05-12,-3000.000000,273339000.000000,,271345000.000000,1994000.000000,,7.454000,-5000.000000,187242000.000000,187242000.000000,0.000000,-29711000.000000,20.696000,0.057000,1516000.000000,0.000000,1516000.000000,1516000.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,-29711000.000000,-29651000.000000,,-29651000.000000,-29711000.000000,-29711000.000000,-0.890000,-0.890000,-0.890000,258712000.000000,,258712000.000000,916493112.000000,-12.000000,-11.602000,-23400000.000000,-0.674000,1.000000,0.000000,,0.000000,0.000000,74502000.000000,,0.000000,81145000.000000,81145000.000000,0.000000,14627000.000000,13111000.000000,1516000.000000,-5437000.000000,0.000000,59000.000000,0.000000,0.000000,59000.000000,17899000.000000,17904000.000000,-23395000.000000,0.000000,-29711000.000000,-29711000.000000,-29711000.000000,0.000000,0.000000,,29783000.000000,-29783000.000000,3428000.000000,0.000000,4.260000,-13.916000,-12.579000,1793000.000000,0.000000,31.700000,,,0.000000,-209527000.000000,0.000000,0.000000,25709000.000000,,,,,1916000.000000,4074000.000000,1.000000,34770319.000000,34707979.000000,34707979.000000,0.000000,273339000.000000,0.000000,0.000000,0.000000,7.875000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,245640000.000000,965727143.000000,2025-05-12,-2000.000000,257623000.000000,,255776000.000000,1847000.000000,,7.081000,0.000000,187960000.000000,187960000.000000,0.000000,-15090000.000000,25.234000,0.047000,1467000.000000,0.000000,1467000.000000,1467000.000000,0.000000,61000.000000,0.000000,0.000000,0.000000,-15090000.000000,-15029000.000000,,-15029000.000000,-15090000.000000,-15090000.000000,-0.430000,-0.430000,-0.430000,246020000.000000,,246020000.000000,779234143.000000,-9.000000,-9.481000,-18346000.000000,-0.528000,1.000000,0.000000,,0.000000,0.000000,60994000.000000,,0.000000,62024000.000000,62024000.000000,0.000000,11603000.000000,10136000.000000,1467000.000000,678000.000000,0.000000,24000.000000,0.000000,0.000000,24000.000000,19000000.000000,19000000.000000,-18346000.000000,0.000000,-15090000.000000,-15090000.000000,-15090000.000000,0.000000,0.000000,,15128000.000000,-15128000.000000,4605000.000000,0.000000,3.925000,-11.718000,-11.004000,1732000.000000,0.000000,27.730000,,,0.000000,-224617000.000000,0.000000,0.000000,10602000.000000,,,,,2364000.000000,4526000.000000,1.000000,34826078.000000,34744275.000000,34744275.000000,0.000000,257623000.000000,0.000000,0.000000,0.000000,7.415000
