dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-17,1996-12-31,1997-Q3,40730404.000000,401091774.000000,2025-05-01,201790.000000,57611264.000000,,46937592.000000,10673672.000000,,0.906000,,210783.000000,210783.000000,0.000000,-4236691.000000,7.562000,0.720000,15449431.000000,3838710.000000,11610721.000000,15449431.000000,5000000.000000,,0.000000,0.000000,0.000000,-3836534.000000,,,,-3836534.000000,-4236691.000000,-0.115000,-0.115000,-0.115000,33490272.000000,,33490272.000000,416330422.000000,,,,,1.000000,5505044.000000,1.000000,0.000000,400157.000000,66642724.000000,,0.000000,44389597.000000,42464335.000000,1925262.000000,24120992.000000,6207188.000000,17913804.000000,,,,,,,,,,,-4236691.000000,-4236691.000000,-4236691.000000,0.000000,0.000000,-0.770000,9341578.000000,-3836534.000000,2368478.000000,0.000000,11.976000,,,8128177.000000,0.000000,10.815000,,,3367935.000000,-115016671.000000,5505044.000000,5505044.000000,7657829.000000,,,,,,1683749.000000,1.000000,37086618.000000,36958996.000000,36958996.000000,0.149000,57611264.000000,0.000000,0.000000,0.000000,1.559000
ARQ,1997-03-31,1997-06-27,1997-03-31,1997-Q4,81667417.000000,314182287.000000,2025-05-01,54381.000000,104697018.000000,,89868040.000000,14828978.000000,,2.091000,-894453.000000,2799012.000000,2799012.000000,0.000000,-4827752.000000,10.959000,0.323000,10914127.000000,0.000000,10914127.000000,10914127.000000,5000000.000000,624080.000000,0.000000,0.000000,0.000000,-4456708.000000,-3832628.000000,-0.659000,-3832628.000000,-4456708.000000,-4827752.000000,-0.130000,-0.130000,-0.130000,79151436.000000,,79151436.000000,322297402.000000,-19.000000,-21.404000,-2956997.000000,-0.078000,1.000000,5819765.000000,1.000000,0.000000,371044.000000,104611510.000000,,0.000000,88296406.000000,82497939.000000,5798467.000000,25545582.000000,8200623.000000,17344959.000000,2588229.000000,0.000000,50593051.000000,-991519.000000,0.000000,49601532.000000,-44923156.000000,-44028703.000000,-2062544.000000,-27603.000000,-4827752.000000,-4827752.000000,-4827752.000000,0.000000,0.000000,-0.830000,10276473.000000,-4456708.000000,4653081.000000,0.000000,3.969000,-16.714000,-14.689000,8447779.000000,0.000000,7.565000,15.846000,13.956000,0.000000,-119844423.000000,5819765.000000,5819765.000000,8340215.000000,,,,,43274.000000,1936258.000000,1.000000,41531036.000000,37848152.000000,37848152.000000,0.154000,104697018.000000,0.000000,0.000000,0.000000,2.766000
ARQ,1997-06-30,1997-08-13,1997-06-30,1998-Q1,83021272.000000,332633424.000000,2025-05-01,100934.000000,101182224.000000,,89921932.000000,11260292.000000,,1.818000,-1162572.000000,4016171.000000,4016171.000000,0.000000,-4027732.000000,13.031000,0.341000,12210082.000000,0.000000,12210082.000000,12210082.000000,5000000.000000,769938.000000,0.000000,0.000000,0.000000,-3590550.000000,-2820612.000000,-0.476000,-2820612.000000,-3590550.000000,-4027732.000000,-0.095000,-0.095000,-0.095000,75448103.000000,,75448103.000000,340827335.000000,,,-5439997.000000,-0.131000,1.000000,5931397.000000,1.000000,0.000000,437182.000000,102475475.000000,,0.000000,83462607.000000,81630374.000000,1832233.000000,25734121.000000,6900660.000000,18833461.000000,1217159.000000,0.000000,262232.000000,1521726.000000,0.000000,1783958.000000,3700725.000000,4871297.000000,-4277425.000000,9901.000000,-4027732.000000,-4027732.000000,-4027732.000000,0.000000,0.000000,-0.679000,9521947.000000,-3590550.000000,3127718.000000,0.000000,4.409000,,,8874828.000000,0.000000,8.000000,,,0.000000,-123872155.000000,5931397.000000,5931397.000000,7607927.000000,,,,,15614.000000,1914020.000000,1.000000,41579178.000000,41505696.000000,41505696.000000,0.143000,101182224.000000,0.000000,0.000000,0.000000,2.438000
ARQ,1997-09-30,1997-11-12,1997-09-30,1998-Q2,76862499.000000,450227974.000000,2025-05-01,59932.000000,107434490.000000,,91566528.000000,15867962.000000,,1.793000,-1323002.000000,1887261.000000,1887261.000000,0.000000,-959554.000000,6.227000,0.441000,11383333.000000,0.000000,11383333.000000,11383333.000000,13157500.000000,755102.000000,0.000000,0.000000,0.000000,-547054.000000,208048.000000,0.025000,208048.000000,-547054.000000,-959554.000000,-0.025000,-0.025000,-0.025000,74574835.000000,,74574835.000000,459724046.000000,-37.000000,,-4910115.000000,-0.118000,1.000000,8433186.000000,1.000000,0.000000,412500.000000,102226533.000000,,0.000000,79650445.000000,73770075.000000,5880370.000000,32859655.000000,14704029.000000,18155626.000000,-2128910.000000,0.000000,111674.000000,-1105222.000000,0.000000,-993548.000000,2471379.000000,3788701.000000,-3587113.000000,-19628.000000,-959554.000000,-959554.000000,-959554.000000,0.000000,0.000000,-0.114000,8980240.000000,-547054.000000,3051415.000000,0.000000,6.037000,-32.041000,-29.630000,9477542.000000,0.000000,10.815000,17.526000,17.507000,14475695.000000,-124831709.000000,8433186.000000,8433186.000000,7094597.000000,,,,,15614.000000,1885643.000000,1.000000,41629956.000000,41584148.000000,41584148.000000,0.203000,107434490.000000,0.000000,0.000000,0.000000,2.584000
ARQ,1997-12-31,1998-02-13,1997-12-31,1998-Q3,70634256.000000,543688678.000000,2025-05-01,-89477.000000,104393193.000000,,85645988.000000,18747205.000000,,1.726000,-2777340.000000,4325882.000000,4325882.000000,0.000000,-3008740.000000,5.705000,0.452000,10558333.000000,0.000000,10558333.000000,10558333.000000,12699416.000000,653053.000000,0.000000,0.000000,0.000000,-2616316.000000,-1963263.000000,-0.252000,-1963263.000000,-2616316.000000,-3008740.000000,-0.070000,-0.070000,-0.070000,71901628.000000,,71901628.000000,549921129.000000,-49.000000,-65.401000,5665398.000000,0.136000,1.000000,7805080.000000,1.000000,0.000000,392424.000000,95613912.000000,,0.000000,82105293.000000,75480696.000000,6624597.000000,32491565.000000,15011732.000000,17479833.000000,2438621.000000,0.000000,461123.000000,-1010937.000000,0.000000,-549814.000000,-5467501.000000,-2675161.000000,8442738.000000,13198.000000,-3008740.000000,-3008740.000000,-3008740.000000,0.000000,0.000000,-0.385000,10421396.000000,-2616316.000000,4003459.000000,0.000000,7.562000,-42.397000,-40.625000,11635059.000000,0.000000,13.000000,19.425000,19.351000,0.000000,-127840449.000000,7805080.000000,7805080.000000,8154705.000000,,,,,23819.000000,2266691.000000,1.000000,41822206.000000,41662678.000000,41662678.000000,0.187000,104393193.000000,0.000000,0.000000,0.000000,2.506000
ARQ,1998-03-31,1998-06-29,1998-03-31,1998-Q4,184019046.000000,377167032.000000,2025-05-01,-48138.000000,220258097.000000,,202607531.000000,17650566.000000,,4.334000,-1650544.000000,3495265.000000,3495265.000000,0.000000,-1775105.000000,10.900000,0.212000,12933333.000000,0.000000,12933333.000000,12933333.000000,12415980.000000,381502.000000,0.000000,0.000000,0.000000,-1392313.000000,-1010811.000000,-0.110000,-1010811.000000,-1392313.000000,-1775105.000000,-0.045000,-0.045000,-0.045000,181664067.000000,,181664067.000000,386605100.000000,-47.000000,-69.202000,-3365431.000000,-0.080000,1.000000,9156985.000000,1.000000,0.000000,382792.000000,211107680.000000,,0.000000,194243024.000000,190556898.000000,3686126.000000,38594030.000000,18588485.000000,20005545.000000,-830617.000000,0.000000,925884.000000,3171067.000000,0.000000,114630907.000000,-113750775.000000,-112100231.000000,-1714887.000000,4138.000000,-1775105.000000,-1775105.000000,-1775105.000000,0.000000,0.000000,-0.194000,10549298.000000,-1392313.000000,7067972.000000,0.000000,2.076000,-38.600000,-38.043000,13497728.000000,0.000000,8.940000,12.040000,11.891000,0.000000,-129615554.000000,9156985.000000,9156985.000000,8481892.000000,,,,,36365.000000,2067406.000000,1.000000,42188706.000000,41919300.000000,41919300.000000,0.218000,220258097.000000,0.000000,0.000000,0.000000,5.254000
ARQ,1998-06-30,1998-08-14,1998-06-30,1999-Q1,162617956.000000,337864304.000000,2025-05-01,-27480.000000,212539359.000000,,180888696.000000,31650663.000000,,4.148000,-11830118.000000,3478523.000000,3478523.000000,0.000000,-5076558.000000,9.900000,0.215000,12108333.000000,0.000000,12108333.000000,12108333.000000,11965860.000000,1124992.000000,0.000000,0.000000,0.000000,-4639371.000000,-3514379.000000,-0.343000,-3514379.000000,-4639371.000000,-5076558.000000,-0.165000,-0.165000,-0.165000,174935802.000000,,174935802.000000,346494114.000000,-38.000000,-55.171000,-16045381.000000,-0.380000,1.000000,10259181.000000,1.000000,0.000000,437187.000000,202898429.000000,,0.000000,175190230.000000,168709969.000000,6480261.000000,37603557.000000,18270740.000000,19332817.000000,-16742.000000,0.000000,134731.000000,-829505.000000,0.000000,-2542824.000000,6741426.000000,19071544.000000,-4215263.000000,-81.000000,-5076558.000000,-6924608.000000,-6924608.000000,0.000000,0.000000,-0.675000,14898552.000000,-4639371.000000,7204880.000000,0.000000,1.931000,-26.671000,-26.230000,24232858.000000,1848050.000000,8.000000,9.476000,9.463000,0.000000,-136540162.000000,10259181.000000,10259181.000000,9011102.000000,,,,,40954.000000,2666197.000000,1.000000,42233038.000000,42175982.000000,42175982.000000,0.243000,212539359.000000,0.000000,0.000000,0.000000,5.039000
ARQ,1998-09-30,1998-11-16,1998-09-30,1999-Q2,160734740.000000,420739028.000000,2025-05-01,-98868.000000,221495961.000000,,179350081.000000,42145880.000000,,4.038000,-6378084.000000,1441199.000000,1441199.000000,0.000000,-2625969.000000,9.635000,0.299000,24967932.000000,0.000000,24967932.000000,24967932.000000,11483436.000000,1124698.000000,0.000000,0.000000,0.000000,-2184615.000000,-1059917.000000,-0.087000,-1059917.000000,-2184615.000000,-2625969.000000,-0.105000,-0.105000,-0.105000,170534207.000000,,170534207.000000,444265761.000000,-41.000000,-58.856000,-12427475.000000,-0.294000,1.000000,12163773.000000,1.000000,0.000000,441354.000000,226407353.000000,,0.000000,177062055.000000,165396020.000000,11666035.000000,50961754.000000,18615341.000000,32346413.000000,-2037324.000000,0.000000,141684.000000,14121469.000000,0.000000,12394403.000000,-8397209.000000,-1956125.000000,-6049391.000000,14873.000000,-2625969.000000,-4494719.000000,-4494719.000000,0.000000,0.000000,-0.370000,14348388.000000,-2184615.000000,6770114.000000,0.000000,2.467000,-25.966000,-25.818000,29516802.000000,1868750.000000,9.940000,10.683000,10.658000,0.000000,-141034881.000000,12163773.000000,12163773.000000,11437814.000000,,,,,22828.000000,2910574.000000,1.000000,42327870.000000,42231818.000000,42231818.000000,0.288000,221495961.000000,0.000000,0.000000,0.000000,5.245000
ARQ,1998-12-31,1999-02-16,1998-12-31,1999-Q3,157699179.000000,688211475.000000,2025-05-01,-19903.000000,220520560.000000,,178128151.000000,42392409.000000,,3.939000,-2443353.000000,16115748.000000,16115748.000000,0.000000,-2192654.000000,8.719000,0.323000,31873264.000000,0.000000,31873264.000000,31873264.000000,8813661.000000,1094256.000000,0.000000,0.000000,0.000000,-1538859.000000,-444603.000000,-0.033000,-444603.000000,-1538859.000000,-2192654.000000,-0.095000,-0.095000,-0.095000,166667742.000000,,166667742.000000,703968991.000000,-72.000000,-116.750000,3094607.000000,0.073000,1.000000,13553034.000000,1.000000,0.000000,653795.000000,215849104.000000,,0.000000,163384621.000000,154875378.000000,8509243.000000,53852818.000000,20428972.000000,33423846.000000,14674549.000000,0.000000,87038.000000,1855134.000000,0.000000,73422.000000,9089083.000000,13578884.000000,5537960.000000,-25916.000000,-2192654.000000,-4061404.000000,-4061404.000000,0.000000,0.000000,-0.300000,15091893.000000,-1538859.000000,5320320.000000,0.000000,4.129000,-39.883000,-33.732000,30911176.000000,1868750.000000,13.830000,15.249000,12.966000,0.000000,-145096285.000000,13553034.000000,13553034.000000,11977715.000000,,,,,28936.000000,3114178.000000,1.000000,49762218.000000,42314454.000000,42314454.000000,0.320000,220520560.000000,0.000000,0.000000,0.000000,5.211000
ARQ,1999-03-31,1999-06-29,1999-03-31,1999-Q4,140663560.000000,620343578.000000,2025-05-01,-46873.000000,213452269.000000,,169163699.000000,44288570.000000,,3.180000,-3407591.000000,9115432.000000,9115432.000000,0.000000,-31161189.000000,5.936000,0.366000,28416625.000000,0.000000,28416625.000000,28416625.000000,9587933.000000,2041458.000000,0.000000,0.000000,0.000000,-30395059.000000,-28353601.000000,-3.663000,-28353601.000000,-30395059.000000,-31161189.000000,-0.625000,-0.625000,-0.625000,156205891.000000,,156205891.000000,639644771.000000,-17.000000,-19.167000,-12930239.000000,-0.263000,1.000000,7739598.000000,1.000000,0.000000,766130.000000,204253323.000000,,0.000000,162739287.000000,154303220.000000,8436067.000000,57246378.000000,28500139.000000,28746239.000000,-7205001.000000,0.000000,6657589.000000,448254.000000,0.000000,5237093.000000,-2890134.000000,546034.000000,-9522648.000000,-29312.000000,-31161189.000000,-33029939.000000,-33029939.000000,0.000000,0.000000,-4.268000,38134657.000000,-30395059.000000,6642005.000000,0.000000,3.971000,-12.788000,-12.500000,33364746.000000,1868750.000000,12.375000,14.190000,13.903000,0.000000,-180937294.000000,7739598.000000,7739598.000000,16030193.000000,,,,,16146593.000000,5865153.000000,1.000000,50128774.000000,49115000.000000,49115000.000000,0.158000,213452269.000000,0.000000,0.000000,0.000000,4.346000
