dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2004-03-31,2004-05-27,2004-03-31,2004-Q1,14393000.000000,,2025-05-04,69000.000000,39339000.000000,,22586000.000000,16753000.000000,,-23.611000,-2072000.000000,24279000.000000,24279000.000000,0.000000,-13582000.000000,2.757000,-0.295000,1879000.000000,0.000000,1879000.000000,1879000.000000,1888000.000000,511000.000000,0.000000,,0.000000,-13374000.000000,-12863000.000000,-95.993000,-12863000.000000,-13374000.000000,-13582000.000000,-9.390000,-9.390000,-9.390000,-39080000.000000,,-39080000.000000,,,,-10566000.000000,-6.384000,1.000000,134000.000000,1.000000,3760000.000000,208000.000000,4986000.000000,,0.000000,0.000000,0.000000,0.000000,11544000.000000,8193000.000000,3351000.000000,-1581000.000000,0.000000,114000.000000,20000.000000,0.000000,8992000.000000,-2072000.000000,0.000000,-8494000.000000,-7000.000000,-13582000.000000,-15544000.000000,-15544000.000000,0.000000,0.000000,-116.000000,13545000.000000,-13411000.000000,3636000.000000,0.000000,,,,8961000.000000,1962000.000000,,,,0.000000,-43933000.000000,134000.000000,134000.000000,10435000.000000,,,,,2231000.000000,3031000.000000,1.000000,19283332.000000,1655168.000000,1655168.000000,0.081000,35579000.000000,0.000000,0.000000,0.000000,21.496000
ARQ,2004-06-30,2004-08-12,2004-06-30,2004-Q2,41807000.000000,86193792.000000,2025-05-04,-37000.000000,68473000.000000,,50511000.000000,17962000.000000,,7.242000,-4299000.000000,34204000.000000,34204000.000000,0.000000,-6956000.000000,5.803000,0.351000,5705000.000000,0.000000,5705000.000000,5705000.000000,4840000.000000,454000.000000,0.000000,0.000000,0.000000,-6859000.000000,-6405000.000000,-48.893000,-6405000.000000,-6859000.000000,-6956000.000000,-1.100000,-1.100000,-1.100000,50675000.000000,,50675000.000000,57694792.000000,,,-10747000.000000,-1.536000,1.000000,131000.000000,1.000000,3642000.000000,97000.000000,27628000.000000,,0.000000,14207000.000000,14207000.000000,0.000000,17798000.000000,8704000.000000,9094000.000000,10279000.000000,0.000000,29986000.000000,3826000.000000,0.000000,35280000.000000,-18506000.000000,-14207000.000000,-6448000.000000,-47000.000000,-6956000.000000,-7707000.000000,-7707000.000000,0.000000,0.000000,-58.832000,7106000.000000,-6975000.000000,1810000.000000,0.000000,1.701000,,,11436000.000000,751000.000000,4.300000,,,3000000.000000,-50889000.000000,131000.000000,131000.000000,4159000.000000,,,,,-47000.000000,2947000.000000,1.000000,20045068.000000,6997479.000000,6997479.000000,0.019000,64831000.000000,0.000000,0.000000,0.000000,9.265000
ARQ,2004-09-30,2004-11-15,2004-09-30,2004-Q3,40558000.000000,127543496.000000,2025-05-04,41000.000000,62545000.000000,,47198000.000000,15347000.000000,,2.306000,-1169000.000000,16857000.000000,16857000.000000,0.000000,-6416000.000000,7.108000,0.390000,6970000.000000,379000.000000,6591000.000000,6970000.000000,5404000.000000,728000.000000,0.000000,0.000000,0.000000,-6241000.000000,-5513000.000000,-4.033000,-5513000.000000,-6241000.000000,-6416000.000000,-0.330000,-0.330000,-0.330000,44981000.000000,,44981000.000000,117656496.000000,,,-4781000.000000,-0.245000,1.000000,1367000.000000,1.000000,3523000.000000,175000.000000,42495000.000000,,0.000000,30393000.000000,30393000.000000,0.000000,17564000.000000,6640000.000000,10924000.000000,-17347000.000000,0.000000,-88000.000000,1265000.000000,0.000000,1177000.000000,-14935000.000000,-16186000.000000,-3612000.000000,23000.000000,-6416000.000000,-6416000.000000,-6416000.000000,0.000000,0.000000,-4.693000,7793000.000000,-6426000.000000,1450000.000000,0.000000,2.835000,,,8969000.000000,0.000000,6.350000,,,916000.000000,-57305000.000000,1367000.000000,1367000.000000,4831000.000000,,,,,731000.000000,2962000.000000,1.000000,20085590.000000,19507468.000000,19507468.000000,0.070000,59022000.000000,0.000000,0.000000,0.000000,3.026000
ARQ,2004-12-31,2005-03-30,2004-12-31,2004-Q4,41606000.000000,153676799.000000,2025-05-04,420000.000000,66107000.000000,,48181000.000000,17926000.000000,,3.882000,-1281000.000000,22585000.000000,22585000.000000,0.000000,-5700000.000000,7.328000,0.433000,7201000.000000,790000.000000,6411000.000000,7201000.000000,5083000.000000,751000.000000,0.000000,0.000000,0.000000,-5519000.000000,-4768000.000000,-1.802000,-4768000.000000,-5519000.000000,-5700000.000000,0.160000,0.160000,0.160000,46142000.000000,,46142000.000000,138292799.000000,-4.000000,-4.680000,-2297000.000000,-0.193000,1.000000,2646000.000000,1.000000,3405000.000000,181000.000000,40743000.000000,,0.000000,26084000.000000,26084000.000000,0.000000,19965000.000000,6575000.000000,13390000.000000,5728000.000000,0.000000,5296000.000000,231000.000000,0.000000,5528000.000000,918000.000000,4619000.000000,-1016000.000000,298000.000000,-5700000.000000,-5700000.000000,-5700000.000000,0.000000,0.000000,-2.154000,8177000.000000,-5531000.000000,910000.000000,0.000000,3.331000,-4.345000,-2.466000,11694000.000000,0.000000,7.350000,35.923000,20.421000,859000.000000,-63005000.000000,2646000.000000,2646000.000000,5178000.000000,,,,,1191000.000000,2999000.000000,1.000000,20908408.000000,11886126.000000,11886126.000000,0.223000,62702000.000000,0.000000,0.000000,0.000000,5.275000
ARQ,2005-03-31,2005-05-16,2005-03-31,2005-Q1,35304000.000000,167139127.000000,2025-05-04,191000.000000,59067000.000000,,41442000.000000,17625000.000000,,1.949000,-607000.000000,14528000.000000,14528000.000000,0.000000,-6600000.000000,6.752000,0.483000,7766000.000000,1288000.000000,6478000.000000,7766000.000000,5352000.000000,675000.000000,0.000000,0.000000,0.000000,-6375000.000000,-5700000.000000,-3.469000,-5700000.000000,-6375000.000000,-6600000.000000,-0.320000,-0.320000,-0.320000,39829000.000000,,39829000.000000,160377127.000000,-6.000000,-7.164000,-8246000.000000,-0.404000,1.000000,1643000.000000,1.000000,3287000.000000,225000.000000,42880000.000000,,0.000000,26372000.000000,26372000.000000,0.000000,19238000.000000,6138000.000000,13100000.000000,-8057000.000000,0.000000,37000.000000,565000.000000,0.000000,602000.000000,-908000.000000,-301000.000000,-7639000.000000,-112000.000000,-6600000.000000,-6600000.000000,-6600000.000000,0.000000,0.000000,-4.017000,8324000.000000,-6681000.000000,1653000.000000,0.000000,4.196000,-6.326000,-5.025000,11540000.000000,0.000000,7.990000,28.882000,28.214000,1867000.000000,-69604000.000000,1643000.000000,1643000.000000,5372000.000000,,,,,480000.000000,2952000.000000,1.000000,20918539.000000,20434896.000000,20434896.000000,0.080000,55780000.000000,0.000000,0.000000,0.000000,2.730000
ARQ,2005-06-30,2005-08-11,2005-06-30,2005-Q2,24819000.000000,191866118.000000,2025-05-04,-32000.000000,50862000.000000,,33840000.000000,17022000.000000,,1.426000,-368000.000000,11478000.000000,11478000.000000,0.000000,-11145000.000000,3.751000,0.731000,7963000.000000,1776000.000000,6187000.000000,7963000.000000,4974000.000000,952000.000000,0.000000,0.000000,0.000000,-10897000.000000,-9945000.000000,-8.976000,-9945000.000000,-10897000.000000,-11145000.000000,-0.540000,-0.540000,-0.540000,29388000.000000,,29388000.000000,188351118.000000,-6.000000,-7.265000,-6618000.000000,-0.321000,1.000000,1108000.000000,1.000000,3168000.000000,248000.000000,35158000.000000,,0.000000,22758000.000000,22758000.000000,0.000000,21474000.000000,9021000.000000,12453000.000000,-3050000.000000,0.000000,10000.000000,197000.000000,0.000000,207000.000000,3230000.000000,3598000.000000,-6250000.000000,-237000.000000,-11145000.000000,-11145000.000000,-11145000.000000,0.000000,0.000000,-10.059000,12312000.000000,-11204000.000000,1612000.000000,0.000000,6.529000,-6.425000,-8.786000,11084000.000000,0.000000,9.050000,28.366000,27.570000,679000.000000,-80750000.000000,1108000.000000,1108000.000000,9190000.000000,,,,,919000.000000,3122000.000000,1.000000,21200676.000000,20605681.000000,20605681.000000,0.054000,47694000.000000,0.000000,0.000000,0.000000,2.315000
ARQ,2005-09-30,2005-11-14,2005-09-30,2005-Q3,18695000.000000,285754761.000000,2025-05-04,-32000.000000,43248000.000000,,26697000.000000,16551000.000000,,1.103000,-372000.000000,9491000.000000,9491000.000000,0.000000,-10678000.000000,3.336000,0.875000,7547000.000000,1765000.000000,5782000.000000,7547000.000000,5085000.000000,740000.000000,0.000000,0.000000,0.000000,-10434000.000000,-9694000.000000,-6.861000,-9694000.000000,-10434000.000000,-10678000.000000,-0.510000,-0.510000,-0.510000,23071000.000000,,23071000.000000,283810761.000000,-9.000000,-9.427000,-6584000.000000,-0.315000,1.000000,1413000.000000,1.000000,3050000.000000,244000.000000,30252000.000000,,0.000000,17914000.000000,17914000.000000,0.000000,20177000.000000,8002000.000000,12175000.000000,-1987000.000000,0.000000,73000.000000,-416000.000000,0.000000,-343000.000000,4474000.000000,4846000.000000,-6212000.000000,94000.000000,-10678000.000000,-10678000.000000,-10678000.000000,0.000000,0.000000,-7.557000,12083000.000000,-10670000.000000,1985000.000000,0.000000,12.386000,-8.374000,-8.868000,10760000.000000,0.000000,10.730000,41.961000,32.952000,304000.000000,-91428000.000000,1413000.000000,1413000.000000,7995000.000000,,,,,2196000.000000,4088000.000000,1.000000,26631385.000000,20913576.000000,20913576.000000,0.068000,40198000.000000,0.000000,0.000000,0.000000,1.922000
ARQ,2005-12-31,2006-03-16,2005-12-31,2005-Q4,63930000.000000,539150993.000000,2025-05-04,-142000.000000,98348000.000000,,82414000.000000,15934000.000000,,2.397000,-600000.000000,18070000.000000,18070000.000000,0.000000,-14491000.000000,4.459000,0.592000,7395000.000000,1876000.000000,5519000.000000,7395000.000000,20833000.000000,752000.000000,0.000000,0.000000,0.000000,-14239000.000000,-13487000.000000,-8.690000,-13487000.000000,-14239000.000000,-14491000.000000,-0.590000,-0.590000,-0.590000,61779000.000000,,61779000.000000,528475993.000000,-13.000000,-13.611000,3016000.000000,0.117000,1.000000,1552000.000000,1.000000,2491000.000000,252000.000000,66698000.000000,,0.000000,64391000.000000,64391000.000000,0.000000,36569000.000000,18484000.000000,18085000.000000,8579000.000000,0.000000,52303000.000000,-152000.000000,0.000000,52151000.000000,-47214000.000000,-46614000.000000,3616000.000000,26000.000000,-14491000.000000,-14491000.000000,-14491000.000000,0.000000,0.000000,-9.337000,16469000.000000,-14917000.000000,1975000.000000,0.000000,8.727000,-12.564000,-8.617000,10580000.000000,0.000000,16.890000,94.323000,64.856000,609000.000000,-105919000.000000,1552000.000000,1552000.000000,12762000.000000,,,,,1002000.000000,3707000.000000,1.000000,31921314.000000,25773205.000000,25773205.000000,0.060000,95857000.000000,0.000000,0.000000,0.000000,3.719000
ARQ,2006-03-31,2006-05-09,2006-03-31,2006-Q1,117130000.000000,516514581.000000,2025-05-04,-71000.000000,153687000.000000,,137120000.000000,16567000.000000,,3.927000,-1484000.000000,59117000.000000,59117000.000000,0.000000,-8860000.000000,6.859000,0.303000,7326000.000000,2006000.000000,5320000.000000,7326000.000000,18457000.000000,789000.000000,0.000000,0.000000,0.000000,-8622000.000000,-7833000.000000,-1.370000,-7833000.000000,-8622000.000000,-8860000.000000,-0.300000,-0.300000,-0.300000,117916000.000000,,117916000.000000,464723581.000000,-11.000000,-11.346000,-10187000.000000,-0.339000,1.000000,5717000.000000,1.000000,2387000.000000,238000.000000,79519000.000000,,0.000000,75471000.000000,75471000.000000,0.000000,35771000.000000,19990000.000000,15781000.000000,41047000.000000,0.000000,62551000.000000,-69000.000000,0.000000,62482000.000000,-12710000.000000,-11226000.000000,-8703000.000000,-22000.000000,-8860000.000000,-8860000.000000,-8860000.000000,0.000000,0.000000,-1.550000,15514000.000000,-9797000.000000,3928000.000000,0.000000,4.380000,-11.434000,-8.325000,11359000.000000,0.000000,16.150000,52.759000,49.535000,3116000.000000,-114779000.000000,5717000.000000,5717000.000000,11930000.000000,,,,,2375000.000000,3584000.000000,1.000000,31982327.000000,30028000.000000,30028000.000000,0.190000,151300000.000000,0.000000,0.000000,0.000000,5.039000
ARQ,2006-06-30,2006-08-04,2006-06-30,2006-Q2,108456000.000000,404091071.000000,2025-05-04,113000.000000,147114000.000000,,129057000.000000,18057000.000000,,3.439000,-2465000.000000,37958000.000000,37958000.000000,0.000000,-9910000.000000,6.265000,0.336000,9055000.000000,2721000.000000,6334000.000000,9055000.000000,16284000.000000,947000.000000,0.000000,0.000000,0.000000,-9680000.000000,-8733000.000000,-1.450000,-8733000.000000,-9680000.000000,-9910000.000000,-0.310000,-0.310000,-0.310000,110077000.000000,,110077000.000000,375188071.000000,-9.000000,-9.439000,-10847000.000000,-0.339000,1.000000,6021000.000000,1.000000,2284000.000000,230000.000000,95326000.000000,,0.000000,87622000.000000,87622000.000000,0.000000,37037000.000000,20601000.000000,16436000.000000,-21159000.000000,0.000000,108000.000000,1728000.000000,0.000000,1836000.000000,-14616000.000000,-12151000.000000,-8382000.000000,3000.000000,-9910000.000000,-9910000.000000,-9910000.000000,0.000000,0.000000,-1.646000,17130000.000000,-11109000.000000,3698000.000000,0.000000,3.671000,-9.197000,-7.351000,13044000.000000,0.000000,12.570000,27.484000,27.366000,3591000.000000,-124689000.000000,6021000.000000,6021000.000000,12692000.000000,,,,,1651000.000000,4438000.000000,1.000000,32147261.000000,32010000.000000,32010000.000000,0.188000,144830000.000000,0.000000,0.000000,0.000000,4.525000
