dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-24,1996-12-31,1996-Q4,78120000.000000,,2025-04-16,0.000000,868560000.000000,,528600000.000000,339960000.000000,,3.743000,,108600000.000000,108600000.000000,,,1.173000,1.298000,61680000.000000,51120000.000000,10560000.000000,61680000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,378000000.000000,,378000000.000000,,,,,,1.000000,,,52800000.000000,,318360000.000000,,83040000.000000,21480000.000000,0.000000,21480000.000000,490560000.000000,450480000.000000,40080000.000000,,,,,,,,,,,,,,,,,,,190080000.000000,,,,,265680000.000000,,,,,316200000.000000,240960000.000000,,,,,,,,,,1.000000,101000000.000000,101000000.000000,,,815760000.000000,13080000.000000,,18720000.000000,8.077000
ARQ,1997-06-30,1997-08-11,1997-06-30,1997-Q2,180600000.000000,3659760000.000000,2025-04-16,0.000000,3257000000.000000,,972500000.000000,2284500000.000000,,19.162000,,141300000.000000,141300000.000000,566000000.000000,-689300000.000000,1.228000,0.956000,766300000.000000,65800000.000000,700500000.000000,766300000.000000,0.000000,,0.000000,0.003000,0.110000,-652900000.000000,,,,-652900000.000000,-661500000.000000,-7.940000,-7.940000,-7.940000,1665200000.000000,,1665200000.000000,4284760000.000000,,,,,1.000000,154800000.000000,0.215000,1572900000.000000,8600000.000000,1517200000.000000,,153300000.000000,30000000.000000,0.000000,30000000.000000,1591800000.000000,791900000.000000,799900000.000000,,,,,,,,,,,-689300000.000000,-689300000.000000,-689300000.000000,0.000000,0.000000,-0.956000,810100000.000000,-655300000.000000,386400000.000000,-0.014000,2.198000,,,680100000.000000,0.000000,35.880000,,,612100000.000000,-336500000.000000,720800000.000000,720800000.000000,34900000.000000,,,,,,32900000.000000,1.000000,102000000.000000,86900000.000000,86900000.000000,8.295000,1684100000.000000,32500000.000000,27800000.000000,63200000.000000,19.380000
ARQ,1997-09-30,1997-11-13,1997-09-30,1997-Q3,169100000.000000,4067760000.000000,2025-04-16,0.000000,3257300000.000000,,975100000.000000,2282200000.000000,,16.387000,,153500000.000000,153500000.000000,561400000.000000,34900000.000000,1.210000,0.932000,771300000.000000,98500000.000000,672800000.000000,771300000.000000,0.000000,,0.000000,0.006000,0.110000,74500000.000000,,,,74500000.000000,61600000.000000,0.340000,0.340000,0.340000,1686200000.000000,,1686200000.000000,4685560000.000000,,,,,1.000000,155400000.000000,0.217000,1559800000.000000,12900000.000000,1509300000.000000,,166100000.000000,31400000.000000,0.000000,31400000.000000,1571100000.000000,806000000.000000,765100000.000000,,,,,,,,,,,34900000.000000,34900000.000000,34900000.000000,0.000000,0.000000,0.049000,87300000.000000,68100000.000000,374400000.000000,0.324000,2.412000,,,689900000.000000,0.000000,39.880000,,,581000000.000000,-315500000.000000,716800000.000000,716800000.000000,36200000.000000,,,,,,37100000.000000,1.000000,102000000.000000,102900000.000000,102900000.000000,6.966000,1697500000.000000,38700000.000000,26700000.000000,67000000.000000,16.497000
ARQ,1997-12-31,1998-03-26,1997-12-31,1997-Q4,-25300000.000000,3270441216.000000,2025-04-16,0.000000,3430500000.000000,,974200000.000000,2456300000.000000,,16.838000,-73100000.000000,152000000.000000,152000000.000000,671700000.000000,46500000.000000,0.975000,1.013000,798000000.000000,186200000.000000,611800000.000000,798000000.000000,0.000000,55000000.000000,0.000000,0.010000,0.110000,93000000.000000,148000000.000000,0.173000,148000000.000000,93000000.000000,76600000.000000,0.970000,0.970000,0.970000,1704000000.000000,,1704000000.000000,3916441216.000000,-9.000000,-14.063000,76400000.000000,0.755000,1.000000,184600000.000000,0.216000,1694500000.000000,16400000.000000,1382500000.000000,,197800000.000000,34600000.000000,0.000000,34600000.000000,1726500000.000000,999500000.000000,727000000.000000,-1400000.000000,-40900000.000000,-20800000.000000,-7800000.000000,-11200000.000000,-38400000.000000,-110500000.000000,0.000000,149500000.000000,-2000000.000000,46500000.000000,46500000.000000,46500000.000000,0.000000,0.000000,0.054000,95000000.000000,89600000.000000,385300000.000000,0.113000,1.919000,-5.643000,-4.776000,727200000.000000,0.000000,32.000000,1.194000,1.010000,569200000.000000,-336700000.000000,856300000.000000,856300000.000000,37300000.000000,,,,,0.000000,41600000.000000,1.000000,102201288.000000,101200000.000000,101200000.000000,8.461000,1736000000.000000,20500000.000000,30100000.000000,32300000.000000,17.154000
ARQ,1998-03-31,1998-05-14,1998-03-31,1998-Q1,66400000.000000,3162000000.000000,2025-04-16,0.000000,3599500000.000000,,1155300000.000000,2444200000.000000,,16.855000,-59000000.000000,250100000.000000,250100000.000000,655100000.000000,42400000.000000,1.061000,1.090000,905800000.000000,229200000.000000,676600000.000000,905800000.000000,0.000000,54300000.000000,0.000000,0.014000,0.110000,86200000.000000,140500000.000000,0.168000,140500000.000000,86200000.000000,70700000.000000,0.410000,0.410000,0.410000,1722600000.000000,,1722600000.000000,3817700000.000000,-10.000000,,900000.000000,0.009000,1.000000,182800000.000000,0.218000,1674500000.000000,15500000.000000,1491800000.000000,,201900000.000000,29400000.000000,0.000000,29400000.000000,1876900000.000000,1088900000.000000,788000000.000000,98100000.000000,-3300000.000000,0.000000,41100000.000000,-11200000.000000,97200000.000000,-57000000.000000,0.000000,59900000.000000,-2000000.000000,42400000.000000,42400000.000000,42400000.000000,0.000000,0.000000,0.051000,100700000.000000,82100000.000000,397400000.000000,0.268000,1.836000,-5.592000,-4.984000,740300000.000000,0.000000,31.000000,1.010000,1.012000,629300000.000000,-318100000.000000,837900000.000000,837900000.000000,46100000.000000,,,,,0.000000,39400000.000000,1.000000,102000000.000000,102200000.000000,102200000.000000,8.199000,1925000000.000000,33400000.000000,28300000.000000,58200000.000000,18.836000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,66800000.000000,3328260000.000000,2025-04-16,0.000000,3631800000.000000,,1165100000.000000,2466700000.000000,,17.250000,-66300000.000000,239700000.000000,239700000.000000,684900000.000000,50600000.000000,1.061000,1.060000,889800000.000000,225100000.000000,664700000.000000,889800000.000000,0.000000,55700000.000000,0.000000,0.013000,0.110000,98500000.000000,154200000.000000,0.176000,154200000.000000,98500000.000000,84100000.000000,0.500000,0.500000,0.500000,1763000000.000000,,1763000000.000000,3978360000.000000,11.000000,,30200000.000000,0.295000,1.000000,193000000.000000,0.220000,1662500000.000000,14400000.000000,1521100000.000000,,229700000.000000,27400000.000000,0.000000,27400000.000000,1868800000.000000,1098300000.000000,770500000.000000,-10400000.000000,-6900000.000000,0.000000,-4200000.000000,-11300000.000000,-32400000.000000,-74600000.000000,0.000000,96500000.000000,0.000000,50600000.000000,50600000.000000,50600000.000000,0.000000,0.000000,0.058000,99900000.000000,93100000.000000,421100000.000000,0.220000,1.888000,19.084000,14.698000,776800000.000000,0.000000,32.630000,1.012000,1.014000,631900000.000000,-277700000.000000,877900000.000000,877900000.000000,45500000.000000,,,,,0.000000,39100000.000000,1.000000,102000000.000000,102200000.000000,102200000.000000,8.590000,1969300000.000000,25100000.000000,33500000.000000,39100000.000000,19.269000
ARQ,1998-09-30,1998-11-12,1998-09-30,1998-Q3,77200000.000000,3442500000.000000,2025-04-16,0.000000,3635100000.000000,,1133300000.000000,2501800000.000000,,17.568000,-77200000.000000,139400000.000000,139400000.000000,641500000.000000,37800000.000000,1.073000,1.017000,856100000.000000,184600000.000000,671500000.000000,856100000.000000,0.000000,57600000.000000,0.000000,0.013000,0.110000,76700000.000000,134300000.000000,0.167000,134300000.000000,76700000.000000,64000000.000000,0.370000,0.370000,0.370000,1795400000.000000,,1795400000.000000,4159200000.000000,12.000000,7.208000,-53200000.000000,-0.521000,1.000000,162900000.000000,0.203000,1648100000.000000,12700000.000000,1647600000.000000,,247800000.000000,22200000.000000,0.000000,22200000.000000,1826100000.000000,1056100000.000000,770000000.000000,-100300000.000000,-2600000.000000,0.000000,-40400000.000000,-11200000.000000,-46200000.000000,-78600000.000000,0.000000,24000000.000000,600000.000000,37800000.000000,37800000.000000,37800000.000000,0.000000,0.000000,0.047000,91500000.000000,71400000.000000,390600000.000000,0.297000,1.917000,19.416000,15.000000,831500000.000000,0.000000,33.750000,1.020000,1.022000,668300000.000000,-231700000.000000,804400000.000000,804400000.000000,40200000.000000,,,,,0.000000,36100000.000000,1.000000,102000000.000000,102200000.000000,102200000.000000,7.871000,1987000000.000000,36800000.000000,26200000.000000,53100000.000000,19.442000
ARQ,1998-12-31,1999-03-26,1998-12-31,1998-Q4,69100000.000000,3747738560.000000,2025-04-16,0.000000,3668100000.000000,,1131800000.000000,2536300000.000000,,17.992000,-82300000.000000,118500000.000000,118500000.000000,759800000.000000,57400000.000000,1.065000,0.987000,821200000.000000,192600000.000000,628600000.000000,821200000.000000,0.000000,60400000.000000,0.000000,0.012000,0.110000,106800000.000000,167200000.000000,0.173000,167200000.000000,106800000.000000,93400000.000000,-7.980000,-7.980000,-7.980000,1846000000.000000,,1846000000.000000,4450438560.000000,12.000000,7.465000,51600000.000000,0.503000,1.000000,208800000.000000,0.216000,1649100000.000000,13400000.000000,1659000000.000000,,264900000.000000,18600000.000000,0.000000,18600000.000000,1822100000.000000,1062700000.000000,759400000.000000,-20900000.000000,-16700000.000000,0.000000,22200000.000000,-11300000.000000,-63200000.000000,-98500000.000000,0.000000,133900000.000000,6900000.000000,57400000.000000,57400000.000000,57400000.000000,0.000000,0.000000,0.059000,104000000.000000,104800000.000000,457100000.000000,-0.014000,2.030000,19.903000,-5.467000,868600000.000000,0.000000,36.630000,1.074000,1.074000,664200000.000000,-196300000.000000,968600000.000000,968600000.000000,44300000.000000,,,,,0.000000,43800000.000000,1.000000,102313365.000000,102600000.000000,102600000.000000,9.441000,2019000000.000000,43100000.000000,36000000.000000,24500000.000000,19.678000
ARQ,1999-03-31,1999-05-12,1999-03-31,1999-Q1,45300000.000000,3417000000.000000,2025-04-16,0.000000,3648400000.000000,,1133100000.000000,2515300000.000000,,18.014000,-66900000.000000,89400000.000000,89400000.000000,744200000.000000,44100000.000000,1.042000,0.980000,803200000.000000,206400000.000000,596800000.000000,803200000.000000,0.000000,66700000.000000,0.000000,0.013000,0.110000,87900000.000000,154600000.000000,0.165000,154600000.000000,87900000.000000,73500000.000000,0.430000,0.430000,0.430000,1842800000.000000,,1842800000.000000,4130800000.000000,11.000000,6.768000,30500000.000000,0.298000,1.000000,191200000.000000,0.204000,1650200000.000000,14400000.000000,1624200000.000000,,245100000.000000,18600000.000000,0.000000,18600000.000000,1805600000.000000,1087800000.000000,717800000.000000,-29100000.000000,-24800000.000000,0.000000,13700000.000000,-11300000.000000,-34700000.000000,-87200000.000000,0.000000,97400000.000000,-4600000.000000,44100000.000000,44100000.000000,44100000.000000,0.000000,0.000000,0.047000,108100000.000000,83100000.000000,439600000.000000,0.256000,1.854000,17.994000,-5.015000,846500000.000000,0.000000,33.500000,0.953000,0.956000,704300000.000000,-201000000.000000,935400000.000000,935400000.000000,48900000.000000,,,,,0.000000,42900000.000000,1.000000,102000000.000000,102300000.000000,102300000.000000,9.144000,1998200000.000000,47300000.000000,29400000.000000,47600000.000000,19.533000
ARQ,1999-06-30,1999-07-22,1999-06-30,1999-Q2,42400000.000000,3417000000.000000,2025-04-16,0.000000,3653300000.000000,,1155600000.000000,2497700000.000000,,18.235000,-72300000.000000,106200000.000000,106200000.000000,767800000.000000,51200000.000000,1.038000,0.958000,808800000.000000,247100000.000000,561700000.000000,808800000.000000,0.000000,64300000.000000,0.000000,0.013000,0.000000,100400000.000000,164700000.000000,0.169000,164700000.000000,100400000.000000,86800000.000000,0.500000,0.500000,0.500000,1865400000.000000,,1865400000.000000,4119600000.000000,11.000000,6.636000,35000000.000000,0.342000,1.000000,209200000.000000,0.214000,1630700000.000000,13600000.000000,1612000000.000000,,252300000.000000,16400000.000000,0.000000,16400000.000000,1787900000.000000,1113200000.000000,674700000.000000,16800000.000000,-9300000.000000,0.000000,40700000.000000,-11200000.000000,-15500000.000000,-72800000.000000,0.000000,107300000.000000,-2100000.000000,51200000.000000,51200000.000000,51200000.000000,0.000000,0.000000,0.052000,111200000.000000,98000000.000000,441300000.000000,0.000000,1.832000,17.937000,-5.015000,850700000.000000,0.000000,33.500000,0.927000,0.930000,716400000.000000,-178400000.000000,977000000.000000,977000000.000000,50300000.000000,,,,,0.000000,44800000.000000,1.000000,102000000.000000,102300000.000000,102300000.000000,9.550000,2022600000.000000,46300000.000000,35600000.000000,36500000.000000,19.771000
