dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-09-30,1997-01-24,1996-10-27,1996-Q4,1757842000.000000,8119547286.000000,2025-02-21,5683000.000000,3637987000.000000,,2693069000.000000,944918000.000000,,1.614000,,403888000.000000,403888000.000000,,,2.880000,0.535000,375647000.000000,100162000.000000,275485000.000000,375647000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,2370425000.000000,,2370425000.000000,8091306286.000000,9.000000,7.409000,,,1.000000,,,0.000000,,2674519000.000000,,478552000.000000,633744000.000000,633744000.000000,0.000000,1267562000.000000,935227000.000000,332335000.000000,,,,,,,,,,,,,,,,,,,791897000.000000,,3.425000,13.542000,13.716000,919038000.000000,,5.610000,1.959000,1.988000,822384000.000000,1599564000.000000,,,,,,,,,,1.000000,1447334632.000000,1468856000.000000,,,3637987000.000000,281586000.000000,,54775000.000000,2.477000
ARQ,1996-12-31,1997-03-12,1997-01-26,1997-Q1,1617229000.000000,9258960619.000000,2025-02-21,2714000.000000,3778485000.000000,,2620207000.000000,1158278000.000000,,1.640000,-30665000.000000,369358000.000000,369358000.000000,464120000.000000,29577000.000000,2.612000,0.554000,277049000.000000,43372000.000000,233677000.000000,277049000.000000,0.000000,48507000.000000,0.000000,0.000000,0.000000,83342000.000000,131849000.000000,0.158000,131849000.000000,83342000.000000,77542000.000000,0.020000,0.020000,0.020000,2432194000.000000,,2432194000.000000,9166651619.000000,,,355403000.000000,0.240000,1.000000,371656000.000000,0.445000,0.000000,5800000.000000,2683198000.000000,,441681000.000000,697081000.000000,697081000.000000,0.000000,1346291000.000000,1002978000.000000,343313000.000000,-34530000.000000,-246365000.000000,18014000.000000,-98327000.000000,0.000000,-80313000.000000,-340367000.000000,-63337000.000000,386068000.000000,82000.000000,29577000.000000,29577000.000000,29577000.000000,0.000000,0.000000,0.035000,301871000.000000,69785000.000000,826259000.000000,0.000000,3.807000,,,912729000.000000,0.000000,6.391000,,,765569000.000000,1629141000.000000,835776000.000000,835776000.000000,116492000.000000,,,,,0.000000,125879000.000000,1.000000,1448693232.000000,1483456000.000000,1483456000.000000,0.563000,3778485000.000000,279254000.000000,47965000.000000,242983000.000000,2.547000
ARQ,1997-03-31,1997-06-11,1997-04-27,1997-Q2,1700238000.000000,11231822278.000000,2025-02-21,-8988000.000000,3891861000.000000,,2751310000.000000,1140551000.000000,,1.667000,-45856000.000000,202660000.000000,202660000.000000,486845000.000000,102131000.000000,2.618000,0.553000,255359000.000000,27551000.000000,227808000.000000,255359000.000000,0.000000,57319000.000000,0.000000,0.000000,0.000000,162060000.000000,219379000.000000,0.244000,219379000.000000,162060000.000000,157125000.000000,0.068000,0.068000,0.068000,2505380000.000000,,2505380000.000000,11284521278.000000,,,43194000.000000,0.029000,1.000000,414017000.000000,0.460000,0.000000,4935000.000000,2893488000.000000,,507632000.000000,872190000.000000,872190000.000000,0.000000,1386481000.000000,1051072000.000000,335409000.000000,-166698000.000000,-200000.000000,-17243000.000000,-15798000.000000,0.000000,-33041000.000000,-221165000.000000,-175109000.000000,89050000.000000,-1542000.000000,102131000.000000,102131000.000000,102131000.000000,0.000000,0.000000,0.113000,266555000.000000,147462000.000000,875808000.000000,0.000000,4.483000,,,900041000.000000,0.000000,7.735000,,,807181000.000000,1731272000.000000,900862000.000000,900862000.000000,131973000.000000,,,,,0.000000,134582000.000000,1.000000,1452077864.000000,1503192000.000000,1503192000.000000,0.599000,3891861000.000000,278352000.000000,54994000.000000,255314000.000000,2.589000
ARQ,1997-06-30,1997-09-08,1997-07-27,1997-Q3,1814156000.000000,17180369167.000000,2025-02-21,1656000.000000,4249419000.000000,,3045519000.000000,1203900000.000000,,1.763000,-107416000.000000,213064000.000000,213064000.000000,558345000.000000,186631000.000000,2.473000,0.589000,259777000.000000,31682000.000000,228095000.000000,259777000.000000,0.000000,56714000.000000,0.000000,0.000000,0.000000,291976000.000000,348690000.000000,0.330000,348690000.000000,291976000.000000,287125000.000000,0.122000,0.122000,0.122000,2673599000.000000,,2673599000.000000,17227082167.000000,,,58429000.000000,0.039000,1.000000,498896000.000000,0.472000,0.000000,4851000.000000,3064769000.000000,,608988000.000000,890659000.000000,890659000.000000,0.000000,1575820000.000000,1231363000.000000,344457000.000000,10404000.000000,289000.000000,-29056000.000000,-808000.000000,0.000000,-29864000.000000,-125596000.000000,-18469000.000000,165845000.000000,19000.000000,186631000.000000,186631000.000000,186631000.000000,0.000000,0.000000,0.177000,221958000.000000,276938000.000000,994293000.000000,0.000000,6.426000,,,967181000.000000,0.000000,11.781000,,,942306000.000000,1917903000.000000,1057241000.000000,1057241000.000000,143880000.000000,,,,,0.000000,141760000.000000,1.000000,1458280672.000000,1516872000.000000,1516872000.000000,0.697000,4249419000.000000,285066000.000000,100494000.000000,321750000.000000,2.801000
ARQ,1997-09-30,1998-01-23,1997-10-26,1997-Q4,2368269000.000000,11187250992.000000,2025-02-21,-10441000.000000,5070766000.000000,,3770357000.000000,1300409000.000000,,1.912000,-155427000.000000,448043000.000000,448043000.000000,664040000.000000,180135000.000000,2.689000,0.723000,689596000.000000,66506000.000000,623090000.000000,689596000.000000,0.000000,56895000.000000,0.000000,0.000000,0.000000,282248000.000000,339143000.000000,0.265000,339143000.000000,282248000.000000,277129000.000000,0.118000,0.118000,0.118000,2942171000.000000,,2942171000.000000,11428803992.000000,14.000000,10.999000,-94678000.000000,-0.062000,1.000000,616356000.000000,0.481000,0.000000,5119000.000000,3910231000.000000,,686451000.000000,1094912000.000000,1094912000.000000,0.000000,2128595000.000000,1402088000.000000,726507000.000000,234979000.000000,-57000.000000,100534000.000000,433398000.000000,0.000000,533932000.000000,-359737000.000000,-204253000.000000,60749000.000000,35000.000000,180135000.000000,180135000.000000,180135000.000000,0.000000,0.000000,0.141000,350641000.000000,265715000.000000,1157808000.000000,0.000000,3.802000,22.443000,23.152000,1066053000.000000,0.000000,7.640000,2.746000,2.834000,1110885000.000000,2098038000.000000,1280396000.000000,1280396000.000000,175267000.000000,,,,,0.000000,164374000.000000,1.000000,1464299868.000000,1538928000.000000,1538928000.000000,0.832000,5070766000.000000,324568000.000000,96994000.000000,224951000.000000,3.295000
ARQ,1997-12-31,1998-03-11,1998-01-25,1998-Q1,2450580000.000000,12134396655.000000,2025-02-21,-19090000.000000,5186574000.000000,,3806818000.000000,1379756000.000000,,2.115000,-152636000.000000,328313000.000000,328313000.000000,678244000.000000,228893000.000000,2.807000,0.671000,680178000.000000,61835000.000000,618343000.000000,680178000.000000,0.000000,66889000.000000,0.000000,0.000000,0.000000,364007000.000000,430896000.000000,0.330000,430896000.000000,364007000.000000,352143000.000000,0.155000,0.150000,0.155000,3104084000.000000,,3104084000.000000,12486261655.000000,11.000000,9.331000,-49425000.000000,-0.034000,1.000000,629441000.000000,0.481000,0.000000,11864000.000000,4182201000.000000,,745426000.000000,1070513000.000000,1070513000.000000,0.000000,2082490000.000000,1356238000.000000,726252000.000000,-119730000.000000,0.000000,-58331000.000000,-3342000.000000,0.000000,-61673000.000000,-160464000.000000,24399000.000000,103211000.000000,-804000.000000,228893000.000000,228893000.000000,228893000.000000,0.000000,0.000000,0.175000,286713000.000000,342728000.000000,1085261000.000000,0.000000,3.909000,17.390000,17.889000,1151327000.000000,0.000000,8.283000,2.669000,2.674000,1158629000.000000,2326931000.000000,1307685000.000000,1307685000.000000,182329000.000000,,,,,0.000000,152157000.000000,1.000000,1465064492.000000,1467576000.000000,1516404000.000000,0.891000,5186574000.000000,324183000.000000,123250000.000000,317051000.000000,3.534000
ARQ,1998-03-31,1998-06-04,1998-04-26,1998-Q2,2464094000.000000,10511787232.000000,2025-02-21,-17193000.000000,5140099000.000000,,3686876000.000000,1453223000.000000,,2.180000,-140969000.000000,309364000.000000,309364000.000000,622027000.000000,141221000.000000,3.015000,0.611000,657482000.000000,40987000.000000,616495000.000000,657482000.000000,0.000000,69715000.000000,0.000000,0.000000,0.000000,229148000.000000,298863000.000000,0.254000,298863000.000000,229148000.000000,217263000.000000,0.098000,0.092000,0.098000,3190559000.000000,,3190559000.000000,10859905232.000000,9.000000,7.661000,-102642000.000000,-0.070000,1.000000,554289000.000000,0.471000,0.000000,11885000.000000,4265435000.000000,,714126000.000000,906801000.000000,906801000.000000,0.000000,1949540000.000000,1222782000.000000,726758000.000000,-18949000.000000,0.000000,-56643000.000000,-24398000.000000,0.000000,-81041000.000000,22743000.000000,163712000.000000,38327000.000000,1022000.000000,141221000.000000,141221000.000000,141221000.000000,0.000000,0.000000,0.120000,343371000.000000,210918000.000000,1050097000.000000,0.000000,3.295000,14.265000,14.609000,1229711000.000000,0.000000,7.188000,2.180000,2.182000,1225788000.000000,2468152000.000000,1176316000.000000,1176316000.000000,181937000.000000,,,,,0.000000,161434000.000000,1.000000,1462509528.000000,1463744000.000000,1516988000.000000,0.804000,5140099000.000000,324685000.000000,76042000.000000,241961000.000000,3.512000
ARQ,1998-06-30,1998-09-09,1998-07-26,1998-Q3,2525833000.000000,8869155429.000000,2025-02-21,-28405000.000000,5039756000.000000,,3583178000.000000,1456578000.000000,,2.221000,-81830000.000000,387057000.000000,387057000.000000,490102000.000000,47517000.000000,3.389000,0.546000,618409000.000000,6597000.000000,611812000.000000,618409000.000000,0.000000,74529000.000000,0.000000,0.000000,0.000000,74650000.000000,149179000.000000,0.169000,149179000.000000,74650000.000000,63368000.000000,0.033000,0.033000,0.033000,3260203000.000000,,3260203000.000000,9100507429.000000,10.000000,7.471000,389577000.000000,0.265000,1.000000,394389000.000000,0.446000,0.000000,11282000.000000,4213763000.000000,,632513000.000000,1215710000.000000,1215710000.000000,0.000000,1779553000.000000,1057345000.000000,722208000.000000,77693000.000000,0.000000,33339000.000000,-34616000.000000,0.000000,-1277000.000000,-390739000.000000,-308909000.000000,471407000.000000,-1698000.000000,47517000.000000,47517000.000000,47517000.000000,0.000000,0.000000,0.054000,338607000.000000,55782000.000000,933434000.000000,0.000000,2.720000,14.837000,14.969000,1234151000.000000,0.000000,6.032000,1.908000,1.905000,814883000.000000,2515669000.000000,884491000.000000,884491000.000000,154044000.000000,,,,,0.000000,149563000.000000,1.000000,1470228832.000000,1467768000.000000,1512288000.000000,0.603000,5039756000.000000,324144000.000000,15851000.000000,227710000.000000,3.434000
ARQ,1998-09-30,1999-01-20,1998-10-25,1998-Q4,2400629000.000000,21398693418.000000,2025-02-21,-4143000.000000,4929692000.000000,,3518955000.000000,1410737000.000000,,2.122000,-73172000.000000,575205000.000000,575205000.000000,388158000.000000,-186729000.000000,3.147000,0.580000,624583000.000000,8011000.000000,616572000.000000,624583000.000000,0.000000,73367000.000000,0.000000,0.000000,0.000000,-242731000.000000,-169364000.000000,-0.252000,-169364000.000000,-242731000.000000,-253009000.000000,-0.127000,-0.123000,-0.127000,3120621000.000000,,3120621000.000000,21448071418.000000,50.000000,30.227000,130267000.000000,0.089000,1.000000,285037000.000000,0.423000,0.000000,10278000.000000,3860744000.000000,,555881000.000000,1188351000.000000,1188351000.000000,0.000000,1809071000.000000,1118326000.000000,690745000.000000,188148000.000000,0.000000,22885000.000000,-1877000.000000,0.000000,21008000.000000,-45813000.000000,27359000.000000,203439000.000000,9514000.000000,-186729000.000000,-186729000.000000,-186729000.000000,40157000.000000,0.000000,-0.277000,491103000.000000,-206066000.000000,1041341000.000000,0.000000,6.857000,92.674000,91.076000,1261520000.000000,0.000000,14.390000,5.294000,5.225000,764472000.000000,2328940000.000000,673195000.000000,673195000.000000,125542000.000000,,,,,0.000000,130561000.000000,1.000000,1487053052.000000,1470576000.000000,1510432000.000000,0.458000,4929692000.000000,337906000.000000,-66280000.000000,80315000.000000,3.352000
ARQ,1998-12-31,1999-03-09,1999-01-31,1999-Q1,2554580000.000000,21960727962.000000,2025-02-21,-8104000.000000,4960737000.000000,,3597539000.000000,1363198000.000000,,2.173000,-39267000.000000,562401000.000000,562401000.000000,421374000.000000,52885000.000000,3.449000,0.541000,624554000.000000,7652000.000000,616902000.000000,624554000.000000,0.000000,70788000.000000,0.000000,0.000000,0.000000,88115000.000000,158903000.000000,0.214000,158903000.000000,88115000.000000,76645000.000000,0.035000,0.035000,0.035000,3220115000.000000,,3220115000.000000,22022880962.000000,148.000000,50.329000,112929000.000000,0.076000,1.000000,321103000.000000,0.432000,0.000000,11470000.000000,3979931000.000000,,552779000.000000,1361912000.000000,1361912000.000000,0.000000,1740622000.000000,1042959000.000000,697663000.000000,-12804000.000000,0.000000,52130000.000000,-4882000.000000,0.000000,47248000.000000,-212828000.000000,-173561000.000000,152196000.000000,580000.000000,52885000.000000,52885000.000000,52885000.000000,0.000000,0.000000,0.071000,258534000.000000,62569000.000000,876618000.000000,0.000000,6.820000,400.057000,387.368000,1226701000.000000,0.000000,14.720000,6.317000,6.276000,671319000.000000,2381825000.000000,742477000.000000,742477000.000000,141207000.000000,,,,,0.000000,132327000.000000,1.000000,1491897280.000000,1482120000.000000,1552932000.000000,0.501000,4960737000.000000,338217000.000000,23760000.000000,239450000.000000,3.347000
