dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-09-30,2013-12-03,2013-09-30,2013-Q3,-256619000.000000,,2025-05-07,6784000.000000,4326866000.000000,,251547000.000000,4075319000.000000,,89.308000,,130628000.000000,130628000.000000,,,0.495000,4.095000,2193649000.000000,14537000.000000,2179112000.000000,2193649000.000000,136407000.000000,,0.000000,,0.000000,,,,,,,,,,848897000.000000,,848897000.000000,,,,,,1.000000,,,2530784000.000000,,3350937000.000000,,0.000000,0.000000,0.000000,0.000000,3476158000.000000,508166000.000000,2967992000.000000,,,,,,,,,,,,,,,,,,,189767000.000000,,,,,1155574000.000000,,,,,47452000.000000,42113000.000000,,,,,,,,,,1.000000,9505271.000000,9505271.000000,,,1796082000.000000,0.000000,,0.000000,188.956000
ARQ,2013-12-31,2014-03-04,2013-12-31,2013-Q4,185527000.000000,2335417020.000000,2025-05-07,24204000.000000,5046724000.000000,,843523000.000000,4203201000.000000,,192.996000,-85462000.000000,546454000.000000,546454000.000000,590677000.000000,279617000.000000,1.282000,2.347000,2195010000.000000,16080000.000000,2178930000.000000,2195010000.000000,202833000.000000,50102000.000000,0.000000,0.000000,0.000000,39983000.000000,90085000.000000,0.126000,90085000.000000,39983000.000000,5374000.000000,36.444000,36.444000,36.444000,1507470000.000000,,1507470000.000000,3983973020.000000,17.000000,9.080000,67215000.000000,8.605000,1.000000,122300000.000000,0.172000,2524119000.000000,34609000.000000,3513165000.000000,,0.000000,0.000000,0.000000,0.000000,3537785000.000000,657996000.000000,2879789000.000000,415826000.000000,0.000000,354992000.000000,-3732000.000000,0.000000,351683000.000000,-88506000.000000,-252000.000000,152677000.000000,-28000.000000,279617000.000000,279617000.000000,279617000.000000,2994000.000000,0.000000,0.392000,88524000.000000,33776000.000000,268163000.000000,0.000000,1.549000,6.409000,5.038000,1179754000.000000,0.000000,239.800000,0.849000,0.667000,106148000.000000,321730000.000000,712977000.000000,712977000.000000,0.000000,,,,,12000000.000000,38422000.000000,1.000000,9739020.000000,7810895.000000,7810895.000000,91.280000,2522605000.000000,206921000.000000,-274243000.000000,0.000000,322.960000
ARQ,2014-03-31,2014-05-07,2014-03-31,2014-Q1,47678000.000000,2144532226.000000,2025-05-07,26019000.000000,4813028000.000000,,601486000.000000,4211542000.000000,,155.163000,-55599000.000000,353277000.000000,353277000.000000,531860000.000000,-4508000.000000,1.086000,2.184000,2063722000.000000,24201000.000000,2039521000.000000,2063722000.000000,169881000.000000,54777000.000000,0.000000,0.000000,0.000000,24575000.000000,79352000.000000,0.127000,79352000.000000,24575000.000000,-7608000.000000,-0.500000,-0.500000,-0.500000,1511134000.000000,,1511134000.000000,3854977226.000000,,,-57174000.000000,-5.871000,1.000000,90898000.000000,0.146000,2521918000.000000,32183000.000000,3447747000.000000,,0.000000,0.000000,0.000000,0.000000,3300425000.000000,553808000.000000,2746617000.000000,-193177000.000000,0.000000,-281000.000000,-125513000.000000,0.000000,-133362000.000000,-58231000.000000,-721000.000000,-1575000.000000,-9000.000000,-4508000.000000,-4508000.000000,-4508000.000000,-334000.000000,0.000000,-0.007000,73359000.000000,17539000.000000,223984000.000000,0.000000,1.419000,,,1192034000.000000,0.000000,220.200000,,,53316000.000000,317222000.000000,622758000.000000,622758000.000000,0.000000,,,,,6357000.000000,18582000.000000,1.000000,9739020.000000,9739009.000000,9739009.000000,63.945000,2291110000.000000,208651000.000000,-3100000.000000,0.000000,235.251000
ARQ,2014-06-30,2014-08-06,2014-06-30,2014-Q2,-108172000.000000,2302304352.000000,2025-05-07,26177000.000000,4709696000.000000,,474918000.000000,4234778000.000000,,156.341000,-59609000.000000,235305000.000000,235305000.000000,590705000.000000,31393000.000000,0.814000,2.089000,1912161000.000000,22947000.000000,1889214000.000000,1912161000.000000,159944000.000000,51750000.000000,0.000000,0.008000,2.000000,81958000.000000,133708000.000000,0.184000,133708000.000000,81958000.000000,51483000.000000,3.200000,3.200000,3.200000,1524429000.000000,,1524429000.000000,3979160352.000000,,,48214000.000000,4.945000,1.000000,135868000.000000,0.187000,2519717000.000000,30475000.000000,3283745000.000000,,0.000000,0.000000,0.000000,0.000000,3183798000.000000,583090000.000000,2600708000.000000,-117972000.000000,0.000000,0.000000,-149530000.000000,-19489000.000000,-169325000.000000,-56488000.000000,-339000.000000,107823000.000000,18000.000000,31393000.000000,31393000.000000,31393000.000000,21000.000000,0.000000,0.043000,67471000.000000,68397000.000000,258690000.000000,0.625000,1.510000,,,1207608000.000000,0.000000,236.400000,,,63550000.000000,329039000.000000,726573000.000000,726573000.000000,0.000000,,,,,1311000.000000,15721000.000000,1.000000,9739020.000000,9750668.000000,9762812.000000,74.515000,2189979000.000000,190229000.000000,20090000.000000,0.000000,224.598000
ARQ,2014-09-30,2014-11-07,2014-09-30,2014-Q3,-134039000.000000,2504770904.000000,2025-05-07,24737000.000000,4612915000.000000,,369288000.000000,4243627000.000000,,154.775000,-67760000.000000,155506000.000000,155506000.000000,538024000.000000,7376000.000000,0.734000,2.056000,1906939000.000000,23144000.000000,1883795000.000000,1906939000.000000,150065000.000000,54327000.000000,0.000000,0.016000,2.000000,41431000.000000,95758000.000000,0.151000,95758000.000000,41431000.000000,12086000.000000,0.800000,0.800000,0.800000,1509153000.000000,,1509153000.000000,4256203904.000000,23.000000,10.670000,-55418000.000000,-5.684000,1.000000,95880000.000000,0.151000,2517516000.000000,29345000.000000,3343505000.000000,,0.000000,0.000000,0.000000,0.000000,3102336000.000000,503327000.000000,2599009000.000000,-79799000.000000,0.000000,-92000.000000,-3694000.000000,-19514000.000000,-23378000.000000,-68772000.000000,-411000.000000,12342000.000000,9000.000000,7376000.000000,7376000.000000,7376000.000000,0.000000,0.000000,0.012000,67366000.000000,28514000.000000,181727000.000000,2.500000,1.660000,7.980000,6.439000,1214036000.000000,0.000000,257.200000,0.929000,0.930000,42938000.000000,316839000.000000,633904000.000000,633904000.000000,0.000000,,,,,-1596000.000000,13039000.000000,1.000000,9738612.000000,9750600.000000,9762800.000000,65.012000,2095399000.000000,186933000.000000,4710000.000000,0.000000,214.899000
ARQ,2014-12-31,2015-03-10,2014-12-31,2014-Q4,-126638000.000000,3292203114.000000,2025-05-07,12844000.000000,4763732000.000000,,509739000.000000,4253993000.000000,,155.142000,-87766000.000000,218206000.000000,218206000.000000,574225000.000000,29819000.000000,0.801000,2.148000,1900263000.000000,23598000.000000,1876665000.000000,1900263000.000000,213882000.000000,55467000.000000,0.000000,0.024000,2.000000,70525000.000000,125992000.000000,0.177000,125992000.000000,70525000.000000,41589000.000000,3.100000,3.100000,3.100000,1512732000.000000,,1512732000.000000,4974260114.000000,23.000000,11.440000,90946000.000000,9.327000,1.000000,137930000.000000,0.194000,2515315000.000000,28936000.000000,3294097000.000000,,0.000000,0.000000,0.000000,0.000000,3249574000.000000,636377000.000000,2613197000.000000,62700000.000000,0.000000,0.000000,-8298000.000000,-19501000.000000,-27799000.000000,-88200000.000000,-51000.000000,178712000.000000,-13000.000000,29819000.000000,29819000.000000,29819000.000000,0.000000,0.000000,0.042000,77308000.000000,60622000.000000,262635000.000000,0.645000,2.176000,51.376000,51.212000,1247230000.000000,0.000000,338.000000,1.221000,1.223000,99252000.000000,327081000.000000,712155000.000000,712155000.000000,0.000000,,,,,5221000.000000,18692000.000000,1.000000,9740246.000000,9750600.000000,9791600.000000,73.037000,2248417000.000000,181782000.000000,11770000.000000,0.000000,230.593000
ARQ,2015-03-31,2015-05-06,2015-03-31,2015-Q1,-166207000.000000,2877268639.000000,2025-05-07,4228000.000000,4662755000.000000,,387853000.000000,4274902000.000000,,152.818000,-69590000.000000,144804000.000000,144804000.000000,556775000.000000,6138000.000000,0.700000,2.115000,1895319000.000000,23901000.000000,1871418000.000000,1895319000.000000,183374000.000000,57777000.000000,0.000000,0.027000,2.000000,38520000.000000,96297000.000000,0.147000,96297000.000000,38520000.000000,10068000.000000,0.600000,0.600000,0.600000,1496382000.000000,,1496382000.000000,4627783639.000000,20.000000,10.244000,-48027000.000000,-4.905000,1.000000,96349000.000000,0.148000,2513114000.000000,28452000.000000,3346096000.000000,,0.000000,0.000000,0.000000,0.000000,3164947000.000000,554060000.000000,2610887000.000000,-73402000.000000,0.000000,0.000000,-3824000.000000,-19821000.000000,-23645000.000000,-71378000.000000,-152000.000000,21563000.000000,58000.000000,6138000.000000,6138000.000000,6138000.000000,0.000000,0.000000,0.009000,64296000.000000,32053000.000000,210326000.000000,3.333000,1.923000,38.504000,38.364000,1266860000.000000,0.000000,295.400000,1.056000,1.061000,48211000.000000,313582000.000000,653124000.000000,653124000.000000,0.000000,,,,,5739000.000000,6519000.000000,1.000000,9740246.000000,9791900.000000,9791900.000000,66.700000,2149641000.000000,183899000.000000,3930000.000000,0.000000,219.533000
ARQ,2015-06-30,2015-08-05,2015-06-30,2015-Q2,-154365000.000000,2976619147.000000,2025-05-07,3108000.000000,4739325000.000000,,462551000.000000,4276774000.000000,,155.244000,-74167000.000000,179340000.000000,179340000.000000,651659000.000000,43923000.000000,0.750000,2.115000,1864197000.000000,17615000.000000,1846582000.000000,1864197000.000000,176806000.000000,57249000.000000,0.000000,0.026000,2.000000,94321000.000000,151570000.000000,0.185000,151570000.000000,94321000.000000,67273000.000000,4.500000,4.500000,4.500000,1521052000.000000,,1521052000.000000,4661476147.000000,19.000000,9.926000,97185000.000000,9.919000,1.000000,169420000.000000,0.206000,2510912000.000000,27048000.000000,3296354000.000000,,0.000000,0.000000,0.000000,0.000000,3216909000.000000,616916000.000000,2599993000.000000,34536000.000000,0.000000,0.000000,-33348000.000000,-19480000.000000,-63837000.000000,-72882000.000000,-40000.000000,171352000.000000,-97000.000000,43923000.000000,43923000.000000,43923000.000000,0.000000,0.000000,0.053000,75247000.000000,94173000.000000,268891000.000000,0.444000,1.957000,34.114000,33.956000,1278216000.000000,0.000000,305.600000,1.055000,1.062000,81849000.000000,337870000.000000,821079000.000000,821079000.000000,0.000000,,,,,1439000.000000,17998000.000000,1.000000,9740246.000000,9797800.000000,9803700.000000,83.802000,2228413000.000000,159516000.000000,23350000.000000,0.000000,227.440000
ARQ,2015-09-30,2015-11-04,2015-09-30,2015-Q3,-210282000.000000,2516879541.000000,2025-05-07,1146000.000000,4667160000.000000,,347991000.000000,4319169000.000000,,154.518000,-71817000.000000,97939000.000000,97939000.000000,575836000.000000,12178000.000000,0.623000,2.082000,1860288000.000000,17803000.000000,1842485000.000000,1860288000.000000,167938000.000000,58008000.000000,0.000000,0.031000,2.000000,46226000.000000,104234000.000000,0.151000,104234000.000000,46226000.000000,21258000.000000,1.200000,1.200000,1.200000,1513934000.000000,,1513934000.000000,4279228541.000000,17.000000,8.951000,-55507000.000000,-5.665000,1.000000,113004000.000000,0.164000,2508817000.000000,24968000.000000,3362419000.000000,,0.000000,0.000000,0.000000,0.000000,3151862000.000000,558273000.000000,2593589000.000000,-81401000.000000,0.000000,0.000000,-3923000.000000,-19711000.000000,-24603000.000000,-72826000.000000,-766000.000000,16310000.000000,-282000.000000,12178000.000000,12178000.000000,12178000.000000,0.000000,0.000000,0.018000,77465000.000000,35539000.000000,212195000.000000,1.667000,1.662000,27.340000,27.489000,1313526000.000000,0.000000,258.400000,0.875000,0.881000,56794000.000000,330426000.000000,688840000.000000,688840000.000000,0.000000,,,,,2199000.000000,19457000.000000,1.000000,9740246.000000,9797800.000000,9807300.000000,70.306000,2158343000.000000,171811000.000000,9080000.000000,0.000000,220.289000
ARQ,2015-12-31,2016-03-08,2015-12-31,2015-Q4,-297787000.000000,2766212497.000000,2025-05-07,2804000.000000,5110085000.000000,,414367000.000000,4695718000.000000,,157.051000,-117849000.000000,211250000.000000,211250000.000000,629300000.000000,41617000.000000,0.582000,2.320000,2036425000.000000,18786000.000000,2017639000.000000,2036425000.000000,221679000.000000,59927000.000000,0.000000,0.028000,2.000000,90552000.000000,150479000.000000,0.192000,150479000.000000,90552000.000000,64932000.000000,4.200000,4.300000,4.200000,1538703000.000000,,1538703000.000000,4591387497.000000,17.000000,9.136000,140483000.000000,14.339000,1.000000,154557000.000000,0.197000,2644067000.000000,25620000.000000,3579039000.000000,,0.000000,0.000000,0.000000,0.000000,3570018000.000000,712154000.000000,2857864000.000000,113311000.000000,-172853000.000000,0.000000,154989000.000000,-19596000.000000,147371000.000000,-292350000.000000,-957000.000000,258332000.000000,-42000.000000,41617000.000000,41617000.000000,41617000.000000,0.000000,0.000000,0.053000,79265000.000000,75292000.000000,313025000.000000,0.476000,1.798000,26.635000,26.783000,1401928000.000000,0.000000,283.900000,0.939000,0.944000,105509000.000000,352389000.000000,783857000.000000,783857000.000000,0.000000,,,,,1103000.000000,17636000.000000,1.000000,9743616.000000,9797500.000000,9804400.000000,80.006000,2466018000.000000,126198000.000000,23315000.000000,0.000000,251.699000
