dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-24,1996-12-31,1996-Q4,859700000.000000,15891737032.000000,2025-05-02,0.000000,2765600000.000000,,1502600000.000000,1263000000.000000,,1.698000,,169300000.000000,169300000.000000,,,2.337000,0.451000,177200000.000000,118200000.000000,59000000.000000,177200000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1906300000.000000,,1906300000.000000,15899637032.000000,16.000000,14.876000,,,1.000000,,,0.000000,,2130600000.000000,,97400000.000000,1017300000.000000,907700000.000000,109600000.000000,859300000.000000,642900000.000000,216400000.000000,,,,,,,,,,,,,,,,,,,75000000.000000,,8.336000,23.377000,24.744000,910500000.000000,,14.970000,7.095000,7.504000,225400000.000000,879400000.000000,,,,,,,,,,1.000000,1061572280.000000,1122800000.000000,,,2765600000.000000,0.000000,,0.000000,2.463000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,898300000.000000,16951860928.000000,2025-05-02,0.000000,2773100000.000000,,1437200000.000000,1335900000.000000,,1.814000,-102500000.000000,264800000.000000,264800000.000000,72000000.000000,180300000.000000,2.667000,0.374000,99000000.000000,40000000.000000,59000000.000000,99000000.000000,0.000000,36400000.000000,0.000000,0.000000,0.000000,250700000.000000,287100000.000000,0.499000,287100000.000000,250700000.000000,250400000.000000,0.163000,0.163000,0.163000,2017800000.000000,,2017800000.000000,16786060928.000000,,,129600000.000000,0.117000,1.000000,503500000.000000,0.875000,0.000000,300000.000000,2068400000.000000,,100400000.000000,892500000.000000,779500000.000000,113000000.000000,755300000.000000,538900000.000000,216400000.000000,95500000.000000,0.000000,-77400000.000000,-78200000.000000,0.000000,-158900000.000000,22300000.000000,128200000.000000,232100000.000000,0.000000,180300000.000000,180300000.000000,180300000.000000,0.000000,0.000000,0.313000,260200000.000000,243300000.000000,76600000.000000,0.000000,8.401000,,,981600000.000000,0.000000,16.000000,,,206500000.000000,958000000.000000,575500000.000000,575500000.000000,147700000.000000,,,,,0.000000,112500000.000000,1.000000,1059491308.000000,1112400000.000000,1112400000.000000,0.517000,2773100000.000000,0.000000,70100000.000000,0.000000,2.493000
ARQ,1997-06-30,1997-08-12,1997-06-30,1997-Q2,1057500000.000000,13323101738.000000,2025-05-02,0.000000,3043300000.000000,,1645600000.000000,1397700000.000000,,2.045000,-92500000.000000,331000000.000000,331000000.000000,76800000.000000,200500000.000000,2.798000,0.341000,199000000.000000,65000000.000000,134000000.000000,199000000.000000,0.000000,28700000.000000,0.000000,0.000000,0.000000,278700000.000000,307400000.000000,0.495000,307400000.000000,278700000.000000,278300000.000000,0.180000,0.180000,0.180000,2269600000.000000,,2269600000.000000,13191101738.000000,,,145300000.000000,0.131000,1.000000,543700000.000000,0.876000,0.000000,400000.000000,2323200000.000000,,105600000.000000,1005700000.000000,894000000.000000,111700000.000000,773700000.000000,588100000.000000,185600000.000000,66200000.000000,3200000.000000,-74500000.000000,100000000.000000,0.000000,31500000.000000,-203100000.000000,-114500000.000000,237800000.000000,0.000000,200500000.000000,200500000.000000,200500000.000000,0.000000,0.000000,0.323000,270900000.000000,272800000.000000,82600000.000000,0.000000,5.870000,,,1045400000.000000,0.000000,12.562000,,,228800000.000000,1155100000.000000,620500000.000000,620500000.000000,145400000.000000,,,,,0.000000,125500000.000000,1.000000,1060545412.000000,1110000000.000000,1110000000.000000,0.559000,3043300000.000000,0.000000,77800000.000000,0.000000,2.742000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,892000000.000000,13028251797.000000,2025-05-02,0.000000,3002400000.000000,,1526000000.000000,1476400000.000000,,2.044000,-97000000.000000,239900000.000000,239900000.000000,74300000.000000,83800000.000000,2.407000,0.341000,159000000.000000,30000000.000000,129000000.000000,159000000.000000,0.000000,30600000.000000,0.000000,0.000000,0.000000,88400000.000000,119000000.000000,0.199000,119000000.000000,88400000.000000,88300000.000000,0.077000,0.077000,0.077000,2239400000.000000,,2239400000.000000,12947351797.000000,,,98700000.000000,0.090000,1.000000,524000000.000000,0.876000,0.000000,100000.000000,2287500000.000000,,110500000.000000,978500000.000000,861800000.000000,116700000.000000,763000000.000000,634000000.000000,129000000.000000,-91100000.000000,-6400000.000000,-173800000.000000,-40000000.000000,0.000000,-213300000.000000,-73500000.000000,32200000.000000,195700000.000000,0.000000,83800000.000000,83800000.000000,83800000.000000,0.000000,0.000000,0.140000,449000000.000000,75000000.000000,71500000.000000,0.000000,5.818000,,,1111800000.000000,0.000000,12.375000,,,235500000.000000,1084900000.000000,598300000.000000,598300000.000000,172600000.000000,,,,,0.000000,119400000.000000,1.000000,1052788024.000000,1095600000.000000,1095600000.000000,0.546000,3002400000.000000,0.000000,4500000.000000,0.000000,2.740000
ARQ,1997-12-31,1998-03-24,1997-12-31,1997-Q4,801600000.000000,15649630277.000000,2025-05-02,0.000000,3110200000.000000,,1543500000.000000,1566700000.000000,,2.091000,-95800000.000000,239100000.000000,239100000.000000,77700000.000000,179700000.000000,2.080000,0.454000,259000000.000000,30000000.000000,229000000.000000,259000000.000000,0.000000,21400000.000000,0.000000,0.000000,0.000000,247300000.000000,268700000.000000,0.443000,268700000.000000,247300000.000000,244400000.000000,0.190000,0.168000,0.190000,2139300000.000000,,2139300000.000000,15669530277.000000,18.000000,15.954000,141500000.000000,0.138000,1.000000,529000000.000000,0.872000,0.000000,2900000.000000,2388200000.000000,,109200000.000000,904300000.000000,787400000.000000,116900000.000000,970900000.000000,741900000.000000,229000000.000000,-800000.000000,-100000.000000,-277900000.000000,100000000.000000,0.000000,-190200000.000000,-47900000.000000,78000000.000000,237300000.000000,0.000000,179700000.000000,179700000.000000,179700000.000000,0.000000,0.000000,0.296000,291500000.000000,237500000.000000,103900000.000000,0.000000,7.315000,24.289000,25.078000,1186200000.000000,0.000000,15.297000,6.518000,6.518000,269000000.000000,943200000.000000,606700000.000000,606700000.000000,165100000.000000,,,,,0.000000,126400000.000000,1.000000,1023018812.000000,1023018812.000000,,0.593000,3110200000.000000,0.000000,64700000.000000,0.000000,3.040000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,586800000.000000,15419525293.000000,2025-05-02,0.000000,3081500000.000000,,1411700000.000000,1669800000.000000,,1.981000,-127400000.000000,104600000.000000,104600000.000000,79000000.000000,187300000.000000,1.711000,0.518000,259000000.000000,36000000.000000,223000000.000000,259000000.000000,0.000000,36100000.000000,0.000000,0.000000,0.000000,269800000.000000,305900000.000000,0.505000,305900000.000000,269800000.000000,267600000.000000,0.182000,0.177000,0.182000,2029900000.000000,,2029900000.000000,15573925293.000000,18.000000,15.558000,165400000.000000,0.161000,1.000000,526400000.000000,0.870000,0.000000,2200000.000000,2411000000.000000,,118100000.000000,895100000.000000,775500000.000000,119600000.000000,1051600000.000000,824900000.000000,226700000.000000,-134500000.000000,-400000.000000,-303400000.000000,0.000000,0.000000,-298300000.000000,-129000000.000000,11100000.000000,292800000.000000,0.000000,187300000.000000,187300000.000000,187300000.000000,0.000000,0.000000,0.309000,265600000.000000,260800000.000000,114800000.000000,0.000000,7.596000,23.675000,24.083000,1277500000.000000,0.000000,15.172000,6.343000,6.396000,289200000.000000,789000000.000000,605400000.000000,605400000.000000,152500000.000000,,,,,0.000000,113100000.000000,1.000000,1016281120.000000,1024800000.000000,1056400000.000000,0.591000,3081500000.000000,0.000000,80300000.000000,0.000000,3.007000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,700200000.000000,17680954000.000000,2025-05-02,0.000000,3286800000.000000,,1567500000.000000,1719300000.000000,,2.163000,-108600000.000000,158000000.000000,158000000.000000,83900000.000000,216300000.000000,1.807000,0.496000,333500000.000000,110500000.000000,223000000.000000,333500000.000000,0.000000,36600000.000000,0.000000,0.000000,0.000000,312300000.000000,348900000.000000,0.531000,348900000.000000,312300000.000000,309000000.000000,0.212000,0.205000,0.212000,2196500000.000000,,2196500000.000000,17856454000.000000,19.000000,17.128000,113600000.000000,0.112000,1.000000,573000000.000000,0.872000,0.000000,3300000.000000,2595000000.000000,,113300000.000000,980400000.000000,863300000.000000,117100000.000000,1090300000.000000,867300000.000000,223000000.000000,53400000.000000,400000.000000,-61800000.000000,74500000.000000,0.000000,20800000.000000,-189600000.000000,-87500000.000000,222200000.000000,0.000000,216300000.000000,216300000.000000,216300000.000000,0.000000,0.000000,0.329000,274400000.000000,298600000.000000,85000000.000000,0.000000,8.050000,26.504000,26.295000,1349500000.000000,0.000000,17.407000,7.166000,7.165000,291200000.000000,889800000.000000,656900000.000000,656900000.000000,152400000.000000,,,,,0.000000,122000000.000000,1.000000,1015708976.000000,1015600000.000000,1050000000.000000,0.647000,3286800000.000000,0.000000,92700000.000000,0.000000,3.236000
ARQ,1998-06-30,1998-08-18,1998-06-30,1998-Q2,700200000.000000,17901870702.000000,2025-05-02,0.000000,3286800000.000000,,1567500000.000000,1719300000.000000,,2.163000,-108600000.000000,158000000.000000,158000000.000000,83900000.000000,216300000.000000,1.807000,0.496000,333500000.000000,110500000.000000,223000000.000000,333500000.000000,0.000000,36600000.000000,0.000000,0.000000,0.000000,312300000.000000,348900000.000000,0.531000,348900000.000000,312300000.000000,309000000.000000,0.212000,0.205000,0.212000,2196500000.000000,,2196500000.000000,18077370702.000000,20.000000,17.340000,113600000.000000,0.112000,1.000000,573000000.000000,0.872000,0.000000,3300000.000000,2595000000.000000,,113300000.000000,980400000.000000,863300000.000000,117100000.000000,1090300000.000000,867300000.000000,223000000.000000,53400000.000000,400000.000000,-61800000.000000,74500000.000000,0.000000,20800000.000000,-189600000.000000,-87500000.000000,222200000.000000,0.000000,216300000.000000,216300000.000000,216300000.000000,0.000000,0.000000,0.329000,274400000.000000,298600000.000000,85000000.000000,0.000000,8.150000,26.835000,26.624000,1349500000.000000,0.000000,17.625000,7.256000,7.255000,291200000.000000,889800000.000000,656900000.000000,656900000.000000,152400000.000000,,,,,0.000000,122000000.000000,1.000000,1015708976.000000,1015600000.000000,1050000000.000000,0.647000,3286800000.000000,0.000000,92700000.000000,0.000000,3.236000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,821400000.000000,20075905771.000000,2025-05-02,0.000000,3444000000.000000,,1696400000.000000,1747600000.000000,,2.299000,-84000000.000000,104100000.000000,104100000.000000,87200000.000000,221000000.000000,1.939000,0.468000,328600000.000000,105600000.000000,223000000.000000,328600000.000000,0.000000,35500000.000000,0.000000,0.000000,0.000000,325300000.000000,360800000.000000,0.515000,360800000.000000,325300000.000000,322100000.000000,0.217000,0.207000,0.217000,2346000000.000000,,2346000000.000000,20300405771.000000,18.000000,15.807000,162500000.000000,0.159000,1.000000,613700000.000000,0.876000,0.000000,3200000.000000,2793500000.000000,,109100000.000000,1139200000.000000,1020800000.000000,118400000.000000,1098000000.000000,875000000.000000,223000000.000000,-53900000.000000,0.000000,-104300000.000000,-4900000.000000,0.000000,-83900000.000000,-216500000.000000,-145300000.000000,246500000.000000,0.000000,221000000.000000,221000000.000000,221000000.000000,0.000000,0.000000,0.315000,300200000.000000,313500000.000000,87300000.000000,0.000000,8.558000,24.961000,24.589000,1398000000.000000,0.000000,19.720000,7.812000,7.830000,296300000.000000,874900000.000000,700900000.000000,700900000.000000,166000000.000000,,,,,0.000000,134200000.000000,1.000000,1018047960.000000,1020400000.000000,1060000000.000000,0.687000,3444000000.000000,0.000000,101100000.000000,0.000000,3.375000
ARQ,1998-12-31,1999-03-16,1998-12-31,1998-Q4,976300000.000000,38151718051.000000,2025-05-02,-4000000.000000,3672200000.000000,,1863300000.000000,1808900000.000000,,2.516000,-87800000.000000,201100000.000000,201100000.000000,95100000.000000,238600000.000000,2.101000,0.433000,328700000.000000,105700000.000000,223000000.000000,328700000.000000,0.000000,35600000.000000,0.000000,0.000000,0.000000,327000000.000000,362600000.000000,0.480000,362600000.000000,327000000.000000,325700000.000000,0.232000,0.222000,0.232000,2562200000.000000,,2562200000.000000,38279318051.000000,31.000000,27.775000,192200000.000000,0.189000,1.000000,659900000.000000,0.874000,0.000000,1300000.000000,2912800000.000000,,110800000.000000,1195800000.000000,1074900000.000000,120900000.000000,1110000000.000000,887000000.000000,223000000.000000,97000000.000000,-6500000.000000,-97100000.000000,100000.000000,0.000000,-44400000.000000,-138600000.000000,-58300000.000000,280000000.000000,0.000000,238600000.000000,238600000.000000,238600000.000000,0.000000,0.000000,0.316000,315500000.000000,344400000.000000,121600000.000000,0.000000,14.890000,44.198000,44.083000,1450200000.000000,0.000000,37.250000,14.036000,13.981000,319900000.000000,894300000.000000,755000000.000000,755000000.000000,192400000.000000,,,,,0.000000,146100000.000000,1.000000,1024207196.000000,1018400000.000000,1061600000.000000,0.741000,3672200000.000000,0.000000,87100000.000000,0.000000,3.606000
