dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-12-16,2020-12-31,2020-Q4,6313000.000000,,2025-05-09,0.000000,14104000.000000,,13639000.000000,465000.000000,,-10.979000,,13066000.000000,13066000.000000,,,1.862000,-0.131000,1425000.000000,0.000000,1425000.000000,1425000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-66725000.000000,,-66725000.000000,,,,,,1.000000,,,0.000000,,-4863000.000000,,0.000000,0.000000,0.000000,0.000000,8767000.000000,7326000.000000,1441000.000000,,,,,,,,,,,,,,,,,,,3613000.000000,,,,,151000.000000,,,,,0.000000,-67914000.000000,,,,,,,,,,1.000000,55216013.000000,6077758.000000,,,14104000.000000,0.000000,,0.000000,2.321000
ARQ,2021-09-30,2022-01-03,2021-09-30,2021-Q3,114796000.000000,,2025-05-09,-1000.000000,130460000.000000,,129942000.000000,518000.000000,,-2.247000,,76866000.000000,76866000.000000,,,8.579000,-0.122000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-124070000.000000,,-124070000.000000,,,,,,1.000000,,,0.000000,,38448000.000000,,0.000000,49025000.000000,49025000.000000,0.000000,15179000.000000,15146000.000000,33000.000000,,,,,,,,,,,,,,,,,,,3026000.000000,,,,,329000.000000,,,,,0.000000,-127501000.000000,,,,,,,,,,1.000000,55216013.000000,55216013.000000,,,130460000.000000,0.000000,,0.000000,2.363000
ARQ,2021-12-31,2022-03-31,2021-12-31,2021-Q4,87555000.000000,743554790.000000,2025-05-09,9000.000000,105614000.000000,,104951000.000000,663000.000000,,-21.864000,-186000.000000,50380000.000000,50380000.000000,0.000000,-28344000.000000,6.033000,-0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,22000.000000,0.000000,0.000000,0.000000,-28344000.000000,-28322000.000000,,-28322000.000000,-28344000.000000,-28344000.000000,-4.150000,-4.150000,-4.150000,-151168000.000000,,-151168000.000000,693174790.000000,-8.000000,-7.888000,-28430000.000000,-4.112000,1.000000,0.000000,,0.000000,0.000000,37838000.000000,,0.000000,45927000.000000,45927000.000000,0.000000,17431000.000000,17396000.000000,35000.000000,-26486000.000000,0.000000,145000.000000,-263000.000000,0.000000,-1065000.000000,2814000.000000,3000000.000000,-28244000.000000,9000.000000,-28344000.000000,-28344000.000000,-28344000.000000,0.000000,0.000000,,28315000.000000,-28315000.000000,4372000.000000,0.000000,-4.919000,-8.456000,-0.963000,474000.000000,0.000000,12.850000,2608.964000,296.963000,0.000000,-155845000.000000,0.000000,0.000000,13394000.000000,,,,,1091000.000000,14921000.000000,1.000000,57864186.000000,6913976.000000,6913976.000000,0.000000,105614000.000000,0.000000,0.000000,0.000000,15.275000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,237782000.000000,437828530.000000,2025-05-09,-151000.000000,274438000.000000,,265488000.000000,8950000.000000,,4.669000,-342000.000000,110822000.000000,110822000.000000,0.000000,-47848000.000000,9.582000,0.139000,7191000.000000,1405000.000000,5786000.000000,7191000.000000,0.000000,35000.000000,0.000000,0.000000,0.000000,-47702000.000000,-47667000.000000,,-47667000.000000,-47702000.000000,-47702000.000000,-0.930000,-0.930000,-0.930000,240946000.000000,,240946000.000000,334197530.000000,,,-40976000.000000,-0.794000,1.000000,0.000000,,0.000000,0.000000,143101000.000000,,0.000000,144802000.000000,144802000.000000,0.000000,33492000.000000,27706000.000000,5786000.000000,60442000.000000,0.000000,200897000.000000,0.000000,0.000000,200455000.000000,-99311000.000000,-98969000.000000,-40634000.000000,-68000.000000,-47848000.000000,-47848000.000000,-47848000.000000,0.000000,0.000000,,47814000.000000,-47814000.000000,10045000.000000,0.000000,1.817000,,,8075000.000000,0.000000,7.480000,,,0.000000,-203693000.000000,0.000000,0.000000,21464000.000000,,,,,4392000.000000,26350000.000000,1.000000,58533226.000000,51604310.000000,51604310.000000,0.000000,274438000.000000,0.000000,146000.000000,0.000000,5.318000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,188975000.000000,1521863876.000000,2025-05-09,-196000.000000,225240000.000000,,216139000.000000,9101000.000000,,3.308000,-1105000.000000,67859000.000000,67859000.000000,0.000000,-54067000.000000,7.957000,0.168000,7074000.000000,1787000.000000,5287000.000000,7074000.000000,0.000000,105000.000000,0.000000,0.000000,0.000000,-53893000.000000,-53788000.000000,,-53788000.000000,-53893000.000000,-53893000.000000,-0.930000,-0.930000,-0.930000,192789000.000000,,192789000.000000,1461078876.000000,,,-47567000.000000,-0.816000,1.000000,0.000000,,0.000000,0.000000,137291000.000000,,0.000000,139241000.000000,139241000.000000,0.000000,32451000.000000,27164000.000000,5287000.000000,-42963000.000000,0.000000,248000.000000,0.000000,0.000000,-828000.000000,4462000.000000,5567000.000000,-46462000.000000,-135000.000000,-54067000.000000,-54067000.000000,-54067000.000000,0.000000,0.000000,,54253000.000000,-54253000.000000,8117000.000000,0.000000,7.894000,,,8226000.000000,0.000000,26.000000,,,0.000000,-257760000.000000,0.000000,0.000000,24259000.000000,,,,,5707000.000000,29994000.000000,1.000000,58533226.000000,58275903.000000,58275903.000000,0.000000,225240000.000000,0.000000,174000.000000,0.000000,3.865000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,139552000.000000,2344807555.000000,2025-05-09,-725000.000000,181443000.000000,,172199000.000000,9244000.000000,,2.461000,-459000.000000,108453000.000000,108453000.000000,172000.000000,-53756000.000000,5.275000,0.260000,6758000.000000,1990000.000000,4768000.000000,6758000.000000,0.000000,165000.000000,0.000000,0.000000,0.000000,-53881000.000000,-53716000.000000,-155.699000,-53716000.000000,-53881000.000000,-53881000.000000,-0.920000,-0.920000,-0.920000,144028000.000000,,144028000.000000,2243112555.000000,-12.000000,-12.225000,-43537000.000000,-0.744000,1.000000,173000.000000,0.501000,0.000000,0.000000,47101000.000000,,563000.000000,54859000.000000,54859000.000000,0.000000,37415000.000000,32647000.000000,4768000.000000,40594000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84041000.000000,84500000.000000,-43078000.000000,-369000.000000,-53756000.000000,-53756000.000000,-53756000.000000,0.000000,0.000000,-155.814000,54854000.000000,-54681000.000000,7052000.000000,0.000000,16.280000,-12.742000,-5.107000,8069000.000000,0.000000,35.390000,6796.544000,6004.320000,137000.000000,-311516000.000000,345000.000000,345000.000000,24914000.000000,,,,,5524000.000000,29940000.000000,1.000000,66256218.000000,58533226.000000,58533226.000000,0.006000,181443000.000000,0.000000,-125000.000000,0.000000,3.100000
ARQ,2022-12-31,2023-03-13,2022-12-31,2022-Q4,335524000.000000,2079549814.000000,2025-05-09,-86000.000000,391453000.000000,,382133000.000000,9320000.000000,,5.201000,-620000.000000,63245000.000000,63245000.000000,2821000.000000,-42704000.000000,8.199000,0.149000,6277000.000000,2040000.000000,4237000.000000,6277000.000000,0.000000,182000.000000,0.000000,0.000000,0.000000,-42125000.000000,-41943000.000000,-1.917000,-41943000.000000,-42125000.000000,-42125000.000000,-0.620000,-0.620000,-0.620000,340607000.000000,,340607000.000000,2022581814.000000,-10.000000,-10.261000,-50317000.000000,-0.768000,1.000000,19064000.000000,0.871000,0.000000,0.000000,287876000.000000,,9769000.000000,284419000.000000,284419000.000000,0.000000,50846000.000000,46609000.000000,4237000.000000,-45208000.000000,0.000000,233491000.000000,0.000000,0.000000,232162000.000000,-228180000.000000,-227560000.000000,-49697000.000000,507000.000000,-42704000.000000,-42704000.000000,-42704000.000000,0.000000,0.000000,-1.951000,63657000.000000,-44593000.000000,6257000.000000,0.000000,6.105000,-10.483000,-9.195000,8135000.000000,0.000000,31.170000,93.547000,82.020000,15306000.000000,-354220000.000000,21885000.000000,21885000.000000,22813000.000000,,,,,6091000.000000,40844000.000000,1.000000,66716388.000000,65492766.000000,65492766.000000,0.334000,391453000.000000,0.000000,579000.000000,0.000000,5.977000
ARQ,2023-03-31,2023-05-11,2023-03-31,2023-Q1,337437000.000000,1936014251.000000,2025-05-09,25000.000000,407958000.000000,,389053000.000000,18905000.000000,,5.286000,-250000.000000,115282000.000000,115282000.000000,5283000.000000,1573000.000000,7.537000,0.157000,5787000.000000,2093000.000000,3694000.000000,5787000.000000,0.000000,204000.000000,0.000000,0.000000,0.000000,1403000.000000,1607000.000000,0.022000,1607000.000000,1403000.000000,1403000.000000,0.020000,0.020000,0.020000,352648000.000000,,352648000.000000,1826519251.000000,-12.000000,-12.355000,-5322000.000000,-0.080000,1.000000,66145000.000000,0.926000,0.000000,0.000000,246847000.000000,,23148000.000000,231111000.000000,231111000.000000,0.000000,55310000.000000,51616000.000000,3694000.000000,52037000.000000,0.000000,3539000.000000,0.000000,0.000000,1040000.000000,55994000.000000,56244000.000000,-5072000.000000,75000.000000,1573000.000000,1573000.000000,1573000.000000,0.000000,0.000000,0.022000,68198000.000000,-2053000.000000,10770000.000000,0.000000,5.490000,-12.997000,-11.763000,7647000.000000,0.000000,28.820000,20.671000,20.530000,17555000.000000,-352647000.000000,71428000.000000,71428000.000000,24192000.000000,,,,,7501000.000000,44006000.000000,1.000000,67176067.000000,66717271.000000,70863665.000000,1.071000,407958000.000000,0.000000,-170000.000000,0.000000,6.115000
ARQ,2023-06-30,2023-08-10,2023-06-30,2023-Q2,363312000.000000,1426386819.000000,2025-05-09,-72000.000000,453588000.000000,,427394000.000000,26194000.000000,,5.747000,-278000.000000,248479000.000000,248479000.000000,5580000.000000,22074000.000000,6.669000,0.174000,5287000.000000,2146000.000000,3141000.000000,5287000.000000,0.000000,281000.000000,0.000000,0.000000,0.000000,24007000.000000,24288000.000000,0.247000,24288000.000000,24007000.000000,24007000.000000,0.330000,0.310000,0.330000,386365000.000000,,386365000.000000,1183194819.000000,-17.000000,-16.960000,8331000.000000,0.124000,1.000000,92636000.000000,0.943000,0.000000,0.000000,146314000.000000,,42587000.000000,109516000.000000,109516000.000000,0.000000,67223000.000000,64082000.000000,3141000.000000,133197000.000000,0.000000,2124000.000000,0.000000,0.000000,1384000.000000,123222000.000000,123500000.000000,8609000.000000,-18000.000000,22074000.000000,22074000.000000,22074000.000000,0.000000,0.000000,0.225000,72435000.000000,20201000.000000,24695000.000000,0.000000,3.692000,-19.590000,-17.790000,7280000.000000,0.000000,21.170000,7.434000,7.418000,33473000.000000,-330573000.000000,98216000.000000,98216000.000000,29044000.000000,,,,,9950000.000000,43391000.000000,1.000000,67377743.000000,67233617.000000,70132040.000000,1.461000,453588000.000000,0.000000,1933000.000000,0.000000,6.746000
ARQ,2023-09-30,2023-11-09,2023-09-30,2023-Q3,388493000.000000,827767652.000000,2025-05-09,-151000.000000,466584000.000000,,434110000.000000,32474000.000000,,6.206000,-357000.000000,135977000.000000,135977000.000000,5218000.000000,20893000.000000,9.516000,0.115000,4768000.000000,2201000.000000,2567000.000000,4768000.000000,0.000000,302000.000000,0.000000,0.000000,0.000000,22411000.000000,22713000.000000,0.221000,22713000.000000,22411000.000000,22411000.000000,0.310000,0.300000,0.310000,418400000.000000,,418400000.000000,696558652.000000,122.000000,104.510000,-5526000.000000,-0.082000,1.000000,97475000.000000,0.949000,0.000000,0.000000,289758000.000000,,56703000.000000,219787000.000000,219787000.000000,0.000000,48184000.000000,45617000.000000,2567000.000000,-112502000.000000,0.000000,984000.000000,0.000000,0.000000,889000.000000,-108088000.000000,-107731000.000000,-5169000.000000,-134000.000000,20893000.000000,20893000.000000,20893000.000000,0.000000,0.000000,0.203000,78755000.000000,18720000.000000,6371000.000000,0.000000,1.978000,450.854000,306.500000,6950000.000000,0.000000,12.260000,2.813000,2.809000,29353000.000000,-309680000.000000,102693000.000000,102693000.000000,30037000.000000,,,,,10176000.000000,48718000.000000,1.000000,67517753.000000,67414669.000000,69748547.000000,1.523000,466584000.000000,0.000000,1518000.000000,0.000000,6.921000
