dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-03-31,2014-06-13,2014-03-31,2014-Q1,104477000.000000,,2025-05-09,0.000000,345109000.000000,,177290000.000000,167819000.000000,,6.488000,-4226000.000000,53460000.000000,53460000.000000,33362000.000000,-1619000.000000,2.435000,0.372000,41500000.000000,31888000.000000,9612000.000000,41500000.000000,3107000.000000,2940000.000000,0.000000,,0.000000,-2291000.000000,649000.000000,0.014000,649000.000000,-2291000.000000,-2471000.000000,-0.040000,-0.040000,-0.040000,251542000.000000,,251542000.000000,,,,-10061000.000000,-0.260000,1.000000,12508000.000000,0.273000,39690000.000000,180000.000000,220646000.000000,,79047000.000000,0.000000,0.000000,0.000000,93567000.000000,72813000.000000,20754000.000000,-1452000.000000,0.000000,0.000000,9327000.000000,0.000000,9180000.000000,-4797000.000000,0.000000,-5835000.000000,0.000000,-1619000.000000,-1619000.000000,-1619000.000000,0.000000,0.000000,-0.035000,14477000.000000,-1969000.000000,17571000.000000,0.000000,,,,118565000.000000,0.000000,,,,19114000.000000,72190000.000000,45870000.000000,45870000.000000,6209000.000000,,,,,1616000.000000,8104000.000000,1.000000,42765940.000000,38769000.000000,38769000.000000,1.183000,305419000.000000,25555000.000000,-852000.000000,9824000.000000,7.878000
ARQ,2014-06-30,2014-08-13,2014-06-30,2014-Q2,157945000.000000,453138214.000000,2025-05-09,-268000.000000,397268000.000000,,214227000.000000,183041000.000000,,7.236000,-3228000.000000,65576000.000000,65576000.000000,34007000.000000,-1180000.000000,3.806000,0.381000,53515000.000000,10665000.000000,42850000.000000,53515000.000000,2946000.000000,3096000.000000,0.000000,0.000000,0.000000,-1400000.000000,1696000.000000,0.035000,1696000.000000,-1400000.000000,-1876000.000000,-0.030000,-0.030000,-0.030000,287741000.000000,,287741000.000000,441077214.000000,,,-2294000.000000,-0.058000,1.000000,14996000.000000,0.306000,39330000.000000,476000.000000,289595000.000000,,106017000.000000,0.000000,0.000000,0.000000,109527000.000000,56282000.000000,53245000.000000,11946000.000000,-18352000.000000,38589000.000000,-3854000.000000,0.000000,32962000.000000,-21918000.000000,0.000000,934000.000000,-32000.000000,-1180000.000000,-1180000.000000,-1180000.000000,0.000000,0.000000,-0.024000,16168000.000000,-1172000.000000,17764000.000000,0.000000,1.575000,,,133991000.000000,0.000000,10.150000,,,18598000.000000,71010000.000000,49003000.000000,49003000.000000,5994000.000000,,,,,2405000.000000,9990000.000000,1.000000,44644159.000000,39767000.000000,39767000.000000,1.232000,357938000.000000,26455000.000000,-696000.000000,9927000.000000,9.001000
ARQ,2014-09-30,2014-11-13,2014-09-30,2014-Q3,152098000.000000,474616723.000000,2025-05-09,-1803000.000000,401133000.000000,,215180000.000000,185953000.000000,,6.342000,-4219000.000000,74376000.000000,74376000.000000,47920000.000000,-5379000.000000,3.411000,0.417000,51349000.000000,10078000.000000,41271000.000000,51349000.000000,16739000.000000,3199000.000000,0.000000,0.000000,0.000000,-7480000.000000,-4281000.000000,-0.072000,-4281000.000000,-7480000.000000,-7984000.000000,-0.120000,-0.120000,-0.120000,283120000.000000,,283120000.000000,451589723.000000,,,9411000.000000,0.211000,1.000000,11791000.000000,0.197000,43221000.000000,504000.000000,271803000.000000,,88052000.000000,0.000000,0.000000,0.000000,118013000.000000,63082000.000000,54931000.000000,8800000.000000,0.000000,-355000.000000,-1117000.000000,0.000000,-1472000.000000,-3130000.000000,0.000000,13630000.000000,-228000.000000,-5379000.000000,-5379000.000000,-5379000.000000,0.000000,0.000000,-0.090000,19608000.000000,-7817000.000000,10013000.000000,0.000000,1.676000,,,134112000.000000,0.000000,10.630000,,,26604000.000000,65631000.000000,59711000.000000,59711000.000000,8585000.000000,,,,,2659000.000000,11010000.000000,1.000000,44648798.000000,44644000.000000,44644000.000000,1.337000,357912000.000000,27353000.000000,-2605000.000000,14314000.000000,8.017000
ARQ,2014-12-31,2015-03-26,2014-12-31,2014-Q4,135401000.000000,666241772.000000,2025-05-09,-1654000.000000,389370000.000000,,197996000.000000,191374000.000000,,6.313000,-8826000.000000,69323000.000000,69323000.000000,43917000.000000,-2521000.000000,3.163000,0.381000,43700000.000000,7594000.000000,36106000.000000,43700000.000000,15995000.000000,3293000.000000,0.000000,0.000000,0.000000,-6367000.000000,-3074000.000000,-0.055000,-3074000.000000,-6367000.000000,-5817000.000000,-0.050000,-0.050000,-0.050000,281860000.000000,,281860000.000000,640618772.000000,-37.000000,-127.843000,3497000.000000,0.078000,1.000000,11960000.000000,0.214000,42565000.000000,-550000.000000,258587000.000000,,82332000.000000,0.000000,0.000000,0.000000,107510000.000000,62595000.000000,44915000.000000,-5053000.000000,0.000000,-379000.000000,-7065000.000000,0.000000,-8553000.000000,-9928000.000000,0.000000,12323000.000000,1105000.000000,-2521000.000000,-2521000.000000,-2521000.000000,0.000000,0.000000,-0.045000,18984000.000000,-7024000.000000,10161000.000000,0.000000,2.364000,-62.271000,-59.800000,138289000.000000,0.000000,14.950000,3.166000,2.980000,22852000.000000,63110000.000000,55877000.000000,55877000.000000,7639000.000000,,,,,2600000.000000,11267000.000000,1.000000,44564667.000000,44648000.000000,44648000.000000,1.252000,346805000.000000,26738000.000000,-3296000.000000,10653000.000000,7.768000
ARQ,2015-03-31,2015-05-14,2015-03-31,2015-Q1,130507000.000000,689199953.000000,2025-05-09,-4647000.000000,396502000.000000,,202597000.000000,193905000.000000,,6.262000,-4175000.000000,70083000.000000,70083000.000000,43606000.000000,-665000.000000,2.810000,0.420000,48417000.000000,12531000.000000,35886000.000000,48417000.000000,8707000.000000,2771000.000000,0.000000,0.000000,0.000000,-5856000.000000,-3085000.000000,-0.054000,-3085000.000000,-5856000.000000,-6197000.000000,-0.010000,-0.010000,-0.010000,279281000.000000,,279281000.000000,667533953.000000,-32.000000,-76.342000,-2837000.000000,-0.064000,1.000000,13280000.000000,0.233000,41326000.000000,341000.000000,261420000.000000,,84887000.000000,0.000000,0.000000,0.000000,117221000.000000,72090000.000000,45131000.000000,760000.000000,0.000000,-1151000.000000,5596000.000000,0.000000,4445000.000000,-5045000.000000,0.000000,1338000.000000,22000.000000,-665000.000000,-665000.000000,-665000.000000,0.000000,0.000000,-0.012000,20541000.000000,-7261000.000000,18948000.000000,0.000000,2.468000,-70.723000,-73.381000,138276000.000000,0.000000,15.410000,3.112000,3.103000,21653000.000000,62445000.000000,56886000.000000,56886000.000000,6568000.000000,,,,,2230000.000000,13973000.000000,1.000000,44724202.000000,44601000.000000,44601000.000000,1.275000,355176000.000000,31896000.000000,-5532000.000000,10041000.000000,7.963000
ARQ,2015-06-30,2015-08-13,2015-06-30,2015-Q2,134494000.000000,676433725.000000,2025-05-09,-4134000.000000,398929000.000000,,203898000.000000,195031000.000000,,6.361000,-3407000.000000,75748000.000000,75748000.000000,40535000.000000,-6647000.000000,2.938000,0.398000,47430000.000000,12632000.000000,34798000.000000,47430000.000000,6028000.000000,2861000.000000,0.000000,0.000000,0.000000,-10019000.000000,-7158000.000000,-0.133000,-7158000.000000,-10019000.000000,-10229000.000000,-0.150000,-0.150000,-0.150000,285265000.000000,,285265000.000000,648115725.000000,-22.000000,-36.829000,-904000.000000,-0.020000,1.000000,13318000.000000,0.247000,40911000.000000,210000.000000,260296000.000000,,80174000.000000,0.000000,0.000000,0.000000,113664000.000000,69404000.000000,44260000.000000,5875000.000000,0.000000,8418000.000000,-1334000.000000,0.000000,7084000.000000,-3719000.000000,0.000000,2503000.000000,7000.000000,-6647000.000000,-6647000.000000,-6647000.000000,0.000000,0.000000,-0.123000,23578000.000000,-10260000.000000,18447000.000000,0.000000,2.371000,-44.467000,-45.212000,139251000.000000,0.000000,14.920000,2.989000,2.957000,19832000.000000,55798000.000000,53853000.000000,53853000.000000,10726000.000000,,,,,3700000.000000,12778000.000000,1.000000,45337381.000000,44849000.000000,44849000.000000,1.201000,358018000.000000,34787000.000000,-3582000.000000,9259000.000000,7.983000
ARQ,2015-09-30,2015-11-13,2015-09-30,2015-Q3,128406000.000000,625771398.000000,2025-05-09,-3760000.000000,395027000.000000,,199059000.000000,195968000.000000,,6.263000,-4294000.000000,71966000.000000,71966000.000000,46290000.000000,-3008000.000000,2.817000,0.392000,46116000.000000,14762000.000000,31354000.000000,46116000.000000,2143000.000000,2884000.000000,0.000000,0.000000,0.000000,-4044000.000000,-1160000.000000,-0.018000,-1160000.000000,-4044000.000000,-4276000.000000,-0.070000,-0.070000,-0.070000,283786000.000000,,283786000.000000,599921398.000000,-23.000000,-41.440000,-741000.000000,-0.016000,1.000000,17578000.000000,0.275000,40485000.000000,232000.000000,258039000.000000,,72422000.000000,0.000000,0.000000,0.000000,111241000.000000,70653000.000000,40588000.000000,-3782000.000000,0.000000,-2272000.000000,-1449000.000000,0.000000,-3721000.000000,-3702000.000000,0.000000,3553000.000000,88000.000000,-3008000.000000,-3008000.000000,-3008000.000000,0.000000,0.000000,-0.047000,21326000.000000,-3748000.000000,12265000.000000,0.000000,2.205000,-48.732000,-49.643000,141181000.000000,0.000000,13.900000,2.715000,2.733000,24998000.000000,52790000.000000,63868000.000000,63868000.000000,11117000.000000,,,,,3427000.000000,10205000.000000,1.000000,45019525.000000,45310000.000000,45310000.000000,1.410000,354542000.000000,35411000.000000,-1268000.000000,8607000.000000,7.825000
ARQ,2015-12-31,2016-03-15,2015-12-31,2015-Q4,115979000.000000,572648358.000000,2025-05-09,-2475000.000000,390136000.000000,,175934000.000000,214202000.000000,,6.555000,-4120000.000000,67359000.000000,67359000.000000,43741000.000000,7533000.000000,2.934000,0.320000,41099000.000000,10934000.000000,30165000.000000,41099000.000000,1982000.000000,2798000.000000,0.000000,0.000000,0.000000,10542000.000000,13340000.000000,0.173000,13340000.000000,10542000.000000,10338000.000000,0.170000,0.170000,0.170000,295510000.000000,,295510000.000000,546388358.000000,-58.000000,282.080000,-833000.000000,-0.018000,1.000000,33171000.000000,0.431000,39901000.000000,204000.000000,264020000.000000,,70665000.000000,0.000000,0.000000,0.000000,94626000.000000,59955000.000000,34671000.000000,-4607000.000000,0.000000,-659000.000000,-5019000.000000,0.000000,-5571000.000000,-4459000.000000,0.000000,3287000.000000,2136000.000000,7533000.000000,7533000.000000,7533000.000000,0.000000,0.000000,0.098000,18800000.000000,14371000.000000,13872000.000000,0.000000,1.938000,-205.471000,-212.000000,142161000.000000,0.000000,12.720000,2.277000,2.274000,33233000.000000,60323000.000000,76912000.000000,76912000.000000,8654000.000000,,,,,3458000.000000,10018000.000000,1.000000,45019525.000000,45084000.000000,45084000.000000,1.706000,350235000.000000,27682000.000000,2805000.000000,3573000.000000,7.768000
ARQ,2016-03-31,2016-05-10,2016-03-31,2016-Q1,108521000.000000,582545383.000000,2025-05-09,-2039000.000000,395006000.000000,,173442000.000000,221564000.000000,,6.585000,-3946000.000000,64617000.000000,64617000.000000,34464000.000000,2489000.000000,2.672000,0.332000,40269000.000000,11177000.000000,29092000.000000,40269000.000000,1822000.000000,2947000.000000,0.000000,0.000000,0.000000,4200000.000000,7147000.000000,0.120000,7147000.000000,4200000.000000,3816000.000000,0.060000,0.050000,0.060000,296585000.000000,,296585000.000000,558197383.000000,822.000000,45.870000,9984000.000000,0.222000,1.000000,24902000.000000,0.419000,44024000.000000,384000.000000,261713000.000000,,82242000.000000,0.000000,0.000000,0.000000,98421000.000000,64921000.000000,33500000.000000,-2742000.000000,-4761000.000000,-5701000.000000,-1332000.000000,0.000000,-7033000.000000,-9420000.000000,0.000000,13930000.000000,-219000.000000,2489000.000000,2489000.000000,2489000.000000,0.000000,0.000000,0.042000,20827000.000000,4075000.000000,18619000.000000,0.000000,1.964000,1587.317000,1299.000000,144684000.000000,0.000000,12.990000,2.293000,2.303000,23081000.000000,62812000.000000,59366000.000000,59366000.000000,8388000.000000,,,,,3851000.000000,12222000.000000,1.000000,44845680.000000,45041000.000000,46810000.000000,1.318000,350982000.000000,27854000.000000,1327000.000000,4754000.000000,7.793000
ARQ,2016-06-30,2016-08-09,2016-06-30,2016-Q2,115646000.000000,809924786.000000,2025-05-09,-2690000.000000,408586000.000000,,181313000.000000,227273000.000000,,6.839000,-5398000.000000,68050000.000000,68050000.000000,36319000.000000,6895000.000000,2.761000,0.329000,42646000.000000,10904000.000000,31742000.000000,42646000.000000,1827000.000000,3048000.000000,0.000000,0.000000,0.000000,10057000.000000,13105000.000000,0.193000,13105000.000000,10057000.000000,9752000.000000,0.150000,0.150000,0.150000,307464000.000000,,307464000.000000,784520786.000000,38.000000,24.190000,3928000.000000,0.087000,1.000000,31714000.000000,0.466000,43298000.000000,305000.000000,274217000.000000,,88327000.000000,0.000000,0.000000,0.000000,101122000.000000,65667000.000000,35455000.000000,3328000.000000,0.000000,437000.000000,1525000.000000,0.000000,1962000.000000,-8006000.000000,0.000000,9326000.000000,46000.000000,6895000.000000,6895000.000000,6895000.000000,0.000000,0.000000,0.101000,21384000.000000,10330000.000000,18767000.000000,0.000000,2.634000,58.230000,57.903000,148647000.000000,0.000000,17.950000,3.020000,3.009000,23128000.000000,69707000.000000,68033000.000000,68033000.000000,10480000.000000,,,,,4198000.000000,10790000.000000,1.000000,45121158.000000,44957000.000000,45968000.000000,1.513000,365288000.000000,27500000.000000,2857000.000000,7149000.000000,8.125000
