dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,79000.000000,,2025-05-02,0.000000,11722000.000000,,9038000.000000,2684000.000000,,0.001000,-926000.000000,7355000.000000,7355000.000000,12484000.000000,-3038000.000000,1.009000,3.242000,0.000000,0.000000,0.000000,0.000000,0.000000,420000.000000,0.000000,,0.000000,-3038000.000000,-2618000.000000,-0.164000,-2618000.000000,-3038000.000000,-3038000.000000,-0.001000,-0.001000,-0.001000,2763000.000000,,2763000.000000,,,,277000.000000,0.000000,1.000000,3521000.000000,0.220000,0.000000,0.000000,-4592000.000000,,939000.000000,0.000000,0.000000,0.000000,8959000.000000,8959000.000000,0.000000,914000.000000,0.000000,437000.000000,0.000000,0.000000,637000.000000,-926000.000000,0.000000,1203000.000000,0.000000,-3038000.000000,-3038000.000000,-3038000.000000,0.000000,0.000000,-0.190000,6623000.000000,-3102000.000000,5650000.000000,0.000000,,,,2491000.000000,0.000000,,,,0.000000,-9063000.000000,16005000.000000,16005000.000000,1575000.000000,,,,,263000.000000,5048000.000000,1.000000,5726088480.000000,5524320000.000000,5524320000.000000,0.003000,11722000.000000,0.000000,0.000000,0.000000,0.002000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,41849000.000000,617463208.000000,2025-05-02,0.000000,63098000.000000,,59206000.000000,3892000.000000,,0.008000,-1313000.000000,48028000.000000,48028000.000000,22633000.000000,-6705000.000000,3.411000,0.385000,181000.000000,0.000000,181000.000000,181000.000000,0.000000,602000.000000,0.000000,0.000000,0.000000,-6705000.000000,-6103000.000000,-0.219000,-6103000.000000,-6705000.000000,-6705000.000000,-0.001000,-0.001000,-0.001000,45560000.000000,,45560000.000000,569616208.000000,,,90000.000000,0.000000,1.000000,5222000.000000,0.187000,0.000000,0.000000,-2106000.000000,,1652000.000000,8692000.000000,8692000.000000,0.000000,17538000.000000,17357000.000000,181000.000000,40538000.000000,0.000000,49140000.000000,0.000000,0.000000,49140000.000000,-10005000.000000,-8692000.000000,1403000.000000,0.000000,-6705000.000000,-6705000.000000,-6705000.000000,0.000000,0.000000,-0.241000,12289000.000000,-7067000.000000,10327000.000000,0.000000,13.553000,,,3564000.000000,0.000000,0.108000,,,0.000000,-15768000.000000,27855000.000000,27855000.000000,2808000.000000,,,,,362000.000000,9481000.000000,1.000000,5726088480.000000,5675040000.000000,5675040000.000000,0.005000,63098000.000000,0.000000,0.000000,0.000000,0.011000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,32849000.000000,1192935100.000000,2025-05-02,0.000000,57447000.000000,,52697000.000000,4750000.000000,,0.007000,-1814000.000000,45034000.000000,45034000.000000,30709000.000000,-8510000.000000,2.655000,0.535000,181000.000000,0.000000,181000.000000,181000.000000,0.000000,975000.000000,0.000000,0.000000,0.000000,-8510000.000000,-7535000.000000,-0.199000,-7535000.000000,-8510000.000000,-8510000.000000,-0.002000,-0.002000,-0.002000,37418000.000000,,37418000.000000,1148082100.000000,,,-8211000.000000,-0.001000,1.000000,7178000.000000,0.189000,0.000000,0.000000,-7254000.000000,,2732000.000000,3494000.000000,3494000.000000,0.000000,20029000.000000,19848000.000000,181000.000000,-3013000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3384000.000000,5198000.000000,-6397000.000000,0.000000,-8510000.000000,-8510000.000000,-8510000.000000,0.000000,0.000000,-0.225000,16364000.000000,-9186000.000000,15386000.000000,0.000000,31.881000,,,4403000.000000,0.000000,0.208000,,,0.000000,-24278000.000000,37887000.000000,37887000.000000,3582000.000000,,,,,368000.000000,12782000.000000,1.000000,5726088480.000000,5726160000.000000,5726160000.000000,0.007000,57447000.000000,0.000000,0.000000,0.000000,0.010000
ARQ,1997-12-31,1998-03-30,1997-12-31,1997-Q4,93517000.000000,2074677618.000000,2025-05-02,0.000000,149006000.000000,,137335000.000000,11671000.000000,,0.005000,-3168000.000000,109976000.000000,109976000.000000,53119000.000000,-9337000.000000,3.134000,4.231000,78202000.000000,1500000.000000,76702000.000000,78202000.000000,0.000000,1391000.000000,0.000000,0.000000,0.000000,-9058000.000000,-7667000.000000,-0.116000,-7667000.000000,-9058000.000000,-9337000.000000,-0.002000,-0.002000,-0.002000,28486000.000000,,28486000.000000,2042903618.000000,-75.000000,-85.395000,4145000.000000,0.001000,1.000000,12892000.000000,0.195000,0.000000,279000.000000,73414000.000000,,8971000.000000,15256000.000000,15256000.000000,0.000000,120520000.000000,43818000.000000,76702000.000000,65123000.000000,0.000000,44000.000000,75000000.000000,0.000000,72740000.000000,-14930000.000000,-11762000.000000,7313000.000000,0.000000,-9337000.000000,-9337000.000000,-9337000.000000,0.000000,0.000000,-0.141000,22746000.000000,-9854000.000000,32697000.000000,0.000000,72.831000,-75.197000,-71.567000,9265000.000000,0.000000,0.358000,14.041000,12.584000,0.000000,-33615000.000000,66011000.000000,66011000.000000,4520000.000000,,,,,361000.000000,18226000.000000,1.000000,5797888080.000000,5196240000.000000,5196240000.000000,0.013000,149006000.000000,0.000000,0.000000,0.000000,0.029000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,84415000.000000,2216168793.000000,2025-05-02,0.000000,145007000.000000,,132893000.000000,12114000.000000,,0.004000,-2071000.000000,98893000.000000,98893000.000000,68054000.000000,-9259000.000000,2.741000,6.314000,77386000.000000,684000.000000,76702000.000000,77386000.000000,0.000000,1790000.000000,0.000000,0.000000,0.000000,-7234000.000000,-5444000.000000,-0.062000,-5444000.000000,-7234000.000000,-9259000.000000,-0.002000,-0.002000,-0.002000,19827000.000000,,19827000.000000,2194661793.000000,-70.000000,-82.046000,-8626000.000000,-0.002000,1.000000,19321000.000000,0.221000,0.000000,2025000.000000,75022000.000000,,11674000.000000,18220000.000000,18220000.000000,0.000000,125180000.000000,48478000.000000,76702000.000000,-11210000.000000,0.000000,415000.000000,0.000000,0.000000,415000.000000,-5070000.000000,-2999000.000000,-6555000.000000,0.000000,-9259000.000000,-9259000.000000,-9259000.000000,0.000000,0.000000,-0.106000,28195000.000000,-8874000.000000,34374000.000000,0.000000,111.775000,-65.546000,-62.243000,9773000.000000,0.000000,0.373000,10.114000,9.535000,0.000000,-42874000.000000,87375000.000000,87375000.000000,6729000.000000,,,,,185000.000000,21466000.000000,1.000000,5934179520.000000,5594640000.000000,5594640000.000000,0.016000,145007000.000000,0.000000,0.000000,0.000000,0.026000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,297517000.000000,6123497768.000000,2025-05-02,-35000.000000,443759000.000000,,369441000.000000,74318000.000000,,0.007000,-5643000.000000,2523000.000000,2523000.000000,89786000.000000,-21226000.000000,5.137000,10.255000,333090000.000000,684000.000000,332406000.000000,333090000.000000,0.000000,6983000.000000,0.000000,0.000000,0.000000,-16996000.000000,-10013000.000000,-0.086000,-10013000.000000,-16996000.000000,-21226000.000000,-0.004000,-0.004000,-0.004000,39429000.000000,,39429000.000000,6454064768.000000,-154.000000,-210.511000,-3508000.000000,-0.001000,1.000000,26191000.000000,0.226000,52398000.000000,4230000.000000,650004000.000000,,17035000.000000,337396000.000000,337396000.000000,0.000000,404330000.000000,71924000.000000,332406000.000000,12166000.000000,-14993000.000000,607000.000000,248778000.000000,0.000000,241635000.000000,-231569000.000000,-210933000.000000,2135000.000000,-35000.000000,-21226000.000000,-21226000.000000,-21226000.000000,0.000000,0.000000,-0.183000,43187000.000000,-16996000.000000,47556000.000000,0.000000,155.304000,-126.697000,-113.704000,14014000.000000,0.000000,1.023000,19.930000,19.175000,0.000000,-64100000.000000,115977000.000000,115977000.000000,8060000.000000,,,,,444000.000000,29714000.000000,1.000000,5983874040.000000,5757240000.000000,5757240000.000000,0.020000,391361000.000000,0.000000,0.000000,0.000000,0.068000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,275202000.000000,6743118429.000000,2025-05-02,590000.000000,619714000.000000,,374657000.000000,245057000.000000,,0.030000,-11065000.000000,14856000.000000,14856000.000000,118823000.000000,-45171000.000000,3.767000,2.447000,341179000.000000,684000.000000,340495000.000000,341179000.000000,0.000000,21491000.000000,0.000000,0.000000,0.000000,-41506000.000000,-20015000.000000,-0.130000,-20015000.000000,-41506000.000000,-45171000.000000,-0.007000,-0.007000,-0.007000,179764000.000000,,179764000.000000,7069441429.000000,-95.000000,-163.876000,-14308000.000000,-0.002000,1.000000,34875000.000000,0.227000,213064000.000000,3665000.000000,633518000.000000,,19772000.000000,322404000.000000,322404000.000000,0.000000,439950000.000000,99455000.000000,340495000.000000,12024000.000000,619000.000000,10303000.000000,-174000.000000,0.000000,10096000.000000,5547000.000000,15993000.000000,-3243000.000000,-376000.000000,-45171000.000000,-45171000.000000,-45171000.000000,0.000000,0.000000,-0.294000,76381000.000000,-41506000.000000,60046000.000000,0.000000,37.511000,-79.337000,-71.000000,23821000.000000,0.000000,1.065000,15.939000,15.175000,0.000000,-115633000.000000,153698000.000000,153698000.000000,13374000.000000,,,,,-59000.000000,42495000.000000,1.000000,6331566600.000000,6028080000.000000,6028080000.000000,0.025000,406650000.000000,0.000000,0.000000,0.000000,0.067000
ARQ,1998-12-31,1999-03-05,1998-12-31,1998-Q4,262679000.000000,19573269584.000000,2025-05-02,1806000.000000,648460000.000000,,424254000.000000,224206000.000000,,0.022000,-9554000.000000,25561000.000000,25561000.000000,199476000.000000,-46427000.000000,2.626000,3.674000,348824000.000000,684000.000000,348140000.000000,348824000.000000,0.000000,-20572000.000000,0.000000,0.000000,0.000000,-42069000.000000,-62641000.000000,-0.248000,-62641000.000000,-42069000.000000,-46427000.000000,-0.008000,-0.008000,-0.008000,138745000.000000,,138745000.000000,19896532584.000000,-178.000000,-194.553000,29144000.000000,0.005000,1.000000,53417000.000000,0.211000,186377000.000000,4358000.000000,623771000.000000,,29501000.000000,347884000.000000,347884000.000000,0.000000,509715000.000000,161575000.000000,348140000.000000,10705000.000000,-4645000.000000,3041000.000000,-725000.000000,0.000000,2316000.000000,-30685000.000000,-16486000.000000,38698000.000000,376000.000000,-46427000.000000,-46427000.000000,-46427000.000000,0.000000,0.000000,-0.184000,95486000.000000,-42069000.000000,113273000.000000,0.000000,141.074000,-157.157000,-144.643000,29791000.000000,0.000000,3.038000,32.088000,29.513000,0.000000,-162060000.000000,252893000.000000,252893000.000000,17281000.000000,,,,,1816000.000000,53958000.000000,1.000000,6443874760.000000,6175520000.000000,6175520000.000000,0.041000,462083000.000000,0.000000,0.000000,0.000000,0.075000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,1323693000.000000,22230989680.000000,2025-05-02,-4390000.000000,1812984000.000000,,1525278000.000000,287706000.000000,,0.012000,-19062000.000000,5248000.000000,5248000.000000,228852000.000000,-61667000.000000,7.566000,22.382000,1541048000.000000,7186000.000000,1533862000.000000,1541048000.000000,0.000000,5223000.000000,0.000000,0.000000,0.000000,-55904000.000000,-50681000.000000,-0.173000,-50681000.000000,-55904000.000000,-61667000.000000,-0.010000,-0.010000,-0.010000,77537000.000000,,77537000.000000,23766789680.000000,-152.000000,-165.796000,-36256000.000000,-0.006000,1.000000,64791000.000000,0.221000,187194000.000000,5763000.000000,2960005000.000000,,45236000.000000,1437717000.000000,1437717000.000000,0.000000,1735447000.000000,201585000.000000,1533862000.000000,-20313000.000000,0.000000,6540000.000000,1168751000.000000,0.000000,1140391000.000000,-1143350000.000000,-1124288000.000000,-17194000.000000,-160000.000000,-61667000.000000,-61667000.000000,-61667000.000000,0.000000,0.000000,-0.210000,120695000.000000,-55904000.000000,133018000.000000,0.000000,286.715000,-127.405000,-118.621000,60600000.000000,0.000000,3.440000,27.237000,26.450000,0.000000,-223727000.000000,293643000.000000,293643000.000000,23477000.000000,,,,,115000.000000,71909000.000000,1.000000,6462497000.000000,6275880000.000000,6275880000.000000,0.047000,1625790000.000000,0.000000,0.000000,0.000000,0.259000
ARQ,1999-06-30,1999-08-16,1999-06-30,1999-Q2,979014000.000000,16575279824.000000,2025-05-02,-9411000.000000,2298214000.000000,,1256958000.000000,1041256000.000000,,0.089000,-92035000.000000,42539000.000000,42539000.000000,246846000.000000,-138008000.000000,4.522000,3.025000,1459097000.000000,9873000.000000,1449224000.000000,1459097000.000000,0.000000,8102000.000000,0.000000,0.000000,0.000000,-122474000.000000,-114372000.000000,-0.364000,-114372000.000000,-122474000.000000,-138008000.000000,-0.021000,-0.021000,-0.021000,571046000.000000,,571046000.000000,17991837824.000000,-69.000000,-72.633000,-121649000.000000,-0.019000,1.000000,67531000.000000,0.215000,741865000.000000,15534000.000000,2694963000.000000,,59387000.000000,1207718000.000000,1101698000.000000,106020000.000000,1727168000.000000,277944000.000000,1449224000.000000,37291000.000000,-107362000.000000,15086000.000000,-101230000.000000,0.000000,-86181000.000000,152789000.000000,352186000.000000,-29614000.000000,297000.000000,-138008000.000000,-138008000.000000,-138008000.000000,0.000000,0.000000,-0.439000,190005000.000000,-122474000.000000,165983000.000000,0.000000,29.026000,-56.906000,-53.429000,156333000.000000,0.000000,2.458000,16.337000,15.616000,0.000000,-361735000.000000,314377000.000000,314377000.000000,34288000.000000,,,,,4667000.000000,100495000.000000,1.000000,6744087000.000000,6446800000.000000,6446800000.000000,0.049000,1556349000.000000,0.000000,0.000000,0.000000,0.241000
