dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-09-30,2017-01-17,2016-09-30,2016-Q3,44813000.000000,,2025-05-06,0.000000,55837000.000000,,52352000.000000,3485000.000000,,-1.871000,,47194000.000000,47194000.000000,,,6.944000,-2.644000,4983000.000000,1590000.000000,3393000.000000,4983000.000000,1529000.000000,,0.000000,,0.000000,,,,,,,,,,-33973000.000000,,-33973000.000000,,,,,,1.000000,,,0.000000,,6087000.000000,,0.000000,0.000000,0.000000,0.000000,89810000.000000,7539000.000000,82271000.000000,,,,,,,,,,,,,,,,,,,1440000.000000,,,,,425000.000000,,,,,860000.000000,-50345000.000000,,,,,,,,,,1.000000,18159333.000000,18159333.000000,,,55837000.000000,3293000.000000,,0.000000,3.075000
ARQ,2016-12-31,2017-03-08,2016-12-31,2016-Q4,52500000.000000,462987333.000000,2025-05-06,0.000000,62180000.000000,,58208000.000000,3972000.000000,,-14.439000,-1000.000000,51292000.000000,51292000.000000,0.000000,-4578000.000000,10.198000,-2.626000,13809000.000000,0.000000,13809000.000000,13809000.000000,0.000000,58000.000000,0.000000,0.000000,0.000000,-4467000.000000,-4409000.000000,-1.601000,-4409000.000000,-4467000.000000,-4578000.000000,-1.620000,-1.620000,-1.620000,-38248000.000000,,-38248000.000000,425504333.000000,-112.000000,-119.256000,-5571000.000000,-2.103000,1.000000,2754000.000000,1.000000,0.000000,111000.000000,18989000.000000,,0.000000,0.000000,0.000000,0.000000,100428000.000000,5708000.000000,94720000.000000,4098000.000000,0.000000,15000.000000,9745000.000000,0.000000,9669000.000000,-1000.000000,0.000000,-5570000.000000,0.000000,-4578000.000000,-4259000.000000,-4259000.000000,0.000000,0.000000,-1.546000,5948000.000000,-3194000.000000,2278000.000000,0.000000,-12.105000,-108.708000,-14.167000,471000.000000,-319000.000000,22.950000,27.750000,3.627000,1225000.000000,-54923000.000000,2754000.000000,2754000.000000,5016000.000000,,,,,288000.000000,912000.000000,1.000000,20173740.000000,2649000.000000,2637000.000000,1.040000,62180000.000000,4118000.000000,0.000000,0.000000,23.473000
ARQ,2017-03-31,2017-05-12,2017-03-31,2017-Q1,102029000.000000,532879187.000000,2025-05-06,-13000.000000,131111000.000000,,110155000.000000,20956000.000000,,7.199000,-85000.000000,96814000.000000,96814000.000000,0.000000,-11435000.000000,13.556000,0.191000,13959000.000000,1250000.000000,12709000.000000,13959000.000000,0.000000,39000.000000,0.000000,0.000000,0.000000,-11007000.000000,-10968000.000000,,-10968000.000000,-11007000.000000,-11435000.000000,-0.750000,-0.750000,-0.750000,110115000.000000,,110115000.000000,450024187.000000,,,-8182000.000000,-0.535000,1.000000,0.000000,,0.000000,428000.000000,40130000.000000,,0.000000,27069000.000000,6742000.000000,20327000.000000,20996000.000000,8126000.000000,12870000.000000,45522000.000000,0.000000,80568000.000000,0.000000,0.000000,80704000.000000,-27085000.000000,-27000000.000000,-8097000.000000,0.000000,-11435000.000000,-11435000.000000,-11435000.000000,0.000000,0.000000,,9988000.000000,-9988000.000000,2546000.000000,0.000000,4.839000,,,569000.000000,0.000000,26.290000,,,0.000000,-66399000.000000,0.000000,0.000000,7935000.000000,,,,,866000.000000,2053000.000000,1.000000,20269273.000000,15295000.000000,15295000.000000,0.000000,131111000.000000,4965000.000000,0.000000,0.000000,8.572000
ARQ,2017-06-30,2017-08-10,2017-06-30,2017-Q2,105769000.000000,436956556.000000,2025-05-06,-59000.000000,130409000.000000,,115848000.000000,14561000.000000,,5.386000,-68000.000000,30812000.000000,30812000.000000,0.000000,-2684000.000000,11.494000,0.194000,14112000.000000,3125000.000000,10987000.000000,14112000.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-2245000.000000,-2194000.000000,-0.313000,-2194000.000000,-2245000.000000,-2684000.000000,-0.130000,-0.130000,-0.130000,109175000.000000,,109175000.000000,420256556.000000,,,-2711000.000000,-0.134000,1.000000,7000000.000000,1.000000,0.000000,439000.000000,103630000.000000,,0.000000,89519000.000000,75607000.000000,13912000.000000,21234000.000000,10079000.000000,11155000.000000,-66002000.000000,0.000000,148000.000000,0.000000,0.000000,-938000.000000,-62421000.000000,-62353000.000000,-2643000.000000,0.000000,-2684000.000000,-2684000.000000,-2684000.000000,0.000000,0.000000,-0.383000,9555000.000000,-2555000.000000,3724000.000000,0.000000,4.002000,,,543000.000000,0.000000,21.480000,,,0.000000,-69083000.000000,7000000.000000,7000000.000000,7205000.000000,,,,,1438000.000000,2350000.000000,1.000000,20342484.000000,20271000.000000,20271000.000000,0.345000,130409000.000000,5637000.000000,0.000000,0.000000,6.433000
ARQ,2017-09-30,2017-11-07,2017-09-30,2017-Q3,109153000.000000,1535808365.000000,2025-05-06,-43000.000000,121945000.000000,,120327000.000000,1618000.000000,,4.973000,-13000.000000,26729000.000000,26729000.000000,0.000000,-9090000.000000,10.768000,0.203000,14269000.000000,5000000.000000,9269000.000000,14269000.000000,0.000000,46000.000000,0.000000,0.000000,0.000000,-8638000.000000,-8592000.000000,,-8592000.000000,-8638000.000000,-9090000.000000,-0.450000,-0.450000,-0.450000,101355000.000000,,101355000.000000,1523348365.000000,-58.000000,-58.225000,-3901000.000000,-0.191000,1.000000,0.000000,,0.000000,452000.000000,98311000.000000,,0.000000,90052000.000000,89053000.000000,999000.000000,20590000.000000,11174000.000000,9416000.000000,-4083000.000000,0.000000,311000.000000,0.000000,0.000000,300000.000000,-495000.000000,-482000.000000,-3888000.000000,0.000000,-9090000.000000,-9090000.000000,-9090000.000000,0.000000,0.000000,,9087000.000000,-9087000.000000,2557000.000000,0.000000,15.153000,-55.913000,-22.156000,513000.000000,0.000000,65.360000,157.454000,136.577000,0.000000,-78173000.000000,0.000000,0.000000,6697000.000000,,,,,942000.000000,2390000.000000,1.000000,23497680.000000,20382000.000000,20382000.000000,0.000000,121945000.000000,1486000.000000,0.000000,0.000000,5.983000
ARQ,2017-12-31,2018-03-05,2017-12-31,2017-Q4,238606000.000000,2832665469.000000,2025-05-06,-426000.000000,329364000.000000,,252696000.000000,76668000.000000,,13.301000,-124000.000000,81249000.000000,81249000.000000,0.000000,-6861000.000000,17.934000,0.071000,14428000.000000,6875000.000000,7553000.000000,14428000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-6405000.000000,-6358000.000000,-2.119000,-6358000.000000,-6405000.000000,-6861000.000000,-0.280000,-0.280000,-0.280000,307581000.000000,,307581000.000000,2765844469.000000,-98.000000,-98.387000,-4934000.000000,-0.213000,1.000000,3000000.000000,1.000000,0.000000,456000.000000,248453000.000000,,0.000000,243115000.000000,167218000.000000,75897000.000000,21783000.000000,14090000.000000,7693000.000000,54520000.000000,0.000000,212489000.000000,0.000000,0.000000,212387000.000000,-153057000.000000,-152933000.000000,-4810000.000000,0.000000,-6861000.000000,-6861000.000000,-6861000.000000,0.000000,0.000000,-2.287000,10151000.000000,-7151000.000000,2323000.000000,0.000000,9.209000,-94.202000,-78.270000,665000.000000,0.000000,118.970000,283.267000,235.346000,0.000000,-85034000.000000,3000000.000000,3000000.000000,7606000.000000,,,,,1132000.000000,2545000.000000,1.000000,23809914.000000,23124000.000000,23124000.000000,0.130000,329364000.000000,1601000.000000,0.000000,0.000000,14.243000
ARQ,2018-03-31,2018-05-08,2018-03-31,2018-Q1,237602000.000000,2082834355.000000,2025-05-06,-801000.000000,314837000.000000,,251945000.000000,62892000.000000,,12.375000,-232000.000000,69534000.000000,69534000.000000,0.000000,-15086000.000000,17.566000,0.069000,13334000.000000,7500000.000000,5834000.000000,13334000.000000,0.000000,54000.000000,0.000000,0.000000,0.000000,-14635000.000000,-14581000.000000,,-14581000.000000,-14635000.000000,-15086000.000000,-0.630000,-0.630000,-0.630000,294527000.000000,,294527000.000000,2026634355.000000,-63.000000,-63.881000,-12710000.000000,-0.534000,1.000000,0.000000,,0.000000,451000.000000,244294000.000000,,0.000000,240575000.000000,178691000.000000,61884000.000000,20310000.000000,14343000.000000,5967000.000000,-11715000.000000,0.000000,72000.000000,-1250000.000000,0.000000,-1383000.000000,2146000.000000,2378000.000000,-12478000.000000,0.000000,-15086000.000000,-15086000.000000,-15086000.000000,0.000000,0.000000,,15757000.000000,-15757000.000000,2416000.000000,0.000000,7.072000,-61.767000,-59.490000,659000.000000,0.000000,88.640000,208.283000,210.972000,0.000000,-100120000.000000,0.000000,0.000000,11810000.000000,,,,,2260000.000000,3947000.000000,1.000000,23497680.000000,23801000.000000,23801000.000000,0.000000,314837000.000000,1610000.000000,0.000000,0.000000,13.228000
ARQ,2018-06-30,2018-08-07,2018-06-30,2018-Q2,255029000.000000,1968585337.000000,2025-05-06,-677000.000000,306017000.000000,,271819000.000000,34198000.000000,,11.908000,-304000.000000,57117000.000000,57117000.000000,0.000000,-13618000.000000,16.189000,0.074000,11620000.000000,7500000.000000,4120000.000000,11620000.000000,0.000000,64000.000000,0.000000,0.000000,0.000000,-13182000.000000,-13118000.000000,,-13118000.000000,-13182000.000000,-13618000.000000,-0.570000,-0.570000,-0.570000,284979000.000000,,284979000.000000,1923088337.000000,-45.000000,-45.091000,-9182000.000000,-0.384000,1.000000,0.000000,,0.000000,436000.000000,243730000.000000,,0.000000,243582000.000000,210852000.000000,32730000.000000,21038000.000000,16790000.000000,4248000.000000,-12417000.000000,0.000000,1397000.000000,-1875000.000000,0.000000,-477000.000000,-3062000.000000,-2758000.000000,-8878000.000000,0.000000,-13618000.000000,-13618000.000000,-13618000.000000,0.000000,0.000000,,14415000.000000,-14415000.000000,4426000.000000,0.000000,6.908000,-44.084000,-42.435000,1086000.000000,0.000000,81.900000,656.195000,653.344000,0.000000,-113738000.000000,0.000000,0.000000,10583000.000000,,,,,2548000.000000,3832000.000000,1.000000,24036451.000000,23932000.000000,23932000.000000,0.000000,306017000.000000,152000.000000,0.000000,0.000000,12.787000
ARQ,2018-09-30,2018-11-08,2018-09-30,2018-Q3,482149000.000000,2167947881.000000,2025-05-06,-541000.000000,523121000.000000,,503022000.000000,20099000.000000,,20.694000,-321000.000000,293468000.000000,293468000.000000,0.000000,-15958000.000000,24.099000,0.047000,9909000.000000,7500000.000000,2409000.000000,9909000.000000,0.000000,91000.000000,0.000000,0.000000,0.000000,-15558000.000000,-15467000.000000,-3.093000,-15467000.000000,-15558000.000000,-15958000.000000,-0.660000,-0.660000,-0.660000,499677000.000000,,499677000.000000,1884388881.000000,-38.000000,-38.050000,-15181000.000000,-0.629000,1.000000,5000000.000000,1.000000,0.000000,400000.000000,218689000.000000,,0.000000,219022000.000000,200406000.000000,18616000.000000,23444000.000000,20873000.000000,2571000.000000,236351000.000000,0.000000,228145000.000000,-1875000.000000,0.000000,226596000.000000,24615000.000000,24936000.000000,-14860000.000000,0.000000,-15958000.000000,-15958000.000000,-15958000.000000,0.000000,0.000000,-3.192000,21887000.000000,-16887000.000000,6180000.000000,0.000000,4.339000,-42.077000,-37.869000,1344000.000000,0.000000,81.040000,270.993000,244.599000,5000000.000000,-129696000.000000,5000000.000000,5000000.000000,17883000.000000,,,,,2532000.000000,4004000.000000,1.000000,26751578.000000,24146000.000000,24146000.000000,0.207000,523121000.000000,173000.000000,0.000000,0.000000,21.665000
ARQ,2018-12-31,2019-02-28,2018-12-31,2018-Q4,412380000.000000,1858566040.000000,2025-05-06,-223000.000000,508997000.000000,,434216000.000000,74781000.000000,,18.142000,-206000.000000,113656000.000000,113656000.000000,0.000000,-16994000.000000,19.885000,0.047000,8199000.000000,7574000.000000,625000.000000,8199000.000000,0.000000,106000.000000,0.000000,0.000000,0.000000,-16821000.000000,-16715000.000000,,-16715000.000000,-16821000.000000,-17186000.000000,-0.640000,-0.640000,-0.640000,486365000.000000,,486365000.000000,1753109040.000000,-29.000000,-29.277000,-12496000.000000,-0.466000,1.000000,0.000000,,0.000000,365000.000000,381704000.000000,,0.000000,386614000.000000,313486000.000000,73128000.000000,22632000.000000,21836000.000000,796000.000000,-179812000.000000,0.000000,731000.000000,-1875000.000000,0.000000,-1372000.000000,-166150000.000000,-165944000.000000,-12290000.000000,0.000000,-16994000.000000,-16994000.000000,-16994000.000000,0.000000,0.000000,,19663000.000000,-19663000.000000,5443000.000000,0.000000,3.821000,-30.144000,-27.548000,1445000.000000,0.000000,68.870000,371.713000,339.846000,0.000000,-146690000.000000,0.000000,0.000000,15920000.000000,,,,,2621000.000000,3743000.000000,1.000000,26986584.000000,26809000.000000,26809000.000000,0.000000,508997000.000000,174000.000000,-192000.000000,0.000000,18.986000
