dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-04-30,1997-02-01,1997-Q4,1288000.000000,746173158.000000,2025-03-31,0.000000,105761000.000000,,44878000.000000,60883000.000000,,0.110000,,1945000.000000,1945000.000000,,,1.030000,8.411000,50000000.000000,0.000000,50000000.000000,50000000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,11238000.000000,,11238000.000000,794228158.000000,17.000000,13.752000,,,1.000000,,,0.000000,,110226000.000000,,40243000.000000,0.000000,0.000000,0.000000,94523000.000000,43590000.000000,50933000.000000,,,,,,,,,,,,,,,,,,,6414000.000000,,66.397000,30.241000,27.093000,58992000.000000,,7.315000,2.225000,2.225000,2102000.000000,-107253000.000000,,,,,,,,,,1.000000,102005900.000000,102005900.000000,,,105761000.000000,1885000.000000,,9371000.000000,1.037000
ARQ,1997-03-31,1997-06-12,1997-05-03,1998-Q1,-2075000.000000,969092454.000000,2025-03-31,0.000000,104686000.000000,,40603000.000000,64083000.000000,,0.107000,-6023000.000000,1921000.000000,1921000.000000,50375000.000000,565000.000000,0.951000,8.559000,50000000.000000,0.000000,50000000.000000,50000000.000000,0.000000,3478000.000000,0.000000,0.000000,0.000000,1980000.000000,5458000.000000,0.073000,5458000.000000,1980000.000000,945000.000000,0.005000,,0.005000,10951000.000000,,10951000.000000,1017171454.000000,,,-6094000.000000,-0.060000,1.000000,23941000.000000,0.322000,0.000000,1035000.000000,110087000.000000,,36705000.000000,0.000000,0.000000,0.000000,93735000.000000,42678000.000000,51057000.000000,-24000.000000,0.000000,-852000.000000,0.000000,0.000000,6070000.000000,-6023000.000000,0.000000,-71000.000000,0.000000,565000.000000,565000.000000,565000.000000,0.000000,0.000000,0.008000,21961000.000000,1980000.000000,7259000.000000,0.000000,88.494000,,,60993000.000000,0.000000,9.500000,,,1422000.000000,-106688000.000000,74316000.000000,74316000.000000,0.000000,,,,,0.000000,21961000.000000,1.000000,102009732.000000,102136000.000000,,0.728000,104686000.000000,3083000.000000,380000.000000,249000.000000,1.025000
ARQ,1997-06-30,1997-09-12,1997-08-02,1998-Q2,-2263000.000000,1371077272.000000,2025-03-31,0.000000,140400000.000000,,74032000.000000,66368000.000000,,0.127000,-6767000.000000,2317000.000000,2317000.000000,58854000.000000,2053000.000000,0.970000,9.783000,50000000.000000,0.000000,50000000.000000,50000000.000000,0.000000,3602000.000000,0.000000,0.000000,0.000000,4590000.000000,8192000.000000,0.095000,8192000.000000,4590000.000000,3423000.000000,0.020000,,0.020000,13020000.000000,,13020000.000000,1418760272.000000,,,-21089000.000000,-0.205000,1.000000,27786000.000000,0.321000,0.000000,1167000.000000,111788000.000000,,66651000.000000,0.000000,0.000000,0.000000,127380000.000000,76295000.000000,51085000.000000,396000.000000,0.000000,0.000000,0.000000,0.000000,21485000.000000,-6767000.000000,0.000000,-14322000.000000,0.000000,2053000.000000,2053000.000000,2053000.000000,0.000000,0.000000,0.024000,23196000.000000,4590000.000000,11606000.000000,0.000000,105.305000,,,64278000.000000,0.000000,13.440000,,,2669000.000000,-104635000.000000,86640000.000000,86640000.000000,0.000000,,,,,0.000000,23196000.000000,1.000000,102014678.000000,102644000.000000,,0.844000,140400000.000000,2085000.000000,1370000.000000,119000.000000,1.368000
ARQ,1997-09-30,1997-12-15,1997-11-01,1998-Q3,3830000.000000,1549628387.000000,2025-03-31,0.000000,137997000.000000,,67104000.000000,70893000.000000,,0.227000,-7102000.000000,2623000.000000,2623000.000000,95526000.000000,10403000.000000,1.061000,4.883000,50000000.000000,0.000000,50000000.000000,50000000.000000,0.000000,4684000.000000,0.000000,0.000000,0.000000,18409000.000000,23093000.000000,0.155000,23093000.000000,18409000.000000,17333000.000000,0.100000,,0.100000,23457000.000000,,23457000.000000,1597005387.000000,,,32639000.000000,0.316000,1.000000,52990000.000000,0.357000,0.000000,1076000.000000,122100000.000000,,60756000.000000,0.000000,0.000000,0.000000,114540000.000000,63274000.000000,51266000.000000,306000.000000,0.000000,852000.000000,0.000000,0.000000,-32333000.000000,-7102000.000000,0.000000,39741000.000000,0.000000,10403000.000000,10403000.000000,10403000.000000,0.000000,0.000000,0.070000,34581000.000000,18409000.000000,15645000.000000,0.000000,66.063000,,,66696000.000000,0.000000,15.190000,,,2433000.000000,-94232000.000000,148516000.000000,148516000.000000,0.000000,,,,,0.000000,34581000.000000,1.000000,102016352.000000,103188000.000000,,1.439000,137997000.000000,4191000.000000,6930000.000000,8157000.000000,1.337000
ARQ,1997-12-31,1998-04-29,1998-01-31,1998-Q4,42000000.000000,2197170044.000000,2025-03-31,0.000000,183238000.000000,,108962000.000000,74276000.000000,,0.576000,-9594000.000000,42667000.000000,42667000.000000,115782000.000000,35301000.000000,1.627000,2.118000,50000000.000000,0.000000,50000000.000000,50000000.000000,0.000000,4578000.000000,0.000000,0.000000,0.000000,59146000.000000,63724000.000000,0.300000,63724000.000000,59146000.000000,58841000.000000,0.350000,,0.350000,58775000.000000,,58775000.000000,2204503044.000000,26.000000,21.943000,65253000.000000,0.639000,1.000000,96363000.000000,0.454000,0.000000,305000.000000,123609000.000000,,39519000.000000,0.000000,0.000000,0.000000,124463000.000000,66962000.000000,57501000.000000,40044000.000000,0.000000,-929000.000000,0.000000,0.000000,-25209000.000000,-9594000.000000,0.000000,74847000.000000,0.000000,35301000.000000,35301000.000000,35301000.000000,0.000000,0.000000,0.166000,37217000.000000,59146000.000000,15968000.000000,0.000000,37.383000,45.469000,45.326000,70517000.000000,0.000000,21.530000,4.212000,4.212000,1695000.000000,-58931000.000000,212145000.000000,212145000.000000,0.000000,,,,,0.000000,37217000.000000,1.000000,102051558.000000,102051558.000000,,2.079000,183238000.000000,3759000.000000,23540000.000000,15851000.000000,1.796000
ARQ,1998-03-31,1998-06-15,1998-05-02,1999-Q1,29315000.000000,2227604486.000000,2025-03-31,0.000000,155221000.000000,,81503000.000000,73718000.000000,,0.893000,-4341000.000000,2671000.000000,2671000.000000,85019000.000000,6308000.000000,1.562000,0.698000,0.000000,0.000000,0.000000,0.000000,0.000000,5128000.000000,0.000000,0.000000,0.000000,10339000.000000,15467000.000000,0.115000,15467000.000000,10339000.000000,10508000.000000,0.060000,0.060000,0.060000,91439000.000000,,91439000.000000,2224933486.000000,24.000000,20.140000,-6117000.000000,-0.060000,1.000000,49211000.000000,0.367000,0.000000,-169000.000000,100362000.000000,,42524000.000000,0.000000,0.000000,0.000000,63782000.000000,52188000.000000,11594000.000000,-39996000.000000,0.000000,26356000.000000,-50000000.000000,0.000000,-33879000.000000,-4341000.000000,0.000000,-1776000.000000,0.000000,6308000.000000,6308000.000000,6308000.000000,0.000000,0.000000,0.047000,38872000.000000,10339000.000000,12615000.000000,0.000000,24.362000,41.202000,38.387000,68739000.000000,0.000000,20.345000,3.831000,3.583000,951000.000000,-52623000.000000,134230000.000000,134230000.000000,0.000000,,,,,0.000000,38872000.000000,1.000000,109491496.000000,102414000.000000,104952000.000000,1.311000,155221000.000000,4239000.000000,4200000.000000,1851000.000000,1.516000
ARQ,1998-06-30,1998-09-14,1998-08-01,1999-Q2,37628000.000000,2517654116.000000,2025-03-31,0.000000,211223000.000000,,132291000.000000,78932000.000000,,0.988000,-11013000.000000,45855000.000000,45855000.000000,91933000.000000,10598000.000000,1.397000,1.070000,0.000000,0.000000,0.000000,0.000000,0.000000,4824000.000000,0.000000,0.000000,0.000000,17098000.000000,21922000.000000,0.149000,21922000.000000,17098000.000000,17668000.000000,0.105000,0.100000,0.105000,102058000.000000,,102058000.000000,2471799116.000000,24.000000,19.901000,9143000.000000,0.089000,1.000000,55194000.000000,0.375000,0.000000,-570000.000000,70705000.000000,,81805000.000000,0.000000,0.000000,0.000000,109165000.000000,94663000.000000,14502000.000000,43184000.000000,0.000000,-481000.000000,0.000000,0.000000,34041000.000000,-11013000.000000,0.000000,20156000.000000,0.000000,10598000.000000,10598000.000000,10598000.000000,0.000000,0.000000,0.072000,38096000.000000,17098000.000000,36085000.000000,0.000000,24.669000,40.212000,39.634000,73987000.000000,0.000000,24.375000,3.921000,3.921000,3681000.000000,-42025000.000000,147127000.000000,147127000.000000,0.000000,,,,,0.000000,38096000.000000,1.000000,103288374.000000,103270000.000000,106232000.000000,1.425000,211223000.000000,4239000.000000,7070000.000000,3201000.000000,2.045000
ARQ,1998-09-30,1998-12-14,1998-10-31,1999-Q3,53725000.000000,2955604995.000000,2025-03-31,0.000000,238702000.000000,,159251000.000000,79451000.000000,,1.127000,-5639000.000000,74728000.000000,74728000.000000,140425000.000000,24943000.000000,1.509000,1.057000,0.000000,0.000000,0.000000,0.000000,0.000000,4651000.000000,0.000000,0.000000,0.000000,40783000.000000,45434000.000000,0.198000,45434000.000000,40783000.000000,41563000.000000,0.240000,0.235000,0.240000,116051000.000000,,116051000.000000,2880876995.000000,23.000000,19.658000,39823000.000000,0.387000,1.000000,89444000.000000,0.389000,0.000000,-780000.000000,58448000.000000,,81155000.000000,0.000000,0.000000,0.000000,122651000.000000,105526000.000000,17125000.000000,28873000.000000,0.000000,-11240000.000000,0.000000,0.000000,-10950000.000000,-5639000.000000,0.000000,45462000.000000,0.000000,24943000.000000,24943000.000000,24943000.000000,0.000000,0.000000,0.109000,48661000.000000,40783000.000000,38574000.000000,0.000000,25.468000,38.310000,38.079000,74991000.000000,0.000000,28.750000,4.086000,4.094000,2675000.000000,-17082000.000000,229869000.000000,229869000.000000,0.000000,,,,,0.000000,48661000.000000,1.000000,102803652.000000,103018000.000000,106092000.000000,2.231000,238702000.000000,3792000.000000,16620000.000000,4986000.000000,2.317000
ARQ,1998-12-31,1999-04-26,1999-01-30,1999-Q4,96007000.000000,5023445613.000000,2025-03-31,0.000000,319161000.000000,,218235000.000000,100926000.000000,,1.803000,-20883000.000000,163564000.000000,163564000.000000,154476000.000000,60213000.000000,1.785000,0.715000,0.000000,0.000000,0.000000,0.000000,0.000000,6343000.000000,0.000000,0.000000,0.000000,98738000.000000,105081000.000000,0.345000,105081000.000000,98738000.000000,100363000.000000,0.585000,0.565000,0.585000,186105000.000000,,186105000.000000,4859881613.000000,29.000000,25.864000,88358000.000000,0.856000,1.000000,150102000.000000,0.493000,0.000000,-1625000.000000,33369000.000000,,49879000.000000,0.000000,0.000000,0.000000,133056000.000000,122228000.000000,10828000.000000,88836000.000000,0.000000,0.000000,0.000000,0.000000,478000.000000,-20883000.000000,0.000000,109241000.000000,0.000000,60213000.000000,60213000.000000,60213000.000000,0.000000,0.000000,0.198000,51364000.000000,98738000.000000,24759000.000000,0.000000,26.993000,49.220000,49.146000,89558000.000000,0.000000,48.655000,6.158000,6.158000,4101000.000000,43131000.000000,304578000.000000,304578000.000000,0.000000,,,,,0.000000,51364000.000000,1.000000,103246236.000000,103246236.000000,,2.950000,319161000.000000,10737000.000000,40150000.000000,33587000.000000,3.091000
ARQ,1999-03-31,1999-06-14,1999-05-01,2000-Q1,106973000.000000,3995116323.000000,2025-03-31,0.000000,304164000.000000,,205182000.000000,98982000.000000,,1.886000,-5251000.000000,134735000.000000,134735000.000000,116390000.000000,12506000.000000,2.089000,0.563000,0.000000,0.000000,0.000000,0.000000,0.000000,7157000.000000,0.000000,0.000000,0.000000,20836000.000000,27993000.000000,0.149000,27993000.000000,20836000.000000,20836000.000000,0.120000,0.115000,0.120000,194616000.000000,,194616000.000000,3860381323.000000,22.000000,19.260000,-23230000.000000,-0.225000,1.000000,71904000.000000,0.382000,0.000000,0.000000,71220000.000000,,65950000.000000,0.000000,0.000000,0.000000,109548000.000000,98209000.000000,11339000.000000,-28829000.000000,0.000000,-5599000.000000,0.000000,0.000000,-5599000.000000,-5251000.000000,0.000000,-17979000.000000,0.000000,12506000.000000,12506000.000000,12506000.000000,0.000000,0.000000,0.066000,52955000.000000,18949000.000000,24975000.000000,0.000000,20.528000,36.903000,36.848000,87652000.000000,0.000000,38.690000,4.593000,4.590000,3792000.000000,55637000.000000,188294000.000000,188294000.000000,0.000000,,,,,0.000000,52955000.000000,1.000000,103259662.000000,103194000.000000,108672000.000000,1.825000,304164000.000000,10737000.000000,8330000.000000,10813000.000000,2.947000
