dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-26,1996-12-31,1996-Q4,14691000.000000,129469952.000000,2025-04-30,444000.000000,43431000.000000,,25148000.000000,18283000.000000,,0.546000,,17069000.000000,17069000.000000,,,2.405000,0.317000,0.000000,0.000000,0.000000,0.000000,5312000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,32974000.000000,,32974000.000000,112400952.000000,29.000000,7.090000,,,1.000000,,,3949000.000000,,11956000.000000,,0.000000,673000.000000,0.000000,673000.000000,10457000.000000,10457000.000000,0.000000,,,,,,,,,,,,,,,,,,,486000.000000,,3.926000,99.287000,111.111000,4334000.000000,,2.000000,2.751000,2.564000,7307000.000000,-3073000.000000,,,,,,,,,,1.000000,64734976.000000,60348000.000000,,,39482000.000000,9749000.000000,,677000.000000,0.654000
ARQ,1997-03-31,1997-04-23,1997-03-31,1997-Q1,16886000.000000,91028216.000000,2025-04-30,424000.000000,44612000.000000,,27690000.000000,16922000.000000,,0.508000,-1235000.000000,19933000.000000,19933000.000000,1191000.000000,659000.000000,2.563000,0.320000,0.000000,0.000000,0.000000,0.000000,6914000.000000,2577000.000000,0.000000,0.000000,0.000000,1045000.000000,3622000.000000,0.302000,3622000.000000,1045000.000000,1045000.000000,0.010000,0.010000,0.010000,33808000.000000,,33808000.000000,71095216.000000,,,2670000.000000,0.040000,1.000000,10822000.000000,0.901000,1827000.000000,0.000000,12048000.000000,,0.000000,643000.000000,0.000000,643000.000000,10804000.000000,10804000.000000,0.000000,2864000.000000,0.000000,166000.000000,28000.000000,0.000000,194000.000000,-1235000.000000,0.000000,3905000.000000,0.000000,659000.000000,659000.000000,659000.000000,0.000000,0.000000,0.055000,9924000.000000,898000.000000,146000.000000,0.000000,2.693000,,,5115000.000000,0.000000,1.406000,,,6783000.000000,-2413000.000000,12013000.000000,12013000.000000,2770000.000000,,,,,0.000000,4901000.000000,1.000000,64731176.000000,66496000.000000,66496000.000000,0.181000,42785000.000000,9759000.000000,386000.000000,5000.000000,0.643000
ARQ,1997-06-30,1997-08-11,1997-06-30,1997-Q2,19202000.000000,129076809.000000,2025-04-30,244000.000000,47737000.000000,,31036000.000000,16701000.000000,,0.539000,-470000.000000,17960000.000000,17960000.000000,1326000.000000,2274000.000000,2.623000,0.330000,0.000000,0.000000,0.000000,0.000000,7942000.000000,511000.000000,0.000000,0.000000,0.000000,3608000.000000,4119000.000000,0.328000,4119000.000000,3608000.000000,3608000.000000,0.035000,0.035000,0.035000,35903000.000000,,35903000.000000,111116809.000000,,,2094000.000000,0.031000,1.000000,11231000.000000,0.894000,1714000.000000,0.000000,16229000.000000,,0.000000,4438000.000000,4068000.000000,370000.000000,11834000.000000,11834000.000000,0.000000,-1973000.000000,0.000000,1000.000000,0.000000,0.000000,1000.000000,-4538000.000000,-4068000.000000,2564000.000000,0.000000,2274000.000000,2274000.000000,2274000.000000,0.000000,0.000000,0.181000,7897000.000000,3334000.000000,412000.000000,0.000000,3.595000,,,5186000.000000,0.000000,1.984000,,,6948000.000000,-140000.000000,12557000.000000,12557000.000000,3033000.000000,,,,,0.000000,4687000.000000,1.000000,65042484.000000,66572000.000000,66572000.000000,0.189000,46023000.000000,9866000.000000,1334000.000000,0.000000,0.691000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,21293000.000000,142490985.000000,2025-04-30,244000.000000,50124000.000000,,33631000.000000,16493000.000000,,0.564000,-459000.000000,14511000.000000,14511000.000000,1264000.000000,1719000.000000,2.726000,0.327000,0.000000,0.000000,0.000000,0.000000,8182000.000000,512000.000000,0.000000,0.000000,0.000000,2729000.000000,3241000.000000,0.282000,3241000.000000,2729000.000000,2729000.000000,0.025000,0.025000,0.025000,37786000.000000,,37786000.000000,127979985.000000,,,2761000.000000,0.041000,1.000000,10225000.000000,0.890000,1760000.000000,0.000000,21515000.000000,,0.000000,10811000.000000,10441000.000000,370000.000000,12338000.000000,12338000.000000,0.000000,-3449000.000000,0.000000,164000.000000,0.000000,0.000000,164000.000000,-6833000.000000,-6374000.000000,3220000.000000,0.000000,1719000.000000,1719000.000000,1719000.000000,0.000000,0.000000,0.150000,7721000.000000,2504000.000000,155000.000000,0.000000,3.771000,,,5088000.000000,0.000000,2.188000,,,6573000.000000,1580000.000000,11489000.000000,11489000.000000,2538000.000000,,,,,0.000000,5006000.000000,1.000000,65138736.000000,67032000.000000,67032000.000000,0.171000,48364000.000000,9702000.000000,1010000.000000,0.000000,0.722000
ARQ,1997-12-31,1998-03-23,1997-12-31,1997-Q4,23761000.000000,154942872.000000,2025-04-30,120000.000000,53581000.000000,,36928000.000000,16653000.000000,,0.642000,-128000.000000,13990000.000000,13990000.000000,1417000.000000,2747000.000000,2.805000,0.326000,0.000000,0.000000,0.000000,0.000000,8191000.000000,570000.000000,0.000000,0.000000,0.000000,4260000.000000,4830000.000000,0.333000,4830000.000000,4260000.000000,4259000.000000,0.047000,0.042000,0.047000,40414000.000000,,40414000.000000,140952872.000000,12.000000,8.914000,2885000.000000,0.046000,1.000000,13070000.000000,0.902000,2634000.000000,1000.000000,23790000.000000,,0.000000,14035000.000000,13853000.000000,182000.000000,13167000.000000,13167000.000000,0.000000,-521000.000000,0.000000,5000.000000,-28000.000000,0.000000,-23000.000000,-3511000.000000,-3383000.000000,3013000.000000,0.000000,2747000.000000,2747000.000000,2747000.000000,0.000000,0.000000,0.190000,9076000.000000,3994000.000000,235000.000000,0.000000,3.834000,20.938000,20.299000,4771000.000000,0.000000,2.375000,3.065000,2.959000,8034000.000000,4327000.000000,14487000.000000,14487000.000000,2663000.000000,,,,,0.000000,6223000.000000,1.000000,65239104.000000,62968000.000000,64236000.000000,0.230000,50947000.000000,9191000.000000,1512000.000000,46000.000000,0.809000
ARQ,1998-03-31,1998-04-27,1998-03-31,1998-Q1,27304000.000000,165283876.000000,2025-04-30,190000.000000,57181000.000000,,41135000.000000,16046000.000000,,0.681000,-170000.000000,14024000.000000,14024000.000000,1541000.000000,2767000.000000,2.974000,0.319000,0.000000,0.000000,0.000000,0.000000,9114000.000000,660000.000000,0.000000,0.000000,0.000000,4192000.000000,4852000.000000,0.341000,4852000.000000,4192000.000000,4192000.000000,0.043000,0.043000,0.043000,43350000.000000,,43350000.000000,151259876.000000,10.000000,8.876000,5325000.000000,0.084000,1.000000,12686000.000000,0.892000,2476000.000000,0.000000,26850000.000000,,0.000000,19529000.000000,19242000.000000,287000.000000,13831000.000000,13831000.000000,0.000000,34000.000000,0.000000,99000.000000,0.000000,0.000000,99000.000000,-5559000.000000,-5389000.000000,5495000.000000,0.000000,2767000.000000,2767000.000000,2767000.000000,0.000000,0.000000,0.194000,8851000.000000,3835000.000000,272000.000000,0.000000,3.813000,17.385000,16.883000,4440000.000000,0.000000,2.533000,3.133000,3.057000,6929000.000000,7094000.000000,14227000.000000,14227000.000000,3093000.000000,,,,,0.000000,5537000.000000,1.000000,65265104.000000,63684000.000000,66804000.000000,0.223000,54705000.000000,8968000.000000,1425000.000000,836000.000000,0.859000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,30636000.000000,135147226.000000,2025-04-30,120000.000000,59963000.000000,,44429000.000000,15534000.000000,,0.722000,-384000.000000,5571000.000000,5571000.000000,1483000.000000,2720000.000000,3.221000,0.299000,0.000000,0.000000,0.000000,0.000000,9085000.000000,682000.000000,0.000000,0.000000,0.000000,4060000.000000,4742000.000000,0.350000,4742000.000000,4060000.000000,4060000.000000,0.043000,0.040000,0.043000,46170000.000000,,46170000.000000,129576226.000000,9.000000,7.335000,3592000.000000,0.056000,1.000000,12079000.000000,0.891000,2319000.000000,0.000000,38280000.000000,,0.000000,31641000.000000,31459000.000000,182000.000000,13793000.000000,13793000.000000,0.000000,-8453000.000000,0.000000,171000.000000,0.000000,0.000000,171000.000000,-12601000.000000,-12217000.000000,3976000.000000,0.000000,2720000.000000,2720000.000000,2720000.000000,0.000000,0.000000,0.201000,8527000.000000,3552000.000000,180000.000000,0.000000,2.927000,13.579000,13.054000,4297000.000000,0.000000,2.062000,2.514000,2.453000,6072000.000000,9814000.000000,13562000.000000,13562000.000000,2938000.000000,,,,,0.000000,5367000.000000,1.000000,65525928.000000,63944000.000000,67172000.000000,0.212000,57644000.000000,9286000.000000,1340000.000000,0.000000,0.901000
ARQ,1998-09-30,1998-11-09,1998-09-30,1998-Q3,33876000.000000,131051664.000000,2025-04-30,120000.000000,63392000.000000,,48264000.000000,15128000.000000,,0.762000,-475000.000000,4751000.000000,4751000.000000,1515000.000000,2710000.000000,3.354000,0.294000,0.000000,0.000000,0.000000,0.000000,8803000.000000,670000.000000,0.000000,0.000000,0.000000,4110000.000000,4780000.000000,0.354000,4780000.000000,4110000.000000,4110000.000000,0.043000,0.040000,0.043000,49004000.000000,,49004000.000000,126300664.000000,8.000000,6.577000,2874000.000000,0.045000,1.000000,11992000.000000,0.888000,2485000.000000,0.000000,41768000.000000,,0.000000,35457000.000000,35275000.000000,182000.000000,14388000.000000,14388000.000000,0.000000,-820000.000000,0.000000,122000.000000,0.000000,0.000000,122000.000000,-4291000.000000,-3816000.000000,3349000.000000,0.000000,2710000.000000,2710000.000000,2710000.000000,0.000000,0.000000,0.201000,8415000.000000,3577000.000000,229000.000000,0.000000,2.674000,11.975000,11.429000,3937000.000000,0.000000,2.000000,2.349000,2.306000,7326000.000000,12525000.000000,13507000.000000,13507000.000000,2663000.000000,,,,,0.000000,5534000.000000,1.000000,65525832.000000,64320000.000000,66688000.000000,0.210000,60907000.000000,8604000.000000,1400000.000000,248000.000000,0.947000
ARQ,1998-12-31,1999-03-24,1998-12-31,1998-Q4,38049000.000000,127144113.000000,2025-04-30,120000.000000,67998000.000000,,53680000.000000,14318000.000000,,0.809000,-210000.000000,6589000.000000,6589000.000000,1526000.000000,3152000.000000,3.434000,0.298000,0.000000,0.000000,0.000000,0.000000,9540000.000000,698000.000000,0.000000,0.000000,0.000000,4775000.000000,5473000.000000,0.359000,5473000.000000,4775000.000000,4775000.000000,0.050000,0.048000,0.050000,52367000.000000,,52367000.000000,120555113.000000,7.000000,6.074000,2616000.000000,0.040000,1.000000,13731000.000000,0.900000,2716000.000000,0.000000,43062000.000000,,0.000000,36320000.000000,36138000.000000,182000.000000,15631000.000000,15631000.000000,0.000000,1838000.000000,0.000000,61000.000000,0.000000,0.000000,61000.000000,-1049000.000000,-839000.000000,2826000.000000,0.000000,3152000.000000,3152000.000000,3152000.000000,0.000000,0.000000,0.207000,9489000.000000,4242000.000000,205000.000000,0.000000,2.428000,11.203000,10.946000,3748000.000000,0.000000,1.938000,2.248000,2.200000,8943000.000000,15676000.000000,15257000.000000,15257000.000000,2933000.000000,,,,,0.000000,6333000.000000,1.000000,65622768.000000,64760000.000000,65688000.000000,0.236000,65282000.000000,7834000.000000,1623000.000000,0.000000,1.008000
ARQ,1999-03-31,1999-05-04,1999-03-31,1999-Q1,41838000.000000,141613064.000000,2025-04-30,120000.000000,73284000.000000,,58876000.000000,14408000.000000,,0.864000,-1018000.000000,8033000.000000,8033000.000000,1625000.000000,3717000.000000,3.456000,0.303000,0.000000,0.000000,0.000000,0.000000,11612000.000000,704000.000000,0.000000,0.000000,0.000000,5124000.000000,5828000.000000,0.367000,5828000.000000,5124000.000000,5124000.000000,0.058000,0.055000,0.058000,56246000.000000,,56246000.000000,133580064.000000,7.000000,6.415000,5427000.000000,0.083000,1.000000,14243000.000000,0.898000,2762000.000000,0.000000,45451000.000000,,0.000000,40465000.000000,40283000.000000,182000.000000,17038000.000000,17038000.000000,0.000000,1444000.000000,0.000000,162000.000000,0.000000,0.000000,162000.000000,-5163000.000000,-4145000.000000,6445000.000000,0.000000,3717000.000000,3717000.000000,3717000.000000,0.000000,0.000000,0.234000,9669000.000000,4574000.000000,614000.000000,0.000000,2.518000,11.514000,11.172000,4016000.000000,0.000000,2.156000,2.433000,2.412000,8262000.000000,19393000.000000,15868000.000000,15868000.000000,3445000.000000,,,,,0.000000,6004000.000000,1.000000,65675624.000000,65084000.000000,67224000.000000,0.244000,70522000.000000,7610000.000000,1407000.000000,0.000000,1.084000
