dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-09-30,2001-11-14,2001-09-30,2001-Q3,2303.000000,,2025-04-14,0.000000,3303.000000,,3303.000000,0.000000,,0.007000,0.000000,3303.000000,3303.000000,0.000000,-5635.000000,3.303000,0.434000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-5635.000000,-5635.000000,-1.417000,-5635.000000,-5635.000000,-5635.000000,,,,2303.000000,,2303.000000,,,,-9300.000000,-0.027000,1.000000,3976.000000,1.000000,0.000000,0.000000,-1000.000000,,0.000000,0.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-9300.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9300.000000,0.000000,-5635.000000,-5635.000000,-5635.000000,0.000000,0.000000,-1.417000,9611.000000,-5635.000000,1000.000000,,,,,0.000000,0.000000,,,,0.000000,-15472.000000,3976.000000,3976.000000,0.000000,,,,,0.000000,9218.000000,1.000000,339653.000000,339653.000000,339653.000000,0.012000,3303.000000,0.000000,0.000000,0.000000,0.010000
ARQ,2001-12-31,2002-03-25,2001-12-31,2001-Q4,-2534.000000,,2025-04-14,0.000000,2466.000000,,2466.000000,0.000000,,-0.008000,,2466.000000,2466.000000,,,0.493000,-1.973000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-2534.000000,,-2534.000000,,,,,,1.000000,,,0.000000,,-5000.000000,,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,,,,,,,,,,,,,,,,,,,5000.000000,,,,,0.000000,,,,,0.000000,-19869.000000,,,,,,,,,,1.000000,315209.000000,336088.000000,,,2466.000000,0.000000,,0.000000,0.007000
ARQ,2002-03-31,2002-05-13,2002-03-31,2002-Q1,-11918.000000,,2025-04-14,0.000000,25912.000000,,25912.000000,0.000000,,-0.038000,0.000000,943.000000,943.000000,0.000000,-9884.000000,0.685000,-3.174000,25000.000000,25000.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,,0.000000,-9884.000000,-9884.000000,-7.644000,-9884.000000,-9884.000000,-9884.000000,,,,-11918.000000,,-11918.000000,,,,-1523.000000,-0.005000,1.000000,1293.000000,1.000000,0.000000,0.000000,12139.000000,,0.000000,0.000000,0.000000,0.000000,37830.000000,37830.000000,0.000000,-1523.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1523.000000,0.000000,-9884.000000,-9884.000000,-9884.000000,0.000000,0.000000,-7.644000,11177.000000,-9884.000000,12830.000000,,,,,0.000000,0.000000,,,,0.000000,-29753.000000,1293.000000,1293.000000,0.000000,,,,,0.000000,10690.000000,1.000000,315209.000000,315209.000000,315209.000000,0.004000,25912.000000,0.000000,0.000000,0.000000,0.082000
ARQ,2002-06-30,2002-08-19,2002-06-30,2002-Q2,-56170.000000,19858960.000000,2025-04-14,0.000000,663.000000,,663.000000,0.000000,,-0.178000,0.000000,663.000000,663.000000,0.000000,-44827.000000,0.012000,-1.012000,25000.000000,25000.000000,0.000000,25000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-44027.000000,-44027.000000,,-44027.000000,-44027.000000,-44027.000000,,,,-56170.000000,,-56170.000000,19883297.000000,,,-25280.000000,-0.080000,1.000000,0.000000,,0.000000,0.000000,-31833.000000,,0.000000,0.000000,0.000000,0.000000,56833.000000,56833.000000,0.000000,-280.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25280.000000,0.000000,-44827.000000,-44827.000000,-44827.000000,0.000000,0.000000,,43578.000000,-43578.000000,31833.000000,,-353.551000,,,0.000000,0.000000,19.566000,,,0.000000,-74580.000000,0.000000,0.000000,0.000000,,,,,0.000000,43548.000000,1.000000,1014973.000000,315209.000000,315209.000000,0.000000,663.000000,0.000000,800.000000,0.000000,0.002000
ARQ,2003-03-31,2003-04-03,2003-02-28,2003-Q1,1077191.000000,11067850.000000,2025-04-14,0.000000,1732056.000000,,1483468.000000,248588.000000,,1.615000,,1228142.000000,1228142.000000,350194.000000,-154983.000000,3.651000,0.308000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-154137.000000,,,,-154137.000000,-154137.000000,-0.180000,,-0.180000,1324603.000000,,1324603.000000,9839708.000000,,,,,1.000000,137105.000000,0.281000,125672.000000,0.000000,-28035.000000,,0.000000,0.000000,0.000000,0.000000,407453.000000,406277.000000,1176.000000,,,,,,,,,,,-154983.000000,-154983.000000,-154983.000000,0.000000,0.000000,-0.318000,293073.000000,-155968.000000,303974.000000,0.000000,8.356000,,,122916.000000,0.000000,13.500000,,,221338.000000,-2234853.000000,487299.000000,487299.000000,8375.000000,,,,,,270892.000000,1.000000,819841.000000,820014.000000,,0.594000,1606384.000000,0.000000,846.000000,0.000000,1.959000
ARQ,2003-06-30,2003-08-19,2003-05-31,2003-Q4,904628.000000,51679111.000000,2025-04-14,0.000000,1519826.000000,,1277113.000000,242713.000000,,1.742000,-2950.000000,1039693.000000,1039693.000000,424975.000000,-225170.000000,3.429000,0.326000,0.000000,0.000000,0.000000,0.000000,0.000000,17727.000000,0.000000,0.000000,0.000000,-224207.000000,-206480.000000,-0.189000,-206480.000000,-224207.000000,-224207.000000,-0.180000,,-0.180000,1146165.000000,,1146165.000000,50639418.000000,-54.000000,-57.489000,-179547.000000,-0.273000,1.000000,668122.000000,0.611000,130834.000000,0.000000,-23186.000000,,0.000000,0.000000,0.000000,0.000000,373661.000000,372485.000000,1176.000000,-188449.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-11852.000000,0.000000,-176597.000000,0.000000,-225170.000000,-225170.000000,-225170.000000,0.000000,0.000000,-0.206000,365465.000000,302657.000000,245678.000000,0.000000,45.089000,-54.746000,-40.625000,111879.000000,0.000000,58.500000,47.278000,35.215000,212692.000000,-2460023.000000,1093097.000000,1093097.000000,15246.000000,,,,,46732.000000,332492.000000,1.000000,883404.000000,658012.000000,,1.661000,1388992.000000,0.000000,963.000000,0.000000,2.111000
ARQ,2003-09-30,2003-10-10,2003-08-31,2004-Q1,2238937.000000,43728478.000000,2025-04-14,0.000000,3020507.000000,,2630348.000000,390159.000000,,3.106000,-153606.000000,2261736.000000,2261736.000000,358884.000000,-226641.000000,6.720000,0.149000,0.000000,0.000000,0.000000,0.000000,0.000000,18961.000000,0.000000,0.000000,0.000000,-226189.000000,-207228.000000,-0.389000,-207228.000000,-226189.000000,-226189.000000,-0.180000,,-0.180000,2629096.000000,,2629096.000000,41466742.000000,,,-465156.000000,-0.550000,1.000000,173331.000000,0.326000,141505.000000,0.000000,225855.000000,,0.000000,0.000000,0.000000,0.000000,391411.000000,391411.000000,0.000000,1222043.000000,0.000000,1700000.000000,0.000000,0.000000,1700000.000000,-166407.000000,0.000000,-311550.000000,0.000000,-226641.000000,-226641.000000,-226641.000000,0.000000,0.000000,-0.426000,400498.000000,-227167.000000,288597.000000,0.000000,16.633000,,,248654.000000,0.000000,49.500000,,,285642.000000,-2686664.000000,532215.000000,532215.000000,27826.000000,,,,,8396.000000,353711.000000,1.000000,883404.000000,846365.000000,,0.629000,2879002.000000,0.000000,452.000000,0.000000,3.402000
ARQ,2003-12-31,2003-12-30,2003-11-30,2004-Q2,1978921.000000,24016210.000000,2025-04-14,0.000000,3024989.000000,,2582139.000000,442850.000000,,2.741000,-67153.000000,1904284.000000,1904284.000000,552928.000000,-215721.000000,4.281000,0.249000,0.000000,0.000000,0.000000,0.000000,0.000000,18961.000000,0.000000,0.000000,0.000000,-215519.000000,-196558.000000,-0.258000,-196558.000000,-215519.000000,-215519.000000,-0.180000,,-0.180000,2421771.000000,,2421771.000000,22111926.000000,-27.000000,,-352953.000000,-0.400000,1.000000,209324.000000,0.275000,143874.000000,0.000000,373613.000000,,0.000000,0.000000,0.000000,0.000000,603218.000000,603218.000000,0.000000,-357452.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-71652.000000,0.000000,-285800.000000,0.000000,-215721.000000,-215721.000000,-215721.000000,0.000000,0.000000,-0.283000,426658.000000,-217334.000000,471872.000000,0.000000,9.917000,-29.199000,-37.758000,298976.000000,0.000000,27.186000,8.354000,8.354000,433943.000000,-2902385.000000,762252.000000,762252.000000,59540.000000,,,,,8396.000000,348157.000000,1.000000,883404.000000,883404.000000,,0.863000,2881115.000000,0.000000,202.000000,0.000000,3.261000
ARQ,2004-03-31,2004-04-06,2004-02-29,2004-Q3,9612705.000000,20828567.000000,2025-04-14,0.000000,10800872.000000,,10382681.000000,418191.000000,,9.870000,11133.000000,9829711.000000,9829711.000000,621909.000000,6411.000000,13.484000,0.077000,0.000000,0.000000,0.000000,0.000000,0.000000,23534.000000,0.000000,0.000000,0.000000,13760.000000,37294.000000,0.037000,37294.000000,13760.000000,13760.000000,0.000000,,0.000000,10030896.000000,,10030896.000000,10998856.000000,-17.000000,-19.196000,341117.000000,0.336000,1.000000,387014.000000,0.384000,151952.000000,0.000000,49233.000000,,0.000000,0.000000,0.000000,0.000000,769976.000000,769976.000000,0.000000,7925427.000000,0.000000,7594318.000000,0.000000,0.000000,7594318.000000,1125.000000,0.000000,329984.000000,0.000000,6411.000000,6411.000000,6411.000000,0.000000,0.000000,0.006000,377923.000000,9091.000000,623741.000000,,2.076000,-31.505000,-27.778000,266239.000000,0.000000,15.000000,6.132000,4.488000,507958.000000,-2895974.000000,1008923.000000,1008923.000000,60990.000000,,,,,8396.000000,293399.000000,1.000000,1388571.000000,1016316.000000,,0.993000,10648920.000000,0.000000,7349.000000,0.000000,10.478000
ARQ,2004-06-30,2004-08-25,2004-05-31,2004-Q4,9050479.000000,9831083.000000,2025-04-14,-119501.000000,10716893.000000,,9807649.000000,909244.000000,,9.648000,-15179.000000,2180863.000000,2180863.000000,858445.000000,11737.000000,12.953000,0.076000,0.000000,0.000000,0.000000,0.000000,0.000000,26597.000000,0.000000,0.000000,0.000000,19629.000000,46226.000000,0.036000,46226.000000,19629.000000,19629.000000,0.060000,,0.060000,9959723.000000,,9959723.000000,7650220.000000,-19.000000,-23.887000,-154272.000000,-0.149000,1.000000,431949.000000,0.335000,149990.000000,0.000000,7628870.000000,,0.000000,7371426.000000,6871424.000000,500002.000000,757170.000000,757170.000000,0.000000,-7648848.000000,0.000000,-1180.000000,0.000000,0.000000,-1180.000000,-7508575.000000,-7490927.000000,-139093.000000,0.000000,11737.000000,11737.000000,11737.000000,0.000000,0.000000,0.009000,444607.000000,-12658.000000,615911.000000,0.000000,0.987000,-23.175000,-16.857000,259252.000000,0.000000,7.080000,2.736000,2.034000,726522.000000,-2884237.000000,1290394.000000,1290394.000000,33185.000000,,,,,37771.000000,384825.000000,1.000000,1388571.000000,1032345.000000,,1.250000,10566903.000000,0.000000,7892.000000,0.000000,10.236000
