dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-04-29,2018-12-31,2018-Q4,15818000.000000,,2025-05-14,0.000000,20246000.000000,,20246000.000000,0.000000,,-3.573000,,18748000.000000,18748000.000000,,,4.572000,-0.226000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-19592000.000000,,-19592000.000000,,,,,,1.000000,,,0.000000,,-2930000.000000,,0.000000,0.000000,0.000000,0.000000,4428000.000000,4428000.000000,0.000000,,,,,,,,,,,,,,,,,,,3015000.000000,,,,,0.000000,,,,,0.000000,-21257000.000000,,,,,,,,,,1.000000,17052202.000000,5483149.000000,,,20246000.000000,0.000000,,0.000000,3.692000
ARQ,2019-03-31,2019-06-21,2019-03-31,2019-Q1,10544000.000000,147331025.000000,2025-05-14,0.000000,16872000.000000,,16872000.000000,0.000000,,-5.063000,0.000000,14686000.000000,14686000.000000,0.000000,-8730000.000000,2.666000,-0.227000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8729000.000000,-8729000.000000,,-8729000.000000,-8729000.000000,-8730000.000000,-1.580000,-1.580000,-1.580000,-27917000.000000,,-27917000.000000,132645025.000000,,,-7002000.000000,-1.270000,1.000000,0.000000,,0.000000,1000.000000,-4142000.000000,,0.000000,0.000000,0.000000,0.000000,6328000.000000,6328000.000000,0.000000,-4062000.000000,0.000000,0.000000,0.000000,0.000000,2940000.000000,0.000000,0.000000,-7002000.000000,0.000000,-8730000.000000,-8730000.000000,-8730000.000000,0.000000,0.000000,,8729000.000000,-8729000.000000,2649000.000000,0.000000,-5.277000,,,0.000000,0.000000,8.640000,,,0.000000,-29987000.000000,0.000000,0.000000,6874000.000000,,,,,325000.000000,1855000.000000,1.000000,17052202.000000,5513531.000000,5513531.000000,0.000000,16872000.000000,0.000000,0.000000,0.000000,3.060000
ARQ,2019-06-30,2019-08-12,2019-06-30,2019-Q2,40004000.000000,158073913.000000,2025-05-14,0.000000,46784000.000000,,46784000.000000,0.000000,,2.869000,0.000000,41076000.000000,41076000.000000,0.000000,-8437000.000000,6.900000,0.169000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8437000.000000,-8437000.000000,,-8437000.000000,-8437000.000000,-8437000.000000,-0.600000,-0.600000,-0.600000,40004000.000000,,40004000.000000,116997913.000000,,,-9059000.000000,-0.650000,1.000000,0.000000,,0.000000,0.000000,-1072000.000000,,0.000000,0.000000,0.000000,0.000000,6780000.000000,6780000.000000,0.000000,26390000.000000,0.000000,37200000.000000,0.000000,0.000000,35449000.000000,0.000000,0.000000,-9059000.000000,0.000000,-8437000.000000,-8437000.000000,-8437000.000000,0.000000,0.000000,,8437000.000000,-8437000.000000,3987000.000000,0.000000,3.951000,,,0.000000,0.000000,9.270000,,,0.000000,-38424000.000000,0.000000,0.000000,4254000.000000,,,,,3279000.000000,4183000.000000,1.000000,17052202.000000,13945939.000000,13945939.000000,0.000000,46784000.000000,0.000000,0.000000,0.000000,3.355000
ARQ,2019-09-30,2019-11-13,2019-09-30,2019-Q3,30517000.000000,256841508.000000,2025-05-14,11000.000000,37264000.000000,,37034000.000000,230000.000000,,1.799000,0.000000,13065000.000000,13065000.000000,0.000000,-10713000.000000,5.683000,0.212000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10747000.000000,-10747000.000000,,-10747000.000000,-10747000.000000,-10713000.000000,-0.630000,-0.630000,-0.630000,30747000.000000,,30747000.000000,243776508.000000,,,-7839000.000000,-0.459000,1.000000,0.000000,,0.000000,-34000.000000,17682000.000000,,0.000000,19889000.000000,19889000.000000,0.000000,6517000.000000,6517000.000000,0.000000,-28011000.000000,0.000000,227000.000000,0.000000,0.000000,-294000.000000,0.000000,0.000000,-7839000.000000,0.000000,-10713000.000000,-10713000.000000,-10713000.000000,0.000000,0.000000,,10747000.000000,-10747000.000000,1688000.000000,0.000000,8.353000,,,0.000000,0.000000,14.990000,,,0.000000,-49137000.000000,0.000000,0.000000,7453000.000000,,,,,1219000.000000,3294000.000000,1.000000,17134190.000000,17095870.000000,17095870.000000,0.000000,37264000.000000,0.000000,0.000000,0.000000,2.180000
ARQ,2019-12-31,2020-03-13,2019-12-31,2019-Q4,32056000.000000,611404979.000000,2025-05-14,-2000.000000,48389000.000000,,46155000.000000,2234000.000000,,2.541000,0.000000,18850000.000000,18850000.000000,0.000000,-17633000.000000,3.274000,0.484000,2039000.000000,356000.000000,1683000.000000,2039000.000000,0.000000,23000.000000,0.000000,0.000000,0.000000,-17693000.000000,-17670000.000000,,-17670000.000000,-17693000.000000,-17633000.000000,-1.570000,-1.570000,-1.570000,32607000.000000,,32607000.000000,594593979.000000,-13.000000,-13.044000,-12407000.000000,-0.967000,1.000000,0.000000,,0.000000,-60000.000000,17479000.000000,,0.000000,20004000.000000,20004000.000000,0.000000,15782000.000000,14099000.000000,1683000.000000,5785000.000000,0.000000,18509000.000000,0.000000,0.000000,18320000.000000,-128000.000000,-128000.000000,-12407000.000000,0.000000,-17633000.000000,-17633000.000000,-17633000.000000,0.000000,0.000000,,17669000.000000,-17669000.000000,8793000.000000,0.000000,18.751000,-13.434000,-7.839000,2035000.000000,0.000000,27.830000,,,0.000000,-66770000.000000,0.000000,0.000000,13768000.000000,,,,,1348000.000000,3901000.000000,1.000000,21969277.000000,12831221.000000,12831221.000000,0.000000,48389000.000000,0.000000,0.000000,0.000000,3.771000
ARQ,2020-03-31,2020-05-11,2020-03-31,2020-Q1,155275000.000000,1082031217.000000,2025-05-14,89000.000000,165882000.000000,,163741000.000000,2141000.000000,,7.477000,0.000000,92503000.000000,92503000.000000,0.000000,-12369000.000000,19.341000,0.065000,1952000.000000,364000.000000,1588000.000000,1952000.000000,0.000000,93000.000000,0.000000,0.000000,0.000000,-12247000.000000,-12154000.000000,,-12154000.000000,-12247000.000000,-12369000.000000,-0.590000,-0.590000,-0.590000,155828000.000000,,155828000.000000,991480217.000000,-20.000000,-20.231000,-18855000.000000,-0.905000,1.000000,0.000000,,0.000000,122000.000000,66865000.000000,,0.000000,61806000.000000,61806000.000000,0.000000,10054000.000000,8466000.000000,1588000.000000,73653000.000000,0.000000,134220000.000000,0.000000,0.000000,134219000.000000,-41711000.000000,-41711000.000000,-18855000.000000,0.000000,-12369000.000000,-12369000.000000,-12369000.000000,0.000000,0.000000,,12467000.000000,-12467000.000000,1606000.000000,0.000000,6.944000,-22.014000,-14.528000,1942000.000000,0.000000,49.250000,,,0.000000,-79139000.000000,0.000000,0.000000,7271000.000000,,,,,1331000.000000,5196000.000000,1.000000,21970177.000000,20840658.000000,20840658.000000,0.000000,165882000.000000,0.000000,0.000000,0.000000,7.960000
ARQ,2020-06-30,2020-08-11,2020-06-30,2020-Q2,129648000.000000,618768718.000000,2025-05-14,-29000.000000,150572000.000000,,148524000.000000,2048000.000000,,5.902000,0.000000,100854000.000000,100854000.000000,0.000000,-28059000.000000,7.868000,0.156000,1864000.000000,372000.000000,1492000.000000,1864000.000000,0.000000,93000.000000,0.000000,0.000000,0.000000,-27876000.000000,-27783000.000000,,-27783000.000000,-27876000.000000,-28059000.000000,-1.270000,-1.270000,-1.270000,130204000.000000,,130204000.000000,519778718.000000,-8.000000,-7.604000,-15911000.000000,-0.721000,1.000000,0.000000,,0.000000,183000.000000,32706000.000000,,0.000000,37644000.000000,37644000.000000,0.000000,20368000.000000,18876000.000000,1492000.000000,8351000.000000,0.000000,1330000.000000,-793000.000000,0.000000,218000.000000,24044000.000000,24044000.000000,-15911000.000000,0.000000,-28059000.000000,-28059000.000000,-28059000.000000,0.000000,0.000000,,28280000.000000,-28280000.000000,5649000.000000,0.000000,4.752000,-8.997000,-6.793000,1849000.000000,0.000000,27.580000,,,0.000000,-107198000.000000,0.000000,0.000000,20758000.000000,,,,,1737000.000000,7522000.000000,1.000000,22435414.000000,22062030.000000,22062030.000000,0.000000,150572000.000000,0.000000,0.000000,0.000000,6.825000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,102383000.000000,347215971.000000,2025-05-14,-94000.000000,124838000.000000,,122885000.000000,1953000.000000,,4.590000,0.000000,48679000.000000,48679000.000000,0.000000,-29844000.000000,5.994000,0.213000,1776000.000000,380000.000000,1396000.000000,1776000.000000,0.000000,95000.000000,0.000000,0.000000,0.000000,-29713000.000000,-29618000.000000,,-29618000.000000,-29713000.000000,-29844000.000000,-1.330000,-1.330000,-1.330000,102940000.000000,,102940000.000000,300312971.000000,-3.000000,-3.443000,-20693000.000000,-0.923000,1.000000,0.000000,,0.000000,131000.000000,57433000.000000,,0.000000,67826000.000000,67826000.000000,0.000000,21898000.000000,20502000.000000,1396000.000000,-52175000.000000,0.000000,217000.000000,-1074000.000000,0.000000,-1236000.000000,-30246000.000000,-30246000.000000,-20693000.000000,0.000000,-29844000.000000,-29844000.000000,-29844000.000000,0.000000,0.000000,,29965000.000000,-29965000.000000,1945000.000000,0.000000,3.373000,-3.950000,-3.244000,1754000.000000,0.000000,15.440000,,,0.000000,-137042000.000000,0.000000,0.000000,19945000.000000,,,,,2403000.000000,10020000.000000,1.000000,22488081.000000,22426203.000000,22426203.000000,0.000000,124838000.000000,0.000000,0.000000,0.000000,5.567000
ARQ,2020-12-31,2021-03-18,2020-12-31,2020-Q4,81358000.000000,521228356.000000,2025-05-14,-112000.000000,104506000.000000,,102593000.000000,1913000.000000,,3.643000,0.000000,57466000.000000,57466000.000000,0.000000,-23689000.000000,4.831000,0.275000,1738000.000000,406000.000000,1332000.000000,1738000.000000,0.000000,99000.000000,0.000000,0.000000,0.000000,-23565000.000000,-23466000.000000,,-23466000.000000,-23565000.000000,-23689000.000000,-1.060000,-1.060000,-1.060000,81939000.000000,,81939000.000000,465500356.000000,-5.000000,-5.004000,-22750000.000000,-1.011000,1.000000,0.000000,,0.000000,124000.000000,27543000.000000,,0.000000,39363000.000000,39363000.000000,0.000000,22567000.000000,21235000.000000,1332000.000000,8787000.000000,0.000000,152000.000000,2941000.000000,0.000000,3093000.000000,28444000.000000,28444000.000000,-22750000.000000,0.000000,-23689000.000000,-23689000.000000,-23689000.000000,0.000000,0.000000,,23748000.000000,-23748000.000000,640000.000000,0.000000,6.361000,-5.547000,-4.682000,1712000.000000,0.000000,20.040000,,,0.000000,-160731000.000000,0.000000,0.000000,13814000.000000,,,,,2555000.000000,9934000.000000,1.000000,26009399.000000,22494683.000000,22494683.000000,0.000000,104506000.000000,0.000000,0.000000,0.000000,4.646000
ARQ,2021-03-31,2021-05-11,2021-03-31,2021-Q1,134632000.000000,431908713.000000,2025-05-14,-154000.000000,156219000.000000,,154406000.000000,1813000.000000,,5.603000,0.000000,84067000.000000,84067000.000000,0.000000,-24179000.000000,7.809000,0.155000,1639000.000000,415000.000000,1224000.000000,1639000.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,-24103000.000000,-24003000.000000,,-24003000.000000,-24103000.000000,-24179000.000000,-1.000000,-1.000000,-1.000000,135221000.000000,,135221000.000000,349480713.000000,-3.000000,-3.333000,-22213000.000000,-0.920000,1.000000,0.000000,,0.000000,76000.000000,54017000.000000,,0.000000,63992000.000000,63992000.000000,0.000000,20998000.000000,19774000.000000,1224000.000000,26601000.000000,0.000000,74491000.000000,-1074000.000000,0.000000,73486000.000000,-24672000.000000,-24672000.000000,-22213000.000000,0.000000,-24179000.000000,-24179000.000000,-24179000.000000,0.000000,0.000000,,24199000.000000,-24199000.000000,3475000.000000,0.000000,3.194000,-4.083000,-3.554000,1612000.000000,0.000000,16.560000,,,0.000000,-184910000.000000,0.000000,0.000000,14448000.000000,,,,,2981000.000000,9751000.000000,1.000000,26081444.000000,24135735.000000,24135735.000000,0.000000,156219000.000000,0.000000,0.000000,0.000000,6.473000
