dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-04-07,2020-12-31,2020-Q4,64942000.000000,,2025-05-07,604000.000000,2154593000.000000,,662994000.000000,1491599000.000000,,-0.738000,,317235000.000000,317235000.000000,,,1.109000,-14.588000,1693161000.000000,37416000.000000,1655745000.000000,1693161000.000000,86886000.000000,,0.000000,,0.000000,,,,,,,,,,-158545000.000000,,-158545000.000000,,,,,,1.000000,,,1336105000.000000,,1596362000.000000,,0.000000,0.000000,0.000000,0.000000,2312829000.000000,598052000.000000,1714777000.000000,,,,,,,,,,,,,,,,,,,147275000.000000,,,,,112923000.000000,,,,,296964000.000000,-1012400000.000000,,,,,,,,,,1.000000,357955309.000000,214936545.000000,,,818488000.000000,0.000000,,0.000000,3.808000
ARQ,2021-03-31,2021-05-14,2021-03-31,2021-Q1,698225000.000000,20881154164.000000,2025-05-07,-117000.000000,2621399000.000000,,1184821000.000000,1436578000.000000,,-0.584000,-121000.000000,761075000.000000,761075000.000000,223061000.000000,-10575000.000000,2.435000,-21.166000,2244252000.000000,40036000.000000,2204216000.000000,2244252000.000000,85892000.000000,88817000.000000,0.000000,0.000000,0.000000,21309000.000000,110126000.000000,0.182000,110126000.000000,21309000.000000,-13701000.000000,-0.050000,-0.050000,-0.050000,-129977000.000000,,-129977000.000000,22364331164.000000,,,61698000.000000,0.277000,1.000000,380816000.000000,0.631000,1286185000.000000,35010000.000000,2331795000.000000,,0.000000,0.000000,0.000000,0.000000,2751121000.000000,486596000.000000,2264525000.000000,443840000.000000,-4152000.000000,12882000.000000,541562000.000000,0.000000,400374000.000000,-18273000.000000,-14000000.000000,61819000.000000,-80000.000000,-10521000.000000,-10521000.000000,-10521000.000000,0.000000,-54000.000000,-0.017000,369351000.000000,11465000.000000,158023000.000000,0.000000,-160.653000,,,100707000.000000,0.000000,57.260000,,,340881000.000000,-1022921000.000000,603877000.000000,603877000.000000,60876000.000000,,,,,29959000.000000,308475000.000000,1.000000,364672619.000000,222408568.000000,222408568.000000,2.715000,1335214000.000000,0.000000,-3180000.000000,0.000000,6.003000
ARQ,2021-06-30,2021-08-13,2021-06-30,2021-Q2,1113666000.000000,21022871684.000000,2025-05-07,-9305000.000000,4599571000.000000,,1716845000.000000,2882726000.000000,,5.952000,-2049000.000000,1183743000.000000,1183743000.000000,245853000.000000,14364000.000000,2.846000,1.303000,1841893000.000000,42846000.000000,1799047000.000000,1841893000.000000,90054000.000000,107156000.000000,0.000000,0.000000,0.000000,33467000.000000,140623000.000000,0.210000,140623000.000000,33467000.000000,14437000.000000,0.040000,0.040000,0.040000,1997441000.000000,,1997441000.000000,21681021684.000000,,,88408000.000000,0.263000,1.000000,422953000.000000,0.632000,2691743000.000000,19030000.000000,1962799000.000000,,0.000000,0.000000,0.000000,0.000000,2601934000.000000,603179000.000000,1998755000.000000,422668000.000000,-1012860000.000000,1749246000.000000,-408359000.000000,0.000000,1337392000.000000,-1004909000.000000,0.000000,90457000.000000,-272000.000000,14423000.000000,13295000.000000,13295000.000000,0.000000,-59000.000000,0.020000,387975000.000000,34978000.000000,192658000.000000,0.000000,10.525000,,,143078000.000000,1128000.000000,56.460000,,,383133000.000000,-1008498000.000000,668806000.000000,668806000.000000,77462000.000000,,,,,27144000.000000,310513000.000000,1.000000,372349835.000000,335619207.000000,353857814.000000,1.993000,1907828000.000000,0.000000,14000.000000,0.000000,5.685000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,1056597000.000000,42047470998.000000,2025-05-07,-27560000.000000,4567760000.000000,,1626365000.000000,2941395000.000000,,5.562000,-1651000.000000,1049617000.000000,1049617000.000000,254052000.000000,142000.000000,2.854000,1.229000,1836313000.000000,39588000.000000,1796725000.000000,1836313000.000000,84884000.000000,119436000.000000,0.000000,0.000000,0.000000,35867000.000000,155303000.000000,0.214000,155303000.000000,35867000.000000,17111000.000000,0.000000,0.000000,0.000000,2049059000.000000,,2049059000.000000,42834166998.000000,,,122909000.000000,0.334000,1.000000,472899000.000000,0.651000,2756457000.000000,18756000.000000,2028231000.000000,,0.000000,0.000000,0.000000,0.000000,2518541000.000000,569768000.000000,1948773000.000000,-134126000.000000,-181777000.000000,8586000.000000,-9646000.000000,0.000000,-75159000.000000,-183070000.000000,-1000000.000000,124560000.000000,-457000.000000,178000.000000,177000.000000,177000.000000,0.000000,-36000.000000,0.000000,427851000.000000,45048000.000000,208539000.000000,,20.520000,,,140345000.000000,1000.000000,112.360000,,,412884000.000000,-1008320000.000000,726951000.000000,726951000.000000,108523000.000000,,,,,34725000.000000,319328000.000000,1.000000,374220995.000000,368427532.000000,384324785.000000,1.973000,1811303000.000000,0.000000,16933000.000000,0.000000,4.916000
ARQ,2021-09-30,2021-12-02,2021-09-30,2021-Q3,1056597000.000000,33799640268.000000,2025-05-07,-27560000.000000,4567760000.000000,,1626365000.000000,2941395000.000000,,5.562000,-1651000.000000,1049617000.000000,1049617000.000000,254052000.000000,142000.000000,2.854000,1.229000,1836313000.000000,39588000.000000,1796725000.000000,1836313000.000000,84884000.000000,119436000.000000,0.000000,0.000000,0.000000,35867000.000000,155303000.000000,0.214000,155303000.000000,35867000.000000,17111000.000000,0.000000,0.000000,0.000000,2049059000.000000,,2049059000.000000,34586336268.000000,,,122909000.000000,0.334000,1.000000,472899000.000000,0.651000,2756457000.000000,18756000.000000,2028231000.000000,,0.000000,0.000000,0.000000,0.000000,2518541000.000000,569768000.000000,1948773000.000000,-134126000.000000,-181777000.000000,8586000.000000,-9646000.000000,0.000000,-75159000.000000,-183070000.000000,-1000000.000000,124560000.000000,-457000.000000,178000.000000,177000.000000,177000.000000,0.000000,-36000.000000,0.000000,427851000.000000,45048000.000000,208539000.000000,,16.495000,,,140345000.000000,1000.000000,90.320000,,,412884000.000000,-1008320000.000000,726951000.000000,726951000.000000,108523000.000000,,,,,34725000.000000,319328000.000000,1.000000,374220995.000000,368427532.000000,384324785.000000,1.973000,1811303000.000000,0.000000,16933000.000000,0.000000,4.916000
ARQ,2021-12-31,2022-03-11,2021-12-31,2021-Q4,2594967000.000000,16743072134.000000,2025-05-07,-45454000.000000,6163579000.000000,,3235064000.000000,2928515000.000000,,5.759000,-1636000.000000,2570504000.000000,2570504000.000000,265129000.000000,31407000.000000,5.054000,1.883000,3308534000.000000,44202000.000000,3264332000.000000,3308534000.000000,78930000.000000,115654000.000000,0.000000,0.000000,0.000000,58946000.000000,174600000.000000,0.220000,174600000.000000,58946000.000000,28572000.000000,0.090000,0.080000,0.090000,2138090000.000000,,2138090000.000000,17481102134.000000,117.000000,30.106000,83379000.000000,0.225000,1.000000,528341000.000000,0.666000,2675774000.000000,30374000.000000,3585738000.000000,,0.000000,0.000000,0.000000,0.000000,4025288000.000000,640097000.000000,3385191000.000000,1520887000.000000,-7693000.000000,8547000.000000,1458766000.000000,0.000000,1446939000.000000,-8678000.000000,0.000000,85015000.000000,-2389000.000000,31366000.000000,28191000.000000,28191000.000000,0.000000,41000.000000,0.036000,469816000.000000,58525000.000000,258220000.000000,0.000000,7.831000,528.123000,445.500000,134583000.000000,3175000.000000,44.550000,5.994000,5.181000,514520000.000000,-976954000.000000,793470000.000000,793470000.000000,119541000.000000,,,,,41349000.000000,350275000.000000,1.000000,375826535.000000,371284392.000000,388774152.000000,2.137000,3487805000.000000,0.000000,-2794000.000000,0.000000,9.394000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,1512984000.000000,14917692437.000000,2025-05-07,-58986000.000000,6167193000.000000,,2298101000.000000,3869092000.000000,,5.410000,-1943000.000000,1413256000.000000,1413256000.000000,281780000.000000,-115298000.000000,2.927000,2.065000,3301286000.000000,45496000.000000,3255790000.000000,3301286000.000000,76115000.000000,128989000.000000,0.000000,0.000000,0.000000,-125932000.000000,3057000.000000,0.005000,3057000.000000,-125932000.000000,-157941000.000000,-0.310000,-0.310000,-0.310000,2012295000.000000,,2012295000.000000,16805722437.000000,7157.000000,35.486000,-33662000.000000,-0.090000,1.000000,343641000.000000,0.549000,3603026000.000000,32009000.000000,3667080000.000000,,0.000000,0.000000,0.000000,0.000000,4154738000.000000,785117000.000000,3369621000.000000,-1157248000.000000,-1045816000.000000,-35587000.000000,-10753000.000000,0.000000,-65424000.000000,-1059743000.000000,-14146000.000000,-31719000.000000,-362000.000000,-115257000.000000,-115257000.000000,-115257000.000000,0.000000,-41000.000000,-0.184000,471628000.000000,-127987000.000000,369659000.000000,0.000000,7.413000,-202.703000,-219.222000,129901000.000000,0.000000,39.460000,5.300000,5.215000,684461000.000000,-1092211000.000000,625421000.000000,625421000.000000,126250000.000000,,,,,44640000.000000,345378000.000000,1.000000,378045931.000000,371967881.000000,371967881.000000,1.681000,2564167000.000000,0.000000,-42684000.000000,0.000000,6.894000
ARQ,2022-06-30,2022-08-12,2022-06-30,2022-Q2,1172708000.000000,13460252291.000000,2025-05-07,-128351000.000000,5930828000.000000,,1817297000.000000,4113531000.000000,,5.101000,-1065000.000000,951560000.000000,951560000.000000,303929000.000000,-21799000.000000,2.819000,2.110000,3292902000.000000,46512000.000000,3246390000.000000,3292902000.000000,68925000.000000,152688000.000000,0.000000,0.000000,0.000000,53924000.000000,206612000.000000,0.266000,206612000.000000,53924000.000000,17419000.000000,-0.060000,-0.060000,-0.060000,1907175000.000000,,1907175000.000000,15801594291.000000,693.000000,29.285000,105746000.000000,0.283000,1.000000,472302000.000000,0.608000,3832141000.000000,36505000.000000,3795440000.000000,,0.000000,0.000000,0.000000,0.000000,4023544000.000000,644589000.000000,3378955000.000000,-461696000.000000,-248536000.000000,-188892000.000000,-10728000.000000,0.000000,-269622000.000000,-292001000.000000,-42400000.000000,106811000.000000,-6884000.000000,-21748000.000000,-21748000.000000,-21748000.000000,0.000000,-51000.000000,-0.028000,418947000.000000,53355000.000000,283397000.000000,0.000000,7.058000,-123.901000,-129.714000,123558000.000000,0.000000,36.320000,4.606000,4.648000,690911000.000000,-1113959000.000000,776231000.000000,776231000.000000,141108000.000000,,,,,57156000.000000,277839000.000000,1.000000,370601660.000000,373912724.000000,373912724.000000,2.076000,2098687000.000000,0.000000,39167000.000000,0.000000,5.613000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,1280616000.000000,6051107518.000000,2025-05-07,-140145000.000000,5805398000.000000,,1824249000.000000,3981149000.000000,,5.095000,-2159000.000000,943508000.000000,943508000.000000,300988000.000000,23662000.000000,3.356000,2.085000,3285269000.000000,46897000.000000,3238372000.000000,3285269000.000000,65433000.000000,163830000.000000,0.000000,0.000000,0.000000,50345000.000000,214175000.000000,0.300000,214175000.000000,50345000.000000,1718000.000000,0.060000,0.060000,0.060000,1881902000.000000,,1881902000.000000,8392868518.000000,225.000000,14.024000,172323000.000000,0.467000,1.000000,412111000.000000,0.578000,3652333000.000000,48627000.000000,3951193000.000000,,0.000000,0.000000,0.000000,0.000000,3923496000.000000,543633000.000000,3379863000.000000,-8052000.000000,-41346000.000000,-89005000.000000,-14100000.000000,0.000000,-136391000.000000,-42010000.000000,0.000000,174482000.000000,-4133000.000000,23771000.000000,23649000.000000,23649000.000000,0.000000,-109000.000000,0.033000,362844000.000000,49267000.000000,261515000.000000,0.000000,3.215000,-71.052000,-74.000000,130816000.000000,122000.000000,16.280000,2.081000,2.068000,665462000.000000,-1090188000.000000,713099000.000000,713099000.000000,122059000.000000,,,,,42147000.000000,240785000.000000,1.000000,371689651.000000,369389170.000000,378462207.000000,1.930000,2153065000.000000,0.000000,-22053000.000000,0.000000,5.829000
ARQ,2022-12-31,2023-02-28,2022-12-31,2022-Q4,1360125000.000000,5081443470.000000,2025-05-07,-83382000.000000,5847846000.000000,,1939083000.000000,3908763000.000000,,5.128000,35556000.000000,1080484000.000000,1080484000.000000,369368000.000000,-79512000.000000,3.349000,2.073000,3280209000.000000,47644000.000000,3232565000.000000,3280209000.000000,64018000.000000,101577000.000000,0.000000,0.000000,0.000000,-11450000.000000,90127000.000000,0.128000,90127000.000000,-11450000.000000,-66172000.000000,-0.220000,-0.220000,-0.220000,1902677000.000000,,1902677000.000000,7281168470.000000,-220.000000,14.166000,198755000.000000,0.536000,1.000000,332939000.000000,0.474000,3501415000.000000,54722000.000000,3967198000.000000,,0.000000,0.000000,0.000000,0.000000,3945169000.000000,578958000.000000,3366211000.000000,136976000.000000,-4129000.000000,5622000.000000,-14312000.000000,0.000000,-55411000.000000,22286000.000000,-9796000.000000,163199000.000000,6902000.000000,-79512000.000000,-79512000.000000,-79512000.000000,0.000000,0.000000,-0.113000,355365000.000000,-22426000.000000,273196000.000000,0.000000,2.671000,-26.363000,-25.962000,138922000.000000,0.000000,13.500000,1.804000,1.781000,702814000.000000,-1169700000.000000,702307000.000000,702307000.000000,118190000.000000,,,,,47669000.000000,237175000.000000,1.000000,376403220.000000,371061755.000000,371061755.000000,1.893000,2346431000.000000,0.000000,13340000.000000,0.000000,6.324000
