dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-07-20,2017-12-31,2017-Q4,12813000.000000,,2025-05-12,0.000000,43116000.000000,,28163000.000000,14953000.000000,,-0.566000,,17379000.000000,17379000.000000,,,1.835000,-1.629000,45507000.000000,0.000000,45507000.000000,45507000.000000,1347000.000000,,0.000000,,0.000000,,,,,,,,,,-68596000.000000,,-68596000.000000,,,,,,1.000000,,,254000.000000,,55640000.000000,,4014000.000000,0.000000,0.000000,0.000000,111712000.000000,15350000.000000,96362000.000000,,,,,,,,,,,,,,,,,,,9601000.000000,,,,,13460000.000000,,,,,6179000.000000,-120093000.000000,,,,,,,,,,1.000000,24000000.000000,121228353.000000,,,42862000.000000,0.000000,,0.000000,0.354000
ARQ,2018-06-30,2018-09-04,2018-06-30,2018-Q2,3175000.000000,446209714.000000,2025-05-12,0.000000,39841000.000000,,26649000.000000,13192000.000000,,-2.030000,,10638000.000000,10638000.000000,4973000.000000,-36493000.000000,1.135000,-2.023000,46430000.000000,1100000.000000,45330000.000000,46430000.000000,1234000.000000,,0.000000,0.000000,0.000000,-34566000.000000,,,,-34566000.000000,-36493000.000000,-1.900000,-1.900000,-1.900000,-38948000.000000,,-38948000.000000,482001714.000000,,,,,1.000000,8955000.000000,0.643000,229000.000000,1927000.000000,51930000.000000,,4348000.000000,0.000000,0.000000,0.000000,78789000.000000,23474000.000000,55315000.000000,,,,,,,,,,,-36493000.000000,-36493000.000000,-36493000.000000,0.000000,0.000000,-2.620000,41641000.000000,-32686000.000000,21140000.000000,0.000000,-11.457000,,,12766000.000000,0.000000,17.890000,,,6629000.000000,-32394000.000000,13928000.000000,13928000.000000,7994000.000000,,,,,,33647000.000000,1.000000,24941851.000000,19188624.000000,19188624.000000,0.726000,39612000.000000,0.000000,0.000000,0.000000,2.064000
ARQ,2018-09-30,2018-11-06,2018-09-30,2018-Q3,56030000.000000,437735347.000000,2025-05-12,0.000000,90010000.000000,,77359000.000000,12651000.000000,,0.991000,-448000.000000,63982000.000000,63982000.000000,5592000.000000,-15038000.000000,3.627000,2.839000,46804000.000000,2750000.000000,44054000.000000,46804000.000000,781000.000000,746000.000000,0.000000,0.000000,0.000000,-13105000.000000,-12359000.000000,-0.932000,-12359000.000000,-13105000.000000,-15038000.000000,-0.640000,-0.640000,-0.640000,23444000.000000,,23444000.000000,420557347.000000,,,-11923000.000000,-0.504000,1.000000,7675000.000000,0.579000,216000.000000,1933000.000000,51287000.000000,,4483000.000000,0.000000,0.000000,0.000000,66566000.000000,21329000.000000,45237000.000000,53344000.000000,0.000000,68714000.000000,0.000000,0.000000,65267000.000000,-448000.000000,0.000000,-11475000.000000,0.000000,-15038000.000000,-15038000.000000,-15038000.000000,0.000000,0.000000,-1.133000,16879000.000000,-9204000.000000,17798000.000000,0.000000,18.672000,,,12211000.000000,0.000000,17.550000,,,7450000.000000,-47432000.000000,13267000.000000,13267000.000000,4534000.000000,,,,,1236000.000000,12345000.000000,1.000000,24942185.000000,23646192.000000,23646192.000000,0.561000,89794000.000000,0.000000,0.000000,0.000000,3.797000
ARQ,2018-12-31,2019-03-14,2018-12-31,2018-Q4,41249000.000000,159090795.000000,2025-05-12,0.000000,86851000.000000,,74201000.000000,12650000.000000,,0.486000,-490000.000000,60599000.000000,60599000.000000,4787000.000000,-13944000.000000,2.252000,7.616000,47203000.000000,4600000.000000,42603000.000000,47203000.000000,721000.000000,760000.000000,0.000000,0.000000,0.000000,-12042000.000000,-11282000.000000,-0.671000,-11282000.000000,-12042000.000000,-13944000.000000,-0.510000,-0.510000,-0.510000,10080000.000000,,10080000.000000,145694795.000000,-3.000000,-2.889000,-3302000.000000,-0.159000,1.000000,12037000.000000,0.715000,204000.000000,1902000.000000,40299000.000000,,5441000.000000,0.000000,0.000000,0.000000,76771000.000000,32952000.000000,43819000.000000,-3383000.000000,0.000000,0.000000,0.000000,0.000000,-81000.000000,-490000.000000,0.000000,-2812000.000000,0.000000,-13944000.000000,-13944000.000000,-13944000.000000,0.000000,0.000000,-0.829000,24386000.000000,-12349000.000000,20436000.000000,0.000000,15.783000,-2.592000,-2.152000,12207000.000000,0.000000,6.370000,2.359000,1.958000,6481000.000000,-61376000.000000,16824000.000000,16824000.000000,5683000.000000,,,,,1399000.000000,18703000.000000,1.000000,24975007.000000,20725526.000000,20725526.000000,0.812000,86647000.000000,0.000000,0.000000,0.000000,4.181000
ARQ,2019-03-31,2019-05-08,2019-03-31,2019-Q1,26320000.000000,112887628.000000,2025-05-12,0.000000,67979000.000000,,55958000.000000,12021000.000000,,-0.243000,-376000.000000,39934000.000000,39934000.000000,3506000.000000,-14726000.000000,1.888000,-12.225000,47592000.000000,6850000.000000,40742000.000000,47592000.000000,3105000.000000,749000.000000,0.000000,0.000000,0.000000,-12800000.000000,-12051000.000000,-0.953000,-12051000.000000,-12800000.000000,-14726000.000000,-0.590000,-0.590000,-0.590000,-6056000.000000,,-6056000.000000,120545628.000000,-2.000000,,-18056000.000000,-0.723000,1.000000,9137000.000000,0.723000,191000.000000,1926000.000000,45808000.000000,,5137000.000000,0.000000,0.000000,0.000000,74035000.000000,29638000.000000,44397000.000000,-20665000.000000,0.000000,0.000000,0.000000,0.000000,-2609000.000000,-376000.000000,0.000000,-17680000.000000,0.000000,-14726000.000000,-14726000.000000,-14726000.000000,0.000000,0.000000,-1.165000,22211000.000000,-13074000.000000,22088000.000000,0.000000,-18.641000,-1.408000,-1.242000,11594000.000000,0.000000,4.520000,1.992000,1.991000,7489000.000000,-78954000.000000,12643000.000000,12643000.000000,4303000.000000,,,,,1520000.000000,17908000.000000,1.000000,24975139.000000,24963603.000000,24963603.000000,0.506000,67788000.000000,0.000000,0.000000,0.000000,2.715000
ARQ,2019-06-30,2019-08-06,2019-06-30,2019-Q2,14435000.000000,78833768.000000,2025-05-12,0.000000,50408000.000000,,39064000.000000,11344000.000000,,-0.987000,-110000.000000,22165000.000000,22165000.000000,5420000.000000,-20472000.000000,1.586000,-3.044000,47434000.000000,550000.000000,46884000.000000,47434000.000000,2866000.000000,724000.000000,0.000000,0.000000,0.000000,-18535000.000000,-17811000.000000,-1.600000,-17811000.000000,-18535000.000000,-20472000.000000,-0.820000,-0.820000,-0.820000,-24657000.000000,,-24657000.000000,104102768.000000,-2.000000,-1.946000,-17276000.000000,-0.692000,1.000000,5709000.000000,0.513000,178000.000000,1937000.000000,50870000.000000,,4647000.000000,0.000000,0.000000,0.000000,75065000.000000,24629000.000000,50436000.000000,-17769000.000000,0.000000,112000.000000,-550000.000000,0.000000,-493000.000000,-110000.000000,0.000000,-17166000.000000,0.000000,-20472000.000000,-20472000.000000,-20472000.000000,0.000000,0.000000,-1.840000,24397000.000000,-18688000.000000,23479000.000000,0.000000,-3.197000,-1.228000,-1.230000,10933000.000000,0.000000,3.150000,1.464000,1.461000,10150000.000000,-99426000.000000,11129000.000000,11129000.000000,8151000.000000,,,,,1810000.000000,16246000.000000,1.000000,25026593.000000,24980861.000000,24980861.000000,0.446000,50230000.000000,0.000000,0.000000,0.000000,2.011000
ARQ,2019-09-30,2019-11-05,2019-09-30,2019-Q3,18007000.000000,105931738.000000,2025-05-12,0.000000,48818000.000000,,38060000.000000,10758000.000000,,-1.377000,-91000.000000,20914000.000000,20914000.000000,4643000.000000,-18412000.000000,1.898000,-2.417000,59775000.000000,0.000000,59775000.000000,59775000.000000,2962000.000000,709000.000000,0.000000,0.000000,0.000000,-15760000.000000,-15051000.000000,-1.212000,-15051000.000000,-15760000.000000,-18412000.000000,-0.740000,-0.740000,-0.740000,-34459000.000000,,-34459000.000000,144792738.000000,-2.000000,-2.577000,-14880000.000000,-0.594000,1.000000,7775000.000000,0.626000,165000.000000,2652000.000000,67461000.000000,,4124000.000000,0.000000,0.000000,0.000000,83277000.000000,20053000.000000,63224000.000000,-1251000.000000,0.000000,0.000000,13688000.000000,0.000000,13629000.000000,-91000.000000,0.000000,-14789000.000000,0.000000,-18412000.000000,-18412000.000000,-18412000.000000,0.000000,0.000000,-1.483000,18777000.000000,-11002000.000000,19218000.000000,0.000000,-3.074000,-1.568000,-1.590000,10351000.000000,0.000000,4.230000,1.998000,1.997000,10316000.000000,-117838000.000000,12418000.000000,12418000.000000,5063000.000000,,,,,1869000.000000,13714000.000000,1.000000,25042964.000000,25031478.000000,25031478.000000,0.496000,48653000.000000,0.000000,0.000000,0.000000,1.944000
ARQ,2019-12-31,2020-03-11,2019-12-31,2019-Q4,49759000.000000,98731768.000000,2025-05-12,0.000000,78479000.000000,,68314000.000000,10165000.000000,,-0.231000,-86000.000000,49326000.000000,49326000.000000,6792000.000000,-12636000.000000,3.682000,-13.819000,60338000.000000,0.000000,60338000.000000,60338000.000000,5154000.000000,723000.000000,0.000000,0.000000,0.000000,-9833000.000000,-9110000.000000,-0.555000,-9110000.000000,-9833000.000000,-12636000.000000,-0.460000,-0.460000,-0.460000,-6122000.000000,,-6122000.000000,109743768.000000,-2.000000,-2.031000,-10661000.000000,-0.403000,1.000000,9627000.000000,0.586000,439000.000000,2803000.000000,70497000.000000,,2859000.000000,0.000000,0.000000,0.000000,84601000.000000,18555000.000000,66046000.000000,28412000.000000,0.000000,39205000.000000,-28000.000000,0.000000,39073000.000000,-86000.000000,0.000000,-10575000.000000,0.000000,-12636000.000000,-12636000.000000,-12636000.000000,0.000000,0.000000,-0.770000,19531000.000000,-9904000.000000,12274000.000000,0.000000,-16.127000,-1.490000,-1.126000,9726000.000000,0.000000,2.940000,1.877000,1.417000,13130000.000000,-130474000.000000,16419000.000000,16419000.000000,3057000.000000,,,,,1872000.000000,16474000.000000,1.000000,33582234.000000,26447705.000000,26447705.000000,0.621000,78040000.000000,0.000000,0.000000,0.000000,2.951000
ARQ,2020-03-31,2020-05-05,2020-03-31,2020-Q1,35726000.000000,151122132.000000,2025-05-12,0.000000,64487000.000000,,51088000.000000,13399000.000000,,-0.620000,-131000.000000,35521000.000000,35521000.000000,3659000.000000,-16530000.000000,3.326000,-4.096000,64955000.000000,609000.000000,64346000.000000,64955000.000000,4872000.000000,887000.000000,0.000000,0.000000,0.000000,-13759000.000000,-12872000.000000,-1.469000,-12872000.000000,-13759000.000000,-16530000.000000,-0.490000,-0.490000,-0.490000,-20829000.000000,,-20829000.000000,180556132.000000,-3.000000,-3.292000,-13768000.000000,-0.410000,1.000000,5106000.000000,0.583000,428000.000000,2771000.000000,78131000.000000,,3087000.000000,0.000000,0.000000,0.000000,85316000.000000,15362000.000000,69954000.000000,-13805000.000000,0.000000,0.000000,0.000000,0.000000,-37000.000000,-131000.000000,0.000000,-13637000.000000,0.000000,-16530000.000000,-16530000.000000,-16530000.000000,0.000000,0.000000,-1.886000,18967000.000000,-13861000.000000,14090000.000000,0.000000,-7.255000,-2.221000,-1.793000,12971000.000000,0.000000,4.500000,3.101000,3.100000,9536000.000000,-147004000.000000,8765000.000000,8765000.000000,4354000.000000,,,,,1860000.000000,14613000.000000,1.000000,33582696.000000,33569694.000000,33569694.000000,0.261000,64059000.000000,0.000000,0.000000,0.000000,1.908000
ARQ,2020-06-30,2020-08-04,2020-06-30,2020-Q2,29027000.000000,184572680.000000,2025-05-12,0.000000,63546000.000000,,43909000.000000,19637000.000000,,-0.637000,-112000.000000,25422000.000000,25422000.000000,3539000.000000,-2334000.000000,2.950000,-3.971000,65434000.000000,689000.000000,64745000.000000,65434000.000000,4670000.000000,797000.000000,0.000000,0.000000,0.000000,413000.000000,1210000.000000,0.056000,1210000.000000,413000.000000,-2334000.000000,-0.070000,-0.070000,-0.070000,-21388000.000000,,-21388000.000000,224584680.000000,-6.000000,-6.269000,-10109000.000000,-0.301000,1.000000,18136000.000000,0.837000,7416000.000000,2747000.000000,81260000.000000,,3173000.000000,0.000000,0.000000,0.000000,84934000.000000,14882000.000000,70052000.000000,-10099000.000000,0.000000,62000.000000,0.000000,0.000000,10000.000000,-112000.000000,0.000000,-9997000.000000,0.000000,-2334000.000000,-2334000.000000,-2334000.000000,0.000000,0.000000,-0.108000,17741000.000000,395000.000000,13390000.000000,0.000000,-8.630000,-3.698000,-3.119000,12221000.000000,0.000000,5.490000,3.114000,3.111000,12891000.000000,-149338000.000000,21675000.000000,21675000.000000,3847000.000000,,,,,1765000.000000,13894000.000000,1.000000,33619796.000000,33589174.000000,33589174.000000,0.645000,56130000.000000,0.000000,0.000000,0.000000,1.671000
