dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2023-03-31,2023-08-21,2023-03-31,2023-Q4,2174000000.000000,,2025-05-08,376000000.000000,6866000000.000000,,3537000000.000000,3329000000.000000,,3.951000,,1554000000.000000,1554000000.000000,,,2.595000,0.695000,219000000.000000,26000000.000000,193000000.000000,219000000.000000,1100000000.000000,,0.000000,,0.000000,,,,,,,,,,4051000000.000000,,4051000000.000000,,,,,,1.000000,,,1758000000.000000,,2410000000.000000,,0.000000,1384000000.000000,661000000.000000,723000000.000000,2815000000.000000,1363000000.000000,1452000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,391000000.000000,,,,,999000000.000000,2457000000.000000,,,,,,,,,,1.000000,1025234000.000000,1025234000.000000,,,5108000000.000000,139000000.000000,,424000000.000000,4.982000
ARQ,2023-03-31,2023-09-05,2023-03-31,2023-Q4,2174000000.000000,,2025-05-08,376000000.000000,6866000000.000000,,3537000000.000000,3329000000.000000,,3.951000,,1554000000.000000,1554000000.000000,,,2.595000,0.695000,219000000.000000,26000000.000000,193000000.000000,219000000.000000,1100000000.000000,,0.000000,,0.000000,,,,,,,,,,4051000000.000000,,4051000000.000000,,,,,,1.000000,,,1758000000.000000,,2410000000.000000,,0.000000,1384000000.000000,661000000.000000,723000000.000000,2815000000.000000,1363000000.000000,1452000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,391000000.000000,,,,,999000000.000000,2457000000.000000,,,,,,,,,,1.000000,1026078866.000000,1025234000.000000,,,5108000000.000000,139000000.000000,,424000000.000000,4.982000
ARQ,2023-09-30,2023-11-08,2023-09-30,2024-Q2,2647000000.000000,55818690310.000000,2025-05-08,352000000.000000,6810000000.000000,,3442000000.000000,3368000000.000000,,4.655000,-34000000.000000,1406000000.000000,1406000000.000000,46000000.000000,-110000000.000000,4.330000,0.427000,214000000.000000,24000000.000000,190000000.000000,214000000.000000,1028000000.000000,50000000.000000,0.000000,0.000000,0.000000,-119000000.000000,-69000000.000000,-0.086000,-69000000.000000,-119000000.000000,-119000000.000000,-0.110000,-0.110000,-0.110000,4773000000.000000,,4773000000.000000,54626690310.000000,,,193000000.000000,0.188000,1.000000,760000000.000000,0.943000,1762000000.000000,0.000000,3061000000.000000,,0.000000,1525000000.000000,800000000.000000,725000000.000000,2037000000.000000,795000000.000000,1242000000.000000,158000000.000000,,,,,-24000000.000000,-46000000.000000,1000000.000000,227000000.000000,1000000.000000,-110000000.000000,-110000000.000000,-110000000.000000,0.000000,0.000000,-0.136000,916000000.000000,-156000000.000000,0.000000,0.000000,11.695000,,,410000000.000000,0.000000,54.400000,,,864000000.000000,2440000000.000000,806000000.000000,806000000.000000,626000000.000000,,,,,513000000.000000,290000000.000000,1.000000,1026078866.000000,1025312845.000000,1025312845.000000,0.786000,5048000000.000000,139000000.000000,-9000000.000000,348000000.000000,4.923000
ARQ,2023-09-30,2023-11-09,2023-09-30,2024-Q2,2647000000.000000,52925147908.000000,2025-05-08,352000000.000000,6810000000.000000,,3442000000.000000,3368000000.000000,,4.655000,,1406000000.000000,1406000000.000000,46000000.000000,-110000000.000000,4.330000,0.427000,214000000.000000,24000000.000000,190000000.000000,214000000.000000,1028000000.000000,,0.000000,0.000000,0.000000,-119000000.000000,,,,-119000000.000000,-119000000.000000,-0.110000,-0.110000,-0.110000,4773000000.000000,,4773000000.000000,51733147908.000000,,,,,1.000000,760000000.000000,0.943000,1762000000.000000,0.000000,3061000000.000000,,0.000000,1525000000.000000,800000000.000000,725000000.000000,2037000000.000000,795000000.000000,1242000000.000000,,,,,,,,,,,-110000000.000000,-110000000.000000,-110000000.000000,0.000000,0.000000,-0.136000,916000000.000000,-156000000.000000,0.000000,0.000000,11.088000,,,410000000.000000,0.000000,51.580000,,,864000000.000000,2440000000.000000,806000000.000000,806000000.000000,626000000.000000,,,,,,290000000.000000,1.000000,1026078866.000000,1025312845.000000,1025312845.000000,0.786000,5048000000.000000,139000000.000000,-9000000.000000,348000000.000000,4.923000
ARQ,2023-12-31,2024-02-07,2023-12-31,2024-Q3,2762000000.000000,79172082472.000000,2025-05-08,388000000.000000,7115000000.000000,,3628000000.000000,3487000000.000000,,4.873000,-21000000.000000,1551000000.000000,1551000000.000000,36000000.000000,87000000.000000,4.189000,0.422000,221000000.000000,26000000.000000,195000000.000000,221000000.000000,957000000.000000,51000000.000000,0.000000,0.000000,0.000000,146000000.000000,197000000.000000,0.239000,197000000.000000,146000000.000000,146000000.000000,0.080000,0.080000,0.080000,5004000000.000000,,5004000000.000000,77842082472.000000,,,289000000.000000,0.281000,1.000000,788000000.000000,0.956000,1791000000.000000,0.000000,3128000000.000000,,0.000000,1598000000.000000,850000000.000000,748000000.000000,2111000000.000000,866000000.000000,1245000000.000000,145000000.000000,,,,,-48000000.000000,-123000000.000000,-71000000.000000,310000000.000000,6000000.000000,87000000.000000,87000000.000000,87000000.000000,0.000000,0.000000,0.106000,654000000.000000,134000000.000000,0.000000,0.000000,15.822000,,,425000000.000000,0.000000,77.010000,,,1079000000.000000,2527000000.000000,824000000.000000,824000000.000000,432000000.000000,,,,,199000000.000000,216000000.000000,1.000000,1028075347.000000,1026894266.000000,1048888489.000000,0.802000,5324000000.000000,140000000.000000,59000000.000000,364000000.000000,5.185000
ARQ,2023-12-31,2024-02-08,2023-12-31,2024-Q3,2762000000.000000,117087501270.000000,2025-05-08,388000000.000000,7115000000.000000,,3628000000.000000,3487000000.000000,,4.873000,-21000000.000000,1551000000.000000,1551000000.000000,36000000.000000,87000000.000000,4.189000,0.422000,221000000.000000,26000000.000000,195000000.000000,221000000.000000,957000000.000000,51000000.000000,0.000000,0.000000,0.000000,146000000.000000,197000000.000000,0.239000,197000000.000000,146000000.000000,146000000.000000,0.080000,0.080000,0.080000,5004000000.000000,,5004000000.000000,115757501270.000000,,,289000000.000000,0.281000,1.000000,788000000.000000,0.956000,1791000000.000000,0.000000,3128000000.000000,,0.000000,1598000000.000000,850000000.000000,748000000.000000,2111000000.000000,866000000.000000,1245000000.000000,145000000.000000,,,,,-48000000.000000,-123000000.000000,-71000000.000000,310000000.000000,6000000.000000,87000000.000000,87000000.000000,87000000.000000,0.000000,0.000000,0.106000,654000000.000000,134000000.000000,0.000000,0.000000,23.399000,,,425000000.000000,0.000000,113.890000,,,1079000000.000000,2527000000.000000,824000000.000000,824000000.000000,432000000.000000,,,,,199000000.000000,216000000.000000,1.000000,1028075347.000000,1026894266.000000,1048888489.000000,0.802000,5324000000.000000,140000000.000000,59000000.000000,364000000.000000,5.185000
ARQ,2024-03-31,2024-05-08,2024-03-31,2024-Q4,2692000000.000000,110347855817.000000,2025-05-08,371000000.000000,7927000000.000000,,4197000000.000000,3730000000.000000,,5.129000,-11000000.000000,1923000000.000000,1923000000.000000,41000000.000000,224000000.000000,2.789000,0.497000,221000000.000000,27000000.000000,194000000.000000,221000000.000000,915000000.000000,47000000.000000,0.000000,0.000000,0.000000,58000000.000000,105000000.000000,0.113000,105000000.000000,58000000.000000,58000000.000000,0.220000,0.210000,0.220000,5295000000.000000,,5295000000.000000,108645855817.000000,512.000000,265.638000,656000000.000000,0.635000,1.000000,887000000.000000,0.956000,1777000000.000000,0.000000,2943000000.000000,,0.000000,1741000000.000000,1000000000.000000,741000000.000000,2632000000.000000,1505000000.000000,1127000000.000000,372000000.000000,,,,,-121000000.000000,-170000000.000000,-151000000.000000,667000000.000000,-4000000.000000,224000000.000000,224000000.000000,224000000.000000,0.000000,0.000000,0.241000,865000000.000000,22000000.000000,0.000000,0.000000,20.840000,360.614000,353.567000,420000000.000000,0.000000,106.070000,34.132000,33.709000,1117000000.000000,2751000000.000000,928000000.000000,928000000.000000,584000000.000000,,,,,185000000.000000,281000000.000000,1.000000,1040330497.000000,1032360816.000000,1057533533.000000,0.899000,6150000000.000000,282000000.000000,-166000000.000000,282000000.000000,5.957000
ARQ,2024-03-31,2024-05-29,2024-03-31,2024-Q4,2692000000.000000,125515874463.000000,2025-05-08,371000000.000000,7927000000.000000,,4197000000.000000,3730000000.000000,,5.129000,-11000000.000000,1923000000.000000,1923000000.000000,41000000.000000,224000000.000000,2.789000,0.497000,221000000.000000,27000000.000000,194000000.000000,221000000.000000,915000000.000000,47000000.000000,0.000000,0.000000,0.000000,58000000.000000,105000000.000000,0.113000,105000000.000000,58000000.000000,58000000.000000,0.220000,0.210000,0.220000,5295000000.000000,,5295000000.000000,123813874463.000000,584.000000,302.723000,656000000.000000,0.635000,1.000000,887000000.000000,0.956000,1777000000.000000,0.000000,2943000000.000000,,0.000000,1741000000.000000,1000000000.000000,741000000.000000,2632000000.000000,1505000000.000000,1127000000.000000,372000000.000000,,,,,-121000000.000000,-170000000.000000,-151000000.000000,667000000.000000,-4000000.000000,224000000.000000,224000000.000000,224000000.000000,0.000000,0.000000,0.241000,865000000.000000,22000000.000000,0.000000,0.000000,23.705000,410.183000,402.167000,420000000.000000,0.000000,120.650000,38.823000,38.342000,1117000000.000000,2751000000.000000,928000000.000000,928000000.000000,584000000.000000,,,,,185000000.000000,281000000.000000,1.000000,1040330497.000000,1032325052.000000,1057497766.000000,0.899000,6150000000.000000,282000000.000000,-166000000.000000,282000000.000000,5.957000
ARQ,2024-06-30,2024-07-31,2024-06-30,2025-Q1,2775000000.000000,151090160000.000000,2025-05-08,371000000.000000,7880000000.000000,,3840000000.000000,4040000000.000000,,5.424000,-29000000.000000,1465000000.000000,1465000000.000000,33000000.000000,223000000.000000,3.606000,0.391000,249000000.000000,28000000.000000,221000000.000000,249000000.000000,924000000.000000,52000000.000000,0.000000,0.000000,0.000000,244000000.000000,296000000.000000,0.315000,296000000.000000,244000000.000000,244000000.000000,0.210000,0.210000,0.210000,5663000000.000000,,5663000000.000000,149874160000.000000,456.000000,283.316000,-319000000.000000,-0.306000,1.000000,906000000.000000,0.965000,1784000000.000000,0.000000,3815000000.000000,,0.000000,1800000000.000000,1000000000.000000,800000000.000000,2217000000.000000,1065000000.000000,1152000000.000000,-458000000.000000,,,,,-96000000.000000,-74000000.000000,-36000000.000000,-290000000.000000,2000000.000000,223000000.000000,223000000.000000,223000000.000000,0.000000,0.000000,0.237000,724000000.000000,182000000.000000,0.000000,0.000000,26.680000,356.345000,360.425000,464000000.000000,0.000000,144.170000,43.206000,43.041000,1259000000.000000,2974000000.000000,939000000.000000,939000000.000000,485000000.000000,,,,,182000000.000000,239000000.000000,1.000000,1048000000.000000,1044000000.000000,1060000000.000000,0.899000,6096000000.000000,324000000.000000,21000000.000000,324000000.000000,5.839000
ARQ,2024-06-30,2024-08-01,2024-06-30,2025-Q1,2775000000.000000,127342480000.000000,2025-05-08,371000000.000000,7880000000.000000,,3840000000.000000,4040000000.000000,,5.424000,-29000000.000000,1465000000.000000,1465000000.000000,33000000.000000,223000000.000000,3.606000,0.391000,249000000.000000,28000000.000000,221000000.000000,249000000.000000,924000000.000000,52000000.000000,0.000000,0.000000,0.000000,244000000.000000,296000000.000000,0.315000,296000000.000000,244000000.000000,244000000.000000,0.210000,0.210000,0.210000,5663000000.000000,,5663000000.000000,126126480000.000000,383.000000,238.424000,-319000000.000000,-0.306000,1.000000,906000000.000000,0.965000,1784000000.000000,0.000000,3815000000.000000,,0.000000,1800000000.000000,1000000000.000000,800000000.000000,2217000000.000000,1065000000.000000,1152000000.000000,-458000000.000000,,,,,-96000000.000000,-74000000.000000,-36000000.000000,-290000000.000000,2000000.000000,223000000.000000,223000000.000000,223000000.000000,0.000000,0.000000,0.237000,724000000.000000,182000000.000000,0.000000,0.000000,22.487000,300.336000,303.775000,464000000.000000,0.000000,121.510000,36.415000,36.276000,1259000000.000000,2974000000.000000,939000000.000000,939000000.000000,485000000.000000,,,,,182000000.000000,239000000.000000,1.000000,1048000000.000000,1044000000.000000,1060000000.000000,0.899000,6096000000.000000,324000000.000000,21000000.000000,324000000.000000,5.839000
