dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2020-01-06,2018-12-31,2018-Q4,48425000.000000,,2025-05-07,0.000000,51098000.000000,,51098000.000000,0.000000,,-9.671000,,39394000.000000,39394000.000000,,,19.116000,-0.118000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-23987000.000000,,-23987000.000000,,,,,,1.000000,,,0.000000,,9031000.000000,,0.000000,11546000.000000,11546000.000000,0.000000,2833000.000000,2673000.000000,160000.000000,,,,,,,,,,,,,,,,,,,1801000.000000,,,,,0.000000,,,,,0.000000,-24276000.000000,,,,,,,,,,1.000000,35064406.000000,2480246.000000,,,51098000.000000,0.000000,,0.000000,20.602000
ARQ,2019-09-30,2020-01-21,2019-09-30,2019-Q3,19172000.000000,,2025-05-07,0.000000,28303000.000000,,27771000.000000,532000.000000,,-1.510000,,23177000.000000,23177000.000000,,,3.230000,-0.170000,348000.000000,173000.000000,175000.000000,348000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-52950000.000000,,-52950000.000000,,,,,,1.000000,,,0.000000,,-3125000.000000,,0.000000,2000000.000000,2000000.000000,0.000000,9001000.000000,8599000.000000,402000.000000,,,,,,,,,,,,,,,,,,,3159000.000000,,,,,485000.000000,,,,,0.000000,-53704000.000000,,,,,,,,,,1.000000,35064406.000000,35064406.000000,,,28303000.000000,0.000000,,0.000000,0.807000
ARQ,2019-12-31,2020-03-19,2019-12-31,2019-Q4,101237000.000000,960984436.000000,2025-05-07,-1000.000000,107012000.000000,,106474000.000000,538000.000000,,-31.663000,-66000.000000,63336000.000000,63336000.000000,0.000000,-12568000.000000,20.331000,-0.085000,307000.000000,178000.000000,129000.000000,307000.000000,0.000000,60000.000000,0.000000,0.000000,0.000000,-12568000.000000,-12508000.000000,,-12508000.000000,-12568000.000000,-12568000.000000,-6.180000,-6.180000,-6.180000,-65029000.000000,,-65029000.000000,897955436.000000,-21.000000,-21.482000,-16863000.000000,-8.211000,1.000000,0.000000,,0.000000,0.000000,38746000.000000,,0.000000,37929000.000000,37929000.000000,0.000000,5550000.000000,5237000.000000,313000.000000,40159000.000000,0.000000,9000.000000,108000.000000,0.000000,92955000.000000,-35999000.000000,-35933000.000000,-16797000.000000,0.000000,-12568000.000000,-12568000.000000,-12568000.000000,0.000000,0.000000,,12994000.000000,-12994000.000000,1405000.000000,0.000000,-14.778000,-22.883000,-1.108000,491000.000000,0.000000,25.230000,,,0.000000,-66272000.000000,0.000000,0.000000,10757000.000000,,,,,455000.000000,2237000.000000,1.000000,38088959.000000,2053777.000000,2053777.000000,0.000000,107012000.000000,0.000000,0.000000,0.000000,52.105000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,241656000.000000,942417385.000000,2025-05-07,19000.000000,254392000.000000,,253878000.000000,514000.000000,,9.972000,-41000.000000,190893000.000000,190893000.000000,0.000000,-28013000.000000,20.772000,0.052000,264000.000000,182000.000000,82000.000000,264000.000000,0.000000,65000.000000,0.000000,0.000000,0.000000,-28013000.000000,-27948000.000000,,-27948000.000000,-28013000.000000,-28013000.000000,-1.150000,-1.150000,-1.150000,241882000.000000,,241882000.000000,751788385.000000,,,-21051000.000000,-0.868000,1.000000,0.000000,,0.000000,0.000000,51541000.000000,,0.000000,58426000.000000,58426000.000000,0.000000,12510000.000000,12222000.000000,288000.000000,127557000.000000,0.000000,168893000.000000,0.000000,0.000000,168893000.000000,-20326000.000000,-20285000.000000,-21010000.000000,0.000000,-28013000.000000,-28013000.000000,-28013000.000000,0.000000,0.000000,,28651000.000000,-28651000.000000,4759000.000000,0.000000,3.896000,,,467000.000000,0.000000,24.700000,,,0.000000,-94285000.000000,0.000000,0.000000,25182000.000000,,,,,990000.000000,3469000.000000,1.000000,38154550.000000,24256402.000000,24256402.000000,0.000000,254392000.000000,0.000000,0.000000,0.000000,10.488000
ARQ,2020-06-30,2020-08-11,2020-06-30,2020-Q2,208754000.000000,941747817.000000,2025-05-07,0.000000,231970000.000000,,228035000.000000,3935000.000000,,5.558000,-17000.000000,171546000.000000,171546000.000000,0.000000,-35412000.000000,11.827000,0.110000,3690000.000000,80000.000000,3610000.000000,3690000.000000,0.000000,57000.000000,0.000000,0.000000,0.000000,-35412000.000000,-35355000.000000,,-35355000.000000,-35412000.000000,-35412000.000000,-0.940000,-0.940000,-0.940000,208923000.000000,,208923000.000000,773891817.000000,,,-25778000.000000,-0.686000,1.000000,0.000000,,0.000000,0.000000,44833000.000000,,0.000000,52429000.000000,52429000.000000,0.000000,23047000.000000,19281000.000000,3766000.000000,-19347000.000000,0.000000,309000.000000,0.000000,0.000000,309000.000000,6105000.000000,6122000.000000,-25761000.000000,0.000000,-35412000.000000,-35412000.000000,-35412000.000000,0.000000,0.000000,,35627000.000000,-35627000.000000,8253000.000000,0.000000,4.508000,,,3857000.000000,0.000000,24.660000,,,0.000000,-129697000.000000,0.000000,0.000000,30009000.000000,,,,,2049000.000000,5618000.000000,1.000000,38189287.000000,37587330.000000,37587330.000000,0.000000,231970000.000000,0.000000,0.000000,0.000000,6.171000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,172967000.000000,814219397.000000,2025-05-07,4000.000000,198013000.000000,,194121000.000000,3892000.000000,,4.585000,-110000.000000,45707000.000000,45707000.000000,0.000000,-38204000.000000,9.177000,0.144000,3707000.000000,32000.000000,3675000.000000,3707000.000000,0.000000,167000.000000,0.000000,0.000000,0.000000,-38204000.000000,-38037000.000000,,-38037000.000000,-38204000.000000,-38204000.000000,-1.010000,-1.010000,-1.010000,173071000.000000,,173071000.000000,772219397.000000,-7.000000,-6.783000,-33801000.000000,-0.895000,1.000000,0.000000,,0.000000,0.000000,134859000.000000,,0.000000,144005000.000000,144005000.000000,0.000000,24942000.000000,21154000.000000,3788000.000000,-125839000.000000,0.000000,34000.000000,-471000.000000,0.000000,-437000.000000,-91711000.000000,-91601000.000000,-33691000.000000,0.000000,-38204000.000000,-38204000.000000,-38204000.000000,0.000000,0.000000,,38303000.000000,-38303000.000000,5039000.000000,0.000000,4.705000,-7.130000,-2.011000,3814000.000000,0.000000,18.660000,,,0.000000,-167901000.000000,0.000000,0.000000,32743000.000000,,,,,2261000.000000,5560000.000000,1.000000,43634480.000000,37748454.000000,37748454.000000,0.000000,198013000.000000,0.000000,0.000000,0.000000,5.246000
ARQ,2020-12-31,2021-02-16,2020-12-31,2020-Q4,270224000.000000,1687352768.000000,2025-05-07,-2000.000000,298269000.000000,,292826000.000000,5443000.000000,,7.587000,-153000.000000,66624000.000000,66624000.000000,0.000000,-34049000.000000,12.956000,0.102000,4964000.000000,0.000000,4964000.000000,4964000.000000,0.000000,166000.000000,0.000000,0.000000,0.000000,-34049000.000000,-33883000.000000,,-33883000.000000,-34049000.000000,-34049000.000000,-0.740000,-0.740000,-0.740000,270621000.000000,,270621000.000000,1625692768.000000,-12.000000,-12.022000,-32724000.000000,-0.917000,1.000000,0.000000,,0.000000,0.000000,214007000.000000,,0.000000,219359000.000000,219359000.000000,0.000000,27648000.000000,22602000.000000,5046000.000000,20917000.000000,0.000000,128909000.000000,471000.000000,0.000000,129380000.000000,-75892000.000000,-75739000.000000,-32571000.000000,0.000000,-34049000.000000,-34049000.000000,-34049000.000000,0.000000,0.000000,,34064000.000000,-34064000.000000,7140000.000000,0.000000,6.235000,-12.436000,-8.866000,5365000.000000,0.000000,33.690000,,,0.000000,-201950000.000000,0.000000,0.000000,27374000.000000,,,,,2643000.000000,6690000.000000,1.000000,50084677.000000,35668152.000000,35668152.000000,0.000000,298269000.000000,0.000000,0.000000,0.000000,8.362000
ARQ,2021-03-31,2021-05-06,2021-03-31,2021-Q1,450661000.000000,1637688601.000000,2025-05-07,42000.000000,471416000.000000,,465975000.000000,5441000.000000,,9.539000,-554000.000000,290232000.000000,290232000.000000,0.000000,-36042000.000000,30.428000,0.045000,5050000.000000,0.000000,5050000.000000,5050000.000000,0.000000,178000.000000,0.000000,0.000000,0.000000,-36042000.000000,-35864000.000000,,-35864000.000000,-36042000.000000,-36042000.000000,-0.760000,-0.760000,-0.760000,450994000.000000,,450994000.000000,1352506601.000000,-9.000000,-9.449000,-46757000.000000,-0.989000,1.000000,0.000000,,0.000000,0.000000,170920000.000000,,0.000000,156237000.000000,156237000.000000,0.000000,20422000.000000,15314000.000000,5108000.000000,223608000.000000,0.000000,207815000.000000,0.000000,0.000000,207815000.000000,61996000.000000,62550000.000000,-46203000.000000,0.000000,-36042000.000000,-36042000.000000,-36042000.000000,0.000000,0.000000,,36085000.000000,-36085000.000000,3146000.000000,0.000000,3.631000,-11.396000,-9.455000,5363000.000000,0.000000,32.620000,,,0.000000,-237992000.000000,0.000000,0.000000,21631000.000000,,,,,8503000.000000,14454000.000000,1.000000,50205046.000000,47280769.000000,47280769.000000,0.000000,471416000.000000,0.000000,0.000000,0.000000,9.971000
ARQ,2021-06-30,2021-08-05,2021-06-30,2021-Q2,414207000.000000,1096778254.000000,2025-05-07,-36000.000000,432892000.000000,,427554000.000000,5338000.000000,,8.290000,-43000.000000,90670000.000000,90670000.000000,0.000000,-42008000.000000,32.034000,0.044000,5138000.000000,106000.000000,5032000.000000,5138000.000000,0.000000,182000.000000,0.000000,0.000000,0.000000,-42008000.000000,-41826000.000000,,-41826000.000000,-42008000.000000,-42008000.000000,-0.840000,-0.840000,-0.840000,414488000.000000,,414488000.000000,1011246254.000000,-7.000000,-6.759000,-35874000.000000,-0.717000,1.000000,0.000000,,0.000000,0.000000,334013000.000000,,0.000000,320236000.000000,320236000.000000,0.000000,18404000.000000,13347000.000000,5057000.000000,-199562000.000000,0.000000,1188000.000000,0.000000,0.000000,1188000.000000,-164919000.000000,-164876000.000000,-35831000.000000,0.000000,-42008000.000000,-42008000.000000,-42008000.000000,0.000000,0.000000,,42080000.000000,-42080000.000000,2676000.000000,0.000000,2.646000,-7.297000,-6.516000,5260000.000000,0.000000,21.830000,,,0.000000,-280000000.000000,0.000000,0.000000,30765000.000000,,,,,4340000.000000,11315000.000000,1.000000,50241789.000000,50000716.000000,50000716.000000,0.000000,432892000.000000,0.000000,0.000000,0.000000,8.658000
ARQ,2021-09-30,2021-11-04,2021-09-30,2021-Q3,362712000.000000,1084366194.000000,2025-05-07,-18000.000000,387008000.000000,,381770000.000000,5238000.000000,,7.246000,-137000.000000,53320000.000000,53320000.000000,0.000000,-56980000.000000,20.032000,0.066000,5230000.000000,306000.000000,4924000.000000,5230000.000000,0.000000,192000.000000,0.000000,0.000000,0.000000,-56980000.000000,-56788000.000000,,-56788000.000000,-56980000.000000,-56980000.000000,-1.140000,-1.140000,-1.140000,362995000.000000,,362995000.000000,1036276194.000000,-6.000000,-6.155000,-41021000.000000,-0.819000,1.000000,0.000000,,0.000000,0.000000,319860000.000000,,0.000000,315492000.000000,315492000.000000,0.000000,24013000.000000,19058000.000000,4955000.000000,-37350000.000000,0.000000,63000.000000,0.000000,0.000000,63000.000000,3471000.000000,3608000.000000,-40884000.000000,0.000000,-56980000.000000,-56980000.000000,-56980000.000000,0.000000,0.000000,,57078000.000000,-57078000.000000,4871000.000000,0.000000,2.987000,-6.413000,-6.195000,5160000.000000,0.000000,21.560000,,,0.000000,-336980000.000000,0.000000,0.000000,40604000.000000,,,,,5363000.000000,16474000.000000,1.000000,50295278.000000,50097851.000000,50097851.000000,0.000000,387008000.000000,0.000000,0.000000,0.000000,7.725000
