dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-08-30,2017-12-31,2017-Q4,47673864.000000,,2025-05-02,-9751.000000,66848369.000000,,65528728.000000,1319641.000000,,-9.929000,,30933151.000000,30933151.000000,,,3.670000,-1.088000,310387.000000,159265.000000,151122.000000,310387.000000,62098761.000000,,0.000000,,0.000000,,,,,,,,,,-61234562.000000,,-61234562.000000,,,,,,1.000000,,,0.000000,,18370741.000000,,0.000000,8258982.000000,8258982.000000,0.000000,66602499.000000,17854864.000000,48747635.000000,,,,,,,,,,,,,,,,,,,596527.000000,,,,,1298881.000000,,,,,26040452.000000,-62417397.000000,,,,,,,,,,1.000000,31184958.000000,6167045.000000,,,66848369.000000,0.000000,,0.000000,10.840000
ARQ,2018-06-30,2018-09-14,2018-06-30,2018-Q2,86381604.000000,,2025-05-02,-96614.000000,105991051.000000,,103692692.000000,2298359.000000,,-5.083000,,3373319.000000,3373319.000000,,,5.990000,-0.389000,234049.000000,168650.000000,65399.000000,234049.000000,57590270.000000,,0.000000,,0.000000,,,,,,,,,,-158515897.000000,,-158515897.000000,,,,,,1.000000,,,0.000000,,85540693.000000,,0.000000,96386761.000000,96386761.000000,0.000000,61710368.000000,17311088.000000,44399280.000000,,,,,,,,,,,,,,,,,,,1656578.000000,,,,,2277599.000000,,,,,1962425.000000,-160738472.000000,,,,,,,,,,1.000000,31184958.000000,31184958.000000,,,105991051.000000,0.000000,,0.000000,3.399000
ARQ,2018-09-30,2018-11-14,2018-09-30,2018-Q3,75670425.000000,531849980.000000,2025-05-02,-47223.000000,98886058.000000,,95518056.000000,3368002.000000,,-138.672000,-938890.000000,6191004.000000,6191004.000000,0.000000,-13387672.000000,4.813000,-0.224000,2194669.000000,194669.000000,2000000.000000,2194669.000000,54215006.000000,191548.000000,0.000000,0.000000,0.000000,-13375408.000000,-13183860.000000,-3.906000,-13183860.000000,-13375408.000000,-13387672.000000,-62.380000,-62.380000,-62.380000,-278842379.000000,,-278842379.000000,527853645.000000,,,-11925873.000000,-5.931000,1.000000,3375264.000000,1.000000,0.000000,12264.000000,75042092.000000,,0.000000,83602865.000000,83602865.000000,0.000000,62561581.000000,19847631.000000,42713950.000000,2838445.000000,0.000000,0.000000,1951638.000000,0.000000,2026638.000000,11798790.000000,12737680.000000,-10986983.000000,0.000000,-13387672.000000,-125438281.000000,-125438281.000000,0.000000,0.000000,-37.164000,17434110.000000,-14058846.000000,1300760.000000,0.000000,-1.907000,,,3347242.000000,112050609.000000,16.440000,,,2178878.000000,-286176753.000000,3375264.000000,3375264.000000,13149879.000000,,,,,5062408.000000,4284231.000000,1.000000,32350972.000000,2010807.000000,2010807.000000,1.679000,98886058.000000,0.000000,0.000000,0.000000,49.177000
ARQ,2018-12-31,2019-03-26,2018-12-31,2018-Q4,172697901.000000,521786767.000000,2025-05-02,-217723.000000,199281575.000000,,195677779.000000,3603796.000000,,14.504000,-621549.000000,3210816.000000,3210816.000000,0.000000,-16087866.000000,8.515000,0.458000,2154461.000000,154461.000000,2000000.000000,2154461.000000,53550671.000000,222948.000000,0.000000,0.000000,0.000000,-16063230.000000,-15840282.000000,-4.605000,-15840282.000000,-16063230.000000,-16087866.000000,90.170000,90.170000,90.170000,136666983.000000,,136666983.000000,520730412.000000,-13.000000,-12.789000,-12875679.000000,-1.366000,1.000000,3440165.000000,1.000000,0.000000,24636.000000,175245342.000000,,0.000000,184637640.000000,184637640.000000,0.000000,62614592.000000,22979878.000000,39634714.000000,-3000948.000000,0.000000,111234583.000000,-44698.000000,0.000000,111114885.000000,-101861703.000000,-101240154.000000,-12254130.000000,0.000000,-16087866.000000,-16087866.000000,-16087866.000000,0.000000,0.000000,-4.676000,20383744.000000,-16943579.000000,2758184.000000,0.000000,3.818000,-2.175000,-0.634000,3583036.000000,0.000000,16.140000,36.428000,10.617000,5031797.000000,-302264619.000000,3440165.000000,3440165.000000,14562299.000000,,,,,5441289.000000,5821445.000000,1.000000,32328796.000000,9422799.000000,9422799.000000,0.365000,199281575.000000,0.000000,0.000000,0.000000,21.149000
ARQ,2019-03-31,2019-05-09,2019-03-31,2019-Q1,159135706.000000,711824003.000000,2025-05-02,80031.000000,186568127.000000,,179735878.000000,6832249.000000,,4.078000,-380644.000000,28786247.000000,28786247.000000,0.000000,-14404492.000000,8.725000,0.461000,4784787.000000,647750.000000,4137037.000000,4784787.000000,49534182.000000,426557.000000,0.000000,0.000000,0.000000,-14380854.000000,-13954297.000000,-3.474000,-13954297.000000,-14380854.000000,-14404492.000000,-0.460000,-0.460000,-0.460000,127737693.000000,,127737693.000000,687822543.000000,,,-13113013.000000,-0.419000,1.000000,4016489.000000,1.000000,0.000000,23638.000000,141966495.000000,,0.000000,146175265.000000,146175265.000000,0.000000,58830434.000000,20600172.000000,38230262.000000,25596191.000000,0.000000,0.000000,-45542.000000,0.000000,-45542.000000,38374102.000000,38754746.000000,-12732369.000000,0.000000,-14404492.000000,-14404492.000000,-14404492.000000,0.000000,0.000000,-3.586000,19830988.000000,-15814499.000000,1563909.000000,0.000000,5.573000,,,6811489.000000,0.000000,22.020000,,,2469514.000000,-316669111.000000,4016489.000000,4016489.000000,14190359.000000,,,,,5177448.000000,5640629.000000,1.000000,32326249.000000,31325516.000000,31325516.000000,0.128000,186568127.000000,0.000000,0.000000,0.000000,5.956000
ARQ,2019-06-30,2019-08-05,2019-06-30,2019-Q2,142315315.000000,767069553.000000,2025-05-02,300150.000000,172046128.000000,,163261088.000000,8785040.000000,,3.706000,-2886686.000000,11342178.000000,11342178.000000,0.000000,-17164646.000000,7.794000,0.477000,4612730.000000,719371.000000,3893359.000000,4612730.000000,45517693.000000,496672.000000,0.000000,0.000000,0.000000,-17141868.000000,-16645196.000000,-4.144000,-16645196.000000,-17141868.000000,-17164646.000000,-0.550000,-0.550000,-0.550000,116505260.000000,,116505260.000000,760340105.000000,-12.000000,-12.752000,-16455769.000000,-0.523000,1.000000,4016489.000000,1.000000,0.000000,22778.000000,144370907.000000,,0.000000,147831005.000000,147831005.000000,0.000000,55540868.000000,20945773.000000,34595095.000000,-17444069.000000,0.000000,399488.000000,-46402.000000,0.000000,353086.000000,-4228072.000000,-1341386.000000,-13569083.000000,0.000000,-17164646.000000,-17164646.000000,-17164646.000000,0.000000,0.000000,-4.274000,22441417.000000,-18424928.000000,1411471.000000,0.000000,6.584000,-4.431000,0.850000,8764280.000000,0.000000,22.750000,51.660000,48.171000,1402085.000000,-333833758.000000,4016489.000000,4016489.000000,16000638.000000,,,,,5312607.000000,6440779.000000,1.000000,33717343.000000,31440051.000000,31440051.000000,0.128000,172046128.000000,0.000000,0.000000,0.000000,5.472000
ARQ,2019-09-30,2019-11-04,2019-09-30,2019-Q3,170267078.000000,719865786.000000,2025-05-02,196645.000000,209093798.000000,,199663343.000000,9430455.000000,,4.098000,-1188030.000000,12135475.000000,12135475.000000,0.000000,-17675373.000000,6.792000,0.559000,4364789.000000,597014.000000,3767775.000000,4364789.000000,62064616.000000,608471.000000,0.000000,0.000000,0.000000,-17652470.000000,-17043999.000000,-0.567000,-17043999.000000,-17652470.000000,-17675373.000000,-0.540000,-0.540000,-0.540000,134159598.000000,,134159598.000000,712095100.000000,-11.000000,-11.217000,665603.000000,0.020000,1.000000,30050227.000000,1.000000,0.000000,22903.000000,171926847.000000,,0.000000,178375159.000000,178375159.000000,0.000000,74934200.000000,29396265.000000,45537935.000000,793297.000000,0.000000,30832001.000000,-77666.000000,0.000000,30754335.000000,-31814671.000000,-30626641.000000,1853633.000000,0.000000,-17675373.000000,-17675373.000000,-17675373.000000,0.000000,0.000000,-0.588000,24545414.000000,5504813.000000,2277824.000000,0.000000,5.366000,-11.019000,0.241000,9409695.000000,0.000000,21.330000,17.336000,16.818000,5201557.000000,-351509130.000000,30050227.000000,30050227.000000,16588050.000000,,,,,4601214.000000,7957364.000000,1.000000,33748982.000000,32740486.000000,32740486.000000,0.918000,209093798.000000,0.000000,0.000000,0.000000,6.386000
ARQ,2019-12-31,2020-03-16,2019-12-31,2019-Q4,258067483.000000,1289535324.000000,2025-05-02,107576.000000,301641426.000000,,290880635.000000,10760791.000000,,6.282000,-1788664.000000,9211057.000000,9211057.000000,0.000000,-21047716.000000,8.865000,0.331000,4388007.000000,673896.000000,3714111.000000,4388007.000000,58407407.000000,721202.000000,0.000000,0.000000,0.000000,-21031466.000000,-20310264.000000,-4.151000,-20310264.000000,-21031466.000000,-21047716.000000,-0.590000,-0.590000,-0.590000,226686281.000000,,226686281.000000,1284712274.000000,-18.000000,-18.906000,-17967187.000000,-0.498000,1.000000,4893273.000000,1.000000,0.000000,16250.000000,264005224.000000,,0.000000,271661456.000000,271661456.000000,0.000000,74955145.000000,32813152.000000,42141993.000000,-2924418.000000,0.000000,108682027.000000,0.000000,0.000000,108682027.000000,-95427922.000000,-93639258.000000,-16178523.000000,0.000000,-21047716.000000,-21047716.000000,-21047716.000000,0.000000,0.000000,-4.301000,27683173.000000,-22789900.000000,4556827.000000,0.000000,5.689000,-18.345000,-15.493000,10734034.000000,0.000000,33.000000,30.006000,25.284000,6280828.000000,-372556846.000000,4893273.000000,4893273.000000,20414783.000000,,,,,4981441.000000,7268390.000000,1.000000,39076828.000000,36082566.000000,36082566.000000,0.136000,301641426.000000,0.000000,0.000000,0.000000,8.360000
ARQ,2020-03-31,2020-04-28,2020-03-31,2020-Q1,237026174.000000,2080407990.000000,2025-05-02,-602614.000000,282449799.000000,,270195164.000000,12254635.000000,,5.492000,-1362224.000000,36106323.000000,36106323.000000,0.000000,-21739171.000000,8.146000,0.334000,4742554.000000,899653.000000,3842901.000000,4742554.000000,56195614.000000,787373.000000,0.000000,0.000000,0.000000,-21722921.000000,-20935548.000000,-3.355000,-20935548.000000,-21722921.000000,-21739171.000000,-0.560000,-0.560000,-0.560000,211707113.000000,,211707113.000000,2049044221.000000,-26.000000,-27.344000,-18312185.000000,-0.475000,1.000000,6239628.000000,1.000000,0.000000,16250.000000,217917040.000000,,0.000000,226728165.000000,226728165.000000,0.000000,70742686.000000,33168990.000000,37573696.000000,26895266.000000,0.000000,1350482.000000,0.000000,0.000000,1350482.000000,42494745.000000,43856969.000000,-16949961.000000,0.000000,-21739171.000000,-21739171.000000,-21739171.000000,0.000000,0.000000,-3.484000,29651691.000000,-23412063.000000,3020794.000000,0.000000,9.827000,-26.800000,-23.723000,12225858.000000,0.000000,53.140000,46.027000,45.320000,3878438.000000,-394296017.000000,6239628.000000,6239628.000000,21726686.000000,,,,,6119711.000000,7925005.000000,1.000000,39149567.000000,38548483.000000,38548483.000000,0.162000,282449799.000000,0.000000,0.000000,0.000000,7.327000
ARQ,2020-06-30,2020-08-04,2020-06-30,2020-Q2,215862087.000000,1195175164.000000,2025-05-02,1664124.000000,262581573.000000,,249581888.000000,12999685.000000,,5.105000,-1823869.000000,21593656.000000,21593656.000000,0.000000,-25226539.000000,7.402000,0.328000,4511523.000000,920765.000000,3590758.000000,4511523.000000,50454409.000000,860935.000000,0.000000,0.000000,0.000000,-25210289.000000,-24349354.000000,-4.236000,-24349354.000000,-25210289.000000,-25226539.000000,-0.650000,-0.650000,-0.650000,197781424.000000,,197781424.000000,1178093031.000000,-14.000000,-14.256000,-23225855.000000,-0.600000,1.000000,5747681.000000,1.000000,0.000000,16250.000000,211779639.000000,,0.000000,221103306.000000,221103306.000000,0.000000,64800149.000000,33719801.000000,31080348.000000,-14512667.000000,0.000000,1279153.000000,0.000000,0.000000,1279153.000000,5610166.000000,7434035.000000,-21401986.000000,0.000000,-25226539.000000,-25226539.000000,-25226539.000000,0.000000,0.000000,-4.389000,32231564.000000,-26483883.000000,2429757.000000,0.000000,6.043000,-13.948000,-13.017000,12970908.000000,0.000000,30.460000,25.467000,25.144000,3564317.000000,-419522556.000000,5747681.000000,5747681.000000,23416090.000000,,,,,7754959.000000,8815474.000000,1.000000,39237530.000000,38739922.000000,38739922.000000,0.148000,262581573.000000,0.000000,0.000000,0.000000,6.778000
