dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-06-30,2002-12-20,2002-06-30,2002-Q2,,4014900180.000000,2025-04-16,0.000000,3368921000.000000,,2355894000.000000,1013027000.000000,,3.339000,,602809000.000000,618844499.000000,,,,1.380000,1216521000.000000,,,1248882031.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1415425000.000000,,1453077135.000000,4644937713.000000,,,,,0.974000,,,21219000.000000,,3961414000.000000,,940154000.000000,0.000000,0.000000,0.000000,1953496000.000000,,,,,,,,,,,,,,,,,,,,,273265000.000000,,2.763000,,,616635000.000000,,9.473000,,,586161000.000000,,,,,,,,,,,1.000000,423848000.000000,423848000.000000,,,3347702000.000000,0.000000,,0.000000,7.898000
ARQ,2002-12-31,2003-01-16,2002-12-31,2002-Q4,1728661000.000000,4239009810.000000,2025-04-16,0.000000,3301688000.000000,,2415344000.000000,886344000.000000,,3.104000,,668760000.000000,708355665.000000,,,3.517000,1.510000,1233398000.000000,0.000000,1233398000.000000,1306424518.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1315516000.000000,,1393404526.000000,4837078663.000000,-21.000000,-168.295000,,,0.944000,,,14069000.000000,,3165574000.000000,,730025000.000000,0.000000,0.000000,0.000000,1986172000.000000,686683000.000000,1299489000.000000,,,,,,,,,,,,,,,,,,,0.000000,,3.042000,-19.257000,-19.075000,495723000.000000,,10.001000,2.043000,2.043000,556664000.000000,,,,,,,,,,,1.000000,423848000.000000,423880889.000000,,,3287619000.000000,493501000.000000,,0.000000,7.756000
ARQ,2002-12-31,2003-03-12,2002-12-31,2002-Q4,1662570000.000000,3061242180.000000,2025-04-16,159093000.000000,3301688000.000000,,2415344000.000000,886344000.000000,,3.104000,,668760000.000000,736498735.000000,,,3.209000,1.510000,1084491000.000000,0.000000,1084491000.000000,1194339149.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1315516000.000000,,1448764683.000000,3519082594.000000,-17.000000,-192.391000,,,0.908000,,,14069000.000000,,2950576000.000000,,730025000.000000,0.000000,0.000000,0.000000,1986172000.000000,752774000.000000,1233398000.000000,,,,,,,,,,,,,,,,,,,213423000.000000,,2.113000,-13.375000,-13.249000,495723000.000000,,7.223000,1.419000,1.419000,556664000.000000,276326000.000000,,,,,,,,,,1.000000,423848000.000000,423880889.000000,,,3287619000.000000,493501000.000000,,157928000.000000,7.756000
ARQ,2002-12-31,2003-03-14,2002-12-31,2002-Q4,1662570000.000000,3288484548.000000,2025-04-16,159093000.000000,3301688000.000000,,2415344000.000000,886344000.000000,,3.104000,,668760000.000000,718398460.000000,,,3.209000,1.510000,1084491000.000000,0.000000,1084491000.000000,1164986937.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1315516000.000000,,1413159681.000000,3735073025.000000,-19.000000,-209.344000,,,0.931000,,,14069000.000000,,2950576000.000000,,730025000.000000,0.000000,0.000000,0.000000,1986172000.000000,752774000.000000,1233398000.000000,,,,,,,,,,,,,,,,,,,213423000.000000,,2.327000,-14.730000,-14.429000,495723000.000000,,7.673000,1.563000,1.546000,556664000.000000,276326000.000000,,,,,,,,,,1.000000,428606653.000000,423880889.000000,,,3287619000.000000,493501000.000000,,157928000.000000,7.756000
ARQ,2003-03-31,2003-04-16,2003-03-30,2003-Q1,1506229000.000000,3505466666.000000,2025-04-16,0.000000,3242027000.000000,,2255638000.000000,986389000.000000,,2.877000,-25428000.000000,688297000.000000,749277716.000000,265169000.000000,-81900000.000000,3.010000,1.629000,1205308000.000000,0.000000,1205308000.000000,1312094090.000000,0.000000,35283000.000000,0.000000,0.000000,0.000000,-103709000.000000,-68426000.000000,-0.215000,-74488305.000000,-112897256.000000,-110743000.000000,-0.191000,-0.191000,-0.208000,1233014000.000000,,1342254745.000000,4068283039.000000,,,33410000.000000,0.078000,0.919000,52873000.000000,0.166000,13510000.000000,7034000.000000,2996119000.000000,,778547000.000000,0.000000,0.000000,0.000000,2009013000.000000,749409000.000000,1259604000.000000,19537000.000000,,0.000000,-384000.000000,,-384000.000000,-18868000.000000,,58838000.000000,-8081000.000000,-81900000.000000,-81900000.000000,-89156055.000000,13211000.000000,0.000000,-0.258000,143371000.000000,-90498000.000000,0.000000,0.000000,2.612000,,,475531000.000000,0.000000,8.179000,,,434898000.000000,,318042000.000000,346219413.000000,80345000.000000,,,,,,61063000.000000,1.000000,428606653.000000,428606222.000000,428606222.000000,0.808000,3228517000.000000,522681000.000000,-28843000.000000,0.000000,7.533000
ARQ,2003-06-30,2003-07-16,2003-06-30,2003-Q2,1885035000.000000,5824764419.000000,2025-04-16,0.000000,3413495000.000000,,2535802000.000000,877693000.000000,,2.740000,1569000.000000,1249905000.000000,1399478459.000000,256649000.000000,-63523000.000000,3.897000,1.907000,1538961000.000000,0.000000,1538961000.000000,1723125172.000000,0.000000,31179000.000000,0.000000,0.000000,0.000000,-83000000.000000,-51821000.000000,-0.157000,-58022308.000000,-92932433.000000,-92395000.000000,-0.146000,-0.146000,-0.163000,1174249000.000000,,1314768867.000000,6148411132.000000,-21.000000,,213006000.000000,0.497000,0.893000,72469000.000000,0.220000,12940000.000000,9395000.000000,3038844000.000000,,733738000.000000,0.000000,0.000000,0.000000,2239246000.000000,650767000.000000,1588479000.000000,561608000.000000,,,371145000.000000,,371145000.000000,1569000.000000,,211437000.000000,-24185000.000000,-63523000.000000,-63523000.000000,-71124662.000000,9571000.000000,0.000000,-0.193000,145898000.000000,-73429000.000000,0.000000,0.000000,4.430000,-20.391000,-20.365000,437120000.000000,0.000000,13.590000,2.918000,2.918000,323444000.000000,,329118000.000000,368502847.000000,77618000.000000,,,,,,54892000.000000,1.000000,428606653.000000,428608000.000000,428608000.000000,0.860000,3400555000.000000,360188000.000000,-28872000.000000,0.000000,7.934000
ARQ,2003-09-30,2003-10-15,2003-09-28,2003-Q3,1752357000.000000,7546155890.000000,2025-04-16,0.000000,3170094000.000000,,2311754000.000000,858340000.000000,,2.668000,-19168000.000000,1103848000.000000,1286324742.000000,276631000.000000,-30501000.000000,4.133000,1.772000,1408747000.000000,0.000000,1408747000.000000,1641626493.000000,0.000000,45426000.000000,0.000000,0.000000,0.000000,-31626000.000000,13800000.000000,0.037000,16081273.000000,-36854083.000000,-40021000.000000,-0.068000,-0.068000,-0.079000,1143490000.000000,,1332519947.000000,7901457641.000000,,,-31789000.000000,-0.074000,0.858000,93436000.000000,0.252000,15503000.000000,8395000.000000,2900093000.000000,,675582000.000000,0.000000,0.000000,0.000000,2026604000.000000,559397000.000000,1467207000.000000,-146057000.000000,,,-125502000.000000,,-125502000.000000,-1810000.000000,,-12621000.000000,-2503000.000000,-30501000.000000,-30501000.000000,-35543110.000000,12928000.000000,0.000000,-0.082000,112134000.000000,-18698000.000000,0.000000,0.000000,5.663000,,,392907000.000000,0.000000,17.606000,,,301129000.000000,,370067000.000000,431242651.000000,66469000.000000,,,,,,50318000.000000,1.000000,428606653.000000,428644444.000000,428644444.000000,1.006000,3154591000.000000,378636000.000000,-9520000.000000,0.000000,7.359000
ARQ,2003-12-31,2004-01-15,2003-12-31,2003-Q4,1476759000.000000,10270486930.000000,2025-04-16,0.000000,2868282000.000000,,2149827000.000000,718455000.000000,,2.662000,-18256000.000000,1027806000.000000,1294128609.000000,375506000.000000,15708000.000000,3.194000,1.513000,1040556000.000000,0.000000,1040556000.000000,1310182358.000000,0.000000,45012000.000000,0.000000,0.000000,0.000000,27593000.000000,72605000.000000,0.138000,91418232.000000,34742832.000000,23268000.000000,0.034000,0.034000,0.043000,1141207000.000000,,1436913802.000000,10286540680.000000,-43.000000,-241.405000,233425000.000000,0.544000,0.794000,150004000.000000,0.285000,14590000.000000,4325000.000000,2193374000.000000,,595017000.000000,0.000000,0.000000,0.000000,1727075000.000000,673068000.000000,1054007000.000000,-76042000.000000,,6360000.000000,-319775000.000000,,-313415000.000000,-6593000.000000,,251681000.000000,-34396000.000000,15708000.000000,15708000.000000,19778219.000000,0.000000,0.000000,0.030000,122411000.000000,27593000.000000,0.000000,0.000000,7.148000,-50.912000,-51.297000,347883000.000000,0.000000,23.962000,5.287000,5.288000,314495000.000000,,525510000.000000,661678882.000000,81407000.000000,,,,,,46336000.000000,1.000000,428606653.000000,428774222.000000,430693333.000000,1.543000,2853692000.000000,325271000.000000,7560000.000000,0.000000,6.655000
ARQ,2003-12-31,2004-02-05,2003-12-31,2003-Q4,1463308000.000000,9206357618.000000,2025-04-16,139617000.000000,2868282000.000000,,2149827000.000000,718455000.000000,,2.662000,33680000.000000,1027806000.000000,1291898469.000000,375506000.000000,15708000.000000,3.131000,1.513000,860065000.000000,0.000000,860065000.000000,1081056791.000000,0.000000,32912000.000000,0.000000,0.000000,0.000000,44758000.000000,77670000.000000,0.148000,97627134.000000,56258469.000000,-48000.000000,0.034000,0.034000,0.043000,1141207000.000000,,1434437604.000000,8995515941.000000,-41.000000,-248.693000,285359000.000000,0.666000,0.796000,150004000.000000,0.285000,14590000.000000,44806000.000000,1999432000.000000,,595017000.000000,0.000000,0.000000,0.000000,1727075000.000000,686519000.000000,1040556000.000000,-76042000.000000,,,-311225000.000000,,-313415000.000000,-6593000.000000,,251679000.000000,-34396000.000000,15708000.000000,15708000.000000,19744136.000000,0.000000,0.000000,0.030000,122411000.000000,27593000.000000,220153000.000000,0.000000,6.418000,-45.716000,-46.030000,347883000.000000,0.000000,21.465000,4.748000,4.745000,314495000.000000,116110000.000000,525510000.000000,660538627.000000,81407000.000000,,,,,,46336000.000000,1.000000,428900891.000000,428772444.000000,428772444.000000,1.541000,2853692000.000000,374861000.000000,-15756000.000000,180173000.000000,6.655000
ARQ,2003-12-31,2004-04-07,2003-12-31,2003-Q4,1463308000.000000,9066428703.000000,2025-04-16,0.000000,2868282000.000000,,2149827000.000000,718455000.000000,,2.662000,33680000.000000,1027806000.000000,1249937370.000000,375506000.000000,15708000.000000,3.131000,1.513000,860065000.000000,0.000000,860065000.000000,1045943869.000000,0.000000,32912000.000000,0.000000,0.000000,0.000000,44758000.000000,77670000.000000,0.148000,94456187.000000,54431183.000000,-48000.000000,0.034000,0.034000,0.041000,1141207000.000000,,1387846808.000000,8862435202.000000,-42.000000,-253.239000,285359000.000000,0.666000,0.822000,150004000.000000,0.285000,14590000.000000,44806000.000000,1999432000.000000,,595017000.000000,0.000000,0.000000,0.000000,1727075000.000000,686519000.000000,1040556000.000000,-76042000.000000,,,-311225000.000000,,-313415000.000000,-6593000.000000,,251679000.000000,-34396000.000000,15708000.000000,15708000.000000,19102843.000000,0.000000,0.000000,0.030000,122411000.000000,27593000.000000,220153000.000000,0.000000,6.533000,-46.532000,-46.852000,347883000.000000,0.000000,21.139000,4.832000,4.830000,314495000.000000,,525510000.000000,639084212.000000,81407000.000000,,,,,,46336000.000000,1.000000,428900891.000000,428772444.000000,428772444.000000,1.490000,2853692000.000000,374861000.000000,-15756000.000000,180173000.000000,6.655000
ARQ,2004-06-30,2004-07-14,2004-06-27,2004-Q2,1589470000.000000,7165325505.000000,2025-04-16,0.000000,3124171000.000000,,2422450000.000000,701721000.000000,,2.887000,-20543000.000000,1235611000.000000,1530780733.000000,396716000.000000,65358000.000000,2.908000,1.519000,1050774000.000000,0.000000,1050774000.000000,1301788827.000000,0.000000,24538000.000000,0.000000,0.000000,0.000000,100513000.000000,125051000.000000,0.203000,154923889.000000,124524113.000000,96114000.000000,0.158000,0.146000,0.196000,1240417000.000000,,1536734818.000000,6936333598.000000,38.000000,20.246000,73035000.000000,0.170000,0.807000,219542000.000000,0.356000,12727000.000000,4399000.000000,2093627000.000000,,591146000.000000,0.000000,0.000000,0.000000,1883754000.000000,832980000.000000,1050774000.000000,83589000.000000,,7364000.000000,-232000.000000,,7132000.000000,-17537000.000000,,93578000.000000,416000.000000,65358000.000000,65358000.000000,80971088.000000,0.000000,0.000000,0.106000,119029000.000000,100513000.000000,0.000000,0.000000,4.663000,81.325000,79.792000,321577000.000000,0.000000,16.706000,2.943000,2.947000,396721000.000000,,616258000.000000,763473191.000000,73732000.000000,,,,,,50297000.000000,1.000000,428900891.000000,429690667.000000,454847111.000000,1.777000,3111444000.000000,336059000.000000,30756000.000000,0.000000,7.241000
ARQ,2004-09-30,2004-10-13,2004-09-26,2004-Q3,1640987000.000000,6311276606.000000,2025-04-16,0.000000,3275328000.000000,,2564067000.000000,711261000.000000,,2.997000,-28854000.000000,1315758000.000000,1618744971.000000,378180000.000000,40912000.000000,2.778000,1.542000,1063961000.000000,0.000000,1063961000.000000,1308965264.000000,0.000000,22098000.000000,0.000000,0.000000,0.000000,63216000.000000,85314000.000000,0.140000,104959733.000000,77773103.000000,60165000.000000,0.090000,0.090000,0.111000,1288287000.000000,,1584948070.000000,6001496899.000000,,,67161000.000000,0.156000,0.813000,232292000.000000,0.381000,34919000.000000,3051000.000000,2065532000.000000,,685969000.000000,0.000000,0.000000,0.000000,1987041000.000000,923080000.000000,1063961000.000000,80147000.000000,,3911000.000000,-292000.000000,,3619000.000000,-17487000.000000,,96015000.000000,-2000000.000000,40912000.000000,40912000.000000,50333036.000000,0.000000,0.000000,0.067000,169076000.000000,63216000.000000,0.000000,0.000000,3.982000,,,315487000.000000,0.000000,14.715000,,,397064000.000000,,610472000.000000,751048810.000000,123293000.000000,,,,,,51509000.000000,1.000000,428900891.000000,429871111.000000,430404444.000000,1.747000,3240409000.000000,330784000.000000,19253000.000000,0.000000,7.538000
