dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-12-31,2015-01-16,2013-12-31,2013-Q4,800000.000000,,2025-05-02,0.000000,26700000.000000,,21199000.000000,5501000.000000,,0.264000,,19430000.000000,22477629.000000,,,1.039000,3.237000,0.000000,0.000000,0.000000,0.000000,17470000.000000,,0.000000,,0.000000,,,,,,,,,,6301000.000000,,7289323.000000,,,,,,0.864000,,,3495000.000000,,-16624000.000000,,0.000000,32000.000000,0.000000,32000.000000,20399000.000000,20399000.000000,0.000000,,,,,,,,,,,,,,,,,,,2520000.000000,,,,,1974000.000000,,,,,1705000.000000,2134000.000000,,,,,,,,,,1.000000,23835780.000000,23835780.000000,,,23205000.000000,0.000000,,409000.000000,0.974000
ARQ,2014-09-30,2015-01-26,2014-09-30,2014-Q3,-3107000.000000,,2025-05-02,0.000000,15728000.000000,,10122000.000000,5606000.000000,,0.105000,,7909000.000000,8889114.000000,,,0.765000,5.294000,0.000000,0.000000,0.000000,0.000000,9697000.000000,,0.000000,,0.000000,,,,,,,,,,2499000.000000,,2808686.000000,,,,,,0.890000,,,3495000.000000,,-8905000.000000,,0.000000,140000.000000,0.000000,140000.000000,13229000.000000,13229000.000000,0.000000,,,,,,,,,,,,,,,,,,,3044000.000000,,,,,1971000.000000,,,,,1422000.000000,-2486000.000000,,,,,,,,,,1.000000,23835780.000000,23835780.000000,,,12233000.000000,16000.000000,,488000.000000,0.513000
ARQ,2014-12-31,2015-03-26,2014-12-31,2014-Q4,40301000.000000,419271370.000000,2025-05-02,0.000000,58671000.000000,,53162000.000000,5509000.000000,,5.092000,-39000.000000,50167000.000000,54557397.000000,0.000000,-5038000.000000,4.134000,0.281000,0.000000,0.000000,0.000000,0.000000,7905000.000000,135000.000000,0.000000,0.000000,0.000000,-5677000.000000,-5542000.000000,-1.961000,-6027012.000000,-6173826.000000,-5803000.000000,-1.070000,-1.070000,-1.164000,45810000.000000,,49819092.000000,364713973.000000,-33.000000,-34.905000,-7691000.000000,-0.855000,0.920000,2826000.000000,1.000000,3495000.000000,126000.000000,-7852000.000000,,0.000000,140000.000000,0.000000,140000.000000,12861000.000000,12861000.000000,0.000000,40620000.000000,0.000000,47907000.000000,0.000000,0.000000,48311000.000000,-39000.000000,0.000000,-7652000.000000,1638000.000000,-5038000.000000,-5038000.000000,-5478904.000000,0.000000,0.000000,-1.783000,9887000.000000,-7061000.000000,4956000.000000,0.000000,8.416000,-39.918000,-15.116000,1874000.000000,0.000000,17.590000,27.571000,10.406000,1502000.000000,39559000.000000,2826000.000000,3073319.000000,7521000.000000,,,,,459000.000000,2366000.000000,1.000000,23835780.000000,8996492.000000,,0.342000,55176000.000000,873000.000000,-765000.000000,0.000000,6.133000
ARQ,2014-12-31,2015-03-27,2014-12-31,2014-Q4,40301000.000000,424038526.000000,2025-05-02,0.000000,58671000.000000,,53162000.000000,5509000.000000,,5.092000,-39000.000000,50167000.000000,54633746.000000,0.000000,-5038000.000000,4.134000,0.281000,0.000000,0.000000,0.000000,0.000000,7905000.000000,135000.000000,0.000000,0.000000,0.000000,-5677000.000000,-5542000.000000,-1.961000,-6035446.000000,-6182466.000000,-5803000.000000,-1.070000,-1.070000,-1.165000,45810000.000000,,49888809.000000,369404780.000000,-34.000000,-35.304000,-7691000.000000,-0.855000,0.918000,2826000.000000,1.000000,3495000.000000,126000.000000,-7852000.000000,,0.000000,140000.000000,0.000000,140000.000000,12861000.000000,12861000.000000,0.000000,40620000.000000,0.000000,47907000.000000,0.000000,,48311000.000000,-39000.000000,,-7652000.000000,1638000.000000,-5038000.000000,-5038000.000000,-5486571.000000,0.000000,0.000000,-1.783000,9887000.000000,-7061000.000000,4956000.000000,0.000000,8.500000,-40.316000,-15.267000,1874000.000000,0.000000,17.790000,27.846000,10.510000,1502000.000000,39559000.000000,2826000.000000,3077620.000000,7521000.000000,,,,,459000.000000,2366000.000000,1.000000,23835780.000000,8996492.000000,,0.342000,55176000.000000,873000.000000,-765000.000000,0.000000,6.133000
ARQ,2015-03-31,2015-05-18,2015-03-31,2015-Q1,143708000.000000,418794655.000000,2025-05-02,0.000000,161284000.000000,,155802000.000000,5482000.000000,,6.977000,-86000.000000,153450000.000000,175576502.000000,0.000000,1422000.000000,12.883000,0.081000,0.000000,0.000000,0.000000,0.000000,6656000.000000,123000.000000,0.000000,0.000000,0.000000,1477000.000000,1600000.000000,0.769000,1830710.000000,1689974.000000,1468000.000000,0.070000,0.060000,0.080000,149190000.000000,,170702237.000000,243218153.000000,,,-7221000.000000,-0.338000,0.874000,2081000.000000,1.000000,3495000.000000,9000.000000,-7755000.000000,,0.000000,150000.000000,0.000000,150000.000000,12094000.000000,12094000.000000,0.000000,94199000.000000,,101420000.000000,,,101420000.000000,-86000.000000,,-7135000.000000,9084000.000000,1422000.000000,1422000.000000,1627043.000000,0.000000,0.000000,0.683000,9739000.000000,-7658000.000000,5438000.000000,0.000000,2.453000,,,1837000.000000,0.000000,17.570000,,,1094000.000000,141473000.000000,2081000.000000,2381067.000000,7334000.000000,,,,,556000.000000,2405000.000000,1.000000,23835780.000000,21382447.000000,24382271.000000,0.111000,157789000.000000,887000.000000,46000.000000,0.000000,7.379000
ARQ,2015-06-30,2015-08-25,2015-06-30,2015-Q2,129876000.000000,474499758.000000,2025-05-02,0.000000,148112000.000000,,142258000.000000,5854000.000000,,5.662000,-506000.000000,137854000.000000,159906924.000000,0.000000,-15039000.000000,11.489000,0.091000,0.000000,0.000000,0.000000,0.000000,5408000.000000,137000.000000,0.000000,0.000000,0.000000,-12837000.000000,-12700000.000000,-6.536000,-14731658.000000,-14890574.000000,-15323000.000000,-0.630000,-0.630000,-0.731000,135730000.000000,,157443141.000000,314592834.000000,,,-14425000.000000,-0.602000,0.862000,1943000.000000,1.000000,3495000.000000,2486000.000000,-5619000.000000,,0.000000,153000.000000,0.000000,153000.000000,12382000.000000,12382000.000000,0.000000,-13283000.000000,,1142000.000000,,,1142000.000000,-506000.000000,,-13919000.000000,-2313000.000000,-15039000.000000,-15039000.000000,-17444835.000000,0.000000,0.000000,-7.740000,14785000.000000,-12842000.000000,6974000.000000,0.000000,3.014000,,,2206000.000000,0.000000,19.610000,,,2851000.000000,127529000.000000,1943000.000000,2253828.000000,12641000.000000,,,,,437000.000000,2144000.000000,1.000000,24196826.000000,23970242.000000,23970242.000000,0.094000,144617000.000000,1228000.000000,-284000.000000,0.000000,6.033000
ARQ,2015-09-30,2015-11-16,2015-09-30,2015-Q3,125811000.000000,449544249.000000,2025-05-02,0.000000,141263000.000000,,135358000.000000,5905000.000000,,5.368000,-84000.000000,128247000.000000,137195582.000000,0.000000,-7310000.000000,14.178000,0.072000,0.000000,0.000000,0.000000,0.000000,4160000.000000,145000.000000,0.000000,0.000000,0.000000,-7191000.000000,-7046000.000000,-3.328000,-7537643.000000,-7692760.000000,-7470000.000000,-0.300000,-0.300000,-0.321000,131716000.000000,,140906635.000000,312348668.000000,-12.000000,-12.326000,-12510000.000000,-0.510000,0.935000,2117000.000000,1.000000,3495000.000000,279000.000000,-26000.000000,,0.000000,265000.000000,0.000000,265000.000000,9547000.000000,9547000.000000,0.000000,-9330000.000000,,3180000.000000,,,3180000.000000,-84000.000000,,-12426000.000000,-277000.000000,-7310000.000000,-7310000.000000,-7820064.000000,0.000000,0.000000,-3.453000,9434000.000000,-7317000.000000,5387000.000000,0.000000,3.190000,-16.184000,-8.665000,2145000.000000,0.000000,17.890000,46.863000,45.760000,2217000.000000,123273000.000000,2117000.000000,2264716.000000,8038000.000000,,,,,111000.000000,1396000.000000,1.000000,25128242.000000,24536580.000000,24536580.000000,0.092000,137768000.000000,1508000.000000,-160000.000000,0.000000,5.615000
ARQ,2015-12-31,2016-04-14,2015-12-31,2015-Q4,114209000.000000,462108370.000000,2025-05-02,0.000000,131774000.000000,,125654000.000000,6120000.000000,,4.786000,,119649000.000000,134796789.000000,0.000000,-11995000.000000,10.979000,0.095000,0.000000,0.000000,0.000000,0.000000,3072000.000000,,0.000000,0.000000,0.000000,-12226000.000000,,,,-13773835.000000,-12249000.000000,-0.490000,-0.490000,-0.552000,120329000.000000,,135562878.000000,327311581.000000,-9.000000,,,,0.888000,1977000.000000,1.000000,3495000.000000,23000.000000,-2815000.000000,,0.000000,270000.000000,0.000000,270000.000000,11445000.000000,11445000.000000,0.000000,,,,,,,,,,,-11995000.000000,-11995000.000000,-13513590.000000,0.000000,0.000000,-6.067000,15985000.000000,-14008000.000000,8373000.000000,0.000000,3.409000,-12.459000,-11.743000,2355000.000000,0.000000,18.390000,50.527000,47.790000,1402000.000000,111277000.000000,1977000.000000,2227292.000000,12515000.000000,,,,,,3470000.000000,1.000000,25128242.000000,25143204.000000,25143204.000000,0.089000,128279000.000000,784000.000000,-254000.000000,0.000000,5.102000
ARQ,2015-12-31,2016-04-15,2015-12-31,2015-Q4,114209000.000000,440749365.000000,2025-05-02,0.000000,131774000.000000,,125654000.000000,6120000.000000,,4.786000,-363000.000000,119649000.000000,135204402.000000,0.000000,-11995000.000000,10.979000,0.095000,0.000000,0.000000,0.000000,0.000000,3072000.000000,153000.000000,0.000000,0.000000,0.000000,-12226000.000000,-12073000.000000,-6.107000,-13642594.000000,-13815485.000000,-12249000.000000,-0.490000,-0.490000,-0.554000,120329000.000000,,135972807.000000,305544963.000000,-9.000000,-8.948000,-10349000.000000,-0.412000,0.885000,1977000.000000,1.000000,3495000.000000,23000.000000,-2815000.000000,,0.000000,270000.000000,0.000000,270000.000000,11445000.000000,11445000.000000,0.000000,-10349000.000000,,8396000.000000,,,0.000000,-363000.000000,,-9986000.000000,1751000.000000,-11995000.000000,-11995000.000000,-13554453.000000,0.000000,0.000000,-6.067000,15985000.000000,-14008000.000000,8373000.000000,0.000000,3.241000,-11.847000,-11.167000,2355000.000000,0.000000,17.540000,48.046000,45.443000,1402000.000000,111277000.000000,1977000.000000,2234027.000000,12515000.000000,,,,,609000.000000,3470000.000000,1.000000,25128242.000000,25143204.000000,25143204.000000,0.089000,128279000.000000,784000.000000,-254000.000000,0.000000,5.102000
ARQ,2015-12-31,2016-04-26,2015-12-31,2015-Q4,114209000.000000,442005777.000000,2025-05-02,0.000000,131774000.000000,,125654000.000000,6120000.000000,,4.786000,-363000.000000,119649000.000000,135238328.000000,0.000000,-11995000.000000,10.979000,0.095000,0.000000,0.000000,0.000000,0.000000,3072000.000000,153000.000000,0.000000,0.000000,0.000000,-12226000.000000,-12073000.000000,-6.107000,-13646017.000000,-13818952.000000,-12249000.000000,-0.490000,-0.490000,-0.554000,120329000.000000,,136006926.000000,306767449.000000,-9.000000,-8.981000,-10349000.000000,-0.412000,0.885000,1977000.000000,1.000000,3495000.000000,23000.000000,-2815000.000000,,0.000000,270000.000000,0.000000,270000.000000,11445000.000000,11445000.000000,0.000000,-10349000.000000,,8396000.000000,,,0.000000,-363000.000000,,-9986000.000000,1751000.000000,-11995000.000000,-11995000.000000,-13557855.000000,0.000000,0.000000,-6.067000,15985000.000000,-14008000.000000,8373000.000000,0.000000,3.250000,-11.878000,-11.196000,2355000.000000,0.000000,17.590000,48.171000,45.561000,1402000.000000,111277000.000000,1977000.000000,2234588.000000,12515000.000000,,,,,609000.000000,3470000.000000,1.000000,25128242.000000,25143204.000000,25143204.000000,0.089000,128279000.000000,784000.000000,-254000.000000,0.000000,5.102000
