dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-09-12,2021-12-31,2021-Q4,2917932.000000,,2025-05-20,18723.000000,7142638.000000,,3221283.000000,3921355.000000,,0.369000,-2988210.000000,2953721.000000,2953721.000000,0.000000,-2607927.000000,10.619000,0.191000,926595.000000,84972.000000,841623.000000,926595.000000,0.000000,19376.000000,0.000000,,0.000000,-2607927.000000,-2588551.000000,,-2588551.000000,-2607927.000000,-2607927.000000,-0.160000,-0.160000,-0.160000,5997664.000000,,5997664.000000,,,,-3565902.000000,-0.219000,1.000000,0.000000,,0.000000,0.000000,4812161.000000,,0.000000,0.000000,0.000000,0.000000,1144974.000000,303351.000000,841623.000000,2934998.000000,0.000000,6454000.000000,46900.000000,0.000000,6500900.000000,-2988210.000000,0.000000,-577692.000000,18723.000000,-2607927.000000,-2607927.000000,-2607927.000000,0.000000,0.000000,,2608042.000000,-2608042.000000,59679.000000,0.000000,,,,3921355.000000,0.000000,,,,0.000000,-2607927.000000,0.000000,0.000000,41610.000000,,,,,13227.000000,2566432.000000,1.000000,31607127.000000,16246432.000000,16246432.000000,0.000000,7142638.000000,0.000000,0.000000,0.000000,0.440000
ARQ,2022-06-30,2022-10-11,2022-06-30,2022-Q2,1741235.000000,,2025-05-20,143994.000000,10027052.000000,,3556951.000000,6470101.000000,,0.234000,,2813411.000000,2813411.000000,,,1.959000,0.353000,879064.000000,76266.000000,802798.000000,879064.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,7408538.000000,,7408538.000000,,,,,,1.000000,,,0.000000,,6276989.000000,,0.000000,0.000000,0.000000,0.000000,2618514.000000,1815716.000000,802798.000000,,,,,,,,,,,,,,,,,,,879367.000000,,,,,6470101.000000,,,,,0.000000,-4292685.000000,,,,,,,,,,1.000000,31607127.000000,31607127.000000,,,10027052.000000,0.000000,,0.000000,0.317000
ARQ,2022-06-30,2022-10-19,2022-06-30,2022-Q2,1741235.000000,,2025-05-20,143994.000000,10027052.000000,,3556951.000000,6470101.000000,,0.234000,,2813411.000000,2813411.000000,,,1.959000,0.353000,879064.000000,76266.000000,802798.000000,879064.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,7408538.000000,,7408538.000000,,,,,,1.000000,,,0.000000,,6276989.000000,,0.000000,0.000000,0.000000,0.000000,2618514.000000,1815716.000000,802798.000000,,,,,,,,,,,,,,,,,,,879367.000000,,,,,6470101.000000,,,,,0.000000,-4292685.000000,,,,,,,,,,1.000000,31607127.000000,31607127.000000,,,10027052.000000,0.000000,,0.000000,0.317000
ARQ,2022-06-30,2022-11-09,2022-06-30,2022-Q2,1741235.000000,,2025-05-20,143994.000000,10027052.000000,,3556951.000000,6470101.000000,,0.234000,,2813411.000000,2813411.000000,,,1.959000,0.353000,879064.000000,76266.000000,802798.000000,879064.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,7408538.000000,,7408538.000000,,,,,,1.000000,,,0.000000,,6276989.000000,,0.000000,0.000000,0.000000,0.000000,2618514.000000,1815716.000000,802798.000000,,,,,,,,,,,,,,,,,,,879367.000000,,,,,6470101.000000,,,,,0.000000,-4292685.000000,,,,,,,,,,1.000000,31607127.000000,31607127.000000,,,10027052.000000,0.000000,,0.000000,0.317000
ARQ,2022-09-30,2022-12-22,2022-09-30,2022-Q3,-868086.000000,53683011.000000,2025-05-20,294495.000000,9481238.000000,,1584112.000000,7897126.000000,,0.210000,-1838037.000000,431565.000000,431565.000000,0.000000,-1956230.000000,0.646000,0.501000,785342.000000,74521.000000,710821.000000,785342.000000,0.000000,14148.000000,0.000000,0.000000,0.000000,-1956230.000000,-1942082.000000,,-1942082.000000,-1956230.000000,-1956230.000000,-0.060000,-0.060000,-0.060000,6318219.000000,,6318219.000000,54036788.000000,,,-2532347.000000,-0.084000,1.000000,0.000000,,0.000000,0.000000,7382817.000000,,0.000000,0.000000,0.000000,0.000000,3163019.000000,2452198.000000,710821.000000,-2532347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1838037.000000,0.000000,-694310.000000,150501.000000,-1956230.000000,-1956230.000000,-1956230.000000,0.000000,0.000000,,1953780.000000,-1953780.000000,1156253.000000,0.000000,8.497000,,,7765718.000000,0.000000,1.562000,,,0.000000,-6248915.000000,0.000000,0.000000,745461.000000,,,,,715410.000000,1208319.000000,1.000000,34357127.000000,30107127.000000,30107127.000000,0.000000,9481238.000000,0.000000,0.000000,0.000000,0.315000
ARQ,2022-12-31,2023-03-31,2022-12-31,2022-Q4,1365784.000000,31919897.000000,2025-05-20,255030.000000,12496265.000000,,3302145.000000,9194120.000000,,0.366000,-902532.000000,2389140.000000,2389140.000000,0.000000,-1304151.000000,1.705000,0.273000,822200.000000,79757.000000,742443.000000,822200.000000,0.000000,-51624.000000,0.000000,0.000000,0.000000,-1304151.000000,-1355775.000000,,-1355775.000000,-1304151.000000,-1304151.000000,-0.050000,-0.050000,-0.050000,9817461.000000,,9817461.000000,30352957.000000,-6.000000,-6.138000,-1764566.000000,-0.066000,1.000000,0.000000,,0.000000,0.000000,8992964.000000,,0.000000,0.000000,0.000000,0.000000,2678804.000000,1936361.000000,742443.000000,2025937.000000,0.000000,3790903.000000,0.000000,0.000000,3790503.000000,-902532.000000,0.000000,-862034.000000,-68362.000000,-1304151.000000,-1304151.000000,-1304151.000000,0.000000,0.000000,,1459056.000000,-1459056.000000,1354903.000000,0.000000,3.251000,-6.455000,-4.743000,9054484.000000,0.000000,0.854000,,,0.000000,-7553066.000000,0.000000,0.000000,81635.000000,,,,,1052355.000000,1377421.000000,1.000000,37385684.000000,26793748.000000,26793748.000000,0.000000,12496265.000000,0.000000,0.000000,0.000000,0.466000
ARQ,2022-12-31,2023-04-05,2022-12-31,2022-Q4,1365784.000000,32525545.000000,2025-05-20,255030.000000,12496265.000000,,3302145.000000,9194120.000000,,0.366000,-902532.000000,2389140.000000,2389140.000000,0.000000,-1304151.000000,1.705000,0.273000,822200.000000,79757.000000,742443.000000,822200.000000,0.000000,-51624.000000,0.000000,0.000000,0.000000,-1304151.000000,-1355775.000000,,-1355775.000000,-1304151.000000,-1304151.000000,-0.050000,-0.050000,-0.050000,9817461.000000,,9817461.000000,30958605.000000,-6.000000,-6.260000,-1764566.000000,-0.066000,1.000000,0.000000,,0.000000,0.000000,8992964.000000,,0.000000,0.000000,0.000000,0.000000,2678804.000000,1936361.000000,742443.000000,2025937.000000,0.000000,3790903.000000,0.000000,0.000000,3790503.000000,-902532.000000,0.000000,-862034.000000,-68362.000000,-1304151.000000,-1304151.000000,-1304151.000000,0.000000,0.000000,,1459056.000000,-1459056.000000,1354903.000000,0.000000,3.313000,-6.577000,-4.833000,9054484.000000,0.000000,0.870000,,,0.000000,-7553066.000000,0.000000,0.000000,81635.000000,,,,,1052355.000000,1377421.000000,1.000000,37385684.000000,26793748.000000,26793748.000000,0.000000,12496265.000000,0.000000,0.000000,0.000000,0.466000
ARQ,2023-03-31,2023-05-19,2023-03-31,2023-Q1,3774121.000000,12598976.000000,2025-05-20,-748823.000000,14606200.000000,,5770562.000000,8835638.000000,,0.409000,-362056.000000,5082290.000000,5082290.000000,0.000000,-3615078.000000,2.890000,0.226000,778355.000000,80405.000000,697950.000000,778355.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3615078.000000,-3615078.000000,,-3615078.000000,-3615078.000000,-3615078.000000,-0.120000,-0.120000,-0.120000,11911809.000000,,11911809.000000,8295041.000000,,,-1807021.000000,-0.062000,1.000000,0.000000,,0.000000,0.000000,8305824.000000,,0.000000,0.000000,0.000000,0.000000,2694391.000000,1996441.000000,697950.000000,2686589.000000,0.000000,4493610.000000,0.000000,0.000000,4493610.000000,-362056.000000,0.000000,-1444965.000000,6561.000000,-3615078.000000,-3615078.000000,-3615078.000000,0.000000,0.000000,,3724824.000000,-3724824.000000,1286657.000000,0.000000,1.058000,,,8702000.000000,0.000000,0.337000,,,0.000000,-11168144.000000,0.000000,0.000000,207334.000000,,,,,2144099.000000,3517490.000000,1.000000,37385684.000000,29141525.000000,29141525.000000,0.000000,14606200.000000,0.000000,0.000000,0.000000,0.501000
ARQ,2023-06-30,2023-08-14,2023-06-30,2023-Q2,2081616.000000,50096817.000000,2025-05-20,-1211552.000000,12750798.000000,,4030530.000000,8720268.000000,,0.341000,-146551.000000,3626165.000000,3626165.000000,0.000000,-4286346.000000,2.068000,0.256000,728604.000000,80419.000000,648185.000000,728604.000000,0.000000,167.000000,0.000000,0.000000,0.000000,-4286346.000000,-4286179.000000,,-4286179.000000,-4286346.000000,-4286346.000000,-0.140000,-0.140000,-0.140000,10153699.000000,,10153699.000000,47199256.000000,-4.000000,-4.215000,-1403476.000000,-0.047000,1.000000,0.000000,,0.000000,0.000000,7904323.000000,,0.000000,0.000000,0.000000,0.000000,2597099.000000,1948914.000000,648185.000000,-1403476.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-146551.000000,0.000000,-1256925.000000,-52649.000000,-4286346.000000,-4286346.000000,-4286346.000000,0.000000,0.000000,,4347544.000000,-4347544.000000,670058.000000,0.000000,4.934000,-4.488000,-3.622000,8377588.000000,0.000000,1.340000,,,0.000000,-15454490.000000,0.000000,0.000000,252880.000000,,,,,2374686.000000,4094664.000000,1.000000,37385684.000000,29796065.000000,29796065.000000,0.000000,12750798.000000,0.000000,0.000000,0.000000,0.428000
ARQ,2023-09-30,2023-11-14,2023-09-30,2023-Q3,127012.000000,74135380.000000,2025-05-20,-1286140.000000,11871392.000000,,2728625.000000,9142767.000000,,0.277000,-681550.000000,2286805.000000,2286805.000000,0.000000,-4222483.000000,1.049000,0.374000,713121.000000,82829.000000,630292.000000,713121.000000,882000.000000,802.000000,0.000000,0.000000,0.000000,-4222483.000000,-4221681.000000,,-4221681.000000,-4222483.000000,-4222483.000000,-0.140000,-0.140000,-0.140000,8639487.000000,,8639487.000000,72561696.000000,-5.000000,-5.383000,-1334831.000000,-0.043000,1.000000,0.000000,,0.000000,0.000000,7696095.000000,,0.000000,0.000000,0.000000,0.000000,3231905.000000,2601613.000000,630292.000000,-1334831.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-681550.000000,0.000000,-653281.000000,-4529.000000,-4222483.000000,-4222483.000000,-4222483.000000,0.000000,0.000000,,3946510.000000,-3946510.000000,401956.000000,0.000000,8.581000,-5.521000,-3.378000,8969103.000000,0.000000,1.520000,,,0.000000,-19676973.000000,0.000000,0.000000,239199.000000,,,,,2071791.000000,3707311.000000,1.000000,48773276.000000,31147749.000000,31147749.000000,0.000000,11871392.000000,0.000000,0.000000,0.000000,0.381000
