dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-06-30,2019-09-06,2019-06-20,2019-Q2,,,2025-05-14,0.000000,213713.000000,,,,,0.010000,0.000000,0.000000,0.000000,0.000000,-325.000000,,3.399000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-325.000000,-325.000000,,-325.000000,-325.000000,-325.000000,0.000000,0.000000,0.000000,48582.000000,,48582.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,48582.000000,,0.000000,0.000000,,,165131.000000,165131.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-325.000000,-325.000000,-325.000000,0.000000,0.000000,,325.000000,-325.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-1418.000000,0.000000,0.000000,0.000000,,,,,0.000000,325.000000,1.000000,25000000.000000,5000000.000000,5000000.000000,0.000000,213713.000000,0.000000,0.000000,0.000000,0.043000
ARQ,2019-09-30,2019-11-08,2019-09-30,2019-Q3,803682.000000,280887500.000000,2025-05-14,0.000000,231076515.000000,,871095.000000,230205420.000000,,0.942000,,705384.000000,705384.000000,0.000000,87761.000000,12.922000,1.625000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,110799.000000,,,,110799.000000,110799.000000,-0.020000,-0.020000,-0.020000,5000001.000000,,5000001.000000,280182116.000000,,,,,1.000000,0.000000,,0.000000,0.000000,230303718.000000,,0.000000,230205420.000000,0.000000,230205420.000000,8125774.000000,67413.000000,8058361.000000,,,,,,,,,,,87761.000000,87761.000000,87761.000000,0.000000,0.000000,,94621.000000,-94621.000000,52736.000000,0.000000,56.177000,,,0.000000,0.000000,9.770000,,,0.000000,86668.000000,0.000000,0.000000,0.000000,,,,,,94621.000000,1.000000,28750000.000000,5307098.000000,5307098.000000,0.000000,231076515.000000,0.000000,23038.000000,23038.000000,43.541000
ARQ,2019-12-31,2020-03-30,2019-12-31,2019-Q4,358532.000000,281750000.000000,2025-05-14,0.000000,231839185.000000,,624354.000000,231214831.000000,,0.823000,,493128.000000,493128.000000,,,2.349000,1.664000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000004.000000,,5000004.000000,281256872.000000,339.000000,338.874000,,,1.000000,,,0.000000,,231080235.000000,,0.000000,231214831.000000,0.000000,231214831.000000,8319433.000000,265822.000000,8053611.000000,,,,,,,,,,,,,,,,,,,240138.000000,,56.350000,429.707000,-245.000000,0.000000,,9.800000,,,0.000000,655679.000000,,,,,,,,,,1.000000,28750000.000000,6075732.000000,,,231839185.000000,0.000000,,29295.000000,38.158000
ARQ,2020-03-31,2020-05-14,2020-03-31,2020-Q1,239634.000000,284625000.000000,2025-05-14,0.000000,232915281.000000,,659869.000000,232255412.000000,,0.714000,0.000000,519627.000000,519627.000000,0.000000,847252.000000,1.570000,1.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1072470.000000,1072470.000000,,1072470.000000,1072470.000000,1072470.000000,-0.010000,-0.010000,-0.010000,5000003.000000,,5000003.000000,284105373.000000,,,-190647.000000,-0.027000,1.000000,0.000000,,0.000000,0.000000,231975419.000000,,0.000000,232255412.000000,0.000000,232255412.000000,8548277.000000,420235.000000,8128042.000000,26499.000000,0.000000,0.000000,0.000000,0.000000,0.000000,217146.000000,217146.000000,-190647.000000,0.000000,847252.000000,847252.000000,847252.000000,0.000000,0.000000,,185257.000000,-185257.000000,243764.000000,0.000000,56.925000,,,0.000000,0.000000,9.900000,,,0.000000,1502931.000000,0.000000,0.000000,0.000000,,,,,0.000000,185257.000000,1.000000,28750000.000000,7003637.000000,7003637.000000,0.000000,232915281.000000,0.000000,225218.000000,254513.000000,33.256000
ARQ,2020-06-30,2020-08-13,2020-06-30,2020-Q2,292015.000000,290372125.000000,2025-05-14,0.000000,232571334.000000,,496623.000000,232074711.000000,,0.714000,0.000000,399260.000000,399260.000000,0.000000,-51977.000000,2.427000,1.651000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-65793.000000,-65793.000000,,-65793.000000,-65793.000000,-65793.000000,-0.010000,-0.010000,-0.010000,5000005.000000,,5000005.000000,289972865.000000,158.000000,157.853000,-389206.000000,-0.056000,1.000000,0.000000,,0.000000,0.000000,231967466.000000,,0.000000,232074711.000000,0.000000,232074711.000000,8256307.000000,204608.000000,8051699.000000,-120367.000000,0.000000,0.000000,0.000000,0.000000,0.000000,268839.000000,268839.000000,-389206.000000,0.000000,-51977.000000,-51977.000000,-51977.000000,0.000000,0.000000,,153931.000000,-153931.000000,204608.000000,0.000000,58.074000,200.080000,-144.284000,0.000000,0.000000,10.100000,,,0.000000,1450954.000000,0.000000,0.000000,0.000000,,,,,0.000000,153931.000000,1.000000,28750000.000000,7005122.000000,7005122.000000,0.000000,232571334.000000,1002.000000,-13816.000000,1699.000000,33.200000
ARQ,2020-09-30,2020-11-13,2020-09-30,2020-Q3,167428.000000,290662500.000000,2025-05-14,0.000000,232570485.000000,,427269.000000,232143216.000000,,0.713000,0.000000,357013.000000,357013.000000,0.000000,-55049.000000,1.644000,1.662000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-69683.000000,-69683.000000,,-69683.000000,-69683.000000,-69683.000000,-0.010000,-0.010000,-0.010000,5000008.000000,,5000008.000000,290305487.000000,,,-56882.000000,-0.008000,1.000000,0.000000,,0.000000,0.000000,231953631.000000,,0.000000,232143216.000000,0.000000,232143216.000000,8310507.000000,259841.000000,8050666.000000,-42247.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14635.000000,14635.000000,-56882.000000,0.000000,-55049.000000,-55049.000000,-55049.000000,0.000000,0.000000,,152823.000000,-152823.000000,259841.000000,0.000000,58.132000,,,0.000000,0.000000,10.110000,,,0.000000,1395905.000000,0.000000,0.000000,0.000000,,,,,0.000000,152823.000000,1.000000,28750000.000000,7007989.000000,7007989.000000,0.000000,232570485.000000,14603.000000,-14634.000000,666.000000,33.186000
ARQ,2020-12-31,2021-03-01,2020-12-31,2020-Q4,-425418.000000,437575000.000000,2025-05-14,0.000000,232404895.000000,,208868.000000,232196027.000000,,0.712000,0.000000,131151.000000,131151.000000,0.000000,-549049.000000,0.329000,1.739000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-579871.000000,-579871.000000,,-579871.000000,-579871.000000,-579871.000000,-0.080000,-0.080000,-0.080000,5000004.000000,,5000004.000000,437443849.000000,1225.000000,1224.911000,-225862.000000,-0.032000,1.000000,0.000000,,0.000000,0.000000,231639458.000000,,0.000000,232196027.000000,0.000000,232196027.000000,8693966.000000,634286.000000,8059680.000000,-225862.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-225862.000000,0.000000,-549049.000000,-549049.000000,-549049.000000,0.000000,0.000000,,632682.000000,-632682.000000,634286.000000,0.000000,87.515000,2288.848000,-126.833000,0.000000,0.000000,15.220000,,,0.000000,846856.000000,0.000000,0.000000,0.000000,,,,,0.000000,632682.000000,1.000000,28750000.000000,7017895.000000,7017895.000000,0.000000,232404895.000000,54439.000000,-30822.000000,9680.000000,33.116000
ARQ,2020-12-31,2021-05-06,2020-12-31,2020-Q4,-425418.000000,223675000.000000,2025-05-14,0.000000,232404895.000000,,208868.000000,232196027.000000,,0.174000,0.000000,131151.000000,131151.000000,0.000000,-52701049.000000,0.329000,15.362000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-52731871.000000,-52731871.000000,,-52731871.000000,-52731871.000000,-52731871.000000,-6.090000,-6.090000,-6.090000,5000001.000000,,5000001.000000,223543849.000000,-4.000000,-4.316000,-225862.000000,-0.008000,1.000000,0.000000,,0.000000,0.000000,231639458.000000,,0.000000,232196027.000000,0.000000,232196027.000000,76807966.000000,634286.000000,76173680.000000,-225862.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-225862.000000,0.000000,-52701049.000000,-52701049.000000,-52701049.000000,0.000000,0.000000,,632682.000000,-632682.000000,634286.000000,0.000000,44.735000,-4.305000,-1.269000,0.000000,0.000000,7.780000,,,0.000000,-54842168.000000,0.000000,0.000000,0.000000,,,,,0.000000,632682.000000,1.000000,28750000.000000,28749982.000000,28749982.000000,0.000000,232404895.000000,54439.000000,-30822.000000,9680.000000,8.084000
ARQ,2021-03-31,2021-05-18,2021-03-31,2021-Q1,48296579.000000,1379625750.000000,2025-05-14,0.000000,282068838.000000,,50154842.000000,231913996.000000,,0.174000,0.000000,50052736.000000,50052736.000000,0.000000,597052.000000,26.990000,25.199000,600000.000000,600000.000000,0.000000,600000.000000,0.000000,0.000000,50000000.000000,0.000000,0.000000,614361.000000,614361.000000,,614361.000000,614361.000000,614361.000000,0.040000,0.040000,0.040000,5000001.000000,,5000001.000000,1330173014.000000,-25.000000,-25.456000,-862237.000000,-0.030000,1.000000,0.000000,,0.000000,0.000000,230757839.000000,,0.000000,231913996.000000,0.000000,231913996.000000,125994263.000000,1858263.000000,124136000.000000,49921585.000000,0.000000,49880594.000000,600000.000000,0.000000,50480594.000000,303228.000000,303228.000000,-862237.000000,0.000000,597052.000000,597052.000000,597052.000000,0.000000,0.000000,,1434836.000000,-1434836.000000,1258263.000000,0.000000,275.925000,-26.424000,-1.252000,0.000000,0.000000,7.600000,,,0.000000,-54245116.000000,0.000000,0.000000,0.000000,,,,,0.000000,1434836.000000,1.000000,181529704.000000,28750000.000000,28750000.000000,0.000000,282068838.000000,54439.000000,17309.000000,0.000000,9.811000
ARQ,2021-03-31,2021-06-25,2021-03-31,2021-Q1,14323000.000000,1906061892.000000,2025-05-14,-365000.000000,94170000.000000,,34048000.000000,60122000.000000,,12.015000,-11437000.000000,22213000.000000,22213000.000000,896000.000000,-12088000.000000,1.726000,0.396000,6927000.000000,488000.000000,6439000.000000,6927000.000000,3988000.000000,714000.000000,0.000000,0.000000,0.000000,-11579000.000000,-10865000.000000,-11.425000,-10865000.000000,-11579000.000000,-11579000.000000,-2.500000,-2.500000,-2.500000,66090000.000000,,66090000.000000,1890775892.000000,-29.000000,-29.667000,-19950000.000000,-3.627000,1.000000,55000.000000,0.058000,4210000.000000,0.000000,54949000.000000,,2922000.000000,0.000000,0.000000,0.000000,26164000.000000,19725000.000000,6439000.000000,-20564000.000000,0.000000,0.000000,0.000000,0.000000,-595000.000000,-11437000.000000,0.000000,-8513000.000000,-19000.000000,-11580000.000000,-13766000.000000,-13766000.000000,0.000000,-508000.000000,-14.475000,12114000.000000,-12059000.000000,5750000.000000,0.000000,28.840000,-28.631000,-1.220000,55740000.000000,2186000.000000,10.500000,2004.271000,60.735000,1070000.000000,-51488000.000000,951000.000000,951000.000000,304000.000000,,,,,370000.000000,5537000.000000,1.000000,181529704.000000,5500840.000000,5500840.000000,0.173000,89960000.000000,0.000000,1000.000000,0.000000,16.354000
