dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-14,1996-12-31,1997-Q3,45104000.000000,218209930.000000,2023-07-31,-202000.000000,85841000.000000,,62777000.000000,23064000.000000,,0.386000,,17336000.000000,17336000.000000,11878000.000000,4120000.000000,3.552000,0.265000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,6210000.000000,,,,6210000.000000,6382000.000000,0.023000,0.023000,0.023000,67849000.000000,,67849000.000000,200873930.000000,,,,,1.000000,19483000.000000,0.621000,18618000.000000,-172000.000000,32214000.000000,,3275000.000000,0.000000,0.000000,0.000000,17992000.000000,17673000.000000,319000.000000,,,,,,,,,,,4120000.000000,4120000.000000,4120000.000000,0.000000,0.000000,0.131000,13273000.000000,6210000.000000,7543000.000000,0.000000,3.216000,,,4186000.000000,0.000000,1.292000,,,33373000.000000,3533000.000000,31361000.000000,31361000.000000,4707000.000000,,,,,,8245000.000000,1.000000,168936720.000000,175728000.000000,175728000.000000,0.178000,67223000.000000,505000.000000,2262000.000000,0.000000,0.383000
ARQ,1997-03-31,1997-06-16,1997-03-31,1997-Q4,52938000.000000,195162275.000000,2023-07-31,-213000.000000,95670000.000000,,67800000.000000,27870000.000000,,0.461000,-1483000.000000,17639000.000000,17639000.000000,,,4.562000,0.184000,0.000000,0.000000,0.000000,0.000000,0.000000,3335000.000000,0.000000,0.000000,0.000000,,,,,,,,,,80808000.000000,,80808000.000000,177523275.000000,17.000000,12.621000,-1064000.000000,-0.006000,1.000000,,,18313000.000000,,44856000.000000,,4520000.000000,0.000000,0.000000,0.000000,14862000.000000,14862000.000000,0.000000,303000.000000,0.000000,-3900000.000000,0.000000,0.000000,1378000.000000,-1483000.000000,0.000000,419000.000000,-11000.000000,,,,,,,,,7054000.000000,,2.415000,27.461000,27.947000,5090000.000000,,1.146000,2.257000,2.324000,36367000.000000,7815000.000000,,,,,,,,0.000000,,1.000000,170323440.000000,175428000.000000,,,77357000.000000,5705000.000000,,0.000000,0.441000
ARQ,1997-06-30,1997-08-14,1997-06-30,1998-Q1,47603000.000000,171675027.000000,2023-07-31,-142000.000000,87929000.000000,,58203000.000000,29726000.000000,,0.453000,-2356000.000000,14426000.000000,14426000.000000,4275000.000000,-5088000.000000,5.491000,0.137000,0.000000,0.000000,0.000000,0.000000,0.000000,898000.000000,0.000000,0.000000,0.000000,-8353000.000000,-7455000.000000,-0.926000,-7455000.000000,-8353000.000000,-8191000.000000,-0.030000,-0.030000,-0.030000,77329000.000000,,77329000.000000,157249027.000000,,,-4426000.000000,-0.026000,1.000000,3778000.000000,0.469000,18383000.000000,-162000.000000,44520000.000000,,3675000.000000,0.000000,0.000000,0.000000,10600000.000000,10600000.000000,0.000000,-3213000.000000,-246000.000000,1388000.000000,0.000000,0.000000,1388000.000000,-2602000.000000,0.000000,-2070000.000000,71000.000000,-5088000.000000,-5088000.000000,-5088000.000000,0.000000,0.000000,-0.632000,12131000.000000,-8353000.000000,4546000.000000,0.000000,2.220000,,,6874000.000000,0.000000,0.989000,,,24190000.000000,2727000.000000,8053000.000000,8053000.000000,5803000.000000,,,,,0.000000,6022000.000000,1.000000,173555208.000000,170664000.000000,170664000.000000,0.047000,69546000.000000,8823000.000000,-3103000.000000,0.000000,0.408000
ARQ,1997-09-30,1997-11-14,1997-09-30,1998-Q2,50100000.000000,230303580.000000,2023-07-31,-403000.000000,102072000.000000,,69867000.000000,32205000.000000,,0.420000,-2953000.000000,10286000.000000,10286000.000000,11218000.000000,2106000.000000,3.535000,0.258000,1382000.000000,423000.000000,959000.000000,1382000.000000,0.000000,902000.000000,0.000000,0.000000,0.000000,3315000.000000,4217000.000000,0.132000,4217000.000000,3315000.000000,3396000.000000,0.011000,0.011000,0.011000,81157000.000000,,81157000.000000,221399580.000000,,,-6681000.000000,-0.035000,1.000000,20697000.000000,0.649000,17934000.000000,-81000.000000,55467000.000000,,5306000.000000,0.000000,0.000000,0.000000,20915000.000000,19767000.000000,1148000.000000,-4140000.000000,0.000000,1563000.000000,1382000.000000,0.000000,2945000.000000,-3096000.000000,0.000000,-3728000.000000,-261000.000000,2106000.000000,2106000.000000,2106000.000000,0.000000,0.000000,0.066000,17382000.000000,3315000.000000,8719000.000000,0.000000,2.838000,,,9360000.000000,0.000000,1.229000,,,38920000.000000,4032000.000000,31915000.000000,31915000.000000,7550000.000000,,,,,0.000000,9527000.000000,1.000000,187365624.000000,193404000.000000,193404000.000000,0.165000,84138000.000000,8944000.000000,1290000.000000,0.000000,0.435000
ARQ,1997-12-31,1998-02-17,1997-12-31,1998-Q3,116835000.000000,258665554.000000,2023-07-31,-21000.000000,262353000.000000,,220508000.000000,41845000.000000,,0.437000,-888000.000000,91617000.000000,91617000.000000,77078000.000000,9278000.000000,2.127000,1.694000,62969000.000000,1812000.000000,61157000.000000,62969000.000000,0.000000,2071000.000000,0.000000,0.000000,0.000000,15154000.000000,17225000.000000,0.141000,17225000.000000,15154000.000000,14922000.000000,0.042000,0.039000,0.042000,97388000.000000,,97388000.000000,230017554.000000,,,19804000.000000,0.089000,1.000000,45063000.000000,0.369000,23838000.000000,232000.000000,106194000.000000,,17588000.000000,0.000000,0.000000,0.000000,164965000.000000,103673000.000000,61292000.000000,77612000.000000,-1043000.000000,1240000.000000,59989000.000000,-1258000.000000,60022000.000000,-3429000.000000,0.000000,20692000.000000,327000.000000,9278000.000000,9278000.000000,9278000.000000,0.000000,0.000000,0.076000,29909000.000000,15154000.000000,76583000.000000,0.000000,2.656000,,,10916000.000000,0.000000,1.141000,,,99431000.000000,13544000.000000,122141000.000000,122141000.000000,8045000.000000,,,,,0.000000,19986000.000000,1.000000,226733868.000000,222972000.000000,240324000.000000,0.548000,238515000.000000,5816000.000000,5644000.000000,0.000000,1.070000
ARQ,1998-03-31,1998-06-15,1998-03-31,1998-Q4,120537000.000000,190167750.000000,2023-07-31,92000.000000,217407000.000000,,176328000.000000,41079000.000000,,0.443000,-2091000.000000,73378000.000000,73378000.000000,36034000.000000,126000.000000,3.161000,1.168000,62016000.000000,781000.000000,61235000.000000,62016000.000000,0.000000,1341000.000000,0.000000,0.000000,0.000000,-174000.000000,1167000.000000,0.020000,1167000.000000,-174000.000000,203000.000000,0.000000,0.000000,0.000000,100293000.000000,,100293000.000000,178805750.000000,19.000000,12.208000,-18373000.000000,-0.081000,1.000000,22222000.000000,0.381000,23473000.000000,-377000.000000,126781000.000000,,14920000.000000,0.000000,0.000000,0.000000,117114000.000000,55791000.000000,61323000.000000,-18239000.000000,231000.000000,1147000.000000,-3055000.000000,1258000.000000,-1963000.000000,-107000.000000,0.000000,-16282000.000000,113000.000000,126000.000000,126000.000000,126000.000000,0.000000,0.000000,0.002000,21702000.000000,520000.000000,40150000.000000,,1.896000,32.636000,32.051000,10628000.000000,0.000000,0.833000,0.732000,0.709000,69812000.000000,13680000.000000,58256000.000000,58256000.000000,6430000.000000,,,,,0.000000,14869000.000000,1.000000,228201300.000000,226416000.000000,233376000.000000,0.257000,193934000.000000,8517000.000000,77000.000000,0.000000,0.857000
ARQ,1998-06-30,1998-08-14,1998-06-30,1999-Q1,114907000.000000,229389630.000000,2023-07-31,-709000.000000,201716000.000000,,161206000.000000,40510000.000000,,0.392000,-579000.000000,60444000.000000,60444000.000000,34811000.000000,-3804000.000000,3.482000,1.141000,61664000.000000,557000.000000,61107000.000000,61664000.000000,0.000000,1348000.000000,0.000000,0.000000,0.000000,-5796000.000000,-4448000.000000,-0.086000,-4448000.000000,-5796000.000000,-6135000.000000,-0.016000,-0.016000,-0.016000,94223000.000000,,94223000.000000,230609630.000000,18.000000,12.698000,-12340000.000000,-0.051000,1.000000,17069000.000000,0.329000,22998000.000000,339000.000000,133639000.000000,,17057000.000000,0.000000,0.000000,0.000000,107493000.000000,46299000.000000,61194000.000000,-12934000.000000,394000.000000,0.000000,-352000.000000,0.000000,-266000.000000,-185000.000000,0.000000,-11761000.000000,-722000.000000,-3804000.000000,-3804000.000000,-3804000.000000,0.000000,0.000000,-0.073000,22865000.000000,-5796000.000000,29283000.000000,0.000000,2.435000,29.768000,25.631000,10301000.000000,0.000000,0.948000,0.868000,0.862000,54879000.000000,8296000.000000,51880000.000000,51880000.000000,5693000.000000,,,,,0.000000,16601000.000000,1.000000,241887132.000000,240180000.000000,240180000.000000,0.216000,178718000.000000,11102000.000000,-2331000.000000,0.000000,0.744000
ARQ,1998-09-30,1998-11-13,1998-09-30,1999-Q2,106907000.000000,299826923.000000,2023-07-31,83000.000000,228133000.000000,,176676000.000000,51457000.000000,,0.367000,-890000.000000,41568000.000000,41568000.000000,48832000.000000,-2234000.000000,2.532000,1.357000,71161000.000000,9665000.000000,61496000.000000,71161000.000000,0.000000,1431000.000000,0.000000,0.000000,0.000000,-2783000.000000,-1352000.000000,-0.020000,-1352000.000000,-2783000.000000,-3607000.000000,-0.008000,-0.008000,-0.008000,96779000.000000,,96779000.000000,329419923.000000,51.000000,26.161000,-24854000.000000,-0.094000,1.000000,17350000.000000,0.262000,22760000.000000,824000.000000,165197000.000000,,27243000.000000,0.000000,0.000000,0.000000,131354000.000000,69769000.000000,61585000.000000,-18876000.000000,260000.000000,389000.000000,4265000.000000,0.000000,5002000.000000,-630000.000000,0.000000,-23964000.000000,716000.000000,-2234000.000000,-2234000.000000,-2234000.000000,0.000000,0.000000,-0.034000,20133000.000000,-2783000.000000,40657000.000000,0.000000,3.098000,89.075000,62.778000,11466000.000000,0.000000,1.130000,1.005000,0.998000,66028000.000000,4780000.000000,66182000.000000,66182000.000000,3934000.000000,,,,,0.000000,15378000.000000,1.000000,265333560.000000,263640000.000000,263640000.000000,0.251000,205373000.000000,12978000.000000,-1373000.000000,0.000000,0.779000
ARQ,1998-12-31,1999-02-16,1998-12-31,1999-Q3,131138000.000000,269966304.000000,2023-07-31,144000.000000,341970000.000000,,292312000.000000,49658000.000000,,0.450000,-1318000.000000,51490000.000000,51490000.000000,131521000.000000,16022000.000000,1.814000,1.853000,73175000.000000,12303000.000000,60872000.000000,73175000.000000,0.000000,2059000.000000,0.000000,0.000000,0.000000,26328000.000000,28387000.000000,0.147000,28387000.000000,26328000.000000,25474000.000000,0.060000,0.053000,0.060000,119881000.000000,,119881000.000000,291651304.000000,17.000000,12.278000,4803000.000000,0.018000,1.000000,62016000.000000,0.320000,22279000.000000,854000.000000,180202000.000000,,37250000.000000,0.000000,0.000000,0.000000,222089000.000000,161174000.000000,60915000.000000,9922000.000000,-1000.000000,0.000000,2014000.000000,0.000000,5058000.000000,-1319000.000000,0.000000,6121000.000000,62000.000000,16022000.000000,16022000.000000,16022000.000000,0.000000,0.000000,0.083000,35688000.000000,26328000.000000,109411000.000000,0.000000,2.252000,26.703000,27.778000,11206000.000000,0.000000,1.000000,0.730000,0.720000,154099000.000000,20802000.000000,193537000.000000,193537000.000000,3985000.000000,,,,,0.000000,31305000.000000,1.000000,269966304.000000,266256000.000000,312876000.000000,0.727000,319691000.000000,7609000.000000,9452000.000000,0.000000,1.201000
ARQ,1999-03-31,1999-06-29,1999-03-31,1999-Q4,141314000.000000,321751472.000000,2023-07-31,-2510000.000000,283612000.000000,,236301000.000000,47311000.000000,,0.472000,-1013000.000000,32847000.000000,32847000.000000,82702000.000000,5270000.000000,2.488000,1.225000,67135000.000000,5992000.000000,61143000.000000,67135000.000000,0.000000,1650000.000000,0.000000,0.000000,0.000000,9496000.000000,11146000.000000,0.089000,11146000.000000,9496000.000000,8483000.000000,0.020000,0.018000,0.020000,127475000.000000,,127475000.000000,356039472.000000,13.000000,10.555000,46669000.000000,0.173000,1.000000,42184000.000000,0.338000,21647000.000000,1013000.000000,201266000.000000,,30931000.000000,0.000000,0.000000,0.000000,156137000.000000,94987000.000000,61150000.000000,-19506000.000000,-653000.000000,5680000.000000,-4776000.000000,0.000000,-2574000.000000,-62197000.000000,0.000000,47682000.000000,-2417000.000000,5270000.000000,5270000.000000,5270000.000000,0.000000,0.000000,0.042000,32688000.000000,9496000.000000,43853000.000000,0.000000,2.524000,21.093000,20.115000,10841000.000000,0.000000,1.167000,0.737000,0.711000,117522000.000000,26012000.000000,124886000.000000,124886000.000000,7810000.000000,,,,,0.000000,24483000.000000,1.000000,275786976.000000,269940000.000000,291216000.000000,0.463000,261965000.000000,8662000.000000,3213000.000000,0.000000,0.970000
