dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2009-06-30,2009-08-03,2009-05-03,2009-Q2,333000000.000000,,2025-03-17,9000000.000000,1805000000.000000,,615000000.000000,1190000000.000000,,0.354000,,241000000.000000,241000000.000000,,,2.181000,1.381000,706000000.000000,2000000.000000,704000000.000000,706000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,758000000.000000,,758000000.000000,,,,,,1.000000,,,856000000.000000,,1132000000.000000,,151000000.000000,0.000000,0.000000,0.000000,1047000000.000000,282000000.000000,765000000.000000,,,,,,,,,,,,,,,,,,,167000000.000000,,,,,276000000.000000,,,,,185000000.000000,-337000000.000000,,,,,,,,,,1.000000,2357368940.000000,2140000000.000000,,,949000000.000000,0.000000,,0.000000,0.443000
ARQ,2009-09-30,2009-09-03,2009-08-02,2009-Q3,365000000.000000,4113608800.000000,2025-03-17,9000000.000000,1775000000.000000,,616000000.000000,1159000000.000000,,0.356000,-12000000.000000,254000000.000000,254000000.000000,222000000.000000,2000000.000000,2.454000,1.342000,705000000.000000,2000000.000000,703000000.000000,705000000.000000,0.000000,40000000.000000,0.000000,0.000000,0.000000,28000000.000000,68000000.000000,0.187000,68000000.000000,28000000.000000,8000000.000000,0.001000,0.001000,0.001000,758000000.000000,,758000000.000000,4564608800.000000,,,19000000.000000,0.009000,1.000000,141000000.000000,0.388000,836000000.000000,20000000.000000,1139000000.000000,,153000000.000000,0.000000,0.000000,0.000000,1017000000.000000,251000000.000000,766000000.000000,13000000.000000,0.000000,-5000000.000000,-1000000.000000,0.000000,-6000000.000000,-12000000.000000,0.000000,31000000.000000,0.000000,2000000.000000,2000000.000000,2000000.000000,0.000000,0.000000,0.006000,117000000.000000,24000000.000000,152000000.000000,0.000000,5.427000,,,273000000.000000,0.000000,1.745000,,,178000000.000000,-335000000.000000,363000000.000000,363000000.000000,59000000.000000,,,,,3000000.000000,40000000.000000,1.000000,2357368940.000000,2130000000.000000,2180000000.000000,0.170000,939000000.000000,0.000000,6000000.000000,0.000000,0.441000
ARQ,2009-12-31,2009-12-15,2009-11-01,2009-Q4,231000000.000000,3940477096.000000,2025-03-17,3000000.000000,1970000000.000000,,864000000.000000,1106000000.000000,,0.444000,-20000000.000000,472000000.000000,472000000.000000,250000000.000000,-21000000.000000,1.365000,0.894000,599000000.000000,366000000.000000,233000000.000000,599000000.000000,0.000000,40000000.000000,0.000000,0.000000,0.000000,-3000000.000000,37000000.000000,0.086000,37000000.000000,-3000000.000000,-22000000.000000,-0.009000,-0.009000,-0.009000,1040000000.000000,,1040000000.000000,4067477096.000000,99.000000,20.236000,26000000.000000,0.011000,1.000000,178000000.000000,0.416000,818000000.000000,19000000.000000,646000000.000000,,162000000.000000,0.000000,0.000000,0.000000,930000000.000000,633000000.000000,297000000.000000,218000000.000000,0.000000,304000000.000000,-112000000.000000,0.000000,193000000.000000,-21000000.000000,0.000000,46000000.000000,0.000000,-21000000.000000,-21000000.000000,-21000000.000000,0.000000,0.000000,-0.049000,173000000.000000,5000000.000000,154000000.000000,0.000000,3.789000,-89.556000,-83.700000,264000000.000000,0.000000,1.674000,2.655000,2.470000,186000000.000000,-356000000.000000,428000000.000000,428000000.000000,65000000.000000,,,,,5000000.000000,47000000.000000,1.000000,2353928970.000000,2340000000.000000,2340000000.000000,0.183000,1152000000.000000,0.000000,-1000000.000000,0.000000,0.492000
ARQ,2010-03-31,2010-03-04,2010-01-31,2010-Q1,309000000.000000,4530328782.000000,2025-03-17,3000000.000000,1632000000.000000,,557000000.000000,1075000000.000000,,0.461000,-9000000.000000,144000000.000000,144000000.000000,262000000.000000,38000000.000000,2.246000,0.501000,235000000.000000,3000000.000000,232000000.000000,235000000.000000,0.000000,39000000.000000,0.000000,0.000000,0.000000,53000000.000000,92000000.000000,0.202000,92000000.000000,53000000.000000,42000000.000000,0.016000,0.016000,0.016000,1087000000.000000,,1087000000.000000,4621328782.000000,,,32000000.000000,0.014000,1.000000,194000000.000000,0.425000,798000000.000000,11000000.000000,677000000.000000,,166000000.000000,0.000000,0.000000,0.000000,545000000.000000,248000000.000000,297000000.000000,-328000000.000000,0.000000,4000000.000000,-364000000.000000,0.000000,-360000000.000000,-9000000.000000,0.000000,41000000.000000,0.000000,38000000.000000,38000000.000000,38000000.000000,0.000000,0.000000,0.083000,116000000.000000,78000000.000000,160000000.000000,0.000000,4.168000,,,254000000.000000,0.000000,1.906000,,,203000000.000000,-318000000.000000,456000000.000000,456000000.000000,64000000.000000,,,,,5000000.000000,46000000.000000,1.000000,2376877640.000000,2360000000.000000,2440000000.000000,0.193000,834000000.000000,0.000000,4000000.000000,0.000000,0.353000
ARQ,2010-06-30,2010-06-03,2010-05-02,2010-Q2,446000000.000000,5168553820.000000,2025-03-17,3000000.000000,1782000000.000000,,727000000.000000,1055000000.000000,,0.504000,-17000000.000000,256000000.000000,256000000.000000,282000000.000000,90000000.000000,2.587000,0.485000,236000000.000000,2000000.000000,234000000.000000,236000000.000000,0.000000,40000000.000000,0.000000,0.000000,0.000000,107000000.000000,147000000.000000,0.285000,147000000.000000,107000000.000000,99000000.000000,0.038000,0.037000,0.038000,1200000000.000000,,1200000000.000000,5148553820.000000,28.000000,14.967000,98000000.000000,0.041000,1.000000,233000000.000000,0.452000,778000000.000000,8000000.000000,703000000.000000,,178000000.000000,0.000000,0.000000,0.000000,582000000.000000,281000000.000000,301000000.000000,112000000.000000,-1000000.000000,15000000.000000,-1000000.000000,0.000000,15000000.000000,-18000000.000000,0.000000,115000000.000000,0.000000,90000000.000000,90000000.000000,90000000.000000,0.000000,0.000000,0.175000,125000000.000000,108000000.000000,169000000.000000,0.000000,4.307000,47.418000,47.087000,261000000.000000,0.000000,2.166000,2.933000,2.926000,249000000.000000,-228000000.000000,515000000.000000,515000000.000000,70000000.000000,,,,,5000000.000000,48000000.000000,1.000000,2386220600.000000,2380000000.000000,2460000000.000000,0.216000,1004000000.000000,0.000000,9000000.000000,0.000000,0.422000
ARQ,2010-09-30,2010-09-02,2010-08-01,2010-Q3,588000000.000000,5038649374.000000,2025-03-17,3000000.000000,1920000000.000000,,873000000.000000,1047000000.000000,,0.558000,-21000000.000000,367000000.000000,367000000.000000,287000000.000000,123000000.000000,3.063000,0.440000,236000000.000000,2000000.000000,234000000.000000,236000000.000000,0.000000,40000000.000000,0.000000,0.000000,0.000000,135000000.000000,175000000.000000,0.318000,175000000.000000,135000000.000000,127000000.000000,0.051000,0.050000,0.051000,1333000000.000000,,1333000000.000000,4907649374.000000,17.000000,10.882000,116000000.000000,0.049000,1.000000,263000000.000000,0.478000,765000000.000000,8000000.000000,739000000.000000,,185000000.000000,0.000000,0.000000,0.000000,587000000.000000,285000000.000000,302000000.000000,111000000.000000,-8000000.000000,3000000.000000,0.000000,0.000000,3000000.000000,-29000000.000000,0.000000,137000000.000000,0.000000,123000000.000000,123000000.000000,123000000.000000,0.000000,0.000000,0.224000,128000000.000000,135000000.000000,172000000.000000,0.000000,3.780000,21.907000,21.927000,266000000.000000,0.000000,2.105000,2.585000,2.581000,279000000.000000,-105000000.000000,550000000.000000,550000000.000000,71000000.000000,,,,,7000000.000000,51000000.000000,1.000000,2393657660.000000,2390000000.000000,2470000000.000000,0.230000,1155000000.000000,0.000000,4000000.000000,0.000000,0.483000
ARQ,2010-12-31,2010-12-15,2010-10-31,2010-Q4,522000000.000000,6377953903.000000,2025-03-17,-4000000.000000,2157000000.000000,,1087000000.000000,1070000000.000000,,0.632000,-30000000.000000,561000000.000000,561000000.000000,296000000.000000,164000000.000000,1.924000,0.433000,236000000.000000,232000000.000000,4000000.000000,236000000.000000,0.000000,40000000.000000,0.000000,0.003000,0.007000,145000000.000000,185000000.000000,0.323000,185000000.000000,145000000.000000,138000000.000000,0.069000,0.067000,0.069000,1505000000.000000,,1505000000.000000,6052953903.000000,14.000000,10.105000,187000000.000000,0.079000,1.000000,276000000.000000,0.483000,745000000.000000,7000000.000000,522000000.000000,,189000000.000000,0.000000,0.000000,0.000000,652000000.000000,565000000.000000,87000000.000000,194000000.000000,0.000000,6000000.000000,-1000000.000000,0.000000,7000000.000000,-30000000.000000,0.000000,217000000.000000,0.000000,164000000.000000,164000000.000000,164000000.000000,0.000000,0.000000,0.287000,131000000.000000,145000000.000000,198000000.000000,0.101000,4.238000,15.369000,15.172000,281000000.000000,0.000000,2.640000,3.047000,3.002000,285000000.000000,59000000.000000,572000000.000000,572000000.000000,75000000.000000,,,,,6000000.000000,51000000.000000,1.000000,2415891630.000000,2380000000.000000,2460000000.000000,0.240000,1412000000.000000,0.000000,-26000000.000000,0.000000,0.593000
ARQ,2011-03-31,2011-03-10,2011-01-30,2011-Q1,673000000.000000,7604238060.000000,2025-03-17,-4000000.000000,1971000000.000000,,910000000.000000,1061000000.000000,,0.679000,-32000000.000000,363000000.000000,363000000.000000,279000000.000000,119000000.000000,3.840000,0.199000,7000000.000000,2000000.000000,5000000.000000,7000000.000000,0.000000,41000000.000000,0.000000,0.002000,0.000000,123000000.000000,164000000.000000,0.298000,164000000.000000,123000000.000000,120000000.000000,0.049000,0.048000,0.049000,1644000000.000000,,1644000000.000000,7248238060.000000,14.000000,10.802000,35000000.000000,0.014000,1.000000,271000000.000000,0.493000,732000000.000000,3000000.000000,646000000.000000,,203000000.000000,0.000000,0.000000,0.000000,327000000.000000,237000000.000000,90000000.000000,-198000000.000000,-9000000.000000,22000000.000000,-231000000.000000,-17000000.000000,-224000000.000000,-41000000.000000,0.000000,67000000.000000,0.000000,119000000.000000,119000000.000000,119000000.000000,0.000000,0.000000,0.216000,129000000.000000,142000000.000000,156000000.000000,0.000000,4.625000,15.331000,14.979000,281000000.000000,0.000000,3.101000,3.477000,3.431000,291000000.000000,161000000.000000,550000000.000000,550000000.000000,73000000.000000,,,,,13000000.000000,50000000.000000,1.000000,2452386700.000000,2420000000.000000,2500000000.000000,0.227000,1239000000.000000,0.000000,1000000.000000,0.000000,0.512000
ARQ,2011-06-30,2011-06-09,2011-05-01,2011-Q2,832000000.000000,8445982288.000000,2025-03-17,-3000000.000000,2177000000.000000,,1128000000.000000,1049000000.000000,,0.731000,-19000000.000000,596000000.000000,596000000.000000,285000000.000000,135000000.000000,3.811000,0.216000,6000000.000000,2000000.000000,4000000.000000,6000000.000000,0.000000,38000000.000000,0.000000,0.004000,0.008000,138000000.000000,176000000.000000,0.314000,176000000.000000,138000000.000000,137000000.000000,0.055000,0.054000,0.055000,1791000000.000000,,1791000000.000000,7855982288.000000,15.000000,11.223000,232000000.000000,0.095000,1.000000,275000000.000000,0.491000,715000000.000000,1000000.000000,576000000.000000,,194000000.000000,0.000000,0.000000,0.000000,386000000.000000,296000000.000000,90000000.000000,233000000.000000,0.000000,22000000.000000,-1000000.000000,-20000000.000000,1000000.000000,-19000000.000000,0.000000,251000000.000000,0.000000,135000000.000000,135000000.000000,135000000.000000,0.000000,0.000000,0.241000,137000000.000000,138000000.000000,206000000.000000,0.145000,4.716000,15.612000,15.281000,285000000.000000,0.000000,3.423000,3.784000,3.757000,289000000.000000,276000000.000000,560000000.000000,560000000.000000,76000000.000000,,,,,9000000.000000,55000000.000000,1.000000,2467421060.000000,2450000000.000000,2520000000.000000,0.229000,1462000000.000000,0.000000,2000000.000000,0.000000,0.597000
ARQ,2011-09-30,2011-09-08,2011-07-31,2011-Q3,918000000.000000,8123119067.000000,2025-03-17,0.000000,2273000000.000000,,1229000000.000000,1044000000.000000,,0.760000,-24000000.000000,704000000.000000,704000000.000000,306000000.000000,144000000.000000,3.952000,0.216000,6000000.000000,2000000.000000,4000000.000000,6000000.000000,0.000000,39000000.000000,0.000000,0.007000,0.009000,145000000.000000,184000000.000000,0.305000,184000000.000000,145000000.000000,145000000.000000,0.059000,0.057000,0.059000,1870000000.000000,,1870000000.000000,7425119067.000000,13.000000,10.473000,189000000.000000,0.077000,1.000000,297000000.000000,0.493000,696000000.000000,0.000000,568000000.000000,,200000000.000000,0.000000,0.000000,0.000000,403000000.000000,311000000.000000,92000000.000000,108000000.000000,0.000000,-57000000.000000,0.000000,-22000000.000000,-81000000.000000,-24000000.000000,0.000000,213000000.000000,0.000000,144000000.000000,144000000.000000,144000000.000000,0.000000,0.000000,0.239000,152000000.000000,145000000.000000,196000000.000000,0.153000,4.344000,14.454000,14.263000,296000000.000000,0.000000,3.309000,3.555000,3.562000,285000000.000000,398000000.000000,603000000.000000,603000000.000000,85000000.000000,,,,,11000000.000000,60000000.000000,1.000000,2454856170.000000,2460000000.000000,2530000000.000000,0.245000,1577000000.000000,0.000000,1000000.000000,0.000000,0.641000
