dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-10-13,2014-12-31,2014-Q4,7167173.000000,,2025-05-12,0.000000,12316894.000000,,12160989.000000,155905.000000,,-118109.683000,,11800682.000000,11800682.000000,,,2.435000,-0.391000,7214090.000000,1905879.000000,5308211.000000,7214090.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-26330664.000000,,-26330664.000000,,,,,,1.000000,,,0.000000,,2736486.000000,,0.000000,117165.000000,0.000000,117165.000000,10302027.000000,4993816.000000,5308211.000000,,,,,,,,,,,,,,,,,,,931139.000000,,,,,38740.000000,,,,,0.000000,-43073377.000000,,,,,,,,,,1.000000,3077.000000,223.000000,,,12316894.000000,0.000000,,0.000000,55249.060000
ARQ,2015-09-30,2015-11-13,2015-09-30,2015-Q3,-3241110.000000,34520567.000000,2025-05-12,0.000000,5451371.000000,,3413051.000000,2038320.000000,,-145617.987000,,3307992.000000,3307992.000000,0.000000,-691081.000000,0.513000,-0.303000,6324252.000000,3128785.000000,3195467.000000,6324252.000000,0.000000,,0.000000,0.000000,0.000000,-493611.000000,,,,-493611.000000,-691081.000000,-3052.812000,-3052.812000,-3052.812000,-32850981.000000,,-32850981.000000,37536827.000000,,,,,1.000000,0.000000,,0.000000,197470.000000,1813470.000000,,0.000000,117165.000000,0.000000,117165.000000,9956821.000000,6654161.000000,3302660.000000,,,,,,,,,,,-691081.000000,-691081.000000,-691081.000000,0.000000,0.000000,,1959033.000000,-1959033.000000,1951556.000000,0.000000,-1.051000,,,41364.000000,0.000000,11520.046000,,,0.000000,-49914920.000000,0.000000,0.000000,1237375.000000,,,,,,721658.000000,1.000000,2997.000000,226.000000,226.000000,0.000000,5451371.000000,0.000000,0.000000,0.000000,24164.200000
ARQ,2015-12-31,2016-03-23,2015-12-31,2015-Q4,15772531.000000,31313519.000000,2025-05-12,0.000000,21657565.000000,,21622349.000000,35216.000000,,16927.616000,0.000000,21220799.000000,21220799.000000,0.000000,-3648558.000000,3.696000,0.655000,5561556.000000,3208074.000000,2353482.000000,5561556.000000,0.000000,6148.000000,0.000000,0.000000,0.000000,-3490125.000000,-3483977.000000,,-3483977.000000,-3490125.000000,-3648558.000000,16761.667000,16761.667000,16761.667000,13083727.000000,,13083727.000000,15654276.000000,-2.000000,-1.618000,-3548280.000000,-4590.735000,1.000000,0.000000,,0.000000,158433.000000,148504.000000,,0.000000,0.000000,0.000000,0.000000,8573838.000000,5849818.000000,2724020.000000,17853975.000000,0.000000,23685270.000000,-787946.000000,0.000000,21402255.000000,0.000000,0.000000,-3548280.000000,0.000000,-3648558.000000,-3648558.000000,-3648558.000000,0.000000,0.000000,,3675491.000000,-3675491.000000,678109.000000,0.000000,2.393000,-2.985000,-0.769000,35216.000000,0.000000,10425.642000,,,0.000000,-53563480.000000,0.000000,0.000000,1751202.000000,,,,,73520.000000,1924289.000000,1.000000,3004.000000,773.000000,773.000000,0.000000,21657565.000000,0.000000,0.000000,0.000000,28020.376000
ARQ,2016-03-31,2016-05-16,2016-03-31,2016-Q1,10720004.000000,32351536.000000,2025-05-12,0.000000,16929341.000000,,16892014.000000,37327.000000,,2956.881000,-8898.000000,16660473.000000,16660473.000000,0.000000,-5140013.000000,2.737000,0.906000,4791754.000000,3304004.000000,1487750.000000,4791754.000000,0.000000,6788.000000,0.000000,0.000000,0.000000,-4989470.000000,-4982682.000000,,-4982682.000000,-4989470.000000,-5140013.000000,-1699.207000,-1699.207000,-1699.207000,8881022.000000,,8881022.000000,20482817.000000,,,-3715458.000000,-1237.039000,1.000000,0.000000,,0.000000,150543.000000,-1111388.000000,,0.000000,0.000000,0.000000,0.000000,8048319.000000,6172010.000000,1876309.000000,-4560326.000000,0.000000,0.000000,-803900.000000,0.000000,-844868.000000,-8898.000000,0.000000,-3706560.000000,0.000000,-5140013.000000,-5140013.000000,-5140013.000000,0.000000,0.000000,,4942366.000000,-4942366.000000,591034.000000,0.000000,3.643000,,,37327.000000,0.000000,10771.243000,,,0.000000,-58703493.000000,0.000000,0.000000,2293273.000000,,,,,937308.000000,2649093.000000,1.000000,3004.000000,3004.000000,3004.000000,0.000000,16929341.000000,0.000000,0.000000,0.000000,5636.519000
ARQ,2016-06-30,2016-08-15,2016-06-30,2016-Q2,6545248.000000,34687075.000000,2025-05-12,0.000000,13171784.000000,,13130827.000000,40957.000000,,1854.821000,-10259.000000,11938377.000000,11938377.000000,0.000000,-3524160.000000,1.994000,1.364000,4002096.000000,3390993.000000,611103.000000,4002096.000000,0.000000,6628.000000,0.000000,0.000000,0.000000,-3397283.000000,-3390655.000000,-5.212000,-3390655.000000,-3397283.000000,-3524160.000000,-1180.805000,-1180.805000,-1180.805000,5570973.000000,,5570973.000000,26750794.000000,-2.000000,,-3729925.000000,-1241.855000,1.000000,650488.000000,1.000000,0.000000,126877.000000,-1350076.000000,,0.000000,0.000000,0.000000,0.000000,7600811.000000,6585579.000000,1015232.000000,-4722096.000000,0.000000,0.000000,-1033139.000000,0.000000,-992171.000000,-10259.000000,0.000000,-3719666.000000,0.000000,-3524160.000000,-3524160.000000,-3524160.000000,0.000000,0.000000,-5.418000,4138525.000000,-3488037.000000,756464.000000,0.000000,6.226000,-2.667000,1.066000,40957.000000,0.000000,11548.846000,53.325000,53.325000,650488.000000,-62227654.000000,650488.000000,650488.000000,2501753.000000,,,,,214112.000000,1636772.000000,1.000000,3004.000000,3004.000000,3004.000000,216.576000,13171784.000000,0.000000,0.000000,0.000000,4385.464000
ARQ,2016-09-30,2016-11-08,2016-09-30,2016-Q3,1996433.000000,36963925.000000,2025-05-12,0.000000,9582732.000000,,9492338.000000,90394.000000,,193.010000,-6489.000000,8903059.000000,8903059.000000,0.000000,-6168725.000000,1.266000,15.330000,3189793.000000,3189793.000000,0.000000,3189793.000000,0.000000,7052.000000,0.000000,0.000000,0.000000,-6064542.000000,-6057490.000000,-18.842000,-6057490.000000,-6064542.000000,-6168725.000000,-2016.008000,-2016.008000,-2016.008000,586827.000000,,586827.000000,31250659.000000,-2.000000,-1.744000,-3440447.000000,-1131.576000,1.000000,321497.000000,1.000000,0.000000,104183.000000,-3626439.000000,,0.000000,50001.000000,0.000000,50001.000000,8995905.000000,7495905.000000,1500000.000000,-3064368.000000,0.000000,1000000.000000,-623921.000000,0.000000,376079.000000,-6489.000000,0.000000,-3433958.000000,0.000000,-6168725.000000,-6168725.000000,-6168725.000000,0.000000,0.000000,-19.188000,6284793.000000,-5963296.000000,809151.000000,0.000000,62.989000,-2.000000,0.968000,40393.000000,0.000000,11491.246000,38.029000,35.945000,379256.000000,-68396379.000000,321497.000000,321497.000000,4581605.000000,,,,,287774.000000,1703188.000000,1.000000,3217.000000,3040.000000,3040.000000,105.742000,9582732.000000,0.000000,0.000000,0.000000,3151.798000
ARQ,2016-12-31,2017-03-14,2016-12-31,2016-Q4,1350931.000000,8704492.000000,2025-05-12,0.000000,5768865.000000,,5662794.000000,106071.000000,,64.352000,-9237.000000,5139069.000000,5139069.000000,0.000000,-1638704.000000,1.313000,26.869000,2353667.000000,2353667.000000,0.000000,2353667.000000,0.000000,6388.000000,0.000000,0.000000,0.000000,-1556126.000000,-1549738.000000,-8.562000,-1549738.000000,-1556126.000000,-1638704.000000,-460.802000,-460.802000,-460.802000,207002.000000,,207002.000000,5919090.000000,0.000000,-0.370000,-3722191.000000,-1157.147000,1.000000,181002.000000,1.000000,0.000000,82578.000000,-1328400.000000,,0.000000,62828.000000,0.000000,62828.000000,5561863.000000,4311863.000000,1250000.000000,-3687219.000000,0.000000,1003182.000000,-853265.000000,0.000000,34972.000000,-9237.000000,0.000000,-3712954.000000,0.000000,-1638704.000000,-1638704.000000,-1638704.000000,0.000000,0.000000,-9.054000,1867348.000000,-1686346.000000,1010209.000000,0.000000,42.050000,-0.528000,-0.433000,43243.000000,0.000000,2333.097000,7.550000,6.204000,132472.000000,-70035083.000000,181002.000000,181002.000000,773246.000000,,,,,255697.000000,1094102.000000,1.000000,3731.000000,3217.000000,3217.000000,56.270000,5768865.000000,0.000000,0.000000,0.000000,1793.413000
ARQ,2017-03-31,2017-05-09,2017-03-31,2017-Q1,722194.000000,11545384.000000,2025-05-12,0.000000,3560770.000000,,3458722.000000,102048.000000,,-120.026000,-1801.000000,3021756.000000,3021756.000000,0.000000,-1960638.000000,1.264000,-9.363000,1492356.000000,1492356.000000,0.000000,1492356.000000,0.000000,5830.000000,0.000000,0.000000,0.000000,-1902890.000000,-1897060.000000,-4.938000,-1897060.000000,-1902890.000000,-1960638.000000,-547.202000,-547.202000,-547.202000,-425758.000000,,-425758.000000,10015984.000000,-1.000000,-0.777000,-2247364.000000,-633.558000,1.000000,384206.000000,1.000000,0.000000,57748.000000,-705158.000000,,0.000000,62834.000000,0.000000,62834.000000,3986528.000000,2736528.000000,1250000.000000,-2126405.000000,0.000000,1186564.000000,-1065605.000000,0.000000,120959.000000,-1801.000000,0.000000,-2245563.000000,0.000000,-1960638.000000,-1960638.000000,-1960638.000000,0.000000,0.000000,-5.103000,2283335.000000,-1899129.000000,595876.000000,0.000000,-27.117000,-0.869000,-0.562000,39214.000000,0.000000,2361.321000,7.511000,5.449000,187363.000000,-71995721.000000,384206.000000,384206.000000,953071.000000,,,,,332219.000000,1330264.000000,1.000000,4889.000000,3547.000000,3547.000000,108.312000,3560770.000000,0.000000,0.000000,0.000000,1003.822000
ARQ,2017-06-30,2017-08-14,2017-06-30,2017-Q2,4289299.000000,15247302.000000,2025-05-12,0.000000,6047731.000000,,5951535.000000,96196.000000,,680.713000,0.000000,5473999.000000,5473999.000000,0.000000,-1798515.000000,3.580000,0.929000,607598.000000,607598.000000,0.000000,607598.000000,0.000000,5859.000000,0.000000,0.000000,0.000000,-1772884.000000,-1767025.000000,-11.198000,-1767025.000000,-1772884.000000,-1798515.000000,-403.202000,-403.202000,-403.202000,3135495.000000,,3135495.000000,10380901.000000,-1.000000,-0.921000,-1752157.000000,-380.392000,1.000000,157800.000000,1.000000,0.000000,25631.000000,-480906.000000,,0.000000,62841.000000,0.000000,62841.000000,2912236.000000,1662236.000000,1250000.000000,2459146.000000,0.000000,5192365.000000,-981062.000000,0.000000,4211303.000000,0.000000,0.000000,-1752157.000000,0.000000,-1798515.000000,-1798515.000000,-1798515.000000,0.000000,0.000000,-11.397000,1932795.000000,-1774995.000000,327302.000000,0.000000,4.863000,-1.318000,-0.492000,33355.000000,0.000000,1685.383000,14.598000,7.432000,75242.000000,-73794235.000000,157800.000000,157800.000000,493649.000000,,,,,255744.000000,1439146.000000,1.000000,9047.000000,4606.000000,4606.000000,34.258000,6047731.000000,0.000000,0.000000,0.000000,1312.958000
ARQ,2017-09-30,2017-11-07,2017-09-30,2017-Q3,23273322.000000,28660342.000000,2025-05-12,0.000000,28203549.000000,,28106519.000000,97030.000000,,2979.367000,-6189.000000,23984556.000000,23984556.000000,0.000000,18720610.000000,5.815000,0.275000,0.000000,0.000000,0.000000,0.000000,0.000000,5361.000000,0.000000,0.000000,0.000000,21921223.000000,21926584.000000,0.876000,21926584.000000,21921223.000000,21950610.000000,1497.606000,1497.606000,1497.606000,22120352.000000,,22120352.000000,4675786.000000,0.000000,0.280000,19101309.000000,2572.736000,1.000000,25037592.000000,1.000000,0.000000,-29387.000000,-614204.000000,,0.000000,62847.000000,0.000000,62847.000000,6083197.000000,4833197.000000,1250000.000000,18494698.000000,0.000000,-1.000000,-606610.000000,0.000000,-606611.000000,-6189.000000,0.000000,19107498.000000,0.000000,18720610.000000,18720610.000000,18720610.000000,0.000000,0.000000,0.748000,3116433.000000,21921159.000000,312514.000000,0.000000,1.296000,2.151000,36.667000,34183.000000,0.000000,3168.013000,1.113000,0.913000,30135.000000,-55073625.000000,25037592.000000,25037592.000000,964574.000000,,,,,264247.000000,2151859.000000,1.000000,9047.000000,7425.000000,7433.000000,3372.287000,28203549.000000,0.000000,3230000.000000,3230000.000000,3798.707000
