dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2006-09-30,2006-12-21,2006-09-30,2006-Q4,-15511.000000,,2025-05-14,0.000000,12495.000000,,12495.000000,0.000000,,-0.003000,,12275.000000,12275.000000,,,0.446000,-1.806000,20000.000000,20000.000000,0.000000,20000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-15511.000000,,-15511.000000,,,,,,1.000000,,,0.000000,,-7786.000000,,0.000000,0.000000,0.000000,0.000000,28006.000000,28006.000000,0.000000,,,,,,,,,,,,,,,,,,,8006.000000,,,,,0.000000,,,,,0.000000,-131552.000000,,,,,,,,,,1.000000,4800000.000000,4800000.000000,,,12495.000000,0.000000,,0.000000,0.003000
ARQ,2006-12-31,2007-02-14,2006-12-31,2007-Q1,-27806.000000,62400000.000000,2025-05-14,0.000000,4516.000000,,4516.000000,0.000000,,-0.006000,0.000000,4516.000000,4516.000000,0.000000,-12295.000000,0.140000,-1.162000,20000.000000,20000.000000,0.000000,20000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-12168.000000,-12168.000000,,-12168.000000,-12168.000000,-12295.000000,0.000000,0.000000,0.000000,-27806.000000,,-27806.000000,62415484.000000,,,-7759000.000000,-1.616000,1.000000,0.000000,,0.000000,127.000000,-12322.000000,,0.000000,0.000000,0.000000,0.000000,32322.000000,32322.000000,0.000000,-7759000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7759000.000000,0.000000,-12295.000000,-12295.000000,-12295.000000,0.000000,0.000000,,12212.000000,-12212.000000,12322.000000,,-2244.120000,,,0.000000,0.000000,13.000000,,,0.000000,-143847.000000,0.000000,0.000000,0.000000,,,,,0.000000,12212.000000,1.000000,4800000.000000,4800000.000000,4800000.000000,0.000000,4516.000000,0.000000,0.000000,0.000000,0.001000
ARQ,2007-03-31,2007-05-15,2007-03-31,2007-Q2,-196910.000000,72000000.000000,2025-05-14,0.000000,15022.000000,,15022.000000,0.000000,,-0.041000,0.000000,15022.000000,15022.000000,0.000000,-169104.000000,0.071000,-1.076000,85000.000000,85000.000000,0.000000,85000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-168645.000000,-168645.000000,,-168645.000000,-168645.000000,-169104.000000,-0.040000,-0.040000,-0.040000,-196910.000000,,-196910.000000,72069978.000000,,,7696747.000000,1.603000,1.000000,0.000000,,0.000000,459.000000,-126932.000000,,0.000000,0.000000,0.000000,0.000000,211932.000000,211932.000000,0.000000,7761747.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7696747.000000,0.000000,-169104.000000,-169104.000000,-169104.000000,0.000000,0.000000,,168783.000000,-168783.000000,126932.000000,0.000000,-365.649000,,,0.000000,0.000000,15.000000,,,0.000000,-312951.000000,0.000000,0.000000,25543.000000,,,,,0.000000,129654.000000,1.000000,4800000.000000,4800000.000000,4800000.000000,0.000000,15022.000000,0.000000,0.000000,0.000000,0.003000
ARQ,2007-06-30,2007-08-14,2007-06-30,2007-Q3,-451757.000000,71808000.000000,2025-05-14,0.000000,118.000000,,118.000000,0.000000,,-0.094000,0.000000,118.000000,118.000000,0.000000,-254847.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-253209.000000,-253209.000000,,-253209.000000,-253209.000000,-254847.000000,-0.040000,-0.040000,-0.040000,-451757.000000,,-451757.000000,71807882.000000,,,-202904.000000,-0.042000,1.000000,0.000000,,0.000000,1638.000000,-451875.000000,,0.000000,0.000000,0.000000,0.000000,451875.000000,451875.000000,0.000000,-14904.000000,0.000000,0.000000,0.000000,0.000000,253000.000000,0.000000,0.000000,-202904.000000,0.000000,-254847.000000,-254847.000000,-254847.000000,0.000000,0.000000,,253931.000000,-253931.000000,178875.000000,0.000000,-158.953000,,,0.000000,0.000000,14.960000,,,0.000000,-567798.000000,0.000000,0.000000,39953.000000,,,,,0.000000,183978.000000,1.000000,4800000.000000,4800000.000000,4800000.000000,0.000000,118.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2007-09-30,2008-01-15,2007-09-30,2007-Q4,-462504.000000,104146532.000000,2025-05-14,0.000000,25.000000,,25.000000,0.000000,,-0.096000,0.000000,25.000000,25.000000,0.000000,-1143747.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1142662.000000,-1142662.000000,,-1142662.000000,-1142662.000000,-1143747.000000,-0.240000,-0.240000,-0.240000,-462504.000000,,-462504.000000,104146507.000000,-66.000000,-66.054000,-60093.000000,-0.013000,1.000000,0.000000,,0.000000,1085.000000,-462529.000000,,0.000000,0.000000,0.000000,0.000000,462529.000000,462529.000000,0.000000,-93.000000,0.000000,0.000000,0.000000,0.000000,60000.000000,0.000000,0.000000,-60093.000000,0.000000,-1143747.000000,-1143747.000000,-1143747.000000,0.000000,0.000000,,1142996.000000,-1142996.000000,462529.000000,0.000000,-225.180000,-65.916000,-66.000000,0.000000,0.000000,21.120000,,,0.000000,-1711545.000000,0.000000,0.000000,894202.000000,,,,,0.000000,287114.000000,1.000000,4931180.000000,4804565.000000,4804565.000000,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000
ARQ,2007-12-31,2008-02-14,2007-12-31,2008-Q1,-440142.000000,103752038.000000,2025-05-14,0.000000,130582.000000,,58582.000000,72000.000000,,-0.075000,-72000.000000,48582.000000,48582.000000,0.000000,-917306.000000,0.117000,-1.355000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-915764.000000,-915764.000000,,-915764.000000,-915764.000000,-917306.000000,-0.200000,-0.200000,-0.200000,-368142.000000,,-368142.000000,103903456.000000,-42.000000,-41.892000,-676443.000000,-0.139000,1.000000,0.000000,,72000.000000,1542.000000,-288724.000000,,0.000000,0.000000,0.000000,0.000000,498724.000000,498724.000000,0.000000,48557.000000,0.000000,525000.000000,200000.000000,0.000000,725000.000000,-72000.000000,0.000000,-604443.000000,0.000000,-917306.000000,-917306.000000,-917306.000000,0.000000,0.000000,,915764.000000,-915764.000000,298724.000000,0.000000,-281.826000,-41.751000,-40.462000,0.000000,0.000000,21.040000,,,0.000000,-2628851.000000,0.000000,0.000000,223150.000000,,,,,248668.000000,413664.000000,1.000000,4931180.000000,4881410.000000,4881410.000000,0.000000,58582.000000,0.000000,0.000000,0.000000,0.012000
ARQ,2007-12-31,2008-02-19,2007-12-31,2008-Q1,-440142.000000,99609846.000000,2025-05-14,0.000000,130582.000000,,58582.000000,72000.000000,,-0.075000,-72000.000000,48582.000000,48582.000000,0.000000,-917306.000000,0.117000,-1.355000,200000.000000,200000.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-915764.000000,-915764.000000,,-915764.000000,-915764.000000,-917306.000000,-0.200000,-0.200000,-0.200000,-368142.000000,,-368142.000000,99761264.000000,-40.000000,-40.222000,-676443.000000,-0.139000,1.000000,0.000000,,72000.000000,1542.000000,-288724.000000,,0.000000,0.000000,0.000000,0.000000,498724.000000,498724.000000,0.000000,48557.000000,0.000000,525000.000000,200000.000000,0.000000,725000.000000,-72000.000000,0.000000,-604443.000000,0.000000,-917306.000000,-917306.000000,-917306.000000,0.000000,0.000000,,915764.000000,-915764.000000,298724.000000,0.000000,-270.575000,-40.084000,-38.846000,0.000000,0.000000,20.200000,,,0.000000,-2628851.000000,0.000000,0.000000,223150.000000,,,,,248668.000000,413664.000000,1.000000,4931180.000000,4881410.000000,4881410.000000,0.000000,58582.000000,0.000000,0.000000,0.000000,0.012000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q2,-1093521.000000,103357543.000000,2025-05-14,0.000000,92892.000000,,14188.000000,78704.000000,,-0.206000,-6794.000000,9188.000000,9188.000000,0.000000,-682007.000000,0.013000,-1.092000,675000.000000,675000.000000,0.000000,675000.000000,0.000000,90.000000,0.000000,0.000000,0.000000,-669928.000000,-669838.000000,,-669838.000000,-669928.000000,-682007.000000,-0.120000,-0.120000,-0.120000,-1014817.000000,,-1014817.000000,104023355.000000,-35.000000,-34.890000,-514394.000000,-0.104000,1.000000,0.000000,,77712.000000,12079.000000,-426717.000000,,0.000000,0.000000,0.000000,0.000000,1107709.000000,1107709.000000,0.000000,-39394.000000,0.000000,0.000000,475000.000000,0.000000,475000.000000,-6794.000000,0.000000,-507600.000000,0.000000,-682007.000000,-682007.000000,-682007.000000,0.000000,0.000000,,659652.000000,-659652.000000,432709.000000,0.000000,-101.848000,-34.477000,-34.933000,992.000000,0.000000,20.960000,,,0.000000,-3310858.000000,0.000000,0.000000,223566.000000,,,,,35332.000000,370754.000000,1.000000,4931180.000000,4931180.000000,4931180.000000,0.000000,15180.000000,0.000000,0.000000,0.000000,0.003000
ARQ,2008-06-30,2008-08-18,2008-06-30,2008-Q3,-1780043.000000,100333891.000000,2025-05-14,0.000000,111660.000000,,10799.000000,100861.000000,,-0.340000,-26883.000000,5799.000000,5799.000000,0.000000,-1680314.000000,0.006000,-1.066000,1296052.000000,1296052.000000,0.000000,1296052.000000,0.000000,4726.000000,0.000000,0.000000,0.000000,-1657386.000000,-1652660.000000,,-1652660.000000,-1657386.000000,-1680314.000000,-0.360000,-0.360000,-0.360000,-1679182.000000,,-1679182.000000,101624144.000000,-23.000000,-23.197000,-624441.000000,-0.126000,1.000000,0.000000,,99909.000000,22928.000000,-488838.000000,,0.000000,0.000000,0.000000,0.000000,1790842.000000,1790842.000000,0.000000,-3389.000000,0.000000,0.000000,621052.000000,0.000000,621052.000000,-26883.000000,0.000000,-597558.000000,0.000000,-1680314.000000,-1680314.000000,-1680314.000000,0.000000,0.000000,,1657063.000000,-1657063.000000,494790.000000,0.000000,-59.752000,-22.683000,-22.043000,952.000000,0.000000,20.280000,,,0.000000,-4991172.000000,0.000000,0.000000,248232.000000,,,,,675349.000000,369731.000000,1.000000,4947430.000000,4939395.000000,4939395.000000,0.000000,11751.000000,0.000000,0.000000,0.000000,0.002000
ARQ,2008-09-30,2009-01-13,2008-09-30,2008-Q4,-2293032.000000,54951655.000000,2025-05-14,0.000000,7219.000000,,6357.000000,862.000000,,-0.463000,104595.000000,6357.000000,6357.000000,0.000000,-2071642.000000,0.003000,-1.003000,1550000.000000,1550000.000000,0.000000,1550000.000000,0.000000,-4596.000000,0.000000,0.000000,0.000000,-2036433.000000,-2041029.000000,,-2041029.000000,-2036433.000000,-2071642.000000,-0.400000,-0.400000,-0.400000,-2292170.000000,,-2292170.000000,56495298.000000,-11.000000,-10.701000,-659857.000000,-0.133000,1.000000,0.000000,,0.000000,35209.000000,-748527.000000,,0.000000,0.000000,0.000000,0.000000,2299389.000000,2299389.000000,0.000000,558.000000,0.000000,606467.000000,53948.000000,0.000000,660415.000000,104595.000000,0.000000,-764452.000000,0.000000,-2071642.000000,-2071642.000000,-2071642.000000,0.000000,0.000000,,2037542.000000,-2037542.000000,749389.000000,0.000000,-23.974000,-10.269000,-10.185000,862.000000,0.000000,11.000000,,,0.000000,-7062814.000000,0.000000,0.000000,784534.000000,,,,,725437.000000,2634464.000000,1.000000,4995605.000000,4948108.000000,4948108.000000,0.000000,7219.000000,0.000000,0.000000,0.000000,0.001000
