dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-12-31,2003-03-25,2002-12-31,2002-Q4,3911000000.000000,60286367208.000000,2025-04-29,0.000000,21576000000.000000,,12126000000.000000,9450000000.000000,,3.223000,,726000000.000000,726000000.000000,,,1.476000,0.926000,844000000.000000,516000000.000000,328000000.000000,844000000.000000,0.000000,,0.000000,0.044000,0.522000,,,,,,,,,,11172000000.000000,,11172000000.000000,60404367208.000000,15.000000,15.166000,,,1.000000,,,2807000000.000000,,10672000000.000000,,0.000000,6555000000.000000,6555000000.000000,0.000000,10350000000.000000,8215000000.000000,362000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,5.396000,21.258000,21.439000,6643000000.000000,,17.580000,3.379000,3.415000,0.000000,8451000000.000000,,,,,,,,,,2.000000,1714629329.000000,1733000000.000000,,,18769000000.000000,0.000000,,0.000000,5.415000
ARQ,2003-12-31,2004-03-12,2003-12-31,2003-Q4,5238000000.000000,81852597999.000000,2025-04-29,0.000000,23573000000.000000,,12933000000.000000,10640000000.000000,,3.855000,,733000000.000000,733000000.000000,,,1.681000,0.783000,455000000.000000,152000000.000000,303000000.000000,455000000.000000,0.000000,,0.000000,0.033000,0.540000,,,,,,,,,,13178000000.000000,,13178000000.000000,81574597999.000000,20.000000,19.945000,,,1.000000,,,2884000000.000000,,12716000000.000000,,0.000000,6240000000.000000,6240000000.000000,0.000000,10316000000.000000,7695000000.000000,355000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,6.211000,26.961000,27.315000,7756000000.000000,,24.310000,4.343000,4.408000,0.000000,10449000000.000000,,,,,,,,,,2.000000,1683517030.000000,1709000000.000000,,,20689000000.000000,0.000000,,0.000000,6.053000
ARQ,2004-12-31,2005-03-21,2004-12-31,2004-Q4,6658000000.000000,66875342136.000000,2025-04-29,0.000000,25616000000.000000,,14440000000.000000,11176000000.000000,,4.309000,,1055000000.000000,1055000000.000000,,,1.856000,0.770000,1172000000.000000,142000000.000000,1030000000.000000,1172000000.000000,0.000000,,0.000000,0.046000,0.645000,,,,,,,,,,14418000000.000000,,14418000000.000000,66992342136.000000,13.000000,13.460000,,,1.000000,,,2826000000.000000,,15125000000.000000,,0.000000,7111000000.000000,7111000000.000000,0.000000,11097000000.000000,7782000000.000000,1108000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,4.638000,17.539000,17.934000,8350000000.000000,,20.445000,3.121000,3.193000,0.000000,11606000000.000000,,,,,,,,,,2.000000,1635493816.000000,1673000000.000000,,,22790000000.000000,0.000000,,0.000000,6.811000
ARQ,2005-03-31,2005-05-10,2005-03-31,2005-Q1,5862000000.000000,71176690872.000000,2025-04-29,0.000000,24849000000.000000,,12698000000.000000,12151000000.000000,,4.144000,-207000000.000000,3905000000.000000,3905000000.000000,1410000000.000000,1043000000.000000,1.858000,0.821000,1136000000.000000,66000000.000000,1070000000.000000,1136000000.000000,0.000000,309000000.000000,0.000000,0.043000,0.000000,1483000000.000000,1792000000.000000,0.312000,1792000000.000000,1483000000.000000,1483000000.000000,0.315000,0.315000,0.315000,13593000000.000000,,13593000000.000000,68407690872.000000,,,1614000000.000000,0.492000,1.000000,4333000000.000000,0.754000,2901000000.000000,0.000000,12343000000.000000,,2903000000.000000,1179000000.000000,958000000.000000,221000000.000000,11163000000.000000,6836000000.000000,4327000000.000000,-78000000.000000,,-477000000.000000,-2000000.000000,-1079000000.000000,-1558000000.000000,-29000000.000000,154000000.000000,1821000000.000000,-10000000.000000,1040000000.000000,1040000000.000000,1040000000.000000,0.000000,3000000.000000,0.181000,2880000000.000000,1453000000.000000,0.000000,0.000000,5.236000,,,7800000000.000000,0.000000,21.760000,,,4932000000.000000,10780000000.000000,5743000000.000000,5743000000.000000,865000000.000000,,,,,,2007000000.000000,2.000000,1635493816.000000,1640000000.000000,1640000000.000000,1.751000,21948000000.000000,1229000000.000000,443000000.000000,1171000000.000000,6.691000
ARQ,2005-06-30,2005-08-05,2005-06-30,2005-Q2,6641000000.000000,75886913062.000000,2025-04-29,0.000000,24884000000.000000,,13438000000.000000,11446000000.000000,,4.139000,-137000000.000000,5451000000.000000,5451000000.000000,1313000000.000000,1224000000.000000,1.977000,0.840000,1313000000.000000,150000000.000000,1163000000.000000,1313000000.000000,0.000000,321000000.000000,0.000000,0.041000,0.000000,1910000000.000000,2231000000.000000,0.364000,2231000000.000000,1910000000.000000,1744000000.000000,0.375000,0.375000,0.375000,13477000000.000000,,13477000000.000000,71748913062.000000,,,1196000000.000000,0.367000,1.000000,4819000000.000000,0.786000,2696000000.000000,166000000.000000,11253000000.000000,,2663000000.000000,619000000.000000,398000000.000000,221000000.000000,11314000000.000000,6797000000.000000,4517000000.000000,1492000000.000000,,-671000000.000000,12000000.000000,0.000000,-659000000.000000,506000000.000000,617000000.000000,1333000000.000000,-18000000.000000,1219000000.000000,1219000000.000000,1219000000.000000,0.000000,5000000.000000,0.199000,3101000000.000000,1718000000.000000,0.000000,0.000000,5.631000,,,7355000000.000000,0.000000,23.200000,,,4926000000.000000,10597000000.000000,6132000000.000000,6132000000.000000,860000000.000000,,,,,,2229000000.000000,2.000000,1635493816.000000,1628000000.000000,1628000000.000000,1.883000,22188000000.000000,1174000000.000000,525000000.000000,1163000000.000000,6.814000
ARQ,2005-09-30,2005-11-08,2005-09-30,2005-Q3,6354000000.000000,74349548875.000000,2025-04-29,0.000000,24527000000.000000,,13095000000.000000,11432000000.000000,,4.120000,-171000000.000000,4400000000.000000,4400000000.000000,1245000000.000000,1230000000.000000,1.943000,0.841000,1244000000.000000,122000000.000000,1122000000.000000,1244000000.000000,0.000000,303000000.000000,0.000000,0.045000,0.380000,1856000000.000000,2159000000.000000,0.373000,2159000000.000000,1856000000.000000,1736000000.000000,0.380000,0.380000,0.380000,13275000000.000000,,13275000000.000000,71193548875.000000,,,2721000000.000000,0.845000,1.000000,4544000000.000000,0.785000,2763000000.000000,120000000.000000,11867000000.000000,,2493000000.000000,1481000000.000000,1242000000.000000,239000000.000000,11158000000.000000,6741000000.000000,4417000000.000000,-1036000000.000000,0.000000,-958000000.000000,-2000000.000000,-638000000.000000,-1598000000.000000,-1098000000.000000,-877000000.000000,2892000000.000000,12000000.000000,1223000000.000000,1223000000.000000,1223000000.000000,0.000000,7000000.000000,0.211000,2849000000.000000,1695000000.000000,0.000000,1.000000,5.601000,,,7262000000.000000,0.000000,22.730000,,,4960000000.000000,10372000000.000000,5789000000.000000,5789000000.000000,781000000.000000,,,,,,2056000000.000000,2.000000,1635493816.000000,1611000000.000000,1613000000.000000,1.797000,21764000000.000000,1168000000.000000,513000000.000000,1217000000.000000,6.755000
ARQ,2005-12-31,2006-02-06,2005-12-31,2005-Q4,6931000000.000000,75968687753.000000,2025-04-29,0.000000,24840000000.000000,,13770000000.000000,11070000000.000000,,4.204000,-208000000.000000,4979000000.000000,4979000000.000000,1388000000.000000,1227000000.000000,2.013000,0.820000,1201000000.000000,90000000.000000,1111000000.000000,1201000000.000000,0.000000,394000000.000000,0.000000,0.044000,0.000000,1900000000.000000,2294000000.000000,0.365000,2294000000.000000,1900000000.000000,1686000000.000000,0.385000,0.385000,0.385000,13597000000.000000,,13597000000.000000,72190687753.000000,10.000000,8.517000,489000000.000000,0.151000,1.000000,4898000000.000000,0.779000,2712000000.000000,214000000.000000,11511000000.000000,,2206000000.000000,1880000000.000000,1624000000.000000,256000000.000000,11149000000.000000,6839000000.000000,4310000000.000000,611000000.000000,0.000000,-752000000.000000,-5000000.000000,0.000000,-757000000.000000,-561000000.000000,-390000000.000000,697000000.000000,-5000000.000000,1224000000.000000,1224000000.000000,1224000000.000000,0.000000,3000000.000000,0.195000,3262000000.000000,1636000000.000000,6821000000.000000,0.000000,5.587000,16.143000,15.962000,6985000000.000000,0.000000,23.225000,3.172000,3.136000,4961000000.000000,10679000000.000000,6286000000.000000,6286000000.000000,873000000.000000,,,,,,2403000000.000000,2.000000,1635493816.000000,1617000000.000000,1618000000.000000,1.944000,22128000000.000000,1117000000.000000,462000000.000000,1112000000.000000,6.842000
ARQ,2005-12-31,2006-03-14,2005-12-31,2005-Q4,6931000000.000000,83279345111.000000,2025-04-29,0.000000,24840000000.000000,,13770000000.000000,11070000000.000000,,4.204000,-208000000.000000,4979000000.000000,4979000000.000000,1388000000.000000,1227000000.000000,2.013000,0.820000,1201000000.000000,90000000.000000,1111000000.000000,1201000000.000000,0.000000,394000000.000000,0.000000,0.051000,0.920000,1900000000.000000,2294000000.000000,0.365000,2294000000.000000,1900000000.000000,1686000000.000000,0.385000,0.385000,0.385000,13597000000.000000,,13597000000.000000,79501345111.000000,11.000000,9.380000,489000000.000000,0.151000,1.000000,4898000000.000000,0.779000,2712000000.000000,214000000.000000,11511000000.000000,,2206000000.000000,1880000000.000000,1624000000.000000,256000000.000000,11149000000.000000,6839000000.000000,4310000000.000000,611000000.000000,0.000000,-752000000.000000,-5000000.000000,0.000000,-757000000.000000,-561000000.000000,-390000000.000000,697000000.000000,-5000000.000000,1224000000.000000,1224000000.000000,1224000000.000000,0.000000,3000000.000000,0.195000,3262000000.000000,1636000000.000000,5538000000.000000,2.390000,6.125000,17.696000,17.498000,6985000000.000000,0.000000,25.460000,3.477000,3.438000,4778000000.000000,10679000000.000000,6286000000.000000,6286000000.000000,873000000.000000,,,,,,2403000000.000000,2.000000,1635493816.000000,1617000000.000000,1618000000.000000,1.944000,22128000000.000000,1300000000.000000,462000000.000000,2395000000.000000,6.842000
ARQ,2005-12-31,2006-03-23,2005-12-31,2005-Q4,6931000000.000000,79975474991.000000,2025-04-29,0.000000,24840000000.000000,,13770000000.000000,11070000000.000000,,4.204000,-208000000.000000,4979000000.000000,4979000000.000000,1388000000.000000,1227000000.000000,2.013000,0.820000,1201000000.000000,90000000.000000,1111000000.000000,1201000000.000000,0.000000,394000000.000000,0.000000,0.051000,0.920000,1900000000.000000,2294000000.000000,0.365000,2294000000.000000,1900000000.000000,1686000000.000000,0.385000,0.385000,0.385000,13597000000.000000,,13597000000.000000,76197474991.000000,11.000000,8.990000,489000000.000000,0.151000,1.000000,4898000000.000000,0.779000,2712000000.000000,214000000.000000,11511000000.000000,,2206000000.000000,1880000000.000000,1624000000.000000,256000000.000000,11149000000.000000,6839000000.000000,4310000000.000000,611000000.000000,0.000000,-752000000.000000,-5000000.000000,0.000000,-757000000.000000,-561000000.000000,-390000000.000000,697000000.000000,-5000000.000000,1224000000.000000,1224000000.000000,1224000000.000000,0.000000,3000000.000000,0.195000,3262000000.000000,1636000000.000000,5538000000.000000,2.390000,5.882000,16.994000,17.430000,6985000000.000000,0.000000,25.360000,3.339000,3.424000,4778000000.000000,10679000000.000000,6286000000.000000,6286000000.000000,873000000.000000,,,,,,2403000000.000000,2.000000,1576803529.000000,1617000000.000000,1618000000.000000,1.944000,22128000000.000000,1300000000.000000,462000000.000000,2395000000.000000,6.842000
ARQ,2006-03-31,2006-05-03,2006-03-31,2006-Q1,6367000000.000000,86471905530.000000,2025-04-29,0.000000,25149000000.000000,,13506000000.000000,11643000000.000000,,4.312000,-169000000.000000,2954000000.000000,2954000000.000000,1251000000.000000,1424000000.000000,1.892000,0.840000,1171000000.000000,93000000.000000,1078000000.000000,1171000000.000000,0.000000,282000000.000000,0.000000,0.047000,0.920000,2177000000.000000,2459000000.000000,0.398000,2459000000.000000,2177000000.000000,2045000000.000000,0.450000,0.450000,0.450000,13618000000.000000,,13618000000.000000,84688905530.000000,11.000000,9.263000,1343000000.000000,0.425000,1.000000,4929000000.000000,0.798000,3062000000.000000,132000000.000000,13165000000.000000,,2180000000.000000,3354000000.000000,3111000000.000000,243000000.000000,11437000000.000000,7139000000.000000,4298000000.000000,-2033000000.000000,-203000000.000000,-202000000.000000,2000000.000000,-1442000000.000000,-1642000000.000000,-1903000000.000000,-1528000000.000000,1512000000.000000,7000000.000000,1425000000.000000,1425000000.000000,1425000000.000000,0.000000,-1000000.000000,0.231000,2953000000.000000,1976000000.000000,5573000000.000000,2.044000,6.350000,16.985000,17.245000,7031000000.000000,0.000000,27.420000,3.546000,3.551000,5158000000.000000,10335000000.000000,6180000000.000000,6180000000.000000,861000000.000000,,,,,,2115000000.000000,2.000000,1576803529.000000,1579000000.000000,1582000000.000000,1.957000,22087000000.000000,1410000000.000000,620000000.000000,2838000000.000000,6.994000
