dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-06-30,2002-07-26,2002-06-30,2002-Q2,695000000.000000,7539220000.000000,2025-05-12,-109000000.000000,5218000000.000000,,1171000000.000000,4047000000.000000,,6.124000,-90000000.000000,887000000.000000,887000000.000000,262000000.000000,59000000.000000,2.460000,0.572000,801000000.000000,20000000.000000,781000000.000000,801000000.000000,0.000000,,0.000000,0.016000,0.110000,78000000.000000,,,,78000000.000000,62000000.000000,0.110000,0.110000,0.110000,3319000000.000000,,3319000000.000000,7453220000.000000,,,87000000.000000,0.161000,1.000000,228000000.000000,0.465000,0.000000,16000000.000000,4656000000.000000,,192000000.000000,29000000.000000,29000000.000000,0.000000,1899000000.000000,476000000.000000,1423000000.000000,134000000.000000,,46000000.000000,,-60000000.000000,-14000000.000000,-29000000.000000,58000000.000000,177000000.000000,0.000000,59000000.000000,59000000.000000,59000000.000000,0.000000,0.000000,0.120000,169000000.000000,59000000.000000,456000000.000000,1.000000,2.272000,,,3766000000.000000,0.000000,13.910000,,,63000000.000000,-718000000.000000,490000000.000000,490000000.000000,27000000.000000,,,,,,16000000.000000,1.000000,542000000.000000,542000000.000000,,0.904000,5218000000.000000,0.000000,3000000.000000,232000000.000000,9.627000
ARQ,2002-06-30,2002-08-27,2002-06-30,2002-Q2,695000000.000000,8536500000.000000,2025-05-12,-109000000.000000,5218000000.000000,,1171000000.000000,4047000000.000000,,6.124000,-90000000.000000,887000000.000000,887000000.000000,262000000.000000,59000000.000000,2.460000,0.572000,801000000.000000,20000000.000000,781000000.000000,801000000.000000,0.000000,,0.000000,0.014000,0.000000,78000000.000000,,,,78000000.000000,62000000.000000,0.110000,0.110000,0.110000,3319000000.000000,,3319000000.000000,8450500000.000000,,,87000000.000000,0.161000,1.000000,228000000.000000,0.465000,0.000000,16000000.000000,4656000000.000000,,192000000.000000,29000000.000000,29000000.000000,0.000000,1899000000.000000,476000000.000000,1423000000.000000,134000000.000000,,46000000.000000,,-60000000.000000,-14000000.000000,-29000000.000000,58000000.000000,177000000.000000,0.000000,59000000.000000,59000000.000000,59000000.000000,0.000000,0.000000,0.120000,169000000.000000,59000000.000000,456000000.000000,0.000000,2.572000,,,3766000000.000000,0.000000,15.750000,,,63000000.000000,-718000000.000000,490000000.000000,490000000.000000,27000000.000000,,,,,,16000000.000000,1.000000,542000000.000000,542000000.000000,,0.904000,5218000000.000000,0.000000,3000000.000000,232000000.000000,9.627000
ARQ,2002-09-30,2002-10-25,2002-09-30,2002-Q3,773000000.000000,8216720000.000000,2025-05-12,-136000000.000000,5210000000.000000,,1223000000.000000,3987000000.000000,,6.137000,-88000000.000000,988000000.000000,988000000.000000,259000000.000000,34000000.000000,2.718000,0.566000,799000000.000000,33000000.000000,766000000.000000,799000000.000000,0.000000,,0.000000,0.015000,0.000000,51000000.000000,,,,51000000.000000,36000000.000000,0.060000,0.060000,0.060000,3326000000.000000,,3326000000.000000,8027720000.000000,,,68000000.000000,0.125000,1.000000,214000000.000000,0.452000,0.000000,15000000.000000,4571000000.000000,,172000000.000000,0.000000,0.000000,0.000000,1884000000.000000,450000000.000000,1434000000.000000,101000000.000000,,2000000.000000,-2000000.000000,0.000000,0.000000,-55000000.000000,29000000.000000,156000000.000000,0.000000,34000000.000000,34000000.000000,34000000.000000,0.000000,0.000000,0.072000,172000000.000000,42000000.000000,417000000.000000,0.000000,2.470000,,,3688000000.000000,0.000000,15.160000,,,63000000.000000,-684000000.000000,473000000.000000,473000000.000000,30000000.000000,,,,,,16000000.000000,1.000000,542000000.000000,542000000.000000,,0.873000,5210000000.000000,0.000000,2000000.000000,235000000.000000,9.613000
ARQ,2002-09-30,2002-11-15,2002-09-30,2002-Q3,773000000.000000,8666580000.000000,2025-05-12,-136000000.000000,5210000000.000000,,1223000000.000000,3987000000.000000,,6.137000,-88000000.000000,988000000.000000,988000000.000000,259000000.000000,34000000.000000,2.718000,0.566000,799000000.000000,33000000.000000,766000000.000000,799000000.000000,0.000000,,0.000000,0.014000,0.000000,51000000.000000,,,,51000000.000000,36000000.000000,0.060000,0.060000,0.060000,3326000000.000000,,3326000000.000000,8477580000.000000,,,68000000.000000,0.125000,1.000000,214000000.000000,0.452000,0.000000,15000000.000000,4571000000.000000,,172000000.000000,0.000000,0.000000,0.000000,1884000000.000000,450000000.000000,1434000000.000000,101000000.000000,,2000000.000000,-2000000.000000,0.000000,0.000000,-55000000.000000,29000000.000000,156000000.000000,0.000000,34000000.000000,34000000.000000,34000000.000000,0.000000,0.000000,0.072000,172000000.000000,42000000.000000,417000000.000000,0.000000,2.606000,,,3688000000.000000,0.000000,15.990000,,,63000000.000000,-684000000.000000,473000000.000000,473000000.000000,30000000.000000,,,,,,16000000.000000,1.000000,542000000.000000,542000000.000000,,0.873000,5210000000.000000,0.000000,2000000.000000,235000000.000000,9.613000
ARQ,2002-12-31,2003-04-09,2002-12-31,2002-Q4,869000000.000000,8341380000.000000,2025-05-12,-125000000.000000,5261000000.000000,,1352000000.000000,3909000000.000000,,6.151000,28000000.000000,1044000000.000000,1044000000.000000,284000000.000000,54000000.000000,2.799000,0.578000,761000000.000000,0.000000,761000000.000000,761000000.000000,0.000000,,0.000000,0.014000,0.000000,45000000.000000,,,,45000000.000000,32000000.000000,0.100000,0.100000,0.100000,3334000000.000000,,3334000000.000000,8058380000.000000,34.000000,10.702000,133000000.000000,0.245000,1.000000,242000000.000000,0.460000,0.000000,13000000.000000,4495000000.000000,,206000000.000000,30000000.000000,30000000.000000,0.000000,1927000000.000000,483000000.000000,1444000000.000000,56000000.000000,,0.000000,-22000000.000000,-59000000.000000,-81000000.000000,32000000.000000,0.000000,105000000.000000,0.000000,54000000.000000,54000000.000000,54000000.000000,0.000000,0.000000,0.103000,184000000.000000,58000000.000000,164000000.000000,0.000000,2.502000,43.220000,42.750000,3594000000.000000,0.000000,15.390000,4.241000,4.241000,72000000.000000,-689000000.000000,526000000.000000,526000000.000000,27000000.000000,,,,,,15000000.000000,1.000000,542000000.000000,542000000.000000,,0.970000,5261000000.000000,0.000000,-22000000.000000,261000000.000000,9.707000
ARQ,2003-03-31,2003-04-30,2003-03-31,2003-Q1,989000000.000000,8102900000.000000,2025-05-12,-85000000.000000,5351000000.000000,,1404000000.000000,3947000000.000000,,6.280000,-66000000.000000,1115000000.000000,1115000000.000000,259000000.000000,29000000.000000,3.383000,0.572000,761000000.000000,0.000000,761000000.000000,761000000.000000,0.000000,125000000.000000,0.000000,0.015000,0.000000,44000000.000000,169000000.000000,0.368000,169000000.000000,44000000.000000,31000000.000000,0.050000,0.050000,0.050000,3404000000.000000,,3404000000.000000,7748900000.000000,36.000000,,65000000.000000,0.120000,1.000000,200000000.000000,0.436000,0.000000,13000000.000000,4582000000.000000,,189000000.000000,28000000.000000,28000000.000000,0.000000,1947000000.000000,415000000.000000,1532000000.000000,71000000.000000,,1000000.000000,0.000000,,1000000.000000,-61000000.000000,0.000000,131000000.000000,0.000000,29000000.000000,29000000.000000,29000000.000000,0.000000,0.000000,0.063000,180000000.000000,20000000.000000,163000000.000000,0.000000,2.380000,46.039000,46.719000,3529000000.000000,0.000000,14.950000,4.160000,4.160000,72000000.000000,-660000000.000000,459000000.000000,459000000.000000,29000000.000000,,,,,,22000000.000000,1.000000,542000000.000000,542000000.000000,,0.847000,5351000000.000000,0.000000,2000000.000000,299000000.000000,9.873000
ARQ,2003-03-31,2003-05-27,2003-03-31,2003-Q1,989000000.000000,9696447529.000000,2025-05-12,-85000000.000000,5351000000.000000,,1404000000.000000,3947000000.000000,,6.287000,-66000000.000000,1115000000.000000,1115000000.000000,259000000.000000,29000000.000000,3.383000,0.572000,761000000.000000,0.000000,761000000.000000,761000000.000000,0.000000,125000000.000000,0.000000,0.012000,0.000000,44000000.000000,169000000.000000,0.368000,169000000.000000,44000000.000000,31000000.000000,0.050000,0.050000,0.050000,3404000000.000000,,3404000000.000000,9342447529.000000,43.000000,,65000000.000000,0.120000,1.000000,200000000.000000,0.436000,0.000000,13000000.000000,4582000000.000000,,189000000.000000,28000000.000000,28000000.000000,0.000000,1947000000.000000,415000000.000000,1532000000.000000,71000000.000000,,1000000.000000,0.000000,,1000000.000000,-61000000.000000,0.000000,131000000.000000,0.000000,29000000.000000,29000000.000000,29000000.000000,0.000000,0.000000,0.063000,180000000.000000,20000000.000000,163000000.000000,0.000000,2.849000,55.093000,55.969000,3529000000.000000,0.000000,17.910000,4.978000,4.978000,72000000.000000,-660000000.000000,459000000.000000,459000000.000000,29000000.000000,,,,,,22000000.000000,1.000000,541398522.000000,541398522.000000,,0.848000,5351000000.000000,0.000000,2000000.000000,299000000.000000,9.884000
ARQ,2003-06-30,2003-07-30,2003-06-30,2003-Q2,985000000.000000,9241672771.000000,2025-05-12,2000000.000000,5292000000.000000,,1292000000.000000,4000000000.000000,,6.334000,-69000000.000000,992000000.000000,992000000.000000,271000000.000000,59000000.000000,4.208000,0.543000,757000000.000000,0.000000,757000000.000000,757000000.000000,0.000000,131000000.000000,0.000000,0.013000,0.110000,55000000.000000,186000000.000000,0.379000,186000000.000000,55000000.000000,44000000.000000,0.110000,0.110000,0.110000,3429000000.000000,,3429000000.000000,9006672771.000000,46.000000,,-3000000.000000,-0.006000,1.000000,220000000.000000,0.448000,0.000000,11000000.000000,4750000000.000000,,201000000.000000,32000000.000000,32000000.000000,0.000000,1863000000.000000,307000000.000000,1556000000.000000,-123000000.000000,,-61000000.000000,-9000000.000000,-60000000.000000,-130000000.000000,-59000000.000000,0.000000,66000000.000000,0.000000,59000000.000000,59000000.000000,59000000.000000,0.000000,0.000000,0.120000,185000000.000000,35000000.000000,155000000.000000,1.000000,2.695000,52.510000,53.344000,3476000000.000000,0.000000,17.070000,4.742000,4.742000,67000000.000000,-697000000.000000,491000000.000000,491000000.000000,34000000.000000,,,,,,20000000.000000,1.000000,541398522.000000,541398522.000000,,0.907000,5292000000.000000,0.000000,-15000000.000000,317000000.000000,9.775000
ARQ,2003-06-30,2003-08-20,2003-06-30,2003-Q2,974000000.000000,10708862765.000000,2025-05-12,-22000000.000000,7549000000.000000,,1264000000.000000,6285000000.000000,,10.338000,-82000000.000000,992000000.000000,992000000.000000,266000000.000000,69000000.000000,4.359000,0.349000,707000000.000000,0.000000,707000000.000000,707000000.000000,0.000000,122000000.000000,0.000000,0.011000,0.110000,75000000.000000,197000000.000000,0.405000,197000000.000000,75000000.000000,65000000.000000,0.130000,0.130000,0.130000,5597000000.000000,,5597000000.000000,10423862765.000000,48.000000,,-1000000.000000,-0.002000,1.000000,221000000.000000,0.454000,1952000000.000000,10000000.000000,5022000000.000000,,177000000.000000,28000000.000000,28000000.000000,0.000000,1952000000.000000,290000000.000000,1662000000.000000,-123000000.000000,,-61000000.000000,-9000000.000000,-60000000.000000,-130000000.000000,-74000000.000000,0.000000,81000000.000000,0.000000,69000000.000000,69000000.000000,69000000.000000,0.000000,0.000000,0.142000,163000000.000000,58000000.000000,155000000.000000,0.846000,1.913000,57.575000,58.176000,4072000000.000000,0.000000,19.780000,5.506000,5.506000,67000000.000000,608000000.000000,487000000.000000,487000000.000000,21000000.000000,,,,,,20000000.000000,1.000000,541398522.000000,541398522.000000,,0.900000,5597000000.000000,0.000000,-4000000.000000,545000000.000000,10.338000
ARQ,2003-09-30,2003-10-28,2003-09-30,2003-Q3,869000000.000000,10503131327.000000,2025-05-12,-12000000.000000,5285000000.000000,,1358000000.000000,3927000000.000000,,6.228000,-81000000.000000,1039000000.000000,1039000000.000000,290000000.000000,35000000.000000,2.777000,0.567000,754000000.000000,0.000000,754000000.000000,754000000.000000,0.000000,134000000.000000,0.000000,0.011000,0.000000,69000000.000000,203000000.000000,0.370000,203000000.000000,69000000.000000,57000000.000000,0.070000,0.070000,0.070000,3372000000.000000,,3372000000.000000,10218131327.000000,44.000000,,107000000.000000,0.198000,1.000000,259000000.000000,0.472000,0.000000,12000000.000000,4511000000.000000,,162000000.000000,284000000.000000,32000000.000000,252000000.000000,1913000000.000000,489000000.000000,1424000000.000000,47000000.000000,,-83000000.000000,0.000000,0.000000,-83000000.000000,-58000000.000000,0.000000,188000000.000000,0.000000,35000000.000000,35000000.000000,35000000.000000,0.000000,0.000000,0.064000,193000000.000000,66000000.000000,198000000.000000,0.000000,3.115000,56.166000,55.429000,3412000000.000000,0.000000,19.400000,5.197000,5.197000,67000000.000000,-713000000.000000,549000000.000000,549000000.000000,38000000.000000,,,,,,21000000.000000,1.000000,541398522.000000,541398522.000000,,1.014000,5285000000.000000,0.000000,22000000.000000,262000000.000000,9.762000
