dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-17,1993-12-31,1993-Q4,2644000000.000000,15565796131.000000,2025-04-23,0.000000,20450000000.000000,,9175000000.000000,11275000000.000000,,13.201000,,2342000000.000000,2342000000.000000,,,1.405000,1.277000,2630000000.000000,17000000.000000,2613000000.000000,2630000000.000000,0.000000,,0.000000,0.022000,0.125000,,,,,,,,,,8983000000.000000,,8983000000.000000,15853796131.000000,9.000000,5.495000,,,1.000000,,,0.000000,,14207000000.000000,,3434000000.000000,766000000.000000,766000000.000000,0.000000,11467000000.000000,6531000000.000000,4936000000.000000,,,,,,,,,,,,,,,,,,,5854000000.000000,,1.733000,12.513000,12.500000,7088000000.000000,,22.875000,0.612000,0.612000,4792000000.000000,7180000000.000000,,,,,,,,,,1.000000,680471962.000000,680471962.000000,,,20450000000.000000,863000000.000000,,434000000.000000,30.053000
ARQ,1994-03-31,1994-05-13,1994-03-31,1994-Q1,2801000000.000000,14896161700.000000,2025-04-23,0.000000,21201000000.000000,,9757000000.000000,11444000000.000000,,13.635000,-178000000.000000,2905000000.000000,2905000000.000000,5912000000.000000,292000000.000000,1.403000,1.283000,2627000000.000000,21000000.000000,2606000000.000000,2627000000.000000,0.000000,226000000.000000,0.000000,0.023000,0.125000,458000000.000000,684000000.000000,0.108000,684000000.000000,458000000.000000,430000000.000000,0.430000,,0.430000,9285000000.000000,,9285000000.000000,14618161700.000000,,,767000000.000000,1.126000,1.000000,433000000.000000,0.068000,0.000000,28000000.000000,13967000000.000000,,3243000000.000000,935000000.000000,935000000.000000,0.000000,11916000000.000000,6956000000.000000,4960000000.000000,563000000.000000,0.000000,10000000.000000,-3000000.000000,-85000000.000000,-78000000.000000,-304000000.000000,-169000000.000000,945000000.000000,0.000000,292000000.000000,292000000.000000,292000000.000000,0.000000,0.000000,0.046000,0.000000,433000000.000000,6011000000.000000,0.291000,1.604000,,,7056000000.000000,0.000000,21.875000,,,4595000000.000000,7472000000.000000,6345000000.000000,6345000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,680967392.000000,680967392.000000,,9.318000,21201000000.000000,971000000.000000,138000000.000000,658000000.000000,31.134000
ARQ,1994-06-30,1994-08-09,1994-06-30,1994-Q2,3074000000.000000,15375670503.000000,2025-04-23,0.000000,21604000000.000000,,10312000000.000000,11292000000.000000,,13.710000,-183000000.000000,2438000000.000000,2438000000.000000,5126000000.000000,222000000.000000,1.425000,1.313000,2629000000.000000,21000000.000000,2608000000.000000,2629000000.000000,0.000000,257000000.000000,0.000000,0.022000,0.125000,294000000.000000,551000000.000000,0.102000,551000000.000000,294000000.000000,265000000.000000,0.325000,,0.325000,9342000000.000000,,9342000000.000000,15566670503.000000,,,-237000000.000000,-0.348000,1.000000,270000000.000000,0.050000,0.000000,29000000.000000,14557000000.000000,,3879000000.000000,971000000.000000,971000000.000000,0.000000,12262000000.000000,7238000000.000000,5024000000.000000,-467000000.000000,0.000000,4000000.000000,2000000.000000,-85000000.000000,-79000000.000000,-334000000.000000,-36000000.000000,-54000000.000000,0.000000,222000000.000000,222000000.000000,222000000.000000,0.000000,0.000000,0.041000,0.000000,270000000.000000,6204000000.000000,0.385000,1.646000,,,6997000000.000000,0.000000,22.565000,,,4729000000.000000,7524000000.000000,5396000000.000000,5396000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,681394660.000000,681394660.000000,,7.919000,21604000000.000000,1124000000.000000,43000000.000000,819000000.000000,31.706000
ARQ,1994-09-30,1994-11-07,1994-09-30,1994-Q3,3212000000.000000,14953691435.000000,2025-04-23,0.000000,21342000000.000000,,9927000000.000000,11415000000.000000,,14.091000,-163000000.000000,1861000000.000000,1861000000.000000,4837000000.000000,185000000.000000,1.478000,1.222000,2625000000.000000,20000000.000000,2605000000.000000,2625000000.000000,0.000000,261000000.000000,0.000000,0.023000,0.125000,267000000.000000,528000000.000000,0.104000,528000000.000000,267000000.000000,234000000.000000,0.270000,,0.270000,9604000000.000000,,9604000000.000000,15717691435.000000,,,-570000000.000000,-0.836000,1.000000,226000000.000000,0.045000,0.000000,33000000.000000,15391000000.000000,,4426000000.000000,735000000.000000,735000000.000000,0.000000,11738000000.000000,6715000000.000000,5023000000.000000,-577000000.000000,0.000000,8000000.000000,-4000000.000000,-85000000.000000,-81000000.000000,-89000000.000000,236000000.000000,-407000000.000000,0.000000,185000000.000000,185000000.000000,185000000.000000,0.000000,0.000000,0.037000,0.000000,226000000.000000,6082000000.000000,0.463000,1.557000,,,6914000000.000000,0.000000,21.940000,,,4950000000.000000,7709000000.000000,5063000000.000000,5063000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,681572080.000000,681572080.000000,,7.428000,21342000000.000000,1074000000.000000,49000000.000000,473000000.000000,31.313000
ARQ,1994-12-31,1995-03-09,1994-12-31,1994-Q4,3587000000.000000,15729125500.000000,2025-04-23,0.000000,21463000000.000000,,10414000000.000000,11049000000.000000,,14.224000,-271000000.000000,2084000000.000000,2084000000.000000,4898000000.000000,157000000.000000,1.525000,1.213000,2609000000.000000,6000000.000000,2603000000.000000,2609000000.000000,0.000000,398000000.000000,0.000000,0.022000,0.125000,254000000.000000,652000000.000000,0.127000,652000000.000000,254000000.000000,214000000.000000,0.230000,,0.230000,9700000000.000000,,9700000000.000000,16254125500.000000,13.000000,6.730000,322000000.000000,0.472000,1.000000,222000000.000000,0.043000,0.000000,40000000.000000,15161000000.000000,,4979000000.000000,559000000.000000,559000000.000000,0.000000,11763000000.000000,6827000000.000000,4936000000.000000,223000000.000000,0.000000,4000000.000000,-16000000.000000,-85000000.000000,-97000000.000000,-273000000.000000,-31000000.000000,593000000.000000,0.000000,157000000.000000,157000000.000000,157000000.000000,0.000000,0.000000,0.031000,0.000000,222000000.000000,6267000000.000000,0.543000,1.622000,18.375000,18.378000,6802000000.000000,0.000000,23.065000,0.717000,0.717000,4985000000.000000,7696000000.000000,5120000000.000000,5120000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,681947778.000000,681947778.000000,,7.508000,21463000000.000000,878000000.000000,57000000.000000,332000000.000000,31.473000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q1,3268000000.000000,18658865301.000000,2025-04-23,0.000000,22161000000.000000,,10737000000.000000,11424000000.000000,,14.485000,-224000000.000000,2788000000.000000,2788000000.000000,4811000000.000000,181000000.000000,1.438000,1.240000,2606000000.000000,258000000.000000,2348000000.000000,2606000000.000000,0.000000,265000000.000000,0.000000,0.018000,0.125000,257000000.000000,522000000.000000,0.104000,522000000.000000,257000000.000000,217000000.000000,0.265000,,0.265000,9895000000.000000,,9895000000.000000,18476865301.000000,17.000000,8.201000,715000000.000000,1.047000,1.000000,226000000.000000,0.045000,0.000000,40000000.000000,14510000000.000000,,5309000000.000000,0.000000,0.000000,0.000000,12266000000.000000,7469000000.000000,4797000000.000000,704000000.000000,0.000000,14000000.000000,-3000000.000000,-85000000.000000,-74000000.000000,-161000000.000000,0.000000,939000000.000000,0.000000,181000000.000000,181000000.000000,181000000.000000,0.000000,0.000000,0.036000,0.000000,226000000.000000,6600000000.000000,0.472000,1.886000,25.045000,25.060000,6775000000.000000,0.000000,27.315000,0.905000,0.905000,4858000000.000000,7877000000.000000,5037000000.000000,5037000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,683099590.000000,683099590.000000,,7.374000,22161000000.000000,905000000.000000,36000000.000000,516000000.000000,32.442000
ARQ,1995-06-30,1995-08-10,1995-06-30,1995-Q2,4195000000.000000,22087611426.000000,2025-04-23,,,,11576000000.000000,,,13.916000,-157000000.000000,3483000000.000000,3483000000.000000,5245000000.000000,-231000000.000000,1.568000,,2620000000.000000,259000000.000000,2361000000.000000,2620000000.000000,,274000000.000000,,0.016000,0.125000,-231000000.000000,43000000.000000,0.008000,43000000.000000,-231000000.000000,-270000000.000000,-0.340000,,-0.340000,9531000000.000000,,9531000000.000000,21224611426.000000,39.000000,12.163000,178000000.000000,0.260000,1.000000,313000000.000000,0.056000,,39000000.000000,,,5379000000.000000,,0.000000,0.000000,,7381000000.000000,,695000000.000000,0.000000,38000000.000000,14000000.000000,-86000000.000000,-34000000.000000,394000000.000000,0.000000,335000000.000000,0.000000,-231000000.000000,-231000000.000000,-231000000.000000,0.000000,0.000000,-0.042000,600000000.000000,-287000000.000000,6482000000.000000,-0.368000,2.317000,75.643000,75.882000,6671000000.000000,0.000000,32.250000,1.063000,1.063000,4315000000.000000,7475000000.000000,5558000000.000000,5558000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,684887176.000000,684887176.000000,,8.115000,,1008000000.000000,-39000000.000000,587000000.000000,
ARQ,1995-09-30,1995-11-08,1995-09-30,1995-Q3,5157000000.000000,23979070432.000000,2025-04-23,,,,12305000000.000000,,,14.283000,-157000000.000000,4201000000.000000,4201000000.000000,4158000000.000000,225000000.000000,1.721000,,2617000000.000000,262000000.000000,2355000000.000000,2617000000.000000,,270000000.000000,,0.014000,0.125000,283000000.000000,553000000.000000,0.126000,553000000.000000,283000000.000000,244000000.000000,0.330000,,0.330000,9802000000.000000,,9802000000.000000,22395070432.000000,40.000000,12.653000,193000000.000000,0.281000,1.000000,223000000.000000,0.051000,,39000000.000000,,,5900000000.000000,,0.000000,0.000000,,7148000000.000000,,718000000.000000,0.000000,46000000.000000,-3000000.000000,-85000000.000000,-42000000.000000,410000000.000000,0.000000,350000000.000000,0.000000,225000000.000000,225000000.000000,225000000.000000,0.000000,0.000000,0.051000,0.000000,223000000.000000,6407000000.000000,0.379000,2.446000,72.226000,72.041000,6574000000.000000,0.000000,34.940000,1.193000,1.193000,3503000000.000000,7700000000.000000,4381000000.000000,4381000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,686292800.000000,686292800.000000,,6.384000,,720000000.000000,19000000.000000,309000000.000000,
ARQ,1995-12-31,1996-03-13,1995-12-31,1995-Q4,5763000000.000000,28590219093.000000,2025-04-23,0.000000,22098000000.000000,,13178000000.000000,8920000000.000000,,14.367000,-91000000.000000,3730000000.000000,3730000000.000000,4399000000.000000,218000000.000000,1.777000,1.233000,2615000000.000000,271000000.000000,2344000000.000000,2615000000.000000,0.000000,224000000.000000,0.000000,0.012000,0.125000,202000000.000000,426000000.000000,0.094000,426000000.000000,202000000.000000,169000000.000000,0.320000,,0.320000,9898000000.000000,,9898000000.000000,27475219093.000000,54.000000,17.795000,-649000000.000000,-0.942000,1.000000,140000000.000000,0.031000,0.000000,33000000.000000,13568000000.000000,,6933000000.000000,0.000000,0.000000,0.000000,12200000000.000000,7415000000.000000,4785000000.000000,-471000000.000000,0.000000,48000000.000000,-2000000.000000,-86000000.000000,-40000000.000000,127000000.000000,0.000000,-558000000.000000,0.000000,218000000.000000,218000000.000000,218000000.000000,0.000000,0.000000,0.048000,0.000000,140000000.000000,6245000000.000000,0.391000,2.888000,72.749000,72.174000,6456000000.000000,0.000000,41.500000,1.465000,1.465000,3335000000.000000,7746000000.000000,4539000000.000000,4539000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,688920942.000000,688920942.000000,,6.589000,22098000000.000000,898000000.000000,-49000000.000000,389000000.000000,32.076000
ARQ,1996-03-31,1996-05-13,1996-03-31,1996-Q1,6273000000.000000,27473053408.000000,2025-04-23,0.000000,22674000000.000000,,14005000000.000000,8669000000.000000,,14.620000,-160000000.000000,4387000000.000000,4387000000.000000,4139000000.000000,119000000.000000,1.811000,1.241000,2361000000.000000,23000000.000000,2338000000.000000,2361000000.000000,0.000000,240000000.000000,0.000000,0.009000,0.000000,211000000.000000,451000000.000000,0.105000,451000000.000000,211000000.000000,170000000.000000,0.175000,,0.175000,10120000000.000000,,10120000000.000000,25447053408.000000,55.000000,17.276000,251000000.000000,0.363000,1.000000,154000000.000000,0.036000,0.000000,41000000.000000,12916000000.000000,,7223000000.000000,145000000.000000,145000000.000000,0.000000,12554000000.000000,7732000000.000000,4822000000.000000,657000000.000000,0.000000,103000000.000000,-254000000.000000,-86000000.000000,-237000000.000000,483000000.000000,0.000000,411000000.000000,0.000000,119000000.000000,119000000.000000,119000000.000000,0.000000,0.000000,0.028000,0.000000,154000000.000000,6728000000.000000,0.000000,2.715000,83.000000,81.835000,6390000000.000000,0.000000,39.690000,1.464000,1.464000,2635000000.000000,7865000000.000000,4293000000.000000,4293000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,692190814.000000,692190814.000000,,6.202000,22674000000.000000,845000000.000000,51000000.000000,360000000.000000,32.757000
