dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-03-31,2014-09-15,2014-03-31,2014-Q4,30449000000.000000,,2025-05-16,-823000000.000000,111549000000.000000,,67833000000.000000,43716000000.000000,,11.902000,,33045000000.000000,5384514108.000000,,,1.814000,2.411000,41075000000.000000,10364000000.000000,30711000000.000000,6692961628.000000,6924000000.000000,,4711000000.000000,,0.000000,,,,,,,,,,29338000000.000000,,4780477376.000000,,,,,,6.137000,,,15359000000.000000,,66836000000.000000,,0.000000,45877000000.000000,25188000000.000000,20689000000.000000,70731000000.000000,37384000000.000000,33347000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,5581000000.000000,,,,,6766000000.000000,1183000000.000000,,,,,,,,,,0.125000,19720047728.000000,19720047728.000000,,,96190000000.000000,0.000000,,3403000000.000000,39.022000
ARQ,2014-09-30,2014-11-04,2014-09-30,2015-Q2,94383000000.000000,261463182814.000000,2025-05-16,-553000000.000000,232342000000.000000,,141414000000.000000,90928000000.000000,,55.700000,0.000000,88089000000.000000,14390467192.000000,5596000000.000000,3030000000.000000,3.007000,0.823000,63893000000.000000,14351000000.000000,49542000000.000000,10437740470.000000,7546000000.000000,1138000000.000000,6738000000.000000,0.000000,0.000000,4888000000.000000,6026000000.000000,0.358000,984424336.000000,798517450.000000,4367000000.000000,1.330000,1.240000,0.217000,124656000000.000000,,20364155323.000000,257510456092.000000,,,5865000000.000000,2.621000,6.121000,11233000000.000000,0.667000,42515000000.000000,521000000.000000,118600000000.000000,,0.000000,78221000000.000000,42904000000.000000,35317000000.000000,102558000000.000000,47031000000.000000,55527000000.000000,36177000000.000000,,,,,62864000000.000000,-32555000000.000000,,5865000000.000000,3000000.000000,3028000000.000000,2976000000.000000,486167744.000000,0.000000,2000000.000000,0.177000,6888000000.000000,4345000000.000000,0.000000,0.000000,12.839000,,,8561000000.000000,52000000.000000,106.070000,,,12479000000.000000,16206000000.000000,16829000000.000000,2749232848.000000,2581000000.000000,,,,,3010000000.000000,3709000000.000000,0.125000,19720047728.000000,17904000000.000000,19504000000.000000,1.228000,189827000000.000000,0.000000,1339000000.000000,5035000000.000000,84.820000
ARQ,2015-03-31,2015-06-25,2015-03-31,2015-Q4,102437000000.000000,212716337829.000000,2025-05-16,2302000000.000000,255434000000.000000,,142109000000.000000,113325000000.000000,,62.233000,,108193000000.000000,17487749701.000000,,,3.582000,0.669000,52593000000.000000,1990000000.000000,50603000000.000000,8500856988.000000,8359000000.000000,,7201000000.000000,0.000000,0.000000,,,,,,,,,,145439000000.000000,,23507998011.000000,203729445115.000000,38.000000,33.308000,,,6.187000,,,51613000000.000000,,108549000000.000000,,0.000000,67129000000.000000,18641000000.000000,48488000000.000000,97363000000.000000,39672000000.000000,57691000000.000000,,,,,,,,,,,,,,,,,,,0.000000,,9.049000,54.496000,51.051000,9139000000.000000,,85.240000,17.270000,16.173000,17063000000.000000,24842000000.000000,,,,,,,,,,0.125000,19963992288.000000,18696000000.000000,,,203821000000.000000,0.000000,,7226000000.000000,87.215000
ARQ,2015-06-30,2015-08-12,2015-06-30,2016-Q1,95200000000.000000,183119719262.000000,2025-05-16,3884000000.000000,282060000000.000000,,134897000000.000000,147163000000.000000,,73.829000,0.000000,104064000000.000000,16511171030.000000,6711000000.000000,30816000000.000000,3.398000,0.533000,52730000000.000000,2265000000.000000,50465000000.000000,8366332722.000000,8837000000.000000,1429000000.000000,7478000000.000000,0.000000,0.000000,32714000000.000000,34143000000.000000,1.686000,5417252003.000000,5190521689.000000,32237000000.000000,12.450000,11.920000,1.975000,182874000000.000000,,29015450981.000000,174974880954.000000,,,10400000000.000000,4.199000,6.303000,13534000000.000000,0.669000,41303000000.000000,477000000.000000,149726000000.000000,,0.000000,105979000000.000000,14106000000.000000,91873000000.000000,97411000000.000000,39697000000.000000,57714000000.000000,-4129000000.000000,,,,,1111000000.000000,-15592000000.000000,,10400000000.000000,-48000000.000000,30843000000.000000,30843000000.000000,4893662055.000000,0.000000,-27000000.000000,1.523000,8373000000.000000,5161000000.000000,0.000000,0.000000,6.311000,,,9967000000.000000,0.000000,73.380000,,,18832000000.000000,55700000000.000000,20245000000.000000,3212145002.000000,3241000000.000000,,,,,3995000000.000000,4485000000.000000,0.125000,19963992288.000000,19816000000.000000,20704000000.000000,1.297000,240757000000.000000,0.000000,1394000000.000000,5736000000.000000,97.197000
ARQ,2015-09-30,2015-10-27,2015-09-30,2016-Q2,78904000000.000000,198242443420.000000,2025-05-16,3002000000.000000,327758000000.000000,,121991000000.000000,205767000000.000000,,77.620000,0.000000,96747000000.000000,15229411637.000000,7131000000.000000,22703000000.000000,2.831000,0.544000,54163000000.000000,1440000000.000000,52723000000.000000,8526058922.000000,9572000000.000000,1587000000.000000,7468000000.000000,0.000000,0.000000,24909000000.000000,26496000000.000000,1.195000,4170863083.000000,3921045763.000000,24425000000.000000,9.250000,8.870000,1.456000,191023000000.000000,,30069851252.000000,191539090705.000000,17.000000,15.692000,15124000000.000000,6.145000,6.353000,15040000000.000000,0.678000,91680000000.000000,484000000.000000,150407000000.000000,,0.000000,106953000000.000000,11218000000.000000,95735000000.000000,103839000000.000000,43087000000.000000,60752000000.000000,-7317000000.000000,,,,,-17235000000.000000,-5575000000.000000,,15124000000.000000,369000000.000000,22754000000.000000,22754000000.000000,3581816825.000000,0.000000,-51000000.000000,1.026000,8645000000.000000,6395000000.000000,0.000000,0.000000,6.593000,20.174000,20.082000,11428000000.000000,0.000000,79.440000,14.640000,14.485000,19031000000.000000,63120000000.000000,22171000000.000000,3490043985.000000,3225000000.000000,,,,,3164000000.000000,4692000000.000000,0.125000,19963992288.000000,19688000000.000000,20512000000.000000,1.418000,236078000000.000000,0.000000,1671000000.000000,6833000000.000000,95.928000
ARQ,2015-12-31,2016-01-29,2015-12-31,2016-Q3,82630000000.000000,167273300383.000000,2025-05-16,9598000000.000000,364671000000.000000,,136632000000.000000,228039000000.000000,,87.897000,0.000000,110301000000.000000,16775098011.000000,10951000000.000000,12456000000.000000,2.530000,0.543000,56516000000.000000,2950000000.000000,53566000000.000000,8595220707.000000,10265000000.000000,1852000000.000000,12688000000.000000,0.000000,0.000000,16532000000.000000,18384000000.000000,0.532000,2795925711.000000,2514264787.000000,16057000000.000000,5.110000,4.900000,0.777000,214995000000.000000,,32697456930.000000,159093423079.000000,,,26230000000.000000,10.724000,6.575000,23592000000.000000,0.683000,90518000000.000000,475000000.000000,166366000000.000000,,0.000000,125407000000.000000,10081000000.000000,115326000000.000000,116741000000.000000,54002000000.000000,62739000000.000000,13554000000.000000,,,,,1268000000.000000,-14271000000.000000,,26230000000.000000,327000000.000000,12498000000.000000,12498000000.000000,1900754979.000000,0.000000,-42000000.000000,0.362000,11158000000.000000,12434000000.000000,0.000000,0.000000,5.116000,,,13844000000.000000,0.000000,67.030000,,,23289000000.000000,75618000000.000000,34543000000.000000,5253462893.000000,3749000000.000000,,,,,4370000000.000000,6141000000.000000,0.125000,19963992288.000000,19568000000.000000,20400000000.000000,2.148000,274153000000.000000,0.000000,3559000000.000000,9342000000.000000,112.082000
ARQ,2016-03-31,2016-05-05,2016-03-31,2016-Q4,82031000000.000000,196720189008.000000,2025-05-16,3844000000.000000,364450000000.000000,,134070000000.000000,230380000000.000000,,88.638000,0.000000,106818000000.000000,16423037824.000000,9562000000.000000,5314000000.000000,2.576000,0.528000,57771000000.000000,4304000000.000000,53467000000.000000,8882167033.000000,10715000000.000000,1833000000.000000,7314000000.000000,0.000000,0.000000,7700000000.000000,9533000000.000000,0.394000,1465678252.000000,1183858444.000000,7190000000.000000,2.190000,2.110000,0.337000,216987000000.000000,,33361284692.000000,189179318217.000000,15.000000,13.895000,5082000000.000000,2.076000,6.504000,14622000000.000000,0.605000,89891000000.000000,510000000.000000,173473000000.000000,,0.000000,129731000000.000000,8878000000.000000,120853000000.000000,114561000000.000000,52039000000.000000,62522000000.000000,-3483000000.000000,,,,,-990000000.000000,-7393000000.000000,,5082000000.000000,-182000000.000000,5365000000.000000,5365000000.000000,824857214.000000,0.000000,-51000000.000000,0.222000,9510000000.000000,5112000000.000000,0.000000,0.000000,5.897000,17.905000,17.638000,13629000000.000000,0.000000,78.830000,12.650000,12.460000,23035000000.000000,78752000000.000000,24184000000.000000,3718238000.000000,3573000000.000000,,,,,4553000000.000000,5194000000.000000,0.125000,19963992288.000000,19584000000.000000,20368000000.000000,1.519000,274559000000.000000,0.000000,1825000000.000000,9261000000.000000,112.156000
ARQ,2016-03-31,2016-05-24,2016-03-31,2016-Q4,82031000000.000000,200685027922.000000,2025-05-16,3844000000.000000,364450000000.000000,,134070000000.000000,230380000000.000000,,88.602000,-10845000000.000000,108164000000.000000,16500259104.000000,9562000000.000000,5314000000.000000,2.576000,0.528000,57771000000.000000,4304000000.000000,53467000000.000000,8812881076.000000,10715000000.000000,1833000000.000000,7314000000.000000,0.000000,0.000000,7700000000.000000,9533000000.000000,0.394000,1454245128.000000,1174623674.000000,7190000000.000000,2.210000,2.140000,0.337000,216987000000.000000,,33101047688.000000,192997649894.000000,15.000000,14.287000,-5763000000.000000,-2.353000,6.555000,14622000000.000000,0.605000,89891000000.000000,510000000.000000,172127000000.000000,,0.000000,129731000000.000000,8878000000.000000,120853000000.000000,114561000000.000000,52039000000.000000,62522000000.000000,-3483000000.000000,,,,,-990000000.000000,-7393000000.000000,,5082000000.000000,-182000000.000000,5365000000.000000,5365000000.000000,818422859.000000,0.000000,-51000000.000000,0.222000,9510000000.000000,5112000000.000000,0.000000,0.000000,6.063000,18.410000,18.293000,13629000000.000000,0.000000,81.120000,13.007000,12.923000,23035000000.000000,78752000000.000000,24184000000.000000,3689233628.000000,3573000000.000000,,,,,3433000000.000000,5194000000.000000,0.125000,19791422872.000000,19592000000.000000,20376000000.000000,1.506000,274559000000.000000,0.000000,1825000000.000000,9261000000.000000,112.111000
ARQ,2016-06-30,2016-08-11,2016-06-30,2017-Q1,52250000000.000000,227032359620.000000,2025-05-16,2096000000.000000,409970000000.000000,,113088000000.000000,296882000000.000000,,91.082000,0.000000,82246000000.000000,12349987282.000000,11744000000.000000,7142000000.000000,1.859000,0.652000,79194000000.000000,4684000000.000000,74510000000.000000,11891701636.000000,13032000000.000000,2455000000.000000,7609000000.000000,0.000000,0.000000,10267000000.000000,12722000000.000000,0.396000,1910324371.000000,1541683722.000000,9641000000.000000,3.050000,2.940000,0.458000,225247000000.000000,,33822892119.000000,226574073975.000000,25.000000,22.476000,14958000000.000000,6.049000,6.660000,20410000000.000000,0.635000,133220000000.000000,626000000.000000,212860000000.000000,,0.000000,152717000000.000000,9842000000.000000,142875000000.000000,146874000000.000000,60838000000.000000,86036000000.000000,-24572000000.000000,,,,,21312000000.000000,-61468000000.000000,,14958000000.000000,626000000.000000,7550000000.000000,7550000000.000000,1133701383.000000,0.000000,-408000000.000000,0.235000,11596000000.000000,8814000000.000000,0.000000,0.000000,6.712000,31.390000,31.149000,15791000000.000000,0.000000,91.770000,13.374000,13.369000,25488000000.000000,72992000000.000000,32154000000.000000,4828216461.000000,3988000000.000000,,,,,3694000000.000000,6357000000.000000,0.125000,19791422872.000000,19784000000.000000,20544000000.000000,1.952000,276750000000.000000,0.000000,2091000000.000000,10817000000.000000,111.909000
ARQ,2016-09-30,2016-11-02,2016-09-30,2017-Q2,68895000000.000000,243706633390.000000,2025-05-16,11212000000.000000,456402000000.000000,,136326000000.000000,320076000000.000000,,99.441000,0.000000,103684000000.000000,15143645844.000000,13123000000.000000,7075000000.000000,2.022000,0.663000,88095000000.000000,5520000000.000000,82575000000.000000,12866782538.000000,13860000000.000000,2579000000.000000,8125000000.000000,0.000000,0.000000,10313000000.000000,12892000000.000000,0.376000,1882950911.000000,1506273095.000000,9645000000.000000,3.080000,2.970000,0.450000,246416000000.000000,,35990477164.000000,241429770084.000000,37.000000,30.879000,17206000000.000000,6.944000,6.847000,21169000000.000000,0.617000,140106000000.000000,668000000.000000,233276000000.000000,,0.000000,164756000000.000000,7324000000.000000,157432000000.000000,163330000000.000000,67431000000.000000,95899000000.000000,21438000000.000000,,,,,9830000000.000000,-5715000000.000000,,17206000000.000000,117000000.000000,7623000000.000000,7623000000.000000,1113383090.000000,0.000000,-548000000.000000,0.222000,12124000000.000000,9045000000.000000,0.000000,0.000000,6.771000,50.508000,50.146000,16400000000.000000,0.000000,98.510000,13.330000,13.352000,31253000000.000000,80484000000.000000,34292000000.000000,5008544262.000000,4134000000.000000,,,,,4251000000.000000,6693000000.000000,0.125000,19791422872.000000,19824000000.000000,20528000000.000000,2.021000,316296000000.000000,0.000000,2022000000.000000,13188000000.000000,127.642000
