dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-28,1996-12-31,1996-Q4,26711048.000000,167037766.000000,2025-05-06,0.000000,37148912.000000,,28098267.000000,9050645.000000,,3.169000,,3635780.000000,3635780.000000,,,20.255000,0.049000,296149.000000,237677.000000,58472.000000,296149.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,35403221.000000,,35403221.000000,163698135.000000,-22.000000,-23.141000,,,1.000000,,,0.000000,,32422062.000000,,0.000000,32148888.000000,24229033.000000,7919855.000000,1745691.000000,1387219.000000,358472.000000,,,,,,,,,,,,,,,,,,,615433.000000,,4.718000,-21.698000,-17.580000,1130790.000000,,12.130000,62.982000,51.092000,0.000000,-37765620.000000,,,,,,,,,,1.000000,13770632.000000,11171035.000000,,,37148912.000000,0.000000,,209954.000000,3.325000
ARQ,1997-03-31,1997-05-14,1997-03-31,1997-Q1,22162206.000000,194620134.000000,2025-05-06,0.000000,34179302.000000,,23486926.000000,10692376.000000,,2.365000,-276055.000000,3437035.000000,3437035.000000,0.000000,-3149102.000000,17.730000,0.051000,220091.000000,186566.000000,33525.000000,220091.000000,300000.000000,142882.000000,0.000000,0.000000,0.000000,-3131467.000000,-2988585.000000,-6.618000,-2988585.000000,-3131467.000000,-3149102.000000,-0.230000,-0.230000,-0.230000,32521057.000000,,32521057.000000,191403190.000000,,,-3469420.000000,-0.252000,1.000000,451609.000000,1.000000,0.000000,17635.000000,29637638.000000,,0.000000,29064071.000000,19635658.000000,9428413.000000,1658245.000000,1324720.000000,333525.000000,-198745.000000,0.000000,261916.000000,-76058.000000,0.000000,185858.000000,2808762.000000,3084817.000000,-3193365.000000,0.000000,-3149102.000000,-3149102.000000,-3149102.000000,0.000000,0.000000,-6.973000,3583076.000000,-3131467.000000,653583.000000,0.000000,5.984000,,,1263963.000000,0.000000,14.130000,,,0.000000,-40914722.000000,451609.000000,451609.000000,2910485.000000,,,,,0.000000,672591.000000,1.000000,13773541.000000,13748998.000000,13748998.000000,0.033000,34179302.000000,0.000000,0.000000,131367.000000,2.486000
ARQ,1997-06-30,1997-08-05,1997-06-30,1997-Q2,26797000.000000,163752090.000000,2025-05-06,0.000000,32287000.000000,,28210000.000000,4077000.000000,,2.216000,-632945.000000,4679000.000000,4679000.000000,0.000000,-2079898.000000,19.965000,0.058000,162000.000000,112000.000000,50000.000000,162000.000000,300000.000000,172118.000000,0.000000,0.000000,0.000000,-2067533.000000,-1895415.000000,-1.328000,-1895415.000000,-2067533.000000,-2079898.000000,-0.150000,-0.150000,-0.150000,30524000.000000,,30524000.000000,159235090.000000,,,-2248580.000000,-0.163000,1.000000,1427391.000000,1.000000,46000.000000,12365.000000,26311000.000000,,0.000000,25528000.000000,23222000.000000,2306000.000000,1763000.000000,1413000.000000,350000.000000,1241745.000000,0.000000,12084.000000,-57942.000000,0.000000,-45858.000000,2903238.000000,3536183.000000,-1615635.000000,0.000000,-2079898.000000,-2079898.000000,-2079898.000000,0.000000,0.000000,-1.457000,3494924.000000,-2067533.000000,680000.000000,0.000000,5.365000,,,1725000.000000,0.000000,11.880000,,,0.000000,-42995000.000000,1427391.000000,1427391.000000,2520515.000000,,,,,0.000000,974409.000000,1.000000,13783846.000000,13773002.000000,13773002.000000,0.104000,32241000.000000,0.000000,0.000000,163000.000000,2.341000
ARQ,1997-09-30,1997-10-31,1997-09-30,1997-Q3,23926000.000000,101808836.000000,2025-05-06,0.000000,29652000.000000,,25139000.000000,4513000.000000,,2.038000,-101000.000000,5582000.000000,5582000.000000,0.000000,-2513000.000000,20.725000,0.055000,119000.000000,83000.000000,36000.000000,119000.000000,300000.000000,168000.000000,0.000000,0.000000,0.000000,-2503000.000000,-2335000.000000,-6.034000,-2335000.000000,-2503000.000000,-2513000.000000,-0.180000,-0.180000,-0.180000,28103000.000000,,28103000.000000,96345836.000000,,,-2626000.000000,-0.190000,1.000000,387000.000000,1.000000,69000.000000,10000.000000,22907000.000000,,0.000000,22072000.000000,19286000.000000,2786000.000000,1549000.000000,1213000.000000,336000.000000,903000.000000,0.000000,117000.000000,-44000.000000,0.000000,73000.000000,3355000.000000,3456000.000000,-2525000.000000,0.000000,-2513000.000000,-2513000.000000,-2513000.000000,0.000000,0.000000,-6.494000,2890000.000000,-2503000.000000,573000.000000,0.000000,3.623000,,,1658000.000000,0.000000,7.375000,,,0.000000,-45508000.000000,387000.000000,387000.000000,2399000.000000,,,,,0.000000,491000.000000,1.000000,13804588.000000,13788000.000000,13788000.000000,0.028000,29583000.000000,0.000000,0.000000,199000.000000,2.146000
ARQ,1997-12-31,1998-03-24,1997-12-31,1997-Q4,18830043.000000,103687282.000000,2025-05-06,0.000000,26484728.000000,,19695506.000000,6789222.000000,,1.831000,-65682.000000,3757098.000000,3757098.000000,0.000000,-2876865.000000,22.757000,0.047000,92365.000000,57896.000000,34469.000000,92365.000000,0.000000,165935.000000,0.000000,0.000000,0.000000,-2864985.000000,-2699050.000000,-6.328000,-2699050.000000,-2864985.000000,-2876865.000000,-0.210000,-0.210000,-0.210000,25284796.000000,,25284796.000000,100022549.000000,-9.000000,-10.085000,-3030345.000000,-0.219000,1.000000,426521.000000,1.000000,68928.000000,11880.000000,21885604.000000,,0.000000,20886388.000000,15723631.000000,5162757.000000,1199932.000000,865463.000000,334469.000000,-1824682.000000,0.000000,45978.000000,-25784.000000,0.000000,20163.000000,1119818.000000,1185500.000000,-2964663.000000,0.000000,-2876865.000000,-2876865.000000,-2876865.000000,0.000000,0.000000,-6.745000,3291506.000000,-2864985.000000,245180.000000,0.000000,4.101000,-9.764000,-9.660000,1557537.000000,0.000000,7.438000,38.509000,38.066000,0.000000,-48384485.000000,426521.000000,426521.000000,2747369.000000,,,,,0.000000,544137.000000,1.000000,13940210.000000,13808792.000000,13808792.000000,0.031000,26415800.000000,0.000000,0.000000,166177.000000,1.913000
ARQ,1998-03-31,1998-05-04,1998-03-31,1998-Q1,19138959.000000,124615285.000000,2025-05-06,0.000000,24500542.000000,,20508701.000000,3991841.000000,,1.643000,-219810.000000,3501811.000000,3501811.000000,0.000000,-3005743.000000,14.973000,0.075000,76128.000000,44610.000000,31518.000000,76128.000000,300000.000000,149406.000000,0.000000,0.000000,0.000000,-3000716.000000,-2851310.000000,-7.464000,-2851310.000000,-3000716.000000,-3005743.000000,-0.220000,-0.220000,-0.220000,22799282.000000,,22799282.000000,121189602.000000,-12.000000,-12.391000,-2776043.000000,-0.200000,1.000000,381987.000000,1.000000,66613.000000,5027.000000,19638504.000000,,0.000000,18857357.000000,16560070.000000,2297287.000000,1701260.000000,1369742.000000,331518.000000,-255287.000000,0.000000,507962.000000,-16237.000000,0.000000,491725.000000,1809221.000000,2029031.000000,-2556233.000000,0.000000,-3005743.000000,-3005743.000000,-3005743.000000,0.000000,0.000000,-7.869000,3382703.000000,-3000716.000000,680751.000000,0.000000,5.466000,-11.896000,-11.761000,1627941.000000,0.000000,8.938000,47.511000,47.288000,0.000000,-51390228.000000,381987.000000,381987.000000,2741473.000000,,,,,0.000000,641230.000000,1.000000,13942189.000000,13876907.000000,13876907.000000,0.028000,24433929.000000,0.000000,0.000000,118054.000000,1.761000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,18505000.000000,90718830.000000,2025-05-06,0.000000,21292000.000000,,19628000.000000,1664000.000000,,1.423000,-120190.000000,3664000.000000,3664000.000000,0.000000,-2981000.000000,17.478000,0.073000,54000.000000,26000.000000,28000.000000,54000.000000,300000.000000,149594.000000,0.000000,0.000000,0.000000,-2976000.000000,-2826406.000000,-9.780000,-2826406.000000,-2976000.000000,-2981000.000000,-0.210000,-0.210000,-0.210000,19841000.000000,,19841000.000000,87108830.000000,-8.000000,-8.132000,-3070957.000000,-0.220000,1.000000,289000.000000,1.000000,66000.000000,5000.000000,16493000.000000,,0.000000,15613000.000000,15613000.000000,0.000000,1451000.000000,1123000.000000,328000.000000,162287.000000,0.000000,10038.000000,-21763.000000,0.000000,-11725.000000,3124779.000000,3244969.000000,-2950767.000000,0.000000,-2981000.000000,-2981000.000000,-2981000.000000,0.000000,0.000000,-10.315000,3265000.000000,-2976000.000000,333000.000000,0.000000,4.572000,-7.974000,-7.927000,1598000.000000,0.000000,6.500000,61.110000,61.046000,0.000000,-54371000.000000,289000.000000,289000.000000,2611000.000000,,,,,0.000000,654000.000000,1.000000,13956743.000000,13942000.000000,13942000.000000,0.021000,21226000.000000,0.000000,0.000000,141000.000000,1.522000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,21448000.000000,95768978.000000,2025-05-06,0.000000,24528000.000000,,22914000.000000,1614000.000000,,1.630000,-18000.000000,4865000.000000,4865000.000000,0.000000,2667000.000000,15.630000,0.079000,43000.000000,18000.000000,25000.000000,43000.000000,300000.000000,102000.000000,0.000000,0.000000,0.000000,2670000.000000,2772000.000000,0.444000,2772000.000000,2670000.000000,2667000.000000,0.190000,0.190000,0.190000,22737000.000000,,22737000.000000,90946978.000000,-15.000000,-16.227000,-2812000.000000,-0.202000,1.000000,6249000.000000,1.000000,100000.000000,3000.000000,18140000.000000,,0.000000,11676000.000000,11676000.000000,0.000000,1791000.000000,1466000.000000,325000.000000,1201000.000000,0.000000,87000.000000,-11000.000000,0.000000,76000.000000,3919000.000000,3937000.000000,-2794000.000000,0.000000,2667000.000000,2667000.000000,2667000.000000,0.000000,0.000000,0.427000,3579000.000000,2670000.000000,484000.000000,0.000000,4.212000,-15.455000,-14.307000,1514000.000000,0.000000,6.438000,13.036000,12.227000,6000000.000000,-51704000.000000,6249000.000000,6249000.000000,2353000.000000,,,,,0.000000,1226000.000000,1.000000,14875579.000000,13952000.000000,14303000.000000,0.448000,24428000.000000,0.000000,0.000000,159000.000000,1.751000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,21775050.000000,95542329.000000,2025-05-06,0.000000,29100059.000000,,22870828.000000,6229231.000000,,1.960000,-21367.000000,12311348.000000,12311348.000000,0.000000,-1465338.000000,20.872000,0.051000,34469.000000,12603.000000,21866.000000,34469.000000,0.000000,128124.000000,0.000000,0.000000,0.000000,-1463379.000000,-1335255.000000,-1.891000,-1335255.000000,-1463379.000000,-1465338.000000,-0.100000,-0.100000,-0.100000,27682415.000000,,27682415.000000,83265450.000000,-17.000000,-19.634000,4082526.000000,0.289000,1.000000,705989.000000,1.000000,81723.000000,1959.000000,15645679.000000,,0.000000,14700745.000000,9961017.000000,4739728.000000,1417644.000000,1095778.000000,321866.000000,7446250.000000,0.000000,6101577.000000,-8896.000000,0.000000,6389081.000000,-3046724.000000,-3025357.000000,4103893.000000,0.000000,-1465338.000000,-1465338.000000,-1465338.000000,0.000000,0.000000,-2.076000,2169368.000000,-1463379.000000,243075.000000,0.000000,3.451000,-19.967000,-18.750000,1407780.000000,0.000000,6.375000,12.529000,11.804000,0.000000,-53169566.000000,705989.000000,705989.000000,1585673.000000,,,,,0.000000,583695.000000,1.000000,14987032.000000,14120364.000000,14120364.000000,0.050000,29018336.000000,0.000000,0.000000,136726.000000,2.055000
ARQ,1999-03-31,1999-04-29,1999-03-31,1999-Q1,18435676.000000,110529361.000000,2025-05-06,0.000000,26683324.000000,,19369399.000000,7313925.000000,,1.698000,-183216.000000,8212940.000000,8212940.000000,0.000000,-2400490.000000,20.744000,0.049000,31518.000000,13156.000000,18362.000000,31518.000000,300000.000000,124362.000000,0.000000,0.000000,0.000000,-2399038.000000,-2274676.000000,-4.221000,-2274676.000000,-2399038.000000,-2400490.000000,-0.160000,-0.160000,-0.160000,25431239.000000,,25431239.000000,102347939.000000,-25.000000,-27.931000,-2828811.000000,-0.189000,1.000000,538881.000000,1.000000,161114.000000,1452.000000,17407065.000000,,0.000000,16104440.000000,10418263.000000,5686177.000000,1252085.000000,933723.000000,318362.000000,-4098408.000000,0.000000,137048.000000,-2951.000000,0.000000,134097.000000,-1586910.000000,-1403694.000000,-2645595.000000,0.000000,-2400490.000000,-2400490.000000,-2400490.000000,0.000000,0.000000,-4.455000,2937919.000000,-2399038.000000,195387.000000,0.000000,4.346000,-26.444000,-26.339000,1466634.000000,0.000000,7.375000,14.202000,14.191000,0.000000,-55570057.000000,538881.000000,538881.000000,2169876.000000,,,,,0.000000,768043.000000,1.000000,14987032.000000,14975433.000000,14975433.000000,0.036000,26522210.000000,0.000000,0.000000,82284.000000,1.771000
