dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-02-11,1993-12-31,1994-Q1,498735000.000000,2706513070.000000,2025-05-01,-34094000.000000,2994552000.000000,,1077635000.000000,1916917000.000000,,4.668000,-29606000.000000,27667000.000000,27667000.000000,312882000.000000,25696000.000000,1.862000,1.144000,886112000.000000,183719000.000000,702393000.000000,886112000.000000,0.000000,49725000.000000,0.000000,0.018000,0.046000,44653000.000000,94378000.000000,0.170000,94378000.000000,44653000.000000,33810000.000000,0.083000,0.083000,0.083000,1396642000.000000,,1396642000.000000,3564958070.000000,,,84955000.000000,0.284000,1.000000,241198000.000000,0.435000,212031000.000000,10843000.000000,3062066000.000000,,450702000.000000,178344000.000000,54747000.000000,123597000.000000,1597910000.000000,578900000.000000,1019010000.000000,-11459000.000000,0.000000,-59646000.000000,4924000.000000,-949000.000000,-55671000.000000,-69791000.000000,-28310000.000000,114561000.000000,-558000.000000,25696000.000000,25696000.000000,25696000.000000,0.000000,0.000000,0.046000,192179000.000000,49019000.000000,395181000.000000,0.554000,1.938000,,,1387329000.000000,0.000000,9.312000,,,463341000.000000,1592593000.000000,554080000.000000,554080000.000000,34803000.000000,,,,,0.000000,157376000.000000,1.000000,290632276.000000,299220000.000000,299220000.000000,1.852000,2782521000.000000,0.000000,8114000.000000,21040000.000000,9.299000
ARQ,1994-03-31,1994-05-13,1994-03-31,1994-Q2,513791000.000000,2705861940.000000,2025-05-01,-27687000.000000,2991201000.000000,,1081119000.000000,1910082000.000000,,4.750000,-27410000.000000,31008000.000000,31008000.000000,343082000.000000,57093000.000000,1.906000,1.141000,891601000.000000,187064000.000000,704537000.000000,891601000.000000,0.000000,50031000.000000,0.000000,0.019000,0.046000,88778000.000000,138809000.000000,0.219000,138809000.000000,88778000.000000,75123000.000000,0.190000,0.190000,0.190000,1397139000.000000,,1397139000.000000,3566454940.000000,,,54182000.000000,0.184000,1.000000,291732000.000000,0.460000,208090000.000000,13655000.000000,3076376000.000000,,445494000.000000,142194000.000000,18597000.000000,123597000.000000,1594062000.000000,567328000.000000,1026734000.000000,3341000.000000,0.000000,-48987000.000000,-2293000.000000,-27747000.000000,-79027000.000000,729000.000000,36150000.000000,81592000.000000,47000.000000,57093000.000000,57093000.000000,57093000.000000,0.000000,0.000000,0.090000,198301000.000000,93431000.000000,380264000.000000,0.242000,1.937000,,,1380126000.000000,0.000000,9.438000,,,509846000.000000,1635646000.000000,634814000.000000,634814000.000000,35684000.000000,,,,,0.000000,162617000.000000,1.000000,286713848.000000,294160000.000000,294160000.000000,2.158000,2783111000.000000,0.000000,18030000.000000,23968000.000000,9.461000
ARQ,1994-06-30,1994-08-12,1994-06-30,1994-Q3,600938000.000000,3122715024.000000,2025-05-01,3539000.000000,3059049000.000000,,1164784000.000000,1894265000.000000,,5.021000,-30943000.000000,51516000.000000,51516000.000000,357857000.000000,58074000.000000,2.066000,1.095000,856265000.000000,149688000.000000,706577000.000000,856265000.000000,0.000000,48754000.000000,0.000000,0.016000,0.046000,92148000.000000,140902000.000000,0.216000,140902000.000000,92148000.000000,78884000.000000,0.195000,0.195000,0.195000,1460192000.000000,,1460192000.000000,3927464024.000000,,,108243000.000000,0.372000,1.000000,295131000.000000,0.452000,219087000.000000,13264000.000000,3080865000.000000,,447140000.000000,149298000.000000,60077000.000000,89221000.000000,1598857000.000000,563846000.000000,1035011000.000000,20508000.000000,-11558000.000000,-11846000.000000,-42063000.000000,-15181000.000000,-69090000.000000,-50242000.000000,-7098000.000000,139186000.000000,654000.000000,58074000.000000,58074000.000000,58074000.000000,0.000000,0.000000,0.089000,200564000.000000,94567000.000000,414158000.000000,0.236000,2.139000,,,1384918000.000000,0.000000,11.000000,,,525855000.000000,1679880000.000000,652988000.000000,652988000.000000,35086000.000000,,,,,0.000000,165478000.000000,1.000000,283883184.000000,290800000.000000,290800000.000000,2.245000,2839962000.000000,0.000000,20810000.000000,28306000.000000,9.766000
ARQ,1994-09-30,1994-12-27,1994-09-30,1994-Q4,648230000.000000,3373045781.000000,2025-05-01,8573000.000000,3159533000.000000,,1326551000.000000,1832982000.000000,,5.423000,-35058000.000000,94913000.000000,94913000.000000,385813000.000000,86311000.000000,1.956000,1.132000,842385000.000000,173228000.000000,669157000.000000,842385000.000000,0.000000,55195000.000000,0.000000,0.015000,0.051000,118204000.000000,173399000.000000,0.242000,173399000.000000,118204000.000000,108342000.000000,0.295000,0.295000,0.295000,1481694000.000000,,1481694000.000000,4120517781.000000,12.000000,7.526000,109152000.000000,0.399000,1.000000,331766000.000000,0.462000,217725000.000000,9862000.000000,3010959000.000000,,420001000.000000,155381000.000000,83854000.000000,71527000.000000,1677839000.000000,678321000.000000,999518000.000000,43397000.000000,-1192000.000000,-58941000.000000,-15631000.000000,-13157000.000000,-87729000.000000,-13136000.000000,15394000.000000,144210000.000000,-143000.000000,86311000.000000,86311000.000000,86311000.000000,0.000000,0.000000,0.120000,243745000.000000,88021000.000000,291430000.000000,0.173000,2.276000,14.848000,16.201000,1376349000.000000,0.000000,12.345000,1.318000,1.318000,589918000.000000,1752360000.000000,717579000.000000,717579000.000000,38654000.000000,,,,,0.000000,174601000.000000,1.000000,273231736.000000,273231736.000000,,2.626000,2941808000.000000,0.000000,22031000.000000,126408000.000000,10.767000
ARQ,1994-12-31,1995-02-13,1994-12-31,1995-Q1,552817000.000000,3451856991.000000,2025-05-01,-23056000.000000,3023883000.000000,,1235525000.000000,1788358000.000000,,4.692000,-22938000.000000,119037000.000000,119037000.000000,327065000.000000,33544000.000000,1.810000,1.288000,904194000.000000,218663000.000000,685531000.000000,904194000.000000,0.000000,50270000.000000,0.000000,0.015000,0.051000,58200000.000000,108470000.000000,0.183000,108470000.000000,58200000.000000,47646000.000000,0.115000,0.115000,0.115000,1321613000.000000,,1321613000.000000,4237013991.000000,12.000000,7.545000,82577000.000000,0.293000,1.000000,266411000.000000,0.449000,211650000.000000,10554000.000000,2914682000.000000,,422356000.000000,134329000.000000,62802000.000000,71527000.000000,1702270000.000000,682708000.000000,1019562000.000000,24124000.000000,0.000000,-147524000.000000,64573000.000000,-915000.000000,-83866000.000000,3162000.000000,21174000.000000,105515000.000000,-687000.000000,33544000.000000,33544000.000000,33544000.000000,0.000000,0.000000,0.057000,206829000.000000,59582000.000000,464045000.000000,0.443000,2.612000,14.687000,16.157000,1340815000.000000,0.000000,12.845000,1.328000,1.392000,491127000.000000,1771226000.000000,593476000.000000,593476000.000000,35223000.000000,,,,,0.000000,171606000.000000,1.000000,268731568.000000,281644000.000000,281644000.000000,2.107000,2812233000.000000,0.000000,14102000.000000,33824000.000000,9.985000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q2,561841000.000000,3761049137.000000,2025-05-01,2421000.000000,3050677000.000000,,1257021000.000000,1793656000.000000,,5.015000,-27165000.000000,47555000.000000,47555000.000000,370237000.000000,64929000.000000,1.808000,1.196000,861575000.000000,232747000.000000,628828000.000000,861575000.000000,0.000000,51586000.000000,0.000000,0.014000,0.051000,103796000.000000,155382000.000000,0.224000,155382000.000000,103796000.000000,92225000.000000,0.230000,0.230000,0.230000,1388951000.000000,,1388951000.000000,4575069137.000000,12.000000,7.913000,47953000.000000,0.173000,1.000000,322602000.000000,0.466000,208848000.000000,11571000.000000,2960669000.000000,,423677000.000000,165039000.000000,93514000.000000,71525000.000000,1661726000.000000,695180000.000000,966546000.000000,-71482000.000000,0.000000,-8912000.000000,-55946000.000000,-28597000.000000,-93455000.000000,-51587000.000000,-7013000.000000,75118000.000000,-1558000.000000,64929000.000000,64929000.000000,64929000.000000,0.000000,0.000000,0.094000,216402000.000000,106200000.000000,462433000.000000,0.222000,2.708000,15.487000,16.805000,1344277000.000000,0.000000,14.033000,1.416000,1.463000,552150000.000000,1821792000.000000,692839000.000000,692839000.000000,35504000.000000,,,,,0.000000,180898000.000000,1.000000,268024168.000000,276972000.000000,276972000.000000,2.501000,2841829000.000000,0.000000,27296000.000000,36715000.000000,10.260000
ARQ,1995-06-30,1995-08-11,1995-06-30,1995-Q3,599083000.000000,3874038215.000000,2025-05-01,20451000.000000,3048598000.000000,,1319324000.000000,1729274000.000000,,5.106000,-25117000.000000,120689000.000000,120689000.000000,378419000.000000,66650000.000000,1.832000,1.154000,799079000.000000,233734000.000000,565345000.000000,799079000.000000,0.000000,52209000.000000,0.000000,0.014000,0.051000,100345000.000000,152554000.000000,0.217000,152554000.000000,100345000.000000,89467000.000000,0.237000,0.237000,0.237000,1415260000.000000,,1415260000.000000,4552428215.000000,12.000000,7.719000,133973000.000000,0.483000,1.000000,325677000.000000,0.463000,196230000.000000,10878000.000000,2810517000.000000,,419318000.000000,94956000.000000,23431000.000000,71525000.000000,1633338000.000000,720241000.000000,913097000.000000,73134000.000000,0.000000,-44243000.000000,-70665000.000000,-15461000.000000,-130369000.000000,44600000.000000,70133000.000000,159090000.000000,-187000.000000,66650000.000000,66650000.000000,66650000.000000,0.000000,0.000000,0.095000,215772000.000000,109905000.000000,486507000.000000,0.215000,2.737000,15.408000,16.747000,1288952000.000000,0.000000,14.688000,1.431000,1.503000,544575000.000000,1874108000.000000,704096000.000000,704096000.000000,35581000.000000,,,,,0.000000,180191000.000000,1.000000,263764304.000000,277176000.000000,277176000.000000,2.540000,2852368000.000000,0.000000,22817000.000000,46342000.000000,10.291000
ARQ,1995-09-30,1995-12-27,1995-09-30,1995-Q4,607483000.000000,4722649155.000000,2025-05-01,6767000.000000,2999505000.000000,,1327518000.000000,1671987000.000000,,5.441000,-48540000.000000,198506000.000000,198506000.000000,360637000.000000,86573000.000000,1.844000,1.145000,763393000.000000,205799000.000000,557594000.000000,763393000.000000,0.000000,53691000.000000,0.000000,0.011000,0.058000,130070000.000000,183761000.000000,0.254000,183761000.000000,130070000.000000,120240000.000000,0.315000,0.315000,0.315000,1398385000.000000,,1398385000.000000,5287536155.000000,13.000000,8.810000,83935000.000000,0.327000,1.000000,361477000.000000,0.501000,181501000.000000,9830000.000000,2662856000.000000,,408635000.000000,85895000.000000,41495000.000000,44400000.000000,1601120000.000000,720035000.000000,881085000.000000,77817000.000000,75640000.000000,-79255000.000000,-20590000.000000,-13374000.000000,-113219000.000000,59773000.000000,40014000.000000,132475000.000000,2432000.000000,86573000.000000,86573000.000000,86573000.000000,0.000000,0.000000,0.120000,240514000.000000,120963000.000000,313509000.000000,0.184000,3.377000,18.763000,20.485000,1281031000.000000,0.000000,18.375000,1.741000,1.741000,573093000.000000,1946636000.000000,722114000.000000,722114000.000000,37893000.000000,,,,,0.000000,202621000.000000,1.000000,257014920.000000,257014920.000000,,2.810000,2818004000.000000,0.000000,33667000.000000,98117000.000000,10.964000
ARQ,1995-12-31,1996-02-12,1995-12-31,1996-Q1,577080000.000000,5584430055.000000,2025-05-01,-2254000.000000,2940659000.000000,,1284345000.000000,1656314000.000000,,4.990000,-30643000.000000,199205000.000000,199205000.000000,348746000.000000,44522000.000000,1.816000,1.188000,778465000.000000,222155000.000000,556310000.000000,778465000.000000,0.000000,51035000.000000,0.000000,0.010000,0.058000,71123000.000000,122158000.000000,0.191000,122158000.000000,71123000.000000,61836000.000000,0.163000,0.163000,0.163000,1344273000.000000,,1344273000.000000,6163690055.000000,15.000000,10.041000,58200000.000000,0.216000,1.000000,291189000.000000,0.455000,187984000.000000,9287000.000000,2624670000.000000,,410411000.000000,77987000.000000,33587000.000000,44400000.000000,1596386000.000000,707265000.000000,889121000.000000,699000.000000,-10418000.000000,-74832000.000000,16113000.000000,-881000.000000,-59600000.000000,-27791000.000000,7891000.000000,88843000.000000,-753000.000000,44522000.000000,44522000.000000,44522000.000000,0.000000,0.000000,0.070000,219243000.000000,71946000.000000,485110000.000000,0.356000,4.154000,21.260000,23.082000,1267581000.000000,0.000000,21.812000,2.024000,2.130000,527378000.000000,1976254000.000000,639935000.000000,639935000.000000,37334000.000000,,,,,0.000000,181909000.000000,1.000000,256019716.000000,269372000.000000,269372000.000000,2.376000,2752675000.000000,0.000000,17314000.000000,35195000.000000,10.219000
ARQ,1996-03-31,1996-05-13,1996-03-31,1996-Q2,536368000.000000,5040770880.000000,2025-05-01,-17457000.000000,2862809000.000000,,1251172000.000000,1611637000.000000,,4.909000,-30887000.000000,156644000.000000,156644000.000000,368709000.000000,74790000.000000,1.750000,1.166000,750508000.000000,262556000.000000,487952000.000000,750508000.000000,0.000000,50776000.000000,0.000000,0.011000,0.058000,113573000.000000,164349000.000000,0.233000,164349000.000000,113573000.000000,103875000.000000,0.275000,0.275000,0.275000,1321952000.000000,,1321952000.000000,5634634880.000000,14.000000,9.047000,59490000.000000,0.221000,1.000000,337016000.000000,0.478000,177572000.000000,9698000.000000,2564297000.000000,,394372000.000000,81330000.000000,36930000.000000,44400000.000000,1540857000.000000,714804000.000000,826053000.000000,-42561000.000000,26542000.000000,-66156000.000000,-25212000.000000,-30319000.000000,-121687000.000000,-10767000.000000,-3276000.000000,90377000.000000,-484000.000000,74790000.000000,74790000.000000,74790000.000000,0.000000,0.000000,0.106000,224224000.000000,112792000.000000,452248000.000000,0.211000,3.813000,18.496000,20.202000,1232152000.000000,0.000000,20.000000,1.819000,1.943000,552041000.000000,2035168000.000000,705725000.000000,705725000.000000,38323000.000000,,,,,0.000000,185901000.000000,1.000000,252038544.000000,269292000.000000,269292000.000000,2.621000,2685237000.000000,0.000000,29085000.000000,38868000.000000,9.971000
