dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2020-01-31,2018-12-31,2018-Q4,122688000.000000,,2025-05-07,0.000000,167012000.000000,,148275000.000000,18737000.000000,,-40.569000,,147936000.000000,147936000.000000,,,5.795000,-0.281000,13750000.000000,13750000.000000,0.000000,13750000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-117406000.000000,,-117406000.000000,,,,,,1.000000,,,0.000000,,7239000.000000,,0.000000,0.000000,0.000000,0.000000,32984000.000000,25587000.000000,7397000.000000,,,,,,,,,,,,,,,,,,,7351000.000000,,,,,16944000.000000,,,,,0.000000,-124718000.000000,,,,,,,,,,1.000000,45324846.000000,2893978.000000,,,167012000.000000,0.000000,,0.000000,57.710000
ARQ,2019-09-30,2020-02-05,2019-09-30,2019-Q3,94870000.000000,,2025-05-07,48000.000000,170553000.000000,,114779000.000000,55774000.000000,,-3.796000,,51095000.000000,51095000.000000,,,5.765000,-0.255000,27027000.000000,3553000.000000,23474000.000000,27027000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-172065000.000000,,-172065000.000000,,,,,,1.000000,,,0.000000,,126576000.000000,,0.000000,73128000.000000,73128000.000000,0.000000,43832000.000000,19909000.000000,23923000.000000,,,,,,,,,,,,,,,,,,,3857000.000000,,,,,37957000.000000,,,,,0.000000,-175194000.000000,,,,,,,,,,1.000000,45324846.000000,45324846.000000,,,170553000.000000,0.000000,,0.000000,3.763000
ARQ,2019-12-31,2020-03-30,2019-12-31,2019-Q4,65406000.000000,924114744.000000,2025-05-07,16000.000000,156099000.000000,,94544000.000000,61555000.000000,,-28.102000,-2160000.000000,50553000.000000,50553000.000000,0.000000,-27850000.000000,3.245000,-0.274000,31238000.000000,5640000.000000,25598000.000000,31238000.000000,0.000000,-17000.000000,0.000000,0.000000,0.000000,-27731000.000000,-27748000.000000,-4624.667000,-27748000.000000,-27731000.000000,-27850000.000000,-4.470000,-4.470000,-4.470000,-201104000.000000,,-201104000.000000,904799744.000000,-12.000000,-12.123000,-19960000.000000,-2.789000,1.000000,6000.000000,1.000000,0.000000,119000.000000,107646000.000000,,0.000000,54627000.000000,54627000.000000,0.000000,55154000.000000,29138000.000000,26016000.000000,-542000.000000,0.000000,49000.000000,2083000.000000,0.000000,699000.000000,16559000.000000,18719000.000000,-17800000.000000,0.000000,-27850000.000000,-31113000.000000,-31113000.000000,0.000000,0.000000,-5185.500000,26377000.000000,-26371000.000000,7846000.000000,0.000000,-4.595000,-10.151000,-1.281000,43247000.000000,3263000.000000,18.000000,51339.708000,6479.598000,0.000000,-203044000.000000,6000.000000,6000.000000,20217000.000000,,,,,2057000.000000,6160000.000000,1.000000,51339708.000000,7156157.000000,7156157.000000,0.001000,156099000.000000,0.000000,0.000000,0.000000,21.813000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,228194000.000000,1027128044.000000,2025-05-07,-344000.000000,322638000.000000,,259634000.000000,63004000.000000,,8.508000,-3046000.000000,139382000.000000,139382000.000000,0.000000,-30458000.000000,8.258000,0.234000,35751000.000000,6359000.000000,29392000.000000,35751000.000000,0.000000,1100000.000000,0.000000,0.000000,0.000000,-30458000.000000,-29358000.000000,-4893.000000,-29358000.000000,-30458000.000000,-30458000.000000,-1.030000,-1.030000,-1.030000,261394000.000000,,261394000.000000,923497044.000000,,,-30439000.000000,-0.991000,1.000000,6000.000000,1.000000,0.000000,0.000000,187567000.000000,,0.000000,127392000.000000,127392000.000000,0.000000,61244000.000000,31440000.000000,29804000.000000,88829000.000000,0.000000,191704000.000000,1310000.000000,0.000000,193014000.000000,-76792000.000000,-73746000.000000,-27393000.000000,0.000000,-30458000.000000,-31735000.000000,-31735000.000000,0.000000,0.000000,-5289.167000,28361000.000000,-28355000.000000,6101000.000000,0.000000,3.929000,,,46928000.000000,1277000.000000,19.950000,,,0.000000,-233502000.000000,6000.000000,6000.000000,21549000.000000,,,,,2792000.000000,6812000.000000,1.000000,51485115.000000,30725077.000000,30725077.000000,0.000000,322638000.000000,0.000000,0.000000,0.000000,10.501000
ARQ,2020-06-30,2020-08-12,2020-06-30,2020-Q2,195879000.000000,1152589272.000000,2025-05-07,173000.000000,299975000.000000,,234829000.000000,65146000.000000,,4.670000,-2367000.000000,138634000.000000,138634000.000000,0.000000,-34218000.000000,6.029000,0.300000,36191000.000000,6394000.000000,29797000.000000,36191000.000000,0.000000,1145000.000000,0.000000,0.000000,0.000000,-34218000.000000,-33073000.000000,-5512.167000,-33073000.000000,-34218000.000000,-34218000.000000,-0.690000,-0.690000,-0.690000,230822000.000000,,230822000.000000,1050146272.000000,,,-25204000.000000,-0.510000,1.000000,6000.000000,1.000000,0.000000,0.000000,158582000.000000,,0.000000,102649000.000000,102649000.000000,0.000000,69153000.000000,38950000.000000,30203000.000000,-748000.000000,0.000000,-347000.000000,-432000.000000,0.000000,-779000.000000,22868000.000000,25235000.000000,-22837000.000000,0.000000,-34218000.000000,-34218000.000000,-34218000.000000,0.000000,0.000000,-5703.000000,26291000.000000,-26285000.000000,6154000.000000,0.000000,4.993000,,,48595000.000000,0.000000,22.280000,,,0.000000,-267720000.000000,6000.000000,6000.000000,19354000.000000,,,,,2769000.000000,6937000.000000,1.000000,51732014.000000,49430138.000000,49430138.000000,0.000000,299975000.000000,0.000000,0.000000,0.000000,6.069000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,161256000.000000,2184158541.000000,2025-05-07,41000.000000,278273000.000000,,208707000.000000,69566000.000000,,3.994000,-2819000.000000,152743000.000000,152743000.000000,0.000000,-34452000.000000,4.398000,0.391000,34331000.000000,6073000.000000,28258000.000000,34331000.000000,0.000000,1218000.000000,0.000000,0.000000,0.000000,-34452000.000000,-33234000.000000,-5539.000000,-33234000.000000,-34452000.000000,-34452000.000000,-0.690000,-0.690000,-0.690000,200071000.000000,,200071000.000000,2065746541.000000,-16.000000,-16.738000,-24032000.000000,-0.480000,1.000000,6000.000000,1.000000,0.000000,0.000000,112410000.000000,,0.000000,64317000.000000,64317000.000000,0.000000,78202000.000000,47451000.000000,30751000.000000,14109000.000000,0.000000,2222000.000000,-411000.000000,0.000000,94000.000000,35228000.000000,38047000.000000,-21213000.000000,0.000000,-34452000.000000,-34452000.000000,-34452000.000000,0.000000,0.000000,-5742.000000,37327000.000000,-37321000.000000,6569000.000000,0.000000,10.917000,-16.607000,-5.477000,51180000.000000,0.000000,37.680000,91006.606000,78637.616000,0.000000,-302172000.000000,6000.000000,6000.000000,29825000.000000,,,,,3012000.000000,7502000.000000,1.000000,57965991.000000,50087747.000000,50087747.000000,0.000000,278273000.000000,0.000000,0.000000,0.000000,5.556000
ARQ,2020-12-31,2021-03-15,2020-12-31,2020-Q4,205984000.000000,5918235908.000000,2025-05-07,-9000.000000,451677000.000000,,308321000.000000,143356000.000000,,5.255000,-8125000.000000,177011000.000000,177011000.000000,0.000000,-95464000.000000,3.013000,0.839000,107644000.000000,6336000.000000,101308000.000000,107644000.000000,0.000000,1272000.000000,0.000000,0.000000,0.000000,-95464000.000000,-94192000.000000,-15698.667000,-94192000.000000,-95464000.000000,-95464000.000000,-1.880000,-1.880000,-1.880000,245561000.000000,,245561000.000000,5848868908.000000,-30.000000,-30.807000,-32423000.000000,-0.694000,1.000000,6000.000000,1.000000,0.000000,0.000000,279973000.000000,,0.000000,137500000.000000,137500000.000000,0.000000,206116000.000000,102337000.000000,103779000.000000,24268000.000000,0.000000,129104000.000000,1231000.000000,0.000000,129993000.000000,-81427000.000000,-73302000.000000,-24298000.000000,0.000000,-95464000.000000,-95464000.000000,-95464000.000000,0.000000,0.000000,-15910.667000,40805000.000000,-40799000.000000,6314000.000000,0.000000,24.101000,-30.215000,-22.630000,125372000.000000,0.000000,94.820000,246593.163000,184636.355000,0.000000,-397636000.000000,6000.000000,6000.000000,32451000.000000,,,,,6807000.000000,8354000.000000,1.000000,62415481.000000,46733221.000000,46733221.000000,0.000000,451677000.000000,0.000000,0.000000,0.000000,9.665000
ARQ,2021-03-31,2021-05-11,2021-03-31,2021-Q1,412494000.000000,4142668764.000000,2025-05-07,-24000.000000,693241000.000000,,514580000.000000,178661000.000000,,7.016000,-11478000.000000,112081000.000000,112081000.000000,0.000000,-201560000.000000,5.041000,0.641000,136593000.000000,6027000.000000,130566000.000000,136593000.000000,0.000000,1398000.000000,0.000000,0.000000,0.000000,-201560000.000000,-200162000.000000,-33360.333000,-200162000.000000,-201560000.000000,-201560000.000000,-3.350000,-3.350000,-3.350000,422429000.000000,,422429000.000000,4167180764.000000,-11.000000,-11.554000,-50056000.000000,-0.831000,1.000000,6000.000000,1.000000,0.000000,0.000000,615667000.000000,,0.000000,406238000.000000,406238000.000000,0.000000,270812000.000000,102086000.000000,168726000.000000,-64930000.000000,620000.000000,261758000.000000,-529000.000000,0.000000,253274000.000000,-279626000.000000,-268768000.000000,-38578000.000000,0.000000,-201560000.000000,-201560000.000000,-201560000.000000,0.000000,0.000000,-33593.333000,200379000.000000,-200373000.000000,7983000.000000,0.000000,9.807000,-11.328000,-10.015000,158788000.000000,0.000000,66.200000,172611.198000,166081.284000,0.000000,-599196000.000000,6000.000000,6000.000000,190106000.000000,,,,,4648000.000000,10273000.000000,1.000000,62578078.000000,60210120.000000,60210120.000000,0.000000,693241000.000000,0.000000,0.000000,0.000000,11.514000
ARQ,2021-06-30,2021-08-10,2021-06-30,2021-Q2,549278000.000000,6919049015.000000,2025-05-07,31000.000000,893078000.000000,,677993000.000000,215085000.000000,,8.818000,-16184000.000000,226855000.000000,226855000.000000,0.000000,-76253000.000000,5.267000,0.628000,142649000.000000,5680000.000000,136969000.000000,142649000.000000,50405000.000000,1669000.000000,0.000000,0.000000,0.000000,-76253000.000000,-74584000.000000,-12430.667000,-74584000.000000,-76253000.000000,-76253000.000000,-1.230000,-1.230000,-1.230000,548551000.000000,,548551000.000000,6834843015.000000,-17.000000,-16.995000,-48711000.000000,-0.783000,1.000000,6000.000000,1.000000,0.000000,0.000000,680157000.000000,,0.000000,432694000.000000,403264000.000000,29430000.000000,344527000.000000,128715000.000000,215812000.000000,114774000.000000,0.000000,161479000.000000,-517000.000000,0.000000,160438000.000000,-13137000.000000,3047000.000000,-32527000.000000,0.000000,-76253000.000000,-76253000.000000,-76253000.000000,0.000000,0.000000,-12708.833000,58980000.000000,-58974000.000000,8030000.000000,0.000000,12.613000,-16.970000,-14.585000,169658000.000000,0.000000,104.280000,288293.709000,270302.496000,50000000.000000,-675449000.000000,6000.000000,6000.000000,45577000.000000,,,,,10452000.000000,13403000.000000,1.000000,66350681.000000,62210239.000000,62210239.000000,0.000000,893078000.000000,0.000000,0.000000,0.000000,14.356000
ARQ,2021-09-30,2021-11-08,2021-09-30,2021-Q3,840033000.000000,6749532150.000000,2025-05-07,19000.000000,1156555000.000000,,941424000.000000,215131000.000000,,12.863000,-5780000.000000,626863000.000000,626863000.000000,0.000000,-28118000.000000,9.285000,0.355000,145440000.000000,8722000.000000,136718000.000000,145440000.000000,49642000.000000,1750000.000000,0.000000,0.000000,0.000000,-28118000.000000,-26368000.000000,-34.558000,-26368000.000000,-28118000.000000,-28118000.000000,-0.420000,-0.420000,-0.420000,853814000.000000,,853814000.000000,6268109150.000000,-16.000000,-15.856000,-2773000.000000,-0.042000,1.000000,763000.000000,1.000000,0.000000,0.000000,573741000.000000,,0.000000,345920000.000000,321382000.000000,24538000.000000,302741000.000000,101391000.000000,201350000.000000,400008000.000000,0.000000,321625000.000000,-530000.000000,0.000000,320886000.000000,76115000.000000,81895000.000000,3007000.000000,0.000000,-28118000.000000,-28118000.000000,-28118000.000000,0.000000,0.000000,-36.852000,70397000.000000,-69634000.000000,7282000.000000,0.000000,7.905000,-16.815000,-14.398000,174702000.000000,0.000000,99.060000,8642.167000,8419.160000,0.000000,-703567000.000000,763000.000000,763000.000000,54623000.000000,,,,,12968000.000000,15774000.000000,1.000000,68135798.000000,66377611.000000,66377611.000000,0.011000,1156555000.000000,0.000000,0.000000,0.000000,17.424000
