dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-06-30,1996-12-31,1996-Q4,9606000.000000,767645357.000000,2025-05-01,-383000.000000,58606000.000000,,26599000.000000,32007000.000000,,0.364000,,4526000.000000,4526000.000000,,,1.565000,0.586000,6968000.000000,2298000.000000,4670000.000000,6968000.000000,6681000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,36943000.000000,,36943000.000000,770087357.000000,33.000000,30.113000,,,1.000000,,,0.000000,,44055000.000000,,8134000.000000,0.000000,0.000000,0.000000,21663000.000000,16993000.000000,4670000.000000,,,,,,,,,,,,,,,,,,,5468000.000000,,20.779000,32.969000,32.815000,24819000.000000,,7.548000,11.556000,11.533000,10364000.000000,22712000.000000,,,,,,,,,,1.000000,101708560.000000,101512000.000000,,,58606000.000000,0.000000,,808000.000000,0.577000
ARQ,1997-12-31,1998-06-30,1997-12-31,1997-Q4,47663000.000000,853159040.000000,2025-05-01,-960000.000000,93739000.000000,,62984000.000000,30755000.000000,,0.737000,,8275000.000000,8275000.000000,,,4.111000,0.242000,4847000.000000,1887000.000000,2960000.000000,4847000.000000,1840000.000000,,0.000000,0.004000,0.015000,,,,,,,,,,75458000.000000,,75458000.000000,849731040.000000,23.000000,20.883000,,,1.000000,,,0.000000,,74990000.000000,,16609000.000000,0.000000,0.000000,0.000000,18281000.000000,15321000.000000,2960000.000000,,,,,,,,,,,,,,,,,,,4579000.000000,,11.306000,24.209000,23.188000,24172000.000000,,8.000000,10.357000,9.947000,33114000.000000,49709000.000000,,,,,,,,,,1.000000,106644880.000000,102424000.000000,,,93739000.000000,0.000000,,1013000.000000,0.915000
ARQ,1998-12-31,1999-06-02,1998-12-31,1998-Q4,115324000.000000,947711727.000000,2025-05-01,-1229000.000000,199919000.000000,,137870000.000000,62049000.000000,,0.480000,,78279000.000000,78279000.000000,,,6.115000,2.905000,126835000.000000,653000.000000,126182000.000000,126835000.000000,4516000.000000,,0.000000,0.007000,0.018000,,,,,,,,,,51191000.000000,,51191000.000000,996267727.000000,20.000000,18.415000,,,1.000000,,,0.000000,,225929000.000000,,10542000.000000,10055000.000000,0.000000,10055000.000000,148728000.000000,22546000.000000,126182000.000000,,,,,,,,,,,,,,,,,,,12244000.000000,,18.513000,20.866000,22.424000,23677000.000000,,9.530000,8.399000,9.000000,42768000.000000,24748000.000000,,,,,,,,,,1.000000,99445092.000000,106564000.000000,,,199919000.000000,0.000000,,1004000.000000,1.876000
ARQ,1999-12-31,2000-04-19,1999-12-31,1999-Q4,266068000.000000,3117252694.000000,2025-05-01,1260000.000000,635137000.000000,,340423000.000000,294714000.000000,,4.245000,,178086000.000000,178086000.000000,,,4.578000,0.459000,137504000.000000,12016000.000000,125488000.000000,137504000.000000,4962000.000000,,0.000000,0.003000,0.035000,,,,,,,,,,435294000.000000,,435294000.000000,3076670694.000000,41.000000,35.781000,,,1.000000,,,0.000000,,520200000.000000,,12701000.000000,65905000.000000,65893000.000000,12000.000000,199843000.000000,74355000.000000,125488000.000000,,,,,,,,,,,,,,,,,,,22685000.000000,,7.161000,49.892000,41.082000,45300000.000000,,25.060000,17.662000,14.560000,60571000.000000,57252000.000000,,,,,,,,,,1.000000,124391568.000000,102542000.000000,,,635137000.000000,0.000000,,3585000.000000,6.194000
ARQ,2000-12-31,2001-05-24,2000-12-31,2000-Q4,-25295000.000000,5140127446.000000,2025-05-01,-1368000.000000,1107267000.000000,,260449000.000000,846818000.000000,,1.843000,,125144000.000000,125144000.000000,,,0.911000,3.663000,738729000.000000,182564000.000000,556165000.000000,738729000.000000,54234000.000000,,0.000000,0.006000,0.075000,,,,,,,,,,237458000.000000,,237458000.000000,5753712446.000000,-41.000000,-47.930000,,,1.000000,,,770536000.000000,,664572000.000000,,24108000.000000,1561000.000000,0.000000,1561000.000000,869809000.000000,285744000.000000,584065000.000000,,,,,,,,,,,,,,,,,,,34683000.000000,,21.646000,-34.736000,-33.707000,52541000.000000,,39.100000,16.626000,16.292000,105850000.000000,-261819000.000000,,,,,,,,,,1.000000,131461060.000000,128824000.000000,,,336731000.000000,0.000000,,6711000.000000,2.614000
ARQ,2001-12-31,2002-05-22,2001-12-31,2001-Q4,427856000.000000,5795867778.000000,2025-05-01,-2729000.000000,1331483000.000000,,576596000.000000,754887000.000000,,8.224000,,434891000.000000,434891000.000000,,,3.877000,0.182000,46161000.000000,12592000.000000,33569000.000000,46161000.000000,50130000.000000,,0.000000,0.008000,0.077000,,,,,,,,,,1126074000.000000,,1126074000.000000,5407137778.000000,39.000000,27.834000,,,1.000000,,,652837000.000000,,141176000.000000,,38506000.000000,2355000.000000,0.000000,2355000.000000,205409000.000000,148740000.000000,56669000.000000,,,,,,,,,,,,,,,,,,,31811000.000000,,5.147000,66.278000,57.500000,85581000.000000,,36.800000,9.937000,8.639000,96556000.000000,-280004000.000000,,,,,,,,,,1.000000,157496407.000000,136928000.000000,,,678646000.000000,0.000000,,17318000.000000,4.956000
ARQ,2002-12-31,2003-05-21,2002-12-31,2002-Q4,-23527000.000000,6908269091.000000,2025-05-01,-2393000.000000,1833804000.000000,,321631000.000000,1512173000.000000,,5.565000,,56080000.000000,56080000.000000,,,0.932000,1.168000,747350000.000000,122590000.000000,624760000.000000,747350000.000000,38147000.000000,,0.000000,0.007000,0.077000,,,,,,,,,,845686000.000000,,845686000.000000,7599539091.000000,54.000000,33.977000,,,1.000000,,,1182715000.000000,,997201000.000000,,53047000.000000,79324000.000000,0.000000,79324000.000000,988118000.000000,345158000.000000,642960000.000000,,,,,,,,,,,,,,,,,,,71641000.000000,,8.169000,78.686000,75.328000,136784000.000000,,43.690000,8.767000,8.425000,190980000.000000,-580413000.000000,,,,,,,,,,1.000000,158120144.000000,151960000.000000,,,651089000.000000,0.000000,,35691000.000000,4.285000
ARQ,2003-12-31,2004-05-14,2003-12-31,2003-Q4,149884000.000000,2759891478.000000,2025-05-01,17840000.000000,2297604000.000000,,412452000.000000,1885152000.000000,,7.992000,,133261000.000000,133261000.000000,,,1.571000,0.814000,812526000.000000,58816000.000000,753710000.000000,812526000.000000,20265000.000000,,0.000000,0.018000,0.077000,,,,,,,,,,1266826000.000000,,1266826000.000000,3439156478.000000,-1124.000000,13.539000,,,1.000000,,,1560655000.000000,,1153646000.000000,,84058000.000000,92756000.000000,0.000000,92756000.000000,1030778000.000000,262568000.000000,768210000.000000,,,,,,,,,,,,,,,,,,,67932000.000000,,2.179000,-68.407000,-69.520000,173804000.000000,,17.380000,3.351000,3.345000,179374000.000000,-222931000.000000,,,,,,,,,,1.000000,158796978.000000,158516000.000000,,,736949000.000000,0.000000,,24175000.000000,4.649000
ARQ,2004-12-31,2005-06-30,2004-12-31,2004-Q4,124414000.000000,2473630399.000000,2025-05-01,42082000.000000,1711060000.000000,,314651000.000000,1396409000.000000,,6.624000,,34324000.000000,34324000.000000,,,1.654000,0.624000,478936000.000000,33465000.000000,445471000.000000,478936000.000000,24666000.000000,,0.000000,0.020000,0.077000,,,,,,,,,,1053913000.000000,,1053913000.000000,2918242399.000000,14.000000,9.781000,,,1.000000,,,1078367000.000000,,887068000.000000,,110154000.000000,73062000.000000,5016000.000000,68046000.000000,657147000.000000,190237000.000000,466910000.000000,,,,,,,,,,,,,,,,,,,41120000.000000,,2.347000,15.365000,15.366000,186556000.000000,,15.520000,2.790000,2.785000,148762000.000000,-446684000.000000,,,,,,,,,,1.000000,159383402.000000,159115000.000000,,,632693000.000000,0.000000,,24594000.000000,3.976000
ARQ,2005-12-31,2006-04-03,2005-12-31,2005-Q4,411232000.000000,3874792707.000000,2025-05-01,32907000.000000,2188093000.000000,,684788000.000000,1503305000.000000,,8.653000,,445289000.000000,445289000.000000,,,2.503000,0.586000,436956000.000000,24360000.000000,412596000.000000,436956000.000000,178279000.000000,,0.000000,0.030000,0.000000,,,,,,,,,,1379549000.000000,,1379549000.000000,3866459707.000000,26.000000,11.103000,,,1.000000,,,1188306000.000000,,717898000.000000,,89473000.000000,57548000.000000,511000.000000,57037000.000000,808544000.000000,273556000.000000,534988000.000000,,,,,,,,,,,,,,,,,,,61453000.000000,,2.809000,43.524000,43.357000,199567000.000000,,24.280000,4.142000,4.138000,132699000.000000,-249270000.000000,,,,,,,,,,1.000000,159587838.000000,159433000.000000,,,999787000.000000,0.000000,,37713000.000000,6.271000
