dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2021-12-31,2022-08-10,2021-12-31,2021-Q4,52888000.000000,,2025-05-14,0.000000,142061000.000000,,94823000.000000,47238000.000000,,0.968000,,76057000.000000,76057000.000000,,,2.261000,1.365000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,34691000.000000,,34691000.000000,,,,,,1.000000,,,19790000.000000,,4279000.000000,,0.000000,0.000000,0.000000,0.000000,47370000.000000,41935000.000000,5435000.000000,,,,,,,,,,,,,,,,,,,4775000.000000,,,,,13010000.000000,,,,,0.000000,,,,,,,,,,,1.000000,35822511.000000,35822511.000000,,,122271000.000000,0.000000,,0.000000,3.413000
ARQ,2021-12-31,2022-08-24,2021-12-31,2021-Q4,52888000.000000,,2025-05-14,0.000000,142061000.000000,,94823000.000000,47238000.000000,,0.968000,,76057000.000000,76057000.000000,,,2.261000,1.365000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,34691000.000000,,34691000.000000,,,,,,1.000000,,,19790000.000000,,4279000.000000,,0.000000,0.000000,0.000000,0.000000,47370000.000000,41935000.000000,5435000.000000,,,,,,,,,,,,,,,,,,,4775000.000000,,,,,13010000.000000,,,,,0.000000,,,,,,,,,,,1.000000,35822511.000000,35822511.000000,,,122271000.000000,0.000000,,0.000000,3.413000
ARQ,2021-12-31,2022-09-07,2021-12-31,2021-Q4,52888000.000000,,2025-05-14,0.000000,142061000.000000,,94823000.000000,47238000.000000,,0.968000,,76057000.000000,76057000.000000,,,2.261000,1.365000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,34691000.000000,,34691000.000000,,,,,,1.000000,,,19790000.000000,,4279000.000000,,0.000000,0.000000,0.000000,0.000000,47370000.000000,41935000.000000,5435000.000000,,,,,,,,,,,,,,,,,,,4775000.000000,,,,,13010000.000000,,,,,0.000000,,,,,,,,,,,1.000000,35822511.000000,35822511.000000,,,122271000.000000,0.000000,,0.000000,3.413000
ARQ,2021-12-31,2022-09-14,2021-12-31,2021-Q4,52888000.000000,,2025-05-14,0.000000,142061000.000000,,94823000.000000,47238000.000000,,0.968000,,76057000.000000,76057000.000000,,,2.261000,1.365000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,34691000.000000,,34691000.000000,,,,,,1.000000,,,19790000.000000,,4279000.000000,,0.000000,0.000000,0.000000,0.000000,47370000.000000,41935000.000000,5435000.000000,,,,,,,,,,,,,,,,,,,4775000.000000,,,,,13010000.000000,,,,,0.000000,,,,,,,,,,,1.000000,35822511.000000,35822511.000000,,,122271000.000000,0.000000,,0.000000,3.413000
ARQ,2022-06-30,2022-09-20,2022-06-30,2022-Q2,-19099000.000000,,2025-05-14,0.000000,98220000.000000,,46751000.000000,51469000.000000,,0.698000,,23209000.000000,23209000.000000,,,0.710000,2.929000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,24998000.000000,,24998000.000000,,,,,,1.000000,,,19790000.000000,,-10629000.000000,,0.000000,0.000000,0.000000,0.000000,73222000.000000,65850000.000000,7372000.000000,,,,,,,,,,,,,,,,,,,6377000.000000,,,,,13397000.000000,,,,,0.000000,,,,,,,,,,,1.000000,35822511.000000,35822511.000000,,,78430000.000000,0.000000,,0.000000,2.189000
ARQ,2022-09-30,2022-11-09,2022-09-30,2022-Q3,52115000.000000,1004692830.000000,2025-05-14,0.000000,135646000.000000,,80550000.000000,55096000.000000,,2.546000,-4524000.000000,50668000.000000,50668000.000000,0.000000,-68853000.000000,2.833000,0.354000,0.000000,0.000000,0.000000,0.000000,0.000000,377000.000000,0.000000,0.000000,0.000000,-67637000.000000,-67260000.000000,,-67260000.000000,-67637000.000000,-67637000.000000,-1.750000,-1.750000,-1.750000,100216000.000000,,100216000.000000,954024830.000000,,,-100084000.000000,-2.542000,1.000000,0.000000,,19790000.000000,0.000000,36753000.000000,,0.000000,0.000000,0.000000,0.000000,35430000.000000,28435000.000000,6995000.000000,27459000.000000,0.000000,0.000000,0.000000,0.000000,127543000.000000,-4524000.000000,0.000000,-95560000.000000,0.000000,-68853000.000000,-68853000.000000,-68853000.000000,0.000000,0.000000,,67637000.000000,-67637000.000000,4731000.000000,0.000000,10.025000,,,17423000.000000,0.000000,14.740000,,,0.000000,,0.000000,0.000000,52845000.000000,,,,,16997000.000000,14792000.000000,1.000000,68160979.000000,39368042.000000,39368042.000000,0.000000,115856000.000000,0.000000,1216000.000000,0.000000,2.943000
ARQ,2022-12-31,2023-03-23,2022-12-31,2022-Q4,496947000.000000,914047219.000000,2025-05-14,284000.000000,661783000.000000,,586968000.000000,74815000.000000,,12.042000,-300000.000000,240089000.000000,240089000.000000,0.000000,-201107000.000000,6.520000,0.228000,30581000.000000,0.000000,30581000.000000,30581000.000000,0.000000,344000.000000,0.000000,0.000000,0.000000,-215250000.000000,-214906000.000000,,-214906000.000000,-215250000.000000,-215250000.000000,-3.370000,-3.370000,-3.370000,538771000.000000,,538771000.000000,704539219.000000,-1.000000,-1.239000,-75707000.000000,-1.692000,1.000000,0.000000,,19790000.000000,0.000000,342464000.000000,,0.000000,260464000.000000,260464000.000000,0.000000,123012000.000000,90021000.000000,32991000.000000,191186000.000000,-4000000.000000,283804000.000000,0.000000,0.000000,530180000.000000,-264016000.000000,-259716000.000000,-75407000.000000,429000.000000,-201107000.000000,-201107000.000000,-201107000.000000,0.000000,0.000000,,213412000.000000,-213412000.000000,45915000.000000,0.000000,1.697000,-1.603000,-1.051000,17512000.000000,0.000000,13.400000,,,0.000000,-91124000.000000,0.000000,0.000000,137044000.000000,,,,,115629000.000000,76368000.000000,1.000000,68212479.000000,44741316.000000,44741316.000000,0.000000,641993000.000000,46139000.000000,-14143000.000000,0.000000,14.349000
ARQ,2023-03-31,2023-05-12,2023-03-31,2023-Q1,430470000.000000,928541964.000000,2025-05-14,166000.000000,618521000.000000,,544476000.000000,74045000.000000,,6.924000,-735000.000000,186579000.000000,186579000.000000,0.000000,-70492000.000000,4.776000,0.310000,29760000.000000,0.000000,29760000.000000,29760000.000000,0.000000,1649000.000000,0.000000,0.000000,0.000000,-69553000.000000,-67904000.000000,,-67904000.000000,-69553000.000000,-69553000.000000,-1.030000,-1.030000,-1.030000,472258000.000000,,472258000.000000,771722964.000000,,,-78373000.000000,-1.149000,1.000000,0.000000,,19790000.000000,0.000000,327906000.000000,,0.000000,262998000.000000,262998000.000000,0.000000,146263000.000000,114006000.000000,32257000.000000,-52014000.000000,0.000000,0.000000,0.000000,0.000000,26668000.000000,-1059000.000000,-324000.000000,-77638000.000000,15000.000000,-70492000.000000,-70492000.000000,-70492000.000000,0.000000,0.000000,,77782000.000000,-77782000.000000,76004000.000000,0.000000,1.966000,,,17494000.000000,0.000000,13.610000,,,0.000000,-161616000.000000,0.000000,0.000000,63461000.000000,,,,,3765000.000000,14321000.000000,1.000000,68224979.000000,68206879.000000,68206879.000000,0.000000,598731000.000000,43830000.000000,939000.000000,0.000000,8.778000
ARQ,2023-06-30,2023-07-31,2023-06-30,2023-Q2,346271000.000000,1358143511.000000,2025-05-14,20000.000000,506736000.000000,,434118000.000000,72618000.000000,,5.674000,-595000.000000,188027000.000000,188027000.000000,0.000000,-90346000.000000,4.942000,0.309000,29115000.000000,0.000000,29115000.000000,29115000.000000,0.000000,1831000.000000,0.000000,0.000000,0.000000,-88169000.000000,-86338000.000000,,-86338000.000000,-88169000.000000,-88169000.000000,-1.320000,-1.320000,-1.320000,387255000.000000,,387255000.000000,1199231511.000000,-3.000000,-2.748000,-44988000.000000,-0.659000,1.000000,0.000000,,19790000.000000,0.000000,240187000.000000,,0.000000,187503000.000000,187503000.000000,0.000000,119481000.000000,87847000.000000,31634000.000000,11360000.000000,0.000000,0.000000,0.000000,0.000000,-20339000.000000,76254000.000000,76849000.000000,-44393000.000000,-162000.000000,-90346000.000000,-90346000.000000,-90346000.000000,0.000000,0.000000,,94011000.000000,-94011000.000000,52454000.000000,0.000000,3.507000,-3.153000,-2.661000,17277000.000000,0.000000,19.880000,,,0.000000,-251962000.000000,0.000000,0.000000,79490000.000000,,,,,4695000.000000,14521000.000000,1.000000,68317078.000000,68248023.000000,68248023.000000,0.000000,486946000.000000,8656000.000000,2177000.000000,0.000000,7.135000
ARQ,2023-09-30,2023-11-14,2023-09-30,2023-Q3,248393000.000000,2389358276.000000,2025-05-14,158000.000000,382736000.000000,,310570000.000000,72166000.000000,,4.245000,-1248000.000000,111725000.000000,111725000.000000,0.000000,-102574000.000000,4.995000,0.320000,28286000.000000,0.000000,28286000.000000,28286000.000000,0.000000,1538000.000000,0.000000,0.000000,0.000000,-105861000.000000,-104323000.000000,,-104323000.000000,-105861000.000000,-105861000.000000,-1.500000,-1.500000,-1.500000,290006000.000000,,290006000.000000,2305919276.000000,-5.000000,-4.870000,-96061000.000000,-1.406000,1.000000,0.000000,,19790000.000000,0.000000,217330000.000000,,0.000000,128899000.000000,128899000.000000,0.000000,92730000.000000,62177000.000000,30553000.000000,-75960000.000000,0.000000,0.000000,0.000000,0.000000,-39656000.000000,58549000.000000,59797000.000000,-94813000.000000,-40000.000000,-102574000.000000,-102574000.000000,-102574000.000000,0.000000,0.000000,,110547000.000000,-110547000.000000,9543000.000000,0.000000,8.239000,-5.144000,-4.125000,17669000.000000,0.000000,29.780000,,,0.000000,-354536000.000000,0.000000,0.000000,95517000.000000,,,,,4456000.000000,15030000.000000,1.000000,80233656.000000,68320125.000000,68320125.000000,0.000000,362946000.000000,13073000.000000,-3287000.000000,0.000000,5.312000
