dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2004-12-31,2005-08-03,2004-12-31,2004-Q4,158070000.000000,,2025-05-21,0.000000,262206000.000000,,212262000.000000,49944000.000000,,-0.030000,,200196000.000000,24699949.000000,,,3.917000,-79.552000,0.000000,0.000000,0.000000,0.000000,6302000.000000,,25990000.000000,,0.000000,,,,,,,,,,-3338000.000000,,-411839.000000,,,,,,8.105000,,,12953000.000000,,-5135000.000000,,0.000000,0.000000,0.000000,0.000000,265544000.000000,54192000.000000,211352000.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,35932000.000000,,,,,9645000.000000,-47126000.000000,,,,,,,,,,0.125000,2585487440.000000,878678240.000000,,,249253000.000000,0.000000,,0.000000,2.269000
ARQ,2005-06-30,2005-08-24,2005-06-30,2005-Q2,150192000.000000,2514386535.000000,2025-05-21,0.000000,328442000.000000,,239663000.000000,88779000.000000,,0.227000,,210696000.000000,26010272.000000,16386000.000000,12051000.000000,2.679000,10.892000,0.000000,0.000000,0.000000,0.000000,7607000.000000,,42065000.000000,0.000000,0.000000,13226000.000000,,,,1632740.000000,13226000.000000,0.099000,0.039000,0.012000,27619000.000000,,3409546.000000,2488376263.000000,,,,,8.100000,48788000.000000,0.749000,21537000.000000,0.000000,6738000.000000,,0.000000,0.000000,0.000000,0.000000,300823000.000000,89471000.000000,211352000.000000,,,,,,,,,,,12051000.000000,12051000.000000,1487687.000000,0.000000,0.000000,0.185000,36824000.000000,11964000.000000,0.000000,0.000000,737.455000,,,58194000.000000,0.000000,7.780000,,,21038000.000000,,65174000.000000,8045684.000000,6930000.000000,,,,,,23725000.000000,0.125000,2585487440.000000,972536800.000000,2441442800.000000,0.066000,306905000.000000,0.000000,1175000.000000,0.000000,2.525000
ARQ,2005-09-30,2005-10-27,2005-09-30,2005-Q3,856932000.000000,2273613018.000000,2025-05-21,0.000000,1111857000.000000,,996562000.000000,115295000.000000,,4.049000,,966309000.000000,119500765.000000,24319000.000000,8504000.000000,7.137000,0.144000,0.000000,0.000000,0.000000,0.000000,7954000.000000,,57367000.000000,0.000000,0.000000,10373000.000000,,,,1282800.000000,10373000.000000,0.035000,0.026000,0.004000,972227000.000000,,120232628.000000,2154112252.000000,,,,,8.086000,58894000.000000,0.708000,21910000.000000,0.000000,-15992000.000000,,0.000000,2023000.000000,0.000000,2023000.000000,139630000.000000,139630000.000000,0.000000,,,,,,,,,,,8504000.000000,8504000.000000,1051666.000000,0.000000,0.000000,0.102000,51977000.000000,6917000.000000,0.000000,0.000000,18.910000,,,91362000.000000,0.000000,7.035000,,,21456000.000000,,83213000.000000,10290722.000000,11004000.000000,,,,,,30166000.000000,0.125000,2585487440.000000,1920852800.000000,2632356640.000000,0.043000,1089947000.000000,0.000000,1869000.000000,0.000000,4.539000
ARQ,2005-12-31,2006-02-22,2005-12-31,2005-Q4,804106000.000000,1768796595.000000,2025-05-21,-5451000.000000,1136423000.000000,,935352000.000000,201071000.000000,,3.051000,,900593000.000000,111884052.000000,36852000.000000,24549000.000000,7.127000,0.131000,0.000000,0.000000,0.000000,0.000000,7906000.000000,,70327000.000000,0.000000,0.000000,22401000.000000,,,,2782960.000000,22401000.000000,0.075000,0.071000,0.009000,1005053000.000000,,124861510.000000,1656912543.000000,269.000000,,,,8.049000,78048000.000000,0.679000,22590000.000000,0.000000,81994000.000000,,0.000000,2018000.000000,0.000000,2018000.000000,131370000.000000,131246000.000000,124000.000000,,,,,,,,,,,24549000.000000,24549000.000000,3049815.000000,0.000000,0.000000,0.214000,63825000.000000,14223000.000000,0.000000,0.000000,14.166000,299.079000,183.559000,96420000.000000,0.000000,5.473000,44.602000,27.337000,22353000.000000,1002000.000000,114900000.000000,14274459.000000,10994000.000000,,,,,,42378000.000000,0.125000,2585487440.000000,2635603680.000000,2766770960.000000,0.043000,1113833000.000000,4292000.000000,-2148000.000000,0.000000,3.381000
ARQ,2006-03-31,2006-05-10,2006-03-31,2006-Q1,841414000.000000,2714115440.000000,2025-05-21,-11264000.000000,1249364000.000000,,1028563000.000000,220801000.000000,,3.181000,,975949000.000000,121919407.000000,42777000.000000,35240000.000000,5.496000,0.188000,0.000000,0.000000,0.000000,0.000000,13756000.000000,,87800000.000000,0.000000,0.000000,41090000.000000,,,,5133125.000000,41090000.000000,0.093000,0.089000,0.012000,1051799000.000000,,131394888.000000,2592196034.000000,238.000000,,,,8.005000,92797000.000000,0.684000,33949000.000000,0.000000,52317000.000000,,0.000000,2004000.000000,0.000000,2004000.000000,197565000.000000,187149000.000000,10416000.000000,,,,,,,,,,,35240000.000000,35240000.000000,4402320.000000,0.000000,0.000000,0.260000,65873000.000000,26924000.000000,7000000.000000,0.000000,20.656000,270.414000,222.599000,100579000.000000,0.000000,8.398000,53.700000,54.942000,21702000.000000,36242000.000000,135574000.000000,16936440.000000,15544000.000000,,,,,,50329000.000000,0.125000,2585487440.000000,2645276080.000000,2757838240.000000,0.051000,1215415000.000000,4685000.000000,5850000.000000,0.000000,3.676000
ARQ,2006-06-30,2006-07-27,2006-06-30,2006-Q2,891683000.000000,2397792558.000000,2025-05-21,-13951000.000000,1364472000.000000,,1118466000.000000,246006000.000000,,3.388000,,1064466000.000000,133432712.000000,56644000.000000,58470000.000000,4.932000,0.210000,0.000000,0.000000,0.000000,0.000000,11658000.000000,,114336000.000000,0.000000,0.000000,68850000.000000,,,,8630470.000000,68850000.000000,0.176000,0.169000,0.022000,1127990000.000000,,141395559.000000,2264359846.000000,127.000000,,,,7.978000,134983000.000000,0.704000,33772000.000000,0.000000,39451000.000000,,0.000000,1999000.000000,0.000000,1999000.000000,236482000.000000,226783000.000000,9699000.000000,,,,,,,,,,,58470000.000000,58470000.000000,7329319.000000,0.000000,0.000000,0.305000,76996000.000000,57987000.000000,7000000.000000,0.000000,16.958000,150.900000,149.641000,124854000.000000,0.000000,7.278000,35.716000,36.095000,20247000.000000,94712000.000000,191627000.000000,24020786.000000,18268000.000000,,,,,,58728000.000000,0.125000,2635660960.000000,2663631280.000000,2767806400.000000,0.072000,1330700000.000000,5621000.000000,10380000.000000,0.000000,3.997000
ARQ,2006-09-30,2006-11-01,2006-09-30,2006-Q3,890477000.000000,2794130075.000000,2025-05-21,-22834000.000000,1512695000.000000,,1159184000.000000,353511000.000000,,3.681000,,1083334000.000000,137617617.000000,68399000.000000,85253000.000000,4.314000,0.227000,0.000000,0.000000,0.000000,0.000000,11803000.000000,,129530000.000000,0.000000,0.000000,87279000.000000,,,,11087188.000000,87279000.000000,0.254000,0.246000,0.032000,1233149000.000000,,156648851.000000,2656512458.000000,95.000000,,,,7.872000,170932000.000000,0.714000,91085000.000000,0.000000,69569000.000000,,0.000000,0.000000,0.000000,0.000000,279546000.000000,268707000.000000,10839000.000000,,,,,,,,,,,85253000.000000,85253000.000000,10829822.000000,0.000000,0.000000,0.356000,94704000.000000,76228000.000000,7000000.000000,0.000000,17.837000,108.080000,109.988000,160195000.000000,0.000000,8.481000,32.065000,32.606000,25205000.000000,179965000.000000,239331000.000000,30402592.000000,24520000.000000,,,,,,70184000.000000,0.125000,2635660960.000000,2680075840.000000,2770288880.000000,0.091000,1421610000.000000,7575000.000000,2026000.000000,0.000000,4.243000
ARQ,2006-12-31,2007-02-15,2006-12-31,2006-Q4,977738000.000000,3498181009.000000,2025-05-21,-33697000.000000,1668077000.000000,,1278737000.000000,389340000.000000,,4.032000,,1221613000.000000,157507230.000000,77669000.000000,122803000.000000,4.248000,0.229000,0.000000,0.000000,0.000000,0.000000,9490000.000000,,141185000.000000,0.000000,0.000000,116803000.000000,,,,15059857.000000,116803000.000000,0.365000,0.354000,0.047000,1357261000.000000,,174996844.000000,3340673780.000000,83.000000,,,,7.756000,193637000.000000,0.714000,91702000.000000,0.000000,53763000.000000,,0.000000,0.000000,0.000000,0.000000,310816000.000000,300999000.000000,9817000.000000,,,,,,,,,,,122803000.000000,122803000.000000,15833460.000000,0.000000,0.000000,0.453000,91898000.000000,101739000.000000,0.000000,0.000000,19.990000,89.909000,90.897000,191734000.000000,0.000000,10.618000,32.383000,32.722000,23051000.000000,302768000.000000,271306000.000000,34980519.000000,20899000.000000,,,,,,70999000.000000,0.125000,2635660960.000000,2693299120.000000,2776940240.000000,0.104000,1576375000.000000,7536000.000000,-6000000.000000,0.000000,4.682000
ARQ,2007-03-31,2007-04-30,2007-03-31,2007-Q1,911848000.000000,4005545744.000000,2025-05-21,-42656000.000000,1806071000.000000,,1258763000.000000,547308000.000000,,4.297000,,1169337000.000000,151746010.000000,101895000.000000,85502000.000000,3.628000,0.245000,0.000000,0.000000,0.000000,0.000000,8970000.000000,,147309000.000000,0.000000,0.000000,86892000.000000,,,,11276060.000000,86892000.000000,0.253000,0.247000,0.033000,1450269000.000000,,188202832.000000,3853799734.000000,83.000000,,,,7.706000,173685000.000000,0.630000,90499000.000000,0.000000,199320000.000000,,0.000000,0.000000,0.000000,0.000000,355802000.000000,346915000.000000,8887000.000000,,,,,,,,,,,85502000.000000,85502000.000000,11095678.000000,0.000000,0.000000,0.310000,99857000.000000,73828000.000000,7000000.000000,0.000000,21.283000,87.681000,89.397000,343266000.000000,0.000000,12.158000,31.566000,32.339000,27626000.000000,388270000.000000,275580000.000000,35762287.000000,24964000.000000,,,,,,74893000.000000,0.125000,2635660960.000000,2700232320.000000,2773520720.000000,0.106000,1715572000.000000,9334000.000000,1390000.000000,0.000000,5.083000
ARQ,2007-06-30,2007-07-26,2007-06-30,2007-Q2,965598000.000000,7046241655.000000,2025-05-21,-60407000.000000,2088780000.000000,,1452485000.000000,636295000.000000,,4.717000,,1213166000.000000,160367242.000000,146795000.000000,141899000.000000,2.983000,0.307000,0.000000,0.000000,0.000000,0.000000,13862000.000000,,180307000.000000,0.000000,0.000000,143738000.000000,,,,19000587.000000,143738000.000000,0.419000,0.409000,0.055000,1597839000.000000,,211216795.000000,6885874413.000000,120.000000,,,,7.565000,254458000.000000,0.634000,188368000.000000,0.000000,200359000.000000,,0.000000,132384000.000000,126687000.000000,5697000.000000,490941000.000000,486887000.000000,4054000.000000,,,,,,,,,,,141899000.000000,141899000.000000,18757492.000000,0.000000,0.000000,0.354000,125498000.000000,128960000.000000,3000000.000000,0.000000,33.360000,122.410000,122.125000,417712000.000000,0.000000,20.906000,44.889000,45.119000,45772000.000000,530169000.000000,401253000.000000,53041247.000000,31770000.000000,,,,,,93728000.000000,0.125000,2696351920.000000,2710188640.000000,2776796560.000000,0.157000,1900412000.000000,9030000.000000,1839000.000000,0.000000,5.610000
