dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1998-12-31,1999-03-29,1998-12-31,1998-Q4,49922000.000000,,2025-04-29,0.000000,66572485.000000,,60203548.000000,6368937.000000,,4.083000,,53593026.000000,53593026.000000,,,5.855000,0.204000,1040125.000000,25033.000000,1015092.000000,1040125.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,55275845.000000,,55275845.000000,,,,,,1.000000,,,0.000000,,3738036.000000,,0.000000,680339.000000,511589.000000,168750.000000,11296640.000000,10281548.000000,1015092.000000,,,,,,,,,,,,,,,,,,,5300877.000000,,,,,5926877.000000,,,,,4176980.000000,-116939405.000000,,,,,,,,,,1.000000,23720071.000000,13538571.000000,,,66572485.000000,0.000000,,0.000000,4.917000
ARQ,1999-03-31,1999-05-17,1999-03-31,1999-Q1,175289035.000000,18750716258.000000,2025-04-29,0.000000,209738926.000000,,197389236.000000,12349690.000000,,11.795000,-4830483.000000,30593613.000000,30593613.000000,44039943.000000,-17160309.000000,8.932000,0.124000,1008934.000000,0.000000,1008934.000000,1008934.000000,0.000000,748345.000000,0.000000,0.000000,0.000000,-17160309.000000,-16411964.000000,-0.332000,-16411964.000000,-17160309.000000,-17160309.000000,-1.620000,-1.620000,-1.620000,186629791.000000,,186629791.000000,18721131579.000000,,,-21957318.000000,-1.388000,1.000000,5370599.000000,0.109000,0.000000,0.000000,158054046.000000,,0.000000,0.000000,0.000000,0.000000,23109135.000000,22100201.000000,1008934.000000,-22999413.000000,0.000000,0.000000,-5949.000000,0.000000,-1042095.000000,-4830483.000000,0.000000,-17126835.000000,0.000000,-17160309.000000,-25514282.000000,-25514282.000000,0.000000,0.000000,-0.516000,22988680.000000,-17618081.000000,13051723.000000,0.000000,100.470000,,,10009654.000000,8353973.000000,790.500000,,,11189976.000000,-142453687.000000,49410542.000000,49410542.000000,0.000000,,,,,0.000000,20804769.000000,1.000000,23720071.000000,15823248.000000,15823248.000000,3.123000,209738926.000000,0.000000,0.000000,0.000000,13.255000
ARQ,1999-06-30,1999-08-06,1999-06-30,1999-Q2,150043651.000000,10585793360.000000,2025-04-29,0.000000,204794892.000000,,183517084.000000,21277808.000000,,7.222000,-6454549.000000,142803134.000000,142803134.000000,101045102.000000,-14256619.000000,5.482000,0.195000,12248.000000,0.000000,12248.000000,12248.000000,0.000000,1163333.000000,0.000000,0.000000,0.000000,-14256619.000000,-13093286.000000,-0.117000,-13093286.000000,-14256619.000000,-14256619.000000,-0.600000,-0.600000,-0.600000,171309211.000000,,171309211.000000,10443002474.000000,,,-23078035.000000,-0.973000,1.000000,10518747.000000,0.094000,0.000000,0.000000,28530573.000000,,0.000000,9307474.000000,9307474.000000,0.000000,33485681.000000,33473433.000000,12248.000000,112209521.000000,0.000000,144565034.000000,-1006150.000000,0.000000,144595030.000000,-15762023.000000,-9307474.000000,-16623486.000000,0.000000,-14256619.000000,-14256619.000000,-14256619.000000,0.000000,0.000000,-0.128000,26704698.000000,-16185951.000000,26933608.000000,0.000000,61.793000,,,15311214.000000,0.000000,446.280000,,,28441951.000000,-156710306.000000,111563849.000000,111563849.000000,0.000000,,,,,0.000000,23236186.000000,1.000000,23720071.000000,23720071.000000,23720071.000000,4.703000,204794892.000000,0.000000,0.000000,0.000000,8.634000
ARQ,1999-06-30,1999-08-11,1999-06-30,1999-Q2,150043651.000000,10274760720.000000,2025-04-29,0.000000,204794892.000000,,183517084.000000,21277808.000000,,7.479000,-6454549.000000,142803134.000000,142803134.000000,101045102.000000,-14256619.000000,5.482000,0.195000,12248.000000,0.000000,12248.000000,12248.000000,0.000000,1163333.000000,0.000000,0.000000,0.000000,-14256619.000000,-13093286.000000,-0.117000,-13093286.000000,-14256619.000000,-14256619.000000,-0.120000,-0.120000,-0.120000,171309211.000000,,171309211.000000,10131969834.000000,,,-23078035.000000,-1.008000,1.000000,10518747.000000,0.094000,0.000000,0.000000,28530573.000000,,0.000000,9307474.000000,9307474.000000,0.000000,33485681.000000,33473433.000000,12248.000000,112209521.000000,0.000000,144565034.000000,-1006150.000000,0.000000,144595030.000000,-15762023.000000,-9307474.000000,-16623486.000000,0.000000,-14256619.000000,-14256619.000000,-14256619.000000,0.000000,0.000000,-0.128000,26704698.000000,-16185951.000000,26933608.000000,0.000000,59.978000,,,15311214.000000,0.000000,420.000000,,,28441951.000000,-156710306.000000,111563849.000000,111563849.000000,0.000000,,,,,0.000000,23236186.000000,1.000000,24463716.000000,22906066.000000,22906066.000000,4.870000,204794892.000000,0.000000,0.000000,0.000000,8.941000
ARQ,1999-09-30,1999-11-15,1999-09-30,1999-Q3,190533930.000000,8776858955.000000,2025-04-29,0.000000,267065532.000000,,234236122.000000,32829410.000000,,9.274000,-6689936.000000,115469578.000000,115469578.000000,134008912.000000,-102215686.000000,5.360000,0.196000,4981.000000,0.000000,4981.000000,4981.000000,0.000000,1596284.000000,0.000000,0.000000,0.000000,-102215686.000000,-100619402.000000,-0.661000,-100619402.000000,-102215686.000000,-102215686.000000,-4.260000,-4.260000,-4.260000,223358359.000000,,223358359.000000,8661394358.000000,,,-23164395.000000,-0.962000,1.000000,18213340.000000,0.120000,0.000000,0.000000,107898743.000000,,0.000000,77446102.000000,77446102.000000,0.000000,43707173.000000,43702192.000000,4981.000000,-27333556.000000,-2000000.000000,65975826.000000,-6359.000000,0.000000,65969467.000000,-76828564.000000,-68138628.000000,-16474459.000000,0.000000,-102215686.000000,-102215686.000000,-102215686.000000,0.000000,0.000000,-0.671000,122785675.000000,-104572335.000000,32873492.000000,0.000000,39.295000,,,20611244.000000,0.000000,359.640000,,,39971115.000000,-258925992.000000,152222252.000000,152222252.000000,0.000000,,,,,0.000000,29803432.000000,1.000000,24404568.000000,24083547.000000,24083547.000000,6.321000,267065532.000000,0.000000,0.000000,0.000000,11.089000
ARQ,1999-12-31,2000-03-30,1999-12-31,1999-Q4,172489000.000000,13801490960.000000,2025-04-29,0.000000,441886000.000000,,211739000.000000,230147000.000000,,20.295000,-9441032.000000,133172000.000000,133172000.000000,145485043.000000,-921457386.000000,5.395000,0.097000,0.000000,0.000000,0.000000,0.000000,0.000000,1840038.000000,0.000000,0.000000,0.000000,-921457386.000000,-919617348.000000,-5.435000,-919617348.000000,-921457386.000000,-921457386.000000,-41.280000,-41.280000,-41.280000,402636000.000000,,402636000.000000,13668318960.000000,-13.000000,-13.021000,-22241252.000000,-1.121000,1.000000,23728314.000000,0.140000,0.000000,0.000000,269464000.000000,,0.000000,227771000.000000,38771000.000000,189000000.000000,39250000.000000,39250000.000000,0.000000,17702448.000000,0.000000,1275140.000000,-6542.000000,0.000000,1268598.000000,29234070.000000,38675102.000000,-12800220.000000,0.000000,-921457386.000000,-921457413.000000,-921457413.000000,0.000000,0.000000,-5.446000,947561947.000000,-923833633.000000,24302000.000000,0.000000,34.278000,-12.978000,-10.270000,28006000.000000,27.000000,486.780000,28.609000,22.640000,30635000.000000,-1180383000.000000,169213357.000000,169213357.000000,0.000000,,,,,0.000000,33341613.000000,1.000000,28352625.000000,19839658.000000,19839658.000000,8.529000,441886000.000000,0.000000,0.000000,0.000000,22.273000
ARQ,2000-03-31,2000-05-16,2000-03-31,2000-Q1,140664000.000000,9240161441.000000,2025-04-29,5969000.000000,482717000.000000,,218121000.000000,264596000.000000,,14.607000,-11796000.000000,125855000.000000,125855000.000000,265152000.000000,-13567000.000000,2.816000,0.191000,0.000000,0.000000,0.000000,0.000000,0.000000,2672000.000000,0.000000,0.000000,0.000000,-13567000.000000,-10895000.000000,-0.035000,-10895000.000000,-13567000.000000,-13567000.000000,-0.480000,-0.480000,-0.480000,405260000.000000,,405260000.000000,9114306441.000000,-9.000000,-8.728000,-17278000.000000,-0.623000,1.000000,48646000.000000,0.155000,0.000000,0.000000,279405000.000000,,0.000000,212625000.000000,23625000.000000,189000000.000000,77457000.000000,77457000.000000,0.000000,-7317000.000000,0.000000,10222000.000000,-6000.000000,0.000000,10216000.000000,-12051000.000000,-255000.000000,-5482000.000000,0.000000,-13567000.000000,-13567000.000000,-13567000.000000,0.000000,0.000000,-0.043000,64928000.000000,-16282000.000000,59411000.000000,0.000000,22.801000,-8.788000,-7.030000,37130000.000000,0.000000,324.360000,12.373000,12.050000,66263000.000000,-1193950000.000000,313798000.000000,313798000.000000,0.000000,,,,,0.000000,59060000.000000,1.000000,28487364.000000,27744500.000000,27744500.000000,11.310000,482717000.000000,0.000000,0.000000,0.000000,17.399000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,107718000.000000,4092511417.000000,2025-04-29,2224000.000000,492838000.000000,,208653000.000000,284185000.000000,,1.173000,-8047000.000000,95434000.000000,95434000.000000,297300000.000000,-4521000.000000,2.067000,14.247000,0.000000,0.000000,0.000000,0.000000,0.000000,3577000.000000,0.000000,0.000000,0.000000,-4521000.000000,-944000.000000,-0.003000,-944000.000000,-4521000.000000,-4521000.000000,-0.420000,-0.420000,-0.420000,32323000.000000,,32323000.000000,3997077417.000000,-4.000000,-3.873000,1440000.000000,0.052000,1.000000,54795000.000000,0.156000,0.000000,0.000000,296469000.000000,,0.000000,235523000.000000,43273000.000000,192250000.000000,460515000.000000,100935000.000000,359580000.000000,-30421000.000000,0.000000,2100000.000000,-8000.000000,0.000000,2092000.000000,-42000000.000000,-33953000.000000,9487000.000000,0.000000,-4521000.000000,-11712000.000000,-11712000.000000,0.000000,0.000000,-0.033000,62041000.000000,-7246000.000000,73292000.000000,0.000000,126.613000,-3.902000,-3.173000,41592000.000000,7191000.000000,147.360000,4.145000,4.114000,58553000.000000,-1205662000.000000,352095000.000000,352095000.000000,0.000000,,,,,0.000000,52839000.000000,1.000000,27772200.000000,27566500.000000,27566500.000000,12.773000,492838000.000000,0.000000,0.000000,0.000000,17.878000
ARQ,2000-09-30,2000-11-14,2000-09-30,2000-Q3,86217000.000000,520691759.000000,2025-04-29,-1162000.000000,285573000.000000,,181109000.000000,104464000.000000,,-6.066000,-9119000.000000,104501000.000000,104501000.000000,287280000.000000,-191922000.000000,1.909000,-2.691000,0.000000,0.000000,0.000000,0.000000,0.000000,4462000.000000,0.000000,0.000000,0.000000,-191922000.000000,-187460000.000000,-0.549000,-187460000.000000,-191922000.000000,-191922000.000000,-7.140000,-7.140000,-7.140000,-168899000.000000,,-168899000.000000,416190759.000000,0.000000,-0.372000,-103000.000000,-0.004000,1.000000,54054000.000000,0.158000,0.000000,0.000000,86180000.000000,,0.000000,29372000.000000,26122000.000000,3250000.000000,454472000.000000,94892000.000000,359580000.000000,9067000.000000,0.000000,1277000.000000,-7000.000000,0.000000,1270000.000000,-1219000.000000,7900000.000000,9016000.000000,0.000000,-191922000.000000,-199113000.000000,-199113000.000000,0.000000,0.000000,-0.583000,248272000.000000,-194218000.000000,59447000.000000,0.000000,-3.083000,-0.454000,-0.376000,46257000.000000,7191000.000000,18.540000,0.443000,0.439000,44820000.000000,-1404775000.000000,341334000.000000,341334000.000000,0.000000,,,,,0.000000,47503000.000000,1.000000,28084777.000000,27843167.000000,27843167.000000,12.259000,285573000.000000,0.000000,0.000000,0.000000,10.256000
ARQ,2000-12-31,2001-03-30,2000-12-31,2000-Q4,51926000.000000,507476268.000000,2025-04-29,-1156000.000000,195078000.000000,,131223000.000000,63855000.000000,,-8.856000,-8358000.000000,90592000.000000,90592000.000000,193495000.000000,-105135000.000000,1.655000,-0.339000,0.000000,0.000000,0.000000,0.000000,0.000000,6674000.000000,0.000000,0.000000,0.000000,-105135000.000000,-98461000.000000,-0.432000,-98461000.000000,-105135000.000000,-105135000.000000,-3.720000,-3.720000,-3.720000,-248907000.000000,,-248907000.000000,416884268.000000,-1.000000,-1.400000,-41095000.000000,-1.462000,1.000000,34674000.000000,0.152000,0.000000,0.000000,25189000.000000,,0.000000,14202000.000000,10952000.000000,3250000.000000,84405000.000000,79297000.000000,5108000.000000,-18688000.000000,0.000000,432000.000000,21000.000000,0.000000,453000.000000,13596000.000000,21954000.000000,-32737000.000000,0.000000,-105135000.000000,-105135000.000000,-105135000.000000,0.000000,0.000000,-0.461000,139202000.000000,-104528000.000000,40691000.000000,0.000000,-2.039000,-1.540000,-1.284000,37083000.000000,0.000000,15.180000,0.411000,0.342000,17392000.000000,-1528475000.000000,228169000.000000,228169000.000000,0.000000,,,,,1711000.000000,57331000.000000,1.000000,33430584.000000,28106832.000000,28106832.000000,8.118000,195078000.000000,0.000000,0.000000,0.000000,6.941000
