dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-12-31,2012-07-25,2011-12-31,2011-Q4,-248145000.000000,,2025-05-08,-22344000.000000,3353936000.000000,,708279000.000000,2645657000.000000,,0.290000,,506365000.000000,506365000.000000,,,0.741000,107.411000,2109290000.000000,332905000.000000,1776385000.000000,2109290000.000000,299596000.000000,,0.000000,,0.000000,,,,,,,,,,30850000.000000,,30850000.000000,,,,,,1.000000,,,834920000.000000,,3165517000.000000,,69223000.000000,35033000.000000,0.000000,35033000.000000,3313639000.000000,956424000.000000,2357215000.000000,,,,,,,,,,,,,,,,,,,97393000.000000,,,,,1635898000.000000,,,,,0.000000,-822625000.000000,,,,,,,,,,1.000000,117620452.000000,106224000.000000,,,2519016000.000000,31959000.000000,,193262000.000000,23.714000
ARQ,2012-06-30,2012-09-05,2012-06-30,2012-Q2,-47184000.000000,1661795525.000000,2025-05-08,-25857000.000000,3000822000.000000,,492842000.000000,2507980000.000000,,0.913000,,323658000.000000,323658000.000000,817749000.000000,20564000.000000,0.913000,29.828000,1788290000.000000,51080000.000000,1737210000.000000,1788290000.000000,193512000.000000,,0.000000,0.000000,0.000000,45413000.000000,,,,45413000.000000,21376000.000000,0.160000,0.160000,0.160000,97068000.000000,,97068000.000000,3126427525.000000,,,,,1.000000,163117000.000000,0.166000,827395000.000000,24037000.000000,3098033000.000000,,74131000.000000,35256000.000000,0.000000,35256000.000000,2895381000.000000,540026000.000000,2355355000.000000,,,,,,,,,,,17440000.000000,17440000.000000,17440000.000000,0.000000,3124000.000000,0.018000,116117000.000000,47000000.000000,102351000.000000,0.000000,17.120000,,,1482437000.000000,0.000000,13.860000,,,0.000000,-755617000.000000,980866000.000000,980866000.000000,0.000000,,,,,,72216000.000000,1.000000,119898667.000000,106361000.000000,107380000.000000,9.222000,2173427000.000000,28040000.000000,3936000.000000,189011000.000000,20.434000
ARQ,2012-09-30,2012-11-08,2012-09-30,2012-Q3,-201879000.000000,1872243892.000000,2025-05-08,-19147000.000000,2898625000.000000,,370779000.000000,2527846000.000000,,1.844000,-33693000.000000,195423000.000000,195423000.000000,815749000.000000,-33755000.000000,0.647000,12.707000,1574754000.000000,90827000.000000,1483927000.000000,1574754000.000000,178047000.000000,38347000.000000,0.000000,0.000000,0.000000,-22529000.000000,15818000.000000,0.017000,15818000.000000,-22529000.000000,-43702000.000000,-0.310000,-0.310000,-0.310000,210854000.000000,,210854000.000000,3251574892.000000,,,-10447000.000000,-0.091000,1.000000,137167000.000000,0.144000,825445000.000000,21173000.000000,2879853000.000000,,82431000.000000,37407000.000000,0.000000,37407000.000000,2679384000.000000,572658000.000000,2106726000.000000,-111679000.000000,0.000000,143407000.000000,-236398000.000000,0.000000,-101465000.000000,-36306000.000000,0.000000,23246000.000000,2846000.000000,-35866000.000000,-35866000.000000,-35866000.000000,0.000000,2111000.000000,-0.038000,149980000.000000,-12813000.000000,109306000.000000,0.000000,8.879000,,,1505538000.000000,0.000000,15.460000,,,0.000000,-791483000.000000,952916000.000000,952916000.000000,0.000000,,,,,21925000.000000,111633000.000000,1.000000,121102451.000000,114331000.000000,114331000.000000,8.335000,2073180000.000000,27301000.000000,-7836000.000000,188104000.000000,18.133000
ARQ,2012-12-31,2013-03-04,2012-12-31,2012-Q4,-203566000.000000,2069646465.000000,2025-05-08,-14801000.000000,3016553000.000000,,487812000.000000,2528741000.000000,,1.772000,-43150000.000000,281779000.000000,281779000.000000,835325000.000000,20663000.000000,0.706000,13.049000,1494440000.000000,22991000.000000,1471449000.000000,1494440000.000000,329518000.000000,39028000.000000,0.000000,0.000000,0.000000,42057000.000000,81085000.000000,0.081000,81085000.000000,42057000.000000,21599000.000000,0.160000,0.160000,0.160000,214288000.000000,,214288000.000000,3282307465.000000,22.000000,10.790000,215991000.000000,1.786000,1.000000,163062000.000000,0.163000,822751000.000000,20458000.000000,2715085000.000000,,78181000.000000,36748000.000000,0.000000,36748000.000000,2796348000.000000,691378000.000000,2104970000.000000,93415000.000000,3726000.000000,-281000.000000,-67494000.000000,0.000000,-129767000.000000,-38754000.000000,0.000000,259141000.000000,2795000.000000,18398000.000000,18398000.000000,18398000.000000,0.000000,2265000.000000,0.018000,109566000.000000,53496000.000000,131814000.000000,0.000000,9.658000,41.417000,37.844000,1506035000.000000,0.000000,17.030000,0.519000,0.478000,0.000000,-773085000.000000,998387000.000000,998387000.000000,0.000000,,,,,6824000.000000,66622000.000000,1.000000,121529446.000000,120912000.000000,125849000.000000,8.257000,2193802000.000000,42306000.000000,3201000.000000,195874000.000000,18.144000
ARQ,2013-03-31,2013-05-01,2013-03-31,2013-Q1,-146838000.000000,2558092099.000000,2025-05-08,-19333000.000000,2954393000.000000,,427724000.000000,2526669000.000000,,2.420000,-39151000.000000,236472000.000000,236472000.000000,883665000.000000,65056000.000000,0.744000,9.051000,1464861000.000000,13167000.000000,1451694000.000000,1464861000.000000,232134000.000000,40196000.000000,0.000000,0.000000,0.000000,94810000.000000,135006000.000000,0.124000,135006000.000000,94810000.000000,73930000.000000,0.520000,0.500000,0.520000,293424000.000000,,293424000.000000,3786481099.000000,24.000000,,-21051000.000000,-0.174000,1.000000,208585000.000000,0.191000,818240000.000000,20880000.000000,2789980000.000000,,67838000.000000,40041000.000000,0.000000,40041000.000000,2655654000.000000,574562000.000000,2081092000.000000,-44221000.000000,0.000000,10639000.000000,-30558000.000000,0.000000,-21226000.000000,-38394000.000000,0.000000,18100000.000000,-2701000.000000,63223000.000000,63223000.000000,63223000.000000,0.000000,1833000.000000,0.058000,114583000.000000,94002000.000000,141030000.000000,0.000000,8.718000,40.479000,39.226000,1505468000.000000,0.000000,20.790000,0.636000,0.626000,0.000000,-709862000.000000,1092250000.000000,1092250000.000000,0.000000,,,,,6195000.000000,72491000.000000,1.000000,123044353.000000,121238000.000000,126507000.000000,9.009000,2136153000.000000,41415000.000000,10707000.000000,195695000.000000,17.620000
ARQ,2013-06-30,2013-08-01,2013-06-30,2013-Q2,-110180000.000000,3103441926.000000,2025-05-08,-27477000.000000,2980390000.000000,,439943000.000000,2540447000.000000,,3.180000,-55327000.000000,241734000.000000,241734000.000000,846921000.000000,76464000.000000,0.800000,6.617000,1463771000.000000,13483000.000000,1450288000.000000,1463771000.000000,220420000.000000,40889000.000000,0.000000,0.000000,0.000000,51571000.000000,92460000.000000,0.091000,92460000.000000,51571000.000000,33556000.000000,0.610000,0.580000,0.610000,390654000.000000,,390654000.000000,4325478926.000000,26.000000,13.335000,21293000.000000,0.173000,1.000000,171935000.000000,0.169000,813891000.000000,18015000.000000,2838413000.000000,,64977000.000000,38959000.000000,0.000000,38959000.000000,2584916000.000000,550123000.000000,2034793000.000000,4972000.000000,267000.000000,11213000.000000,-3301000.000000,0.000000,-14474000.000000,-54710000.000000,0.000000,76620000.000000,-2464000.000000,74868000.000000,74868000.000000,74868000.000000,0.000000,1596000.000000,0.073000,106672000.000000,65263000.000000,131713000.000000,0.000000,7.944000,25.728000,25.500000,1527149000.000000,0.000000,24.990000,0.764000,0.756000,0.000000,-635364000.000000,1018856000.000000,1018856000.000000,0.000000,,,,,4133000.000000,65094000.000000,1.000000,124187352.000000,122858000.000000,128338000.000000,8.293000,2166499000.000000,52035000.000000,-41312000.000000,150011000.000000,17.634000
ARQ,2013-09-30,2013-11-06,2013-09-30,2013-Q3,-148448000.000000,3158112095.000000,2025-05-08,-16780000.000000,2998127000.000000,,407380000.000000,2590747000.000000,,3.380000,-68382000.000000,202951000.000000,202951000.000000,837954000.000000,12134000.000000,0.733000,6.156000,1461109000.000000,13341000.000000,1447768000.000000,1461109000.000000,202204000.000000,40135000.000000,0.000000,0.000000,0.000000,28893000.000000,69028000.000000,0.071000,69028000.000000,28893000.000000,11203000.000000,0.090000,0.090000,0.090000,418326000.000000,,418326000.000000,4416270095.000000,20.000000,11.696000,-36429000.000000,-0.294000,1.000000,129615000.000000,0.134000,812377000.000000,17690000.000000,2888080000.000000,,70717000.000000,40973000.000000,0.000000,40973000.000000,2575414000.000000,555828000.000000,2019586000.000000,-38783000.000000,0.000000,2459000.000000,-3542000.000000,0.000000,-7305000.000000,-68368000.000000,0.000000,31953000.000000,4937000.000000,11294000.000000,11294000.000000,11294000.000000,0.000000,840000.000000,0.012000,102078000.000000,27537000.000000,155445000.000000,0.000000,7.549000,18.823000,18.384000,1563443000.000000,0.000000,25.370000,0.775000,0.770000,0.000000,-624070000.000000,967569000.000000,967569000.000000,0.000000,,,,,6256000.000000,61822000.000000,1.000000,124482148.000000,123747000.000000,129439000.000000,7.819000,2185750000.000000,52339000.000000,-91000.000000,130636000.000000,17.663000
ARQ,2013-12-31,2014-03-03,2013-12-31,2013-Q4,-260471000.000000,3202991157.000000,2025-05-08,-26418000.000000,3274174000.000000,,484031000.000000,2790143000.000000,,3.857000,-71131000.000000,238290000.000000,238290000.000000,887203000.000000,60914000.000000,0.650000,5.789000,1419143000.000000,13546000.000000,1405597000.000000,1419143000.000000,359443000.000000,42874000.000000,0.000000,0.000000,0.000000,65658000.000000,108532000.000000,0.103000,108532000.000000,65658000.000000,47470000.000000,0.470000,0.470000,0.470000,478381000.000000,,478381000.000000,4383844157.000000,18.000000,10.824000,179460000.000000,1.447000,1.000000,163352000.000000,0.155000,963386000.000000,18188000.000000,2747139000.000000,,80613000.000000,0.000000,0.000000,0.000000,2769481000.000000,744502000.000000,2024979000.000000,26213000.000000,-100586000.000000,3039000.000000,-43404000.000000,0.000000,-44122000.000000,-184665000.000000,0.000000,250591000.000000,4409000.000000,58982000.000000,58982000.000000,58982000.000000,0.000000,1932000.000000,0.056000,132527000.000000,30825000.000000,164619000.000000,0.000000,6.695000,15.372000,15.172000,1634130000.000000,0.000000,25.640000,0.776000,0.764000,0.000000,-565154000.000000,1050555000.000000,1050555000.000000,0.000000,,,,,642000.000000,69521000.000000,1.000000,124921652.000000,124016000.000000,126904000.000000,8.471000,2310788000.000000,73194000.000000,-11512000.000000,150582000.000000,18.633000
ARQ,2014-03-31,2014-05-09,2014-03-30,2014-Q1,-226345000.000000,2623230895.000000,2025-05-08,-31783000.000000,3208790000.000000,,431264000.000000,2777526000.000000,,4.212000,-39208000.000000,200505000.000000,200505000.000000,941550000.000000,55100000.000000,0.656000,5.065000,1405133000.000000,11997000.000000,1393136000.000000,1405133000.000000,261251000.000000,46165000.000000,0.000000,0.000000,0.000000,88495000.000000,134660000.000000,0.116000,134660000.000000,88495000.000000,71897000.000000,0.430000,0.420000,0.430000,524529000.000000,,524529000.000000,3827858895.000000,16.000000,9.459000,619000.000000,0.005000,1.000000,216309000.000000,0.187000,957718000.000000,16598000.000000,2798091000.000000,,66799000.000000,0.000000,0.000000,0.000000,2656513000.000000,657609000.000000,1998904000.000000,-37267000.000000,-3063000.000000,5493000.000000,-14578000.000000,0.000000,-33954000.000000,-41755000.000000,0.000000,39827000.000000,-1385000.000000,53733000.000000,53733000.000000,53733000.000000,0.000000,1367000.000000,0.046000,126283000.000000,90026000.000000,176911000.000000,0.000000,5.001000,13.190000,13.056000,1626988000.000000,0.000000,20.890000,0.625000,0.620000,0.000000,-511902000.000000,1157859000.000000,1157859000.000000,0.000000,,,,,1136000.000000,74054000.000000,1.000000,125573523.000000,124542000.000000,127851000.000000,9.297000,2251072000.000000,72784000.000000,18164000.000000,142703000.000000,18.075000
ARQ,2014-06-30,2014-08-05,2014-06-29,2014-Q2,-232264000.000000,1891430053.000000,2025-05-08,-12695000.000000,3234079000.000000,,427914000.000000,2806165000.000000,,4.585000,-57849000.000000,185557000.000000,185557000.000000,926607000.000000,27722000.000000,0.648000,4.584000,1404489000.000000,22328000.000000,1382161000.000000,1404489000.000000,249322000.000000,48627000.000000,0.000000,0.000000,0.000000,50285000.000000,98912000.000000,0.089000,98912000.000000,50285000.000000,35176000.000000,0.210000,0.210000,0.210000,574121000.000000,,574121000.000000,3110362053.000000,13.000000,7.565000,-430000.000000,-0.003000,1.000000,184305000.000000,0.166000,963868000.000000,15109000.000000,2828965000.000000,,65337000.000000,0.000000,0.000000,0.000000,2631563000.000000,660178000.000000,1971385000.000000,-16761000.000000,0.000000,184000.000000,-6424000.000000,0.000000,-18722000.000000,-59414000.000000,0.000000,57419000.000000,3956000.000000,26391000.000000,26391000.000000,26391000.000000,0.000000,1331000.000000,0.024000,121914000.000000,62391000.000000,188278000.000000,0.000000,3.294000,12.576000,12.550000,1652326000.000000,0.000000,15.060000,0.441000,0.440000,0.000000,-485829000.000000,1110912000.000000,1110912000.000000,0.000000,,,,,7441000.000000,72262000.000000,1.000000,125592965.000000,125229000.000000,128378000.000000,8.871000,2270211000.000000,73405000.000000,8785000.000000,144805000.000000,18.128000
