dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-04-15,2020-12-31,2020-Q4,60604000.000000,,2025-05-06,0.000000,62526000.000000,,62223000.000000,303000.000000,,0.491000,,61695000.000000,61695000.000000,,,38.433000,0.313000,259000.000000,259000.000000,0.000000,259000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,5169000.000000,,5169000.000000,,,,,,1.000000,,,0.000000,,-529000.000000,,0.000000,0.000000,0.000000,0.000000,1619000.000000,1619000.000000,0.000000,,,,,,,,,,,,,,,,,,,727000.000000,,,,,291000.000000,,,,,0.000000,-8175000.000000,,,,,,,,,,1.000000,27267867.000000,10532942.000000,,,62526000.000000,0.000000,,0.000000,5.936000
ARQ,2021-03-31,2021-05-27,2021-03-31,2021-Q1,43603000.000000,474669806.000000,2025-05-06,-15000.000000,59875000.000000,,47522000.000000,12353000.000000,,0.018000,-67000.000000,19107000.000000,19107000.000000,0.000000,-5852000.000000,12.126000,17.733000,173000.000000,173000.000000,0.000000,173000.000000,0.000000,92000.000000,0.000000,0.000000,0.000000,-5852000.000000,-5760000.000000,,-5760000.000000,-5852000.000000,-5852000.000000,-0.490000,-0.490000,-0.490000,221000.000000,,221000.000000,455735806.000000,,,-4142000.000000,-0.346000,1.000000,0.000000,,0.000000,0.000000,37022000.000000,,0.000000,38429000.000000,26586000.000000,11843000.000000,3919000.000000,3919000.000000,0.000000,-42588000.000000,0.000000,0.000000,0.000000,0.000000,-3000.000000,-38510000.000000,-38443000.000000,-4075000.000000,0.000000,-5852000.000000,-5852000.000000,-5852000.000000,0.000000,0.000000,,5857000.000000,-5857000.000000,969000.000000,0.000000,2147.827000,,,294000.000000,0.000000,16.500000,,,0.000000,-14027000.000000,0.000000,0.000000,3798000.000000,,,,,919000.000000,2059000.000000,1.000000,28767867.000000,11964205.000000,11964205.000000,0.000000,59875000.000000,0.000000,0.000000,0.000000,5.005000
ARQ,2021-06-30,2021-08-11,2021-06-30,2021-Q2,195579000.000000,347400257.000000,2025-05-06,2000.000000,209533000.000000,,200521000.000000,9012000.000000,,8.029000,-771000.000000,166253000.000000,166253000.000000,0.000000,-8399000.000000,40.575000,0.037000,3051000.000000,476000.000000,2575000.000000,3051000.000000,0.000000,323000.000000,0.000000,0.000000,0.000000,-8399000.000000,-8076000.000000,,-8076000.000000,-8399000.000000,-8399000.000000,-0.330000,-0.330000,-0.330000,202016000.000000,,202016000.000000,184198257.000000,,,-7247000.000000,-0.288000,1.000000,0.000000,,0.000000,0.000000,41389000.000000,,0.000000,36791000.000000,32535000.000000,4256000.000000,7517000.000000,4942000.000000,2575000.000000,147146000.000000,0.000000,152978000.000000,-36000.000000,0.000000,152942000.000000,680000.000000,1451000.000000,-6476000.000000,0.000000,-8399000.000000,-8399000.000000,-8399000.000000,0.000000,0.000000,,8435000.000000,-8435000.000000,1350000.000000,0.000000,1.720000,,,4540000.000000,0.000000,11.980000,,,0.000000,-22426000.000000,0.000000,0.000000,5224000.000000,,,,,1463000.000000,3211000.000000,1.000000,28998352.000000,25161038.000000,25161038.000000,0.000000,209533000.000000,0.000000,0.000000,0.000000,8.328000
ARQ,2021-09-30,2021-11-03,2021-09-30,2021-Q3,185462000.000000,334015016.000000,2025-05-06,2000.000000,199403000.000000,,191103000.000000,8300000.000000,,6.597000,-2040000.000000,157190000.000000,157190000.000000,0.000000,-12606000.000000,33.878000,0.042000,2985000.000000,554000.000000,2431000.000000,2985000.000000,0.000000,250000.000000,0.000000,0.000000,0.000000,-12606000.000000,-12356000.000000,,-12356000.000000,-12606000.000000,-12606000.000000,-0.430000,-0.430000,-0.430000,191331000.000000,,191331000.000000,179810016.000000,,,-11028000.000000,-0.380000,1.000000,0.000000,,0.000000,0.000000,39557000.000000,,0.000000,34669000.000000,32431000.000000,2238000.000000,8072000.000000,5641000.000000,2431000.000000,-9063000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-75000.000000,1965000.000000,-8988000.000000,0.000000,-12606000.000000,-12606000.000000,-12606000.000000,0.000000,0.000000,,12638000.000000,-12638000.000000,1249000.000000,0.000000,1.746000,,,5823000.000000,0.000000,11.500000,,,0.000000,-35032000.000000,0.000000,0.000000,7886000.000000,,,,,1921000.000000,4752000.000000,1.000000,29044784.000000,29001213.000000,29001213.000000,0.000000,199403000.000000,0.000000,0.000000,0.000000,6.876000
ARQ,2021-12-31,2022-02-28,2021-12-31,2021-Q4,171924000.000000,186631137.000000,2025-05-06,-10000.000000,185705000.000000,,176561000.000000,9144000.000000,,7.493000,-293000.000000,146087000.000000,146087000.000000,0.000000,-14710000.000000,38.077000,0.039000,2850000.000000,565000.000000,2285000.000000,2850000.000000,0.000000,288000.000000,0.000000,0.000000,0.000000,-14710000.000000,-14422000.000000,,-14422000.000000,-14710000.000000,-14710000.000000,-0.530000,-0.530000,-0.530000,178783000.000000,,178783000.000000,43394137.000000,-1.000000,-1.068000,-16192000.000000,-0.679000,1.000000,0.000000,,0.000000,0.000000,37831000.000000,,0.000000,29656000.000000,27780000.000000,1876000.000000,6922000.000000,4637000.000000,2285000.000000,-11103000.000000,0.000000,243000.000000,0.000000,0.000000,246000.000000,4550000.000000,4843000.000000,-15899000.000000,0.000000,-14710000.000000,-14710000.000000,-14710000.000000,0.000000,0.000000,,14737000.000000,-14737000.000000,1329000.000000,0.000000,1.044000,-4.490000,-3.684000,5687000.000000,0.000000,6.410000,,,0.000000,-49742000.000000,0.000000,0.000000,11088000.000000,,,,,1931000.000000,3649000.000000,1.000000,29115622.000000,23858552.000000,23858552.000000,0.000000,185705000.000000,0.000000,0.000000,0.000000,7.784000
ARQ,2022-03-31,2022-05-16,2022-03-31,2022-Q1,159061000.000000,113174482.000000,2025-05-06,-23000.000000,174864000.000000,,167023000.000000,7841000.000000,,5.657000,-95000.000000,156566000.000000,156566000.000000,0.000000,-16366000.000000,20.978000,0.061000,2715000.000000,578000.000000,2137000.000000,2715000.000000,0.000000,306000.000000,0.000000,0.000000,0.000000,-16366000.000000,-16060000.000000,,-16060000.000000,-16366000.000000,-16366000.000000,-0.560000,-0.560000,-0.560000,164765000.000000,,164765000.000000,-40676518.000000,1.000000,0.799000,-10089000.000000,-0.346000,1.000000,0.000000,,0.000000,0.000000,13051000.000000,,0.000000,9006000.000000,8591000.000000,415000.000000,10099000.000000,7962000.000000,2137000.000000,10479000.000000,0.000000,31000.000000,0.000000,0.000000,31000.000000,20442000.000000,20537000.000000,-9994000.000000,0.000000,-16366000.000000,-16366000.000000,-16366000.000000,0.000000,0.000000,,16400000.000000,-16400000.000000,2524000.000000,0.000000,0.687000,-2.173000,-2.097000,5476000.000000,0.000000,3.880000,,,0.000000,-66108000.000000,0.000000,0.000000,11350000.000000,,,,,2330000.000000,5050000.000000,1.000000,29168681.000000,29126088.000000,29126088.000000,0.000000,174864000.000000,0.000000,0.000000,0.000000,6.004000
ARQ,2022-06-30,2022-08-01,2022-06-30,2022-Q2,144776000.000000,307551226.000000,2025-05-06,-17000.000000,161736000.000000,,154138000.000000,7598000.000000,,5.151000,-273000.000000,148832000.000000,148832000.000000,0.000000,-17258000.000000,16.464000,0.075000,2575000.000000,591000.000000,1984000.000000,2575000.000000,0.000000,312000.000000,0.000000,0.000000,0.000000,-17258000.000000,-16946000.000000,,-16946000.000000,-17258000.000000,-17258000.000000,-0.590000,-0.590000,-0.590000,150390000.000000,,150390000.000000,161294226.000000,-3.000000,-2.698000,-15700000.000000,-0.538000,1.000000,0.000000,,0.000000,0.000000,6117000.000000,,0.000000,1338000.000000,1152000.000000,186000.000000,11346000.000000,9362000.000000,1984000.000000,-7734000.000000,0.000000,318000.000000,0.000000,0.000000,318000.000000,7375000.000000,7648000.000000,-15427000.000000,0.000000,-17258000.000000,-17258000.000000,-17258000.000000,0.000000,0.000000,,17474000.000000,-17474000.000000,2410000.000000,0.000000,2.045000,-5.047000,-4.976000,5437000.000000,0.000000,10.500000,,,0.000000,-83366000.000000,0.000000,0.000000,12582000.000000,,,,,2559000.000000,4892000.000000,1.000000,29290593.000000,29196398.000000,29196398.000000,0.000000,161736000.000000,0.000000,0.000000,0.000000,5.540000
ARQ,2022-09-30,2022-11-07,2022-09-30,2022-Q3,126272000.000000,296020197.000000,2025-05-06,-13000.000000,145050000.000000,,138861000.000000,6189000.000000,,4.456000,50000.000000,132662000.000000,132662000.000000,0.000000,-22890000.000000,11.030000,0.110000,2431000.000000,605000.000000,1826000.000000,2431000.000000,0.000000,318000.000000,0.000000,0.000000,0.000000,-22890000.000000,-22572000.000000,,-22572000.000000,-22890000.000000,-22890000.000000,-0.780000,-0.780000,-0.780000,130635000.000000,,130635000.000000,165789197.000000,-2.000000,-2.368000,-16745000.000000,-0.571000,1.000000,0.000000,,0.000000,0.000000,2230000.000000,,0.000000,1157000.000000,1147000.000000,10000.000000,14415000.000000,12589000.000000,1826000.000000,-16170000.000000,0.000000,400000.000000,0.000000,0.000000,400000.000000,225000.000000,175000.000000,-16795000.000000,0.000000,-22890000.000000,-22890000.000000,-22890000.000000,0.000000,0.000000,,23484000.000000,-23484000.000000,1592000.000000,0.000000,2.266000,-4.156000,-4.093000,5345000.000000,0.000000,10.070000,,,0.000000,-106256000.000000,0.000000,0.000000,18242000.000000,,,,,2731000.000000,5242000.000000,1.000000,29396246.000000,29319042.000000,29319042.000000,0.000000,145050000.000000,0.000000,0.000000,0.000000,4.947000
ARQ,2022-12-31,2023-03-28,2022-12-31,2022-Q4,98718000.000000,909280782.000000,2025-05-06,-1000.000000,129307000.000000,,117819000.000000,11488000.000000,,3.686000,-712000.000000,112250000.000000,112250000.000000,0.000000,-25314000.000000,6.168000,0.191000,2285000.000000,618000.000000,1667000.000000,2285000.000000,0.000000,326000.000000,0.000000,0.000000,0.000000,-25314000.000000,-24988000.000000,,-24988000.000000,-25314000.000000,-25314000.000000,-0.870000,-0.870000,-0.870000,108539000.000000,,108539000.000000,799315782.000000,-10.000000,-9.921000,-20913000.000000,-0.710000,1.000000,0.000000,,0.000000,0.000000,241000.000000,,0.000000,1150000.000000,1150000.000000,0.000000,20768000.000000,19101000.000000,1667000.000000,-20412000.000000,0.000000,490000.000000,0.000000,0.000000,490000.000000,-701000.000000,11000.000000,-20201000.000000,0.000000,-25314000.000000,-25314000.000000,-25314000.000000,0.000000,0.000000,,26276000.000000,-26276000.000000,6826000.000000,0.000000,8.377000,-11.112000,-10.968000,7992000.000000,0.000000,30.710000,,,0.000000,-131570000.000000,0.000000,0.000000,20539000.000000,,,,,2716000.000000,5737000.000000,1.000000,29608622.000000,29443461.000000,29443461.000000,0.000000,129307000.000000,0.000000,0.000000,0.000000,4.392000
ARQ,2023-03-31,2023-05-02,2023-03-31,2023-Q1,70157000.000000,1026632886.000000,2025-05-06,0.000000,112638000.000000,,88931000.000000,23707000.000000,,2.810000,-2906000.000000,86651000.000000,86651000.000000,0.000000,-29051000.000000,4.737000,0.355000,13346000.000000,2611000.000000,10735000.000000,13346000.000000,0.000000,905000.000000,0.000000,0.000000,0.000000,-29051000.000000,-28146000.000000,,-28146000.000000,-29051000.000000,-29051000.000000,-0.980000,-0.980000,-0.980000,83129000.000000,,83129000.000000,953327886.000000,-10.000000,-10.289000,-26950000.000000,-0.911000,1.000000,0.000000,,0.000000,0.000000,20559000.000000,,0.000000,0.000000,0.000000,0.000000,29509000.000000,18774000.000000,10735000.000000,-25599000.000000,0.000000,201000.000000,0.000000,0.000000,201000.000000,-1756000.000000,1150000.000000,-24044000.000000,0.000000,-29051000.000000,-29051000.000000,-29051000.000000,0.000000,0.000000,,30031000.000000,-30031000.000000,5329000.000000,0.000000,12.350000,-10.862000,-9.006000,19467000.000000,0.000000,29.000000,,,0.000000,-160621000.000000,0.000000,0.000000,24395000.000000,,,,,3233000.000000,5636000.000000,1.000000,35401134.000000,29586468.000000,29586468.000000,0.000000,112638000.000000,0.000000,0.000000,0.000000,3.807000
ARQ,2023-06-30,2023-07-31,2023-06-30,2023-Q2,211579000.000000,792802566.000000,2025-05-06,0.000000,248674000.000000,,225936000.000000,22738000.000000,,6.346000,-417000.000000,223259000.000000,223259000.000000,0.000000,-24891000.000000,15.737000,0.109000,12729000.000000,2717000.000000,10012000.000000,12729000.000000,0.000000,1056000.000000,0.000000,0.000000,0.000000,-24891000.000000,-23835000.000000,,-23835000.000000,-24891000.000000,-24891000.000000,-0.700000,-0.700000,-0.700000,224305000.000000,,224305000.000000,582272566.000000,-6.000000,-5.850000,-26229000.000000,-0.742000,1.000000,0.000000,,0.000000,0.000000,23787000.000000,,0.000000,0.000000,0.000000,0.000000,24369000.000000,14357000.000000,10012000.000000,136608000.000000,0.000000,162837000.000000,0.000000,0.000000,162837000.000000,-417000.000000,0.000000,-25812000.000000,0.000000,-24891000.000000,-24891000.000000,-24891000.000000,0.000000,0.000000,,27657000.000000,-27657000.000000,4154000.000000,0.000000,3.534000,-7.761000,-6.682000,18481000.000000,0.000000,22.250000,,,0.000000,-185512000.000000,0.000000,0.000000,21938000.000000,,,,,3436000.000000,5719000.000000,1.000000,35631576.000000,35348293.000000,35348293.000000,0.000000,248674000.000000,0.000000,0.000000,0.000000,7.035000
ARQ,2023-09-30,2023-10-30,2023-09-30,2023-Q3,186294000.000000,394905993.000000,2025-05-06,0.000000,225087000.000000,,202504000.000000,22583000.000000,,5.599000,-39000.000000,199459000.000000,199459000.000000,0.000000,-28429000.000000,12.493000,0.128000,12090000.000000,2825000.000000,9265000.000000,12090000.000000,0.000000,1110000.000000,0.000000,0.000000,0.000000,-28429000.000000,-27319000.000000,,-27319000.000000,-28429000.000000,-28429000.000000,-0.800000,-0.800000,-0.800000,199612000.000000,,199612000.000000,207536993.000000,-2.000000,-1.990000,-23938000.000000,-0.671000,1.000000,0.000000,,0.000000,0.000000,21508000.000000,,0.000000,0.000000,0.000000,0.000000,25475000.000000,16210000.000000,9265000.000000,-23800000.000000,0.000000,138000.000000,0.000000,0.000000,138000.000000,-39000.000000,0.000000,-23899000.000000,0.000000,-28429000.000000,-28429000.000000,-28429000.000000,0.000000,0.000000,,31119000.000000,-31119000.000000,3194000.000000,0.000000,1.978000,-3.667000,-3.301000,17385000.000000,0.000000,11.060000,,,0.000000,-213941000.000000,0.000000,0.000000,25347000.000000,,,,,3598000.000000,5772000.000000,1.000000,35705786.000000,35653988.000000,35653988.000000,0.000000,225087000.000000,0.000000,0.000000,0.000000,6.313000
ARQ,2023-12-31,2024-03-28,2023-12-31,2023-Q4,156321000.000000,536545932.000000,2025-05-06,0.000000,199927000.000000,,179181000.000000,20746000.000000,,4.731000,-8000.000000,177236000.000000,177236000.000000,0.000000,-34884000.000000,7.838000,0.181000,10296000.000000,2466000.000000,7830000.000000,10296000.000000,0.000000,1130000.000000,0.000000,0.000000,0.000000,-34884000.000000,-33754000.000000,,-33754000.000000,-34884000.000000,-34884000.000000,-0.980000,-0.980000,-0.980000,169237000.000000,,169237000.000000,369605932.000000,-3.000000,-3.269000,-22845000.000000,-0.639000,1.000000,0.000000,,0.000000,0.000000,10127000.000000,,0.000000,0.000000,0.000000,0.000000,30690000.000000,22860000.000000,7830000.000000,-22223000.000000,0.000000,622000.000000,0.000000,0.000000,622000.000000,-8000.000000,0.000000,-22837000.000000,0.000000,-34884000.000000,-34884000.000000,-34884000.000000,0.000000,0.000000,,37328000.000000,-37328000.000000,6851000.000000,0.000000,3.170000,-4.576000,-4.346000,14873000.000000,0.000000,14.950000,,,0.000000,-248825000.000000,0.000000,0.000000,30866000.000000,,,,,3864000.000000,6462000.000000,1.000000,35889360.000000,35772268.000000,35772268.000000,0.000000,199927000.000000,0.000000,0.000000,0.000000,5.589000
ARQ,2024-03-31,2024-05-02,2024-03-31,2024-Q1,122312000.000000,428818887.000000,2025-05-06,0.000000,168494000.000000,,147566000.000000,20928000.000000,,3.770000,-35000.000000,145287000.000000,145287000.000000,0.000000,-39061000.000000,5.843000,0.245000,11092000.000000,3166000.000000,7926000.000000,11092000.000000,0.000000,1419000.000000,0.000000,0.000000,0.000000,-39061000.000000,-37642000.000000,,-37642000.000000,-39061000.000000,-39061000.000000,-1.090000,-1.090000,-1.090000,135314000.000000,,135314000.000000,294623887.000000,-2.000000,-2.404000,-32065000.000000,-0.893000,1.000000,0.000000,,0.000000,0.000000,9045000.000000,,0.000000,0.000000,0.000000,0.000000,33180000.000000,25254000.000000,7926000.000000,-31949000.000000,0.000000,116000.000000,0.000000,0.000000,116000.000000,-35000.000000,0.000000,-32030000.000000,0.000000,-39061000.000000,-39061000.000000,-39061000.000000,0.000000,0.000000,,41059000.000000,-41059000.000000,4709000.000000,0.000000,3.169000,-3.369000,-3.342000,13819000.000000,0.000000,11.930000,,,0.000000,-287886000.000000,0.000000,0.000000,33776000.000000,,,,,5022000.000000,7283000.000000,1.000000,35944584.000000,35890370.000000,35890370.000000,0.000000,168494000.000000,0.000000,0.000000,0.000000,4.695000
