dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1993-12-31,1994-03-31,1993-12-31,1993-Q4,3505000000.000000,26325516156.000000,2025-04-24,-332000000.000000,12101000000.000000,,6570000000.000000,5531000000.000000,,2.905000,,2421000000.000000,2421000000.000000,,,2.144000,1.037000,765000000.000000,177000000.000000,588000000.000000,765000000.000000,0.000000,,0.000000,0.056000,0.365000,,,,,,,,,,5940000000.000000,,5940000000.000000,24669516156.000000,10.000000,8.569000,,,1.000000,,,191000000.000000,,7189000000.000000,,1322000000.000000,308000000.000000,308000000.000000,0.000000,6161000000.000000,3065000000.000000,3096000000.000000,,,,,,,,,,,,,,,,,,,649000000.000000,,4.432000,13.438000,13.553000,3374000000.000000,,12.875000,2.307000,2.307000,1859000000.000000,7243000000.000000,,,,,,,,,,1.000000,2044700284.000000,2044700284.000000,,,11910000000.000000,0.000000,,689000000.000000,5.825000
ARQ,1994-03-31,1994-05-16,1994-03-31,1994-Q1,3568000000.000000,27819987865.000000,2025-04-24,-329000000.000000,12286000000.000000,,6729000000.000000,5557000000.000000,,2.935000,-107000000.000000,2523000000.000000,2523000000.000000,745000000.000000,581000000.000000,2.129000,1.048000,838000000.000000,210000000.000000,628000000.000000,838000000.000000,0.000000,80000000.000000,0.000000,0.053000,0.182000,828000000.000000,908000000.000000,0.320000,908000000.000000,828000000.000000,828000000.000000,0.285000,0.285000,0.285000,5999000000.000000,,5999000000.000000,26134987865.000000,,,589000000.000000,0.288000,1.000000,2089000000.000000,0.737000,0.000000,0.000000,7440000000.000000,,1385000000.000000,324000000.000000,324000000.000000,0.000000,6287000000.000000,3161000000.000000,3126000000.000000,102000000.000000,0.000000,-151000000.000000,64000000.000000,-374000000.000000,-461000000.000000,-131000000.000000,-16000000.000000,696000000.000000,-2000000.000000,581000000.000000,581000000.000000,581000000.000000,0.000000,0.000000,0.205000,1261000000.000000,828000000.000000,632000000.000000,0.639000,4.637000,,,3394000000.000000,0.000000,13.658000,,,1786000000.000000,7450000000.000000,2834000000.000000,2834000000.000000,261000000.000000,,,,,0.000000,1000000000.000000,1.000000,2036975132.000000,2044000000.000000,2044000000.000000,1.386000,12286000000.000000,0.000000,247000000.000000,823000000.000000,6.011000
ARQ,1994-06-30,1994-08-15,1994-06-30,1994-Q2,3469000000.000000,27953481149.000000,2025-04-24,-285000000.000000,12216000000.000000,,6644000000.000000,5572000000.000000,,2.944000,-132000000.000000,2200000000.000000,2200000000.000000,742000000.000000,542000000.000000,2.093000,1.046000,857000000.000000,221000000.000000,636000000.000000,857000000.000000,0.000000,80000000.000000,0.000000,0.053000,0.182000,772000000.000000,852000000.000000,0.287000,852000000.000000,772000000.000000,772000000.000000,0.268000,0.268000,0.268000,5970000000.000000,,5970000000.000000,26610481149.000000,,,334000000.000000,0.165000,1.000000,2228000000.000000,0.750000,0.000000,0.000000,7698000000.000000,,1416000000.000000,450000000.000000,450000000.000000,0.000000,6246000000.000000,3175000000.000000,3071000000.000000,-323000000.000000,83000000.000000,-244000000.000000,13000000.000000,-371000000.000000,-602000000.000000,-180000000.000000,-127000000.000000,466000000.000000,-7000000.000000,542000000.000000,542000000.000000,542000000.000000,0.000000,0.000000,0.182000,1456000000.000000,772000000.000000,619000000.000000,0.679000,4.682000,,,3449000000.000000,0.000000,13.845000,,,1847000000.000000,7621000000.000000,2970000000.000000,2970000000.000000,271000000.000000,,,,,0.000000,1185000000.000000,1.000000,2019030780.000000,2028000000.000000,2028000000.000000,1.464000,12216000000.000000,0.000000,230000000.000000,797000000.000000,6.024000
ARQ,1994-09-30,1994-11-14,1994-09-30,1994-Q3,2936000000.000000,30579408520.000000,2025-04-24,-258000000.000000,12856000000.000000,,6675000000.000000,6181000000.000000,,3.026000,-142000000.000000,1843000000.000000,1843000000.000000,760000000.000000,621000000.000000,1.785000,1.087000,1394000000.000000,755000000.000000,639000000.000000,1394000000.000000,0.000000,82000000.000000,0.000000,0.049000,0.182000,874000000.000000,956000000.000000,0.326000,956000000.000000,874000000.000000,874000000.000000,0.305000,0.305000,0.305000,6161000000.000000,,6161000000.000000,30130408520.000000,,,342000000.000000,0.168000,1.000000,2172000000.000000,0.741000,0.000000,0.000000,8668000000.000000,,1392000000.000000,721000000.000000,721000000.000000,0.000000,6695000000.000000,3739000000.000000,2956000000.000000,-357000000.000000,-455000000.000000,-90000000.000000,490000000.000000,-367000000.000000,33000000.000000,-861000000.000000,-270000000.000000,484000000.000000,-13000000.000000,621000000.000000,621000000.000000,621000000.000000,0.000000,0.000000,0.212000,1298000000.000000,874000000.000000,578000000.000000,0.597000,4.963000,,,3484000000.000000,0.000000,14.970000,,,1972000000.000000,7875000000.000000,2932000000.000000,2932000000.000000,274000000.000000,,,,,0.000000,1024000000.000000,1.000000,2042712660.000000,2036000000.000000,2036000000.000000,1.440000,12856000000.000000,0.000000,253000000.000000,775000000.000000,6.314000
ARQ,1994-12-31,1995-03-29,1994-12-31,1994-Q4,2436000000.000000,32291658693.000000,2025-04-24,-301000000.000000,12910000000.000000,,6710000000.000000,6200000000.000000,,2.802000,-192000000.000000,1642000000.000000,1642000000.000000,876000000.000000,98000000.000000,1.570000,1.263000,1369000000.000000,725000000.000000,644000000.000000,1369000000.000000,0.000000,86000000.000000,0.000000,0.035000,0.185000,82000000.000000,168000000.000000,0.052000,168000000.000000,82000000.000000,82000000.000000,0.047000,0.047000,0.047000,5704000000.000000,,5704000000.000000,32018658693.000000,13.000000,11.106000,463000000.000000,0.227000,1.000000,2372000000.000000,0.730000,939000000.000000,0.000000,7424000000.000000,,1397000000.000000,781000000.000000,781000000.000000,0.000000,7206000000.000000,4274000000.000000,2932000000.000000,-201000000.000000,-10000000.000000,-192000000.000000,-44000000.000000,-373000000.000000,-609000000.000000,-252000000.000000,-34000000.000000,655000000.000000,5000000.000000,98000000.000000,98000000.000000,98000000.000000,0.000000,0.000000,0.030000,2290000000.000000,82000000.000000,693000000.000000,3.936000,5.661000,17.531000,17.577000,3666000000.000000,0.000000,15.908000,2.695000,2.703000,2043000000.000000,7600000000.000000,3248000000.000000,3248000000.000000,302000000.000000,,,,,0.000000,1322000000.000000,1.000000,2029964400.000000,2036000000.000000,2036000000.000000,1.595000,11971000000.000000,0.000000,-16000000.000000,740000000.000000,5.880000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q1,2275000000.000000,33148635796.000000,2025-04-24,-303000000.000000,13454000000.000000,,6864000000.000000,6590000000.000000,,2.938000,-90000000.000000,1766000000.000000,1766000000.000000,877000000.000000,657000000.000000,1.496000,1.258000,1461000000.000000,796000000.000000,665000000.000000,1461000000.000000,0.000000,86000000.000000,0.000000,0.045000,0.185000,932000000.000000,1018000000.000000,0.308000,1018000000.000000,932000000.000000,932000000.000000,0.323000,0.323000,0.323000,5959000000.000000,,5959000000.000000,32843635796.000000,12.000000,10.970000,663000000.000000,0.327000,1.000000,2424000000.000000,0.734000,1207000000.000000,0.000000,7353000000.000000,,1488000000.000000,680000000.000000,680000000.000000,0.000000,7495000000.000000,4589000000.000000,2906000000.000000,124000000.000000,-262000000.000000,-24000000.000000,37000000.000000,-376000000.000000,-363000000.000000,-267000000.000000,101000000.000000,753000000.000000,1000000.000000,657000000.000000,657000000.000000,657000000.000000,0.000000,0.000000,0.199000,1492000000.000000,932000000.000000,773000000.000000,0.573000,5.563000,17.283000,17.333000,3701000000.000000,0.000000,16.345000,2.662000,2.662000,2078000000.000000,7881000000.000000,3301000000.000000,3301000000.000000,290000000.000000,,,,,0.000000,1202000000.000000,1.000000,2028059700.000000,2028000000.000000,2028000000.000000,1.628000,12247000000.000000,0.000000,275000000.000000,818000000.000000,6.039000
ARQ,1995-06-30,1995-08-14,1995-06-30,1995-Q2,2491000000.000000,35121984536.000000,2025-04-24,-286000000.000000,13579000000.000000,,6890000000.000000,6689000000.000000,,3.063000,-120000000.000000,1719000000.000000,1719000000.000000,909000000.000000,608000000.000000,1.566000,1.186000,1511000000.000000,832000000.000000,679000000.000000,1511000000.000000,0.000000,86000000.000000,0.000000,0.043000,0.185000,862000000.000000,948000000.000000,0.275000,948000000.000000,862000000.000000,862000000.000000,0.300000,0.300000,0.300000,6211000000.000000,,6211000000.000000,34913984536.000000,13.000000,11.299000,217000000.000000,0.107000,1.000000,2536000000.000000,0.736000,1201000000.000000,0.000000,7771000000.000000,,1472000000.000000,583000000.000000,583000000.000000,0.000000,7368000000.000000,4399000000.000000,2969000000.000000,-47000000.000000,0.000000,3000000.000000,20000000.000000,-375000000.000000,-352000000.000000,-31000000.000000,97000000.000000,337000000.000000,-1000000.000000,608000000.000000,608000000.000000,608000000.000000,0.000000,0.000000,0.176000,1674000000.000000,862000000.000000,745000000.000000,0.617000,5.655000,17.703000,17.756000,3744000000.000000,0.000000,17.312000,2.717000,2.716000,2234000000.000000,8113000000.000000,3445000000.000000,3445000000.000000,294000000.000000,,,,,0.000000,1380000000.000000,1.000000,2028706688.000000,2028000000.000000,2028000000.000000,1.699000,12378000000.000000,0.000000,254000000.000000,706000000.000000,6.104000
ARQ,1995-09-30,1995-11-14,1995-09-30,1995-Q3,2399000000.000000,40052499089.000000,2025-04-24,-316000000.000000,13382000000.000000,,6610000000.000000,6772000000.000000,,3.121000,-122000000.000000,1674000000.000000,1674000000.000000,930000000.000000,689000000.000000,1.570000,1.118000,1331000000.000000,699000000.000000,632000000.000000,1331000000.000000,0.000000,87000000.000000,0.000000,0.037000,0.185000,958000000.000000,1045000000.000000,0.306000,1045000000.000000,958000000.000000,958000000.000000,0.340000,0.340000,0.340000,6317000000.000000,,6317000000.000000,39709499089.000000,14.000000,12.491000,645000000.000000,0.319000,1.000000,2483000000.000000,0.728000,1178000000.000000,0.000000,7650000000.000000,,1438000000.000000,510000000.000000,510000000.000000,0.000000,7065000000.000000,4211000000.000000,2854000000.000000,-45000000.000000,-99000000.000000,-182000000.000000,-107000000.000000,-372000000.000000,-661000000.000000,-148000000.000000,72000000.000000,767000000.000000,-3000000.000000,689000000.000000,689000000.000000,689000000.000000,0.000000,0.000000,0.202000,1525000000.000000,958000000.000000,759000000.000000,0.544000,6.340000,19.519000,19.649000,3790000000.000000,0.000000,19.845000,2.987000,2.996000,2189000000.000000,8431000000.000000,3413000000.000000,3413000000.000000,293000000.000000,,,,,0.000000,1232000000.000000,1.000000,2018266520.000000,2024000000.000000,2024000000.000000,1.686000,12204000000.000000,0.000000,269000000.000000,737000000.000000,6.030000
ARQ,1995-12-31,1996-03-28,1995-12-31,1995-Q4,2212000000.000000,43805746710.000000,2025-04-24,-327000000.000000,13929000000.000000,,7018000000.000000,6911000000.000000,,2.894000,-181000000.000000,1645000000.000000,1645000000.000000,921000000.000000,-142000000.000000,1.460000,1.392000,1210000000.000000,575000000.000000,635000000.000000,1210000000.000000,0.000000,189000000.000000,0.000000,0.034000,0.188000,-350000000.000000,-161000000.000000,-0.045000,-161000000.000000,-350000000.000000,-350000000.000000,-0.070000,-0.070000,-0.070000,5822000000.000000,,5822000000.000000,43370746710.000000,18.000000,15.218000,461000000.000000,0.229000,1.000000,2687000000.000000,0.745000,1219000000.000000,0.000000,7469000000.000000,,1451000000.000000,533000000.000000,533000000.000000,0.000000,8107000000.000000,4806000000.000000,3301000000.000000,-29000000.000000,11000000.000000,30000000.000000,-141000000.000000,-372000000.000000,-483000000.000000,-185000000.000000,-1000000.000000,642000000.000000,-3000000.000000,-142000000.000000,-142000000.000000,-142000000.000000,0.000000,0.000000,-0.039000,3037000000.000000,-350000000.000000,848000000.000000,-2.686000,7.524000,24.175000,24.302000,3760000000.000000,0.000000,21.750000,3.182000,3.198000,2356000000.000000,7917000000.000000,3608000000.000000,3608000000.000000,323000000.000000,,,,,0.000000,1501000000.000000,1.000000,2014057320.000000,2012000000.000000,2012000000.000000,1.793000,12710000000.000000,0.000000,-208000000.000000,744000000.000000,6.317000
ARQ,1996-03-31,1996-05-15,1996-03-31,1996-Q1,2002000000.000000,41677208313.000000,2025-04-24,-336000000.000000,13824000000.000000,,6762000000.000000,7062000000.000000,,2.944000,-115000000.000000,1305000000.000000,1305000000.000000,935000000.000000,726000000.000000,1.421000,1.329000,1152000000.000000,526000000.000000,626000000.000000,1152000000.000000,0.000000,131000000.000000,0.000000,0.036000,0.188000,1022000000.000000,1153000000.000000,0.314000,1153000000.000000,1022000000.000000,1022000000.000000,0.360000,0.360000,0.360000,5936000000.000000,,5936000000.000000,41524208313.000000,17.000000,13.911000,500000000.000000,0.248000,1.000000,2734000000.000000,0.745000,1419000000.000000,0.000000,7492000000.000000,,1484000000.000000,501000000.000000,501000000.000000,0.000000,7888000000.000000,4760000000.000000,3128000000.000000,-340000000.000000,-243000000.000000,-224000000.000000,-39000000.000000,-379000000.000000,-642000000.000000,-311000000.000000,43000000.000000,615000000.000000,-2000000.000000,726000000.000000,726000000.000000,726000000.000000,0.000000,0.000000,0.198000,1712000000.000000,1022000000.000000,843000000.000000,0.522000,7.021000,22.157000,22.278000,3765000000.000000,0.000000,20.719000,2.949000,2.955000,2386000000.000000,8264000000.000000,3669000000.000000,3669000000.000000,302000000.000000,,,,,0.000000,1410000000.000000,1.000000,2011569632.000000,2016000000.000000,2016000000.000000,1.820000,12405000000.000000,0.000000,296000000.000000,762000000.000000,6.153000
