dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-10-09,2018-12-31,2018-Q4,322840000.000000,,2025-05-05,0.000000,652986000.000000,,448961000.000000,204025000.000000,,1.176000,,411495000.000000,452192308.000000,,,3.560000,1.450000,62484000.000000,8266000.000000,54218000.000000,68663736.000000,271674000.000000,,0.000000,,0.000000,,,,,,,,,,266153000.000000,,292475824.000000,,,,,,0.910000,,,88042000.000000,,89812000.000000,,5789000.000000,354000.000000,336000.000000,18000.000000,385986000.000000,126121000.000000,259865000.000000,,,,,,,,,,,,,,,,,,,41721000.000000,,,,,115966000.000000,,,,,18938000.000000,-245771000.000000,,,,,,,,,,1.000000,226262336.000000,226262336.000000,,,564944000.000000,891000.000000,,297000.000000,2.497000
ARQ,2019-09-30,2019-11-14,2019-09-30,2019-Q3,373172000.000000,4298984384.000000,2025-05-05,0.000000,738408000.000000,,501295000.000000,237113000.000000,,1.840000,,463308000.000000,514786667.000000,4230000.000000,-30103000.000000,3.913000,0.773000,83543000.000000,15730000.000000,67813000.000000,92825556.000000,208652000.000000,,0.000000,0.000000,0.000000,-29580000.000000,,,,-32866667.000000,-30095000.000000,-0.140000,-0.140000,-0.156000,416405000.000000,,462672222.000000,3877023273.000000,,,,,0.900000,24432000.000000,0.852000,94482000.000000,515000.000000,136038000.000000,,10869000.000000,356000.000000,356000.000000,0.000000,322003000.000000,128123000.000000,193880000.000000,,,,,,,,,,,-30103000.000000,-30103000.000000,-33447778.000000,0.000000,0.000000,-1.050000,61306000.000000,-36874000.000000,21813000.000000,0.000000,9.292000,,,142631000.000000,0.000000,19.000000,,,8931000.000000,-366604000.000000,28662000.000000,31846667.000000,50396000.000000,,,,,,11252000.000000,1.000000,226262336.000000,226262336.000000,,0.141000,643926000.000000,546000.000000,8000.000000,297000.000000,2.846000
ARQ,2019-12-31,2020-03-31,2019-12-31,2019-Q4,422009000.000000,13243937050.000000,2025-05-05,0.000000,797647000.000000,,560151000.000000,237496000.000000,,2.176000,-10518000.000000,519149000.000000,576832222.000000,4436000.000000,-58223000.000000,4.055000,0.616000,84563000.000000,15659000.000000,68904000.000000,93958889.000000,190692000.000000,9809000.000000,0.000000,0.000000,0.000000,-57991000.000000,-48182000.000000,-1.722000,-53535556.000000,-64434444.000000,-58519000.000000,-0.260000,-0.260000,-0.289000,493492000.000000,,548324444.000000,12761063716.000000,-65.000000,-80.099000,-74145000.000000,-0.327000,0.900000,23552000.000000,0.842000,89434000.000000,528000.000000,135485000.000000,,11722000.000000,1680000.000000,1680000.000000,0.000000,304155000.000000,138142000.000000,166013000.000000,55871000.000000,0.000000,127480000.000000,2087000.000000,,129567000.000000,-10069000.000000,,-63627000.000000,-30000.000000,-58223000.000000,-58223000.000000,-64692222.000000,0.000000,0.000000,-2.080000,76495000.000000,-52943000.000000,20498000.000000,0.000000,24.153000,-66.569000,-61.835000,148062000.000000,0.000000,58.400000,109.768000,109.768000,11913000.000000,-424827000.000000,27988000.000000,31097778.000000,65427000.000000,,,,,7750000.000000,11876000.000000,1.000000,226779744.000000,226779744.000000,,0.137000,708213000.000000,756000.000000,-296000.000000,150000.000000,3.123000
ARQ,2020-03-31,2020-05-12,2020-03-31,2020-Q1,350812000.000000,11187044772.000000,2025-05-05,0.000000,732208000.000000,,492855000.000000,239353000.000000,,1.976000,-6295000.000000,451597000.000000,490866304.000000,5842000.000000,-53386000.000000,3.470000,0.634000,82918000.000000,16277000.000000,66641000.000000,90128261.000000,170011000.000000,8593000.000000,0.000000,0.000000,0.000000,-52860000.000000,-44267000.000000,-1.600000,-48116304.000000,-57456522.000000,-53378000.000000,-0.240000,-0.240000,-0.261000,448130000.000000,,487097826.000000,10786306728.000000,,,-60981000.000000,-0.269000,0.920000,21821000.000000,0.789000,93932000.000000,518000.000000,127554000.000000,,9629000.000000,1723000.000000,1723000.000000,0.000000,284078000.000000,142043000.000000,142035000.000000,-67609000.000000,-6516000.000000,0.000000,2010000.000000,,2010000.000000,-14933000.000000,,-54686000.000000,57000.000000,-53386000.000000,-53386000.000000,-58028261.000000,0.000000,0.000000,-1.930000,81098000.000000,-59277000.000000,19417000.000000,0.000000,22.967000,,,145421000.000000,0.000000,49.330000,,,10310000.000000,-478213000.000000,27663000.000000,30068478.000000,65122000.000000,,,,,8150000.000000,16301000.000000,1.000000,226779744.000000,226779744.000000,,0.133000,638276000.000000,980000.000000,8000.000000,150000.000000,2.815000
ARQ,2020-06-30,2020-08-11,2020-06-30,2020-Q2,412550000.000000,15523073477.000000,2025-05-05,0.000000,973447000.000000,,621116000.000000,352331000.000000,,2.654000,-15099000.000000,573011000.000000,674130588.000000,5662000.000000,-88296000.000000,2.978000,0.617000,106643000.000000,36354000.000000,70289000.000000,125462353.000000,204454000.000000,8832000.000000,0.000000,0.000000,0.000000,-80737000.000000,-71905000.000000,-1.722000,-84594118.000000,-94984706.000000,-90502000.000000,-0.380000,-0.380000,-0.447000,601934000.000000,,708157647.000000,14974405242.000000,-58.000000,,-30621000.000000,-0.135000,0.850000,36100000.000000,0.864000,183281000.000000,9765000.000000,115232000.000000,,8615000.000000,1953000.000000,1953000.000000,0.000000,371513000.000000,208566000.000000,162947000.000000,120937000.000000,7407000.000000,147806000.000000,-1603000.000000,,146203000.000000,-9744000.000000,,-15522000.000000,477000.000000,-88296000.000000,-88296000.000000,-103877647.000000,0.000000,0.000000,-2.114000,117042000.000000,-80942000.000000,35690000.000000,0.000000,21.920000,-57.366000,-57.042000,167734000.000000,0.000000,68.450000,104.657000,104.657000,7679000.000000,-566509000.000000,41762000.000000,49131765.000000,95189000.000000,,,,,8113000.000000,21867000.000000,1.000000,226779744.000000,226779744.000000,,0.217000,790166000.000000,1012000.000000,-2206000.000000,5584000.000000,3.484000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,823359000.000000,25571683933.000000,2025-05-05,0.000000,1449252000.000000,,1091839000.000000,357413000.000000,,4.091000,-19262000.000000,990461000.000000,1159790398.000000,6840000.000000,-210032000.000000,4.067000,0.562000,310799000.000000,135178000.000000,175621000.000000,363933255.000000,147023000.000000,8777000.000000,0.000000,0.000000,0.000000,-185908000.000000,-177131000.000000,-2.626000,-207413349.000000,-217690867.000000,-207541000.000000,-0.880000,-0.880000,-1.030000,927683000.000000,,1086279859.000000,24775826791.000000,-56.000000,-61.960000,-211792000.000000,-0.934000,0.854000,60618000.000000,0.899000,168733000.000000,21633000.000000,332377000.000000,,12368000.000000,17843000.000000,17843000.000000,0.000000,521569000.000000,268480000.000000,253089000.000000,417349000.000000,0.000000,532316000.000000,97898000.000000,,630214000.000000,-20335000.000000,,-192530000.000000,101000.000000,-210032000.000000,-210032000.000000,-245939110.000000,0.000000,0.000000,-3.114000,247000000.000000,-186382000.000000,41912000.000000,0.000000,23.541000,-53.272000,-54.714000,183503000.000000,0.000000,112.760000,132.456000,132.456000,7170000.000000,-776541000.000000,67458000.000000,78990632.000000,227706000.000000,,,,,7885000.000000,27592000.000000,1.000000,226779744.000000,226779744.000000,,0.348000,1280519000.000000,724000.000000,2491000.000000,150000.000000,5.647000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,823359000.000000,23047625383.000000,2025-05-05,0.000000,1449252000.000000,,1091839000.000000,357413000.000000,,4.091000,-19262000.000000,990461000.000000,1159790398.000000,6840000.000000,-210032000.000000,4.067000,0.562000,310799000.000000,135178000.000000,175621000.000000,363933255.000000,147023000.000000,8777000.000000,0.000000,0.000000,0.000000,-185908000.000000,-177131000.000000,-2.626000,-207413349.000000,-217690867.000000,-207541000.000000,-0.880000,-0.880000,-1.030000,927683000.000000,,1086279859.000000,22251768240.000000,-50.000000,-55.648000,-211792000.000000,-0.934000,0.854000,60618000.000000,0.899000,168733000.000000,21633000.000000,332377000.000000,,12368000.000000,17843000.000000,17843000.000000,0.000000,521569000.000000,268480000.000000,253089000.000000,417349000.000000,0.000000,532316000.000000,97898000.000000,,630214000.000000,-20335000.000000,,-192530000.000000,101000.000000,-210032000.000000,-210032000.000000,-245939110.000000,0.000000,0.000000,-3.114000,247000000.000000,-186382000.000000,41912000.000000,0.000000,21.217000,-48.014000,-49.314000,183503000.000000,0.000000,101.630000,119.382000,119.382000,7170000.000000,-776541000.000000,67458000.000000,78990632.000000,227706000.000000,,,,,7885000.000000,27592000.000000,1.000000,226779744.000000,226779744.000000,,0.348000,1280519000.000000,724000.000000,2491000.000000,150000.000000,5.647000
ARQ,2020-12-31,2021-03-30,2020-12-31,2020-Q4,1060882000.000000,25224460029.000000,2025-05-05,0.000000,2318620000.000000,,1666896000.000000,651724000.000000,,5.680000,-43549000.000000,1210209000.000000,1423775294.000000,40989000.000000,366912000.000000,2.751000,0.690000,345740000.000000,83217000.000000,262523000.000000,406752941.000000,371475000.000000,12542000.000000,0.000000,0.000000,0.000000,244681000.000000,257223000.000000,0.745000,302615294.000000,287860000.000000,205619000.000000,1.570000,1.570000,1.847000,1371846000.000000,,1613936471.000000,24207437676.000000,-254.000000,-488.644000,205715000.000000,0.852000,0.850000,304453000.000000,0.881000,163490000.000000,39062000.000000,684647000.000000,,64120000.000000,137234000.000000,137234000.000000,0.000000,946774000.000000,606014000.000000,340760000.000000,265726000.000000,-61534000.000000,72885000.000000,43413000.000000,,116298000.000000,-99836000.000000,,249264000.000000,-45978000.000000,366912000.000000,366912000.000000,431661176.000000,0.000000,0.000000,1.062000,60269000.000000,244184000.000000,102288000.000000,0.000000,15.629000,1410.764000,1479.567000,325956000.000000,0.000000,104.440000,44.453000,44.453000,165468000.000000,-409629000.000000,345442000.000000,406402353.000000,257012000.000000,,,,,7994000.000000,42801000.000000,1.000000,241521065.000000,241521065.000000,,1.683000,2155130000.000000,162131000.000000,-161293000.000000,292000.000000,8.923000
ARQ,2021-03-31,2021-05-10,2021-03-31,2021-Q1,2224900000.000000,49196343750.000000,2025-05-05,0.000000,4204700000.000000,,3536000000.000000,668700000.000000,,10.363000,-28300000.000000,891500000.000000,1074096386.000000,233100000.000000,1128100000.000000,2.697000,0.669000,656800000.000000,347200000.000000,309600000.000000,791325301.000000,353000000.000000,13000000.000000,0.000000,0.000000,0.000000,1687000000.000000,1700000000.000000,0.830000,2048192771.000000,2032530120.000000,1642300000.000000,4.640000,4.390000,5.590000,2519600000.000000,,3035662651.000000,48913572666.000000,24.000000,23.767000,-339600000.000000,-1.397000,0.830000,1815300000.000000,0.886000,165200000.000000,44700000.000000,2493700000.000000,,146900000.000000,500000.000000,500000.000000,0.000000,1685100000.000000,1311100000.000000,374000000.000000,-344100000.000000,0.000000,,-4500000.000000,,-4500000.000000,-28300000.000000,,-311300000.000000,25400000.000000,1128100000.000000,1128100000.000000,1359156627.000000,0.000000,0.000000,0.551000,153100000.000000,1662200000.000000,106200000.000000,0.000000,16.206000,34.122000,33.929000,360800000.000000,0.000000,202.350000,16.313000,16.313000,2395100000.000000,718500000.000000,2048400000.000000,2467951807.000000,216200000.000000,,,,,17300000.000000,47600000.000000,1.000000,243125000.000000,243125000.000000,,10.151000,4039500000.000000,142600000.000000,514200000.000000,494900000.000000,16.615000
ARQ,2021-06-30,2021-08-09,2021-06-30,2021-Q2,5276200000.000000,109152316510.000000,2025-05-05,0.000000,9148800000.000000,,8439500000.000000,709300000.000000,,22.465000,-29800000.000000,914100000.000000,1075411765.000000,883800000.000000,2787200000.000000,2.668000,0.669000,1199100000.000000,712800000.000000,486300000.000000,1410705882.000000,247100000.000000,16400000.000000,0.000000,0.000000,0.000000,4198700000.000000,4215100000.000000,0.794000,4958941176.000000,4939647059.000000,4022800000.000000,11.420000,10.770000,13.435000,5482800000.000000,,6450352941.000000,109487610627.000000,16.000000,15.523000,-130100000.000000,-0.533000,0.850000,4424700000.000000,0.834000,164100000.000000,175900000.000000,6106400000.000000,,305400000.000000,800000.000000,800000.000000,0.000000,3666000000.000000,3163300000.000000,502700000.000000,22800000.000000,0.000000,160900000.000000,-8000000.000000,,152900000.000000,-29800000.000000,,-100300000.000000,-200000.000000,2787200000.000000,2787200000.000000,3279058824.000000,0.000000,0.000000,0.525000,226300000.000000,4198400000.000000,262700000.000000,0.000000,16.922000,22.784000,22.695000,381100000.000000,0.000000,447.230000,11.941000,11.941000,7051700000.000000,3505700000.000000,5308500000.000000,6245294118.000000,201100000.000000,,,,,22000000.000000,61100000.000000,1.000000,244063047.000000,244063047.000000,,25.589000,8984700000.000000,164100000.000000,1235600000.000000,1750600000.000000,36.813000
