dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-08-20,2020-12-31,2020-Q4,3204000.000000,,2025-05-08,0.000000,259659000.000000,,63072000.000000,196587000.000000,,-8.841000,,31640000.000000,31640000.000000,,,1.054000,-0.126000,95123000.000000,21119000.000000,74004000.000000,95123000.000000,15938000.000000,,0.000000,,0.000000,,,,,,,,,,-1459782000.000000,,-1459782000.000000,,,,,,1.000000,,,29398000.000000,,233876000.000000,,15580000.000000,0.000000,0.000000,0.000000,183669000.000000,59868000.000000,123801000.000000,,,,,,,,,,,,,,,,,,,16092000.000000,,,,,165423000.000000,,,,,10837000.000000,,,,,,,,,,,1.000000,165112162.000000,165112162.000000,,,230261000.000000,0.000000,,0.000000,1.395000
ARQ,2021-06-30,2021-09-13,2021-06-30,2021-Q2,-37846000.000000,,2025-05-08,0.000000,285227000.000000,,49294000.000000,235933000.000000,,-11.131000,,19577000.000000,19577000.000000,,,0.566000,-0.224000,284982000.000000,33035000.000000,251947000.000000,284982000.000000,19588000.000000,,0.000000,,0.000000,,,,,,,,,,-1837901000.000000,,-1837901000.000000,,,,,,1.000000,,,29594000.000000,,433898000.000000,,13262000.000000,0.000000,0.000000,0.000000,412506000.000000,87140000.000000,325366000.000000,,,,,,,,,,,,,,,,,,,18648000.000000,,,,,204564000.000000,,,,,12131000.000000,,,,,,,,,,,1.000000,165112162.000000,165112162.000000,,,255633000.000000,0.000000,,0.000000,1.548000
ARQ,2021-09-30,2021-11-12,2021-09-30,2021-Q3,-39433000.000000,10151675194.000000,2025-05-08,0.000000,503632000.000000,,62528000.000000,441104000.000000,,2.109000,-37517000.000000,25863000.000000,25863000.000000,91060000.000000,-117138000.000000,0.613000,3.099000,111597000.000000,37214000.000000,74383000.000000,111597000.000000,21555000.000000,6696000.000000,0.000000,0.000000,0.000000,-5625000.000000,1071000.000000,0.008000,1071000.000000,-5625000.000000,-8018000.000000,-0.150000,-0.150000,-0.150000,94878000.000000,,94878000.000000,10237409194.000000,,,-21412000.000000,-0.476000,1.000000,38743000.000000,0.298000,30769000.000000,2393000.000000,456636000.000000,,18494000.000000,0.000000,0.000000,0.000000,294010000.000000,101961000.000000,192049000.000000,6286000.000000,-2878000.000000,237194000.000000,-188032000.000000,209108000.000000,30576000.000000,-40395000.000000,0.000000,16105000.000000,0.000000,-6738000.000000,-6738000.000000,-6738000.000000,0.000000,-110400000.000000,-0.052000,153727000.000000,-114984000.000000,24605000.000000,0.000000,106.997000,,,250110000.000000,0.000000,62.060000,,,11019000.000000,-6738000.000000,129803000.000000,129803000.000000,0.000000,,,,,124779000.000000,153727000.000000,1.000000,163578395.000000,44991000.000000,47232000.000000,2.885000,472863000.000000,158663000.000000,-1280000.000000,109733000.000000,10.510000
ARQ,2021-12-31,2022-03-11,2021-12-31,2021-Q4,-80986000.000000,7988677657.000000,2025-05-08,0.000000,553700000.000000,,61291000.000000,492409000.000000,,1.928000,-44308000.000000,18506000.000000,18506000.000000,106244000.000000,-8678000.000000,0.431000,3.674000,150687000.000000,67596000.000000,83091000.000000,150687000.000000,27837000.000000,7490000.000000,0.000000,0.000000,0.000000,-5243000.000000,2247000.000000,0.016000,2247000.000000,-5243000.000000,-7088000.000000,-0.130000,-0.130000,-0.130000,93498000.000000,,93498000.000000,8120858657.000000,-1090.000000,457.050000,-36237000.000000,-0.747000,1.000000,33836000.000000,0.242000,29818000.000000,1845000.000000,513786000.000000,,23345000.000000,0.000000,0.000000,0.000000,343514000.000000,142277000.000000,201237000.000000,-7357000.000000,0.000000,0.000000,29173000.000000,0.000000,28880000.000000,-44308000.000000,0.000000,8071000.000000,0.000000,-6176000.000000,-6176000.000000,-6176000.000000,0.000000,-2502000.000000,-0.044000,41440000.000000,-7604000.000000,20440000.000000,0.000000,85.442000,-618.606000,-174.286000,301998000.000000,0.000000,48.800000,16.046000,4.495000,10644000.000000,-12914000.000000,140080000.000000,140080000.000000,0.000000,,,,,9955000.000000,41440000.000000,1.000000,163702411.000000,48483000.000000,41760000.000000,2.889000,523882000.000000,159031000.000000,-912000.000000,109733000.000000,10.805000
ARQ,2022-03-31,2022-05-12,2022-03-31,2022-Q1,-40229000.000000,4110594835.000000,2025-05-08,0.000000,884506000.000000,,72443000.000000,812063000.000000,,2.193000,-39970000.000000,26754000.000000,26754000.000000,121167000.000000,-16279000.000000,0.643000,6.366000,429356000.000000,40695000.000000,388661000.000000,429356000.000000,28419000.000000,11492000.000000,0.000000,0.000000,0.000000,-2672000.000000,8820000.000000,0.058000,8820000.000000,-2672000.000000,-5161000.000000,-0.100000,-0.100000,-0.100000,105417000.000000,,105417000.000000,4513196835.000000,,,-40726000.000000,-0.847000,1.000000,30989000.000000,0.204000,33552000.000000,2489000.000000,1140884000.000000,,26927000.000000,0.000000,0.000000,0.000000,671056000.000000,112672000.000000,558384000.000000,8248000.000000,-6051000.000000,0.000000,58925000.000000,0.000000,55025000.000000,-46021000.000000,0.000000,-756000.000000,0.000000,-4947000.000000,-4947000.000000,-4947000.000000,0.000000,-11332000.000000,-0.033000,45214000.000000,-14225000.000000,21837000.000000,0.000000,38.994000,,,554725000.000000,0.000000,25.110000,,,12870000.000000,-17240000.000000,152156000.000000,152156000.000000,0.000000,,,,,9900000.000000,45214000.000000,1.000000,163703498.000000,48059000.000000,48059000.000000,3.166000,850954000.000000,223376000.000000,-214000.000000,164910000.000000,17.706000
ARQ,2022-06-30,2022-08-11,2022-06-30,2022-Q2,-64243000.000000,7577885240.000000,2025-05-08,145000.000000,949535000.000000,,75267000.000000,874268000.000000,,2.131000,-42612000.000000,21293000.000000,21293000.000000,141370000.000000,-1751000.000000,0.540000,6.692000,479602000.000000,62628000.000000,416974000.000000,479602000.000000,31656000.000000,12975000.000000,0.000000,0.000000,0.000000,3575000.000000,16550000.000000,0.089000,16550000.000000,3575000.000000,-21000.000000,-0.020000,-0.020000,-0.020000,108539000.000000,,108539000.000000,8036194240.000000,-806.000000,280.124000,-25143000.000000,-0.494000,1.000000,45011000.000000,0.241000,32510000.000000,3596000.000000,1235824000.000000,,32854000.000000,0.000000,0.000000,0.000000,726298000.000000,139510000.000000,586788000.000000,-5461000.000000,0.000000,0.000000,19932000.000000,0.000000,19682000.000000,-42612000.000000,0.000000,17469000.000000,0.000000,-906000.000000,-906000.000000,-906000.000000,0.000000,-845000.000000,-0.005000,42342000.000000,2669000.000000,22511000.000000,0.000000,69.817000,-403.788000,-115.725000,617621000.000000,0.000000,46.290000,12.455000,3.875000,14070000.000000,-18146000.000000,186381000.000000,186381000.000000,0.000000,,,,,10446000.000000,42342000.000000,1.000000,163704585.000000,50926000.000000,50926000.000000,3.660000,917025000.000000,223336000.000000,885000.000000,164910000.000000,18.007000
ARQ,2022-09-30,2022-11-10,2022-09-30,2022-Q3,-96569000.000000,5847656154.000000,2025-05-08,848000.000000,1129257000.000000,,93805000.000000,1035452000.000000,,2.366000,-50778000.000000,34567000.000000,34567000.000000,148092000.000000,1594000.000000,0.493000,7.045000,568281000.000000,104826000.000000,463455000.000000,568281000.000000,33947000.000000,14363000.000000,0.000000,0.000000,0.000000,3403000.000000,17766000.000000,0.089000,17766000.000000,3403000.000000,-1608000.000000,0.030000,0.030000,0.030000,125683000.000000,,125683000.000000,6381370154.000000,-6810.000000,140.611000,-24723000.000000,-0.465000,1.000000,50556000.000000,0.255000,31455000.000000,5011000.000000,1441142000.000000,,33713000.000000,0.000000,0.000000,0.000000,885455000.000000,190374000.000000,695081000.000000,13274000.000000,0.000000,0.000000,37997000.000000,0.000000,37997000.000000,-50778000.000000,0.000000,26055000.000000,0.000000,1763000.000000,1763000.000000,1763000.000000,0.000000,-169000.000000,0.009000,45378000.000000,5178000.000000,26973000.000000,0.000000,46.527000,-569.614000,-162.364000,708185000.000000,0.000000,35.720000,8.634000,2.802000,14415000.000000,-16647000.000000,198648000.000000,198648000.000000,0.000000,,,,,10649000.000000,45378000.000000,1.000000,163708179.000000,53118000.000000,54418000.000000,3.740000,1097802000.000000,293108000.000000,-3371000.000000,226299000.000000,20.667000
ARQ,2022-12-31,2023-02-27,2022-12-31,2022-Q4,-130357000.000000,5378555709.000000,2025-05-08,813000.000000,1186360000.000000,,82322000.000000,1104038000.000000,,2.334000,-53161000.000000,20178000.000000,20178000.000000,147467000.000000,-2817000.000000,0.387000,7.237000,625417000.000000,130762000.000000,494655000.000000,625417000.000000,31454000.000000,15817000.000000,0.000000,0.000000,0.000000,11558000.000000,27375000.000000,0.136000,27375000.000000,11558000.000000,4636000.000000,-0.010000,-0.010000,-0.010000,129118000.000000,,129118000.000000,5983794709.000000,377.000000,84.863000,-36046000.000000,-0.652000,1.000000,54360000.000000,0.269000,30433000.000000,6922000.000000,1548487000.000000,,39229000.000000,0.000000,0.000000,0.000000,934384000.000000,212679000.000000,721705000.000000,-14389000.000000,0.000000,0.000000,21657000.000000,0.000000,21657000.000000,-53161000.000000,0.000000,17115000.000000,0.000000,-663000.000000,-663000.000000,-663000.000000,0.000000,-2154000.000000,-0.003000,50594000.000000,3766000.000000,21270000.000000,0.000000,41.656000,-1131.613000,-364.778000,782713000.000000,0.000000,32.830000,7.278000,2.304000,11966000.000000,-17310000.000000,201827000.000000,201827000.000000,0.000000,,,,,10662000.000000,50594000.000000,1.000000,163830512.000000,55327000.000000,55327000.000000,3.648000,1155927000.000000,288765000.000000,5299000.000000,220923000.000000,20.893000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,-171509000.000000,4680709381.000000,2025-05-08,590000.000000,1264965000.000000,,81314000.000000,1183651000.000000,,2.264000,-43043000.000000,14296000.000000,14296000.000000,151523000.000000,-9391000.000000,0.322000,7.920000,708952000.000000,171254000.000000,537698000.000000,708952000.000000,27919000.000000,17477000.000000,0.000000,0.000000,0.000000,6624000.000000,24101000.000000,0.122000,24101000.000000,6624000.000000,-1262000.000000,-0.070000,-0.070000,-0.070000,128313000.000000,,128313000.000000,5375365381.000000,214.000000,62.656000,-39966000.000000,-0.705000,1.000000,45744000.000000,0.232000,29522000.000000,7886000.000000,1677276000.000000,,43957000.000000,0.000000,0.000000,0.000000,1016262000.000000,252823000.000000,763439000.000000,-5882000.000000,0.000000,0.000000,35980000.000000,0.000000,34084000.000000,-43043000.000000,0.000000,3077000.000000,0.000000,-3842000.000000,-3842000.000000,-3842000.000000,0.000000,-5549000.000000,-0.019000,45976000.000000,-232000.000000,24092000.000000,0.000000,36.479000,-1283.089000,-408.143000,866074000.000000,0.000000,28.570000,5.969000,2.065000,8778000.000000,-21152000.000000,197267000.000000,197267000.000000,0.000000,,,,,9170000.000000,45976000.000000,1.000000,163833020.000000,56664000.000000,56664000.000000,3.481000,1235443000.000000,286385000.000000,2580000.000000,219629000.000000,21.803000
ARQ,2023-06-30,2023-08-09,2023-06-30,2023-Q2,-199319000.000000,5405098953.000000,2025-05-08,905000.000000,1368280000.000000,,94819000.000000,1273461000.000000,,2.387000,-59015000.000000,23717000.000000,23717000.000000,178636000.000000,9711000.000000,0.322000,8.110000,783142000.000000,203807000.000000,579335000.000000,783142000.000000,28256000.000000,19305000.000000,0.000000,0.000000,0.000000,13661000.000000,32966000.000000,0.132000,32966000.000000,13661000.000000,4603000.000000,0.050000,0.050000,0.050000,135407000.000000,,135407000.000000,6164523953.000000,175.000000,60.314000,-16249000.000000,-0.286000,1.000000,71243000.000000,0.285000,28664000.000000,9058000.000000,1804903000.000000,,47608000.000000,0.000000,0.000000,0.000000,1098205000.000000,294138000.000000,804067000.000000,9421000.000000,0.000000,0.000000,25670000.000000,0.000000,25670000.000000,-59015000.000000,0.000000,42766000.000000,0.000000,2752000.000000,2752000.000000,2752000.000000,0.000000,6959000.000000,0.011000,51662000.000000,19581000.000000,24648000.000000,0.000000,39.917000,540509.895000,,956960000.000000,0.000000,32.990000,6.377000,2.208000,9379000.000000,-18400000.000000,249879000.000000,249879000.000000,0.000000,,,,,10149000.000000,51662000.000000,1.000000,163840526.000000,56734000.000000,57428000.000000,4.404000,1339616000.000000,284777000.000000,1851000.000000,218768000.000000,23.612000
