dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,285055000.000000,11038449760.000000,2025-05-02,-27801000.000000,1512128000.000000,,748878000.000000,763250000.000000,,1.264000,,58497000.000000,58497000.000000,,,1.615000,0.650000,240556000.000000,240556000.000000,0.000000,240556000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,916271000.000000,,916271000.000000,11220508760.000000,36.000000,30.362000,,,1.000000,,,308408000.000000,,921956000.000000,,226213000.000000,99941000.000000,22051000.000000,77890000.000000,595857000.000000,463823000.000000,132034000.000000,,,,,,,,,,,,,,,,,,,64453000.000000,,12.047000,66.057000,67.120000,347186000.000000,,15.438000,7.550000,7.657000,298886000.000000,585057000.000000,,,,,,,,,,1.000000,715041280.000000,725172000.000000,,,1203720000.000000,101064000.000000,,84909000.000000,1.660000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,307439000.000000,8940353800.000000,2025-05-02,-57167000.000000,1559586000.000000,,764435000.000000,795151000.000000,,1.321000,-53121000.000000,71554000.000000,71554000.000000,113207000.000000,72609000.000000,1.673000,0.607000,222806000.000000,222806000.000000,0.000000,222806000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111654000.000000,111654000.000000,0.280000,111654000.000000,111654000.000000,108372000.000000,0.100000,,0.100000,970567000.000000,,970567000.000000,9091605800.000000,,,3836000.000000,0.005000,1.000000,285969000.000000,0.716000,308230000.000000,3282000.000000,945612000.000000,,253654000.000000,112575000.000000,7327000.000000,105248000.000000,589019000.000000,456996000.000000,132023000.000000,13057000.000000,0.000000,5121000.000000,-16306000.000000,0.000000,-5165000.000000,-36100000.000000,14724000.000000,56957000.000000,-2635000.000000,72609000.000000,72609000.000000,72609000.000000,0.000000,0.000000,0.182000,178118000.000000,107851000.000000,147020000.000000,0.000000,9.211000,,,381673000.000000,0.000000,12.500000,,,302009000.000000,657666000.000000,399176000.000000,399176000.000000,33731000.000000,,,,,0.000000,139413000.000000,1.000000,715228304.000000,734652000.000000,,0.543000,1251356000.000000,101675000.000000,35763000.000000,111721000.000000,1.703000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,235729000.000000,14173489251.000000,2025-05-02,-57336000.000000,1742052000.000000,,909204000.000000,832848000.000000,,1.219000,-56462000.000000,54141000.000000,54141000.000000,131455000.000000,-26896000.000000,1.350000,0.834000,350265000.000000,350265000.000000,0.000000,350265000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-19702000.000000,-19702000.000000,-0.042000,-19702000.000000,-19702000.000000,-23055000.000000,-0.035000,,-0.035000,949607000.000000,,949607000.000000,14469613251.000000,,,-45556000.000000,-0.058000,1.000000,342294000.000000,0.723000,320104000.000000,3353000.000000,1044597000.000000,,306558000.000000,123219000.000000,32178000.000000,91041000.000000,792445000.000000,673475000.000000,118970000.000000,-31091000.000000,-23700000.000000,-60911000.000000,122276000.000000,0.000000,55370000.000000,-96469000.000000,-891000.000000,10906000.000000,-898000.000000,-26896000.000000,-26896000.000000,-26896000.000000,0.000000,0.000000,-0.057000,361266000.000000,-18972000.000000,210537000.000000,0.000000,14.926000,,,421703000.000000,0.000000,18.250000,,,361876000.000000,622591000.000000,473749000.000000,473749000.000000,41006000.000000,,,,,0.000000,157031000.000000,1.000000,776629548.000000,778808000.000000,,0.608000,1421948000.000000,97865000.000000,3841000.000000,59975000.000000,1.826000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,332850000.000000,10703918225.000000,2025-05-02,-62857000.000000,1857831000.000000,,1000583000.000000,857248000.000000,,1.271000,-50163000.000000,54269000.000000,54269000.000000,135907000.000000,88405000.000000,1.498000,0.818000,415763000.000000,365908000.000000,49855000.000000,415763000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129153000.000000,129153000.000000,0.272000,129153000.000000,129153000.000000,126175000.000000,0.110000,,0.110000,1021693000.000000,,1021693000.000000,11065412225.000000,,,-53185000.000000,-0.066000,1.000000,338866000.000000,0.714000,319388000.000000,2978000.000000,1232204000.000000,,362964000.000000,124447000.000000,42670000.000000,81777000.000000,836138000.000000,667733000.000000,168405000.000000,128000.000000,-16903000.000000,-10798000.000000,66300000.000000,0.000000,55502000.000000,-51225000.000000,10973000.000000,-3022000.000000,-1127000.000000,88405000.000000,88405000.000000,88405000.000000,0.000000,0.000000,0.186000,214515000.000000,124351000.000000,213287000.000000,0.000000,10.477000,,,456083000.000000,0.000000,13.750000,,,385555000.000000,707641000.000000,474773000.000000,474773000.000000,43358000.000000,,,,,0.000000,165239000.000000,1.000000,778466780.000000,803944000.000000,,0.591000,1538443000.000000,94044000.000000,37770000.000000,59975000.000000,1.914000
ARQ,1997-12-31,1998-03-31,1997-12-31,1997-Q4,256010000.000000,13105023750.000000,2025-05-02,-76857000.000000,1967807000.000000,,1064021000.000000,903786000.000000,,1.270000,-60351000.000000,57993000.000000,57993000.000000,161960000.000000,2389000.000000,1.317000,0.995000,493533000.000000,447208000.000000,46325000.000000,493533000.000000,0.000000,86692000.000000,0.000000,0.000000,0.000000,26532000.000000,113224000.000000,0.230000,113224000.000000,26532000.000000,21876000.000000,0.008000,,0.008000,986232000.000000,,986232000.000000,13540563750.000000,54.000000,39.994000,-44698000.000000,-0.058000,1.000000,331269000.000000,0.672000,313346000.000000,4656000.000000,1281990000.000000,,386742000.000000,88555000.000000,22316000.000000,66239000.000000,981575000.000000,808011000.000000,173564000.000000,3724000.000000,22527000.000000,-23850000.000000,79556000.000000,0.000000,56165000.000000,-67168000.000000,1266000.000000,15653000.000000,-926000.000000,2389000.000000,2389000.000000,2389000.000000,0.000000,0.000000,0.005000,280571000.000000,50698000.000000,98878000.000000,0.000000,13.288000,94.055000,93.750000,498967000.000000,0.000000,16.875000,6.999000,6.999000,413838000.000000,706542000.000000,493229000.000000,493229000.000000,44132000.000000,,,,,0.000000,213941000.000000,1.000000,776594000.000000,776594000.000000,,0.635000,1654461000.000000,146956000.000000,19487000.000000,84073000.000000,2.130000
ARQ,1998-03-31,1998-05-15,1998-03-31,1998-Q1,818857000.000000,13341536113.000000,2025-05-02,-87714000.000000,2125101000.000000,,1199076000.000000,926025000.000000,,1.366000,-48864000.000000,142587000.000000,142587000.000000,139959000.000000,66899000.000000,3.154000,1.001000,572587000.000000,17699000.000000,554888000.000000,572587000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104435000.000000,104435000.000000,0.222000,104435000.000000,104435000.000000,98381000.000000,0.085000,0.085000,0.085000,1061817000.000000,,1061817000.000000,13771536113.000000,57.000000,42.101000,-15027000.000000,-0.019000,1.000000,330046000.000000,0.702000,312111000.000000,6054000.000000,1862771000.000000,,432406000.000000,99240000.000000,11944000.000000,87296000.000000,1063284000.000000,380219000.000000,683065000.000000,84594000.000000,0.000000,19543000.000000,77141000.000000,0.000000,96684000.000000,-45112000.000000,10373000.000000,33837000.000000,-815000.000000,66899000.000000,66899000.000000,66899000.000000,0.000000,0.000000,0.142000,223251000.000000,106795000.000000,66514000.000000,0.000000,12.565000,102.002000,102.128000,526618000.000000,0.000000,17.157000,6.979000,6.979000,423179000.000000,760362000.000000,470005000.000000,470005000.000000,44648000.000000,,,,,0.000000,171868000.000000,1.000000,777592080.000000,777592080.000000,,0.604000,1812990000.000000,150380000.000000,31482000.000000,101847000.000000,2.332000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,896482000.000000,15264758730.000000,2025-05-02,-97752000.000000,2229237000.000000,,1261675000.000000,967562000.000000,,1.510000,-45463000.000000,148588000.000000,148588000.000000,151230000.000000,78736000.000000,3.455000,0.885000,578319000.000000,27127000.000000,551192000.000000,578319000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,131999000.000000,131999000.000000,0.261000,131999000.000000,131999000.000000,123801000.000000,0.100000,0.098000,0.100000,1182312000.000000,,1182312000.000000,15694489730.000000,40.000000,32.778000,-29768000.000000,-0.038000,1.000000,354501000.000000,0.701000,319660000.000000,8198000.000000,1974115000.000000,,459871000.000000,92704000.000000,7332000.000000,85372000.000000,1046925000.000000,365193000.000000,681732000.000000,6001000.000000,0.000000,29457000.000000,10319000.000000,0.000000,39776000.000000,-49461000.000000,335000.000000,15695000.000000,-9000.000000,78736000.000000,78736000.000000,78736000.000000,0.000000,0.000000,0.156000,227549000.000000,126952000.000000,67078000.000000,0.000000,12.911000,64.564000,64.570000,562530000.000000,0.000000,19.500000,7.853000,7.853000,440124000.000000,816530000.000000,505731000.000000,505731000.000000,48638000.000000,,,,,0.000000,181666000.000000,1.000000,782808140.000000,782808140.000000,,0.646000,1909577000.000000,154036000.000000,45065000.000000,100162000.000000,2.439000
ARQ,1998-09-30,1998-11-16,1998-09-30,1998-Q3,-1265160000.000000,9626523438.000000,2025-05-02,-78105000.000000,3994007000.000000,,1372184000.000000,2621823000.000000,,0.923000,-40828000.000000,194850000.000000,194850000.000000,200452000.000000,-509396000.000000,0.520000,4.509000,2637882000.000000,2084007000.000000,553875000.000000,2637882000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-630499000.000000,-630499000.000000,-1.096000,-630499000.000000,-630499000.000000,-646194000.000000,-0.650000,-0.650000,-0.650000,725042000.000000,,725042000.000000,12069555438.000000,-33.000000,-42.976000,13108000.000000,0.017000,1.000000,374938000.000000,0.652000,1792768000.000000,15695000.000000,2006927000.000000,,491828000.000000,84782000.000000,5498000.000000,79284000.000000,3268965000.000000,2637344000.000000,631621000.000000,46262000.000000,-2059979000.000000,32479000.000000,2049596000.000000,0.000000,2082075000.000000,-2093143000.000000,4705000.000000,53936000.000000,3394000.000000,-509396000.000000,-509396000.000000,-509396000.000000,0.000000,0.000000,-0.885000,1004930000.000000,-629992000.000000,70802000.000000,0.000000,13.277000,-26.639000,-26.747000,670692000.000000,0.000000,12.250000,4.709000,4.709000,494056000.000000,312754000.000000,575390000.000000,575390000.000000,49721000.000000,,,,,0.000000,186263000.000000,1.000000,785838648.000000,785838648.000000,,0.732000,2201239000.000000,218275000.000000,-136798000.000000,49628000.000000,2.801000
ARQ,1998-12-31,1999-03-31,1998-12-31,1998-Q4,-353031000.000000,16043670041.000000,2025-05-02,-70801000.000000,3892711000.000000,,1266627000.000000,2626084000.000000,,1.040000,-38884000.000000,70330000.000000,70330000.000000,241976000.000000,70458000.000000,0.782000,3.741000,2391309000.000000,1027487000.000000,1363822000.000000,2391309000.000000,0.000000,128605000.000000,0.000000,0.000000,0.000000,142787000.000000,271392000.000000,0.379000,271392000.000000,142787000.000000,105161000.000000,0.090000,0.090000,0.090000,821137000.000000,,821137000.000000,18364649041.000000,-88.000000,-232.064000,116113000.000000,0.147000,1.000000,474713000.000000,0.662000,1813535000.000000,37626000.000000,2780497000.000000,,461981000.000000,39131000.000000,5073000.000000,34058000.000000,3071574000.000000,1619658000.000000,1451916000.000000,-124520000.000000,0.000000,18316000.000000,-254524000.000000,0.000000,-241167000.000000,-37054000.000000,-3851000.000000,154997000.000000,-1296000.000000,70458000.000000,70458000.000000,70458000.000000,0.000000,0.000000,0.098000,329440000.000000,145273000.000000,108597000.000000,0.000000,19.538000,-60.687000,-59.750000,679882000.000000,0.000000,20.315000,7.183000,7.183000,537786000.000000,381246000.000000,716689000.000000,716689000.000000,57278000.000000,,,,,0.000000,231038000.000000,1.000000,789745018.000000,789745018.000000,,0.907000,2079176000.000000,199268000.000000,34703000.000000,18821000.000000,2.633000
ARQ,1998-12-31,1999-04-28,1998-12-31,1998-Q4,-353031000.000000,17251979918.000000,2025-05-02,-70801000.000000,3892711000.000000,,1266627000.000000,2626084000.000000,,1.040000,-38884000.000000,70330000.000000,70330000.000000,241976000.000000,70458000.000000,0.782000,3.741000,2391309000.000000,1027487000.000000,1363822000.000000,2391309000.000000,0.000000,128605000.000000,0.000000,0.000000,0.000000,142787000.000000,271392000.000000,0.379000,271392000.000000,142787000.000000,105161000.000000,0.090000,0.090000,0.090000,821137000.000000,,821137000.000000,19572958918.000000,-94.000000,-247.333000,116113000.000000,0.147000,1.000000,474713000.000000,0.662000,1813535000.000000,37626000.000000,2780497000.000000,,461981000.000000,39131000.000000,5073000.000000,34058000.000000,3071574000.000000,1619658000.000000,1451916000.000000,-124520000.000000,0.000000,18316000.000000,-254524000.000000,0.000000,-241167000.000000,-37054000.000000,-3851000.000000,154997000.000000,-1296000.000000,70458000.000000,70458000.000000,70458000.000000,0.000000,0.000000,0.098000,329440000.000000,145273000.000000,108597000.000000,0.000000,21.010000,-65.257000,-64.250000,679882000.000000,0.000000,21.845000,7.724000,7.724000,537786000.000000,381246000.000000,716689000.000000,716689000.000000,57278000.000000,,,,,0.000000,231038000.000000,1.000000,789745018.000000,789745018.000000,,0.907000,2079176000.000000,199268000.000000,34703000.000000,18821000.000000,2.633000
