dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-03-31,2007-06-21,2007-03-31,2007-Q1,,,2025-05-02,6277000.000000,39365506000.000000,,,,,-130.215000,-3068000.000000,478864000.000000,478864000.000000,79207000.000000,1132076000.000000,,-0.083000,1930973000.000000,,,1930973000.000000,0.000000,0.000000,0.000000,,0.000000,1157168000.000000,1157168000.000000,2.414000,1157168000.000000,1157168000.000000,1146046000.000000,,,,-30996997000.000000,,-30996997000.000000,,,,-1347023000.000000,-5.659000,1.000000,400210000.000000,0.835000,0.000000,11122000.000000,40817615000.000000,,0.000000,37631964000.000000,,,2587625000.000000,,,-3694000.000000,0.000000,0.000000,427574000.000000,-1050820000.000000,1342302000.000000,-3068000.000000,0.000000,-1343955000.000000,1027000.000000,1132076000.000000,1132076000.000000,1132076000.000000,0.000000,0.000000,2.361000,81821000.000000,318389000.000000,613458000.000000,,,,,0.000000,0.000000,,,,1172979000.000000,,479417000.000000,479417000.000000,0.000000,,,,,0.000000,18810000.000000,1.000000,238045375.000000,238045375.000000,,2.014000,39365506000.000000,0.000000,13970000.000000,0.000000,165.370000
ARQ,2007-06-30,2007-08-13,2007-06-30,2007-Q2,,6689013790.000000,2025-05-02,350000.000000,18779891000.000000,,,,,-23.836000,-11450000.000000,1901129000.000000,1901129000.000000,345545000.000000,774351000.000000,,-0.558000,815912000.000000,,,815912000.000000,0.000000,7200000.000000,0.000000,0.000000,0.000000,787122000.000000,794322000.000000,0.814000,794322000.000000,787122000.000000,771942000.000000,,,,-6201475000.000000,,-6201475000.000000,5603796790.000000,,,2003725000.000000,7.702000,1.000000,629775000.000000,0.646000,2266263000.000000,15180000.000000,15428411000.000000,,0.000000,11658498000.000000,,,3460706000.000000,,,1307614000.000000,-23292000.000000,7501240000.000000,-825440000.000000,1050820000.000000,-671792000.000000,-34742000.000000,0.000000,2015175000.000000,-1027000.000000,774351000.000000,774351000.000000,774351000.000000,0.000000,0.000000,0.794000,70218000.000000,559557000.000000,2535903000.000000,,-1.079000,,,0.000000,0.000000,25.710000,,,1271447000.000000,,975320000.000000,975320000.000000,0.000000,,,,,236228000.000000,50687000.000000,1.000000,260171676.000000,260171676.000000,,3.749000,16513628000.000000,1589296000.000000,-2409000.000000,0.000000,63.472000
ARQ,2007-09-30,2007-11-13,2007-09-30,2007-Q3,,5791710857.000000,2025-05-02,393000.000000,12970014000.000000,,,,,-5.855000,-2594000.000000,923058000.000000,923058000.000000,929721000.000000,-113190000.000000,,-1.908000,1229310000.000000,,,1229310000.000000,0.000000,55204000.000000,0.000000,0.000000,0.000000,-105091000.000000,-49887000.000000,-0.095000,-49887000.000000,-105091000.000000,-107349000.000000,-0.440000,-0.440000,-0.440000,-1489488000.000000,,-1489488000.000000,6097962857.000000,,,-1767869000.000000,-6.949000,1.000000,-403035000.000000,-0.765000,2266398000.000000,2258000.000000,11009868000.000000,,0.000000,6707795000.000000,,,2841794000.000000,,,-823170000.000000,1000.000000,0.000000,169924000.000000,0.000000,944059000.000000,-2593000.000000,0.000000,-1765275000.000000,639000.000000,-113190000.000000,-113190000.000000,-113190000.000000,0.000000,0.000000,-0.215000,119016000.000000,-522051000.000000,1493508000.000000,0.000000,-3.888000,,,0.000000,0.000000,22.800000,,,2180389000.000000,,526686000.000000,526686000.000000,0.000000,,,,,747406000.000000,111814000.000000,1.000000,254022406.000000,254390192.000000,254390192.000000,2.070000,10703616000.000000,793213000.000000,5841000.000000,0.000000,42.076000
ARQ,2007-12-31,2008-03-12,2007-12-31,2007-Q4,,2514774193.000000,2025-05-02,345000.000000,13174200000.000000,,,,,-6.695000,-15195000.000000,1032325000.000000,1032325000.000000,902175000.000000,-170000000.000000,,-1.548000,1327247000.000000,,,1327247000.000000,0.000000,55203000.000000,0.000000,0.018000,0.300000,-157904000.000000,-102701000.000000,-0.298000,-102701000.000000,-157904000.000000,-161424000.000000,-0.640000,-0.640000,-0.640000,-1852311000.000000,,-1852311000.000000,2809696193.000000,2.000000,1.562000,228564000.000000,0.826000,1.000000,-557209000.000000,-1.615000,2202155000.000000,3520000.000000,11266967000.000000,,0.000000,7181854000.000000,,,2868199000.000000,,,258436000.000000,-1000.000000,0.000000,-14384000.000000,-78794000.000000,29873000.000000,-15196000.000000,0.000000,243759000.000000,0.000000,-170000000.000000,-170000000.000000,-170000000.000000,0.000000,0.000000,-0.493000,159036000.000000,-716245000.000000,1351955000.000000,-0.469000,-1.358000,1.549000,-12.767000,0.000000,0.000000,16.470000,0.824000,1.404000,1881190000.000000,,344966000.000000,344966000.000000,0.000000,,,,,781554000.000000,133567000.000000,1.000000,152688172.000000,276651833.000000,276651833.000000,1.247000,10972045000.000000,777310000.000000,8576000.000000,0.000000,39.660000
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,,3150316482.000000,2025-05-02,857000.000000,13216384000.000000,,,,,-6.699000,-7219000.000000,790183000.000000,790183000.000000,977147000.000000,-250993000.000000,,-1.830000,1535888000.000000,,,1535888000.000000,0.000000,33528000.000000,0.000000,0.029000,0.300000,-243976000.000000,-210448000.000000,-3.071000,-210448000.000000,-243976000.000000,-246719000.000000,-0.970000,-0.970000,-0.970000,-1740811000.000000,,-1740811000.000000,3896021482.000000,14.000000,9.033000,107935000.000000,0.415000,1.000000,-908624000.000000,-13.260000,2937111000.000000,2743000.000000,11024978000.000000,,0.000000,7066972000.000000,,,3184821000.000000,,,-195960000.000000,-336571000.000000,0.000000,244171000.000000,0.000000,77714000.000000,-388918000.000000,0.000000,115154000.000000,90000.000000,-250993000.000000,-250993000.000000,-250993000.000000,0.000000,0.000000,-3.663000,118173000.000000,-1026797000.000000,1441933000.000000,-0.309000,-1.810000,13.117000,,0.000000,0.000000,20.540000,1.645000,2.787000,1484563000.000000,,68523000.000000,68523000.000000,0.000000,,,,,914671000.000000,95221000.000000,1.000000,153374707.000000,259860669.000000,259860669.000000,0.264000,10279273000.000000,763056000.000000,4274000.000000,0.000000,39.557000
ARQ,2008-06-30,2008-08-08,2008-06-30,2008-Q2,,2888998541.000000,2025-05-02,1059000.000000,13489918000.000000,,,,,-6.935000,-16008000.000000,297086000.000000,297086000.000000,1028808000.000000,-156531000.000000,,-2.039000,1440197000.000000,,,1440197000.000000,0.000000,40685000.000000,0.000000,0.048000,0.300000,-179819000.000000,-139134000.000000,-0.393000,-139134000.000000,-179819000.000000,-185509000.000000,-0.600000,-0.600000,-0.600000,-1805769000.000000,,-1805769000.000000,4032109541.000000,-6.000000,-8.029000,86135000.000000,0.331000,1.000000,-675156000.000000,-1.909000,2896426000.000000,5690000.000000,11736603000.000000,,0.000000,7250585000.000000,,,3682503000.000000,,,-455009000.000000,0.000000,0.000000,-73590000.000000,-157993000.000000,-577272000.000000,20210000.000000,0.000000,102143000.000000,-90000.000000,-156531000.000000,-156531000.000000,-156531000.000000,0.000000,0.000000,-0.443000,129310000.000000,-804466000.000000,1950863000.000000,-0.500000,-1.600000,-4.183000,-7.004000,0.000000,0.000000,18.560000,2.233000,3.735000,2152713000.000000,,353652000.000000,353652000.000000,0.000000,,,,,805597000.000000,107517000.000000,1.000000,155657249.000000,260394534.000000,260394534.000000,1.358000,10593492000.000000,745008000.000000,-28978000.000000,0.000000,40.682000
ARQ,2008-09-30,2008-11-07,2008-09-30,2008-Q3,,1218368283.000000,2025-05-02,-285000.000000,11949257000.000000,,,,,-3.803000,-14621000.000000,1278635000.000000,1278635000.000000,991521000.000000,-340331000.000000,,-3.227000,1576458000.000000,,,1576458000.000000,0.000000,39512000.000000,0.000000,0.160000,0.300000,-359606000.000000,-320094000.000000,1.997000,-320094000.000000,-359606000.000000,-365499000.000000,-1.570000,-1.570000,-1.570000,-1022271000.000000,,-1022271000.000000,1516191283.000000,-2.000000,-1.963000,460565000.000000,1.714000,1.000000,-1151775000.000000,7.187000,2812886000.000000,5893000.000000,9434194000.000000,,0.000000,5468327000.000000,,,3299272000.000000,,,917294000.000000,0.000000,0.000000,608172000.000000,-83081000.000000,451839000.000000,-9731000.000000,0.000000,475186000.000000,0.000000,-340331000.000000,-340331000.000000,-340331000.000000,0.000000,0.000000,2.124000,135284000.000000,-1287059000.000000,1298128000.000000,-0.191000,-1.192000,-1.327000,-1.987000,0.000000,0.000000,7.510000,2.008000,3.326000,1489271000.000000,,-160254000.000000,-160254000.000000,0.000000,,,,,774431000.000000,121842000.000000,1.000000,162232794.000000,268783493.000000,268783493.000000,-0.596000,9136371000.000000,739542000.000000,-25168000.000000,0.000000,33.992000
ARQ,2008-12-31,2009-03-02,2008-12-31,2008-Q4,,751842129.000000,2025-05-02,-291000.000000,9257911000.000000,,,,,4.117000,-12265000.000000,1411061000.000000,1411061000.000000,862311000.000000,-415177000.000000,,2.992000,387894000.000000,,,387894000.000000,0.000000,39512000.000000,0.000000,0.252000,0.300000,-397612000.000000,-358100000.000000,0.586000,-358100000.000000,-397612000.000000,-406294000.000000,-1.520000,-1.520000,-1.520000,1124192000.000000,,1124192000.000000,-271324871.000000,0.000000,0.264000,1185687000.000000,4.342000,1.000000,-1473593000.000000,2.411000,2781128000.000000,8682000.000000,5453616000.000000,,0.000000,2832858000.000000,,,3363789000.000000,,,-631217000.000000,0.000000,0.000000,-586679000.000000,-78823000.000000,-1825928000.000000,-3241000.000000,0.000000,1197952000.000000,0.000000,-415177000.000000,-415177000.000000,-415177000.000000,0.000000,0.000000,0.679000,121040000.000000,-1594633000.000000,2562436000.000000,-0.197000,0.669000,-0.646000,-1.544000,0.000000,0.000000,4.770000,-2.152000,-3.626000,1222007000.000000,,-611282000.000000,-611282000.000000,0.000000,,,,,807918000.000000,116196000.000000,1.000000,157618895.000000,273089843.000000,273089843.000000,-2.238000,6476783000.000000,845423000.000000,8883000.000000,0.000000,23.717000
ARQ,2009-03-31,2009-05-08,2009-03-31,2009-Q1,,2157497048.000000,2025-05-02,-2906000.000000,7674509000.000000,,,,,12.464000,-4482000.000000,843808000.000000,843808000.000000,812347000.000000,-929938000.000000,,0.606000,82564000.000000,,,82564000.000000,0.000000,39513000.000000,0.000000,0.065000,0.000000,-212444000.000000,-172931000.000000,-3.669000,-172931000.000000,-212444000.000000,-213843000.000000,-1.140000,-1.140000,-1.140000,3430846000.000000,,3430846000.000000,1396253048.000000,-1.000000,-1.410000,551400000.000000,2.003000,1.000000,-765216000.000000,-16.236000,2741615000.000000,1399000.000000,4171650000.000000,,0.000000,2397134000.000000,,,2077965000.000000,,,272566000.000000,0.000000,0.000000,-305101000.000000,0.000000,-281272000.000000,-2044000.000000,0.000000,555882000.000000,0.000000,-231574000.000000,-231574000.000000,-231574000.000000,0.000000,-698364000.000000,-4.913000,110829000.000000,-876045000.000000,1729982000.000000,0.000000,0.629000,-1.887000,-2.865000,0.000000,0.000000,13.840000,-5.819000,-10.275000,679528000.000000,,47131000.000000,47131000.000000,0.000000,,,,,738045000.000000,107817000.000000,1.000000,155888515.000000,275252037.000000,275252037.000000,0.171000,4932894000.000000,845326000.000000,17731000.000000,0.000000,17.921000
ARQ,2009-06-30,2009-08-07,2009-06-30,2009-Q2,,2310922097.000000,2025-05-02,576000.000000,7698732000.000000,,,,,12.162000,-8411000.000000,855493000.000000,855493000.000000,937751000.000000,-597871000.000000,,0.611000,78358000.000000,,,78358000.000000,0.000000,39511000.000000,0.000000,0.063000,0.300000,-153312000.000000,-113801000.000000,-0.280000,-113801000.000000,-153312000.000000,-153399000.000000,-0.900000,-0.900000,-0.900000,3351753000.000000,,3351753000.000000,1533787097.000000,-1.000000,-1.590000,128293000.000000,0.466000,1.000000,-531335000.000000,-1.307000,2702102000.000000,87000.000000,4219495000.000000,,0.000000,2527339000.000000,,,2048864000.000000,,,8276000.000000,0.000000,0.000000,-3853000.000000,-82572000.000000,-118978000.000000,-9450000.000000,0.000000,136704000.000000,0.000000,-164284000.000000,-164284000.000000,-164284000.000000,0.000000,-433587000.000000,-0.404000,113868000.000000,-645203000.000000,1649097000.000000,-0.333000,0.689000,-2.007000,-2.786000,0.000000,0.000000,14.290000,-7.267000,-12.384000,607267000.000000,,406416000.000000,406416000.000000,0.000000,,,,,762521000.000000,112276000.000000,1.000000,161716032.000000,275584823.000000,275584823.000000,1.475000,4996630000.000000,848772000.000000,10885000.000000,0.000000,18.131000
